molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|SaasN|MATS2c|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA2|WNSA3|DPSA5|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
17_a15|0.0|0|0|0|0.0|0.0|0|0|0.0|-0.046866421|2|0.036595745|-0.033968088|-0.442454151|0.0016674189999999|10.9544604|0|0|0.0032452509999999|-0.052628162|-0.461493931|0.769376831|0.721188086|-0.023779626|0.76362781|0.740986227|0|0.880459235|-0.052869016|-0.079844675|0.605886597|0.012890299|-61.17023228|9.875456386|34.35335309|0.119540765|91.58201681|-0.027065991|-1.596893495|-31.03055741|77.82445248|2104.883413|7.967418828|15.15194163|0.90173781|6352.266784|-937.2690986|31.74439379|0.0217385279999999|822.8625688|16.654220199999997|1.0|1.0|1.0|1.0|1.0|1.0|3.63|6.0|67.35|2.53|2.0|0.0|131.36|33.0|4.0|-5.58|0.0|4.44|0.00052|0.00099|0.0|8.43e-08|-0.03936|4.1461|6.89|-1413.897695|-1413.857182|752.08|1298.37|326.22|0.7247|0.68787|0.7045100000000001|0.0377|-0.15573|5.1268|-0.19509|0.04051306|12.0|7.9208|7.9208
6_a47|0.0|0|0|0|0.0|0.0|0|0|0.0|0.011739916|2|0.042276423|-0.14404966|-0.392537045|-0.010708889|10.93671042|0|0|-0.0094242819999999|-0.302730533|-0.459934519|0.701994505|0.786041178|0.062425042|0.84654143|0.672308592|1|0.8419184120000001|-0.080118846|-0.096689626|0.446564415|0.009820713|-52.41283988|5.323543706000001|101.7290544|0.158081588|85.6917678|-0.036834143|-1.547034008|-23.54237714|60.76103606|1577.98246|6.480620646|10.90843226|0.6832388209999999|5766.962611999999|-454.5854048000001|25.13472712|0.0154005|469.7495559|8.348196185|1.0|1.0|0.0|1.0|1.0|2.0|2.82|6.27|58.04|3.48|2.0|0.0|106.47|27.0|4.0|-5.02|0.0|4.59|0.000362|0.000619|0.0|3.310000000000001e-07|-0.05354|5.5188|4.69|-1608.684886|-1608.652005|576.56|990.85|333.32|0.2536|0.30468|0.69305|0.2119|-0.1544|3.2606|-0.20794|0.03288085|13.0|7.9|7.9
13_a10|0.0|0|0|0|0.0|0.0|1|1|2.091672336|-0.059862024|2|0.038726287|-0.093280469|-0.259721373|0.00384732|10.9296146|1|1|0.003791547|-0.154121136|-0.345108701|0.761923976|0.78472614|-0.002671425|0.84680169|0.736686715|1|0.818027691|-0.094726989|-0.082327045|0.4676169839999999|0.0122005|-41.62089688|6.168030793|174.7319717|0.181972309|91.99711608|-0.030119651|-1.234905671|-24.21093442|51.21590298|1630.880014|5.069505473|9.209972585|0.816739845|4941.066161|-315.62515|21.31179541|0.018979132|422.96706330000006|9.595006108|1.0|1.0|0.0|1.0|1.0|1.0|3.02|3.81|63.83|1.88|0.0|0.0|97.14|25.0|4.0|-6.34|1.0|2.91|0.0576|0.0258|0.0|8.170000000000001e-05|-0.05022|5.8308|2.48|-1065.874094|-1065.839441|550.83|926.41|322.72|0.3905|0.34881|0.68386|0.1514|-0.15937|3.6904|-0.20959|0.0346535|0.16|6.7959|6.7959
15_a3|0.0|0|0|0|0.0|0.0|0|1|0.0|0.079167398|3|0.045993266|-0.182934001|-0.289938297|-0.006419472|10.33806279|0|0|-0.004459728|-0.325227172|-0.505519936|0.968837995|0.813015336|0.036380489|0.866559772|0.911346861|1|0.7789088340000001|-0.092342351|-0.107619999|0.451058529|0.007901554|-55.08588323|4.04445331|315.5421792|0.221091166|113.1667185|-0.037667|-1.50667999|-24.19332693|60.30684851|1433.713715|5.371119692000001|9.975434973|0.85723565|4617.470007|-394.7441342|22.67368656|0.010200078|402.781061|5.220965278|1.0|1.0|0.0|1.0|1.0|1.0|4.12|1.56|89.99|0.96|0.0|0.0|94.29|23.0|5.0|-7.35|0.0|1.2|547.0|306.0|0.0|0.000535|-0.06319|6.0077|2.33|-1328.688126|-1328.665275|553.81|916.07|334.44|0.4107|0.2843199999999999|0.67902|0.0173|-0.1576|1.9539|-0.22079|0.0228507|25.0|7.6021|7.6021
12ba_a36|0.0|1|0|0|3.389685532|0.0|0|2|0.0|-0.090865777|2|0.040566449|0.087201747|-0.423472625|-0.002123045|10.9478512|1|1|-0.000621302|0.159880159|-0.410941182|0.844641715|0.8256014690000001|-0.0202572689999999|0.890675195|0.796093405|0|0.849738126|-0.083210415|-0.108410153|0.330220757|0.0246090489999999|-73.03464847|16.57882744|100.798163|0.150261874|101.229662|-0.037526591|-1.951382748|-37.76553687|89.06670390000001|2492.5731100000003|7.409667253999999|14.59456478|0.969665341|6722.60947|-885.6465508|35.76372225|0.023797439|688.1986357999999|16.03205543|1.0|0.0|1.0|1.0|0.0|2.0|4.8|1.63|116.78|0.74|1.0|0.0|133.18|33.0|6.0|-7.04|0.0|1.57|0.0072599999999999|0.0244|0.0|8.240000000000001e-05|-0.08446|5.2506|2.79|-1417.454721|-1417.426327|687.23|1187.56|411.71|0.7436|0.3989999999999999|0.70432|0.0009|-0.12587|3.1996|-0.21033|0.02839417|21.0|7.6778|7.6778
12n_a30|0.0|0|0|0|0.0|0.0|0|2|0.0|0.0304762079999999|2|0.040899471|-0.1144447669999999|-0.387485343|0.001139238|10.31162898|1|1|0.002064369|-0.254279374|-0.464204099|0.669561738|0.815003426|-0.149451598|0.870930234|0.64876559|0|0.7781502140000001|-0.083120674|-0.10528124|0.390449649|0.017064818|-66.48079820000001|10.77573511|85.87072848|0.221849786|140.0890685|-0.038674741|-1.895062322|-33.14358793|76.16725916|2349.172094|7.385790169|13.93957316|0.887350282|6353.890039|-755.6383024|30.54968688|0.0153398069999999|618.6004214|9.686460958|1.0|0.0|1.0|1.0|0.0|1.0|4.66|3.18|81.65|3.2|2.0|0.0|127.24|30.0|5.0|-6.02|0.0|2.92|0.00171|0.00405|0.0|5.260000000000001e-05|-0.05076|5.1999|4.07|-1675.011418|-1674.978015|669.57|1131.65|355.67|0.1826|0.27009|0.6854|0.1489|-148.0|5.3143|-0.19876|0.0334036|0.01|7983.0|7983.0
8e_a8|0.0|1|0|0|3.01599663|0.0|1|0|1.311619189|-0.018155171|0|0.0427891159999999|-0.000766016|-0.539547088|-0.005310149|10.94332438|1|1|-0.004224671|-0.0015448089999999|-0.475941912|0.650073857|0.7233950809999999|-0.079493088|0.7742101929999999|0.636205913|0|0.661490276|-0.115572516|-0.105450888|0.280304418|0.0211004739999999|-64.32539698|12.87136047|106.0087621|0.338509724|206.4920729|-0.04393787|-2.109017754|-43.00500847|75.57562034|2080.07805|7.50719734|14.52755918|0.935150832|6095.6213210000005|-784.77418|33.36487904|0.0184428869999999|561.882658|11.25022336|0.0|0.0|1.0|0.0|0.0|2.0|3.2|4.17|90.11|3.4|2.0|0.0|111.81|30.0|4.0|-6.14|0.0|3.71|0.00215|0.00504|0.0|6.63e-06|-0.06253|4.6303|7.22|-1376.957298|-1376.924308|639.38|1090.07|378.73|0.3731|0.50055|0.7013|0.1671|-0.13719|6.1505|-0.19972|0.03298991|19.89|4.7014|4.7014
25b_a34|0.0|0|0|0|0.0|0.0|1|1|1.94553288|0.133975789|1|0.04037037|-0.150946163|-0.861190687|-0.00378755|10.95957635|1|1|-0.000223677|-0.2360985169999999|-0.623853334|0.832166825|0.7969500890000001|-0.101529052|0.83883012|0.787858064|0|0.656573108|-0.1030760719999999|-0.137924163|0.5020264870000001|0.030138301|-86.13394472|18.82143547|165.2408865|0.343426892|214.470853|-0.042438204|-2.206786613|-40.19997818|98.0416108|2671.608537|6.383564979|11.00434095|0.723855085|5786.015654|-860.6534206|34.74652105|0.019067452|595.8522372|11.90766609|0.0|1.0|1.0|1.0|1.0|2.0|3.53|3.03|90.3|1.56|1.0|0.0|108.21|29.0|5.0|-7.07|0.0|2.58|59.0|0.0796|0.0|0.00015|-0.03539|4.2253|5.06|-1313.388114|-1313.361559|668.48|1136.16|293.43|0.2259|0.6925600000000001|0.6925600000000001|0.2259|-0.17564|7.0586|-0.21103|0.02655501|2.08|5.6819|5.6819
10_a4|0.0|0|0|0|0.0|0.0|1|1|2.146166934|-0.180140166|2|0.038699764|0.00941601|-0.159792527|0.01107733|10.92992762|1|1|0.011142889|0.014917047|-0.241683916|0.6990620390000001|0.810105167|-0.150288496|0.861225169|0.6799081490000001|1|0.921653019|-0.051015897|-0.079432495|0.43000216|0.014582852|-45.97324097|8.440134933|39.48408698|0.078346981|45.34497624|-0.027007048|-1.350352423|-17.08910641|54.09964719|2064.276654|5.759414166|11.20225306|0.945033425|5598.949417|-452.3357957|20.99433004|0.014040792|594.7358385|8.126406226|1.0|1.0|1.0|1.0|1.0|0.0|3.46|4.81|52.83|2.53|2.0|0.0|111.38|28.0|4.0|-5.83|1.0|3.9|0.00818|0.00519|0.0|3.15e-06|-0.04689|4.9674|3.34|-1183.812875|-1183.790554|619.99|1083.65|340.01|0.1792|0.4662|0.7038399999999999|0.0176|-0.15561|1.4517|-0.2025|0.02232068|88.0|7.0555|7.0555
3h_a32|0.0|1|1|1|3.579396967|0.0|0|0|0.0|0.01077056|0|0.037731481|0.014517903|-0.269379119|0.002101838|10.31100268|3|3|0.003284804|0.025035542|-0.531669815|0.84279263|0.7926338540000001|-0.2|0.834881529|0.8030743229999999|1|0.87880263|-0.07183387|-0.0882883959999999|0.30907784|0.0111539339999999|-55.27575363|6.98327435|76.38838542|0.12119737|75.87946135|-0.027590124|-1.324325944|-28.15732254|62.63332945|2911.160989|8.107034244|13.71739929|0.692036677|5187.525619|-519.1071084|22.33200639|0.011751781|593.0848817000001|7.357575822|1.0|1.0|1.0|1.0|1.0|1.0|3.65|6.24|110.94|2.64|2.0|0.0|112.28|26.0|3.0|-4.29|0.0|5.4|2.24e-06|0.000273|0.0|1.29e-06|-0.05318|3.5552|4.61|-1790.6908030000002|-1790.663897|676.22|1127.45|348.74|0.2926|0.70257|0.70257|0.2926|-0.1474099999999999|3.5952|-0.20059|0.02690554|7.0|8.1549|8.1549
