molecula|n9FaRing|SRW09|nAHRing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aHRing|AATSC7i|AATSC1i|MATS1c|n6aHRing|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|FNSA2|WNSA3|DPSA5|DPSA3|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
8c_a32|1|7.765993078999999|0|0.0|0.080016722|-0.0093793719999999|-0.04699673|0|-0.026467635|-0.459589251|-0.003484915|-0.0682721729999999|3|-0.047650724|-0.1534110109999999|-0.578242111|0|-0.11492754|0.8966299409999999|0.7507116140000001|1|-0.097480366|0.263222951|0.016240436|-58.93213925|126.6561213|0.198252488|-0.027548799|-35.6276568|-1.267244762|-28.09723623|74.36515033|56.29419869|484.6996147|-766.1178102000001|-10.06868562|7.079719717000001|12.81496717|0.8100952690000001|5773.240734|1275.407176|557.1050635|1.0|1.0|1.0|1.0|2.0|3.46|19.0|-7.65|6.49|4.19|140.04|1.0|110.47|1.0|1.0|7.0|-5.82|4.0|397.52|1.0|1.0|-4.39|0.000597|0.0164|3.21|0.0|0.0|8.86e-06|-0.04161|4.28|3.5673|-1880.733377|347.56|0.3272|347.56|516.78|0.70135|0.70135|0.3272|-0.14712|-1880.597039|10.2656|37.0|7.4318|7.4318
13_a4|0|7.535296702|1|2.050136054|-0.210975191|-0.000990136|-0.019846488|1|-0.059300584|-0.04158572|0.012994083|-0.0963182119999999|1|-0.094404255|-0.025714912|-0.143303992|1|-0.157188841|0.7986239909999999|0.6490618429999999|0|-0.068249548|0.229685203|0.008746805|-33.41617993|11.85953992|0.029972995|-0.0279998139999999|-16.36114989|-1.091992764|-11.99053523|37.12083496|28.77218157|474.9422962|-534.6588788|-6.7122666220000005|5.663493161|9.917593683|0.751144285|3983.972795|619.8659446|373.9073307|0.0|0.0|1.0|0.0|0.0|3.39|17.0|-6.2|4.18|4.15|30.71|1.0|90.06|0.0|1.0|2.0|-4.09|2.0|287.36|0.0|1.0|-4.42|0.0235|0.0108|3.75|0.0|0.0|0.00018|-0.03168|3.87|4.1733|-898.3381672|297.09|0.2133|276.68|429.36|0.53815|0.59537|0.1282|-0.17204|-898.2503529999999|3.7228|4.0|5.3979|5.3979
9d_a31|0|7.765993078999999|1|0.0|0.036844743|-0.012442213|-0.043220149|0|-0.057650507|-0.696763933|-0.002456634|-0.021171445|2|-0.091744753|-0.214049412|-0.550392027|0|-0.0375445629999999|0.873955169|0.771222772|0|-0.11958484|0.3655337879999999|0.029032453|-81.53295088|154.8767865|0.305664196|-0.033844766|-55.58917047|-1.793772606|-45.65350116|97.84665015|86.75457645|473.3981899|-1222.994263|-15.732784099999998|9.436176796|17.39409698|0.8433415740000001|5748.743284|1842.914835|647.1500428999999|1.0|1.0|1.0|1.0|2.0|3.8|16.0|-7.63|6.04|4.09|117.37|2.0|112.97|0.0|1.0|9.0|-5.61|5.0|412.51|0.0|1.0|-4.39|0.0010199999999999|0.0167|3.46|0.0|0.0|9.69e-06|-0.03457|5.0|3.8478|-1657.428165|322.22|0.2611|322.22|630.49|0.7006899999999999|0.7006899999999999|0.2611|-0.15969|-1657.245966|3.5077|0.6|6.2218|6.2218
18_a15|0|0.0|0|0.0|-0.020185809|-0.006149666|-0.090130715|2|-0.094812415|-0.319782642|-0.001044324|0.002685285|0|-0.190640601|-0.145790726|-0.431836192|2|0.004699248|0.765450925|0.645117465|0|-0.090730185|0.819442071|0.007146033|-55.48918283|40.37881101|0.163771093|-0.035181092|-33.93632895|-1.723873519|-25.27062952|60.86009645|45.69032922|511.4247108|-1054.294474|-13.15898469|5.990767063|10.2545953|0.711733271|5705.360332|1215.421882|590.2470602999999|1.0|0.0|1.0|1.0|1.0|3.37|24.0|-9.98|5.68|6.86|47.04|2.0|113.42|0.0|1.0|5.0|-6.16|4.0|385.43|1.0|1.0|-5.93|0.000265|0.0004559999999999|5.42|0.0|0.0|4.01e-08|-0.03581|5.65|3.8232|-1265.770242|324.29|0.2686|272.91|535.02|0.6074|0.70427|0.0066|-0.1579|-1265.614679|6.5864|129.0|6.8894|6.8894
16_a15|0|0.0|0|0.0|0.072882981|-0.008593957|-0.463771194|2|-0.003882928|-0.4898555739999999|-0.009769916|-0.011969556|0|-0.006331105|-0.0764246109999999|-0.528097878|2|-0.018331526|0.77948108|0.72660548|0|-0.101500719|0.7427725270000001|0.0070920509999999|-69.38556779999999|53.93878231|0.276402595|-0.039472502|-47.4317527|-2.131515106|-41.45211893|76.07332645|65.48636021|494.6488764|-1457.096924|-18.44568161|6.798937229|11.720499900000002|0.7238723509999999|6931.531554000001|1677.792959|728.353441|1.0|1.0|0.0|1.0|2.0|3.59|24.0|-9.21|3.37|6.02|115.58|2.0|124.45|0.0|1.0|6.0|-6.0|6.0|446.52|1.0|1.0|-5.21|0.000442|0.00274|3.88|0.0|0.0|2.72e-07|-0.04082|8.26|4.1295|-1770.448668|300.24|0.3809|297.1|600.98|0.6541100000000001|0.66615|0.1409|-0.16871|-1770.281427|11.7447|21.0|7.6778|7.6778
4a_a49|0|7.535296702|1|2.085628989|-0.076526919|-0.006602016|-0.074495823|2|-0.080255074|-0.3631108529999999|-1.8100000000000003e-05|0.018857363|1|-0.130491035|-0.060391347|-0.403194204|2|0.032396301|0.856023531|0.731643066|1|-0.087863033|0.433367368|0.017143497|-53.88810275|313.22432680000003|0.242956384|-0.0292876779999999|-33.05061877|-1.4936715669999998|-35.44496163|68.37721704|68.30645049|464.3095353|-916.0977468|-11.01687292|7.934892916|15.01791558|0.8926425020000001|5950.370212|1408.727632|620.5697596|1.0|1.0|1.0|1.0|2.0|3.35|21.0|-7.36|3.4|2.83|92.93|1.0|114.08|0.0|1.0|6.0|-3.28|5.0|399.45|0.0|1.0|-3.52|211.0|122.0|1.71|0.0|0.0|1.74e-05|-0.06461|3.34|3.7876|-1313.158118|327.34|0.1935|262.35|504.63|0.35731|0.68042|0.0789|-0.1585099999999999|-1312.98289|4.8706|32.0|7.4949|7.4949
36_a18|0|7.03438793|2|0.0|0.050448408|-0.006407141|-0.020339784|1|-0.05224259|-0.442092758|-0.000451777|0.003321395|0|-0.079553246|-0.12139648|-0.493920601|0|0.0059061|0.780206307|0.721836103|0|-0.079805761|0.3847791889999999|0.009440278|-56.82615305|110.8288932|0.195706133|-0.031922305|-40.46339026|-2.074949798|-39.43509046|65.59412783|62.10402945|572.70209|-1477.479979|-16.1853561|9.560644525|18.21710397|0.905426346|6799.65027|1819.430996|975.4099618|1.0|0.0|1.0|1.0|3.0|4.19|18.0|-9.16|3.73|2.96|85.29|2.0|146.24|0.0|1.0|7.0|-5.68|3.0|466.57|0.0|1.0|-5.28|0.000975|0.00242|4.18|0.0|0.0|3.210000000000001e-07|-0.04991|7.75|3.1908|-1493.661092|388.57|0.4674|388.57|636.33|0.69372|0.69372|0.4674|-0.13133|-1493.333297|2.7547|32.0|7.4949|7.4949
13m_a6|0|6.842683282|0|0.0|0.031719435|-0.010840005|-0.135152403|2|0.021526267|-0.628720289|-0.0093684169999999|-0.018628955|1|0.037052986|-0.118693789|-0.568024162|2|-0.031564227|0.832753533|0.82642394|1|-0.107644789|0.429009107|0.01858251|-75.05944278|91.22689385|0.2843875389999999|-0.0378750189999999|-52.33806464|-2.045251|-48.09294654|89.65257305|81.92876874|498.9881336|-1426.129413|-18.41524497|8.435961541000001|16.2526769|0.926594475|6412.592679|1936.888972|724.3873672999999|1.0|1.0|1.0|1.0|3.0|3.59|27.0|-9.67|4.19|3.76|122.47|1.0|127.2|0.0|1.0|6.0|-4.64|5.0|435.48|0.0|1.0|-4.28|0.00987|0.0228|2.43|0.0|0.0|9.35e-08|-0.07137|4.27|3.3359|-1423.712909|371.67|275.0|316.88|546.69|0.66475|0.64753|0.1924|-0.13817|-1423.511471|6.5243|0.01|8.0|8.0
14ab_a23|1|7.423568444|0|3.4171257980000003|0.065530542|-0.0050415|-0.028841865|2|0.021287386|-0.287365522|0.013012022|-0.03821899|2|0.038241896|-0.13397874|-0.449699921|2|-0.05990912|0.8072028240000001|0.693959193|1|-0.076243539|0.20155691|0.017974612|-52.21744789|40.23721489|0.07577767|-0.031648261|-35.76253038|-1.677357849|-24.37891748|61.60741239|47.90644969|632.9786397|-1148.783854|-14.84482393|7.83369055|14.76864227|0.885272615|6654.62616|1439.872753|733.3886349999999|0.0|1.0|1.0|1.0|1.0|3.63|26.0|-8.16|4.4|4.63|105.02|2.0|130.22|0.0|1.0|5.0|-6.23|4.0|439.54|0.0|0.0|-5.55|0.000259|0.00123|4.31|0.0|0.0|3.07e-06|-0.07146|4.1|3.6587|-1708.543268|338.88|0.3893|338.88|595.23|0.66532|0.66532|0.3893|-0.14778|-1708.3414239999995|8.4721|4.0|8.4012|8.4012
14a_a25|0|6.842683282|0|1.667057351|-0.092005241|-0.004483962|-0.05112778|2|0.051906412|-0.255585831|0.006085806|-0.019985937|1|0.085350921|-0.077269115|-0.365062041|2|-0.035531959|0.792935475|0.653818362|1|-0.084207356|0.326595394|0.012870836|-55.27820709|107.22698590000002|0.149573695|-0.033365179|-36.28756839|-1.76835447|-30.017374100000005|63.96772039|54.17569023|558.2652611000001|-1160.842349|-14.37809314|7.39139255|14.55676745|0.969421506|6315.975408|1438.906775|712.1606951|1.0|1.0|1.0|1.0|1.0|3.43|27.0|-9.59|4.44|4.92|72.7|2.0|126.26|0.0|1.0|6.0|-5.39|4.0|419.48|0.0|1.0|-5.29|0.0016899999999999|0.00215|4.16|0.0|0.0|1.08e-07|-0.05083|5.79|3.9479|-1352.265931|314.05|0.3529|231.18|548.29|0.42461|0.6714|0.1756|-0.16347|-1352.086073|4.1656|207.0|6684.0|6684.0
