molecula|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|SaaaC|ATSC1c|MATS8i|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|RNCS|RPSA|TPSA_x|WNSA5|RPCS|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|FPSA1|GeomDiameter|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
13b_a30|0|0|0.0|7.412764017000001|2|0.604984129|0.112353041|5.351858133|-0.118776867|2|0.0|-0.627919307|0.042845487|1|-0.002215642|-0.062905093|0.003429114|-0.564815317|0.841060094|0.836520136|-0.045844862|-0.0771674659999999|0.892104517|0|-0.109962789|-0.113554975|0.3529073379999999|-74.24619275|385.2420923|0.305898198|206.54056530000005|-51.76819834|105.341977|-50.13056864|-28.93268471|86.77473353|0.454574838|3002.926824|-19.53516918|0.1997091339999999|16.1428924|6627.406474|36.15271139|0.017174033|-405.5090587|713.7769663|11.59580043|1.0|1.0|2.0|4.76|17.0|-6.19|3.04|1.72|124.74|2.06|1.0|1.0|6.0|-5.01|32.0|-7.05|441.51|0.0|0.0|0.0|9.68e-06|0.00427|5e-05|0.0221|2.74|0.0|0.0|0.000288|5.0501|3.5056|-1744.492044|721.48|1210.94|245.51|0.6862699999999999|-0.14879|3.8495|-0.20313|0.0455651|-1744.281763|7.5901|7.5901
13c_a6|0|0|0.0|7.412764017000001|1|1.424213869|-0.046663393|5.351858133|-0.0122495089999999|1|0.0|-0.605286688|0.054910284|1|-0.000899678|0.081059709|-0.106686991|-0.490486317|0.845481322|0.780680481|0.085414885|-0.167542194|0.8353837409999999|0|-0.093635525|-0.111231609|0.22875443|-63.73961873|157.60887419999997|0.213190168|145.12291069999998|-51.54254258|567.1031411|-43.38886312|-27.1440571|84.53371376|0.466844407|2880.850692|-18.47751526|0.2279674589999999|15.07660437|6204.855629|35.15921372|0.018354398|-370.3562372|692.8471883999999|12.49421473|1.0|1.0|2.0|3.61|23.0|-9.4|5.38|4.57|95.85|1.5|2.0|1.0|6.0|-5.95|32.0|-5.88|423.47|0.0|0.0|1.0|1.11e-06|0.000471|5.42e-06|0.00229|4.23|0.0|0.0|1.68e-07|5.992000000000001|3.6519|-1389.39897|719.8|1217.77|206.92|0.7008800000000001|-0.14975|7.7129|-0.1999|0.0276450999999999|-1389.184603|7.1367|7.1367
14_a4|0|0|0.0|7.535296702|1|1.399909181|-0.2248919089999999|5.4161004020000005|-0.04986736|1|0.0|-0.069682036|-0.08389836|1|0.008943549|-0.031578333|-0.016862096|-0.199315317|0.507307223|0.77505994|0.158051825|0.204594017|0.843811017|0|-0.065776751|-0.071074269|0.218112446|-29.91067393|12.12963775|0.148961754|67.73740575|-14.69670456|85.72299913|-13.60128622|-13.71135194|35.84371234|0.40126838|1911.448021|-6.23496557|0.231542789|8.859498364|3944.638539|17.84270058|0.015779688|-244.1511936|280.2639278|7.175500282000001|1.0|1.0|0.0|3.14|17.0|-5.71|3.59|4.09|30.71|2.82|0.0|2.0|2.0|-3.4|21.0|-5.8|277.3|0.0|1.0|1.0|0.000396|0.11|0.000106|0.0295|3.09|0.0|0.0|0.000539|4.5233|4.2312|-918.9507745|475.32|794.51|274.1|0.55975|-0.17381|2.3797|-0.2102|0.020300099|-918.896242|5.8794|5.8794
3i_a32|1|1|-4.547725143|7.78113851|0|0.6094207970000001|-0.157360524|5.733341277|-0.363243817|0|1.711001131|-0.4449120629999999|-0.26785886|3|-0.0106761939999999|-0.8373173840000001|-0.054335108|-0.537667101|0.565740817|0.833699527|-0.337053202|0.030060554|0.902293804|1|-0.093279684|-0.1132851459999999|0.259644227|-49.17963359|60.99385995|0.106172013|55.97682661|-31.48976464|0.201037767|-25.92886531|-23.52884474|57.24454122|0.422644726|2471.4299920000003|-12.4050588|0.22927653|10.09193014|5656.349227000001|30.52825775|0.021905206|-285.465827|318.0257595|11.54903146|1.0|1.0|1.0|3.1|19.0|-6.96|6.76|6.29|110.94|2.09|2.0|1.0|3.0|-6.27|24.0|-5.53|366.38|1.0|0.0|1.0|5.37e-07|0.000197|6.85e-06|0.00251|4.23|0.0|0.0|4.01e-05|3642.0|3642.0|-1891.833327|530.5|876.0|340.43|0.70322|-0.1476|2494.0|-0.21278|0.02199999|-1891.790935|8.2366|8.2366
3o_a32|1|1|0.0|7.773594467000001|1|0.609420753|-0.022603806|5.733341277|-0.014299905|1|2.240993002|-0.306416317|-0.117781901|3|0.000243592|-0.117744493|-0.061774721|-0.483580522|0.90022001|0.8214857240000001|-0.074509084|-0.154436834|0.872498916|1|-0.073742105|-0.095457829|0.252703854|-42.51640563|62.67187821|0.162219176|93.52833522|-31.73171751|0.0|-24.51306152|-18.34557429|49.73468603|0.455089918|2488.133192|-10.57723917|0.214905181|11.73098001|5488.777096|23.36733582|0.0130649069999999|-328.7458915|541.0877621000001|7.532642302|1.0|1.0|2.0|3.47|19.0|-7.27|6.39|4.2|122.97|1.58|1.0|1.0|3.0|-5.72|26.0|-6.17|381.52|0.0|0.0|1.0|1.89e-06|0.00072|1.87e-05|0.00714|3.46|0.0|0.0|2.04e-05|3.5333|3.5333|-1805.504508|620.56|1049.14|350.9|0.70216|-0.14652|3.2729|-0.20065|0.03088166|-1805.333039|6.6198|6.6198
17a_a25|0|0|0.0|6.842683282|0|1.373200859|0.0055894319999999|4.727387819|-0.036457743|2|2.008884939|-0.248224991|-0.0688716509999999|1|0.006423059|-0.02776212|-0.047099434|-0.362222339|0.6741827509999999|0.748718056|0.168247187|0.0114970419999999|0.8005589320000001|1|-0.06234901|-0.079378741|0.348821736|-44.46905084|93.75234138|0.125413071|89.44809639|-40.379488|80.30332825|-31.71656603|-21.2306737|53.50212109|0.468791604|2907.309477|-15.142307999999998|0.244019498|16.93624014|6250.571217000001|28.08362601|0.015373381|-365.1448527|781.7487682|10.96472369|1.0|1.0|1.0|3.48|27.0|-9.98|4.83|5.31|72.7|2.67|2.0|1.0|7.0|-5.12|33.0|-6.18|433.5|0.0|0.0|1.0|7.5e-06|0.00325|7.44e-06|0.00323|3.9|0.0|0.0|4.54e-08|5.2683|3.9347|-1391.625102|747.06|1271.9|235.34|0.6722|-0.16304|3.4677|-0.21559|0.0362293|-1391.385492|7.6021|7.6021
9d_a40|0|0|0.0|7.515889085|0|0.604992329|0.007834411|5.4161004020000005|-0.022152094|0|0.89023715|-0.146575228|0.15723868|2|0.010101686|0.259969752|0.0116099239999999|-0.4887998529999999|0.601831605|0.7572844040000001|-0.3969541689999999|-0.223631751|0.8221990920000001|1|-0.060319196|-0.071656839|0.002088915|-31.08478865|108.1468558|0.058372388|30.08152399|-19.03015798|50.47044708|-16.01918037|-16.29154841|36.6245851|0.467275972|2109.570685|-8.395657932|0.133579429|15.06105494|4401.742338|18.80327978|0.0087217999999999|-377.6610668|346.9019309|4.49467719|1.0|0.0|0.0|3.25|20.0|-7.0|5.2|5.09|58.43|4.07|1.0|1.0|2.0|-6.13|22.0|-4.62|325.82|0.0|1.0|1.0|7.37e-07|0.0002399999999999|2.23e-06|0.000727|5.16|0.0|0.0|3.3e-05|4.6073|3.3464|-1677.551678|542.19|892.69|269.1|0.69986|-0.13875|6.2032|-0.20781|0.01113991|-1677.48058|6.9706|6.9706
7b_a8|0|0|0.0|7.535296702|1|1.395658671|-0.119760914|5.4161004020000005|-0.038810124|1|0.0|-0.4829936279999999|-0.052309137|1|0.003191529|-0.039357491|-0.021509048|-0.415894017|0.710658316|0.7812177770000001|0.048462902|-0.040994467|0.8453887859999999|0|-0.101439013|-0.1000685009999999|0.282366236|-60.75943432|145.0783004|0.277652387|166.30684230000003|-35.90168309|75.93423425|-36.39338307|-24.75721974|80.62622045|0.4787988|2776.185773|-14.82895606|0.246064343|14.76972982|6185.0105140000005|32.83731114|0.022982731|-304.2022276|545.9267515|13.76608164|0.0|1.0|1.0|3.49|23.0|-7.65|4.48|3.8|92.93|2.23|2.0|1.0|3.0|-5.25|30.0|-6.15|396.4|0.0|0.0|1.0|5.64e-06|0.00224|1.14e-05|0.00454|3.61|0.0|0.0|8.94e-06|4.5945|3.26|-1330.622441|621.4|1067.73|269.85|0.7025100000000001|-0.13639|9.9463|-0.20472|0.0273745|-1330.448193|4.8687|4.8687
8b_a12|0|0|0.0|0.0|1|1.283836078|0.190292199|0.0|-0.1676879319999999|2|0.0|-0.618894925|-0.036536396|0|-0.007926474|0.047425677|0.003898807|-0.659952678|0.89481633|0.7407532059999999|-0.010950243|-0.183648492|0.792160599|0|-0.1053827859999999|-0.116554734|0.4384536329999999|-60.97837482|319.0086845|0.259073691|149.9096134|-39.02494133|76.80174559999999|-35.28434152|-26.39069094|67.49212879999999|0.480938153|2388.888334|-15.27062922|0.111063646|12.27845608|5217.318476|29.68794201|0.009361504|-450.1059006|510.3677388|5.416912474|0.0|1.0|2.0|4.11|18.0|-7.45|3.11|1.9|80.37|2.23|1.0|1.0|4.0|-4.1|27.0|-6.51|355.39|0.0|0.0|0.0|7.890000000000001e-05|28.0|9.74e-05|0.0346|2.76|0.0|0.0|1.26e-05|4.2263|3.7446|-1159.405202|611.93|1020.47|293.37|0.57773|-0.15294|4.2554|-0.21184|0.03936706|-1159.2425119999998|6.58|6.58
12v_a36|0|0|0.0|7.412764017000001|2|1.297043692|-0.077763989|5.351858133|-0.04314418|2|0.0|-0.487854327|-0.086194201|1|0.003077071|0.123026459|-0.1430106119999999|-0.401336708|0.8913597320000001|0.828393514|0.024751559|-0.041914045|0.8792981679999999|0|-0.078158778|-0.105200486|0.334379501|-51.4172081|113.7463918|0.197708661|130.0637965|-45.52806671|0.462992841|-33.82511043|-21.78731129|69.27488156|0.461799225|2846.057239|-14.33290989|0.372344602|15.71271745|6065.593390999999|34.71221847|0.02867403|-167.9576969|679.7230552999999|18.86337805|1.0|1.0|2.0|4.82|17.0|-6.69|2.77|1.89|78.43|1.72|1.0|1.0|6.0|-3.95|31.0|-6.93|411.46|0.0|0.0|0.0|0.000113|0.0464|8.499999999999999e-05|35.0|2.65|0.0|0.0|8.340000000000001e-05|3.8847|3.7035|-1347.475543|671.56|1150.38|319.16|0.7016100000000001|-0.15185|6.1869|-0.20404|0.03275089|-1347.260743|7.8539|7.8539
