molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC1i|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
41_a18|0.0|0|0|0.0|0.0|0|2|0.0|0.115127295|-0.007587553|4.844187086|-0.059936864|0.038034188|0.0|-0.500778516|-0.0034878|0.022493846|0.0212700929999999|0|-0.002136837|-0.0091068809999999|0.037097204|0.774395455|0.745631286|0|-0.089139464|0.009550224|-69.94639412|6.547189171|347.42621339999994|181.7135945|-0.037381065|93.99687836|-2.317626057|-47.95199341|-25.62671923|76.49358329|0.487248278|2899.29167|503.8398786|-1588.856592|1491.296991|0.0967605159999999|8.787657952|17.13823195|0.950261611|6605.095612|66.33450764|28.37200951|0.006896617|-552.8844577000001|1759.064589|897.5188662|4.727999916|1.0|1.0|1.0|1.0|3.0|4.07|0.0|0.25|-8.38|3.26|2.94|2.0|141.34|0.0|6.0|-5.56|3.0|-6.38|452.55|0.0|1.0|0.00125|9.49e-06|0.0042899999999999|3.78|4.18e-09|1.89e-06|-0.04956|3.2123|736.59|1294.52|385.97|576.83|0.69308|0.69308|-1453.980175|482.0|-0.1319|2.0934|-1454.045308|2721.0|369.0|6433.0
IN1166_a11|0.0|0|0|3.433539068|0.0|0|0|0.0|-0.089778965|-0.006882528|4.727387819|-0.008507023|0.044021739|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|-0.037793156|1|-0.001446486|-0.223618825|-0.067328767|0.827254552|0.790249345|1|-0.0896538619999999|0.0200246639999999|-51.07061499|13.82641888|112.0066065|94.40543077|-0.031642539|20.83871871|-1.6137695069999998|-35.26269962|-21.84820685|64.89703387|0.463497159|2865.055175|596.0640225999999|-1114.258549|2953.475057|0.305697179|6.777827685|12.63334911|0.8639230290000001|6310.825439|211.0745642|31.46783535|0.021531291|-268.3203251|1604.859603|676.2770877|14.86669859|1.0|1.0|1.0|1.0|2.0|3.51|2.79|0.08|-10.18|5.01|0.92|1.0|123.82|0.0|5.0|-5.11|5.0|-6.52|417.47|0.0|1.0|0.00323|1.65e-05|0.00688|3.27|6.59e-11|2.75e-08|-0.07275|3.2827|704.48|1198.36|377.7|554.63|0.4358399999999999|0.6998300000000001|-1347.012407|0.1239|-0.13823|3365.0|-1347.073528|4.3481|12.0|7.9318
47g_a18|0.0|0|0|0.0|0.0|0|1|0.0|-0.005500039|-0.005817448|4.844187086|-0.034211867|0.031179487|0.0|-0.477030713|0.0036509859999999|0.033759227|-0.008224928|0|0.00531392|-0.3927204379999999|-0.014370598|0.780474694|0.745431271|0|-0.08547236|0.013404131|-55.35188184|11.37505183|111.5517627|140.5114492|-0.029212072|47.07867403|-2.307753726|-46.97287277|-24.79003275|66.72693367|0.4913566339999999|3367.0578530000003|708.1114197|-1958.412588|2268.439188|0.268129223|10.33698377|20.32265524|0.966014041|7870.887027|227.5405903|33.87214455|0.016259076|-393.5416883|2675.8994190000003|1347.416568|13.79782369|1.0|1.0|1.0|1.0|2.0|4.87|0.0|0.34|-9.22|3.22|2.79|3.0|164.47|1.0|13.0|-6.11|4.0|-6.4|541.68|0.0|0.0|0.000421|3.01e-06|0.00163|4.52|6.04e-10|3.27e-07|-0.04413|3.0965|905.71|1604.37|400.4|874.26|0.69828|0.69828|-1742.7686640000002|0.5955|-0.12789|4966.0|-1742.847918|5.9864|9.0|8.0458
7e_a8|0.0|0|0|3.038052327|0.0|1|0|1.3496955309999998|-0.150447714|-0.006027596|4.844187086|-0.052939815|0.043758865|0.0|-0.289324602|0.0024398329999999|-0.11032771|-0.0446343779999999|1|0.002669179|0.07125309|-0.072307692|0.790500031|0.577394732|0|-0.0886889709999999|0.0215993429999999|-51.4880895|12.91806855|86.03149870000001|102.177831|-0.037446454|63.5628736|-1.6850904519999998|-30.79383811|-22.39586026|64.40615805|0.4742828629999999|2605.914474|495.8990914|-1007.813711|2032.501296|0.223998448|7.70387217|14.654025199999998|0.902163597|5808.479788000001|133.9683023|28.86058693|0.018708212|-330.14031780000005|1298.726412|519.5762494|11.18895001|1.0|0.0|0.0|0.0|1.0|3.2|3.38|0.04|-8.29|5.16|3.54|2.0|108.43|0.0|4.0|-5.75|4.0|-5.43|385.39|0.0|1.0|0.000686|3.87e-06|0.00149|4.54|5.07e-09|1.95e-06|-0.0697|3.2363|622.23|1060.05|383.1|544.55|0.6998300000000001|0.70177|-1300.271093|0.1522|-0.13577|9.0006|-1300.327213|11.4436|35.1|4.4547
1o_a5|0.0|0|0|2.923171926|0.0|0|0|0.0|-0.266637757|-0.002633927|4.59511985|0.033105871|0.025987654|0.0|-0.1079910069999999|0.0057302559999999|-0.102739602|-0.008511304|1|0.0051989459999999|0.06759341|-0.016408975|0.85693939|0.650008224|0|-0.072886362|0.01325562|-42.63505279|7.122612351|167.3051756|62.16682117|-0.028770932|1.01402588|-1.093295425|-22.90899675|-15.45942012|49.75766514|0.470590799|2238.291862|475.1609233|-587.4579645|833.537568|0.300086449|7.522366517000001|14.20898333|0.8888980340000001|4572.818263|161.2447749|22.08761368|0.020380352|-214.8381946|839.3293197999999|393.5487205|10.95092849|1.0|1.0|1.0|1.0|1.0|2.81|2.2|0.0|-8.11|4.48|1.23|0.0|95.2|0.0|3.0|-4.08|4.0|-6.3|323.35|0.0|1.0|0.0269|8.340000000000001e-05|27.0|2.78|7.85e-09|2.54e-06|-0.07037|4.1692|561.04|938.37|297.38|443.88|0.4988899999999999|0.5492100000000001|-1043.422345|0.0071|-0.1693599999999999|4.7435|-1043.472984|5.4919|35.0|7.4559
8a_a31|0.0|0|0|3.28085223|0.0|0|1|0.0|-0.039027368|-0.015034136|5.733341277|-0.158899731|0.043817204|0.0|-0.586331322|-0.013230176|-0.135144546|-0.01861065|2|-0.009293513|-0.094359203|-0.030149254|0.895174844|0.883113019|0|-0.136459435|0.0375544779999999|-60.46233433|18.56711239|131.2406629|200.6591816|-0.0416959379999999|465.4559302|-1.501053781|-29.89286568|-20.61467025|79.02944672|0.4512945479999999|2128.209198|293.7455749|-742.1281291|1443.955093|0.333562641|5.83708559|10.63792161|0.822471411|4538.505909|164.9149565|30.93264504|0.030052065|-164.57484340000002|1113.575221|324.7430642|14.85788369|0.0|1.0|1.0|1.0|2.0|3.34|2.05|0.2|-5.33|4.16|0.36|0.0|83.83|0.0|3.0|-3.57|5.0|-7.11|314.36|0.0|1.0|0.0846|0.000773|243.0|1.56|4.62e-06|0.00145|-0.02993|3.8097|538.75|872.11|325.45|396.15|0.7027100000000001|0.7027100000000001|-1347.3959220000002|0.2604|-0.1587599999999999|3.7141|-1347.446223|5.3042|0.79|6.1024
LY364947_a10|0.0|0|0|2.949609552|0.0|0|0|0.0|-0.278922508|-0.00235945|4.59511985|-0.00390904|0.0273958329999999|2.084955541|-0.084940213|0.007575|0.010202602|-0.006198347|1|0.006909045|0.072909639|-0.012096774|0.7792035190000001|0.681525895|1|-0.075303751|0.009678082|-34.01613475|4.275500834|144.7228349|69.31194102|-0.029665114|0.0|-0.978948758|-15.02735938|-13.10520229|38.29163558|0.486715511|1896.845282|372.4595738|-432.4716757000001|839.5356408|0.276515344|4.702575386|9.161732895|0.948237326|3903.496845|122.1566022|18.1140017|0.018707677|-197.4583104|597.7620559999999|287.99188260000005|8.264519015|1.0|1.0|1.0|1.0|1.0|2.46|1.88|0.0|-7.2|3.97|1.74|0.0|82.56|0.0|2.0|-3.54|3.0|-6.02|272.3|1.0|1.0|0.0789|0.000137|0.0374|2.74|6.31e-08|1.7199999999999998e-05|||||||||||||||59.0|7.2291
14a_a22|0.0|0|0|0.0|0.0|1|0|1.646649187|-0.136588366|-0.0050042229999999|4.727387819|-0.052476637|0.038167849|1.614660505|-0.280236463|0.005288335|-0.057308195|-0.015194063|1|0.005757758|-0.165471815|-0.027029438|0.794858486|0.655865336|1|-0.081479363|0.021268761|-42.39063895|14.49148204|93.21042936|92.61079081|-0.031338217|60.38977977|-1.629587269|-28.88288575|-21.35231162|56.88212098|0.446584227|2885.858295|588.739773|-1110.320204|2169.870866|0.299209593|8.052850876|14.55117701|0.8069597009999999|6348.976909|203.8666248|30.46889826|0.021742777|-273.61731430000003|1584.38271|684.5377542|14.81445329|1.0|1.0|1.0|1.0|1.0|3.42|2.86|0.08|-9.21|3.87|1.73|1.0|124.05|0.0|6.0|-4.65|5.0|-6.61|420.47|0.0|1.0|0.00945|2.1e-05|0.00881|3.18|6.1e-10|2.56e-07|-0.06145|3.5707|695.62|1191.81|347.23|534.87|0.45928|0.63156|-1368.075682|0.0578|-0.15029|4.9775|-1368.13858|6603.0|38.0|7.4202
18a_a25|0.0|0|0|0.0|0.0|1|0|1.875390684|-0.151473962|-0.0029953159999999|4.727387819|-0.019008377|0.038167849|2.050257213|-0.170732995|0.007643634|-0.018419483|-0.019985937|1|0.007325341|-0.06333068|-0.035531959|0.792935475|0.7291583840000001|1|-0.078181889|0.0095281269999999|-37.07961488|6.317215793|75.74077952|45.33086513|-0.03097773|0.0|-1.641819678|-24.58404782|-20.53845469|43.39683067|0.493301255|2857.88027|617.676232|-1088.538099|2331.966135|0.182927961|7.39539242|14.59524518|0.973559258|6523.923911999999|121.2825364|25.136651|0.011486699|-420.4420243|1332.242503|759.4953883|7.615762647|1.0|1.0|1.0|1.0|1.0|3.5|3.43|0.08|-9.78|5.89|2.88|2.0|133.85|0.0|6.0|-6.33|3.0|-5.58|435.54|0.0|1.0|0.000202|1.71e-06|0.000744|4.76|1.67e-10|7.28e-08|-0.05591|3.1711|694.17|1229.09|390.98|556.26|0.2834|0.5274399999999999|-1674.982248|0.0027|-0.15732|3.1313|-1675.04368|4.3839|94.0|7.0269
43_a18|0.0|0|0|0.0|0.0|0|2|0.0|0.032999679|-0.005099385|4.844187086|-0.01369899|0.033734062|0.0|-0.397752066|0.002712865|0.031746165|-0.032429984|0|0.003801459|-0.2093696189999999|-0.0579590709999999|0.7458234990000001|0.712848727|0|-0.0822489459999999|0.006890688|-54.49271386|5.35147222|0.66443384|114.6724699|-0.0311212229999999|21.60709738|-2.302970476|-42.32033664|-24.16948112|59.84418608|0.481954273|3172.923606|661.9512957999999|-1788.541603|1579.614523|0.125626651|10.01438533|19.33108376|0.930331529|7428.282915000001|97.56464265|27.64206062|0.007193089|-581.4944803999999|2045.512486|1228.492038|5.5863235410000005|0.0|1.0|1.0|1.0|2.0|4.54|0.0|0.34|-9.6|4.5|3.7|3.0|160.76|0.0|9.0|-6.45|3.0|-5.78|508.65|0.0|0.0|0.00018|1.09e-06|0.000554|5.1|2.52e-10|1.28e-07|-0.04949|3.2233|843.1|1493.25|384.65|702.4|0.6926800000000001|0.6926800000000001|-1611.126246|0.5429|-0.13196|3.0482|-1611.198355|3.6943|625.0|6.2041
9b_a36|0.0|0|0|3.513187594|0.0|0|2|0.0|-0.053019801|-0.0058276019999999|5.351858133|-0.023369916|0.040166667|0.0|-0.308862918|0.005050384|-0.077361324|-0.06502499|1|0.005458948|-0.094526372|-0.1177413269999999|0.842671963|0.7961424690000001|0|-0.098301686|0.017007854|-46.58565720000001|10.68084402|67.12293326|97.10089515|-0.036110824|0.0|-1.769430355|-29.25555061|-22.67740953|57.26650122|0.453252346|2715.020034|530.8939077|-1111.193067|2464.2160510000003|0.21757783|7.549264797|13.80758516|0.828997331|5838.085413000001|136.63774650000002|28.98359786|0.015872498|-354.7193098|1420.196295|620.9195447000001|9.967846072|1.0|0.0|1.0|0.0|1.0|4.73|0.0|0.14|-6.64|3.6|2.82|1.0|126.17|0.0|5.0|-4.6|4.0|-6.46|398.48|0.0|0.0|0.00992|3.71e-05|0.0148|3.2|2.3100000000000002e-07|9.21e-05|-0.05146|3.8535|666.01|1127.85|321.74|514.45|0.69763|0.69763|-1575.557248|0.5392|-0.15833|6.2846|-1575.616432|8.4288|21.0|7.6778
3_a3|0.0|0|0|0.0|0.0|0|0|0.0|0.159413311|-0.010040064|5.283203728999999|-0.114647585|0.034259259|2.063441043|-0.3413621639999999|-0.007818326|0.0483259979999999|0.069435247|2|-0.006362643|0.081380229|0.123113049|0.885339037|0.8495058259999999|1|-0.098797066|0.012617742|-48.91675544|5.753894372|228.5396864|112.2682304|-0.035057023|75.88125246|-1.086767728|-22.30683222|-15.98657012|54.67064981|0.415122657|2092.406045|343.74795510000007|-495.58367360000005|1349.6286710000002|0.299996173|5.025797436|8.592908408|0.709760196|4677.617255|136.8031103|22.83783244|0.023287455|-182.4099648|707.9728057|302.8386149|10.6194566|1.0|1.0|1.0|1.0|1.0|3.11|2.39|0.0|-6.15|5.0|1.41|0.0|88.36|0.0|2.0|-5.48|3.0|-5.88|310.4|0.0|1.0|0.00103|4.06e-05|0.0126|3.26|7.009999999999999e-07|0.000218|-0.0637|3.3475|491.26|817.21|370.38|316.65|0.29441|0.69206|-1592.792349|0.0851|-0.14599|2.1507|-1592.839065|2.8045|1175.0|5.93
12aq_a36|0.0|0|0|3.427017327|0.0|0|2|0.0|0.0332421529999999|-0.0116333169999999|5.351858133|-0.135770278|0.041728395|0.0|-0.674732412|-0.006653538|-0.1031859869999999|-0.028591187|1|-0.004569485|-0.090926893|-0.047695595|0.89459881|0.849217847|0|-0.122078233|0.021389734|-73.0277723|14.29132551|86.6958382|212.8220574|-0.042953452|112.415579|-2.319486422|-48.79273723|-28.69889692|87.31909781|0.426481765|2932.54604|455.31741460000006|-1549.740434|2906.024504|0.238023252|8.596645087999999|14.98931431|0.743623723|6296.75201|159.03272990000002|37.66374367|0.020701483|-350.0740123|2033.842158|689.2886595|13.83147784|0.0|0.0|1.0|0.0|3.0|4.83|0.0|0.13|-6.14|1.92|1.28|1.0|131.85|0.0|6.0|-3.52|5.0|-7.79|424.46|0.0|0.0|129.0|0.000359|152.0|1.55|7.19e-07|0.000305|-0.06059|3.3759|703.04|1190.22|367.26|534.96|0.6933199999999999|0.7058300000000001|-1401.391057|0.0059|-0.13908|6.7649|-1401.452487|8671.0|55.0|7.2596
19c_a38|0.0|0|0|3.332128134|0.0|0|2|0.0|-0.085545751|-0.008177185|5.351858133|-0.04575843|0.04508642|0.0|-0.449745181|-0.004442319|-0.0725602509999999|-0.0431896509999999|1|-0.002443797|-0.20848518|-0.071918235|0.908721232|0.6885713729999999|0|-0.108301657|0.024315945|-57.79749770000001|15.30924906|139.1570837|151.612258|-0.038224114|4.848162625|-1.949429829|-36.38913762|-24.06579196|73.10674676|0.477803802|2967.98627|477.9848537|-1227.35539|2660.812979|0.281292809|6.97753104|13.36189552|0.914989047|6618.350708|177.10114030000005|33.48483537|0.023120664|-275.39483110000003|1707.726604|640.025745|14.55670345|1.0|0.0|1.0|1.0|3.0|4.84|3.0|0.13|-6.92|3.17|1.76|1.0|130.41|0.0|5.0|-4.35|5.0|-7.13|426.45|0.0|0.0|19.0|7.55e-05|0.0322|2.5|1.2099999999999998e-07|5.14e-05|-0.05691|3.8322|652.09|1138.6|323.53|517.28|0.2597|0.6279899999999999|-1424.1880119999998|0.1417|-0.15612|2495.0|-1424.247603|3.2846|9.0|8.0348
