molecula|NaaNH|SaaNH|SssssC|nAHRing|BCUTs-1|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8s|SIC2|GATS1pe|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|FNSA1|WNSA3|PNSA4|TASA|PNSA2|GeomRadius|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
27b_a34|0|0.0|0.0|1|1.4335271040000002|-0.016803292|1|0.042739018|-0.106245942|0.0|-0.001438963|-0.029622037|10.95430634|-0.027175221|1|1|0.001228116|-0.194619338|-0.322091086|-0.463926296|0.820914556|0.00102838|0.8299950709999999|0.770240631|-0.109683855|0.3307451819999999|0.031021066|-57.66200309|-72.21552354|20.42417736|150.83624440000003|142.58786569999998|-47.54648562|13.44721755|0.712312759|-37.9644911|-24.553278|515.8091561000001|-1227.6639|9.124440695|0.687123753|6032.666081|189.4124225|34.46979951|0.022820627|1723.489976|15.02503259|1.0|1.0|1.0|1.0|1.0|1.0|3.54|0.12|-8.19|3.94|84.99|1.83|2.0|0.0|116.33|1.0|-5.23|31.0|5.0|0.0|-4.96|5.92e-06|0.00243|1.1e-05|0.00449|3.75|0.0|0.0|6.53e-09|2.67e-06|-0.04121|4.8168|4.0935|-1350.055377|-1350.018975|691.97|302.88|257.4|577.39|-1349.811401|11.8546|0.03640275|-1349.873325|15.2147|0.65|6.1871|6.1871
3a_a32|1|3.226454082|0.0|0|0.6094208210000001|-0.045659995|0|0.03382716|-0.014365682|2.211368234|-0.002794182|0.102212031|10.31100283|0.125185185|3|3|-0.001223394|-0.079652285|-0.1568626659999999|-0.491457345|0.84134255|-0.045516432|0.921812162|0.7757299320000001|-0.0970820759999999|0.30031978|0.0224684379999999|-37.30101542|-44.92473442|10.39727075|87.55216606|84.65041685|-20.78892268|4.811337463|0.6723099029999999|-17.261046399999998|-14.97491147|378.0996237|-449.2473442|5.755284924|0.855441483|4249.04624|151.63860559999998|22.27382254|0.0236593529999999|668.2146761|10.9483666|0.0|1.0|1.0|1.0|1.0|1.0|2.96|0.07|-6.12|5.77|110.94|1.19|0.0|0.0|83.28|1.0|-5.32|20.0|3.0|0.0|-4.35|4.83e-06|0.00144|4.51e-05|0.0134|3.31|0.0|0.0|7.66e-07|0.0002279999999999|-0.0558|3.6308|3.6308|-1554.796165|-1554.768725|492.91|341.48|341.48|355.48|-1554.7020630000002|3.6178|0.02744024|-1554.748543|5.7916|3.0|8.5686|8.5686
9d_a40|0|0.0|0.0|0|0.604992329|-0.022152094|0|0.045555556|0.153818743|0.89023715|0.011823978|0.15723868|10.3119722|-0.137738587|2|2|0.010101686|0.0116099239999999|0.019621984|-0.4887998529999999|0.601831605|-0.3969541689999999|0.8221990920000001|0.55759121|-0.071656839|0.002088915|0.010749826|-31.08478865|-36.92750973|5.539796446|108.1468558|30.08152399|-19.03015798|2.854868966|0.8664205709999999|-16.01918037|-16.29154841|485.2567189|-553.912646|8.023385851|0.87714454|4401.742338|68.83858806|18.80327978|0.0087217999999999|639.3115126|4.49467719|1.0|0.0|1.0|0.0|0.0|0.0|3.25|0.06|-7.0|5.2|58.43|4.07|1.0|0.0|91.71|1.0|-6.13|22.0|2.0|1.0|-5.65|7.37e-07|0.0002399999999999|2.23e-06|0.000727|5.16|0.0|0.0|1.01e-07|3.3e-05|-0.06906|4.6073|3.3464|-1677.551678|-1677.540538|542.19|370.51|269.1|446.84|-1677.429981|6.2032|0.01113991|-1677.48058|7.9502|107.0|6.9706|6.9706
3k_a32|1|3.644417045|0.0|0|0.609420759|-0.001250803|0|0.0381981979999999|-0.047167919|2.256213388|0.001221534|-0.0902541999999999|10.31100271|-0.077097565|3|3|0.002509816|-0.050938823|-0.090775221|-0.5265375529999999|0.816196288|-0.127713677|0.8306695270000001|0.7681279190000001|-0.090839907|0.31016741|0.0123637989999999|-40.10830541|-51.21653025|6.970844822|80.0971996|68.92687468|-28.87643819|3.930238317|0.78057227|-22.61349991|-16.67514938|494.8840288|-717.0314235000001|6.153598893|0.89626209|5259.698672|123.7157466|21.36272325|0.012327787|918.5970998|6.9505405620000005|1.0|1.0|1.0|1.0|1.0|1.0|3.47|0.32|-7.23|7.12|110.94|2.41|2.0|0.0|105.36|1.0|-7.04|25.0|3.0|0.0|-5.61|9.16e-08|3.3600000000000004e-05|2.47e-06|0.000904|4.97|0.0|0.0|5.86e-08|2.15e-05|-0.05321|3.5363|3.5363|-1750.164914|-1750.1383649999998|611.65|350.6|350.6|452.36|-1749.957584|3.2233|0.02654958|-1750.0122420000002|5689.0|9.0|8.0605|8.0605
12a_a32|1|3.442930603|0.0|0|0.609420757|-0.057200812|0|0.036711712|-0.0134169989999999|2.136609567|-0.003484915|-0.031249617|10.31100269|-0.074344282|3|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|-0.583507277|0.788133615|-0.018578911|0.8966299409999999|0.7507116140000001|-0.109151429|0.288267255|0.016535497|-53.20970382|-68.06885478|10.31184223|111.9735444|131.7691491|-42.44899997|6.430656017|0.667706375|-33.18255791|-19.23685026|491.8493928|-884.8951120999999|7.083688576|0.840404348|5656.0082|207.2244662|28.81034388|0.021399091|1325.275819|13.34486989|1.0|1.0|1.0|1.0|1.0|2.0|3.45|0.26|-7.65|6.49|140.04|1.1|1.0|0.0|110.47|1.0|-6.01|27.0|4.0|0.0|-4.5|9.78e-07|0.000389|3.17e-05|0.0126|3.39|0.0|0.0|2.23e-08|8.86e-06|-0.05222|3576.0|3576.0|-1880.771042|-1880.734215|667.68|346.71|346.71|548.66|-1880.539078|3.0517|0.03682626|-1880.600043|4.2371|25.0|7.6021|7.6021
14v_a23|0|0.0|-4.844615416|0|1.1979575059999998|-0.299484129|2|0.047323232|0.055572317|0.636416435|-0.002390707|0.017156562|10.3132174|-0.015149431|2|2|-0.0004039459999999|-0.0962526|-0.2952674819999999|-0.650246427|0.598213287|0.132882353|0.845160857|0.575188253|-0.09479984|0.31419322|0.019811827|-44.4776373|-62.61276875|13.08518422|78.86310829|55.07999434|-41.35406587|8.64241561|0.788328659|-29.37629463|-28.23713101|605.3933675|-1440.093681|7.743452839|0.84234449|8458.789829000001|139.8032821|35.81898321|0.020908947|1826.768144|13.80980223|0.0|0.0|1.0|0.0|1.0|1.0|3.62|0.09|-7.95|3.97|114.25|3.04|2.0|1.0|126.97|1.0|-6.89|35.0|8.0|0.0|-6.0|1.29e-07|6.38e-05|1e-06|0.0004969999999999|4.76|0.0|0.0|1.12e-08|5.57e-06|-0.07843|3694.0|3694.0|-2042.182282|-2042.161744|679.5|335.64|335.64|533.44|-2041.93452|4.5506|0.02053833|-2041.998955|6.3758|4.0|8.4001|8.4001
3c_a32|1|3.452148526|0.0|0|0.6094207970000001|-0.048337951|0|0.043817204|-0.0522536959999999|2.224112182|-0.00017094|-0.113334836|10.31100278|-0.01180891|3|3|0.00124359|-0.0779821129999999|-0.145525719|-0.5427297289999999|0.831186295|-0.003205869|0.901864778|0.774363061|-0.0943910459999999|0.216289509|0.015118975|-34.91603827|-48.52416391|7.772301225|59.72163595|57.18235134|-24.94510426|3.995552912|0.693952122|-17.94949454|-14.82682786|456.8935699|-533.7658031000001|5.605165488|0.733606015|4598.027604999999|157.331845|21.36577928|0.018316536|769.1680542|9.416090047|1.0|1.0|1.0|1.0|1.0|1.0|3.22|0.19|-6.89|6.61|110.94|1.7|1.0|0.0|93.05|1.0|-6.18|22.0|3.0|0.0|-4.91|6.65e-07|0.000217|1.22e-05|0.00399|4.14|0.0|0.0|1.28e-07|4.18e-05|-0.05487|3.5169|3.5169|-1633.443791|-1633.419633|544.22|352.54|352.54|425.74|-1633.297494|3123.0|0.02415856|-1633.348356|5.0659|9.0|8.0458|8.0458
12ae_a36|1|3.412870974|0.0|2|0.299253957|-0.351827031|2|0.041555556|0.087069205|0.0|-0.006862238|-0.083959343|10.31810353|0.006615826|1|1|-0.001160331|-0.15024383|-0.261631709|-0.513686975|0.8183043390000001|-0.0931249669999999|0.8837136859999999|0.750657639|-0.105648609|0.439268891|0.023873046|-63.96145017|-78.71102033|17.78605328|96.60079598|211.4077529|-58.64180087|13.25108213|0.6849975640000001|-47.65297933|-27.14173115|533.6188092|-1574.220407|8.676756505|0.870019385|7331.209763|234.6851816|39.62310606|0.025570256|2298.140152|19.05051961|0.0|0.0|0.0|1.0|0.0|3.0|5.03|0.17|-6.87|1.28|123.75|0.84|1.0|0.0|142.02|1.0|-3.85|34.0|6.0|0.0|-3.72|0.0001409999999999|0.0668|0.0001889999999999|0.0897|1.64|0.0|0.0|1.36e-07|6.45e-05|-0.0548899999999999|5235.0|3.8664|-1876.203168|-1876.152311|754.15|320.67|236.84|615.71|-1875.897072|6.7458|0.0508577|-1875.963244|8.9297|15.0|7.8239|7.8239
9_a15|0|0.0|0.0|0|1.419941378|-0.042227775|1|0.04022792|0.096418279|0.0|1.7800000000000002e-05|0.05688176|10.95880687|0.005692073|0|0|0.003160815|-0.203104439|-0.295062413|-0.344978312|0.85357243|0.088615068|0.742680335|0.8105478740000001|-0.11668349|0.416635119|0.032464905|-41.10356167|-65.07462414|18.10574464|105.5304352|85.79894134|-36.29225274|10.09761131|0.51257747|-22.92354152|-15.93664265|471.903131|-780.8954896|5.485176331|0.8240935659999999|5375.400861|271.83655510000006|31.09118831|0.03598612|1523.4682269999998|20.06953345|1.0|1.0|1.0|0.0|1.0|1.0|3.16|0.19|-7.57|3.9|61.84|1.96|2.0|0.0|104.74|1.0|-5.25|27.0|5.0|1.0|-4.81|5.63e-06|0.00206|1.53e-05|0.00562|4.24|0.0|0.0|2.69e-08|9.86e-06|-0.0258899999999999|4.3447|3.7487|-1223.705126|-1223.687392|588.55|330.74|285.37|507.33|-1223.463757|1.4625|0.01773342|-1223.522216|2188.0|107.0|6.9706|6.9706
19_a47|0|0.0|0.0|0|1.402889494|-0.227538423|2|0.032764858|0.027033021|1.174354482|-0.013020816|-0.064557784|10.95058274|0.0604168609999999|1|1|-0.010153352|-0.046265509|-0.126992366|-0.439165562|0.635684951|-0.024256505|0.8873627890000001|0.614975047|-0.104459947|0.270767873|0.026805875|-58.28861174|-57.87554797|14.85167037|335.10989930000005|199.6541807|-32.06567824|8.228498913|0.637832605|-32.2945343|-20.66983856|354.3911695|-868.1332196000001|7.06969105|0.8635094740000001|5846.960345|200.6571609|32.40636867|0.03295186|1361.067484|18.25682461|0.0|1.0|1.0|1.0|1.0|2.0|3.13|0.05|-6.92|2.49|98.72|1.67|1.0|0.0|99.2|1.0|-3.67|28.0|6.0|0.0|-3.66|0.000214|0.0816|0.000217|0.0824|1.97|0.0|0.0|1.2099999999999998e-07|4.59e-05|-0.05326|3.8423|3.8423|-1335.75742|-1335.725639|571.23|322.68|322.68|412.31|-1335.580357|5.1151|0.03178118|-1335.634976|6.3247|0.05|7.3|7.3
