molecula|n9FaHRing|n9FaRing|SaaNH|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|AATSC1i|n6aHRing|GATS1are|BIC2|SIC2|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
7s_a46|0|0|0.0|1|1|1|1.160371307|-0.0778653109999999|5.533389489|-0.076841616|1|-0.210750635|-0.240797051|-0.005405515|10.94651358|-0.020953253|0.018964141|1|0.778692012|0.770312275|0.8182543959999999|0|-0.096723151|-0.083011849|0.249893305|0.008871171|-48.61321955|-41.72189594|4.458665639|166.3052939|70.97315818|-0.031623562|-20.9694955|0.8198874559999999|-1.3281895890000002|47.36217237|0.433822088|1982.695462|-667.5503351|1619.4591|-7.988379237|0.1801125439999999|5.565371272|0.7662292690000001|4245.390306|90.5248694|-335.5119279|19.38565529|-321.55195330000004|409.9543818|5.640276426000001|1.0|1.0|1.0|3.08|17.0|-6.08|3.9|50.94|0.0|91.19|0.0|1.0|2.0|-4.07|23.0|3.0|-5.81|0.0|1.0|1.0|8.590000000000001e-05|0.0262|5.76e-05|0.0176|0.0|0.0|0.000256|5.2972|4293.0|-974.7707066|916.7|234.06|446.63|-974.615216|0.1186|-0.17923|2.4286|-0.19947|1985.0|5.7022|5.7022
30_a47|1|1|0.0|1|0|0|1.304327883|-0.069449687|4.727387819|-0.184735553|2|0.013114301|-0.415191425|-0.008774855|10.95005723|0.0467853809999999|-0.079370393|2|0.6850994429999999|0.8485444809999999|0.913855507|1|-0.108232368|-0.107296835|0.384732322|0.022747897|-64.94243028|-64.38108459|13.64937081|350.5257774|192.6285289|-0.0383202979999999|-38.63044093|0.679447569|-1.609452527|81.25550675|0.4680850139999999|2626.927627|-965.7162688|1558.731067|-13.79658605|0.320552431|6.886726437999999|0.879999675|5852.817155|192.3403721|-579.456614|33.84108731|-215.3470619|457.1122177|16.87442216|1.0|1.0|1.0|3.03|21.0|-7.24|3.93|98.72|1.0|104.25|0.0|1.0|5.0|-4.22|28.0|5.0|-6.95|0.0|0.0|1.0|6.05e-05|24.0|7.94e-05|0.0315|0.0|0.0|2.28e-05|3.7159|3.7159|-1696.078047|1032.35|333.66|478.04|-1695.931037|0.3566|-0.1517|2.7493|-0.20813|13.0|7.9|7.9
47p_a18|0|0|0.0|0|1|1|1.25117677|-0.001819106|4.844187086|-0.04760181|0|0.025217016|-0.3775970529999999|-0.015960677|10.94701988|-0.049428094|-0.261349889|0|0.72025564|0.726294118|0.7611910209999999|0|-0.06909945|-0.082580968|0.278332428|0.007989903|-51.14496913|-61.12351185|5.913843751|10.25627035|123.6411353|-0.030813794|-45.24146169|0.818459442|-2.0645242|69.19354871|0.488811071|2933.069245|-1528.087796|1367.4309119999998|-16.88114242|0.181540558|9.923659881|0.956223901|6726.61969|134.3699001|-1131.036542|27.86610962|-471.4248324|1011.163774|8.070036862|1.0|1.0|1.0|4.29|18.0|-9.03|3.34|76.5|3.0|144.53|0.0|1.0|9.0|-5.67|35.0|3.0|-6.07|0.0|1.0|0.0|2.13e-06|0.000998|5.34e-06|0.0025|0.0|0.0|4.38e-07|3.2036|3.2036|-1493.731375|1391.71|387.01|732.84|-1493.338659|595.0|-0.13118|3.6452|-0.18746|64.0|7.1938|7.1938
7_a27|0|0|0.0|2|0|0|1.40247849|0.112935885|4.727387819|-0.050197188|2|-0.133453335|-0.288487667|-0.096754293|10.93773474|-0.056500475|-0.323631281|2|0.6413629129999999|0.801251575|0.8546689820000001|1|-0.060745542|-0.084531496|0.358145768|0.015099075|-34.09779211|-47.44936449|8.475438874|10.66993367|83.57286704|-0.0300556429999999|-26.6343589|0.763564713|-1.352503929|55.55559276|0.466714317|2334.058688|-759.1898319000001|1497.873267|-9.469994277|0.236435287|6.446345598|0.875167537|5082.120742|132.7162621|-426.1497425|22.09489892|-295.8891961|479.0078184|8.106228264|0.0|0.0|1.0|3.24|21.0|-6.61|3.05|65.6|0.0|102.36|0.0|1.0|3.0|-4.06|26.0|4.0|-6.26|0.0|1.0|1.0|8.66e-05|0.0299|5.2e-05|18.0|0.0|0.0|8.4e-05|4.1205|4.1205|-1122.433757|1016.96|300.9|505.5|-1122.249324|0.4179|-0.16734|4.2487|-0.2162099999999999|1.0|9.0|9.0
47k_a18|0|0|0.0|0|1|1|1.25117623|0.029145635|4.844187086|-0.0605329409999999|0|-0.017736343|-0.5135996820000001|-0.02822032|10.94702256|-0.008576013|-0.421027889|0|0.762665453|0.721697829|0.753132457|0|-0.065324278|-0.088346874|0.3533268229999999|0.015080484|-51.59195677|-69.77479556|11.91029894|20.66242736|133.5242222|-0.030255779|-55.10689702|0.7153044209999999|-2.208671853|84.23875372|0.467246896|3245.964586|-1744.369889|2009.418849|-18.87222501|0.284695579|9.777177947|0.877042091|7575.637462000001|224.8475227|-1377.672426|33.40602576|-340.0872332|1167.054827|14.46395816|1.0|1.0|1.0|4.66|18.0|-8.44|3.17|88.97|3.0|154.86|1.0|1.0|11.0|-5.84|38.0|4.0|-6.41|0.0|0.0|0.0|1.44e-06|0.000742|4.65e-06|0.0023899999999999|1.0|1.0|1.85e-06|3.0948|3.0948|-1664.728002|1492.36|400.63|793.48|-1664.2657390000002|0.5920000000000001|-0.1277599999999999|4.1818|-0.17135|29.0|7.5376|7.5376
14b_a23|1|1|0.0|2|0|0|1.197963628|0.065240838|5.351858133|-0.071396109|2|0.0519489729999999|-0.318684138|-0.0644978|10.31321824|-0.047410593|-0.17267308|2|0.616699629|0.793551289|0.857184548|1|-0.063267638|-0.082441268|0.228282196|0.020454632|-41.01458464|-53.44429544|13.26014776|40.76245006|99.66542762|-0.03508139|-34.64639496|0.774359705|-1.64882535|64.97993029|0.450973737|2943.803333|-1068.885909|2280.830615|-14.74314679|0.225640295|7.833620016|0.821406493|6622.129837|146.2760938|-692.9278992000001|29.36910744|-355.71896410000005|599.5697147999999|11.53563485|0.0|1.0|1.0|3.42|26.0|-7.67|4.58|105.02|2.0|120.24|0.0|1.0|5.0|-5.58|31.0|5.0|-6.31|0.0|0.0|0.0|2.66e-06|0.00114|7.73e-06|0.00332|0.0|0.0|9.18e-06|3706.0|3706.0|-1729.139722|1142.37|334.55|525.66|-1728.9300010000002|0.3603|-0.15064|6.8752|-0.2286699999999999|4.0|8.3536|8.3536
8b_a12|0|0|0.0|0|1|1|1.283836078|0.190292199|0.0|-0.1676879319999999|2|0.028584223|-0.618894925|-0.036536396|10.95438057|-0.1090955359999999|0.006468729|1|0.89481633|0.7407532059999999|0.792160599|0|-0.1053827859999999|-0.116554734|0.4384536329999999|0.011257065|-60.97837482|-67.44287685|6.513753986|319.0086845|149.9096134|-0.045608374|-39.02494133|0.888936354|-2.097985204|72.85978933|0.480938153|2388.888334|-1213.971783|1437.536303|-15.27062922|0.111063646|6.373278096|0.926552694|5217.318476|64.26553043|-702.4489440000001|29.68794201|-450.1059006|510.3677388|5.416912474|1.0|1.0|1.0|4.11|18.0|-7.45|1.9|80.37|1.0|110.58|0.0|1.0|4.0|-4.1|27.0|4.0|-6.51|0.0|0.0|0.0|7.890000000000001e-05|28.0|9.74e-05|0.0346|0.0|0.0|1.26e-05|4.2263|3.7446|-1159.365835|1020.47|293.37|460.08|-1159.188228|127.0|-0.15294|4.2554|-0.21184|263.0|6.58|6.58
1j_a5|0|0|2.9426852410000004|0|0|0|1.427567371|-0.2031633169999999|4.59511985|-0.010620031|2|-0.115553003|-0.175183967|-0.07622096|10.9487794|-0.032333695|-0.0178558139999999|2|0.74740095|0.7862755770000001|0.848473695|0|-0.073803258|-0.074505844|0.35883584|0.019690225|-39.64241895|-40.01980349|10.57633738|73.73338699|82.09385267|-0.027258236|-21.49609451|0.616489567|-1.117587665|54.3827755|0.469085779|2242.805131|-600.2970524|847.5275797|-7.86442482|0.383510433|7.328149934|0.883543443|4618.562904|205.997426|-322.4414176|23.74961767|-125.1415813|422.96706330000006|14.36297201|1.0|1.0|1.0|2.76|23.0|-8.14|4.21|63.69|0.0|96.98|0.0|1.0|4.0|-4.03|25.0|4.0|-6.15|0.0|1.0|1.0|9.27e-05|0.0304|6.29e-05|0.0206|0.0|0.0|2.36e-06|4.4331|4.1205|-1065.817476|959.39|279.68|445.81|-1065.671975|0.1644|-0.16813|2.2503|-0.20645|24.0|7.6198|7.6198
14h_a23|1|1|0.0|2|0|0|1.197963488|0.043538466|5.351858133|0.006191846|2|0.0316908439999999|-0.307907256|-0.024318144|10.31321773|-0.034313725|-0.131709531|2|0.708395022|0.79263722|0.860920386|1|-0.063825076|-0.081058742|0.223157991|0.021982565|-43.02851162|-54.6468131|14.81983413|41.34207782|51.620282|-0.033774476|-36.84086528|0.753100584|-1.621174834|67.44368679|0.48032488|3010.418229|-1092.936262|2371.16134|-15.35036053|0.246899416|7.833334036|0.924279155|6722.809649|166.45047749999998|-736.8173055999999|30.23434844|-341.2621515|646.2584547|12.79687369|0.0|1.0|1.0|3.47|26.0|-7.47|3.89|128.81|1.0|125.0|0.0|1.0|5.0|-5.68|32.0|5.0|-6.62|0.0|0.0|0.0|2.09e-06|0.0009109999999999|1.27e-05|0.00554|0.0|0.0|1.4800000000000002e-05|4.0506|3.6689|-1722.148272|1190.62|306.09|569.53|-1721.9314420000003|0.2727|-0.15209|9.7146|-0.2374099999999999|5.0|8.3468|8.3468
14c_a23|1|1|0.0|2|0|0|1.197962449|0.06596946|5.351858133|-0.024758731|2|0.04174584|-0.296935034|-0.047853455|10.31321813|-0.047410593|-0.13187015|2|0.722187957|0.793551289|0.857184548|1|-0.0567889659999999|-0.0800086929999999|0.2273163289999999|0.018842596|-37.73933093|-53.17009158|12.52192141|38.43627129|51.21382308|-0.034046252|-35.33439343|0.7834075309999999|-1.600173862|64.05912299|0.459622824|2955.304496|-1063.401832|2379.221378|-15.0359121|0.2165924689999999|7.832948614|0.8505592829999999|6755.962581999999|143.9373772|-706.6878684999999|28.88097191|-376.6791777|633.3278634|10.88903141|0.0|0.0|1.0|3.4|26.0|-7.99|4.67|105.02|2.0|125.29|0.0|1.0|5.0|-6.13|31.0|4.0|-6.03|0.0|0.0|0.0|7.49e-07|0.000334|2.83e-06|0.00126|0.0|0.0|4.55e-06|3.7031|3.7031|-2089.501598|1177.63|334.81|549.86|-2089.293299|356.0|-0.15143|7.2704|-0.23096|2.0|8.6253|8.6253
