molecula|NaaNH|n9FaHRing|SaaNH|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|SIC2|nFaHRing|RASA|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|DPSA5|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50|pIC50
16b_a32|1|1|3.2902303|0|0.2980105389999999|0.0|0.0873104119999999|-0.3723824429999999|0.041958333|-0.012739425|-0.423467596|-0.008277865|10.31100078|-0.0657820279999999|3|3|-0.023602065|-0.222700615|-0.586122949|0.745820612|0.852956281|0.907055332|1|0.7465375040000001|0.015808858|-56.84546999|-69.39772428|10.12961779|53.96132589|0.253462496|162.40756509999997|-0.0345657579999999|-44.4669946|9.827907321|-1.624590613|80.37824892|66.97508778|3037.795494|478.3482386|3264.235184|-14.19159402|6.466656381|11.05406524|0.709394251|161.7035261|29.62431176|0.017136832|-317.3487516|597.8890744|10.98052464|1.0|0.0|1.0|1.0|1.0|2.0|0.28|19.0|-7.6|4.88|0.41|1.0|0.0|114.43|1.0|7.0|-6.28|6.0|-6.72|433.57|0.0|3.26|-4.55|5.19e-07|0.0123|0.0|-0.05946|6.37|3.6211|-2315.990437|676.92|1137.73|342.39|567.01|0.70233|0.2849|-0.2094099999999999|7.0093|7.7696|7.7696
14c_a23|0|1|0.0|0|1.197962449|3.349976042|0.06596946|-0.024758731|0.043538647|0.04174584|-0.296935034|0.010682694|10.31321813|-0.047410593|2|2|0.077009731|-0.13187015|-0.4589840189999999|0.722187957|0.793551289|0.857184548|1|0.922935039|0.018842596|-37.73933093|-53.17009158|12.52192141|38.43627129|0.077064961|51.21382308|-0.034046252|-35.33439343|81.41541733|-1.600173862|64.05912299|50.26125234|2955.304496|613.3401089|2379.221378|-15.0359121|7.832948614|14.49533577|0.8505592829999999|143.9373772|28.88097191|0.016385474|-376.6791777|633.3278634|10.88903141|0.0|0.0|1.0|0.0|1.0|1.0|0.05|26.0|-7.99|4.67|3.51|2.0|1.0|125.29|1.0|5.0|-6.13|4.0|-6.03|445.93|0.0|4.0|-5.55|7.49e-07|0.00126|0.0|-0.0795299999999999|4.1|3.7031|-2089.523959|693.64|1177.63|334.81|549.86|0.56781|356.0|-0.23096|10.369000000000002|8.6253|8.6253
14a_a23|0|1|0.0|0|1.197964042|3.39397765|0.050806184|-0.0246126279999999|0.042992424|0.0446402609999999|-0.289658385|0.012219066|10.31321831|-0.071842463|2|2|0.083206288|-0.137733142|-0.446724057|0.72792508|0.7556436440000001|0.816237166|1|0.918677038|0.019504497|-35.20994211|-50.79675604|12.33442989|38.57988954|0.081322962|51.42774883|-0.0341809229999999|-32.12331106|80.54176247|-1.606503401|61.36268093|47.54437201|2816.527785|580.9612768999999|2173.7139190000003|-13.66949407|7.668841725|14.2658736|0.8602383659999999|138.6457355|27.68542751|0.016707951|-355.0975547|601.8533922|10.56592489|1.0|0.0|1.0|1.0|1.0|1.0|0.05|26.0|-7.41|4.02|3.03|2.0|1.0|120.28|1.0|5.0|-5.47|4.0|-6.27|411.48|0.0|3.37|-4.96|3.38e-06|0.0045299999999999|0.0|-0.07379|3.47|3.7119|-1629.928331|665.5|1134.02|334.02|516.58|0.6289100000000001|0.3764|-0.2238099999999999|8.3962|8.5498|8.5498
24_a20|0|0|0.0|0|1.40648755|1.959359883|-0.217098257|0.029711934|0.03625|0.087887688|-0.083539572|0.009265667|10.93106245|-0.04104|1|1|0.1468474119999999|-0.060582944|-0.188335708|0.616352201|0.74131936|0.802353442|1|0.952027295|0.012814211|-38.76683848|-42.82548904|8.085691548|12.83518119|0.047972705|30.27049276|-0.02714795|-27.02262995|406.1522673|-1.357397496|51.30386873|46.85253003|2736.601949|600.7235847000001|1961.887639|-10.80905198|6.852820269|12.63879297|0.844319927|144.47729840000002|22.21722343|0.013436544|-342.0394805|664.4562602999999|8.478379683|1.0|1.0|1.0|1.0|1.0|0.0|0.08|27.0|-9.32|4.78|1.86|2.0|0.0|119.42|1.0|4.0|-4.89|5.0|-6.26|402.45|0.0|3.63|-4.93|1.29e-05|0.00469|0.0|-0.06748|3.74|3.5876|-1291.896802|685.66|1169.35|232.2|551.25|0.46668|0.0108|-0.22435|4.3906|6.4976|6.4976
12ad_a36|1|0|3.428443248|2|1.297042846|0.0|-0.040810025|-0.073048351|0.040787037|0.046496301|-0.649957196|-0.001148437|10.95445455|0.010723827|1|1|0.077659878|-0.227404687|-0.478461478|0.817851296|0.832674224|0.8846605|0|0.760267769|0.030769062|-58.34300549|-76.30379737|21.78471426|94.12528108|0.239732231|169.7321223|-0.0365657189999999|-54.02363038|81.68309557|-2.047680239|96.81391944|80.12771975|3041.082692|538.2749789|2474.175727|-18.32944602|8.770308295|16.772513699999998|0.912420081|243.2659577|39.44011905|0.028968808|-221.4751857|735.3783268|20.51012207|1.0|0.0|0.0|1.0|0.0|2.0|0.17|17.0|-6.62|1.67|1.89|1.0|0.0|135.03|1.0|7.0|-4.18|6.0|-7.18|439.47|0.0|1.76|-4.08|6.579999999999999e-05|0.0367|0.0|-0.05406|4.5|3.8512|-1460.8311199999998|737.53|1236.64|216.26|588.2|0.27316|0.2532|-0.21044|6.8996|7.7696|7.7696
11b_a31|1|0|3.248213341|1|0.610137403|0.0|0.078614731|-0.172248605|0.043380952|-0.078907688|-0.838727032|-0.014385937|10.31169957|-0.046362952|2|2|-0.129901143|-0.16780872|-0.564706551|0.833717183|0.834596039|0.889561759|0|0.545458754|0.037758271|-80.0942166|-82.80602396|21.02499452|286.7721447|0.454541246|253.1028809|-0.044612791|-46.10900197|87.78853803|-1.784511651|100.3071755|101.1192111|2410.572158|303.7286124|1756.711832|-13.83270059|6.83089364|12.96936635|0.8986339170000001|183.9081702|37.09261324|0.0314298879999999|-189.0151528|397.3137532|17.50115151|1.0|0.0|1.0|1.0|1.0|2.0|0.24|16.0|-5.45|3.25|0.79|1.0|0.0|92.51|2.0|5.0|-4.74|6.0|-6.73|357.38|0.0|2.69|-3.75|1.82e-05|0.0637|0.0|-0.03574|4.07|3.8437|-1520.085181|589.56|969.71|322.57|479.66|0.70073|0.2634|-0.1951|4.7518|6.2757|6.2757
3_a20 (SB-525334)|1|0|3.502142227|0|1.183765089|0.0|-0.048050965|-0.053897691|0.0526353279999999|0.001821898|-0.274640708|0.001924142|10.95053359|-0.119584218|1|1|0.002992397|-0.277724429|-0.500412918|0.818922083|0.7186587|0.76423988|1|0.8756647679999999|0.0123308269999999|-34.52869143|-51.80299691|6.965173618|43.70154849|0.1243352319999999|70.23182172|-0.029269046|-29.26136697|0.0|-1.375645142|58.45718743|41.49386505|2243.481559|494.6267525|1782.992456|-9.33873414|5.943823875|10.9543133|0.8429740729999999|121.495147|21.06338405|0.0117802769999999|-321.8682802|520.6749407|6.654190521|1.0|1.0|1.0|1.0|1.0|1.0|0.24|21.0|-8.39|4.69|1.69|1.0|0.0|104.59|1.0|3.0|-4.85|4.0|-5.74|343.42|1.0|3.63|-4.73|1.42e-05|0.00647|0.0|-0.0671399999999999|3.9|3.1728|-1086.585811|605.71|1030.31|248.86|498.74|0.49443|0.1171|-0.20131|4.8164|6.7905|6.7905
15_a4|0|0|0.0|1|1.399867493|1.956386054|-0.159419214|-0.061469545|0.044357639|0.0432718859999999|-0.077474847|0.009823083|10.94611612|0.022446689|1|1|0.097046535|-0.038707204|-0.226703465|0.5118792910000001|0.772721853|0.8347553529999999|0|0.867716376|0.010893057|-29.80513879|-35.36161572|5.223809291|12.70877085|0.132283624|63.43714456|-0.030724393|-16.95780525|86.01453643|-1.106078158|40.03406565|35.02894809|1973.978183|416.1168833|1495.715718|-7.065752187|5.459799482|9.709704127|0.7783994009999999|74.8625551|17.45960235|0.009743323|-329.8289177|324.5687005|4.672449937|1.0|0.0|0.0|1.0|0.0|0.0|0.11|17.0|-6.09|4.4|3.05|0.0|0.0|85.06|1.0|2.0|-3.82|3.0|-5.6|291.32|1.0|3.61|-4.28|0.000152|0.0151|0.0|-0.03539|3.8|4.2148|-958.270023|512.65|848.47|275.22|396.58|0.4778699999999999|0.0969999999999999|-0.2091199999999999|3.0091|6757.0|6757.0
47f_a18|0|0|0.0|1|1.251175676|0.0|-0.005500039|-0.034211867|0.031179487|-0.048472184|-0.477030713|0.0036509859999999|10.94702253|-0.008224928|0|0|-0.071877686|-0.3927204379999999|-0.4138670829999999|0.765824398|0.750610215|0.780474694|0|0.838156881|0.0138461289999999|-54.18475173|-72.03501774|11.75478965|111.1889928|0.161843119|137.3980967|-0.0289997239999999|-61.15474298|58.84834254|-2.290978185|86.11217859|65.93954138|3367.7324700000004|711.5604361000001|2343.062749|-20.90098811|10.55465562|20.44855806|0.937396993|232.14715330000004|33.88554232|0.016581683|-384.6642262|1347.416568|14.07716085|1.0|1.0|0.0|1.0|1.0|2.0|0.34|18.0|-9.22|3.6|2.79|3.0|2.0|164.47|1.0|13.0|-6.11|4.0|-6.4|541.68|0.0|2.83|-5.52|7.76e-07|0.00163|1.0|-0.04439|8.13|3.0964|-1743.375413|908.66|1602.99|400.42|874.24|0.6984600000000001|0.5741|-0.1724099999999999|4.4861|8.0458|8.0458
3l_a32|1|1|3.672194822|1|0.609420748|0.0|-0.003342759|0.0043645509999999|0.035643275|-0.039331295|-0.270019992|0.0016954029999999|10.31100268|-0.107818594|3|3|-0.068876714|-0.087213805|-0.524711546|0.820540279|0.751853889|0.7973741999999999|1|0.8855584879999999|0.012244965|-40.30321333|-51.41835077|7.120934925|61.72183119|0.114441512|66.55229892|-0.028831823|-29.90181954|0.0|-1.326263838|58.10243176|47.42414825|2453.759435|514.9875423000001|2415.340446|-9.750593329|6.414825717|11.74082324|0.8302637909999999|123.148785|21.27134288|0.011493763|-335.2422712|565.7000781|6.6840809960000005|1.0|0.0|1.0|1.0|1.0|1.0|0.35|19.0|-7.5|6.17|2.64|2.0|0.0|110.16|1.0|3.0|-7.6|3.0|-4.71|380.53|0.0|5.04|-6.01|2.52e-08|0.0003689999999999|0.0|-0.0529799999999999|4.21|3.5319|-1789.475625|629.26|1062.47|351.04|468.81|0.70282|0.2876|-0.19962|5.7721|7.9208|7.9208
