molecula|SddssS|NaasN|nARing|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|nFaHRing|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Veber filter|Log S (Ali)|Log Kp (cm/s)|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
12bh_a36|0.0|0|2|-0.052761366|-0.006687484|5.351858133|2|0.001012669|-0.401249012|0.075747971|10.94728093|-0.035747988|1|1|0.0045625|0.0016901289999999|-0.101854847|-0.169994208|-0.43574839|1|0.902377067|0.78699829|-0.211972014|0|0.833491953|-0.070687668|0.317612728|-47.04367494|-66.28126709|11.73109101|83.08294358|0.166508047|7.807212275|0.0|0.783294222|-1.991880197|-31.30825225|76.46867897|58.77476595|0.482052584|2773.193279|554.7010591|-1325.625342|2437.805332|-15.75398235|0.216705778|7.545637217999999|14.56834609|5957.443236|144.22085800000002|-882.2230117|30.2209316|-377.0728785|1.0|0.0|2.0|4.95|0.0|0.21|17.0|-7.34|2.5|69.2|1.0|0.0|-4.54|-6.38|2.42|-4.6|2.8600000000000004e-05|2.5e-05|0.0102|0.0|1.86e-05|3.8811|3.79|3.6255|-1311.589612|-1311.558898|715.94|341.97|0.4386|575.23|0.69377|11.0|-0.20168|0.03071385|7.8539|7.8539
4g_a46|0.0|1|1|-0.153373738|-0.001702489|5.587248657999999|2|-0.093447672|-0.088529411|-0.055084605|10.96333695|-0.138341481|1|1|0.010608122|-0.144064904|-0.078780402|-0.121452903|-0.2455749539999999|2|0.662386484|0.74106323|-0.200628401|0|0.946829733|-0.056893316|0.318162858|-32.64186634|-40.24987057|4.598866947|7.38470955|0.053170267|2.638545451|72.82863401|0.826861093|-1.192613373|-18.72788427|44.72726697|37.24073329|0.448462961|2242.010126|543.2323468999999|-684.2477996|2285.43285|-8.0118178|0.1731389069999999|5.8466355000000005|10.60062169|5176.321714|99.33639766|-392.5790722|16.88825479|-375.0653627|1.0|0.0|0.0|3.9|3.61|0.38|17.0|-7.8|5.37|43.6|2.0|0.0|-5.38|-5.18|4.39|-5.38|4.22e-06|4.16e-06|0.00153|0.0|5.75e-06|4.4163|4.65|4.4163|-1493.154666|-1493.132001|615.33|280.74|0.1294|530.39|0.6983199999999999|0.1294|-0.22587|0.02266493|5.5615|5.5615
28_a47|0.0|1|0|-0.053792245|-0.009689834|4.727387819|2|0.023813594|-0.436042548|-0.00496711|10.95058275|0.0467853809999999|1|1|-0.010153352|0.06536499|-0.046265509|-0.126992366|-0.435485503|2|0.635684951|0.832144916|-0.175007067|1|0.605349345|-0.1132830309999999|0.310094808|-67.33744077|-63.47150284|15.50250691|365.2310214|0.394650655|9.214964819|83.61576722|0.65225927|-1.601689367|-40.02656804|82.27079846|82.83994768|0.472690874|2616.1598940000003|359.8303775|-952.0725426|1337.037733|-13.47449501|0.34774073|7.864990866|14.91533234|5633.990508|206.7032519|-565.9287905|34.75365534|-181.0112167|0.0|1.0|2.0|3.08|2.03|0.05|21.0|-6.92|3.84|98.72|1.0|0.0|-3.67|-7.22|2.4|-3.66|0.000214|0.000217|0.0824|0.0|4.59e-05|3675.0|3.51|3675.0|-1335.759232|-1335.722248|599.88|337.37|0.2996|461.73|0.69002|0.2996|-0.2052|0.03698465|7.6|7.6
3g_a32|0.0|0|0|0.015803466|-0.006258272|5.733341277|0|-0.058985916|-0.2816222539999999|-0.1154223269999999|10.31100273|-0.125170068|3|3|0.002565215|-0.105402305|-0.074808287|-0.133675401|-0.563371932|0|0.833981748|0.755211939|-0.1015732219999999|1|0.887695945|-0.070213101|0.273439311|-38.9071564|-54.47722347|6.647498326|42.56199385|0.112304055|3.683575459|0.0|0.8007401590000001|-1.278047464|-21.55960626|60.55421302|45.55465473|0.447358137|2271.746759|491.89858160000006|-708.2039051|1886.244271|-9.343731735|0.199259841|5.917878616|10.70834299|5058.622432|110.4157723|-392.4367329|21.05801434|-333.29803589999995|1.0|0.0|1.0|3.43|3.44|0.28|19.0|-7.29|5.42|110.94|2.0|0.0|-7.09|-4.9|4.61|-5.59|8.12e-08|2.58e-06|0.000915|0.0|1.8e-05|3.5456|4.13|3.5456|-1712.060085|-1712.036238|593.24|349.68|0.2859|495.4|0.70275|0.2859|-0.20065|0.02384763|7.8539|7.8539
8m_a46|0.0|1|1|-0.044830187|-0.00517896|5.533389489|1|-0.134230003|-0.248590088|-0.120972269|10.94650201|-0.064176245|1|1|0.005865049|-0.206020062|0.010184776|0.015631887|-0.380393836|1|0.783187801|0.7699708959999999|-0.084989948|0|0.876210355|-0.0911455|0.280198209|-48.32436573|-45.17474201|3.742817678|166.8508795|0.123789645|1.984401749|0.0|0.8854896870000001|-1.448483903|-25.62105988|48.72163155|52.0671834|0.425802465|2045.330306|464.5573228999999|-767.9706141|1913.813025|-9.04821721|0.114510313|5.684332261000001|9.899611044|4439.758321|60.71213839999999|-407.1697745|19.27296714|-408.7649869|0.0|1.0|1.0|3.24|2.92|0.3|17.0|-6.46|4.21|50.94|1.0|0.0|-4.48|-5.61|3.53|-4.56|3.3e-05|2.78e-05|0.0088799999999999|0.0|0.000112|5.3062|4.12|4.2881|-1014.126693|-1014.091966|570.72|289.14|0.3905|489.57|0.43001|0.1441|-0.19715|0.03472717|6.6402|6.6402
12e_a36|0.0|0|2|-0.064019914|-0.007100632|5.351858133|2|0.144415507|-0.404736007|-0.0586405829999999|10.95346131|-0.084051264|1|1|0.003962098|0.244642918|-0.104118159|-0.1763783589999999|-0.43688276|1|0.90414347|0.7975411790000001|-0.010494913|0|0.838086387|-0.07049439|0.4347714629999999|-44.83739063|-64.2330904|12.12502373|65.27404529|0.161913613|7.71202397|5.735288795|0.7610764190000001|-1.918786459|-28.51846223|75.50154216|56.96241436|0.466721981|2709.877204|533.058116|-1220.428718|2309.239105|-14.64611103|0.238923581|6.767371321000001|12.69013737|5929.071389|151.9654247|-776.2438847|30.25577504|-332.11111980000004|1.0|0.0|2.0|4.85|0.0|0.17|17.0|-6.97|2.19|69.2|1.0|0.0|-4.16|-6.55|2.14|-4.3|6.929999999999999e-05|5.05e-05|0.02|0.0|4.270000000000001e-05|3.8364|3.48|3.6699|-1272.2668210000002|-1272.23645|673.57|337.84|0.4537|507.03|0.6814600000000001|0.0006|-0.20151|0.03037051|7.8539|7.8539
15a_a22|0.0|1|0|-0.136588366|-0.0050042229999999|4.727387819|2|0.021482585|-0.280236463|-0.057308195|10.9464374|-0.015194063|1|1|0.005757758|0.036467904|-0.097476465|-0.165471815|-0.360663314|2|0.6819423609999999|0.7392451729999999|-0.09744639|1|0.86664032|-0.061755825|0.410151945|-41.92018177|-55.4621036|14.43653926|96.58317516|0.13335968|9.799599501|65.53409434|0.702735071|-1.634109304|-28.45564196|70.12529157|56.35672103|0.444668211|2884.815511|588.2800507999999|-1109.242072|2169.226845|-14.47998862|0.297264929|8.157552588|14.6895113|6322.278103000001|201.7850124|-752.9594081|30.3550786|-275.2352849|1.0|1.0|1.0|3.42|2.86|0.08|27.0|-9.21|4.31|85.59|1.0|0.0|-4.65|-6.61|3.19|-4.68|2.25e-05|2.1e-05|0.00881|0.0|2.56e-07|5.0577|4.98|3.6496|-1368.35331|-1368.321775|696.57|339.72|312.0|541.27|0.41078|0.0955|-0.21285|0.03153544|6.8447|6.8447
12a_a36|0.0|0|2|-0.0632801509999999|-0.007471648|5.351858133|2|0.078063311|-0.403468978|-0.070252245|10.96083376|-0.065913514|1|1|0.003199301|0.134423193|-0.1063550619999999|-0.183140926|-0.432975237|1|0.907322874|0.7934042040000001|-0.012112722|0|0.820684627|-0.076154312|0.436020272|-46.76212019|-64.36949846|12.03249549|109.9069212|0.179315373|7.388485123|5.277117996|0.755315434|-1.886917597|-28.71401279|76.09903547|58.79461567|0.470444928|2647.835699|503.9367075|-1158.650972|2258.5909920000004|-14.22926022|0.244684566|6.600635115|12.464492300000002|5710.355735|150.24716030000002|-711.4630111|30.67992313|-313.5499672|1.0|0.0|2.0|4.75|0.0|0.14|17.0|-6.59|1.88|69.2|1.0|0.0|-3.79|-6.72|1.86|-4.0|0.000164|0.000101|0.0384|0.0|9.78e-05|3.8343|3.16|3.6682|-1232.951968|-1232.916523|653.94|338.0|0.4435|481.98|0.67869|0.0012|-0.20139|0.03544528|7.8861|7.8861
18a_a30|0.0|0|2|0.045071414|-0.006673169|5.351858133|2|-0.041327798|-0.353677943|-0.01286191|10.31163887|-0.094932667|1|1|0.005458948|-0.073280844|-0.053309522|-0.094526372|-0.452377064|1|0.8421237309999999|0.7885597609999999|0.003991162|0|0.85918121|-0.072474599|0.294303776|-45.11907802|-59.38972262|10.62073502|79.18861306|0.14081879|6.611941026|0.0|0.7904991659999999|-1.812552105|-28.08889239|69.35818061|55.73981304|0.445995681|2721.874248|534.88346|-1128.40473|2814.429655|-14.33650253|0.209500834|7.050626413|12.72666325|5942.293347|130.4247923|-702.4886239|29.1318055|-361.7006453|1.0|0.0|1.0|4.75|0.0|0.14|17.0|-6.64|2.62|81.65|2.0|0.0|-5.28|-5.98|2.63|-4.85|5.23e-06|1.4e-05|0.0056|0.0|9.21e-05|3.4712|3.82|3.4712|-1575.786909|-1575.755101|665.12|357.18|0.3781|508.08|0.69033|0.3781|-0.19785|0.03180853|7.6108|7.6108
8b_a50|0.0|1|1|-0.115740384|-0.0045301379999999|5.777652323|1|-0.096039086|-0.1812055289999999|-0.009441452|10.945024|-0.0180233089999999|2|2|0.007057361|-0.170496134|-0.065440141|-0.116174481|-0.332085641|1|0.753629415|0.809463375|-0.027207307|1|0.845349082|-0.072629787|0.267094693|-34.79187329|-37.39727879|10.30543157|131.417573|0.154650918|4.93661461|0.0|0.6717097959999999|-1.092961836|-16.66636363|49.02840043|45.09730487|0.428882006|2143.807599|404.9478761|-523.561903|1401.458274|-6.966723542|0.328290204|5.292277178|9.26652151|4446.001554|157.2609748|-250.8020475|21.65129387|-164.5084115|1.0|1.0|1.0|3.21|1.69|0.06|20.0|-5.94|3.41|59.39|0.0|0.0|-3.44|-6.32|2.51|-3.81|0.000359|0.000154|46.0|0.0|0.000347|4.5256|2.11|4.1804|-967.3527447|-967.3160428|515.81|296.58|0.1717|353.17|0.5533|121.0|-0.20144|0.036701907|7.1675|7.1675
