molecula|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA3|GRAVp|TASA|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
14h_a23|1|0.0|2|7.423568444|0|0|1.197963488|3.309480899|-0.005921293|5.351858133|0.006191846|2|0.0316908439999999|0.7290938920000001|-0.307907256|0.009895793|10.31321773|-0.034313725|0.009266617|0.060820238|-0.0686282459999999|-0.4460845129999999|2|0.79263722|0.143102066|-0.05745554|0.669357479|1|0.923430574|-0.063825076|-0.081058742|-43.02851162|-54.6468131|14.81983413|0.076569426|51.620282|-0.033774476|-36.84086528|9.990985411|86.83095818|0.753100584|-1.621174834|-29.00823506|57.84834575|3010.418229|622.5428245|7.833334036|15.0735214|0.924279155|6722.809649|166.45047749999998|-736.8173055999999|-341.2621515|1451.248725|0.0|0.0|1.0|1.0|1.0|3.47|-7.47|3.89|128.81|1.0|1.0|0.0|-5.68|5.0|-6.62|0.0|0.0|-4.9|1.27e-05|0.00554|0.0|0.0|3.39e-08|1.4800000000000002e-05|4.0506|3.6689|699.86|1190.62|306.09|0.69933|-1721.9314420000003|-0.15209|-0.2374099999999999|0.02796857|13.4823|5.0|8.3468|8.3468
4d_a49|0|0.0|1|7.535296702|1|1|1.343847746|2.097463308|-0.006135653|5.4161004020000005|-0.058204482|2|-0.090862681|1.76904838|-0.343596561|0.000607064|10.92777282|0.013451218|0.001356445|-0.151004418|0.000511959|-0.417231241|2|0.783870915|-0.008564167|0.023137464|0.749565191|1|0.752634646|-0.089942837|-0.085966608|-55.40321178|-52.95392476|8.392883773|0.2473653539999999|152.3727245|-0.0281044679999999|-32.61868996|5.16986937|57.16412513|0.654728051|-1.461432343|-34.12740785|63.79609555|2658.242991|463.6097566000001|7.998287218|15.09148245|0.8868392740000001|5915.214567|212.6814716|-554.5177292999999|-190.6195379|1374.947536|0.0|1.0|1.0|1.0|2.0|3.38|-7.58|2.8|98.72|1.0|0.0|0.0|-3.13|5.0|-7.7|0.0|1.0|-3.35|0.0004509999999999|0.18|0.0|0.0|2.64e-08|1.05e-05|5.7447|3.8047|668.09|1144.04|215.82|0.6782100000000001|-1293.049085|-0.15888|-0.2219699999999999|0.0395418|5.5765|18.0|7.7447|7.7447
12aj_a36|0|0.0|0|7.412764017000001|2|2|1.29704406|0.0|-0.00706023|5.351858133|-0.045035034|2|0.064171987|0.0|-0.402433117|0.002951176|10.95354213|-0.042227364|0.003962098|0.1087087|-0.104118159|-0.43462267|1|0.812278823|0.091113865|-0.072770961|0.856274847|0|0.8269863129999999|-0.073002742|-0.10279655|-46.79363201|-65.89100364|11.73352271|0.173013687|110.89910559999998|-0.0368515929999999|-42.23511741|7.521007149|0.0|0.77492734|-1.953134451|-29.99399664|58.52715472|2710.647462|530.0854761|8.056502837|15.35536375|0.905958957|5763.333098|144.26810480000003|-802.4672307|-352.4483722|1615.543812|1.0|0.0|0.0|1.0|2.0|4.84|-6.97|2.19|69.2|1.0|0.0|0.0|-4.16|4.0|-6.55|1.0|0.0|-4.3|5.05e-05|0.02|0.0|0.0|1.08e-07|4.270000000000001e-05|5.2301|3.6017|682.84|1157.64|237.06|0.70423|-1271.9998859999998|-0.14818|-0.20093|0.03225532|7.8393|17.0|7.7696|7.7696
12ab_a36|0|0.0|0|7.412764017000001|2|2|1.297042596|0.0|-0.007034881|5.351858133|0.000258844|2|0.035377607|0.0|-0.408023082|0.000939229|10.9540584|-0.029080933|0.002112069|0.0618552579999999|-0.096853381|-0.4186639029999999|1|0.831136366|-0.0852411419999999|-0.051707317|0.8196353679999999|0|0.8410557559999999|-0.079202413|-0.095025338|-54.63243106|-65.54680623|16.62527454|0.158944244|109.6369437|-0.033434841|-45.21303385|11.46782191|15.55386871|0.679025324|-1.805481415|-37.68448987|71.2577056|2902.39241|580.1454645|7.821826146|15.18764075|0.941700118|6314.697413|221.4026852|-859.0476432|-246.9770378|1834.083759|1.0|0.0|0.0|1.0|2.0|4.86|-7.05|1.95|92.99|1.0|0.0|0.0|-3.92|5.0|-7.21|0.0|0.0|-3.91|0.000122|0.0515|0.0|0.0|8.95e-08|3.76e-05|3.8845|3.8845|712.73|1201.64|319.17|0.69294|-1364.236757|-0.15699|-0.2093699999999999|0.04167456|5.3228|11.0|7.9586|7.9586
EW7203_a60|0|0.0|0|7.412764017000001|2|2|0.604984431|0.0|-0.00698487|5.351858133|0.0075638519999999|2|-0.092774356|0.0|-0.377182982|0.003099827|10.31162855|-0.051413084|0.0036417359999999|-0.1696249719999999|-0.049287858|-0.458129101|1|0.822401103|0.002441966|-0.089945913|0.760234689|0|0.8860751579999999|-0.076068195|-0.096226348|-49.19385637|-62.23028092|13.03554647|0.113924842|73.67602619|-0.036566012|-40.24477665|8.430183|0.0|0.766837077|-1.828300603|-31.81402579|62.22940284|2913.880231|573.0312689|8.310125852|16.53092404|0.989250745|6403.777228|150.7881632|-764.6507562999999|-345.1309687|1541.885979|1.0|0.0|1.0|1.0|2.0|4.75|-6.7|2.6|117.47|2.0|0.0|0.0|-5.74|4.0|-6.35|0.0|0.0|-4.82|1.53e-05|0.0065|0.0|0.0|2e-07|8.51e-05|5.0166|3.5192|678.83|1166.44|247.15|0.69857|-1667.78681|-0.1446599999999999|-0.20654|0.03203878|2.5159|9.0|8.0334|8.0334
9o_a24|0|0.0|0|6.605297921|1|1|1.294229152|0.0|-0.007052095|4.59511985|-0.044044637|3|-0.087807028|0.0|-0.387865233|0.0012214139999999|10.94506726|-0.000236595|0.002019902|-0.145366976|0.00177843|-0.38043264|2|0.785672769|-0.0062180169999999|-0.000453155|0.7086274779999999|0|0.770273808|-0.088586421|-0.08834189|-51.29122728|-51.14964436|10.7072496|0.229726192|133.0106596|-0.032911684|-29.61546471|6.1994599720000005|44.8382925|0.668046377|-1.678495905|-29.69744072|61.99847688|2892.333138|445.9858336|6.080741586|11.83284872|0.945954873|6697.297449000001|192.1999837|-562.6938294|-194.5965258|1454.754155|1.0|0.0|1.0|1.0|2.0|3.96|-7.91|4.36|92.79|1.0|0.0|0.0|-4.49|5.0|-6.83|0.0|0.0|-4.4|3.9500000000000005e-05|0.0167|0.0|0.0|1.24e-08|5.23e-06|5.8802|4.2643|611.03|1126.94|210.85|0.65292|-1387.887227|-0.17826|-0.22353|0.0533144|5.9089|446.0|6.3507|6.3507
3b_a32|1|0.0|0|7.758333467000001|0|0|0.609420808|0.0|-0.007388108|5.733341277|-0.064476472|0|-0.0411430079999999|2.21541916|-0.265971895|-0.001282231|10.31100281|0.10614163|0.00020567|-0.078754696|-0.0791178979999999|-0.536470812|0|0.800396027|0.094335058|0.167519182|0.7725667079999999|1|0.8407393809999999|-0.073068133|-0.100355499|-35.8437493|-49.22963237|7.180211702|0.159260619|78.12568166|-0.033451833|-24.14971513|3.522270202|0.0|0.764128338|-1.103910485|-17.58323784|43.023961|2092.213643|412.4267349|5.765940603|10.69254007|0.854431185|4448.251276|115.707414|-265.6468664|-259.1375886|708.6845618|1.0|1.0|1.0|1.0|1.0|3.11|-6.5|4.43|110.94|1.0|0.0|0.0|-5.73|3.0|-5.57|0.0|1.0|-4.65|2.23e-05|0.00697|0.0|0.0|3.19e-07|9.97e-05|3.5545|3.5545|524.46|857.0|348.81|0.70257|-1594.0008779999998|-0.1474099999999999|-0.20137|0.02589511|5.7777|6.0|8.2366|8.2366
28_a47|1|0.0|1|6.842683282|0|0|1.4201653580000002|1.408016295|-0.009689834|4.727387819|-0.23494583|2|0.023813594|1.121067445|-0.436042548|-0.013020816|10.95058275|0.0467853809999999|-0.010153352|0.06536499|-0.046265509|-0.435485503|2|0.832144916|-0.175007067|0.074217097|0.614975047|1|0.605349345|-0.1132830309999999|-0.106779291|-67.33744077|-63.47150284|15.50250691|0.394650655|234.5873429|-0.038135461|-37.72858603|9.214964819|83.61576722|0.65225927|-1.601689367|-40.02656804|82.83994768|2616.1598940000003|359.8303775|7.864990866|14.91533234|0.8964208090000001|5633.990508|206.7032519|-565.9287905|-181.0112167|1459.653524|0.0|1.0|1.0|1.0|2.0|3.08|-6.92|3.84|98.72|1.0|0.0|0.0|-3.67|6.0|-7.22|0.0|1.0|-3.66|0.000217|0.0824|0.0|0.0|1.2099999999999998e-07|4.59e-05|3675.0|3675.0|599.88|995.5|337.37|0.69002|-1335.571655|-0.15049|-0.2052|0.03698465|8.17|25.0|7.6|7.6
16_a31|0|0.0|0|7.758333467000001|1|1|0.61013894|0.0|-0.020181753|5.733341277|-0.186617888|0|-0.050076586|0.0|-0.726543099|-0.017017891|10.31170095|0.06214876|-0.0125582419999999|-0.0897217219999999|-0.053194463|-0.60894688|0|0.8318419909999999|-0.038841601|0.0980869569999999|0.8944757390000001|0|0.546450126|-0.142079397|-0.150315165|-66.9420327|-70.82239128|17.63615984|0.4535498739999999|213.694252|-0.050105055|-33.36862997|8.309441139|467.7901274|0.73080436|-1.653466811|-31.54036284|84.57819254|2071.962924|257.4650715|5.521618837|9.649327262|0.747554032|4387.049328|126.8340354|-367.0549296|-217.4912527|1066.012118|0.0|1.0|0.0|1.0|2.0|3.2|-4.94|2.83|114.29|0.0|0.0|0.0|-4.36|4.0|-6.48|0.0|1.0|-3.6|0.000254|0.0762|0.0|0.0|1.16e-05|0.00347|3.6596|3.6596|503.18|818.1|338.79|0.70108|-1308.113026|-0.15231|-0.1842|0.03948619|5.5943|0.09|7.0458|7.0458
9a_a31|0|0.0|0|7.765993078999999|1|1|0.6101356720000001|0.0|-0.01391798|5.733341277|-0.093457477|0|-0.05057805|0.0|-0.723734943|-0.006189303|10.31169772|-0.0007638889999999|-0.0033853629999999|-0.084652799|-0.093527289|-0.542342338|0|0.782715368|0.045292529|-0.001313433|0.76226755|0|0.691768132|-0.100906991|-0.122626525|-64.75697831|-78.6954713|21.33533299|0.308231868|197.8075471|-0.043430228|-50.50275387|13.69193237|95.14995868|0.737758755|-2.0846509230000003|-41.55773748|86.0923113|2855.751316|443.941629|7.812278516|15.15483138|0.939873412|6273.506211999999|168.29310269999996|-858.5468158|-305.16297060000005|1813.361078|1.0|1.0|1.0|1.0|2.0|3.6|-8.13|4.02|117.37|1.0|0.0|0.0|-5.62|5.0|-6.39|0.0|1.0|-4.77|1.7100000000000002e-05|0.00715|0.0|0.0|7.35e-09|3.07e-06|3.7892|3.7892|680.72|1145.99|327.21|0.7028|-1691.716118|-0.15757|-0.20032|0.03885662|6.2203|0.15|6.8239|6.8239
