molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|BCUTs-1|SRW07|AATSC1s|n6HRing|JGI4|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PPSA3|TPSA_x|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|pIC50
47d_a18|0.0|0|0|0.0|0.0|0|7.03438793|1.251175994|4.844187086|-0.041876322|0|0.032916667|0.003376831|10.94702255|0.016324953|0|0.104380139|-0.272202025|-0.406388629|0.7640994990000001|0.7430748709999999|-0.002494715|0.773981237|0|0.836999127|-0.06394156|0.445704576|0.015270278|12.45251265|132.9229494|10.15469843|-2.182899066|-42.52098397|86.29525584|64.59518279|0.481311892|682.5509007|-1780.097106|-19.1002979|9.940531282|19.16475647|0.927940864|7780.945962999999|-1451.622641|33.54943497|-323.1621908|2549.757058|1255.618298|1.0|0.0|1.0|1.0|2.0|0.0|18.0|2.81|3.21|88.97|159.67|1.0|12.0|-5.74|39.0|4.0|527.66|0.0|2.56|1.83e-06|0.000968|0.00276|4.16|1.0|1.0|1.4800000000000003e-09|7.790000000000001e-07|8.08|-1704.061013|875.6|1544.09|398.94|0.5820000000000001|398.94|0.69905|0.69905|-1703.545539|0.5820000000000001|-0.12844|3.7605|-1703.622959|4.2225|8.0969
13_a10|0.0|0|0|0.0|0.0|1|7.535296702|1.343837907|5.4161004020000005|-0.055497169|2|0.038726287|0.00384732|10.9296146|-0.001592366|1|-0.154121136|-0.017015286|-0.02811323|0.761923976|0.78472614|0.00746881|0.84680169|1|0.818027691|-0.094726989|0.4676169839999999|0.0122005|6.168030793|91.99711608|3.118282386|-1.234905671|-24.21093442|51.21590298|54.05778885|0.449563457|413.5584641|-624.3134531000001|-7.698174391|5.069505473|9.209972585|0.816739845|4941.066161|-315.62515|21.31179541|-216.8776303|873.7836118999999|422.96706330000006|1.0|0.0|1.0|1.0|1.0|2.58|21.0|3.52|3.81|63.83|97.14|0.0|2.0|-3.76|25.0|4.0|328.37|1.0|2.91|0.000176|0.0576|0.0258|2.76|0.0|0.0|2.49e-07|8.170000000000001e-05|2.48|-1065.874094|550.83|926.41|322.72|0.3905|212.63|0.34881|0.68386|-1065.68351|0.1514|-0.15937|3.6904|-1065.732389|5.3726|6.7959
11b_a31|0.0|1|0|3.248213341|0.0|0|7.765993078999999|0.610137403|5.733341277|-0.172248605|0|0.043380952|-0.014385937|10.31169957|-0.046362952|2|-0.129901143|-0.101934423|-0.16780872|0.833717183|0.834596039|0.067031897|0.889561759|0|0.545458754|-0.143839236|0.26165445|0.037758271|21.02499452|253.1028809|11.70737909|-1.784511651|-44.59898223|100.3071755|101.1192111|0.473305522|303.7286124|-993.6722875|-13.83270059|6.83089364|12.96936635|0.8986339170000001|5202.545866|-553.3080237|37.09261324|-189.0151528|1483.70453|397.3137532|0.0|1.0|1.0|1.0|2.0|2.29|16.0|4.67|3.25|125.57|92.51|0.0|5.0|-4.74|25.0|6.0|357.38|0.0|2.69|1.82e-05|0.00649|0.0637|2.46|0.0|0.0|3.59e-06|0.00128|4.07|-1520.085181|589.56|969.71|322.57|0.2634|322.57|0.70073|0.70073|-1519.909742|0.2634|-0.15936|3.2104|-1519.967224|4.7518|6.2757
3l_a32|0.0|1|1|3.672194822|0.0|0|7.773594467000001|0.609420748|5.733341277|0.0043645509999999|0|0.035643275|0.0016954029999999|10.31100268|-0.107818594|3|-0.068876714|-0.04980249|-0.087213805|0.820540279|0.751853889|-0.136589369|0.7973741999999999|1|0.8855584879999999|-0.069304303|0.270668623|0.012244965|7.120934925|66.55229892|4.141107366|-1.326263838|-23.43792428|58.10243176|47.42414825|0.453630671|514.9875423000001|-771.2752615|-9.750593329|6.414825717|11.74082324|0.8302637909999999|5429.531532999999|-448.5272931|21.27134288|-335.2422712|978.4817724|565.7000781|0.0|1.0|1.0|1.0|1.0|3.54|19.0|7.34|6.17|110.94|110.16|0.0|3.0|-7.6|26.0|3.0|380.53|0.0|5.04|2.52e-08|9.59e-06|0.0003689999999999|5.51|0.0|0.0|3.16e-08|1.2e-05|4.21|-1789.475625|629.26|1062.47|351.04|0.2876|351.04|0.70282|0.70282|-1789.242839|0.2876|-0.14664|3.3955|-1789.298086|5.7721|7.9208
9_a4|0.0|0|0|0.0|0.0|1|7.535296702|1.300485838|5.4161004020000005|0.016639331|2|0.040449735|0.010709527|10.92992723|-0.0454860859999999|1|-0.030976753|-0.0475186259999999|-0.076824065|0.625717993|0.801082857|-0.151437311|0.861113198|1|0.937102792|-0.052625548|0.472497372|0.009037784|4.918284148|34.22811902|2.676487872|-1.113067849|-15.58475436|43.71760622|33.55665428|0.43745176|509.9632679|-605.7219363|-7.665782805|5.744374392999999|10.21134541|0.777625327|5387.230364999999|-329.6286606|17.76608225|-318.7769026|763.9415367|489.7528555|0.0|1.0|1.0|1.0|0.0|3.37|21.0|5.14|5.07|43.6|105.09|0.0|2.0|-4.76|26.0|3.0|360.84|1.0|4.17|1.73e-05|0.0062299999999999|0.00255|4.14|0.0|0.0|6.9e-09|2.49e-06|3.87|-1489.554198|586.24|999.93|308.91|0.1217|262.21|0.5182100000000001|0.6464|-1489.36688|0.0584|-0.16948|4.4343|-1489.41872|5.4739|7.3188
2_a4|0.0|0|0|0.0|0.0|0|6.605297921|1.189716144|4.59511985|-0.103346554|1|0.037777778|-0.001386521|10.95268469|0.076479666|0|0.127695325|0.147657684|0.228655117|0.930871261|0.802438682|0.11821091|0.847373823|0|0.742518847|-0.117395215|0.442778552|0.006330673|2.667094277|108.4760726|1.123639184|-1.366335816|-20.83662681|48.93681624|52.12536246|0.3961813179999999|312.82106489999995|-575.6333682|-6.736463618999999|4.710383035|7.800989232999999|0.656126301|3396.86527|-242.5126903|18.96532986|-289.1005902|682.7518749|284.26458360000004|1.0|0.0|1.0|0.0|2.0|0.0|12.0|2.12|0.83|45.15|79.59|0.0|2.0|-2.18|19.0|4.0|253.3|1.0|1.24|0.0066|1.67|434.0|1.62|0.0|0.0|1.4800000000000002e-05|0.00374|2.46|-819.9326497000001|458.73|764.77|384.69|0.1315|210.28|0.4682|0.6885600000000001|-819.771754|0.0008|-0.14614|1.7717|-819.8174190000001|3.0946|7.5086
47t_a18|0.0|0|0|0.0|0.0|0|7.03438793|1.25117758|4.844187086|-0.161517185|0|0.03672956|-0.006573438|10.94702032|-0.04785474|0|0.027313444|-0.068787175|-0.104274108|0.704602886|0.750103977|0.005590928|0.796935152|0|0.67203319|-0.119202068|0.240001773|0.014067024|9.415011332|219.5070758|6.301435212|-2.272502492|-53.39751484|80.00407742|89.19655162|0.49779009|449.789539|-1520.978225|-18.17831387|8.780037801|17.48280476|0.991199259|6603.597038|-1017.985577|33.75918118|-407.6438346000001|1890.514146|747.6927426|0.0|0.0|1.0|0.0|3.0|0.0|18.0|2.6|2.93|110.56|129.21|0.0|7.0|-5.58|33.0|4.0|441.48|0.0|2.15|2.65e-06|0.00117|0.0075299999999999|3.57|0.0|0.0|3.09e-08|1.36e-05|9.4|-1470.873743|703.76|1218.95|397.84|0.5502|397.84|0.6895100000000001|0.6895100000000001|-1470.528808|0.5502|-0.12692|7.7656|-1470.593659|9.6938|6.1068
9g_a40|0.0|0|0|0.0|0.0|1|7.515889085|0.604992427|5.4161004020000005|-0.0220464379999999|0|0.043730159|0.011921308|10.31197177|-0.145879501|2|0.133954053|-0.037217966|-0.062672355|0.694156166|0.764275277|-0.384131901|0.821935848|1|0.90454157|-0.063539055|0.002717414|0.021367335|11.25704374|50.29077056|5.930596229|-1.185495647|-17.63553984|51.16627179|44.73159432|0.476386801|476.5434822|-624.5597134|-8.658932892000001|8.180261533|15.62271835|0.909806709|4435.743087|-329.0394499|22.20330888|-253.1335385|843.7257374|384.6422631|1.0|0.0|1.0|1.0|1.0|1.78|22.0|2.91|2.93|72.28|87.53|0.0|3.0|-2.49|23.0|4.0|302.33|1.0|1.93|0.00323|977.0|247.0|1.37|0.0|0.0|3.720000000000001e-07|0.000113|3.83|-1332.487689|559.04|923.42|402.84|0.3563|402.84|0.70233|0.70233|-1332.31775|0.3563|-0.12765|3.4787|-1332.369643|5063.0|5.45
14a_a10|0.0|0|0|0.0|0.0|1|7.535296702|1.3438495730000002|5.4161004020000005|0.0437538159999999|3|0.035660377|0.011509975|10.92970798|-0.00421565|1|0.042968756|-0.220250238|-0.344811314|0.76857495|0.7348225290000001|-0.011977878|0.770129205|1|0.911549451|-0.044416218|0.43555903|0.0135610389999999|9.840503082|64.18371923|7.140714112|-1.270993412|-23.38784787|67.14248252|42.07091945|0.469029865|661.4615097|-922.2903058|-9.988888957|10.0292632|18.88856367|0.8833450959999999|6754.660977|-669.2555601|25.39690722|-60.97724212|1701.592784|1003.968547|1.0|1.0|1.0|1.0|0.0|4.4|21.0|4.16|3.36|59.31|146.76|0.0|7.0|-4.21|35.0|6.0|468.59|1.0|3.43|6.159999999999999e-05|0.0288|0.00743|3.29|0.0|0.0|6.55e-09|3.07e-06|2.25|-1489.655581|800.01|1380.89|326.1|0.2835|222.16|0.34245|0.7047100000000001|-1489.42155|0.0005|0.2422099999999999|3.1205|-1489.487381|4.8004|7.1308
14u_a23|0.0|0|1|0.0|0.0|2|7.423568444|1.197962732|5.351858133|-0.025360103|2|0.043321995|0.010561248|10.31321759|-0.0569153009999999|2|0.091604179|-0.110069159|-0.199540201|0.756252127|0.787538583|-0.001778422|0.845160857|1|0.909754912|-0.055259924|0.445665682|0.0254134689999999|16.97420126|60.27663131|11.3374334|-1.729315897|-24.65250654|73.50348823|53.88349042|0.47648509|607.6448353|-1155.04721|-15.12707504|7.392527755|14.12094979|0.910165272|6913.009783|-771.4808267999999|32.2221994|-271.0010972|1643.332169|683.7405759|0.0|1.0|1.0|1.0|1.0|3.68|26.0|3.42|4.03|114.25|126.78|0.0|6.0|-5.63|32.0|5.0|441.51|0.0|3.48|2.32e-06|0.0010199999999999|0.0042299999999999|3.55|0.0|0.0|3.11e-08|1.3699999999999998e-05|3.23|-1744.446261|712.54|1214.4|389.66|0.2253|306.82|0.4523|0.6703100000000001|-1744.1781010000002|0.0008|-0.1543|5.9743|-1744.2405670000005|8.1549|8.2449
