molecula|n9FaRing|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|SRW07|JGI4|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|MATS8d|SIC2|GATS1pe|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|DPSA5|DPSA3|TASA|WNSA4|FPSA1|GeomShapeIndex|PPSA1|DPSA4|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
13p_a6|0|0.0|0|0|0.0|0.024837222|-0.010395243|4.727387819|0.042959184|-0.634109842|-0.008008339|-0.014153926|10.95053423|-0.072853186|1|1|-0.005708558|0.123575608|-0.573014008|2|-0.125636943|0.837659336|0.8244206940000001|-70.52421289|-76.17631587|12.27472016|80.30786544|0.273479442|194.0233618|-0.03767435|-54.04422654|107.5669533|-2.14743793|89.17529231|82.79893305|515.4389679999999|-18.9628865|0.23994258|0.703081362|170.2302215|35.16646396|-369.0018868|794.5462391|12.99897644|1.0|1.0|1.0|1.0|3.0|0.12|4.58|4.01|1.01|1.0|0.0|132.01|0.0|7.0|-5.09|34.0|5.0|-7.01|1.0|2.96|-4.55|0.00365|2.79e-05|0.0125|0.0|8.73e-11|3.92e-08|-0.0746|4.73|2.9837|-1463.08132|752.82|1283.98|0.4132|258.45|573.39|0.47508|0.0029|-0.12251|9.0546|-0.1971099999999999|0.03807447|12163.0|92.0|7.0362|7.0362
47f_a18|0|0.0|0|1|0.0|-0.005500039|-0.005817448|4.844187086|0.031179487|-0.477030713|0.0036509859999999|0.033759227|10.94702253|-0.008224928|0|0|0.00531392|-0.071877686|-0.4138670829999999|0|-0.014370598|0.780474694|0.745431271|-54.18475173|-72.03501774|11.75478965|111.1889928|0.161843119|137.3980967|-0.0289997239999999|-61.15474298|58.84834254|-2.290978185|86.11217859|65.93954138|711.5604361000001|-20.90098811|0.273449343|0.937396993|232.14715330000004|33.88554232|-384.6642262|1347.416568|14.07716085|1.0|1.0|0.0|1.0|2.0|0.34|3.22|3.6|2.79|3.0|2.0|164.47|1.0|13.0|-6.11|40.0|4.0|-6.4|0.0|2.83|-5.52|0.000421|3.01e-06|0.00163|1.0|6.04e-10|3.27e-07|-0.04439|8.13|3.0964|-1743.375413|908.66|1602.99|0.5741|400.42|874.24|0.6984600000000001|0.5741|-0.12802|3.8532|-0.1724099999999999|0.02902413|4.4861|9.0|8.0458|8.0458
17f_a50|1|0.0|2|1|4.305828452|-0.2208117919999999|-0.002205848|5.82008293|0.03135101|-0.125733326|0.012475826|-0.028989535|10.94501702|-0.132773563|2|2|0.0129274519999999|-0.275290802|-0.204651539|1|-0.2257632789999999|0.8314734309999999|0.7241275009999999|-29.10566644|-46.03121141|10.09339793|6.382846132999999|0.088541266|54.44410182|-0.026836447|-28.30463221|82.90209608|-1.422331714|55.9791334|39.19906437|560.4567739|-10.14694362|0.278877895|0.896702|171.48226169999998|22.88344084|-271.9363523|652.6793116|9.947921993|1.0|1.0|1.0|1.0|0.0|0.26|2.87|3.83|2.09|1.0|0.0|116.81|0.0|6.0|-3.58|29.0|4.0|-6.64|1.0|2.92|-4.12|102.0|7.57e-05|0.0291|0.0|4.15e-07|0.00016|-0.0336399999999999|2.5|4.0664|-1219.2481369999998|653.63|1146.22|0.1708|304.9|564.52|0.6573899999999999|0.1708|-0.16784|6.1931|-0.20148|0.0276719|8.312999999999999|398.0|6.4001|6.4001
10_a4|0|0.0|1|1|2.146166934|-0.180140166|-0.002959121|5.4161004020000005|0.038699764|-0.159792527|0.01107733|-0.122141977|10.92992762|-0.090413559|1|1|0.011142889|0.014917047|-0.241683916|2|-0.150288496|0.861225169|0.6799081490000001|-29.52653193|-45.97324097|8.440134933|39.48408698|0.078346981|45.34497624|-0.027007048|-26.60798798|64.26218096|-1.350352423|54.09964719|37.96666686|533.4262268|-9.046715915|0.255470315|0.945033425|147.85886159999998|20.99433004|-283.0534799|594.7358385|8.126406226|1.0|1.0|1.0|1.0|0.0|0.26|4.93|4.81|2.53|2.0|0.0|111.38|0.0|4.0|-4.66|28.0|4.0|-5.83|1.0|3.9|-4.85|0.00818|1.4e-05|0.00519|0.0|8.51e-09|3.15e-06|-0.04689|3.34|3.6465|-1183.812875|619.99|1083.65|0.1792|249.6|470.02|0.4662|0.0176|-0.15561|1.4517|-0.2025|0.02232068|2.2386|88.0|7.0555|7.0555
40_a47|1|0.0|1|0|1.715145925|-0.246203395|-0.004181351|4.727387819|0.041396825|-0.179798097|0.002212256|-0.038143308|10.98214138|0.056362705|1|1|0.003634698|-0.130213023|-0.2636225|3|0.090270598|0.900790582|0.607650682|-32.5926343|-44.90375373|11.04737121|54.11003524|0.1877663219999999|101.2934265|-0.027052191|-24.22401965|0.0|-1.082087641|60.97203959|43.64000551|438.171933|-7.872806386000001|0.426343267|0.843174422|229.9974239|25.43981292|-79.47051169|388.178924|16.06828586|0.0|1.0|1.0|1.0|1.0|0.11|2.96|4.04|1.52|0.0|0.0|94.28|0.0|3.0|-3.26|25.0|5.0|-6.78|1.0|2.72|-3.72|183.0|0.000192|0.0643|0.0|8.339999999999999e-08|2.79e-05|-0.05086|2.06|3.7236|-1123.174467|571.5|947.27|271.0|308.6|444.47|0.67615|0.2612|-0.15231|4.7542|-0.20317|0.02983032|6.5995|4.0|8.4|8.4
12_a3|0|0.0|0|0|0.0|0.167987916|-0.009093383|4.727387819|0.042795699|-0.336455156|-0.006049098|-0.045382017|10.31163031|-0.069857022|1|1|-0.0045709459999999|-0.218774634|-0.604704476|2|-0.125395523|0.784451598|0.841871246|-44.07517037|-45.63945658|5.258353635|239.2266101|0.170600292|80.99228663|-0.039584548|-21.667278|76.23910943|-1.345874639|52.16354015|49.333524|393.75653|-8.921820355|0.169581355|0.864908294|80.50854774|22.63041363|-313.7317211|330.4083896|6.524083564|1.0|1.0|1.0|1.0|1.0|0.0|4.34|4.01|1.6|1.0|0.0|90.49|0.0|2.0|-5.68|22.0|3.0|-5.3|1.0|3.23|-4.84|0.000629|1.44e-05|0.0044|0.0|1.3e-07|3.9500000000000005e-05|-0.06361|2.94|3263.0|-1272.152002|515.23|847.25|0.5056|379.97|361.95|0.69784|0.5056|-0.13153|2.3762|-0.19514|0.02620998|3.1979|3548.0|5.45|5.45
28_a20|0|0.0|1|0|1.837209467|-0.013841559|-0.006492092|4.727387819|0.0396875|-0.363557127|0.002234763|0.0313932529999999|10.94963925|-0.039965901|1|1|0.002695258|0.155263557|-0.447096101|3|-0.06654421|0.812553182|0.690655217|-57.59898971|-60.85602167|9.799649234|318.7453661|0.218249263|145.66665480000003|-0.035068957|-40.6172876|88.39175809|-1.823585765|71.98460956|67.39863895|521.7658603|-15.62203369|0.226358273|0.8826648009999999|151.0788711|30.25452396|-365.2747728|684.5377542|11.12858789|0.0|1.0|1.0|1.0|1.0|0.08|3.93|4.01|1.73|1.0|0.0|122.8|0.0|5.0|-4.42|32.0|5.0|-6.96|1.0|3.04|-4.43|0.0159|3.72e-05|0.0156|0.0|1.57e-09|6.590000000000001e-07|-0.06242|4.64|3.5798|-1368.363151|704.42|1198.32|0.2354|258.81|531.85|0.50352|0.0153|-0.15572|3.5284|-0.21814|0.03534166|4.7428|255.0|6.5935|6.5935
12af_a36|0|0.0|0|2|0.0|0.04293386|-0.00989889|5.351858133|0.039953704|-0.6038322939999999|-0.00233752|-0.074383486|10.96037047|0.00146554|1|1|-0.000472698|0.154914099|-0.505160213|1|0.002492952|0.8631180940000001|0.817582774|-57.32748365|-73.23838519|15.22358698|89.56100543|0.244724481|169.9519197|-0.035153522|-50.86129548|127.6527374|-2.003750775|91.25505794|72.55107063|524.5103537|-16.95376516|0.329759081|0.8141152220000001|229.0052411|36.42391023|-236.4517911|757.7532208|18.01667275|0.0|0.0|0.0|1.0|3.0|0.17|2.38|1.65|1.49|1.0|0.0|138.06|0.0|7.0|-3.54|33.0|5.0|-7.66|0.0|1.47|-3.64|128.0|0.000227|0.0997|0.0|1.1800000000000001e-07|5.18e-05|-0.05882|4.5|3.2299|-1440.982935|737.4|1246.55|427.0|236.83|589.48|0.50179|0.0035|-0.13364|6.9003|-0.19246|0.02886569|9.4631|15.0|7.8239|7.8239
12l_a30|0|-4.712037416|0|2|0.0|0.157020295|-0.015371073|5.351858133|0.044036281|-0.876151158|-0.00695299|0.154540315|10.31162828|-0.02588969|1|1|-0.004395528|-0.300262845|-0.640870513|1|-0.0395239879999999|0.883029843|0.593245722|-63.31694493|-76.82494797|10.78883933|103.5499036|0.165720595|115.9404641|-0.045581702|-53.74781658|1.697908189|-2.415830189|88.64610824|74.10578426|583.6736326|-22.31041443|0.178184921|0.861252543|124.6606826|38.8038646|-450.2927313999999|696.6414817000001|11.82116027|1.0|0.0|1.0|1.0|1.0|0.17|4.43|4.78|2.82|2.0|0.0|133.96|0.0|7.0|-6.7|34.0|8.0|-5.66|0.0|3.42|-5.92|9.63e-05|1.2e-06|0.000579|0.0|6.61e-08|3.19e-05|-0.0545299999999999|5.52|3.5245|-1988.033039|729.17|1223.54|0.2294|245.74|574.72|0.39486|0.1574|-0.14944|2.5031|-0.20397|0.03406276|2.9851|61.0|7.2154|7.2154
15c_a10|0|0.0|1|2|2.154210861|-0.236118846|-0.002218445|5.4161004020000005|0.034807692|-0.153072705|0.01143745|-0.1036030219999999|10.92970798|0.0123939039999999|1|1|0.012271987|-0.101214571|-0.1742732839999999|2|0.022187689|0.772328328|0.733973277|-32.5870313|-50.32840842|10.2013281|65.41494073|0.095541483|66.28884934|-0.019267867|-34.91899195|136.2098503|-1.233143495|66.5866765|42.7883594|627.5338454|-9.275357237|0.471771585|0.8158976029999999|327.3258326|25.30814911|-39.17102961|924.9341455|16.25826809|0.0|1.0|1.0|1.0|0.0|0.37|3.77|2.97|1.74|1.0|0.0|141.96|0.0|6.0|-3.85|34.0|6.0|-6.99|0.0|3.1|-4.57|0.0646|2.68e-05|0.0122|0.0|1.6100000000000002e-08|7.3e-06|-0.04724|2.2|3.6709|-1450.241475|762.21|1318.35|0.3939999999999999|221.75|595.63|-0.26999|0.0|-0.14739|2.4256|-0.19463|-0.25919486|4.8283|0.1|7.0|7.0
