molecula|SddssS|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|MATS1c|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|RPSA|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
2_a20 (SB-505124)|0.0|0|3.485765306|-0.09011519|0|7.434257382|1|1.183764955|-0.076310057|1|0.05042042|0.0|-0.498602014|-0.137383329|1|1|0.003789399|-0.150708132|-0.520284161|0.082053195|0.765632979|0.790275077|0|0.7694360659999999|-0.083565835|-0.117328885|0.02856542|-45.98170774|15.71798823|122.8758934|0.230563934|-35.52365346|8.648749117000001|441.9400248|0.831919306|-25.30121848|-21.05206547|61.69969596|423.3785776|-968.3950117|1709.9571620000002|-11.58380004|0.1680806939999999|5.952040367|11.3574908|4762.83693|92.48561162|25.30541763|-365.2740749|1164.049211|477.95809620000006|1.0|1.0|1.0|1.0|3.1|5.16|4.47|2.06|97.55|0.0|1.0|3.0|4.0|335.4|0.0|1.0|3.81|-4.91|5.72e-06|1.22e-05|0.0040799999999999|4.27|6.070000000000002e-08|2.03e-05|-0.03717|3.6404|3.6404|-1089.371784|-1089.358727|995.68|340.58|340.58|505.82|0.69947|0.69947|-1089.201587|3.9392|169.0|6.7721
19a_a38|0.0|0|3.3685352889999995|0.0|0|7.412764017000001|2|1.297044508|-0.082283951|2|0.043848238|0.0|-0.431265985|-0.077535135|1|1|-0.000673716|-0.101303149|-0.4342819429999999|0.031696119|0.8741648479999999|0.698414933|0|0.747152898|-0.08593151|-0.108300308|0.022142322|-51.36166266|13.23456869|137.2318698|0.252847102|-38.69037594|7.910363161|0.0|0.744796537|-30.69910427|-23.30337482|64.59623135|446.57675660000007|-1165.168741|2304.055966|-13.92853534|0.255203463|6.923156054|12.96056449|6115.030149|152.5362948|31.28824271|-292.6320538|1564.412135|595.8790650000001|1.0|1.0|1.0|3.0|2.56|3.13|2.55|2.4|125.69|0.0|1.0|5.0|4.0|401.44|0.0|1.0|2.68|-4.17|7.209999999999999e-05|6.77e-05|0.0272|2.78|1.4e-07|5.610000000000001e-05|-0.05271|3.9212|3.6504|-1332.186327|-1332.1529369999998|1092.25|339.65|316.19|466.55|0.6329100000000001|0.68835|-1332.002093|6.0223|0.01|8.0106
12j_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.604984421|-0.033312179|2|0.043848238|0.0|-0.354848778|-0.075816941|1|1|0.005965451|-0.053644471|-0.456342646|0.0060012969999999|0.846470093|0.7991060659999999|0|0.842199041|-0.073909106|-0.094132698|0.015613498|-47.76354083|10.09017681|88.51817261|0.157800959|-39.31313154|6.520746879|0.0|0.8134611009999999|-30.8670468|-23.39729904|57.85371764|544.2686362000001|-1216.65955|2258.891981|-15.12043521|0.1865388989999999|8.067697897|15.41574553|6105.3402670000005|120.550211|28.76265258|-405.1466163|1495.657934|686.039456|0.0|1.0|0.0|1.0|0.0|4.35|2.93|3.04|132.24|0.0|1.0|5.0|4.0|412.51|0.0|1.0|2.91|-5.15|2.21e-06|7.05e-06|0.00291|4.23|9.75e-08|4.02e-05|-0.05106|5.1971|3.4788|-1615.096172|-1615.064152|1175.75|356.4|238.56|549.64|0.3087|0.68625|-1614.894278|5.1081|9.0|8058.0
3a_a12|0.0|0|0.0|0.0|0|0.0|1|1.28383802|-0.042445446|2|0.032544803|0.0|-0.322200517|-0.0161799839999999|0|0|-0.001011111|-0.072889493|-0.5274624179999999|-0.021522321|0.759068438|0.8847197109999999|0|0.871985494|-0.07121814|-0.090803706|0.009433302|-34.84701355|4.615711776|71.11710277|0.128014506|-21.73969523|2.258466332|0.0|0.781050096|-17.05063286|-17.08854808|39.46272532|426.6622302|-666.453375|1050.730179|-8.361421244|0.2189499039999999|5.924949067000001|11.01449587|4230.717811|107.1321197|21.87893986|-275.0354486|853.2786545|381.0058252|1.0|1.0|1.0|1.0|2.74|3.43|2.49|3.09|97.52|0.0|1.0|3.0|3.0|298.34|0.0|1.0|2.98|-4.06|0.00025|8.8e-05|0.0263|3.15|3.13e-08|9.33e-06|-0.06829|4.2336|3.7304|-951.3711872|-951.3480023|875.71|332.36|292.86|383.08|-0.34688|0.66895|-951.264072|1.9332|194.0|6.7122
12t_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.60498454|-0.097216874|2|0.044197531|0.0|-0.411045472|-0.04950715|1|1|-0.001131023|-0.0546637159999999|-0.464720444|-0.003937967|0.889479916|0.591758164|0|0.696413582|-0.090535776|-0.1011561919999999|0.018862708|-58.89093185|12.26965165|88.42093081|0.303586418|-42.80050261|7.981057356|0.0|0.745705883|-38.30686627|-24.17113783|71.1605835|452.99711|-1184.385754|2479.787504|-15.72263361|0.254294117|7.957774504|14.358001500000002|6617.834146|165.4110479|32.41376848|-319.6492937|1588.274656|616.2856203|0.0|1.0|0.0|1.0|0.0|4.67|3.74|3.58|127.19|0.0|1.0|5.0|6.0|434.46|0.0|0.0|3.21|-5.17|3.24e-06|6.71e-06|0.00291|4.07|6.900000000000002e-08|3e-05|-0.05542|5.0693|3.5457|-1774.2421780000002|-1774.208418|1139.2|349.67|244.58|527.87|0.33647|0.6842600000000001|-1774.077985|3.2145|9.0|8.0496
12r_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.604984545|-0.093024002|2|0.043383838|0.0|-0.400352091|-0.0646674999999999|1|1|-0.001131023|-0.0546637159999999|-0.44083509|-0.007140234|0.889479916|0.591758164|0|0.72072745|-0.090229387|-0.109990462|0.019137908|-58.32042638|12.36992712|90.4724548|0.27927255|-45.9515743|7.995393191000001|0.0|0.790065337|-37.69583567|-26.11584816|70.6903535|465.8474777|-1279.67656|2433.580273|-16.88017015|0.209934663|7.467190577999999|13.94386247|6735.090739|135.6928105|33.05530181|-374.9717191|1619.709789|616.2856203|0.0|1.0|0.0|1.0|0.0|4.67|3.74|3.58|127.19|0.0|1.0|5.0|6.0|434.46|0.0|0.0|3.21|-5.17|3.24e-06|6.71e-06|0.00291|4.07|6.900000000000002e-08|3e-05|-0.05244|5067.0|3.5111|-1774.236548|-1774.2026670000002|1141.54|353.12|244.69|516.03|0.32409|0.68476|-1774.070699|6.5511|29.0|7.5317
13h_a6|0.0|0|3.464247528|0.0|0|6.842683282|0|1.424099498|0.004767264|2|0.04393617|1.656132209|-0.3839567379999999|-0.090944829|1|1|-0.000644109|-0.12414699|-0.468842137|-0.0256002129999999|0.8391892870000001|0.789769968|1|0.867910741|-0.074151997|-0.091977068|0.017441348|-51.85624128|12.1971464|77.20799814|0.132089259|-44.98170701|8.529752344|0.0|0.736918588|-36.26429338|-22.63172141|64.05338768|606.9504647000001|-1222.112956|2829.19698|-15.82689691|0.263081412|9.11292243|16.928040300000003|6302.785260000001|183.9790404|30.71129129|-331.36552|1658.40973|744.1359788|1.0|1.0|1.0|2.0|3.03|5.41|4.79|1.13|128.63|0.0|0.0|6.0|5.0|431.49|0.0|1.0|3.61|-5.06|2.77e-06|8.8e-06|0.0038|3.7|2.67e-11|1.15e-08|-0.07435|4.8701|3392.0|-1386.613707|-1386.569017|1253.92|365.52|254.58|591.53|0.50716|0.69001|-1386.3651|10.0322|47.0|7.3279
17b_a25|0.0|0|0.0|0.0|1|6.842683282|0|1.3732004619999998|-0.002108117|2|0.042843137|1.968416259|-0.266456625|0.016982601|1|1|0.005244553|-0.044156525|-0.366585181|0.068812225|0.838260077|0.636746066|1|0.882170399|-0.068207754|-0.079392561|0.015879547|-51.71860811|12.04068508|99.61874923|0.1178296009999999|-45.64634114|9.129863339|87.61586206|0.724866184|-39.21569422|-22.17876359|63.75929319|668.9067217|-1264.189524|2514.295488|-16.81707305|0.275133816|9.700133933|18.52147096|6674.061446|208.6205329|30.59704545|-341.0100868|1744.031591|832.226697|1.0|1.0|1.0|1.0|3.25|4.88|5.18|2.0|135.78|0.0|0.0|7.0|5.0|458.51|0.0|1.0|3.78|-5.07|4.75e-06|8.59e-06|0.00394|3.61|9.08e-11|4.16e-08|-0.05531|5.4236|3961.0|-1483.873254|-1483.830524|1329.35|313.02|228.6|654.18|0.31395|0.6594800000000001|-1483.630939|5.2142|101.0|6.9957
13n_a6|0.0|0|3.425442623|0.0|0|6.842683282|0|1.4290206230000002|-0.135152403|2|0.04393617|1.628408574|-0.631323273|-0.033224059|1|1|-0.00687003|-0.068956229|-0.57091314|-0.064779873|0.832753533|0.82642394|1|0.70890216|-0.100363599|-0.109392959|0.017758385|-68.88015714|12.18768927|90.97854097|0.29109784|-51.52585133|8.36448634|103.012404|0.748967057|-47.27287681|-26.41600355|81.06784641|486.5239262|-1426.464192|2535.307313|-18.12946621|0.251032943|8.872063579|16.76075427|6386.381394|172.28545730000002|35.2699138|-341.7352549|1904.575345|724.3873672999999|1.0|1.0|1.0|3.0|1.9|4.19|3.76|0.81|127.2|0.0|1.0|6.0|5.0|435.48|0.0|1.0|2.62|-4.28|2.27e-05|5.24e-05|0.0228|2.43|2.1499999999999998e-10|9.35e-08|-0.07131|4.8185|3.3510000000000004|-1423.765005|-1423.714738|1232.6|369.99|257.31|548.09|0.55028|0.64027|-1423.514154|10.1967|75.0|7.1249
17e_a50|0.0|1|0.0|0.0|2|7.934155233999999|2|1.320916122|0.038322942|2|0.031870748|2.2384546640000003|-0.141076059|-0.114420412|2|2|0.012372059|-0.1949741189999999|-0.229030473|-0.1710526319999999|0.7791604190000001|0.736221185|1|0.930108205|-0.046347299|-0.073011385|0.012865274|-32.24487658|8.950665784|10.68364489|0.069891795|-35.33972521|6.227183052000001|86.98647608|0.803671114|-22.43349867|-18.5444588|41.19554236|647.0975667|-1168.300905|1981.934841|-12.90180444|0.196328886|8.52101688|16.70124474|6301.28046|136.5904997|23.07468625|-422.5418889|1453.705234|904.3172644|1.0|1.0|1.0|0.0|4.23|4.23|4.68|2.91|138.0|0.0|1.0|6.0|4.0|438.57|0.0|0.0|4.03|-5.18|1.34e-05|6.58e-06|0.00288|4.08|4.63e-08|2.03e-05|-0.03156|4.2373|4.0298|-1375.295877|-1375.268259|1312.91|307.67|292.6|602.89|0.6322800000000001|0.66478|-1374.992422|8.8326|155.0|6.8097
