molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RPSA|TPSA_x|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|WNSA2|DPSA4|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
17a_a50|0.0|0|1|1|0.0|1.349854788|4.319202937|-0.186084687|-0.002225436|0.009691515|1|0.034142512|-0.109740063|2.189373662|-0.133526134|0.012510153|-0.0979202769999999|10.94500663|2|0.012893333|-0.3891730779999999|-0.220088198|0.762224122|0.784570118|-0.204032723|-0.215448852|0.732114362|1|0.92300665|-0.045404408|-0.078525868|0.013784807|-29.57096251|8.977762705|0.07699335|50.14419437|0.7899109000000001|-1.570517366|58.69900789|0.486855438|2644.4486420000003|601.1353533|-1022.84584|1799.721631|-11.89568886|8.087984548|15.76161018|5718.782531|-666.1585759999999|23.12299308|-377.6260803|719.3470265|1.0|1.0|1.0|0.0|3.29|0.29|20.0|4.14|51.77|121.78|0.0|1.0|6.0|30.0|4.0|-6.44|398.5|0.0|1.0|3.27|-4.44|0.000102|0.0408|3.61e-05|0.0|0.0|1.75e-07|4.2478|3.08|4.0477|-1258.540058|705.96|1204.79|0.1817|291.88|-1258.260865|0.1754|-0.16724|6.2113|0.02594911|-1258.322582|7.0706|7.0706
19a_a22|0.0|0|0|0|0.0|1.422917238|1.572240489|-0.000989685|-0.009145283|-0.144269652|2|0.0389622639999999|-0.020553065|1.545757986|-0.548716971|-0.002607064|-0.011513343|10.9464374|1|-0.001355145|-0.0611158559999999|-0.496053375|0.72808001|0.777600172|-0.155892259|0.0271939039999999|0.699744887|1|0.744354735|-0.090145161|-0.09370213|0.024839714|-67.26339083|18.53458775|0.255645265|190.7541925|0.684706189|-1.967744721|89.23486638|0.4347718229999999|3167.140147|555.4133255|-1468.267194|2607.322873|-19.56380872|8.648671382|15.30120355|7095.27723|-1095.573288|38.29242013|-275.6435167|781.8210659|1.0|1.0|1.0|2.0|2.27|0.08|27.0|3.41|128.68|132.15|0.0|1.0|7.0|35.0|6.0|-7.67|463.49|0.0|0.0|2.36|-4.11|4.16e-05|0.0193|7.69e-05|0.0|0.0|1.73e-09|5.0397|5.69|3.5809|-1537.0241640000002|740.07|1277.14|0.2218|246.01|-1536.756515|0.0623|-0.1508|4.5288|0.04718381|-1536.823574|7.3188|7.3188
47o_a18|0.0|0|0|0|0.0|1.251177005|0.0|0.052875948|-0.006476544|-0.055408687|0|0.037484277|-0.006238734|0.0|-0.4339284229999999|-0.00046896|0.011121222|10.94702017|0|0.000787517|-0.156998637|-0.490807196|0.7452092359999999|0.7435044540000001|0.001673737|-0.066242713|0.733228144|0|0.806872998|-0.077288013|-0.088436375|0.008692675|-56.13142962|6.313168526|0.193127002|140.2610102|0.872753077|-2.210909375|70.23090572|0.493146875|2857.120021|586.0020642999999|-1605.70184|1393.529823|-18.22128055|9.808930716|19.35260972|6462.6049570000005|-1166.161955|28.74706708|-541.4335917000001|931.8364349|1.0|0.0|1.0|3.0|0.0|0.25|18.0|3.0|85.29|139.63|0.0|1.0|9.0|34.0|3.0|-6.12|454.56|0.0|0.0|2.76|-5.08|2.19e-06|0.000996|8.38e-06|0.0|0.0|4.26e-10|3.22|7.62|3.22|-1455.547304|783.22|1352.29|0.5065|385.04|-1455.162559|0.5065|-0.13203|2.2316|0.02736851|-1455.231246|7.3279|7.3279
3b_a49|0.0|0|0|0|0.0|1.343850026|2.104186262|-0.003115526|-0.0057605869999999|-0.055724324|2|0.034155556|-0.090939066|1.844602991|-0.322592863|0.000607064|-0.010613212|10.92976559|1|0.001356445|0.000850823|-0.405529602|0.7745859279999999|0.794997634|0.021506499|0.006213385|0.749565191|1|0.749104358|-0.0883601469999999|-0.0846496|0.013576151|-54.04959517|8.304484449|0.250895642|153.4719941|0.656865946|-1.439043207|64.91785551|0.477583842|2660.339607|458.224537|-880.2577376|1796.6760370000002|-10.35481932|7.236413572000001|13.85181805|5934.158315|-538.4506046|25.77091035|-191.9087104|641.1445234|1.0|1.0|1.0|2.0|2.43|0.22|21.0|3.2|98.72|116.94|0.0|1.0|6.0|30.0|5.0|-7.42|398.46|0.0|0.0|2.38|-3.59|0.000293|0.1169999999999999|0.000256|0.0|0.0|2.64e-08|4.6669|3.4|3.8418|-1293.291817|664.15|1132.92|0.1978|265.67|-1293.048179|0.0759|-0.1587|3.0055|0.0368692|-1293.106236|7.6021|7.6021
15_a31|0.0|1|0|0|0.0|0.610137926|0.0|0.1893807519999999|-0.018913735|-0.134784483|0|0.038809524|-0.0302581979999999|0.0|-0.775463115|-0.011797858|-0.070065105|10.31169996|2|-0.007631228|-0.272545088|-0.6215974160000001|0.8314086070000001|0.8022000659999999|-0.0869591359999999|-0.116356616|0.782925607|0|0.567108776|-0.116196194|-0.131697567|0.038524836|-61.76522754|20.47825449|0.4328912239999999|230.1075793|0.641533577|-1.58037081|88.05886218|0.466164359|2351.566145|301.452236|-840.0616157|1675.977147|-11.75113151|6.148947296|11.51842782|5087.628096|-446.5429972|34.45943505|-150.46712390000002|363.593507|0.0|1.0|1.0|2.0|1.64|0.19|16.0|3.0|117.37|90.47|0.0|2.0|4.0|24.0|5.0|-6.84|342.37|0.0|0.0|2.27|-3.57|5.27e-05|18.0|0.000272|0.0|0.0|2.19e-06|4569.0|3.9|4569.0|-1460.861851|556.68|925.93|348.0|271.36|-1460.736142|348.0|-0.15202|5.5793|0.03843988|-1460.790873|5.9586|5.9586
9_a27|0.0|1|0|0|0.0|1.391067068|1.830911754|0.164227115|-0.0073742819999999|-0.050617284|2|0.042847222|-0.152086653|1.233610009|-0.331842668|0.00611794|-0.051160217|10.93740461|1|0.00651856|-0.171520296|-0.541535578|0.677253824|0.8214321609999999|0.017503266|-0.071974951|0.654138816|1|0.7988644709999999|-0.078270599|-0.088404481|0.019589991|-40.3551562|10.10030794|0.2011355289999999|103.702486|0.7892801540000001|-1.414471696|53.0685473|0.466349763|2256.4955670000004|411.8826346|-729.2805601|1463.168883|-8.952528705|5.03925321|9.442988795|4962.727436|-376.0062056|21.99956856|-298.297086|424.8821143|1.0|1.0|0.0|1.0|2.62|0.16|21.0|3.04|76.46|97.46|0.0|1.0|3.0|25.0|4.0|-6.33|331.37|0.0|1.0|2.99|-4.08|8.66e-05|0.0287|8.28e-05|0.0|0.0|8.69e-08|5.5421|4.67|4.1673|-1083.118736|549.64|945.35|0.1982|223.71|-1082.965434|134.0|-0.1716|2.7456|0.02461151|-1083.017359|8699.0|8699.0
18a_a25|0.0|0|0|0|0.0|1.194229606|1.875390684|-0.151473962|-0.0029953159999999|-0.019008377|2|0.038167849|0.062229409|2.050257213|-0.170732995|0.007643634|-0.018419483|10.31286118|1|0.007325341|-0.06333068|-0.2936794219999999|0.761417363|0.7385460309999999|-0.039007784|-0.035531959|0.7291583840000001|1|0.931628386|-0.055926422|-0.078181889|0.0095281269999999|-37.07961488|6.317215793|0.068371614|45.33086513|0.817072039|-1.641819678|59.45091020000001|0.493301255|2857.88027|617.676232|-1088.538099|2331.966135|-13.61714122|7.39539242|14.59524518|6523.923911999999|-721.7084848|25.136651|-420.4420243|759.4953883|1.0|1.0|1.0|1.0|3.43|0.08|27.0|5.72|87.72|133.85|0.0|1.0|6.0|32.0|3.0|-5.58|435.54|0.0|0.0|4.53|-5.77|4.65e-07|0.000202|1.71e-06|0.0|0.0|1.67e-10|5.4965|4.51|3.1711|-1675.2501519999998|694.17|1229.09|0.3234|225.57|-1674.982248|0.0027|-0.15732|3.1313|0.02456497|-1675.04368|7.0269|7.0269
9i_a24|0.0|1|0|0|0.0|1.4281889280000002|1.865102513|-0.113620183|-0.005148312|2.01e-05|2|0.023854167|-0.076024544|0.0|-0.190487553|0.004814196|-0.087363979|10.96661275|2|0.005891639|-0.336939175|-0.32068769|0.783500303|0.822658951|0.139004845|-0.0106944439999999|0.73094562|0|0.8260893640000001|-0.064657333|-0.069812876|0.025118046|-30.56504777|11.87389334|0.173910636|82.21166337|0.499238289|-0.837754515|51.05832236|0.468272544|2061.729154|390.5119445|-396.0263368|761.9885477000001|-5.506205845|5.946747117|11.18382556|4155.922671|-187.2109987|23.33121014|0.720157264|295.8603625|1.0|0.0|1.0|1.0|1.36|0.0|22.0|2.72|72.28|82.17|0.0|1.0|3.0|22.0|4.0|-7.01|288.31|0.0|1.0|1.73|-3.1|0.00248|716.0|0.000791|0.0|0.0|8.95e-07|4.6212|1.13|4.1459|-945.2626532|501.48|825.7|0.2373|268.3|-945.174716|0.0029|-0.17204|7.1135|0.0239838|-945.222448|7.0555|7.0555
4g_a46|0.0|0|0|0|0.171759574|1.134637064|2.156712018|-0.153373738|-0.001702489|-0.010706405|2|0.046415344|-0.093447672|0.0|-0.088529411|0.011488768|-0.055084605|10.96333695|1|0.010608122|-0.121452903|-0.2455749539999999|0.662386484|0.74106323|-0.200628401|-0.193115055|0.635494818|0|0.946829733|-0.056893316|-0.070153728|0.00801562|-32.64186634|4.598866947|0.053170267|30.50581108|0.826861093|-1.192613373|44.72726697|0.448462961|2242.010126|543.2323468999999|-684.2477996|2285.43285|-8.0118178|5.8466355000000005|10.60062169|5176.321714|-392.5790722|16.88825479|-375.0653627|568.1534007|1.0|1.0|1.0|0.0|3.61|0.38|17.0|5.37|43.6|106.55|0.0|1.0|3.0|26.0|3.0|-5.18|366.89|0.0|1.0|4.39|-5.38|4.22e-06|0.00155|4.16e-06|0.0|0.0|1.57e-08|4.4163|4.65|4.4163|-1493.132001|615.33|1064.92|0.1294|280.74|-1492.923098|0.1294|-0.18602|3.5526|0.02266493|-1492.979142|5.5615|5.5615
5b_a49|0.0|0|0|0|0.0|1.343848745|2.119588967|0.1108916119999999|-0.007610481|0.006327273|2|0.034466231|-0.072128552|1.926253727|-0.418576471|0.005836378|-0.0695402359999999|10.9297646|1|0.006696215|-0.230763367|-0.515894968|0.6981815290000001|0.7843021|-0.006962617|0.099724518|0.666573331|1|0.7969332440000001|-0.0698098759999999|-0.076494119|0.020319986|-41.03213895|11.94347454|0.203066756|119.3565117|0.608694741|-1.300400018|59.85065205|0.475192312|2764.188493|468.4133145|-764.3358925|1956.050085|-8.985071494|6.270195553|11.94760614|6225.302624|-449.2535747|25.1139312|-127.7749783|612.7019937000001|0.0|1.0|1.0|1.0|2.9|0.22|21.0|2.87|75.94|122.26|0.0|1.0|3.0|30.0|4.0|-7.24|396.44|0.0|1.0|2.58|-3.93|0.000496|0.1969999999999999|0.000118|0.0|0.0|5.79e-08|5.1653|3.92|3.9209|-1292.100239|633.92|1093.32|0.4653|240.03|-1291.873941|0.0747|-0.1624799999999999|4.3767|0.03937634|-1291.929428|7.5528|7.5528
