molecula|SddssS|n9FaRing|SaaNH|nAHRing|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PPSA3|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|TASA|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
16_a31|0.0|0|3.096824452|1|1|0.61013894|0.152128735|5.733341277|-0.186617888|0|-0.050076586|-0.726543099|-0.017017891|0.06214876|2|2|-0.0125582419999999|-0.09530799|-0.60894688|0|0.951830892|0.8318419909999999|0.0980869569999999|0|0.546450126|-0.142079397|-0.150315165|-66.9420327|17.63615984|213.694252|-0.050105055|-33.36862997|8.309441139|467.7901274|0.73080436|-1.653466811|83.86629191|-23.60746376|84.57819254|257.4650715|0.26919564|9.649327262|0.747554032|4387.049328|-367.0549296|32.30339751|0.027684692|-217.4912527|1066.012118|280.39844320000003|0.0|1.0|0.0|1.0|2.0|3.2|0.14|16.0|-4.94|114.29|0.78|80.57|2.0|-4.36|4.0|-6.48|300.34|0.0|0.0|1.0|2.33|-3.6|4.38e-05|0.0131|0.0762|2.32|0.0|0.00347|-0.0318899999999999|3.6596|1.7|3.6596|-1308.202828|503.18|818.1|0.2534|369.73|0.70108|0.70108|-1308.113026|0.2534|-0.1842|0.03948619|-1308.161433|5.5943|0.09|7.0458|7.0458
4k_a46|0.0|0|0.0|1|1|1.134637098|-0.050636784|5.587248657999999|-0.088084767|1|-0.104665424|-0.252970193|0.006550513|-0.1032662209999999|1|1|0.006050983|0.012963356|-0.3860697829999999|1|0.78837943|0.7477594870000001|-0.141706595|0|0.8789113709999999|-0.091943864|-0.086581945|-49.65634024|3.801175594|65.39662252|-0.0306644389999999|-25.25406274|2.052909907|0.0|0.8732380740000001|-1.471893066|50.48291318|-16.56101615|53.45751583|474.67574630000007|0.126761926|9.829220349|0.7163519709999999|4685.0322320000005|-429.3190666|18.96506421|0.006892404|-403.1511415|910.3230822|519.5743695|1.0|1.0|0.0|1.0|1.0|3.8|0.33|17.0|-6.61|50.94|2.84|100.96|2.0|-4.82|3.0|-5.46|333.43|0.0|1.0|1.0|3.79|-4.83|1.5e-05|5.0|0.0049299999999999|4.05|0.0|8.28e-05|-0.01712|5.4228|4.52|4.4485|-1053.396715|582.84|1001.96|0.2259|500.36|0.39943|0.68553|-1053.196897|0.1505|-0.20254|0.03653474|-1053.249847|5.7714|0.08|7.0969|7.0969
11a_a31|0.0|0|2.856083711|1|1|0.610138462|-0.045290366|5.733341277|-0.259732443|0|-0.087576474|-0.8792402579999999|-0.022093578|-0.019865299|2|2|-0.017433557|-0.1829166189999999|-0.563537536|0|0.861302755|0.8433024170000001|-0.030335912|0|0.486754956|-0.151872243|-0.161027639|-76.64827023|20.91187076|259.0291941|-0.056833284|-41.01552988|10.55399384|71.03772901|0.735254945|-1.932331673|97.23036756|-28.68314085|97.560141|245.6599349|0.264745055|10.5643234|0.8241360790000001|4940.657452|-492.1863586|39.01114987|0.031626337|-237.4612264|1326.379096|302.14325319999995|0.0|0.0|1.0|1.0|2.0|3.26|0.13|16.0|-4.65|125.57|0.57|83.12|3.0|-4.81|6.0|-6.51|329.33|0.0|0.0|1.0|2.42|-3.79|1.5399999999999998e-05|0.00506|0.0531|2.53|0.0|0.00731|-0.05074|3.8042|3.97|3.8042|-1441.411622|529.63|860.74|0.2797|407.76|0.69222|0.69222|-1441.327731|0.2797|-0.20589|0.04099365|-1441.37897|8.9667|0.19|6.7212|6.7212
12au_a36|-3.3109381210000004|0|3.422314661|2|2|0.2992539489999999|0.074839187|5.351858133|-0.351827031|2|0.075815782|-0.613616984|-0.006862238|-0.03802163|1|1|-0.001160331|-0.261631709|-0.515924985|1|0.8183043390000001|0.825565083|-0.058671909|0|0.698996981|-0.090166553|-0.110305773|-64.86748076|15.51748637|216.5471227|-0.038036474|-57.09017539|11.16356587|26.04051569|0.7160586109999999|-2.206115469|95.91776213|-27.36414058|80.38496714|502.8713191000001|0.283941389|17.67586495|0.97188557|7239.100414|-1141.803508|38.21494522|0.023021031|-310.873098|2216.466823|805.2286932|0.0|0.0|0.0|0.0|3.0|5.0|0.17|17.0|-6.87|123.75|0.84|142.02|7.0|-3.85|6.0|-8.03|474.54|0.0|0.0|0.0|1.18|-3.72|0.0001409999999999|0.0668|0.0897|1.64|0.0|6.45e-05|-0.0570899999999999|5.1307|6.24|3.7105|-1876.156196|752.27|1283.4|809.0|618.65|0.58518|0.70395|-1875.89525|0.0158|-0.2087099999999999|0.05174058|-1875.960827|8.0814|47.0|7.3279|7.3279
47d_a18|0.0|0|0.0|1|1|1.251175994|-0.017398129|4.844187086|-0.041876322|0|0.069914568|-0.480899596|0.003376831|0.016324953|0|0|0.005144085|-0.406388629|-0.417659275|0|0.7640994990000001|0.7430748709999999|0.027971797|0|0.836999127|-0.06394156|-0.087315963|-52.14267013|12.45251265|132.9229494|-0.028722356|-58.06490563|10.15469843|58.93717545|0.69814381|-2.182899066|86.29525584|-23.42233034|64.59518279|682.5509007|0.30185619|19.16475647|0.927940864|7780.945962999999|-1451.622641|33.54943497|0.018506261|-323.1621908|2549.757058|1255.618298|1.0|1.0|0.0|1.0|2.0|4.73|0.32|18.0|-8.83|88.97|2.6|159.67|12.0|-5.74|4.0|-6.57|527.66|0.0|0.0|0.0|2.56|-5.28|1.83e-06|0.000968|0.00276|4.16|1.0|7.790000000000001e-07|-0.04561|3.1079|8.08|3.1079|-1704.0327519999998|875.6|1544.09|0.5820000000000001|817.06|0.69905|0.69905|-1703.545539|0.5820000000000001|-0.17405|0.02826074|-1703.622959|4.2225|8.0|8.0969|8.0969
2_a47|0.0|0|0.0|0|0|1.381899691|-0.002024001|0.0|-0.13117284|2|-0.004557357|-0.3581612489999999|-0.007479445|-0.013580367|0|0|-0.006079384|-0.0274111779999999|-0.444853768|2|0.916092248|0.671819147|-0.0253134039999999|1|0.847324011|-0.083455669|-0.095655954|-41.57671973|4.240150185|76.06154148|-0.036790752|-23.74109633|2.112397382|0.958043241|0.784978115|-1.4348393119999998|55.81329383|-18.32875817|45.81686991|422.1277419|0.215021885|9.369924133|0.764993595|4559.060763|-356.116445|23.34938746|0.016376351|-283.9460863|910.626111|392.6099255|1.0|1.0|0.0|1.0|2.0|2.58|0.0|22.0|-7.82|58.04|2.39|96.54|3.0|-5.46|3.0|-5.0|313.35|0.0|1.0|1.0|3.58|-5.11|3.46e-06|0.00109|0.00243|4.52|0.0|4.73e-06|-0.05285|3.7181|3.49|3.7181|-1010.505024|536.13|902.07|0.2143|371.19|0.69102|0.69102|-1010.364507|0.2143|-0.20731|0.03544055|-1010.412694|3.1004|631.0|6.2|6.2
12ay_a36|0.0|0|3.50559949|2|2|1.2970434|-0.05976542|5.351858133|-0.043778345|2|0.1012005419999999|-0.404030255|0.003676818|-0.06756661|1|1|0.0045625|-0.169994208|-0.438622276|1|0.902377067|0.78699829|-0.111814717|0|0.829406408|-0.074251203|-0.098945129|-48.12939044|11.67851857|110.578217|-0.035337546|-41.57269314|7.569978132|8.677627506|0.778164805|-1.978902589|74.29343346|-22.90568368|59.80790901|537.618563|0.221835195|11.82248632|0.828201506|6204.216872999999|-831.4538627999999|29.43551742|0.015670425|-360.6110621|1648.388976|729.1873176|1.0|0.0|0.0|0.0|2.0|4.96|0.21|17.0|-7.34|69.2|2.45|133.68|5.0|-4.54|4.0|-6.38|409.49|0.0|1.0|1.0|2.42|-4.6|2.8600000000000004e-05|0.0117|0.0102|3.41|0.0|1.86e-05|-0.0526|3.9348|3.79|3.6561|-1311.547668|674.33|1184.45|0.2939|532.22|0.6727|0.6914|-1311.282556|0.1464|-0.2031599999999999|0.02880431|-1311.343228|9.1844|18.0|7.7447|7.7447
11_a1|0.0|0|3.3361517380000003|1|1|1.430935838|0.033732316|5.351858133|-0.196819043|1|0.08043435|-0.867849442|-0.0127744789999999|-0.044235537|1|1|-0.009578125|-0.117419838|-0.563650254|1|0.823460272|0.747358374|-0.075188762|0|0.5955245029999999|-0.131972845|-0.126108875|-77.81495049|20.62225192|238.4902806|-0.048723884|-43.84323456|12.15946748|84.40380304|0.751878145|-2.143850877|89.80732824|-28.7289904|98.43720241|351.1382199|0.248121855|14.2257294|0.912918113|5798.645137|-745.3349875|38.20963621|0.02620284|-297.0290662|1681.223993|495.0560271000001|1.0|1.0|1.0|1.0|2.0|3.25|0.05|23.0|-7.47|97.33|1.95|105.71|4.0|-5.07|6.0|-6.27|385.37|0.0|0.0|1.0|3.22|-4.66|8.48e-06|0.00327|0.00838|3.35|0.0|1.29e-05|-0.06546|3.7383|5.26|3.1924|-1312.4282380000002|614.86|1036.18|0.5573|471.76|0.68162|0.69914|-1312.241032|0.3201|-0.19462|0.03413353|-1312.2963630000002|7.1743|0.17|6.7696|6.7696
47p_a18|0.0|0|0.0|1|1|1.25117677|-0.001819106|4.844187086|-0.04760181|0|0.025217016|-0.3775970529999999|0.00235332|-0.049428094|0|0|0.003537135|-0.261349889|-0.441700685|0|0.72025564|0.726294118|-0.082977829|0|0.832954548|-0.06909945|-0.082580968|-51.14496913|5.913843751|123.6411353|-0.030813794|-45.24146169|4.377217987|48.48855261|0.818459442|-2.0645242|69.19354871|-22.80728054|57.05881288|616.5234972999999|0.181540558|19.41290064|0.956223901|6726.61969|-1131.036542|27.86610962|0.01090303|-471.4248324|1867.029344|1011.163774|1.0|1.0|0.0|1.0|2.0|4.29|0.28|18.0|-9.03|76.5|3.13|144.53|9.0|-5.67|3.0|-6.07|468.59|0.0|1.0|0.0|2.9|-5.27|2.13e-06|0.000998|0.0025|4.35|0.0|4.38e-07|-0.05628|3.2036|7.98|3.2036|-1493.731375|795.43|1391.71|595.0|732.84|0.6937800000000001|0.6937800000000001|-1493.338659|595.0|-0.18746|0.02843634|-1493.407248|4.6652|64.0|7.1938|7.1938
3b_a12|0.0|0|0.0|1|1|1.283824445|0.156777705|0.0|-0.043495794|2|-0.1215705419999999|-0.332497127|-0.004028952|-0.003968827|0|0|-0.003019113|-0.116772665|-0.547002361|1|0.914614654|0.768772928|-0.007397776|0|0.903204699|-0.064393592|-0.088443201|-33.57216667|5.401901357000001|50.46508298|-0.034016616|-24.04018959|2.816328871|0.0|0.7688221909999999|-1.326648015|54.77629766|-17.73486237|38.97406803|470.8937285|0.2311778089999999|10.88757628|0.64134753|4665.346939|-360.6028438|23.06757345|0.0166212889999999|-280.3056362|899.6353646|406.0361621|1.0|1.0|1.0|1.0|1.0|3.82|0.05|18.0|-8.1|37.28|3.99|102.53|3.0|-4.26|3.0|-5.65|332.79|0.0|1.0|1.0|3.59|-4.64|5.539999999999999e-05|0.0184|0.00759|3.78|0.0|2.63e-06|-0.07091|4.2092|3.96|3.7741|-1410.947421|548.05|915.37|0.5013|426.66|0.53738|0.6654800000000001|-1410.826913|0.2418|-0.2232|0.02444371|-1410.8759220000002|8.5678|49.0|7.3098|7.3098
