molecula|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA5|TPSA_x|WPSA3|RPCS|FNSA1|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|FPSA1|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Lipinski|log P|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
25_a47|6.86171134|0|0|1.30432753|1.234859637|0.037667531|-0.010144825|-0.1084905069999999|-0.055724653|1.087932079|-0.003963349|10.94972207|1|-0.00269275|-0.120903298|-0.108691353|-0.235822787|2|0.6553889970000001|-0.077710529|0.906449648|0.622598899|1|0.786958319|-0.08797211|0.574771479|0.020224271|-53.40631957|129.3338553|7.453635586|51.5831002|0.6238742279999999|-27.0291331|56.80080434|0.4760601829999999|477.748546|1514.111398|-11.52783528|0.376125772|6236.813862|228.3393366|-518.7525876|30.43708613|0.029261935|513.2159236|17.76440561|0.0|1.0|0.0|1.0|2.0|3.27|0.1|21.0|-8.01|3.29|4.95|3.08|2.0|0.0|109.7|0.0|1.0|5.0|-4.99|5.0|-6.3|0.0|0.0|3.62|1.01e-05|0.0|4.78|626.55|310.91|287.0|491.7|0.53663|0.68761|-1735.2218059999998|-0.16588|3.8832|-0.22919|0.0285712999999999|-1735.279715|5.1625|16.0|7.8
14b_a3|6.823286122000001|0|0|0.605016869|0.0|0.143500839|-0.009130444|-0.1160619169999999|-0.1551678719999999|1.7086790859999998|-0.00603969|10.31162234|1|-0.004161699|-0.288944272|-0.050943323|-0.094863591|3|0.882394075|-0.133815639|0.848135222|0.8255789570000001|1|0.786476513|-0.100993354|0.379746504|0.012828558|-49.38772279|104.4171556|3.067822725|82.79166784|0.766915433|-21.76034149|50.77131401|0.487615651|384.6023764|1289.104749|-8.721397057|0.233084567|4803.535505|113.9829058|-313.9702941|23.25478753|0.017348996|358.3503513|8.483998032|0.0|1.0|1.0|1.0|1.0|2.5|0.06|21.0|-6.89|4.28|3.71|1.04|0.0|0.0|93.25|0.0|1.0|2.0|-4.45|4.0|-6.42|0.0|0.0|2.82|3.54e-05|0.0|2.22|524.27|403.54|0.2276|368.39|0.70123|0.70123|-1327.349444|-0.12942|2.8743|-0.19618|0.02844675|-1327.398177|3.8724|0.38|6.4202
25_a12|0.0|0|0|1.404967476|0.0|0.00700113|-0.004103693|-0.045725323|-0.089297664|2.050456822|0.000864238|10.93676625|0|0.001783739|-0.141917694|-0.0542354559999999|-0.0861945369999999|2|0.8472746290000001|-0.2430098439999999|0.688743998|0.806844014|1|0.947937175|-0.080147596|0.120087607|0.004952762|-41.75851719|27.12578432|1.3444869730000002|0.0|0.917298637|-14.85843094|31.09844409|0.448858246|493.8944271000001|1907.027255|-9.021208163|0.082701363|4329.321091|43.08908189|-369.8695347|18.87554002|0.005118351|430.4348528|2.666764531|1.0|0.0|1.0|1.0|1.0|3.43|0.05|22.0|-8.78|4.7|5.35|3.2|1.0|0.0|99.48|0.0|1.0|3.0|-5.28|2.0|-4.82|0.0|1.0|4.29|5.19e-06|0.0|4.73|560.14|359.04|0.4483|442.64|0.63284|0.69029|-974.458128|-0.14303|1.2494|-0.19655|0.024123749|-974.508059|2.2482|22.0|7.6576
4o_a46|7.825245291|1|1|1.13463699|2.138144369|-0.24479566|-0.000627744|0.042766097|-0.2363624889999999|0.0|0.010870588|10.93828256|1|0.010144781|-0.376106593|-0.018058762|-0.028735607|1|0.626333846|-0.121466731|0.8176134690000001|0.6418406720000001|0|0.950732618|-0.06570509|0.372146122|0.00972341|-36.03345669|27.01882145|2.9243708|31.19780621|0.7510206490000001|-19.49276784|40.87645867|0.460981009|521.3931342|1705.3950960000002|-6.587059484|0.248979351|4966.476822|136.5432529|-316.1788552|15.99310518|0.0108913189999999|544.7877262000001|5.972929428|1.0|1.0|1.0|1.0|0.0|3.12|0.32|17.0|-7.26|4.77|4.94|2.72|1.0|0.0|103.66|0.0|1.0|2.0|-4.91|3.0|-5.51|0.0|1.0|3.92|1.23e-05|0.0|3.76|581.59|286.64|0.1598|501.08|0.6843|0.6843|-1070.223416|-0.18282|3.4494|-0.22909|0.02815574|-1070.276387|4.8244|162.0|6.7905
26_a47|6.86171134|0|0|1.304328272|1.06819297|0.11828578|-0.012090143|-0.200192886|-0.110530752|0.956774672|-0.0098410169999999|10.94972213|1|-0.008325552|-0.24731748|-0.035472095|-0.079370393|2|0.6850994429999999|-0.11288313|0.910081385|0.651797437|1|0.7104381999999999|-0.101679756|0.549740398|0.020884606|-59.08415114|168.2587945|7.0517889060000005|60.07342336|0.717639177|-33.13315474|69.15552111|0.474969855|412.8219782|1341.904566|-13.07911017|0.282360823|5994.406615|164.0744453|-549.3226272|31.36429668|0.024619511|457.1122177|14.3059247|0.0|1.0|0.0|1.0|2.0|2.66|0.05|21.0|-7.22|2.84|4.68|2.59|1.0|0.0|104.8|0.0|1.0|4.0|-4.86|5.0|-6.51|0.0|0.0|3.18|1.3699999999999998e-05|0.0|4.37|592.84|310.58|0.3197|443.78|0.50921|0.68707|-1695.9387359999998|-0.16642|3.6825|-0.22921|0.02111593|-1695.993821|4.8242|13.0|7.9
14d_a23|7.423568444|0|0|1.197963465|3.405551724|0.058368697|-0.005343003|-0.026530366|0.03253552|0.758207139|0.01269616|10.313217800000002|2|0.01180744|0.059486662|-0.074441567|-0.136106024|2|0.725800261|0.006563565|0.829764975|0.6906097959999999|1|0.921694462|-0.078282292|0.213597535|0.018596017|-51.58357156|51.59888942|8.074501042|83.40396369|0.790346608|-23.33262837|47.66288948|0.454495683|607.3441532|2261.37838|-14.27606695|0.209653392|6459.554383|138.1496441|-713.8033475|27.41215037|0.015037275|666.0036144999999|9.908707432|0.0|1.0|1.0|1.0|1.0|3.62|0.09|26.0|-7.78|3.88|4.33|3.24|2.0|1.0|125.25|0.0|1.0|5.0|-5.85|4.0|-6.1|0.0|0.0|3.8|1.43e-06|0.0|3.79|696.21|3688.0|0.3807|554.84|8.1555|8.1555|-1668.983743|-0.14894|5.6156|-0.22152|0.02083626|-1669.045136|8.1555|4.0|8.4001
9a_a36|7.412764017000001|2|2|1.297044807|0.0|-0.109305298|-0.007853595|-0.046964839|0.095192109|0.0|0.0034852859999999|10.96066876|1|0.00484375|0.160672128|-0.12019672|-0.202876718|1|0.839235677|-0.019008343|0.842671963|0.79302567|0|0.826559623|-0.10869601|0.204819754|0.0236784079999999|-66.44342306|106.0201967|8.847677483|0.0|0.7638345870000001|-27.53468726|59.5185754|0.453098452|505.25728260000005|2167.77208|-14.91993116|0.236165413|5693.562367|144.36259840000002|-731.0766269999999|31.95428497|0.019513779|578.2841135|11.92833382|1.0|0.0|1.0|0.0|1.0|0.0|0.14|17.0|-6.28|3.04|2.04|2.02|1.0|0.0|120.94|0.0|1.0|5.0|-3.71|5.0|-6.74|0.0|1.0|1.95|0.000197|0.0|3.38|648.41|320.56|0.4811|495.18|0.68682|0.68682|-1252.578886|-0.15925|5.7274|-0.20969|0.02701893|-1252.636005|7.4992|13.0|7.8861
18c_a25|6.842683282|0|0|1.193723817|1.959418462|-0.087958541|-0.002704524|-0.008080236|0.007241543|2.069766482|0.007804726|10.31285373|1|0.007488918|0.01222181|-0.038006869|-0.064145547|2|0.7644072209999999|0.084188427|0.8005589320000001|0.7357918440000001|1|0.94801724|-0.0719340379999999|0.385593349|0.009585904|-47.27625541|34.1639413|4.140476673999999|0.0|0.7479204509999999|-21.00757374|38.26446885|0.484730247|623.0528232|2095.730631|-11.65153036|0.2520795489999999|6736.25597|165.67090530000002|-652.4856999|23.70385212|0.014546814|831.3429628|9.560410146|1.0|1.0|1.0|1.0|1.0|3.89|0.11|27.0|-10.17|6.29|6.11|3.08|2.0|1.0|138.65|0.0|0.0|7.0|-6.05|3.0|-5.85|1.0|0.0|4.77|8.86e-07|0.0|4.75|698.86|371.26|0.3558|547.87|0.31993|0.70516|-1714.280779|-0.13312|6.1775|-0.19532|0.02003004|-1714.342386|7.9283|88.0|7.0555
3a_a49|7.535296702|1|1|1.343850114|2.09865947|-0.05210989|-0.006374689|-0.072328354|-0.044367345|1.819785|-0.000349523|10.92976559|1|0.000521532|-0.074886415|0.002357097|0.003978478|2|0.775818577|0.012813604|0.8704151529999999|0.7476073409999999|1|0.72890527|-0.088484274|0.526915193|0.016205613|-51.82200998|158.77029040000002|5.558553447|59.40691577|0.689774813|-32.39206742|64.79936082|0.474653816|426.893216|1793.526571|-10.52968207|0.310225187|5792.106924000001|181.6875706|-515.9544212000001|26.06512204|0.021141449|578.2841135|12.38177532|0.0|0.0|1.0|1.0|2.0|2.11|0.18|21.0|-7.19|2.77|2.81|1.04|1.0|0.0|112.14|0.0|1.0|5.0|-3.06|5.0|-7.67|0.0|0.0|2.02|0.000878|0.0|3.16|635.89|320.04|0.3467|449.68|0.53794|0.66614|-1253.756918|-0.15978|3801.0|-0.2171|0.03833529|-1253.8126619999998|4.2593|64.0|7.1938
11b_a5|6.605297921|0|0|1.277648917|0.0|-0.2023158669999999|-0.003900104|0.008093965|-0.067519041|0.0|0.006121601|10.94877958|1|0.005685558|-0.108457009|-0.0109928619999999|-0.017658026|2|0.735954089|-0.0497097529999999|0.8645824520000001|0.682032125|0|0.8737310509999999|-0.080664777|0.378154801|0.016373566|-48.42513182|75.80248447|5.900883275|1.880682804|0.66824472|-27.50997723|55.65456427|0.456131351|524.5231302|913.0178976|-10.5712171|0.33175528|5107.577902|199.1611925|-465.13355250000006|26.35133256|0.0228838029999999|504.9898148|13.73773299|1.0|1.0|1.0|1.0|1.0|2.55|0.1|23.0|-9.15|5.38|4.82|2.01|2.0|1.0|106.58|0.0|1.0|6.0|-4.65|4.0|-6.03|0.0|1.0|3.68|2.26e-05|0.0|3.31|635.55|295.32|0.5806|511.28|0.61027|0.6284|-1564.56504|-0.17107|1.9569|-0.21291|0.03575776|-1564.621301|2.8531|19.0|7.7212
