molecula|NaaNH|n9FaRing|SssssC|NaasN|nARing|BCUTs-1|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC1i|n6aHRing|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PNSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|Mor01p|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
2_a33|1|1|0.0|0|0|0.609420748|0.0|-0.009168933|-0.064926835|0|0.039958333|-0.049900189|-0.476784502|-0.002514803|10.31100266|-0.05997501|3|-0.148024156|0|0.833090592|-0.096644295|0.8799816220000001|0.753434785|1|-0.0804186|-0.104047115|-49.13901703|103.5201191|0.1804845889999999|-0.031851158|-38.84811555|44.34034244|-1.56070672|-30.02592687|-19.46234551|60.41371259|0.4699986339999999|2632.195388|-953.6549298|3245.244678|-11.89228027|0.297402265|11.60906093|0.8867875909999999|6067.635829|181.7248125|-582.7217333|27.70055258|618.9134881|1.0|1.0|3.57|3.51|19.0|4.63|140.04|1.33|2.0|0.0|1.0|-6.35|4.0|-6.17|411.54|1.0|0.0|1.0|-4.78|4.44e-07|0.0069|3.72|0.0|2.13e-08|3.6281|3.6281|-1920.079174|1128.98|341.74|0.70205|0.70205|-1919.830424|0.2911|-0.15012|-0.19979|0.02972182|-1919.890628|5539.0|6.0|8.2596|8.2596
27b_a34|0|0|0.0|1|1|1.4335271040000002|2.013418486|-0.010183855|-0.016803292|1|0.042739018|-0.106245942|-0.549928192|-0.001438963|10.95430634|-0.027175221|1|-0.322091086|1|0.7722228729999999|-0.047542374|0.8299950709999999|0.770240631|0|-0.08757938|-0.109683855|-57.66200309|150.83624440000003|0.2165682119999999|-0.037292511|-47.54648562|540.9533124|-1.864625537|-37.9644911|-24.553278|78.08618045|0.4072752529999999|2835.31543|-1227.6639|2431.595232|-16.16580511|0.287687241|15.39406063|0.687123753|6032.666081|189.4124225|-808.2902556|34.46979951|627.4287311|1.0|1.0|3.54|3.66|23.0|4.11|84.99|1.83|2.0|0.0|0.0|-5.23|5.0|-6.14|409.44|0.0|0.0|1.0|-4.96|5.92e-06|0.00449|3.75|0.0|6.53e-09|4.8168|4.0935|-1350.055377|1174.68|302.88|0.47412|0.70001|-1349.811401|0.0252|-0.1652799999999999|-0.20649|0.03640275|-1349.873325|15.2147|0.65|6.1871|6.1871
12_a1|1|0|0.0|0|1|1.430936075|0.0|-0.011221829|-0.02164054|1|0.036382114|0.076867966|-0.516204114|-0.0038943009999999|10.94945122|-0.051772288|1|-0.173618873|1|0.749817035|-0.093957115|0.817998205|0.7534284040000001|0|-0.0964711209999999|-0.104724018|-55.99493147|133.6600817|0.234878615|-0.039894864|-35.28166588|477.1158679|-1.675584287|-32.50125347|-23.15625812|75.59644237|0.46449367|2592.245875|-972.562841|1825.150911|-13.44063462|0.275333347|14.34104294|0.867391557|5468.378562|159.81230209999998|-564.5066541|31.95435864|473.040639|1.0|1.0|3.29|2.72|23.0|4.41|83.82|1.67|2.0|0.0|0.0|-4.98|5.0|-6.02|366.37|0.0|0.0|1.0|-4.75|1.04e-05|0.00649|3.54|0.0|6.28e-09|3734.0|3.1744|-1216.12881|1018.84|390.57|0.69114|0.69763|-1215.922313|0.2821|-0.12874|-0.19916|0.0296752|-1215.975876|10.1801|2.95|5.5302|5.5302
16_a4|0|0|0.0|1|1|1.398650725|1.843196334|-0.00228637|-0.095499301|1|0.04501634|0.007101649|-0.089168424|0.0067511459999999|10.94592242|0.019290123|1|-0.0513920109999999|1|0.774455255|0.0293772029999999|0.8366279120000001|0.482473457|0|-0.073335635|-0.080093659|-36.11951685|13.51923899|0.210153891|-0.033372358|-19.42906425|74.430775|-1.201404885|-17.789707500000002|-16.43666742|42.88070889|0.455802506|2101.6948030000003|-591.7200271|1522.164774|-8.095443438|0.167538305|10.19502391|0.837568182|4520.2597670000005|82.51653675|-291.4359638|19.74465314|322.8922084|0.0|0.0|3.26|3.08|17.0|4.96|30.71|3.44|1.0|0.0|0.0|-3.92|4.0|-5.64|309.31|0.0|1.0|1.0|-4.43|0.0001199999999999|0.0114|3.59|0.0|4.33e-07|4511.0|4.2257|-1057.494456|856.55|293.41|0.51149|0.54061|-1057.3808390000002|0.1006|-0.17375|-0.2134|0.01638524|-1057.429593|1.9873|343.0|6.4647|6.4647
12am_a36|1|0|-4.723487246|0|2|1.240140551|0.0|-0.015884751|-0.297354748|2|0.044036281|0.122824831|-0.921315581|-0.011700732|10.9602097|-0.037654321|1|-0.3344729369999999|1|0.8344566859999999|-0.05754717|0.885733922|0.624142499|0|-0.091472759|-0.118101664|-63.19394154|128.69607109999998|0.185013456|-0.045928425|-56.3667958|1.038361162|-2.480134939|-43.65752487|-31.72964526|75.34643812|0.484558903|3230.6292780000003|-1713.4008440000002|2603.072527|-21.92042059|0.211665165|17.01968794|0.940085891|7238.033439|146.228847|-1183.702712|40.24894481|672.4630346|1.0|0.0|4.81|0.0|17.0|4.04|78.43|2.04|2.0|0.0|0.0|-5.2|8.0|-6.4|465.43|0.0|0.0|0.0|-5.07|6.26e-06|4.0|3.86|0.0|7.24e-08|5.2317|3.8606|-1645.205296|1206.77|321.15|0.40752|0.6805100000000001|-1644.952145|0.2987|-0.15658|-0.21356|0.03550681|-1645.016323|8.0872|0.06|7.2218|7.2218
12bd_a36|1|0|0.0|0|2|1.297043358|0.0|-0.006695407|-0.045630197|2|0.04625323|0.025649557|-0.4017244129999999|0.003676818|10.94639828|-0.0288761339999999|1|-0.169994208|1|0.78699829|-0.047786573|0.833398429|0.857993338|0|-0.071083327|-0.099460046|-46.92083391|83.92365468|0.167521907|-0.035521445|-43.33557909|0.0|-1.989200921|-30.9716039|-23.44707102|58.63647911|0.475272043|2772.776922|-1313.035977|2403.371086|-15.47699253|0.21755876|15.34283166|0.905749421|5957.939097|143.6066496|-866.7115819|29.96655829|729.1873176|0.0|0.0|4.95|0.0|17.0|2.5|69.2|2.45|1.0|0.0|0.0|-4.54|4.0|-6.38|409.49|0.0|1.0|1.0|-4.6|2.8600000000000004e-05|0.0102|3.41|0.0|4.55e-08|3.8786|3544.0|-1311.591775|1200.23|349.84|0.69411|0.7044100000000001|-1311.291779|0.0058|-0.1459|-0.19826|0.03110617|-1311.352257|7.6908|17.0|7.7696|7.7696
LY580276_a4|0|0|0.0|1|1|1.344599701|2.067497166|-0.001543874|-0.020236527|1|0.044357639|0.0295482979999999|-0.063298854|0.010217376|10.94681614|0.011772853|1|-0.042912895|1|0.7921620090000001|0.019144144|0.847526918|0.518109998|0|-0.057317455|-0.071023484|-27.6229776|11.22286434|0.131473004|-0.028035586|-16.49563923|82.46094409|-1.065352257|-13.31233017|-13.51117823|31.83019528|0.437093506|1948.220005|-513.4247728|1511.5340210000002|-6.511436537000001|0.152153004|9.693623538|0.7764939829999999|4098.640927|73.32703409|-247.4345884|15.93586849|345.4102548|0.0|1.0|3.01|3.04|17.0|4.43|30.71|3.13|0.0|0.0|0.0|-3.67|3.0|-5.71|293.34|0.0|1.0|1.0|-4.21|0.000213|0.0181|3.35|0.0|2.75e-07|5.2983|4.4918|-959.4958788|865.23|276.03|0.36903|0.68002|-959.356125|0.1842|-0.18746|-0.2099599999999999|0.023546627|-959.404416|3.2891|175.0|6757.0|6757.0
14c_a23|0|1|0.0|2|0|1.197962449|3.349976042|-0.005822256|-0.024758731|2|0.043538647|0.04174584|-0.296935034|0.010682694|10.31321813|-0.047410593|2|-0.13187015|2|0.793551289|-0.077808321|0.857184548|0.659570836|1|-0.0567889659999999|-0.0800086929999999|-37.73933093|38.43627129|0.077064961|-0.034046252|-35.33439343|81.41541733|-1.600173862|-25.07982076|-22.62557089|50.26125234|0.459622824|2955.304496|-1063.401832|2379.221378|-15.0359121|0.2165924689999999|14.49533577|0.8505592829999999|6755.962581999999|143.9373772|-706.6878684999999|28.88097191|633.3278634|1.0|1.0|3.4|3.6|26.0|4.67|105.02|3.51|2.0|1.0|0.0|-6.13|4.0|-6.03|445.93|0.0|0.0|0.0|-5.55|7.49e-07|0.00126|4.21|0.0|1.02e-08|3.7031|3.7031|-2089.523959|1177.63|334.81|0.56781|0.56781|-2089.293299|356.0|-0.15143|-0.23096|0.02236136|-2089.354057|10.369000000000002|2.0|8.6253|8.6253
17_a47|1|1|0.0|0|0|1.4168589319999998|0.0|-0.003764469|-0.019259259|3|0.031802469|-0.105849578|-0.2032813319999999|0.0042378929999999|10.9385382|-0.006331624|1|-0.031505291|3|0.75807704|-0.010871607|0.814790949|0.7666613659999999|1|-0.07185129|-0.082994667|-43.82821253|68.64478326|0.147717593|-0.02987808|-30.88080199|0.0|-1.493904005|-26.73455447|-18.22518223|51.70735256|0.46147021|2672.497352|-911.2591113|1573.836082|-11.11708872|0.2542482339999999|13.10144249|0.8569074879999999|5854.9736840000005|155.087622|-555.8544359|24.43867122|630.8611986000001|0.0|1.0|3.44|2.39|27.0|5.44|79.38|2.26|2.0|0.0|0.0|-5.4|4.0|-5.83|392.46|0.0|0.0|1.0|-5.21|3.98e-06|0.0024|4.03|0.0|7.96e-11|4.2784|4.2784|-1254.985125|1127.7|289.79|0.6844100000000001|0.6844100000000001|-1254.737546|0.4308|-0.17606|-0.22479|0.04130125|-1254.795084|5.6949|5.0|8.3|8.3
47a_a18|0|0|0.0|0|1|0.403918489|0.0|-0.006027559|-0.18843247|0|0.033641026|0.043161338|-0.464122017|-0.005483379|10.35082811|0.052572636|0|-0.358939392|0|0.766261502|0.089156939|0.7991211029999999|0.792293789|0|-0.082855697|-0.099310031|-67.93456546|100.7293848|0.2212091389999999|-0.036234741|-66.76209701|110.0917322|-2.681370849|-55.70051708|-29.70938001|79.51543089|0.483193636|3612.105567|-2198.494121|2250.179086|-24.3591435|0.2063806289999999|19.74153879|0.934960691|8405.670404|169.2144153|-1802.576619|37.435301|1225.939287|1.0|1.0|4.97|0.0|18.0|3.35|123.06|1.85|3.0|1.0|1.0|-6.74|5.0|-6.49|547.67|0.0|0.0|0.0|-5.58|1.8100000000000002e-07|0.00143|4.44|1.0|5.4e-09|3.1947|3.1947|-2098.807018|1536.87|388.09|0.69508|0.69508|2098.280307|0.6094|-131.0|-0.18291|0.0339441|-2098.359766|3.0133|1.0|9.0|9.0
