molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|n6HRing|JGI4|MATS7i|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|FNSA3|FNSA5|PBF|RNCS|WNSA5|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
12i _a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.604984133|0.0|0.04580336|2|0.043848238|-0.0982344169999999|0.0109710489999999|-0.072247675|1|1|0.003603419|-0.090173435|-0.469854551|0.8264832879999999|0.831176513|-0.029080032|-0.1240820219999999|0.888213143|-0.076575246|-0.096489393|0.356921662|84.78576301|-41.13938837|0.806299097|72.59006433|-24.43015511|60.32320054|0.479900127|2860.704198|550.7287204|-1197.077601|2280.31966|-15.95200773|8.097008872|15.56818082|6362.153853|30.29912252|0.014680721|-400.0044646|652.8825454|1.0|0.0|1.0|0.0|17.0|-7.22|4.47|3.31|2.0|0.0|132.29|4.0|-5.75|432.93|0.0|3.11|1.19e-06|0.0005139999999999|0.00156|4.49|6.03e-08|2.61e-05|-0.05465|5.0358|-2035.373964|-2035.339603|691.59|1167.27|351.81|0.2384|246.2|542.74|0.68497|0.1577|-0.14945|2.5397|-0.2041|16.0|7.8013|7.8013
3b_a49|0.0|0|0|0|0.0|1|7.535296702|1|1.343850026|2.104186262|-0.003115526|2|0.034155556|-0.090939066|-0.010613212|0.00361222|1|1|0.001356445|0.000850823|-0.405529602|0.7745859279999999|0.794997634|0.021506499|0.006213385|0.845992028|-0.0883601469999999|-0.0846496|0.482434361|325.6896751|-31.67356498|0.656865946|64.91785551|-16.92803342|62.35407961|0.477583842|2660.339607|458.224537|-880.2577376|1796.6760370000002|-10.35481932|7.236413572000001|13.85181805|5934.158315|25.77091035|0.021477952|-191.9087104|641.1445234|1.0|1.0|2.0|2.43|21.0|-7.58|3.16|1.25|1.0|0.0|116.94|5.0|-7.42|398.46|0.0|2.38|0.000293|0.1169999999999999|102.0|1.84|2.64e-08|1.05e-05|-0.06115|4.6669|-1293.3286859999998|-1293.291817|664.15|1132.92|322.72|0.1978|265.67|480.08|0.6632|0.0759|-0.1587|3.0055|-0.21985|25.0|7.6021|7.6021
20b_a10|0.0|0|0|0|0.0|1|7.535296702|1|1.343837209|2.103422978|0.048567614|2|0.035818182|-0.030238422|-0.042013549|-0.013623188|1|1|0.002637529|0.031942481|-0.450145946|0.725009545|0.761071345|0.052265135|-0.022843761|0.817426568|-0.094975935|-0.088479815|0.6741049840000001|81.39248686|-36.12803002|0.7616213270000001|67.46831286|-21.58742537|69.02087825|0.454087415|3085.433676|480.905232|-1187.308396|2257.777328|-13.79433873|7.554743755|13.838742600000002|7173.225184999999|28.34404003|0.0171045989999999|-334.3514234|769.1246171|1.0|1.0|1.0|3.15|27.0|-8.93|4.23|2.41|2.0|0.0|129.73|5.0|-6.53|447.49|0.0|3.66|6.05e-06|0.00271|0.00364|3.52|1.1699999999999999e-09|5.26e-07|-0.0578399999999999|5.9354|-1465.62724|-1465.587932|687.84|1218.74|317.8|0.2782|208.89|482.93|669.0|0.1382|-0.16388|5725.0|-0.2217199999999999|1.1|5.9586|5.9586
7_a3|0.0|0|0|0|0.0|0|6.823286122000001|0|0.60501656|0.0|0.198126776|2|0.03757716|-0.047419994|0.054347129|0.030246987|1|1|-0.006696449|0.036673175|-0.592753801|0.881253042|0.790667152|-0.224253635|0.0507482109999999|0.8632654590000001|-0.1034274319999999|-0.096448591|0.5999725029999999|230.9407974|-23.61864737|0.7992146109999999|55.15105143|-18.2490344|55.98630667|0.3987206729999999|2196.07224|387.1238241|-620.4671695000001|1952.029549|-9.030659289|5.198046584|8.644978051|5055.700186|22.83370969|0.0149999089999999|-296.13678660000005|353.7528308|1.0|1.0|1.0|2.61|21.0|-7.48|4.96|2.11|1.0|0.0|95.5|3.0|-5.68|338.81|0.0|3.63|3.67e-06|0.00124|0.00455|3.79|3.28e-08|1.11e-05|-0.0640299999999999|5.8849|-1731.7341420000002|-1731.703107|522.73|883.88|360.06|0.1926|210.68|362.61|0.69224|0.1262|-0.14816|3.1299|-0.21219|1023.0|5.9901|5.9901
3c_a32|0.0|1|1|1|0.0|0|7.765993078999999|0|0.6094207970000001|0.0|0.025890116|0|0.043817204|-0.0522536959999999|-0.113334836|-0.01180891|3|3|0.00124359|-0.145525719|-0.5427297289999999|0.831186295|0.839409251|-0.003205869|-0.019130435|0.901864778|-0.0679200029999999|-0.0943910459999999|0.216289509|59.72163595|-24.94510426|0.693952122|57.94025396|-14.82682786|42.68833949|0.423167668|2152.627425|456.8935699|-533.7658031000001|1393.156794|-7.622115192000001|5.605165488|9.717148607|4598.027604999999|21.36577928|0.018316536|-199.4122311|370.5811396|1.0|1.0|1.0|2.95|19.0|-6.89|6.61|1.7|1.0|0.0|93.05|3.0|-5.35|326.44|0.0|4.02|6.65e-07|0.000217|0.00399|4.14|1.28e-07|4.18e-05|-0.05487|3.5169|-1633.443791|-1633.419633|544.22|903.81|352.54|0.5017|352.54|425.74|0.7034600000000001|0.5017|-0.14219|3123.0|-0.1970599999999999|9.0|8.0458|8.0458
9i_a24|0.0|1|0|0|0.0|1|7.153833802|0|1.4281889280000002|1.865102513|-0.113620183|2|0.023854167|-0.076024544|-0.087363979|-0.00532872|2|2|0.005891639|-0.336939175|-0.32068769|0.783500303|0.822658951|0.139004845|-0.0106944439999999|0.898194715|-0.064657333|-0.069812876|0.379687415|10.13249376|-15.60091656|0.499238289|51.05832236|-11.64783344|42.43894111|0.468272544|2061.729154|390.5119445|-396.0263368|761.9885477000001|-5.506205845|5.946747117|11.18382556|4155.922671|23.33121014|0.038195951|0.720157264|295.8603625|1.0|1.0|1.0|1.36|22.0|-6.05|2.42|0.67|0.0|0.0|82.17|4.0|-7.01|288.31|0.0|1.73|0.00248|716.0|228.0|1.48|8.95e-07|0.000258|-0.0473899999999999|4.6212|-945.286637|-945.2626532|501.48|825.7|299.06|0.2373|268.3|363.15|0.6755800000000001|0.0029|-0.17204|7.1135|-0.21943|88.0|7.0555|7.0555
14b_a23|0.0|0|1|1|0.0|2|7.423568444|0|1.197963628|3.2475997860000003|0.065240838|2|0.043538647|0.0519489729999999|-0.0644978|-0.047410593|2|2|0.0075222369999999|-0.17267308|-0.4557487779999999|0.616699629|0.793551289|-0.00399443|-0.077808321|0.857184548|-0.063267638|-0.082441268|0.228282196|40.76245006|-34.64639496|0.774359705|64.97993029|-22.74225338|54.274732400000005|0.450973737|2943.803333|548.6057241000001|-1068.885909|2280.830615|-14.74314679|7.833620016|14.26820636|6622.129837|29.36910744|0.01779446|-355.71896410000005|599.5697147999999|0.0|0.0|1.0|3.44|26.0|-7.67|3.78|3.4|2.0|1.0|120.24|5.0|-6.31|429.47|0.0|3.78|2.66e-06|0.00114|0.00332|3.68|2.14e-08|9.18e-06|-0.07803|3706.0|-1729.161608|-1729.139722|673.05|1142.37|334.55|0.3603|334.55|525.66|0.58097|0.3603|-0.15064|6.8752|-0.2286699999999999|4.0|8.3536|8.3536
2_a20 (SB-505124)|0.0|1|0|0|-0.09011519|0|7.434257382|1|1.183764955|0.0|-0.006955944|1|0.05042042|0.013612077|-0.177905025|-0.137383329|1|1|0.003789399|-0.229461916|-0.520284161|0.827730504|0.725030162|0.082053195|-0.19681999|0.765632979|-0.083565835|-0.117328885|0.214264156|122.8758934|-35.52365346|0.831919306|70.87109323|-21.05206547|61.69969596|0.475937029|2195.369524|423.3785776|-968.3950117|1709.9571620000002|-11.58380004|5.952040367|11.3574908|4762.83693|25.30541763|0.011470204|-365.2740749|477.95809620000006|1.0|1.0|1.0|3.1|17.0|-7.22|5.16|2.06|1.0|0.0|97.55|4.0|-5.31|335.4|0.0|3.81|5.72e-06|0.0019199999999999|0.0040799999999999|4.27|6.070000000000002e-08|2.03e-05|-0.03717|3.6404|-1089.371784|-1089.358727|593.8|995.68|340.58|0.3267|340.58|505.82|0.69947|0.3267|-0.14928|2.5584|-0.18645|169.0|6.7721|6.7721
14e_a25|0.0|0|0|0|0.0|1|6.842683282|0|1.4200152069999998|1.5926486519999998|0.039261746|2|0.0389622639999999|0.0065927719999999|0.002856489|0.011176663|1|1|-0.0005394919999999|0.025802692|-0.50909623|0.717460414|0.776960216|-0.144369439|0.018432983|0.8322445820000001|-0.1011107469999999|-0.1004553119999999|0.448918026|372.1805977|-53.79722636|0.806446896|84.60373462|-28.3735856|84.98800478|0.491527882|3126.080106|529.8614286999999|-1617.294379|2620.6698690000003|-20.76384175|8.459867391|16.63781964|6952.485076999999|35.18345194|0.015154859|-448.516796|811.3237836|1.0|1.0|2.0|2.72|27.0|-9.14|3.65|1.69|1.0|0.0|134.35|5.0|-6.96|462.5|0.0|3.02|7.29e-06|0.00337|0.0085799999999999|3.04|7.31e-10|3.38e-07|-0.0538|5.8431|-1521.012915|-1520.964156|760.96|1300.08|312.99|0.2409|212.19|596.96|0.69958|0.0007|-0.15787|5.3651|-0.2116699999999999|75.0|7.1249|7.1249
11a_a31|0.0|1|0|0|0.0|0|7.773594467000001|1|0.610138462|0.0|-0.045290366|0|0.044949495|-0.087576474|-0.1217573119999999|-0.019865299|2|2|-0.017433557|-0.1829166189999999|-0.563537536|0.861302755|0.8433024170000001|0.022073976|-0.030335912|0.910334509|-0.151872243|-0.161027639|0.271818874|258.8577775|-41.01552988|0.735254945|97.23036756|-28.68314085|97.560141|0.451795285|2288.9694010000003|245.6599349|-975.2267888|1769.346573|-14.47606937|5.791411901|10.5643234|4940.657452|39.01114987|0.031626337|-237.4612264|302.14325319999995|0.0|0.0|2.0|2.16|16.0|-4.65|3.93|0.57|0.0|0.0|83.12|6.0|-6.51|329.33|0.0|2.42|1.5399999999999998e-05|0.00506|0.0531|2.53|2.22e-05|0.00731|-0.05074|3.8042|-1441.452616|-1441.411622|529.63|860.74|325.92|0.2797|325.92|407.76|0.69222|0.2797|-0.15515|6.4691|-0.20589|0.19|6.7212|6.7212
