molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|PBF|PNSA5|RNCS|RPSA|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
9_a15|0.0|0|0|0|0.0|0|0.0|0|0.0|-0.217598467|-0.009923019|0.0|1|0.096418279|0.0|-0.506073953|1.7800000000000002e-05|10.95880687|0|0.003160815|-0.295062413|-0.344978312|1|0.85357243|0.7059441040000001|0.088615068|0.742680335|0.8105478740000001|0|-0.073701648|0.416635119|-65.07462414|105.5304352|0.153843684|-0.028575549|-36.29225274|10.09761131|0.51257747|-1.400201879|-22.92354152|-15.93664265|59.20930631|0.4517825079999999|-780.8954896|-8.88789863|5.485176331|10.00547485|0.8240935659999999|5375.400861|-435.5070329|31.09118831|-14.02896218|20.06953345|1.0|0.0|1.0|1.0|3.37|0.19|-7.57|2.0|0.0|104.74|1.0|7.0|-5.25|27.0|-5.52|1.0|1.0|3.69|-4.81|0.00206|1.53e-05|0.00562|4.24|0.0|2.69e-08|4.3447|3.36|3.7487|-1223.705126|1042.17|330.74|285.37|0.6512399999999999|0.70552|-1223.463757|0.0115|1.4625|-1223.522216|2188.0|107.0|6.9706|6.9706
12ah_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|0.0|-0.050415481|-0.007648622|5.351858133|2|0.078459408|0.0|-0.41302559|0.0005016269999999|10.95983779|1|0.0010871589999999|-0.177407665|-0.444563583|1|0.8941919290000001|0.835013502|0.011674455|0.8910146309999999|0.8065052890000001|0|-0.0758457179999999|0.271553945|-68.45222166|82.70705743|0.171594725|-0.038137281|-44.23111357|7.714903458999999|0.768906425|-1.906864035|-31.66734951|-24.6427998|60.9481085|0.468162246|-1232.13999|-15.92320089|8.26712637|15.54445187|0.8802726820000001|6015.129321|-796.1600443|32.04915319|-347.5133554|11.57242717|0.0|1.0|0.0|2.0|0.0|0.14|-7.18|1.0|0.0|128.76|1.0|5.0|-4.44|30.0|-6.49|1.0|1.0|2.34|-4.59|0.0151|2.55e-05|0.0106|3.31|0.0|6.65e-08|5.2259|3.79|3.7792|-1692.545871|1148.39|328.07|237.25|0.40051|0.6970000000000001|-1692.3109559999998|0.0485|5.4979|-1692.369929|7.6265|11.0|7.9586|7.9586
8k_a46|-3.737070812|0|0|0|0.1337610719999999|1|7.727094485|1|2.105349622|0.1436554669999999|-0.006208399|5.533389489|2|-0.061030265|0.0|-0.397337564|-0.002099764|10.31928125|1|0.002202734|-0.050069565|-0.510222233|2|0.73768327|0.786206898|0.095179795|0.8341090329999999|0.687020939|0|-0.08638304|0.400181795|-61.95565276|104.0919365|0.261823161|-0.033099828|-44.45419269|4.860695117|0.8265691140000001|-1.985989657|-44.4725532|-23.74966689|68.75557551|0.4938768979999999|-1424.980013|-17.04077386|8.070811215|15.94634031|0.975803904|7352.280688|-1022.446432|28.73282642|-468.6373459|8.080799245|0.0|1.0|1.0|2.0|2.82|0.24|-8.66|1.0|0.0|132.47|1.0|5.0|-5.74|34.0|-6.75|0.0|0.0|3.29|-5.13|0.000866|7.47e-06|0.00355|3.45|0.0|2.17e-09|5.0379|7.63|4.1034|-1845.304274|1302.56|302.15|246.1|0.41618|0.5577300000000001|-1844.970617|0.1166|3.4118|-1845.037411|3.8107|147.0|6.8327|6.8327
12aa_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.0|-0.101407312|-0.008848121|5.351858133|2|-0.014017531|0.0|-0.539735362|0.003529389|10.31162784|1|0.005111479|-0.207153446|-0.394520145|1|0.8397577820000001|0.809127478|0.024991407|0.855880335|0.794193541|0|-0.078042288|0.418522684|-70.79444906|55.0567406|0.1873486869999999|-0.033789461|-49.44198469|15.0745057|0.630759573|-1.925999268|-38.06478415|-23.59814969|76.08850600000001|0.4659424379999999|-1345.094532|-16.48066156|8.65813938|16.21199661|0.872457337|6944.511023|-939.3977091|37.41227352|-182.6418006|20.72118575|0.0|1.0|1.0|1.0|0.0|0.21|-6.83|2.0|0.0|140.26|1.0|7.0|-5.61|33.0|-6.39|0.0|0.0|2.52|-5.0|0.00113|9.94e-06|0.00456|3.81|0.0|1.47e-07|5.1925|3.34|3.4642|-1804.818818|1275.73|357.9|238.78|0.30341|0.68642|-1804.516348|0.1506|5.8962|-1804.582558|6.4878|8.0|8.1135|8.1135
14a_a23|0.0|0|1|1|0.0|2|7.423568444|0|3.39397765|0.050806184|-0.0056795759999999|5.351858133|2|0.0446402609999999|0.757767133|-0.289658385|0.012219066|10.31321831|2|0.011363191|-0.137733142|-0.446724057|2|0.72792508|0.7556436440000001|0.114693804|0.816237166|0.6888154959999999|1|-0.055677662|0.225448915|-50.79675604|38.57988954|0.081322962|-0.0341809229999999|-32.12331106|7.800158102999999|0.7807587890000001|-1.606503401|-22.26638099|-21.61564087|47.54437201|0.462434482|-1015.935121|-13.66949407|7.668841725|14.2658736|0.8602383659999999|6269.28943|-642.4662212000001|27.68542751|-355.0975547|10.56592489|0.0|1.0|1.0|1.0|2.86|0.05|-7.41|2.0|1.0|120.28|1.0|5.0|-5.47|30.0|-6.27|0.0|0.0|3.37|-4.96|0.00139|1.1e-05|0.0045299999999999|3.58|0.0|3.92e-08|3.7119|3.47|3.7119|-1629.928331|1134.02|334.02|334.02|0.6289100000000001|0.6289100000000001|-1629.690316|0.3764|5.8775|-1629.748476|8.3962|3.0|8.5498|8.5498
12ao_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|0.0|-0.058597382|-0.007081548|5.351858133|2|0.0895536619999999|0.0|-0.410729809|0.002782748|10.94919858|1|0.003724542|-0.1619981409999999|-0.435820128|1|0.90500247|0.82626942|0.040831815|0.8800240009999999|0.856135378|0|-0.077866573|0.264688501|-67.45579866|85.17634667|0.167417241|-0.03775988|-44.63177966|7.785557064|0.7820981779999999|-2.039033535|-34.08795068|-24.98362913|63.28698809|0.462968912|-1349.115973|-16.53028876|8.769931502999999|16.33039817|0.8620895909999999|5943.227395|-892.6355932|31.9443643|-373.2975961|11.05528527|0.0|1.0|0.0|2.0|0.0|0.12|-7.01|1.0|0.0|133.84|1.0|6.0|-4.58|31.0|-6.34|1.0|0.0|2.37|-4.55|0.0106|2.82e-05|0.0115|3.45|0.0|9.66e-08|4.6597|3.83|3.4743|-1310.361099|1190.17|356.86|266.08|0.4962|0.7045|-1310.077853|0.0033|5.4691|-1310.138396|7.447999999999999|0.03|7.5229|7.5229
18_a34|0.0|0|0|0|0.0|1|7.423568444|1|1.801574074|-0.063113846|-0.014733513|5.351858133|1|-0.100548575|0.0|-0.677741618|-0.001615187|10.9595763|1|0.002183342|-0.478810922|-0.493450778|1|0.759292258|0.805756513|0.0468829359999999|0.8584852479999999|0.713979177|0|-0.090328365|0.295523326|-71.65163761|66.6880793|0.31018528|-0.0422555509999999|-39.55742812|12.44948722|0.695849945|-1.816988713|-27.53138148|-23.32844015|72.41862911|0.441058733|-1003.122927|-12.87916264|6.282442545|11.23989749|0.789096743|5296.289007|-553.8039936|33.52510165|-216.2496321|15.11918774|1.0|0.0|1.0|0.0|3.61|0.21|-5.65|1.0|0.0|93.91|2.0|5.0|-4.32|26.0|-6.26|1.0|1.0|2.89|-4.11|0.0167|7.829999999999999e-05|0.0275|3.07|0.0|2.22e-06|4.4335|5.07|4.1234|-1199.288654|991.93|300.68|279.66|0.56101|0.60488|-1199.101028|0.0303|5.0935|-1199.158044|6.7806|2.43|5.6144|5.6144
5_a27|0.0|0|0|0|0.0|2|6.823286122000001|0|3.2927747860000003|0.126882432|-0.0063562359999999|4.727387819|2|-0.149034787|1.271687295|-0.286030638|0.00991794|10.93772408|1|0.010329671|-0.341622797|-0.4982037479999999|2|0.639413469|0.760083119|0.180356685|0.8149212259999999|0.614205449|1|-0.055979434|0.333977277|-44.83538435|10.48961936|0.146821224|-0.030385206|-23.6277072|4.709432444|0.741481472|-1.276178645|-15.54640123|-16.01263727|38.43699603|0.439066197|-672.5307653|-8.438466859|6.160679036|10.98289851|0.7827415529999999|4943.51602|-354.41560810000004|21.59546513|-254.5156507|8.684398894|0.0|0.0|1.0|0.0|3.11|0.16|-6.22|0.0|0.0|97.55|1.0|2.0|-3.61|25.0|-6.49|1.0|1.0|2.82|-4.01|0.0821|9.78e-05|0.0324|2.58|0.0|6.04e-07|4.0989|4.9|4.0989|-1083.143246|955.22|302.48|302.48|0.64548|0.64548|-1082.967639|0.2448|2.3781|-1083.019748|3.5632|3.0|8.5229|8.5229
14r_a23|0.0|0|1|1|0.0|2|7.423568444|0|3.201732471|-0.009140243|-0.006323791|5.351858133|2|0.014148395|0.7087588690000001|-0.322513347|0.007671236|10.31321824|2|0.0075222369999999|-0.17267308|-0.454010253|2|0.616699629|0.7837821840000001|0.03753491|0.846632079|0.5935522360000001|1|-0.062618931|0.375360556|-55.30494931|47.26552456|0.133777381|-0.03654528|-35.61466281|7.956082857|0.7882228370000001|-1.717628177|-25.96781003|-23.53402098|52.67940305|0.4661909429999999|-1106.098986|-15.15517566|7.555307147000001|14.15357616|0.873329024|6744.848704999999|-712.2932561000001|29.85706563|-371.2130393|11.00678143|0.0|1.0|0.0|1.0|3.06|0.05|-7.67|2.0|1.0|120.24|1.0|5.0|-5.58|31.0|-6.31|0.0|0.0|3.7|-5.11|0.00114|7.73e-06|0.00332|3.68|0.0|2.14e-08|5.9406|3.72|3.1797|-1729.1556449999998|1145.51|389.92|208.71|0.30482|0.68115|-1728.924789|0.0008|6.2620000000000005|-1728.98403|8.8722|5.0|8.2684|8.2684
47u_a18|0.0|0|0|0|0.0|0|7.03438793|1|0.0|0.039883149|-0.010219187|4.844187086|0|0.008108241|0.0|-0.633589579|-0.000829573|10.94702032|0|0.00082284|-0.1904128389999999|-0.539738821|0|0.664796402|0.7517870059999999|-0.0112778039999999|0.7960273840000001|0.646724968|0|-0.090364489|0.33777918|-64.32800179|86.37253771|0.258933526|-0.0344062|-44.84707106|10.0557163|0.721837463|-2.029965788|-43.92035521|-23.98671253|77.42251040000001|0.483819806|-1415.216039|-16.72263667|9.18142206|17.78724206|0.937307962|6837.350959|-986.6355633|33.23007431|-309.31352410000005|14.73941472|0.0|1.0|0.0|2.0|0.0|0.19|-8.2|3.0|1.0|133.53|1.0|8.0|-5.69|34.0|-6.31|0.0|0.0|2.6|-4.98|0.000932|1.04e-05|0.00472|3.9|0.0|6.34e-09|3.1186|9.34|3.1186|-1510.182477|1282.66|397.57|397.57|0.69143|0.69143|-1509.771642|0.5849|4.4624|-1509.839543|5.8058|1.97|5.7055|5.7055
