molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RPSA|WNSA5|WPSA3|RPCS|FNSA2|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|GeomDiameter|WNSA2|DPSA4|FPSA5|DPSA1|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
21c _a23|0.0|0|1|1|0.0|2|0|3.311482916|0.178300778|-0.009944003|5.4161004020000005|-0.135572353|2|0.043130342|0.0645437059999999|0.731360766|0.003456487|-0.092608459|10.3132171|-0.039311241|0.0035741379999999|0.118226959|-0.036896213|2|0.149511954|-0.060079444|0.838980345|0.7301130229999999|1|0.790596437|-0.08365474|-0.098699133|0.2571258939999999|0.014036138|-70.15570019|0.209403563|-49.86692499|7.09164338|94.32302529|-2.171380929|-28.58195193|0.468609427|561.9588018|-1543.4254039999998|2628.628799|16.83467928|-1097.07235|34.24804117|0.013451712|-475.6090385|9.5615256|0.0|1.0|2.0|3.68|3.11|0.08|26.0|-7.33|3.1|2.49|1.0|133.35|1.0|1.0|-5.63|34.0|-7.13|1.0|0.0|3.0|0.0011|1.92e-05|0.0|0.0|-0.07892|3.6649|4.47|3.6649|-1837.964768|-1837.932192|747.88|1275.12|338.3|0.3329999999999999|587.02|0.5885699999999999|-1837.67081|-0.22981|0.03257532|-1837.736174|67.0|7.1752|7.1752
13f_a6|0.0|1|0|0|3.440154557|0|0|0.0|-0.088329567|-0.006930367|4.727387819|-0.008507023|2|45.0|0.04505613|1.651047524|-0.003356527|-0.071478789|10.95053349|-0.049928822|-0.001446486|0.079490516|-0.223618825|2|-0.028317736|-0.088948538|0.834167942|0.790249345|1|0.863222493|-0.073352505|-0.092939631|0.176745407|0.018554018|-62.41821579999999|0.136777507|-41.92004677|8.368715213|0.0|-1.672913351|-22.02995852|0.401838426|579.7398537|-1123.527884|3253.287533|15.13042752|-754.5608419|30.56694343|0.0196449239999999|-296.4599736|13.19352214|1.0|1.0|2.0|3.56|2.21|0.08|27.0|-10.18|5.01|0.92|1.0|123.82|0.0|0.0|-5.11|32.0|-6.52|0.0|0.0|3.19|0.00323|1.65e-05|0.0|0.0|-0.07786|4.8413|3.36|3139.0|-1347.301285|-1347.266914|711.29|1202.78|394.98|901.0|568.41|0.49643|-1347.018087|-0.2059099999999999|0.03437105|-1347.0794119999998|42.0|7.3768|7.3768
12e_a36|0.0|1|0|0|3.490984269|0|2|0.0|-0.064019914|-0.007100632|5.351858133|-0.043085717|2|0.040899471|0.144415507|0.0|0.002951176|-0.0586405829999999|10.95346131|-0.084051264|0.003962098|0.244642918|-0.1763783589999999|1|-0.010494913|-0.144846626|0.847602953|0.856274847|0|0.838086387|-0.07049439|-0.100988761|0.4347714629999999|0.019063245|-64.2330904|0.161913613|-40.85494129999999|7.71202397|5.735288795|-1.918786459|-23.02695694|0.466721981|533.058116|-1220.428718|2309.239105|12.69013737|-776.2438847|30.25577504|0.017716522|-332.11111980000004|11.26845175|1.0|1.0|2.0|4.85|0.0|0.17|17.0|-6.97|3.24|2.24|1.0|128.72|0.0|1.0|-4.16|30.0|-6.55|0.0|1.0|2.14|0.0274|5.05e-05|0.0|0.0|-0.04962|3.8364|3.48|3.6699|-1272.2668210000002|-1272.23645|673.57|1142.19|337.84|0.4537|507.03|0.6814600000000001|-1271.999945|-0.20151|0.03037051|-1272.0579810000002|14.0|7.8539|7.8539
13c_a6|0.0|1|0|0|3.441255118|0|1|0.0|-0.046663393|-0.010619065|5.351858133|-0.0122495089999999|1|0.040821256|0.049627353|0.0|-0.003346018|0.054910284|10.95129637|-0.0942387559999999|-0.000899678|0.081059709|-0.174259072|1|0.085414885|-0.167542194|0.8353837409999999|0.7995080809999999|0|0.786809832|-0.093635525|-0.111231609|0.22875443|0.030547186|-75.71763296|0.213190168|-51.54254258|14.15496611|567.1031411|-2.11340057|-27.1440571|0.466844407|535.5975578|-1438.635026|3135.546462|15.07660437|-979.308309|35.15921372|0.018354398|-370.3562372|12.49421473|1.0|1.0|2.0|3.61|2.53|0.16|23.0|-9.4|5.38|1.5|2.0|121.6|0.0|1.0|-5.95|32.0|-5.88|0.0|0.0|3.64|0.000471|5.42e-06|0.0|0.0|-0.05015|5.992000000000001|4.5|3.6519|-1389.39897|-1389.371325|719.8|1217.77|339.5|0.5471|596.15|0.48478|-1389.122252|-0.1999|0.0276450999999999|-1389.184603|73.0|7.1367|7.1367
1c_a5|0.0|1|0|0|2.955525321|0|0|0.0|-0.268536978|-0.001983746|4.59511985|-0.006491037|2|0.0248765429999999|-0.080321049|0.0|0.008031558|-0.228971551|10.9433337|-0.058823529|0.007357977|-0.133677441|0.0578378779999999|2|0.128385959|-0.109439124|0.821309592|0.6977404359999999|0|0.88631419|-0.068062282|-0.070346332|0.436308619|0.008349498|-35.99212225|0.11368581|-18.41507338|2.185709046|0.0|-1.12554131|-14.3968489|0.476413155|453.4753671|-575.8739559999999|873.709445|11.580409800000002|-294.64117410000006|19.11862892|0.0153811389999999|-258.918642|7.869633359|1.0|1.0|1.0|2.78|2.09|0.05|23.0|-8.41|4.99|2.13|0.0|95.45|0.0|1.0|-4.25|24.0|-5.77|0.0|1.0|3.43|0.0174|3.5600000000000005e-05|0.0|0.0|-0.03965|4.8783|3.17|4.5088|-990.6223073|-990.5931502|556.84|929.31|274.99|271.0|410.52|0.4444899999999999|-990.467026|-0.22684|0.029157178|-990.516371|3981.0|5.4|5.4
2_a20 (SB-505124)|0.0|1|0|0|3.485765306|0|1|0.0|-0.006955944|-0.010175551|5.351858133|-0.076310057|1|0.05042042|0.013612077|0.0|0.001622309|-0.177905025|10.95129567|-0.137383329|0.003789399|0.02072518|-0.229461916|1|0.082053195|-0.19681999|0.765632979|0.790275077|0|0.7694360659999999|-0.083565835|-0.117328885|0.214264156|0.02856542|-64.55966745|0.230563934|-35.52365346|8.648749117000001|441.9400248|-1.759933279|-21.05206547|0.475937029|423.3785776|-968.3950117|1709.9571620000002|11.3574908|-532.854802|25.30541763|0.011470204|-365.2740749|6.311425784|1.0|1.0|1.0|3.4|3.1|0.3|17.0|-7.22|5.16|2.06|1.0|97.55|0.0|1.0|-5.24|25.0|-5.31|0.0|1.0|3.81|0.0019199999999999|1.22e-05|0.0|0.0|-0.03717|3.6404|4.57|3.6404|-1089.371784|-1089.358727|593.8|995.68|340.58|0.3267|505.82|0.69947|-1089.147716|-0.18645|0.01305739|-1089.201587|169.0|6.7721|6.7721
12z_a30|0.0|0|0|0|0.0|0|2|0.0|-0.1155022219999999|-0.008819424|5.351858133|-0.026703371|2|0.040566449|0.034848862|0.0|0.003529389|0.018796341|10.31162784|-0.045463448|0.005111479|0.05890953|-0.207153446|1|-0.02232319|-0.077335468|0.855880335|0.794193541|0|0.832920077|-0.071429418|-0.107776943|0.315493739|0.030875938|-74.96232552|0.167079923|-52.13870496|14.93669572|0.0|-1.939984979|-23.67231332|0.48740649|579.3226647000001|-1349.321859|2435.831516|15.74641625|-938.4966892|37.52507564|0.029109145|-182.00664430000003|20.24634493|1.0|1.0|1.0|4.86|0.0|0.21|17.0|-6.83|3.94|2.2|2.0|140.26|0.0|1.0|-5.61|33.0|-6.39|0.0|0.0|2.52|0.00113|9.94e-06|0.0|0.0|-0.04679|4.8063|3.34|3.4438|-1804.814868|-1804.785911|739.33|1266.9|360.02|0.1855|580.6|0.5513100000000001|-1804.51674|-0.19279|0.02895763|-1804.581882|44.0|7.3615|7.3615
8a_a8|0.0|1|0|0|3.150966553|1|1|1.4114120369999998|-0.021925912|-0.014658222|5.4161004020000005|-0.1950388569999999|1|0.040243056|0.027531877|0.0|-0.0075336219999999|0.010118884|10.94671414|-0.0298924089999999|-0.005306541|0.044579097|0.089375589|1|0.089031731|-0.048064085|0.8220300859999999|0.7318727540000001|0|0.550829475|-0.131795179|-0.118763303|0.22299265|0.034374791|-71.12928513|0.449170525|-42.60049244|12.33026525|84.91322996|-2.256502762|-29.37948733|0.481294455|329.9007832|-1351.456417|1746.6927010000002|14.52342059|-809.4093564|38.44444383|0.025786572|-316.4749864|15.44399996|0.0|1.0|2.0|3.37|2.64|0.05|23.0|-6.76|3.13|1.9|1.0|109.21|0.0|1.0|-4.4|30.0|-7.04|0.0|0.0|2.56|16.0|7.28e-05|0.0|0.0|-0.06922|4.6017|6.1|3.1039|-1367.776863|-1367.744724|620.68|1061.5|399.45|0.2035|476.69|0.4927399999999999|-1367.539526|-0.19937|0.03213899|-1367.595683|11.34|4.9454|4.9454
5_a15|0.0|0|0|0|0.0|0|0|0.0|-0.222657379|-0.008878343|0.0|-0.044921287|2|0.035982906|0.0729170329999999|0.0|0.000420839|-0.0156037999999999|10.95880662|0.0118220069999999|0.003194793|0.1093187759999999|-0.28098676|2|0.092692253|0.020920163|0.74438723|0.7950674740000001|0|0.8740541479999999|-0.06128567|-0.0989946469999999|0.743577162|0.032616864|-73.61131563|0.125945852|-54.73655332|18.03465935|64.12413387|-1.583914356|-20.30656983|0.486150431|649.9369163|-1177.78105|2179.757502|15.1701491|-875.7848531999999|39.89581513|0.036380071|-13.36968593|27.05181494|1.0|1.0|1.0|3.79|3.68|0.15|24.0|-9.65|4.92|2.0|3.0|127.97|0.0|1.0|-6.16|33.0|-5.55|1.0|0.0|4.29|0.000304|2.18e-06|0.0|0.0|-0.03714|4.3299|4.36|3.6257|-1470.816175|-1470.779775|737.16|1272.84|341.96|291.0|629.67|0.62664|-1470.487858|-0.18553|0.03640044|-1470.55517|13.0|7.8861|7.8861
11_a4|0.0|0|0|0|0.0|1|1|2.159635561|-0.20567828|-0.001098364|5.4161004020000005|0.032861655|2|0.03617284|-0.017835936|2.216390726|0.011277653|-0.073554945|10.33765061|-0.0043410079999999|0.010782511|-0.030003079|-0.046906237|2|-0.163623353|-0.007574475|0.875868891|0.647727179|1|0.930113409|-0.054262142|-0.06530408|0.4523305489999999|0.009336075|-37.74083422|0.069886591|-21.81135655|3.118219598|59.55648883|-1.110169356|-13.65094004|0.480360734|537.5354202000001|-641.5941818|1640.559148|13.18281017|-370.7930613|18.0546182|0.011937709|-296.0029432|6.89909579|1.0|1.0|0.0|3.31|3.49|0.23|21.0|-8.05|4.97|3.15|2.0|111.64|0.0|1.0|-5.14|27.0|-5.74|0.0|0.0|4.16|0.00271|1.06e-05|0.0|0.0|-0.05582|4907.0|3.2|3.78|-1467.463842|-1467.440475|630.04|1071.03|328.0|151.0|479.99|0.4444|-1467.20045|-0.2146699999999999|0.02336674|-1467.255521|0.11|6.9586|6.9586
