molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|MATS7i|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|MATS1i|AATSC1i|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|PBF|FPSA3|PNSA5|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA2|Mor01p|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
17d_a50|0.0|0|1|1|0.0|2|8.105609402|2|2|1.338814635|4.380250483|-0.002166617|6.042632834|0.03538699|0.006071856|-0.140830095|10.94500663|-0.125540541|2|-0.200725906|-0.323333765|0.754575205|0.748516466|0.789310938|0.7276268779999999|1|-0.044172353|0.8020670809999999|0.0152123589999999|-48.40178147|0.070113177|48.62532158|-0.025589979|7.31681784|0.75405703|-1.535398758|57.5414543|0.445708152|2824.70142|2950.99157|-12.30823045|6.996105516|12.62170017|0.8041037459999999|6281.764548|170.5678813|-738.4938272999999|23.53577933|1412.14676|829.3813984|1.0|0.0|4.07|0.35|-7.07|4.0|2.71|-4.5|4.0|-6.25|0.0|0.0|3.68|-4.88|3.17e-05|0.0135|3.72|0.0|8.55e-08|3.63e-05|-0.03251|4.0506|3.41|-1335.962757|1263.22|306.09|0.1819|306.09|579.45|0.66103|0.66103|-1335.649722|0.1819|5.6557|0.02625058|7.9942|74.0|7.1308|7.1308
14i_a23|0.0|0|1|1|0.0|2|7.423568444|0|0|1.197963212|3.2692375460000003|-0.010148243|5.351858133|-0.130330047|0.040408197|-0.558153376|10.31321758|-0.026731172|2|-0.017918675|-0.033435987|0.77007911|0.8025091329999999|0.864206467|0.7333675390000001|1|-0.0889593869999999|0.266320368|0.0214262489999999|-66.02703063|0.222047267|151.83084580000002|-0.039760909|10.01786784|0.7780956840000001|-2.027806362|79.20815775|0.478050606|3097.406945|2447.1741030000003|-18.59026006|8.107659819|15.53342127|0.915894552|7030.347905|151.7330992|-948.103263|34.94120504|1782.001457|693.3423458|0.0|2.0|3.56|0.04|-6.96|2.57|2.28|-5.21|5.0|-7.33|1.0|0.0|2.61|-4.39|6.11e-06|0.00278|2.46|0.0|1.11e-07|5.03e-05|-0.08025|3.6931|4.64|-1798.608335|1224.02|335.72|0.3639|335.72|580.74|0.55606|0.55606|-1798.371346|0.3639|5.9563|0.03394466|8.3755|3.0|8.4622|8.4622
6_a27|0.0|1|0|0|0.0|1|6.823286122000001|0|0|1.404458667|1.7996617540000002|-0.007874167|4.727387819|-0.072298665|-0.237047381|-0.330715016|10.93737136|0.081320966|1|-0.1044763|-0.179319226|0.678057835|0.787663648|0.849515128|0.650575651|1|-0.0786267609999999|0.344065059|0.020552125|-44.56839492|0.214952384|106.4156743|-0.034625042|5.03713293|0.774820398|-1.35037664|52.66373343|0.47262982|2196.1151210000003|1193.992326|-8.486272674|5.010042219|9.500048379|0.896201262|4761.820508|111.4788253|-330.96463430000006|22.12343713|862.8140479|373.9912084|0.0|1.0|3.0|0.11|-6.67|3.48|2.42|-3.62|4.0|-6.55|0.0|1.0|2.71|-3.82|0.000242|0.0768|2.37|0.0|2.16e-07|6.86e-05|-0.04793|5.5447|4.27|-1043.806618|896.68|299.55|0.1915|223.61|401.49|0.3366099999999999|0.61083|-1043.678244|163.0|2.7521|0.02494141|4.0597|1.0|9.0|9.0
4R4k_a46|0.0|0|0|0|0.173180233|1|7.825245291|1|1|1.134637098|2.145043462|-0.0049602|5.587248657999999|-0.088084767|-0.104665424|-0.252970193|10.94631314|-0.1032662209999999|1|0.008544799|0.012963356|0.78837943|0.7477594870000001|0.787615341|0.784722915|0|-0.089699228|0.237621572|0.007883196|-45.72566346|0.109374836|58.20005971|-0.030434186|2.232103603|0.866681099|-1.4608409080000002|49.58292992|0.465590034|2105.035168|1767.850427|-8.617349646000001|5.522208638|10.33328154|0.871222588|4711.736397|70.94107067|-413.632783|18.68565706|896.9115391|519.5743695|1.0|1.0|3.8|0.33|-6.61|4.26|2.84|-4.82|3.0|-5.46|0.0|1.0|3.81|-4.83|1.5e-05|5.0|4.05|0.0|2.48e-07|8.28e-05|-0.02045|5.2965|4.52|-1053.413412|994.13|299.53|0.2896|234.09|490.83|0.54119|0.68404|-1053.202129|0.1008|1.8559|0.0257622|1.9753|97.0|7.0132|7.0132
3c_a12|0.0|0|0|0|0.0|0|6.555356892000001|1|1|0.610140703|0.0|-0.009252756|4.59511985|-0.058516436|-0.14679559|-0.379362977|10.3117069|-0.056537396|1|-0.116098308|-0.211367878|0.923855679|0.826033688|0.888353608|0.859899236|0|-0.071719601|0.242114395|0.013219706|-50.25579322|0.156144506|79.00277721|-0.033980537|3.384177297|0.7055242159999999|-1.291260406|61.16334136|0.427357986|2186.344105|1139.340748|-8.698843907999999|6.231995392999999|10.88288188|0.746291708|4629.005722|148.9927848|-330.5560685|24.36878988|926.0140155|380.2468615|1.0|1.0|3.94|0.12|-6.78|4.01|1.82|-4.22|4.0|-6.18|0.0|1.0|2.76|-4.0|6.06e-05|0.0194|2.91|0.0|1.67e-07|5.3200000000000006e-05|-0.07463|3.9848|2.56|-1327.471862|894.36|345.72|0.4687|311.14|399.38|0.43415|0.68067|-1327.351991|0.1193|1.6035|0.02665687|2.3061|0.02|7699.0|7699.0
11a_a31|0.0|1|0|0|0.0|0|7.773594467000001|1|1|0.610138462|0.0|-0.02376325|5.733341277|-0.259732443|-0.087576474|-0.8792402579999999|10.31170041|-0.019865299|2|-0.1068420919999999|-0.1829166189999999|0.861302755|0.8433024170000001|0.910334509|0.819138461|0|-0.151872243|0.271818874|0.041435152|-81.26889906|0.513245044|259.0291941|-0.056833284|10.55399384|0.735254945|-1.932331673|97.23036756|0.451795285|2288.9694010000003|1769.346573|-14.47606937|5.791411901|10.5643234|0.8241360790000001|4940.657452|133.6139513|-492.1863586|39.01114987|1326.379096|302.14325319999995|1.0|2.0|3.26|0.13|-4.65|3.93|0.57|-4.81|6.0|-6.51|0.0|1.0|2.42|-3.79|1.5399999999999998e-05|0.00506|2.53|0.0|2.22e-05|0.00731|-0.05074|3.8042|3.97|-1441.411622|860.74|325.92|0.2797|325.92|407.76|0.69222|0.69222|-1441.327731|0.2797|6.4691|0.04099365|8.9667|0.19|6.7212|6.7212
4_a4|0.0|0|0|0|0.0|1|7.535296702|1|1|1.343865392|2.156628874|-0.001234337|5.4161004020000005|0.0159331539999999|-0.0214610589999999|-0.058013858|10.92992837|-0.037623601|1|-0.048056862|-0.078747188|0.646069495|0.77276149|0.8306695270000001|0.636572383|1|-0.049768752|0.456474074|0.008570112|-35.41518716|0.0667239759999999|34.37786704|-0.0255766729999999|2.274995377|0.793717973|-1.099796957|40.86951119|0.398500394|2221.6122010000004|1883.42405|-6.78950447|5.326452915|8.855289118|0.66251148|4878.070704|106.2816773|-291.9486922|16.60255217|713.9097433|462.1867149|1.0|0.0|3.15|0.19|-7.57|4.52|2.66|-4.12|3.0|-5.79|0.0|1.0|3.64|-4.57|7.59e-05|0.0248|3.52|0.0|2.71e-08|8.85e-06|-0.04865|5.382000000000001|3.24|-1029.93716|960.45|307.95|0.1106|230.37|394.06|0.55032|0.6010800000000001|-1029.763465|67.0|2.6814|0.02323788|3.1195|78.0|7.1079|7.1079
14b_a50|0.0|0|1|1|0.0|2|7.934155233999999|2|2|1.267593742|4.240438135|-0.003935732|5.82008293|0.0228205129999999|-0.068176984|-0.255822608|10.94501788|-0.041169251|2|-0.1786649189999999|-0.280243276|0.74726683|0.7887047979999999|0.831689551|0.71456262|1|-0.050362464|0.7031402240000001|0.022423099|-50.27694576|0.095923652|62.89861413|-0.025558317|9.64109526|0.637281054|-1.533499045|64.58491917|0.445384689|2967.872393|2984.248708|-10.98912227|6.3538844910000005|11.45638132|0.8030515570000001|6737.145102|237.8403928|-659.347336|26.29763086|1577.857852|825.4425942|1.0|0.0|4.64|0.35|-6.86|3.72|2.32|-4.6|5.0|-6.5|0.0|0.0|3.6|-4.78|2.51e-05|0.0111|3.51|0.0|1.3900000000000001e-07|6.12e-05|-0.02486|5.2834|3.05|-1431.037684|1253.87|304.07|0.1637|234.67|533.25|0.55594|0.64303|-1430.72987|0.1373|5.3711|0.03081037|6.7927|6.58|5.1818|5.1818
16d_a32|0.0|1|1|1|0.0|0|7.765993078999999|0|0|0.609420775|0.0|-0.017249763|5.733341277|-0.087123461|0.0115077539999999|-0.7589895790000001|10.31100273|-0.0517549079999999|3|-0.128753933|-0.239509216|0.816581223|0.8575664540000001|0.916850163|0.7689748270000001|1|-0.091212351|0.41654798|0.032003415|-67.07571683|0.244506926|142.7146582|-0.036437402|10.90312918|0.615749698|-1.493933474|86.50964771|0.4429631189999999|2588.214866|3152.666302|-12.41372827|6.221435089|11.16880283|0.79521327|5768.495166|224.2805611|-508.962859|34.53986301|1416.134383|457.7130665|1.0|2.0|3.35|0.18|-6.59|5.26|0.65|-5.65|5.0|-6.62|1.0|1.0|3.12|-4.18|2.22e-06|0.000856|2.86|0.0|2.55e-07|9.84e-05|-0.05068|3.6271|3.78|-1877.332369|1023.44|341.83|0.2915|341.83|489.97|0.70217|0.70217|-1877.185022|0.2915|3.2048|0.02818209|3.8853|8.0|8.1135|8.1135
SB431542_a8|0.0|1|0|0|0.0|1|7.535296702|1|1|1.401734117|1.4114120369999998|-0.014434378|5.4161004020000005|-0.1950388569999999|0.096884952|-0.721718925|10.94951956|-0.0453332859999999|1|0.055198015|0.089375589|0.76592324|0.762577159|0.8220300859999999|0.7318727540000001|0|-0.128342313|0.274152231|0.034730361|-74.57768059|0.434670151|260.1744351|-0.048754953|12.44282236|0.7608280590000001|-2.242727845|89.64885355|0.476091179|2801.428659|1947.072021|-17.46740332|7.360028263999999|14.04829994|0.908729075|6203.505123|143.157805|-803.5005528|38.35632812|1764.391093|529.053307|0.0|2.0|3.35|0.05|-6.76|3.13|1.9|-4.4|5.0|-7.04|0.0|0.0|2.58|-4.14|3.99e-05|16.0|2.4|0.0|1.74e-07|6.96e-05|||||||||||||||||79.08|4.1019|4.1019
