molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|MATS7i|MATS8i|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
4R4l_a46|0.0|0|0.0|0.171853072|1|7.825245291|1|1.134637095|2.155247543|-0.058870177|-0.075241716|1|-0.067419714|-0.060895366|1|1|0.006162668|0.0071939419999999|0.010799648|1|0.7940662409999999|0.726535412|-0.001318857|-0.229089688|0.762625193|0|0.896653672|-0.090505744|0.208818132|-49.12015477|-45.96797819|3.844966512|177.33836430000002|0.103346328|56.0891211|-0.02989332|-24.94818681|-1.524559305|-26.65896664|49.44228224|-16.223992300000003|52.96512128|0.4568839389999999|2165.83681|486.6405745|1766.0974600000002|-8.805242402000001|0.8412270820000001|4923.057044|18.4720714|-410.6276419|942.0756413|579.2365607|1.0|1.0|1.0|1.0|0.36|-7.0|4.64|50.94|1.0|0.0|105.77|0.0|1.0|3.0|-5.28|26.0|3.0|-5.23|0.0|1.0|1.0|4.09|0.00182|7.78e-06|0.0|0.0|-1092.75416|1038.78|301.29|266.65|498.78|-0.17475|-0.19602|2.3035|137.0|6.8633|6.8633
6b_a40|0.0|0|0.0|0.0|1|8.421342866|1|0.604892326|1.710647518|0.135693438|-0.069975812|0|-0.137534783|0.0986825569999999|2|2|-0.004728928|-0.018582337|-0.033583055|0|0.691778838|0.842573207|0.003163118|-0.307881994|0.90571269|1|0.753431574|-0.107699967|0.417254814|-72.13527644|-79.36130196|9.771129787|176.8246355|0.246568426|165.1465831|-0.049599889|-53.15460718|-2.132795227|-48.31476032|87.29061302|-33.22101012|81.90640622|0.442509019|3214.047452|504.6333458|4049.386572|-22.2507658|0.793750992|8482.600495|37.83107469|-506.5422338|1626.736212|618.8882797|1.0|1.0|1.0|1.0|0.21|-5.21|5.67|173.43|2.0|2.0|130.16|1.0|2.0|5.0|-8.41|31.0|5.0|-5.85|1.0|0.0|1.0|4.21|1.98e-06|6.55e-07|1.0|1.0|-3290.775349|1183.07|399.62|399.62|552.01|-0.1237099999999999|-0.21904|11.3203|0.03|7.5229|7.5229
19j_a38|0.0|0|3.235947106|0.0|0|7.412764017000001|2|1.29704352|0.0|-0.089207643|-0.04575843|2|0.105682345|0.003554228|1|1|-0.002443797|-0.09493054|-0.20848518|1|0.7163622890000001|0.846765471|-0.001131945|-0.060360554|0.908721232|0|0.8071763829999999|-0.0844479869999999|0.625966089|-57.80349365|-73.92901683|17.15233756|131.29876370000002|0.192823617|131.9851314|-0.038119963|-50.60340201|-1.944118135|-39.565701700000005|90.05233553|-26.09259418|74.95583121|0.408533267|2969.234865|552.5012068|3109.238056|-17.86002424|0.6907121629999999|6704.612831|36.5253298|-293.4664598|1862.79182|640.025745|1.0|1.0|1.0|3.0|0.13|-6.92|3.17|105.02|1.0|0.0|130.41|0.0|1.0|5.0|-4.35|32.0|5.0|-7.13|0.0|0.0|0.0|2.44|19.0|7.55e-05|0.0|0.0|-1424.426858|1163.3|336.13|205.41|533.97|-0.15182|-0.21629|14.4895|8.0|8.1146|8.1146
12j_a36|0.0|0|3.502198129|0.0|0|7.412764017000001|2|0.6293514410000001|0.0|-0.084183025|-0.0446165029999999|2|0.091496219|0.039869055|1|1|0.003710345|-0.07550872|-0.133106642|1|0.906423012|0.820041835|-0.1241793309999999|-0.089459459|0.87043328|0|0.852586292|-0.069970795|0.362692602|-46.2113679|-69.66341599|11.99396966|26.39145693|0.147413708|97.35760604|-0.037113558|-46.00836307|-2.004132137|-30.5197407|80.59149538|-24.51120192|58.20533756|0.457280037|2881.20453|563.0803357000001|2536.987511|-16.18812775|0.8425708820000001|6352.018345|31.59421634|-364.314663|1706.0876829999995|725.9470896|1.0|1.0|1.0|2.0|0.17|-7.05|3.33|94.5|1.0|0.0|135.47|0.0|1.0|6.0|-4.85|31.0|4.0|-6.64|0.0|0.0|0.0|2.33|0.0061|3.09e-05|0.0|0.0|-1670.448063|1198.96|327.94|238.1|536.01|-0.15495|-0.20593|8.5953|0.01|8.0|8.0
4_a4|0.0|0|0.0|0.0|1|7.535296702|1|1.343865392|2.156628874|-0.183963421|0.0159331539999999|2|-0.0214610589999999|-0.110597574|1|1|0.0112367389999999|-0.048056862|-0.078747188|2|0.646069495|0.77276149|-0.168712277|-0.063012715|0.8306695270000001|1|0.933276024|-0.049768752|0.456474074|-25.64211031|-35.41518716|4.4155367960000005|13.70182982|0.0667239759999999|34.37786704|-0.0255766729999999|-18.24679326|-1.099796957|-13.21145879|40.86951119|-13.17774406|30.05764711|0.398500394|2221.6122010000004|480.8472306|1883.42405|-6.78950447|0.66251148|4878.070704|16.60255217|-302.661743|713.9097433|462.1867149|1.0|0.0|1.0|0.0|0.19|-7.57|4.52|43.6|1.0|0.0|100.08|0.0|1.0|2.0|-4.12|25.0|3.0|-5.79|0.0|1.0|1.0|3.64|0.0248|2.69e-05|0.0|0.0|-1029.960398|960.45|307.95|230.37|394.06|-0.1696599999999999|-0.21831|3.1195|78.0|7.1079|7.1079
7g_a8|0.0|0|3.095238804|0.0|1|7.535296702|1|1.39137419|1.336155045|-0.092384028|-0.067360394|0|-0.030968098|-0.027838247|1|1|0.0002620309999999|0.021974492|0.046246982|0|0.627990269|0.7363841520000001|0.098510683|-0.044866536|0.79995525|0|0.699376143|-0.107714754|0.306360885|-64.55562181|-67.26263865|19.08352484|144.290464|0.300623857|180.1699331|-0.045912914|-40.31185423|-2.020168201|-38.68948451|78.41805331|-27.51653399|83.63914665|0.470618047|2802.2242920000003|419.1502102|2079.55195|-16.4912131|0.8889952590000001|6293.364606|34.10836993|-367.6690814|1500.768277|509.2753308|1.0|1.0|0.0|1.0|0.04|-7.91|4.94|80.04|2.0|0.0|108.0|0.0|1.0|3.0|-5.78|30.0|5.0|-5.63|0.0|0.0|1.0|4.14|0.000667|3.59e-06|0.0|0.0|-1374.493069|1053.9|327.36|327.36|507.78|-0.15508|-0.22129|12.9547|21.03|4.6772|4.6772
1k_a5|0.0|0|2.9020229360000003|0.0|0|6.605297921|0|1.427567903|0.0|-0.216088148|-0.064652321|2|-0.095857885|-0.145151027|1|1|0.003708988|0.019611905|0.045204303|2|0.567806811|0.7824502320000001|-0.011552666|-0.022280685|0.851987765|0|0.7836926809999999|-0.078995018|0.425724957|-40.40908188|-38.00629774|5.571869083999999|165.11680719999998|0.216307319|110.6497654|-0.0301207529999999|-19.44172742|-1.114467843|-20.67084672|47.83775802|-15.40795854|45.98095096|0.48165588|2171.394196|400.8898627|824.0133397999999|-7.881781385|0.929220303|4479.484358|21.25369168|-230.14624|786.3865923|357.34245360000006|1.0|0.0|1.0|1.0|0.0|-8.3|4.88|54.46|0.0|0.0|90.44|0.0|1.0|3.0|-3.97|24.0|4.0|-5.99|0.0|1.0|1.0|3.42|0.0336|4.970000000000001e-05|0.0|0.0|-1050.548505|890.76|281.38|262.56|398.63|-0.1798799999999999|-0.22504|2.3036|48.0|7.3188|7.3188
12be_a36|0.0|0|3.466734143|0.0|0|7.412764017000001|2|1.297042758|0.0|-0.148313814|-0.0419484829999999|2|0.118420241|-0.08981965|1|1|0.002872872|-0.176729938|-0.289604649|1|0.884226781|0.812921349|0.132962547|0.00734728|0.858971809|0|0.798015877|-0.0780531429999999|0.330453338|-54.15309606|-75.59805505|23.42501577|63.31681179|0.201984123|140.1361326|-0.031937334|-52.44976141|-1.852365352|-37.57129686|99.62604537|-22.15805062|77.57811183|0.4564615729999999|3039.9167260000004|553.6616295|2552.721046|-15.37320593|0.839796323|6592.168374|39.14335412|-91.68453892|2270.314539|766.4854363|1.0|0.0|1.0|2.0|0.21|-6.79|2.83|87.66|1.0|0.0|136.74|0.0|1.0|7.0|-4.11|33.0|6.0|-7.13|0.0|0.0|0.0|1.75|0.0342|7.13e-05|1.0|0.0|-1462.0007349999998|1256.67|370.25|237.59|594.44|-0.13781|-0.18969|10.3044|44.0|7.3565|7.3565
25c_a34|0.0|0|0.0|0.0|1|7.412764017000001|2|1.377881974|1.958290974|0.024837617|-0.047513652|2|-0.16034464|-0.056443595|1|1|0.001433865|-0.3609280379999999|-0.563411433|1|0.809687672|0.80135608|0.118901861|-0.072907053|0.844690266|0|0.683231623|-0.088513496|0.478421157|-59.0359041|-75.6298008|29.22363765|183.6812574|0.316768377|211.2752099|-0.031498055|-50.44285726|-1.7008949569999998|-39.37521522|100.6665476|-21.008278|88.25954175|0.4356106729999999|2884.104654|455.6954382|2439.174137|-14.01190479|0.77182656|6306.980593|39.09037289|-49.9273377|2110.880136|648.0187526000001|0.0|1.0|1.0|1.0|0.32|-5.71|2.18|90.74|1.0|0.0|116.0|0.0|2.0|6.0|-2.81|31.0|6.0|-7.95|0.0|0.0|0.0|1.93|659.0|0.000523|0.0|0.0|-1426.704645|1180.85|294.54|294.54|561.29|-0.17424|-0.2069599999999999|9.8087|1.78|5.7496|5.7496
36_a18|0.0|0|0.0|0.0|0|7.03438793|2|1.25117638|0.0|0.050448408|-0.020339784|1|-0.05224259|-0.0077246719999999|0|0|0.000825855|-0.079721028|-0.12139648|0|0.7343989059999999|0.741135729|-0.010091893|0.0059061|0.780206307|0|0.804293867|-0.07777765|0.3847791889999999|-55.38202488|-56.82615305|6.722004572|110.8288932|0.195706133|139.3536816|-0.031922305|-40.46339026|-2.074949798|-39.43509046|65.59412783|-22.73046122|62.10402945|0.4751830729999999|2979.013751|572.70209|1547.485543|-16.1853561|0.905426346|6799.65027|27.99124609|-444.4026478999999|1819.430996|975.4099618|1.0|0.0|1.0|3.0|0.28|-9.16|3.73|85.29|2.0|1.0|146.24|0.0|1.0|7.0|-5.68|35.0|3.0|-6.18|0.0|0.0|1.0|2.8|0.000975|5.19e-06|0.0|0.0|-1493.686737|1350.57|388.57|388.57|636.33|-0.13133|-0.18124|2.7547|32.0|7.4949|7.4949
