molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|SaaaC|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PPSA3|RNCS|WNSA5|RPCS|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
20a_a10|0|0|0.0|0.0|1|7.535296702|1|1.343837243|2.113798134|-0.0034618129999999|5.4161004020000005|0.049376168|2|1.896409603|0.008214031|-0.010695558|0.011011878|0.008297595|-0.058994157|-0.081587712|-0.281099208|2|0.661219642|0.755429696|1|0.913681336|-0.066386563|-0.072821454|0.591835899|0.013618456|8.860330345|66.52185003|-30.82502228|47.01787447|-1.456429076|-28.10115947|58.1398225|-18.22250274|52.05222074|2998.608651|-947.5701424|-11.8557778|0.266548108|8.419180593|15.37476788|0.826159649|173.41938059999998|-616.5004457|0.016540298|-303.7731758|1291.932235|719.5272609|0.0|1.0|1.0|1.0|0.0|3.48|0.11|27.0|-9.44|5.06|5.77|76.62|2.0|126.35|4.0|33.0|-5.82|429.47|1.0|4.27|0.000888|2.56e-06|4.36|0.0|0.0|3.61e-10|1.55e-07|-0.06611|4.7841|3.98|-1389.164302|696.63|0.2738|259.16|524.02|0.50193|0.6864600000000001|-1388.897416|107.0|-0.1613099999999999|2.9429|-0.2274199999999999|0.03217287|-1388.957848|1.2|5.9208
19i_a38|1|0|3.169368622|0.0|0|7.412764017000001|2|1.297043925|0.0|-0.008447598|5.351858133|-0.115864198|2|0.0|-0.006877664|-0.074033381|-0.053762162|-0.004358975|0.215263198|-0.250781298|-0.430016467|1|0.653741315|0.836170906|0|0.747158407|-0.08347616|-0.113250303|0.4748744179999999|0.022576308|13.83587388|137.7658863|-42.53502816|10.71501217|-2.038505453|-31.35232957|82.98550237|-24.98593175|64.99417804|2896.470706|-1249.2965869999998|-15.31261014|0.258076158|6.690507557999999|12.04523072|0.800346329|158.161786|-765.6305068|0.022159015|-296.5257022|1683.860952|593.6088758|1.0|1.0|1.0|1.0|3.0|4.8|0.14|17.0|-7.12|3.55|3.11|81.23|1.0|125.65|5.0|31.0|-6.81|419.43|1.0|3.04|0.0238|4.67e-05|2.88|0.0|0.0|7.599999999999999e-08|3.19e-05|-0.0564799999999999|5.7041|3.66|-1431.415351|641.31|0.2156|217.36|457.26|0.4342|0.69267|-1431.181148|0.1886|-0.14872|6.6636|-0.2052|0.03110827|-1431.239177|13.0|7.9031
24_a47|0|1|0.0|0.0|1|6.86171134|0|1.304328602|1.225600378|-0.010774404|4.727387819|-0.1160443999999999|2|1.081401467|-0.0060410169999999|-0.063708635|0.071506228|-0.004514441|0.056234624|-0.2494728939999999|-0.540463145|2|0.662080166|0.812650394|1|0.7839491009999999|-0.075894947|-0.090995097|0.214985826|0.021522987|12.11301576|41.72753688|-28.82156035|47.170683|-1.364926459|-24.03877652|69.27912772|-18.28983173|54.82626523|2642.775318|-768.1729327|-10.29341441|0.388396422|7.024694045|13.48797266|0.920079732|218.5873217|-432.3234052|0.032103375|-125.6197312|1255.998102|457.1122177|1.0|1.0|0.0|1.0|2.0|3.14|0.05|21.0|-7.63|2.78|4.64|84.73|1.0|104.73|5.0|28.0|-6.48|396.81|1.0|3.31|0.00975|3.05e-05|3.16|0.0|0.0|2.32e-08|9.22e-06|-0.06517|3.9675|4.46|-1696.105723|578.94|0.2618|312.5|450.98|0.6835|0.6835|-1695.93106|0.2618|-0.16333|2.6517|-0.2285|0.03414611|-1695.98597|3.0|8.5
14r_a23|0|1|0.0|0.0|2|7.423568444|0|1.197963203|3.201732471|-0.006323791|5.351858133|-0.06921746|2|0.7087588690000001|0.007671236|-0.079935667|-0.064006338|0.0075222369999999|0.033038452|-0.17267308|-0.454010253|2|0.616699629|0.7837821840000001|1|0.8662226190000001|-0.062618931|-0.085881409|0.375360556|0.019185345|12.35476415|47.26552456|-35.61466281|55.62948521|-1.717628177|-25.96781003|66.31173073|-23.53402098|52.67940305|2945.137191|-1106.098986|-15.15517566|0.211777163|7.555307147000001|14.15357616|0.873329024|136.37788909999998|-712.2932561000001|0.017092103|-371.2130393|1403.282085|599.5697147999999|0.0|1.0|1.0|0.0|1.0|3.47|0.05|26.0|-7.67|3.78|4.58|105.02|2.0|120.24|5.0|31.0|-6.31|429.47|0.0|3.7|0.00114|7.73e-06|3.68|0.0|0.0|2.14e-08|9.18e-06|-0.06842|5.9406|3.72|-1729.1556449999998|678.08|0.2346|208.71|513.71|0.30482|0.68115|-1728.924789|0.0008|-0.15536|6.2620000000000005|-0.22378|0.02296354|-1728.98403|5.0|8.2684
7f_a8|1|0|2.961566988|0.0|1|7.05012252|0|1.394802504|1.2793830309999998|-0.005338193|4.844187086|-0.073219554|0|0.0|0.00112124|-0.087673259|0.0260356679999999|0.00084936|0.09329746|0.141285105|-0.381574707|0|0.515235986|0.7051689170000001|0|0.770229267|-0.091890536|-0.08790841|0.3155671539999999|0.0138113419999999|7.858266077000001|53.09327646|-28.45850692|55.49953831|-1.670259798|-29.74763659|55.85651025|-23.17880348|60.14140162|2534.956113|-950.3309426|-13.18808857|0.119077775|7.704280774|14.04331892|0.822794279|67.75191165|-540.7116315000001|0.010262531|-433.4681077|1078.790971|446.5544107|0.0|1.0|0.0|0.0|1.0|3.14|0.0|23.0|-8.46|5.52|5.49|61.58|2.0|101.89|3.0|28.0|-5.27|373.35|1.0|4.63|0.00078|3.16e-06|4.66|0.0|1.0|3.5e-09|1.31e-06|-0.07492|3.8187|6.81|-1285.196168|584.99|0.3536|324.68|495.55|0.7024199999999999|0.6987399999999999|-1285.017838|0.1502|-0.14506|8.7098|-0.21998|0.02809022|-1285.071664|35.65|4.4479
43_a18|0|0|0.0|0.0|0|7.03438793|2|1.251175234|0.0|-0.005099385|4.844187086|-0.01369899|1|0.0|0.002712865|0.031746165|-0.032429984|0.003801459|-0.079184068|-0.2093696189999999|-0.460675034|0|0.718255592|0.713379703|0|0.852344887|-0.070166168|-0.0822489459999999|0.3439906129999999|0.006890688|5.35147222|0.66443384|-49.60799696|21.60709738|-2.302970476|-42.32033664|69.46280937|-24.16948112|59.84418608|3172.923606|-1788.541603|-18.77059344|0.125626651|10.01438533|19.33108376|0.930331529|97.56464265|-1389.023915|0.007193089|-581.4944803999999|2045.512486|1228.492038|1.0|0.0|1.0|1.0|2.0|4.54|0.34|18.0|-9.6|4.5|4.08|76.5|3.0|160.76|9.0|38.0|-5.78|508.65|0.0|3.48|0.00018|1.09e-06|5.1|0.0|1.0|2.52e-10|1.28e-07|-0.04949|3.2233|8.79|-1611.621186|843.1|0.5429|384.65|702.4|0.6926800000000001|0.6926800000000001|-1611.126246|0.5429|-0.13196|3.0482|-0.18145|0.02315412|-1611.198355|625.0|6.2041
14k_a23|0|1|0.0|0.0|2|7.423568444|0|1.1979621459999998|3.358995671|-0.005866159|5.351858133|-0.024758731|2|0.74561778|0.010682694|-0.055500851|-0.055708465|0.009263715|0.082632648|-0.13187015|-0.463402169|2|0.722187957|0.800643488|1|0.922397728|-0.0562483359999999|-0.079899943|0.226547411|0.018829201|12.53019305|38.76597615|-35.38329134|80.31548917|-1.597998852|-24.9092952|64.04991522|-22.62582822|49.96154892|2955.4566170000003|-1063.413926|-15.05671972|0.216437606|8.21201115|15.99703938|0.948005074|144.0318708|-707.6658267999999|0.016348271|-377.4022725|1357.152837|633.3278634|0.0|1.0|0.0|1.0|1.0|3.39|0.05|26.0|-7.99|4.0|4.67|105.02|2.0|125.29|5.0|31.0|-6.03|445.93|0.0|3.99|0.000334|2.83e-06|4.21|0.0|0.0|1.02e-08|4.55e-06|-0.07933|3.6421|4.1|-2089.524497|691.9|0.4694|340.42|552.65|0.63765|0.63765|-2089.293765|0.4694|-0.14784|5.8718|-0.2271699999999999|0.02271117|-2089.354026|4.0|8.4123
13p_a6|1|0|3.449535594|0.0|0|6.842683282|0|1.424099253|0.0|-0.010395243|4.727387819|-0.1144898999999999|2|1.633493259|-0.008008339|-0.014153926|-0.072853186|-0.005708558|0.123575608|-0.116250572|-0.573014008|2|0.865935935|0.784414352|1|0.7265205579999999|-0.099405155|-0.107371897|0.196002517|0.01730144|12.27472016|80.30786544|-54.04422654|107.5669533|-2.14743793|-50.03427239|89.17529231|-26.72853188|82.79893305|3016.078786|-1523.526317|-18.9628865|0.23994258|8.760340755|14.91957306|0.703081362|170.2302215|-1080.8845310000002|0.018322293|-369.0018868|2004.488446|794.5462391|1.0|1.0|1.0|1.0|3.0|3.64|0.12|27.0|-10.06|4.58|4.01|122.47|1.0|132.01|7.0|34.0|-7.01|449.51|1.0|2.96|0.00365|2.79e-05|2.86|0.0|0.0|8.73e-11|3.92e-08|-0.0746|4.7973|4.73|-1463.08132|752.82|0.4132|258.45|573.39|0.47508|0.7056600000000001|-1462.740542|0.0029|-0.12251|9.0546|-0.1971099999999999|0.03807447|-1462.804694|92.0|7.0362
10_a1|1|0|3.261363142|0.0|0|6.86171134|0|1.435871163|0.0|-0.014135827|4.727387819|-0.23385288|1|0.0|-0.012672753|-0.020225596|0.010430299|-0.0106277489999999|0.107434253|-0.042643966|-0.623957903|1|0.674381582|0.7227844929999999|0|0.669963758|-0.116648443|-0.10949971|0.126889306|0.014751098|8.34295348|212.8090837|-35.02707638|64.49041745|-1.861495069|-37.31383317|70.6564636|-25.67872721|74.31719486|2432.447088|-1052.827816|-14.52342192|0.165903744|7.376231317999999|13.65143394|0.850732895|93.83214542|-595.4602985|0.015427326|-377.9175542|1262.237791|433.2550452|1.0|0.0|1.0|0.0|2.0|3.0|0.0|23.0|-8.02|4.86|5.06|78.87|2.0|99.61|4.0|27.0|-5.91|359.35|1.0|3.7|0.00372|1.87e-05|3.64|0.0|0.0|9.53e-09|3.42e-06|-0.06802|3.4067|5.81|-1223.159954|585.51|0.6754|363.94|464.77|0.70345|0.70345|-1222.969096|0.6754|-0.13576|5.3861|-0.20378|0.03426532|-1223.022387|1.5|5.8239
8a_a31|1|0|3.28085223|0.0|0|7.765993078999999|1|0.610138387|0.0|-0.015034136|5.733341277|-0.158899731|0|0.0|-0.013230176|-0.135144546|-0.01861065|-0.009293513|-0.258538098|-0.094359203|-0.520051508|0|0.938325481|0.837862749|0|0.594139864|-0.122293189|-0.136459435|0.272259026|0.0375544779999999|18.56711239|131.2406629|-33.35560699|465.4559302|-1.501053781|-29.89286568|82.32407724|-20.61467025|79.02944672|2128.209198|-742.1281291|-10.19199103|0.333562641|5.83708559|10.63792161|0.822471411|164.9149565|-366.9116769|0.030052065|-164.57484340000002|1113.575221|324.7430642|1.0|0.0|1.0|1.0|2.0|3.34|0.2|16.0|-5.33|4.16|2.54|114.29|0.0|83.83|3.0|22.0|-7.11|314.36|1.0|2.13|0.0846|0.000773|1.56|0.0|0.0|4.62e-06|0.00145|-0.02993|3.8097|1.53|-1347.541429|538.75|0.2604|325.45|396.15|0.7027100000000001|0.7027100000000001|-1347.3959220000002|0.2604|-0.1587599999999999|3.7141|-0.18869|0.03432763|-1347.446223|0.79|6.1024
