molecula|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|MATS1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA3|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|GeomRadius|GRAV|WNSA2|DPSA4|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
19f_a38|0|3.3320764830000003|0.0|0|7.412764017000001|2|2|1.297044434|-0.036714749|-0.007831113|-0.084341564|2|0.0|-0.4228801179999999|-0.002526241|0.035480177|10.96083376|1|-0.000673716|-0.017421394|-0.101303149|1|0.724208473|0.819222745|-0.075025988|0.8741648479999999|0|0.750875987|-0.085318318|-54.50401599|-71.10679028|13.4639011|159.14822980000002|-0.037844587|12.14075726|0.734437553|-34.81887413|84.35196967|-24.1763087|67.96791709|0.453960261|-1208.815435|2846.860803|-15.44458393|6.164440995|6115.273372|-772.2291966|32.91812709|1645.906354|595.8790650000001|1.0|1.0|1.0|1.0|3.0|4.82|2.48|0.14|-6.86|3.13|2.55|2.4|0.0|1.0|30.0|4.0|-6.77|0.0|0.0|-4.17|6.77e-05|0.0272|2.78|0.0|-0.05735|5.3197|3.41|3.4422|-1332.190216|-1332.160846|653.22|1105.62|0.3205|495.68|-1331.945195|0.0019|-0.14369|5.3152|-0.20104|7.1655|73.0|7.1397
17g_a50|1|0.0|0.0|2|7.934155233999999|2|2|1.320916184|-0.185924266|-0.002050512|0.052557574|2|2.236579664|-0.13328325|0.012079|-0.022378911|10.94501702|2|0.01245647|-0.090386911|-0.200725906|1|0.754575205|0.738521694|-0.10642733|0.7787714459999999|1|0.920663175|-0.048170917|-32.14758511|-47.17463902|9.710172008|52.94662161|-0.025918901|85.51402581|0.749948388|-21.45417373|56.28102287|-17.29736764|41.85775712|0.467997084|-1037.842058|1975.996014|-11.54365807|8.130878433|6102.424958|-692.6194843|23.06474408|1383.884645|829.3813984|0.0|1.0|1.0|1.0|0.0|4.04|3.66|0.35|-6.96|3.71|4.37|2.71|0.0|1.0|32.0|4.0|-6.28|0.0|1.0|-4.86|1.39e-05|0.0059|3.68|0.0|-0.0323|4.0458|3.22|4.0458|-1335.976491|-1335.946919|725.92|1259.05|0.1795|559.45|-1335.631756|0.1795|-0.16699|7.0584|-0.19929|9.1706|246.0|6.6091
8a_a32|1|3.217128449|0.0|0|7.773594467000001|0|0|0.609420757|-0.0755556459999999|-0.010151321|-0.056633919|0|2.059960334|-0.497414715|-0.003484915|-0.020716518|10.31100269|3|-0.001662219|-0.050766252|-0.0852122769999999|0|0.788133615|0.845443342|-0.184419911|0.8966299409999999|1|0.814553726|-0.083474428|-52.34893512|-68.61558335|11.48993376|116.298071|-0.035678106|66.81560596|0.7490845290000001|-32.82934751|79.73671389|-22.37464674|63.83886888|0.480024324|-1029.23375|3312.822051|-14.03170956|7.420041446|5659.295213|-645.4586397|29.86932167|1373.988797|557.1050635|1.0|1.0|1.0|1.0|2.0|3.48|3.67|0.26|-7.65|6.49|4.65|1.37|0.0|1.0|27.0|4.0|-5.76|1.0|0.0|-4.99|1.02e-05|0.00406|4.17|0.0|-0.06166|3562.0|4.98|3562.0|-1880.767206|-1880.732222|667.29|1110.23|0.4315|566.07|-1880.536478|0.4315|-0.1445|4.8933|-0.2061599999999999|7.6703|45.0|7.3468
3p_a32|1|3.456037415|0.0|0|8.02059915|1|1|0.609420752|0.007752757|-0.008735261|-0.028895521|0|2.1365141480000003|-0.419292538|-0.000971341|-0.111150118|10.31100269|3|0.000920756|-0.092884784|-0.146606489|0|0.737842269|0.8599558070000001|0.058054833|0.918782026|1|0.8195708759999999|-0.070907174|-41.73212799|-58.13283248|12.5150622|106.1908248|-0.029183126|57.82331968|0.6199678829999999|-24.56127372|73.07639870000001|-17.1756096|54.24719019|0.416240891|-755.7268222|3037.061498|-10.10863498|6.243062200000001|5960.446219|-444.779939|27.70403125|1218.977375|530.5658569|1.0|0.0|1.0|1.0|1.0|3.38|2.6|0.26|-6.79|6.06|3.71|1.1|0.0|1.0|27.0|4.0|-6.8|0.0|0.0|-4.25|5.629999999999999e-05|0.0222|2.7|0.0|-0.04963|3.6436|4.26|3.6436|-1879.554272|-1879.527843|626.32|1057.58|0.3083|471.04|-1879.350471|0.3083|-0.15055|4.3094|-0.20018|5.4496|26.0|7585.0
12f_a40|0|0.0|0.0|1|7.515889085|0|0|0.604990261|-0.03356339|-0.006206277|-0.015621373|0|0.807254372|-0.235838511|0.008525796|0.108909202|10.31197207|2|0.006841832|0.115814835|-0.033224348|0|0.679527138|0.777316288|-0.160218113|0.841769186|1|0.909993912|-0.067004323|-37.02024147|-45.41519509|11.90644165|49.72883796|-0.032879466|61.55859085|0.7314440520000001|-20.45387851|56.53158029|-18.16607804|48.92668311|0.490421149|-635.8127312999999|628.5604981|-10.03685385|8.404802652999999|5326.217734000001|-351.2898849|24.83590915|869.2568204|384.1423925|1.0|0.0|0.0|0.0|0.0|3.24|3.61|0.06|-7.32|5.35|5.44|3.99|0.0|1.0|24.0|3.0|-4.76|0.0|0.0|-5.99|1.02e-06|0.0003819999999999|5.4|0.0|-0.07761|4.3313|4.77|2.8374|-2212.359379|-2212.348599|572.63|951.55|0.4348|487.85|-2212.222254|0.3858|-0.11765|3.2818|-0.19526|4.8562|0.38|6.4202
17a_a6|0|3.3685510360000004|0.0|0|7.412764017000001|1|1|1.424257628|0.101940358|-0.012704951|-0.0265090529999999|1|0.0|-0.686067347|-0.00460563|0.078798543|10.94948984|1|-0.00194781|0.068338372|-0.10896749|1|0.850080948|0.7722228729999999|0.08716369|0.8299950709999999|0|0.753082653|-0.096082495|-63.02857512|-71.75703418|20.43213226|161.9738174|-0.041567592|554.1936506|0.77193498|-41.34573382|84.75077935|-27.26767299|83.46070738|0.483320982|-1363.383649|2217.333474|-17.887155899999996|8.337470517|5996.580489|-894.3577948999999|35.323795000000004|1766.18975|627.4287311|1.0|1.0|1.0|1.0|2.0|3.52|2.88|0.12|-9.01|4.98|4.32|1.7|0.0|1.0|31.0|5.0|-5.89|0.0|0.0|-5.17|6.69e-06|0.00274|4.09|0.0|-0.05753|3.5421|4.04|2.9753|-1350.102634|-1350.078838|696.96|1167.16|0.3933|574.02|-1349.830672|0.0101|-0.12425|4.1627|-0.18178|5604.0|24.0|7.6198
12w_a36|0|3.3131307480000003|-4.750262163|0|7.412764017000001|2|2|1.24014105|0.081390556|-0.015825416|-0.297354748|2|0.0|-0.917874106|-0.011700732|-0.041402825|10.96020797|1|-0.007897954|0.115646674|-0.1187503719999999|1|0.647732719|0.828393514|-0.098657593|0.8792981679999999|0|0.828363244|-0.086826396|-62.34080876|-79.88912835|15.15285952|123.23411609999998|-0.041210062|0.780959767|0.70536279|-44.76031023|99.51883498|-29.58856606|77.49366829|0.4672300679999999|-1597.782567|2602.5207|-21.24440511|8.365472166|7418.252264|-1147.197876|41.94801097|2265.1925920000003|672.4630346|1.0|0.0|1.0|0.0|2.0|4.82|0.0|0.17|-7.14|3.31|4.04|2.04|0.0|1.0|34.0|8.0|-6.4|0.0|0.0|-5.07|8.6e-06|4.0|3.86|0.0|-0.05326|3.8881|4.86|3.8881|-1645.202839|-1645.169951|712.88|1198.72|0.4508|552.55|-1644.953222|0.4508|-0.15708|5043.0|-0.21034|7.0746|23.0|7.6383
12_a15|0|0.0|0.0|0|0.0|0|0|1.435689014|-0.071096525|-0.006620824|-0.0455566929999999|2|0.0|-0.370766171|0.001740635|-0.106061273|10.95973444|0|0.0034254209999999|-0.054575504|-0.120626133|2|0.8310685940000001|0.723852961|0.049877871|0.769289315|0|0.89637291|-0.061084417|-39.00359933|-60.15445365|9.58943236|66.16793071|-0.031995594|4.192089814|0.746489397|-24.90456371|70.6606311|-20.42981445|48.59303169|0.476419838|-1082.780166|2661.728915|-13.04483751|5.448223888999999|5897.820841|-691.376388|27.36785616|1450.496376|673.7288405|1.0|1.0|1.0|1.0|1.0|3.56|3.73|0.12|-9.82|5.32|6.3|2.87|0.0|1.0|30.0|4.0|-4.97|1.0|0.0|-5.83|1.47e-06|0.000584|5.29|0.0|-0.03196|4.4819|5.16|3.8538|-1281.087109|-1281.060163|688.91|1177.81|0.1374|585.26|-1280.810963|0.0093|-0.15858|4.3338|-0.19054|6.0547|4.0|8.3979
9_a10|0|0.0|0.0|1|7.535296702|1|1|1.377786667|-0.096384071|-0.004530817|-0.032199235|2|1.754798254|-0.285441469|0.007316125|-0.1189611519999999|10.92721632|1|0.007847998|-0.079150788|-0.1475423119999999|2|0.7141481129999999|0.791322552|-0.000865755|0.837889476|1|0.8694452140000001|-0.057690053|-40.90513782|-59.80726117|9.815155744|92.56988349|-0.028592687|59.95939417|0.73129178|-29.00379197|71.07688871|-20.27364785|50.72029356|0.45291714|-1196.145223|2284.568215|-14.37503199|8.765421221|6606.83687|-848.1268877|27.72306267|1635.660698|816.3832816|1.0|1.0|1.0|1.0|1.0|4.0|3.2|0.23|-7.93|3.69|3.68|1.81|0.0|1.0|33.0|5.0|-6.87|0.0|1.0|-4.44|3.64e-05|16.0|2.97|0.0|-0.06118|5.5668|4.51|3.7309|-1410.041793|-1410.005954|740.24|1278.57|0.4138|631.5|-1409.69933|0.0041|-0.15045|2.9927|-0.21163|4942.0|193.0|6.7144
14l_a23|1|0.0|0.0|2|7.423568444|0|0|1.1979636809999998|0.060717916|-0.005344736|-0.026530366|2|0.758109562|-0.288615723|0.01269616|-0.060692376|10.313217800000002|2|0.01180744|0.07815878|-0.074441567|2|0.725800261|0.778602826|0.156652778|0.836852328|1|0.921267667|-0.053549434|-35.3275485|-51.59307331|12.31633167|51.94117061|-0.0328459689999999|81.90812552|0.7896261940000001|-23.306234600000003|61.54673359|-21.66909079|47.64388017|0.492922575|-1083.45454|2176.038061|-14.29549842|8.006380163|6444.7098240000005|-714.7749208|27.44221375|1372.110688|666.0036144999999|0.0|0.0|1.0|1.0|1.0|3.51|3.52|0.09|-7.78|3.88|4.33|3.24|1.0|1.0|31.0|4.0|-6.1|0.0|0.0|-5.25|5.61e-06|0.0023899999999999|3.94|0.0|-0.07191|3.6274|3.79|3.6274|-1669.2363289999998|-1669.224647|694.65|1185.79|0.4239|560.51|-1668.983787|0.4239|-0.14639|6.0563|-0.2183|8.2422|7.0|8.1798
8e_a8|0|3.01599663|0.0|1|7.05012252|0|0|1.394799502|-0.018155171|-0.010579355|-0.205927741|0|0.0|-0.539547088|-0.005310149|-0.102167262|10.94332438|1|-0.004224671|-0.0015448089999999|0.090898585|0|0.650073857|0.7233950809999999|0.02023118|0.7742101929999999|0|0.661490276|-0.115572516|-70.49962428|-64.32539698|12.87136047|206.4920729|-0.04393787|76.40535608|0.803307236|-43.00500847|75.57562034|-26.80224874|83.37098475|0.483244415|-1286.50794|2080.07805|-16.34946208|7.50719734|6095.6213210000005|-784.77418|33.36487904|1601.514194|561.882658|0.0|0.0|0.0|0.0|2.0|3.2|2.98|0.04|-7.78|4.33|4.17|3.4|0.0|1.0|30.0|4.0|-6.14|0.0|0.0|-4.9|1.25e-05|0.00504|3.69|0.0|-0.06253|4.6303|7.22|3.2737|-1376.957298|-1376.924308|639.38|1090.07|0.3731|526.86|-1376.708067|0.1671|-0.13719|6.1505|-0.19972|7.7951|19.89|4.7014
20_a47|1|0.0|0.0|1|6.86171134|0|0|1.408721455|0.055662511|-0.011237762|-0.161476442|2|1.010373001|-0.505699304|-0.009220816|-0.052370531|10.95058273|1|-0.006342241|0.087325054|-0.108236785|2|0.61847122|0.7962508290000001|-0.069674604|0.8575369009999999|1|0.6888286020000001|-0.083811055|-45.68149289|-50.14789824|12.85623208|169.6050003|-0.032859105|49.00609086|0.595234209|-24.89884887|69.09296541|-17.90996366|58.53772498|0.4642647929999999|-752.2184736|1219.306754|-9.761884958|7.022502229|5896.060936|-409.9991682|30.08893541|1263.735287|428.5826478|0.0|1.0|1.0|1.0|2.0|3.19|2.96|0.05|-7.31|2.56|4.54|2.75|0.0|1.0|28.0|6.0|-6.75|0.0|0.0|-4.08|8.32e-05|0.0316|2.63|0.0|-0.06357|3.9808|4.08|3.9808|-1335.742176|-1335.708279|557.84|964.94|0.2807|426.08|-1335.566785|0.2807|-0.16377|3.1747|-0.22734|4.3277|3.0|8.6
11d_a5|0|2.9590700880000003|0.0|0|6.605297921|0|0|1.388848584|-0.245058546|-0.003373937|0.001099755|2|0.0|-0.185566552|0.008307337|-0.138265707|10.94877952|1|0.008809179|-0.202307745|-0.12451554|2|0.786587307|0.783891527|-0.018747485|0.831190148|0|0.87090286|-0.063028408|-40.04753555|-53.84338206|8.151092424|82.02685783|-0.029333375|0.0|0.712305422|-25.44574968|65.35645739|-18.63809379|48.19862797|0.49396568|-969.1808771|900.3825317|-11.84243331|8.920296087|5283.02167|-615.8065323|26.16587381|1360.625438|631.9206508|1.0|1.0|1.0|1.0|1.0|3.13|3.37|0.17|-8.64|4.41|4.14|1.42|0.0|1.0|29.0|5.0|-6.47|0.0|1.0|-4.29|5.14e-05|0.0198|3.07|0.0|-0.03767|4.4175|2.59|4107.0|-1239.127458|-1239.093739|682.09|1154.67|507.0|594.45|-1238.855022|0.2068|-0.16762|2.8731|-0.20529|3.7008|15.0|7.8239
8g_a12|1|2.897921027|0.0|0|6.580639137|1|1|1.28383574|0.10205033|-0.0084227909999999|-0.029907264|2|1.714060666|-0.40429396|0.005898773|-0.094550033|10.95472263|1|0.005405355|-0.068810076|0.068559367|1|0.804158158|0.7475224290000001|-0.04981165|0.80546986|1|0.8576253690000001|-0.076856227|-42.39297373|-57.6443411|4.915102972|78.53214058|-0.042752517|0.0|0.90166696|-23.38345638|61.99654413|-23.58177591|47.30807670000001|0.463772637|-1037.59814|1356.883205|-13.00742505|6.882798206|5327.736626|-572.326702|26.15353224|1150.7554189999998|480.0590283|0.0|1.0|1.0|1.0|2.0|4.07|2.51|0.1|-8.0|3.31|2.07|2.89|0.0|1.0|27.0|5.0|-6.28|0.0|0.0|-4.34|4.61e-05|0.0163|3.06|0.0|-0.06432|4.2057|3.68|3731.0|-1154.321531|-1154.281986|590.93|989.66|0.3786|418.41|-1154.121362|0.1601|-0.1520099999999999|2.9986|-0.21633|4.2131|3715.0|5.43
12aa_a36|0|3.4172704080000003|0.0|0|7.412764017000001|2|2|1.297043479|0.033952382|-0.011588438|-0.135770278|2|0.0|-0.672129428|-0.006653538|0.010538281|10.95446449|1|-0.004569485|0.0620143779999999|-0.052743904|1|0.892815402|0.833911317|0.156337925|0.888163057|0|0.688945241|-0.1066659309999999|-72.94175494|-80.19356964|16.1504726|212.7097172|-0.04126187|109.0001157|0.731335741|-49.88002793|96.18613736|-28.21625599|89.09222754|0.44829258|-1523.677823|2418.848273|-19.29522587|8.05947774|6438.603019|-1041.942197|38.58180913|2083.417693|689.2886595|0.0|0.0|1.0|0.0|3.0|4.83|0.0|0.13|-6.14|1.92|0.98|1.28|0.0|1.0|32.0|5.0|-7.79|0.0|0.0|-3.45|0.000359|152.0|1.55|0.0|-0.05111|3.8899|3.88|3.8899|-1401.662677|-1401.617177|701.99|1183.76|0.4446|520.19|-1401.389257|0.4446|-0.15718|3.5904|-0.20829|4.7433|9.0|8.0458
10_a15|0|0.0|0.0|0|0.0|0|0|1.4356889780000002|-0.137104477|-0.006872984|-0.0435725659999999|2|0.0|-0.384887119|0.001740635|-0.077096984|10.95972828|0|0.0034254209999999|-0.132759909|-0.120626133|2|0.8310685940000001|0.713794823|0.0107135269999999|0.7585998270000001|0|0.933136945|-0.052826735|-30.73805622|-59.05618983|6.101312009|38.90530741|-0.036384844|0.0|0.8301726490000001|-17.88541558|65.80736417|-21.17108692|36.83936823|0.449323734|-1122.067607|2305.991259|-12.31872585|5.555044294|6204.37804|-652.8924702|25.50202895|1351.607534|673.7288405|1.0|1.0|1.0|1.0|1.0|3.58|3.64|0.12|-9.82|5.32|6.3|2.87|0.0|1.0|30.0|4.0|-4.97|1.0|0.0|-5.83|1.47e-06|0.000584|5.29|0.0|-0.03581|4.4682|5.16|3.6448|-1281.088565|-1281.061184|631.2|1136.48|0.1412|487.16|-1280.804272|0.0042|-0.15377|1.6654|-0.18958|3.1460000000000004|7.0|8.1549
6_a15|0|0.0|0.0|0|0.0|0|0|1.419941278|-0.199979249|-0.00951284|-0.048804012|1|0.0|-0.513693384|0.001080419|0.011857945|10.95880677|0|0.003942615|0.153430865|-0.195267558|1|0.8511056929999999|0.691316481|0.0371776429999999|0.7248900659999999|0|0.859308431|-0.07051817|-41.14459066|-71.76572566|17.20414198|82.0880213|-0.0307500179999999|55.65697829|0.581974721|-24.00625743|88.94853813|-17.94143141|58.34873264|0.3902945579999999|-932.9544335|1971.005637|-10.46812265|6.110075236|5589.043165|-544.3423775|30.82854077|1603.08412|592.4420375|1.0|1.0|0.0|1.0|1.0|3.29|4.03|0.23|-7.95|4.43|5.26|2.18|0.0|1.0|28.0|5.0|-5.33|0.0|1.0|-5.14|7.32e-06|0.00278|4.64|0.0|-0.02419|4.3423|3.94|3.7696|-1263.0243449999998|-1263.0072300000002|612.22|1092.02|0.2616|545.21|-1262.75978|0.0113|-0.15714|1.3789|-0.18133|1.9421|35.0|7.4559
16h_a32|1|3.340888605|0.0|0|7.765993078999999|0|0|0.609420754|0.217139852|-0.015656019|-0.098975084|0|2.075726759|-0.7828009570000001|-0.0048042729999999|0.061727488|10.31100268|3|-0.002310082|-0.1234671109999999|-0.123297852|0|0.804503712|0.832040698|-0.003188883|0.881181048|1|0.7991915079999999|-0.081151869|-51.56009529|-77.17316899|13.31708433|127.5843068|-0.038765425|35.90298920000001|0.7359051059999999|-32.75886858|90.15529448|-24.62973479|64.87717961|0.459750275|-1157.597535|3282.554439|-15.6485794|6.710057805|6151.056721|-735.4832318|33.46862873|1573.02555|573.3529948|1.0|0.0|1.0|1.0|2.0|3.61|3.45|0.26|-7.0|5.86|4.6|1.12|0.0|1.0|28.0|5.0|-6.22|1.0|0.0|-4.75|1.7800000000000002e-05|0.0073599999999999|3.66|0.0|-0.05028|3.6182|4.54|3.6182|-1955.99895|-1955.970762|679.82|1130.4|0.2914|556.05|-1955.772465|0.2914|-0.14972|3516.0|-0.2|4.2275|9.0|8.0655
12ak_a36|0|3.501132553|0.0|0|7.412764017000001|2|2|1.270373882|-0.052930979|-0.006465433|-0.0407717229999999|2|0.0|-0.407322296|0.0042553209999999|-0.116440196|10.95268014|1|0.005035022|0.198260132|-0.099596099|1|0.901715152|0.815627016|0.051506104|0.860939187|0|0.848705143|-0.069176342|-49.87483724|-66.15829243|14.3700664|109.0807368|-0.032660864|25.9007405|0.737439195|-35.95881638|79.17567486|-23.5478668|64.24490364|0.423822657|-1389.324141|2735.7986920000003|-16.97756755|7.98672125|6240.396899|-1001.676485|31.93194362|1883.984673|799.5563855|1.0|0.0|1.0|1.0|2.0|5.05|0.0|0.24|-7.38|3.85|3.01|2.66|0.0|1.0|32.0|4.0|-6.19|0.0|1.0|-4.86|1.39e-05|0.00589|3.8|0.0|-0.04929|3.8734|4.21|3.6895|-1350.900117|-1350.865407|730.3|1247.89|0.4514|584.05|-1350.57563|0.0001|-0.15275|6.3682|-0.20204|8.5394|46.0|7.3372
14a_a5|0|2.948727373|0.0|0|6.605297921|1|1|1.226142247|-0.056730193|-0.0053665219999999|-0.005002101|3|0.0|-0.316624785|0.002956745|-0.086229994|10.9488747|1|0.003668464|-0.213526163|-0.010147323|2|0.7333482170000001|0.79661948|0.144729708|0.847379958|0|0.7909255559999999|-0.080875277|-54.69145586|-53.20786056|11.74431806|141.38542919999998|-0.0271808479999999|55.04914434|0.629783335|-36.98479273|69.71575554|-18.38089729|66.43577392|0.470085022|-1010.949351|1315.573182|-12.42997952|8.424031251|6177.303329|-683.6488737000001|29.18606491|1605.23357|723.0631751|0.0|1.0|1.0|1.0|2.0|3.24|2.41|0.2|-8.84|4.56|4.38|1.37|0.0|1.0|32.0|5.0|-7.08|0.0|0.0|-4.22|6.02e-05|0.0256|2.55|0.0|-0.0507699999999999|4.1501|4.3|4.1501|-1390.592722|-1390.546425|692.8|1195.01|0.5853|508.64|-1390.29207|0.5853|-0.1676|2.7115|-0.2183699999999999|2.8163|112.0|6.9508
21b_a23|1|0.0|0.0|2|7.525639975|0|0|1.197963051|0.094654108|-0.005936474|-0.008526338|2|0.745297595|-0.326506055|0.01055698|-0.103470358|10.31321725|2|0.009872313|0.107996329|-0.069382957|2|0.7038407329999999|0.7717839409999999|0.131951284|0.8339434929999999|1|0.930728719|-0.0596425779999999|-41.81114831|-58.25915868|10.15224639|48.56114386|-0.034219814|86.65837165|0.812334718|-29.31080756|67.68046598|-23.98906534|51.9633947|0.458461834|-1223.442332|2531.041828|-16.81701905|8.773746105|6919.229053|-857.6679716|29.53101081|1506.081551|712.6737861|0.0|0.0|1.0|1.0|1.0|3.59|3.42|0.08|-7.84|3.92|4.2|2.6|1.0|1.0|33.0|5.0|-6.42|0.0|0.0|-5.22|6.06e-06|0.00273|3.7|0.0|-0.08401|4.0023|3.57|3.6237|-1761.498874|-1761.4722969999998|735.65|1247.38|0.2607|611.6|-1761.230923|0.2333|-0.15033|9.5312|-0.23434|13.2567|85.0|7.0691
47f_a18|0|0.0|0.0|0|7.03438793|1|1|1.251175676|-0.005500039|-0.005817448|-0.034211867|0|0.0|-0.477030713|0.0036509859999999|0.033759227|10.94702253|0|0.00531392|-0.071877686|-0.264839041|0|0.765824398|0.750610215|-0.009917608|0.780474694|0|0.838156881|-0.063824969|-54.18475173|-72.03501774|11.75478965|137.3980967|-0.0289997239999999|58.84834254|0.726550657|-46.00060733|86.11217859|-24.61956302|65.93954138|0.483843526|-1944.945479|2343.062749|-20.90098811|10.55465562|7870.103594|-1651.17806|33.88554232|2676.957843|1347.416568|1.0|1.0|1.0|1.0|2.0|4.87|0.0|0.34|-9.22|3.22|3.6|2.79|2.0|1.0|40.0|4.0|-6.4|0.0|0.0|-5.52|3.01e-06|0.00163|4.52|1.0|-0.04439|3.0964|8.13|3.0964|-1743.375413|-1743.346389|908.66|1602.99|0.5741|874.24|-1741.724929|0.5741|-0.12802|3.8532|-0.1724099999999999|4.4861|9.0|8.0458
GW6604_a52|0|2.944144148|0.0|0|6.605297921|0|0|1.427583999|-0.277102285|-0.002149879|-0.005328809|2|0.0|-0.085995143|0.007746755|-0.118272803|10.94914378|1|0.0070554269999999|-0.131886693|0.039867344|2|0.709088617|0.693399445|0.074868979|0.7550228990000001|0|0.87346455|-0.071850787|-35.51891876|-35.62691523|4.459510077|62.55188751|-0.029217264|0.2386028039999999|0.73529506|-17.55852148|44.37166117|-14.44334401|39.97842884|0.4597869779999999|-534.4037285|799.8313017999999|-7.13996301|6.2973559020000005|4168.525878|-264.17863140000003|19.64292268|726.7881391|359.1060668|1.0|1.0|1.0|1.0|1.0|2.68|1.76|0.0|-8.03|4.49|4.2|1.91|0.0|1.0|23.0|3.0|-5.95|0.0|1.0|-4.16|6.929999999999999e-05|0.0207|3.06|0.0|||||||||||||||||107.0|6.9706
