molecula|SddssS|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|FNSA1|WNSA3|DPSA5|PNSA4|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
1i_a5|0.0|0|0|-4.358943904|6.605297921|0|0|1.219028472|-0.145964178|-0.006494891|4.59511985|2|0.0|-0.279280326|-0.0012491689999999|-0.174016111|10.94550053|-0.003198529|1|0.001493879|0.004923698|-0.403861432|2|0.525406088|0.780175595|0.8436458929999999|0.513260607|0|-0.091178745|-0.084018635|0.4729402929999999|-50.81756452|-46.82694838|4.621144795|0.112394438|-26.09853285|2.575548983|0.759459597|-28.32266298|57.78921354|-19.90145306|2482.831286|494.6981114|-11.09187646|0.240540403|13.79450888|0.8858245220000001|-443.6750585|26.20475553|0.0196689|403.396385|10.96226516|1.0|1.0|1.0|1.0|1.0|2.83|0.05|5.48|6.37|2.73|0.0|0.0|1.0|4.0|27.0|366.34|1.0|1.0|-4.97|0.00589|1.0800000000000002e-05|0.00396|3.95|0.0|1.3300000000000002e-09|4.86e-07|-0.05729|3.58|-1288.356212|-1288.322373|957.58|283.08|-1288.210207|2.6336|0.03383899|24.0|7.6198|7.6198
6f_a40|0.0|0|0|0.0|8.421342866|1|2|0.604893424|0.134099184|-0.01691341|6.401917197|0|0.737582436|-0.8287570679999999|-0.009302776|0.075227997|10.30179966|-0.190617284|2|0.048543494|0.092206207|-0.628934821|0|0.7710013309999999|0.836826225|0.896373207|0.742681934|1|-0.134203859|-0.130571562|0.363785804|-86.21963207|-83.88605319|10.2782635|0.344213487|-53.89282175|6.6032981820000005|0.8628087240000001|-55.39203581|92.77827871|-33.55442128|3021.330686|421.31181889999993|-21.5571287|0.137191276|11.87042702|0.69723213|-970.0707913999998|38.88975659|0.013841059|593.503189|8.892225517|1.0|0.0|0.0|1.0|2.0|4.05|0.21|3.66|2.66|1.1|3.0|1.0|3.0|5.0|30.0|457.55|1.0|0.0|-4.64|5.18e-05|2.3e-05|0.0105|3.09|1.0|0.0002109999999999|0.0967|-0.08982|6.96|-2426.972609|-2426.924155|1139.55|482.43|-2426.725129|6.2384|0.04845403|42.0|7.3768|7.3768
47f_a18|0.0|0|0|0.0|7.03438793|1|1|1.251175676|-0.005500039|-0.005817448|4.844187086|0|0.0|-0.477030713|0.0036509859999999|0.033759227|10.94702253|-0.008224928|0|-0.264839041|-0.3927204379999999|-0.4138670829999999|0|0.765824398|0.750610215|0.780474694|0.745431271|0|-0.063824969|-0.084851044|0.375218907|-54.18475173|-72.03501774|11.75478965|0.161843119|-61.15474298|9.979328976|0.726550657|-46.00060733|86.11217859|-24.61956302|3367.7324700000004|711.5604361000001|-20.90098811|0.273449343|20.44855806|0.937396993|-1651.17806|33.88554232|0.016581683|1347.416568|14.07716085|1.0|1.0|1.0|1.0|2.0|4.87|0.34|3.22|3.6|2.79|2.0|1.0|1.0|13.0|40.0|541.68|0.0|0.0|-5.52|0.000421|3.01e-06|0.00163|4.52|1.0|6.04e-10|3.27e-07|-0.04439|8.13|-1743.375413|-1743.346389|1602.99|400.42|-1741.724929|3.8532|0.02902413|9.0|8.0458|8.0458
12h_a30|0.0|0|0|0.0|7.412764017000001|2|2|0.604984682|0.046965756|-0.00737961|5.351858133|2|0.0|-0.391119352|0.001139238|0.001698966|10.31162898|-0.072247675|1|-0.0541804029999999|-0.120380857|-0.4708582289999999|1|0.669561738|0.831176513|0.888213143|0.64876559|0|-0.083127678|-0.09907575|0.353607682|-52.88851758|-63.03519645|11.06352871|0.236431596|-40.10503079|7.038974807000001|0.7979748729999999|-33.64938551|73.14241438|-24.44221903|2848.98238|485.8069155|-15.55093031|0.202025127|15.1759206|0.881277172|-761.9955851|30.63031164|0.015886049|618.6004214|10.10721793|1.0|0.0|1.0|0.0|1.0|4.63|0.14|4.25|3.18|3.2|0.0|0.0|1.0|5.0|30.0|416.47|0.0|0.0|-5.01|0.00171|9.71e-06|0.00405|3.97|0.0|1.26e-07|5.260000000000001e-05|-0.05347|4.07|-1675.011389|-1674.977665|1132.06|353.22|-1674.777786|2.9684|0.03372393|9.0|8065.0|8065.0
15_a10|0.0|0|0|0.0|7.535296702|1|1|1.277647202|-0.166303336|-0.0027892409999999|5.4161004020000005|2|1.981569297|-0.142251304|0.009882584|-0.055918786|10.92966702|-0.05940848|1|-0.085979341|-0.136323668|-0.208590561|2|0.682616223|0.808676284|0.863438637|0.635064845|1|-0.059234364|-0.074144604|0.710970489|-35.30133759|-44.18725043|11.09373722|0.084473199|-26.33385303|6.61142847|0.646412648|-21.03820054|56.66229609|-15.04246823|2549.580207|545.6177511|-8.964715924|0.353587352|11.23924661|0.767351752|-421.3416484|23.27068984|0.020932674|563.875765|12.47504566|1.0|1.0|1.0|1.0|0.0|3.29|0.23|4.91|4.72|2.53|1.0|0.0|1.0|5.0|28.0|390.87|0.0|1.0|-4.81|13.0|1.56e-05|0.0061|3.68|0.0|5.01e-09|1.96e-06|-0.05243|3.12|-1604.08794|-1604.057542|1086.19|326.3|-1603.851644|4.5192|0.03039798|33.0|7.4815|7.4815
47d_a18|0.0|0|0|0.0|7.03438793|1|1|1.251175994|-0.017398129|-0.006087337|4.844187086|0|0.0|-0.480899596|0.003376831|-0.07722825|10.94702255|0.016324953|0|-0.272202025|-0.406388629|-0.417659275|0|0.7640994990000001|0.7430748709999999|0.773981237|0.741366815|0|-0.06394156|-0.087315963|0.445704576|-52.14267013|-71.20388424|12.45251265|0.163000873|-58.06490563|10.15469843|0.69814381|-42.52098397|86.29525584|-23.42233034|3304.705347|682.5509007|-19.1002979|0.30185619|19.16475647|0.927940864|-1451.622641|33.54943497|0.018506261|1255.618298|15.0913716|1.0|1.0|1.0|1.0|2.0|4.73|0.32|2.81|3.21|2.6|2.0|1.0|1.0|12.0|39.0|527.66|0.0|0.0|-5.28|0.000968|5.23e-06|0.00276|4.16|1.0|1.4800000000000003e-09|7.790000000000001e-07|-0.04561|8.08|-1704.061013|-1704.0327519999998|1544.09|398.94|-1703.545539|3.7605|0.02826074|8.0|8.0969|8.0969
4m_a46|0.0|0|0|0.16407746|7.825245291|1|1|1.134637002|-0.245599013|-0.000686578|5.587248657999999|1|0.0|-0.0329557579999999|0.011122528|-0.142061192|10.94319657|0.007901235|1|-0.017992096|-0.029022201|-0.098201489|1|0.615482006|0.747676221|0.7975218959999999|0.626578283|0|-0.067320375|-0.0672468|0.373463876|-35.4774406|-35.43866734|5.74716122|0.051026123|-18.67596877|3.028720082|0.733236381|-18.69640205|41.88525631|-11.81288911|2133.331634|500.1036387|-6.225322922999999|0.266763619|9.923886653|0.8622201970000001|-280.1395315|16.11061509|0.012232753|486.9589609|6.446588969|1.0|0.0|1.0|1.0|0.0|3.59|0.29|4.25|4.63|2.5|0.0|0.0|1.0|2.0|25.0|328.41|0.0|1.0|-4.57|0.00981|2.68e-05|0.0088|3.69|0.0|1.31e-07|4.31e-05|-0.04808|3.45|-1031.138426|-1031.109224|975.72|285.18|-1030.929791|3.9226|0.02920209|1288.0|5.8901|5.8901
47l_a18|0.0|0|0|0.0|7.03438793|1|1|1.251176792|0.0340353029999999|-0.006400878|4.844187086|0|0.0|-0.428858819|-0.00046896|-0.010426981|10.94702063|-0.056270425|0|-0.103458566|-0.156998637|-0.4925232479999999|0|0.7452092359999999|0.7435044540000001|0.781148177|0.733228144|0|-0.08034939|-0.083884237|0.2820044969999999|-57.15119372|-59.6654726|6.543729374|0.196526687|-42.43906517|4.654446622|0.796109347|-40.65070014|68.83398609|-22.37455223|2852.093627|571.4972966|-15.91464944|0.203890653|18.46922943|0.959883341|-1018.537564|28.10487315|0.012890098|931.8364349|9.168513486|1.0|1.0|1.0|1.0|3.0|4.17|0.25|3.69|3.19|2.94|1.0|0.0|1.0|9.0|34.0|454.56|0.0|0.0|-4.84|0.00247|1.4499999999999998e-05|0.0066099999999999|3.78|0.0|4.26e-10|1.93e-07|-0.0520399999999999|7.71|-1455.5758039999998|-1455.5497369999998|1334.6|387.13|-1455.165122|2.4594|0.02606651|32.0|7.4949|7.4949
19d_a38|0.0|0|0|0.0|7.412764017000001|2|2|1.297043205|0.013465335|-0.0120676969999999|5.351858133|2|0.0|-0.6999264340000001|-0.011156837|-0.0555594909999999|10.95446448|-0.024688524|1|-0.060668296|-0.128079012|-0.529632789|1|0.7581164340000001|0.853092207|0.908591797|0.730686013|0|-0.116424545|-0.1248815919999999|0.3509455999999999|-74.84120843|-80.2776536|15.53007152|0.36832051|-51.60489663|9.98319831|0.7494816990000001|-48.11018574|94.84426896|-28.24584108|3055.168373|406.0626253|-18.15727844|0.250518301|13.52121974|0.916264002|-980.493036|37.68716585|0.022660131|686.8472757999999|14.56661536|0.0|0.0|1.0|0.0|4.0|4.91|0.13|2.34|1.65|1.65|0.0|0.0|1.0|6.0|33.0|444.46|0.0|0.0|-3.62|0.0594|0.0002399999999999|107.0|1.65|0.0|3.94e-07|0.000175|-0.05091|4.13|-1500.898316|-1500.850957|1171.77|338.89|-1500.621723|7.9959|0.04735828|11.0|7.9586|7.9586
14e_a25|0.0|0|0|0.0|6.842683282|0|0|1.4200152069999998|0.039261746|-0.008591251|4.727387819|2|1.906869097|-0.524066339|-0.00131452|0.002856489|10.93106299|0.011176663|1|0.015497482|0.025802692|-0.50909623|2|0.717460414|0.776960216|0.8322445820000001|0.6954126970000001|1|-0.1011107469999999|-0.1004553119999999|0.448918026|-73.99302943|-73.51338088|10.99497534|0.275949567|-53.79722636|8.046143033|0.806446896|-54.14823405|84.60373462|-28.3735856|3126.080106|529.8614286999999|-20.76384175|0.1935531039999999|16.63781964|0.966676175|-1183.53898|35.18345194|0.015154859|811.3237836|11.09035375|1.0|1.0|1.0|1.0|2.0|3.62|0.07|3.65|4.02|1.69|0.0|0.0|1.0|7.0|35.0|462.5|0.0|0.0|-4.73|0.00337|1.86e-05|0.0085799999999999|3.04|0.0|7.31e-10|3.38e-07|-0.0538|6.51|-1521.012915|-1520.964156|1300.08|312.99|-1520.701142|5.3651|0.04875868|75.0|7.1249|7.1249
12_a1|0.0|0|0|0.0|7.423568444|1|1|1.430936075|-0.0455890429999999|-0.011221829|5.351858133|1|0.0|-0.516204114|-0.0038943009999999|-0.0811332759999999|10.94945122|-0.051772288|1|-0.104622651|-0.173618873|-0.487073772|1|0.8016064479999999|0.749817035|0.817998205|0.7534284040000001|0|-0.0964711209999999|-0.104724018|0.210514881|-55.99493147|-60.78517756|19.60151089|0.234878615|-35.28166588|11.37734536|0.724666653|-32.50125347|74.99749378|-23.15625812|2592.245875|444.1009824|-13.44063462|0.275333347|14.34104294|0.867391557|-564.5066541|31.95435864|0.024485753|473.040639|14.21231622|1.0|1.0|1.0|1.0|1.0|3.29|0.05|4.87|4.41|1.67|0.0|0.0|1.0|3.0|28.0|366.37|0.0|1.0|-4.75|0.00379|1.77e-05|0.00649|3.54|0.0|6.28e-09|2.3e-06|-0.07042|3.67|-1216.12881|-1216.099134|1018.84|390.57|-1215.922313|7.7454|0.0296752|2.95|5.5302|5.5302
6_a4|0.0|0|0|0.0|7.535296702|1|1|1.271761557|-0.19701009|-0.001221193|5.4161004020000005|2|2.186806868|-0.064723237|0.011457667|0.0032928379999999|10.92992785|-0.208689928|1|-0.046166422|-0.073630392|-0.1738111839999999|2|0.664591856|0.76089528|0.810030118|0.664247086|1|-0.052396457|-0.0670158929999999|0.417868437|-29.18838891|-37.33240845|4.324187697|0.054454162|-20.7966895|2.408866521|0.814470803|-16.25991695|42.27020924|-13.71394596|2342.371538|526.7333132|-7.639600225|0.1855291969999999|9.981741408|0.733355042|-374.340411|16.83786074|0.008863911|578.2065561000001|4.937800786|0.0|1.0|1.0|1.0|0.0|3.38|0.26|5.1|5.23|3.09|0.0|0.0|1.0|3.0|27.0|354.45|0.0|1.0|-5.11|0.0043799999999999|7.74e-06|0.00274|4.28|0.0|1.04e-08|3.67e-06|-0.04867|4.11|-1108.585859|-1108.563418|1057.7|307.24|-1108.338577|2.8026|0.02244097|1.3|5.8861|5.8861
