molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|JGI4|MATS7i|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|WNSA4|PPSA1|WNSA2|DPSA1|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
26_a20|0.0|0|0|0.0|1|6.842683282|0|0|1.4165417530000002|1.877209467|-0.000846851|-0.00578453|0.0396875|0.1516835819999999|2.01129617|-0.3297182369999999|10.93106273|-0.033102079|1|0.249416844|0.0346782989999999|-0.446730587|0.7071284179999999|0.7541508029999999|-0.070815554|1|0.79337253|-0.0862808009999999|-0.082729415|0.423153994|-58.21621279|8.604974082|299.8332395|0.20662747|-0.0327795789999999|-37.66339899|5.806030949|80.47551422|-39.28020352|-22.11735334|66.82118688|2825.254798|535.3119506|-1172.219727|-14.92323356|145.1419493|-790.9313788|-384.4457279|1493.485239|1.0|1.0|1.0|1.0|-9.18|4.5|86.69|2.47|125.0|1.0|5.0|-5.14|4.0|-6.28|0.0|1.0|3.66|-5.02|0.00305|0.00399|0.0|0.0|6.64e-10|-0.05097|4.8421|4.97|3.8894|-1352.277633|715.27|318.77|0.2081|256.05|543.96|0.50878|0.68167|-1352.036122|-1352.098465|4.8742|131.0|6.8827|6.8827
6e_a40|0.0|0|0|0.0|1|8.421342866|1|2|0.604892975|1.75595616|0.128035402|-0.0148450439999999|0.039160494|-0.15110197|0.744550501|-0.69771706|10.30179954|-0.205140551|2|-0.276969278|-0.020200684|-0.6319354389999999|0.685858263|0.8361555479999999|-0.011405885|1|0.74620476|-0.107312598|-0.1164147119999999|0.376602018|-70.52033811|10.43262695|185.1473293|0.25379524|-0.04873174|-50.27304895|6.85578763|35.33106374|-46.34235117|-32.02400144|80.95296505|3075.060648|490.3675161000001|-1377.032062|-21.04453212|87.40658058|-904.9148811|-482.3355765|1588.2884390000002|0.0|1.0|0.0|1.0|-4.63|5.02|173.43|2.12|125.15|2.0|5.0|-7.76|5.0|-6.09|1.0|1.0|3.68|-5.58|8.31e-06|0.00124|1.0|0.0|2.35e-05|-0.09682|2.9549|8.35|2.9549|-2831.156883|671.95|419.59|0.3625|419.59|537.07|0.67187|0.67187|-2830.986514|-2831.048968|11.5248|18.0|7.7447|7.7447
12i_a36|0.0|0|0|3.27619957|0|7.412764017000001|2|2|1.2401347459999998|0.0|0.043792895|-0.016027043|0.0438779959999999|0.048138468|0.0|-0.929568494|10.96020192|-0.009876543|1|0.135587069|-0.1187503719999999|-0.608318386|0.647732719|0.820041835|0.141564781|0|0.830964232|-0.0850745409999999|-0.117424873|0.332782117|-54.81607619|12.71877085|108.3973956|0.169035768|-0.045665229|-48.75024044|8.195085212|0.52902639|-35.3196406|-29.42347522|67.53484704|3231.030388|535.4151566|-1588.867662|-18.95842684|148.7565508|-1023.755049|-346.8168661|2065.79896|0.0|1.0|1.0|0.0|-7.14|3.31|78.43|2.04|130.43|1.0|7.0|-5.2|8.0|-6.4|0.0|0.0|2.65|-5.07|0.00291|4.0|0.0|0.0|7.24e-08|-0.05065|5.2297|4.86|3.7496|-1645.171438|666.79|330.66|0.5402|237.08|504.47|0.34255|0.70134|-1644.954647|-1645.017702|6.6124|12.0|7.9208|7.9208
12ac_a36|0.0|0|0|3.4419617660000004|0|7.412764017000001|2|2|1.297043188|0.0|-0.050997272|-0.007639626|0.042560386|0.03586247|0.0|-0.450737917|10.95345846|-0.0121300989999999|1|0.060445359|-0.098698552|-0.433636165|0.8058720979999999|0.811459853|0.135371136|0|0.779673368|-0.080202334|-0.104391657|0.4712820929999999|-55.68500110000001|14.93372351|118.0445703|0.220326632|-0.036062573|-50.32319912|10.36858115|20.70356046|-38.66245764|-25.03847816|70.61872461|2902.588755|541.3322795|-1377.116299|-17.38437788|186.3198219|-956.1407834|-321.66684580000003|1882.216294|0.0|0.0|1.0|0.0|-6.89|3.16|86.27|1.59|133.95|1.0|6.0|-3.81|5.0|-7.21|0.0|0.0|1.84|-3.95|0.0653|0.0476|0.0|0.0|1.29e-07|-0.0527399999999999|3.8843|4.84|3.8594|-1385.566143|711.77|321.25|0.3302|319.2|554.84|0.56186|0.56357|-1385.3211789999998|-1385.382927|5.4387|13.0|7.8861|7.8861
8a_a32|0.0|1|1|3.217128449|0|7.773594467000001|0|0|0.609420757|0.0|-0.0755556459999999|-0.010151321|0.04008547|-0.0281981579999999|2.059960334|-0.497414715|10.31100269|-0.128684642|3|-0.050766252|-0.0852122769999999|-0.591393096|0.788133615|0.845443342|-0.184419911|1|0.814553726|-0.083474428|-0.109412858|0.221908108|-52.34893512|11.48993376|73.64907732|0.185446274|-0.035678106|-43.03057598|7.205629442999999|66.81560596|-32.82934751|-22.37464674|63.83886888|2574.085885|510.8273411|-1029.23375|-14.03170956|157.3554684|-645.4586397|-312.4144752|1373.988797|1.0|1.0|1.0|1.0|-7.65|6.49|140.04|1.37|110.69|1.0|7.0|-6.82|4.0|-5.76|1.0|1.0|4.07|-4.99|6.03e-05|0.00406|0.0|0.0|2.23e-08|-0.06166|3562.0|4.98|3562.0|-1880.732222|667.29|348.07|0.4315|348.07|566.07|0.70316|0.70316|-1880.536478|-1880.595748|7.6703|45.0|7.3468|7.3468
18b_a25|0.0|0|0|0.0|1|6.842683282|0|0|1.194228955|1.824998189|-0.147813831|-0.003259453|0.038137255|-0.018632104|2.003993644|-0.189048258|10.31286058|0.0009956189999999|1|-0.032776381|-0.034703635|-0.303383008|0.721100414|0.7723870909999999|-0.026045966|1|0.936253893|-0.063132226|-0.078644297|0.348987182|-44.30110081|8.972372556|80.36582704|0.063746107|-0.0305838929999999|-38.7252349|6.296086869|0.0|-31.08693686|-21.46130777|53.27347337|3051.645565|656.9874135|-1158.910619|-15.05981357|151.02439719999998|-813.229933|-399.6704921|1476.7341199999998|1.0|1.0|1.0|1.0|-9.84|5.93|111.51|2.2|138.56|1.0|6.0|-6.54|4.0|-5.93|0.0|1.0|4.35|-5.71|0.000132|0.000899|0.0|0.0|1.4500000000000002e-10|-0.07066|5.5437|4.32|3.6826|-1767.494087|728.12|336.67|0.2658|223.65|612.24|0.36733|0.54166|-1767.2232149999998|-1767.286778|2752.0|51.0|7.2924|7.2924
9g_a24|0.0|0|0|2.931798469|1|7.273092596000001|0|0|1.427608366|1.7647373919999998|-0.318471716|-0.00106361|0.0279797979999999|-0.162313932|0.0|-0.0425444|10.96318169|-0.02471184|2|-0.292600863|-0.0273623029999999|-0.079421802|0.683676657|0.7931626959999999|0.13372961|0|0.8671367529999999|-0.064835725|-0.065668047|0.383340003|-32.080056199999994|9.283063574|174.88817269999998|0.132863247|-0.021297745|-16.07665151|4.593165278|0.0|-15.87288497|-10.53790724|41.36311977|2123.257348|429.0504306|-389.9025677|-5.214049137|256.3375151|-192.9198181|17.88521849|809.0499476|1.0|0.0|1.0|1.0|-6.43|2.91|72.28|0.64|87.53|1.0|3.0|-2.49|4.0|-7.17|0.0|0.0|1.93|-3.09|977.0|247.0|0.0|0.0|3.720000000000001e-07|-0.03585|5.2521|0.75|4.2802|-984.5565078|524.03|289.67|0.2444|236.07|400.47|0.4227399999999999|0.64993|-984.447764|-984.497752|4.4131|68.0|7.1675|7.1675
13b_a50|0.0|1|1|0.0|2|7.934155233999999|2|2|1.267593379|4.253030728|-0.067327798|-0.003876697|0.032833333|-0.0204949039999999|2.117002752|-0.263615417|10.94500743|-0.054716607|2|-0.03182432|-0.173463805|-0.319215353|0.749187803|0.788327682|-0.041506802|1|0.906164013|-0.051509874|-0.080785633|0.435064196|-36.81915624|14.22401427|104.0753113|0.093835987|-0.026928544|-41.27630533|10.16729727|150.45293569999998|-26.31826007|-19.24847021|51.04317051|3036.874979|647.7242444|-1212.6536230000002|-13.75876844|214.1461224|-866.8024118999999|-286.5057775|1731.347493|1.0|1.0|1.0|1.0|-7.23|4.24|66.99|2.52|133.36|1.0|7.0|-5.02|5.0|-6.3|0.0|0.0|3.99|-5.1|0.0044|0.00361|0.0|0.0|5.87e-08|-0.02606|4.2315|3.63|4.1161|-1470.3699789999998|780.4|301.22|0.1589|293.0|617.26|0.65332|0.63872|-1470.039226|1470.104535|7.1645|1.83|5.7375|5.7375
12c_a31|0.0|0|0|3.387641566|0|7.765993078999999|1|1|0.6101358029999999|0.0|0.046986783|-0.013026643|0.040982906|-0.030192572|0.0|-0.690412101|10.311698300000002|-0.056866055|2|-0.048694677|-0.138799714|-0.54466023|0.8083148840000001|0.842823186|0.066071056|0|0.665463503|-0.104643824|-0.129736755|0.343619017|-66.41224264|19.38414321|153.400467|0.334536497|-0.036326291|-52.25551342|12.30215386|553.8695417|-42.14855504|-23.05449459|85.79638585|2592.4503010000003|422.3366652|-1152.7247289999998|-14.63154376|202.0036947|-731.5771879|-230.6429907|1690.934456|1.0|1.0|1.0|1.0|-7.24|5.64|117.37|1.08|108.16|1.0|8.0|-5.23|5.0|-6.53|0.0|1.0|3.32|-4.16|0.00233|0.0277|0.0|0.0|5.79e-08|-0.0338399999999999|3.8328|4.6|3.8328|-1618.112841|679.71|323.48|0.2625|323.48|578.69|0.7007399999999999|0.7007399999999999|-1617.888981|-1617.951882|2.2908|0.38|6.4202|6.4202
4o_a46|0.0|0|0|0.0|1|7.825245291|1|1|1.13463699|2.138144369|-0.24479566|-0.000627744|0.043320988|-0.2363624889999999|0.0|-0.032014955|10.93828256|-0.06855792|1|-0.376106593|-0.018058762|-0.096073163|0.626333846|0.7699448320000001|-0.121466731|0|0.950732618|-0.0648126359999999|-0.06570509|0.372146122|-35.54402423|5.332434441|5.821925821000001|0.049267382|-0.021901697|-19.76117845|2.9243708|31.19780621|-19.49276784|-12.01115223|40.87645867|2195.436986|521.3931342|-576.535307|-6.587059484|136.5432529|-316.1788552|-275.3254498|767.6690487000001|0.0|1.0|1.0|1.0|-7.26|4.77|54.5|2.72|103.66|1.0|2.0|-4.91|3.0|-5.51|0.0|1.0|3.92|-4.87|0.00422|0.0045899999999999|0.0|0.0|5.5e-08|-0.04627|4.3255|3.76|4.3255|-1070.428722|581.59|286.64|0.1598|286.64|501.08|0.6843|0.6843|-1070.223416|-1070.276387|4.8244|162.0|6.7905|6.7905
