molecula|SddssS|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA5|PPSA3|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|FPSA5|DPSA1|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
13c_a6|0.0|0|3.441255118|0.0|0|1|1|1.424213869|0.0|-0.046663393|-0.010619065|-0.0122495089999999|0.049627353|0.0|-0.003346018|10.95129637|1|1|-0.000899678|-0.106686991|-0.174259072|1|0.845481322|0.085414885|-0.167542194|0.8353837409999999|0.7995080809999999|0.786809832|-0.093635525|-0.111231609|0.22875443|-75.71763296|20.79409503|0.213190168|145.12291069999998|14.15496611|567.1031411|0.772032541|-2.11340057|88.21184769|-27.1440571|2880.850692|535.5975578|-18.47751526|0.2279674589999999|8.038175951|15.07660437|0.018354398|-370.3562372|12.49421473|1.0|1.0|1.0|1.0|2.0|-9.4|5.38|4.57|95.85|0.0|121.6|1.0|6.0|-5.88|0.0|0.0|1.0|3.64|-5.27|0.000471|5.42e-06|0.00229|0.0|3.96e-10|5.992000000000001|3.6519|-1389.39897|-1389.371325|719.8|1217.77|206.92|0.48478|0.7008800000000001|-1389.122252|-0.14975|7.7129|-0.1999|0.0276450999999999|-1389.184603|9.2467|7.1367|7.1367
32_a47|0.0|1|0.0|0.0|1|1|1|1.216307925|1.998170616|-0.1746026239999999|-0.003573735|0.000921003|-0.013510009|1.6507707980000002|0.001861676|10.95005715|1|1|0.002350172|-0.077485193|-0.157688306|2|0.6636125860000001|-0.0094137619999999|-0.078006445|0.858292442|0.634406338|0.851627782|-0.05770007|-0.0726950079999999|0.266433793|-52.38450683|13.90468487|0.148372218|106.9180086|10.01980854|44.50423685|0.64116122|-1.381205148|68.76811937|-18.77935151|2808.210157|613.6886524|-13.53252578|0.35883878|8.656942728999999|15.53902041|0.022735861|-203.4434306|16.38361254|1.0|0.0|1.0|1.0|2.0|-8.82|4.18|5.07|67.66|0.0|125.17|1.0|5.0|-6.34|0.0|0.0|1.0|3.94|-5.05|0.00674|8.89e-06|0.0038799999999999|0.0|1.5e-09|4.9046|3.6829|-1778.127634|-1778.0970140000002|692.49|1184.76|252.79|0.48011|0.68986|-1777.843462|-0.1509599999999999|4.8234|-0.20778|0.03062031|-1777.90286|6.3139|7.0|7.0
8e_a12|0.0|1|0.0|0.0|1|1|1|1.283834633|1.873617728|0.050021617|-0.006350143|-0.049397555|0.0661362779999999|2.197856963|0.005196034|10.94458094|1|1|0.005744805|-0.079913108|-0.136145064|1|0.83954453|-0.036433876|-0.051240735|0.815412281|0.797199175|0.939627917|-0.05202522|-0.087795345|0.001151979|-50.273571200000006|8.884082475|0.060372083|34.57040021|5.0872236|0.0|0.7112578709999999|-1.492520871|61.4656313|-17.80522313|2548.979738|538.051884|-10.19566754|0.2887421289999999|6.446557205|11.80358346|0.019545275|-241.94192880000003|11.19206011|1.0|1.0|1.0|1.0|1.0|-7.93|3.34|2.68|55.1|0.0|117.04|1.0|3.0|-6.03|0.0|1.0|1.0|3.12|-4.69|0.0156|2.03e-05|0.00744|0.0|1.19e-08|5.247999999999999|3.3044|-1177.619013|-1177.593205|612.59|1048.44|236.25|0.38889|0.6954899999999999|-1177.380602|-0.13599|1.0295|-0.19338|0.02580783|-1177.436953|1.9327|6.2306|6.2306
18_a47|0.0|1|2.969619451|0.0|0|0|0|1.414391819|0.0|-0.141396999|-0.004337918|-0.06345679|-0.026357805|1.5913490630000002|0.0008454789999999|10.93838451|1|1|0.0015586929999999|-0.02470455|-0.053119347|3|0.646771311|-0.059779939|-0.027351545|0.851462739|0.630969651|0.777824025|-0.078937385|-0.084415066|0.454324931|-52.88049505|9.234746417|0.222175975|139.1786571|5.784962137000001|3.684585007|0.7327484470000001|-1.5194711930000002|63.72933669|-19.03697822|2800.3745940000003|487.2556678|-11.9254166|0.267251553|7.018342267|12.35791568|0.017318402|-291.6032324|10.84884165|1.0|0.0|1.0|1.0|2.0|-10.36|5.53|6.0|79.38|0.0|119.78|0.0|4.0|-5.87|1.0|0.0|1.0|4.16|-5.37|0.00129|4.29e-06|0.00176|0.0|4.34e-11|4.2668|4.2222|-1354.221126|-1354.180815|652.12|1130.76|290.58|0.4659|0.63359|-1353.979194|-0.17349|3.4464|-0.22313|0.04031146|-1354.037606|5.3433|8.6|8.6
14d_a23|0.0|1|0.0|0.0|2|0|0|1.197963465|3.405551724|0.058368697|-0.005343003|-0.026530366|0.03253552|0.758207139|0.01269616|10.313217800000002|2|2|0.01180744|-0.074441567|-0.136106024|2|0.725800261|0.006563565|-0.088996384|0.829764975|0.6906097959999999|0.921694462|-0.053736319|-0.078282292|0.213597535|-51.58357156|12.25371621|0.078305538|51.59888942|8.074501042|83.40396369|0.790346608|-1.6439281280000002|61.49227899|-21.66510006|2878.955374|607.3441532|-14.27606695|0.209653392|7.832720777|14.358677900000002|0.015037275|-382.6437544|9.908707432|0.0|1.0|1.0|1.0|1.0|-7.78|3.88|4.33|105.02|1.0|125.25|1.0|5.0|-6.1|0.0|0.0|0.0|3.8|-5.25|0.000608|5.61e-06|0.0023899999999999|0.0|1.65e-08|3688.0|8.1555|-1669.24571|-1669.224874|696.21|1186.17|336.18|8.1555|8.1555|-1668.983743|-0.14894|5.6156|-0.22152|0.02083626|-1669.045136|8.1555|8.4001|8.4001
LY364947_a10|0.0|0|2.949609552|0.0|0|0|0|1.390175303|0.0|-0.278922508|-0.00235945|-0.00390904|0.0938628109999999|2.084955541|0.007575|10.9303125|1|1|0.006909045|0.04209715|0.072909639|2|0.706034038|-0.072740964|-0.012096774|0.7792035190000001|0.681525895|0.8431045490000001|-0.076999385|-0.075303751|0.449473391|-33.26705198|4.275500834|0.156895451|69.31194102|1.88879448|0.0|0.7234846559999999|-0.978948758|41.53157099|-13.10520229|1896.845282|372.4595738|-5.78950507|0.276515344|4.702575386|9.161732895|0.018707677|-197.4583104|8.264519015|1.0|0.0|1.0|1.0|1.0|-7.2|3.97|3.69|54.46|0.0|82.56|1.0|2.0|-6.02|0.0|1.0|1.0|2.8|-3.86|0.0789|0.000137|0.0374|0.0|6.31e-08|||||||||||||||||7.2291|7.2291
10_a27|0.0|0|0.0|0.0|2|0|0|1.400533489|3.383341915|0.122016352|-0.006285923|-0.044164147|-0.184068581|1.296293777|0.00991794|10.93783185|1|1|0.010329671|-0.2030237389999999|-0.341622797|2|0.639413469|0.129719095|-0.001453596|0.862408925|0.614205449|0.8526621529999999|-0.061299064|-0.087022238|0.346344305|-46.27574168|9.399794974|0.147337847|78.34972221|4.998521009|49.19800605|0.7453606909999999|-1.305333567|55.05868025|-16.5270506|2270.538352|453.4194305|-8.788575695|0.254639309|6.761146212000001|12.9316403|0.01651645|-260.9504933|8.782938574|0.0|1.0|0.0|1.0|0.0|-6.24|2.81|2.97|65.6|0.0|97.39|1.0|3.0|-6.51|0.0|1.0|1.0|2.74|-3.92|0.0882|0.0001189999999999|0.0394|0.0|5.81e-07|4.1495|4.1495|-1083.137871|-1083.1151289999998|573.31|958.95|298.79|0.63894|0.63894|-1082.956472|-0.16805|4.6684|-0.21785|0.0227416|-1083.008551|6.9456|7.1612|7.1612
12_a15|0.0|0|0.0|0.0|0|0|0|1.435689014|0.0|-0.071096525|-0.006620824|-0.0455566929999999|-0.035728911|0.0|0.001740635|10.95973444|0|0|0.0034254209999999|-0.120626133|-0.184255041|2|0.8310685940000001|0.049877871|-0.019064393|0.769289315|0.7933685340000001|0.89637291|-0.061084417|-0.094209248|0.738437971|-60.15445365|9.58943236|0.10362709|66.16793071|6.123040777999999|4.192089814|0.746489397|-1.695766456|70.6606311|-20.42981445|2613.57759|572.3516967|-13.04483751|0.253510603|5.448223888999999|10.40571107|0.016453962|-314.7766363|10.50617745|1.0|0.0|1.0|1.0|1.0|-9.82|5.32|6.3|56.27|0.0|119.95|1.0|6.0|-4.97|1.0|0.0|1.0|4.7|-5.83|0.0002379999999999|1.47e-06|0.000584|0.0|1.51e-10|4.4819|3.8538|-1281.087109|-1281.060163|688.91|1177.81|276.63|0.50595|0.70444|-1280.810963|-0.15858|4.3338|-0.19054|0.02694613|-1280.871722|6.0547|8.3979|8.3979
8c_a31|0.0|0|3.435435563|0.0|0|1|1|0.610137334|0.0|-0.012583838|-0.01275867|-0.104377029|-0.106461724|0.0|-0.0080009219999999|10.31169969|2|2|-0.004832959|-0.053983462|-0.09039853|0|0.922486359|0.006000201|-0.1759864119999999|0.896193695|0.87237334|0.626072761|-0.1170607269999999|-0.128067781|0.280934088|-70.64275621|16.3656112|0.3739272389999999|206.2599245|9.027343766|477.2277896000001|0.72308253|-1.66488115|82.77037329|-21.86561502|2251.08563|345.3445134|-12.06117028|0.27691747|6.820988495|12.99457133|0.021986076|-246.1066271|12.12761708|1.0|1.0|1.0|1.0|2.0|-6.13|4.89|3.13|114.29|0.0|93.45|1.0|5.0|-6.7|0.0|0.0|1.0|2.83|-3.63|13.0|0.000237|0.0811|0.0|7.45e-07|3.8492|3.8492|-1426.166503|-1426.129055|595.67|981.89|322.11|0.7005|0.7005|-1425.968408|-0.15985|3.3453|-0.19207|0.03744829|-1426.024361|5.1815|6.0915|6.0915
7d_a10|0.0|0|0.0|0.0|1|1|1|1.34384996|2.087763133|-0.117302383|-0.00179944|-0.017919404|-0.042667459|1.591760572|0.00870171|10.929819300000002|1|1|0.008513576|-0.041520889|-0.089622042|2|0.531023495|0.0658971929999999|-0.051603612|0.869684772|0.525816226|0.841052067|-0.059327943|-0.070901708|0.421731106|-37.61597161|5.567989142999999|0.158947933|84.32774259|2.9540236560000004|89.87999909999999|0.729585423|-1.063525614|45.08492005|-13.12185056|2348.343588|446.2091497|-6.961625817000001|0.270414577|6.100927672|11.82615475|0.014078094|-243.607074|7.468948447000001|1.0|1.0|1.0|1.0|0.0|-7.83|4.92|4.97|43.6|0.0|100.04|1.0|2.0|-5.83|0.0|1.0|1.0|3.95|-4.72|0.0206|1.9e-05|0.00654|0.0|1.46e-08|5.8433|3.8856|-1129.198363|-1129.175857|574.87|970.29|212.18|0.32059|0.68393|-1129.003694|-0.1633099999999999|3.0178|-0.21965|0.02250617|-1129.0552810000002|3.4695|6.0325|6.0325
