molecula|NaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|AATSC1are|MATS8i|n5aHRing|AATSC7i|MATS1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log Po/w MLOGP|Leadlikeness|Veber filter|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
21a_a23|0|0.0|2|7.525639975|0|1.197963603|3.43622302|0.1049806919999999|-0.038876045|2|0.042862319|0.01269616|-0.133417036|2|0.130024255|-0.074441567|2|0.725800261|0.7367638240000001|0.1022509819999999|-0.137122549|0.79188323|1|0.926538469|-0.082341001|0.011564247|-34.01266735|-54.35891011|7.634348008|39.56172507|48.49696614|-35.88602363|-22.45408125|61.73864319|-22.83074225|0.492301762|2880.257677|611.67123|2272.736256|-15.07212993|0.157878617|7.950891003|6464.524241|104.2264415|-753.6064963|27.11098744|0.011178565|-451.7153132|1355.5493720000002|7.379733085|0.0|1.0|1.0|1.0|3.53|3.48|3.24|2.0|0.0|5.0|31.0|4.0|0.0|0.0|3.78|1.3e-06|0.000552|0.0|0.0|1.65e-08|7.03e-06|3.6993|3.75|3.6993|-1669.250866|-1669.23053|701.01|1189.63|335.16|0.60824|-1668.989671|0.3692|0.0203361|-1669.0502720000002|7.9309|102.0|6.9914
47g_a18|0|0.0|0|7.03438793|1|1.251175676|0.0|-0.005500039|-0.034211867|0|0.031179487|0.0036509859999999|0.033759227|0|-0.071877686|-0.264839041|0|0.765824398|0.750610215|-0.009917608|-0.014370598|0.780474694|0|0.834424154|-0.08547236|0.013404131|-55.35188184|-72.53379954|11.37505183|111.5517627|140.5114492|-61.55384106|-46.97287277|86.33162323|-24.79003275|0.4913566339999999|3367.0578530000003|708.1114197|2268.439188|-21.03738872|0.268129223|10.33698377|7870.887027|227.5405903|-1661.953709|33.87214455|0.016259076|-393.5416883|2675.8994190000003|13.79782369|1.0|0.0|1.0|1.0|4.87|0.0|2.79|3.0|1.0|13.0|40.0|4.0|0.0|0.0|2.83|7.76e-07|0.000421|1.0|1.0|6.04e-10|3.27e-07|3.0965|8.13|3.0965|-1743.375845|-1743.346243|905.71|1604.37|400.4|0.69828|-1742.7686640000002|0.5955|0.02960182|-1742.847918|5.9864|9.0|8.0458
14a_a25|0|0.0|1|6.842683282|0|1.420015394|1.667057351|-0.092005241|-0.05112778|2|0.038167849|0.006085806|-0.046802062|1|0.085350921|-0.0469914379999999|2|0.6716839040000001|0.7385460309999999|-0.085643386|-0.035531959|0.792935475|1|0.850426305|-0.084207356|0.012870836|-45.72658614|-55.27820709|8.449104086|107.22698590000002|98.18816423|-36.28756839|-30.017374100000005|63.96772039|-21.90268583|0.492236681|2844.993903|558.2652611000001|2142.5112510000004|-14.37809314|0.193247006|7.39139255|6315.975408|126.8576588|-762.0389362000001|27.14918443|0.01323706|-402.7381076|1438.906775|8.689513304|1.0|1.0|1.0|1.0|3.43|3.06|2.47|2.0|0.0|6.0|32.0|4.0|0.0|0.0|3.81|4.03e-06|0.0016899999999999|0.0|0.0|2.58e-10|1.08e-07|5.3631|5.79|3.9479|-1352.298438|-1352.265931|689.55|1202.13|231.18|0.42461|-1352.024616|0.1756|0.03250632|-1352.086073|4.1656|207.0|6684.0
13_a1|1|0.0|0|7.423568444|1|1.430073963|0.0|-0.046530797|-0.144782061|1|0.036382114|-0.008672236|-0.0594321759999999|1|0.1769162319999999|-0.07665159|1|0.87703849|0.76714213|-0.051729721|-0.150485437|0.825117597|0|0.6794604670000001|-0.10668313|0.033737733|-64.94184903|-62.04288975|19.62059449|148.7311076|186.4137189|-36.08180773|-37.76773325|77.55889436|-23.43842502|0.477212829|2555.623166|395.1486144|1786.445642|-13.63090514|0.291737016|7.493979856|5456.353212|169.6632599|-613.3907313999999|33.09282789|0.026679865|-242.2358135|1489.177255|15.51600461|1.0|1.0|1.0|1.0|3.35|2.83|1.74|1.0|0.0|4.0|28.0|5.0|0.0|0.0|3.23|5.16e-05|0.0192|0.0|0.0|1.14e-08|4.24e-06|4.0783|3.17|3.4483|-1238.395767|-1238.367298|613.52|1035.04|304.01|0.65363|-1238.174491|0.3535|0.0284695999999999|-1238.22919|3.9446|0.26|6585.0
1g_a5|1|0.0|0|6.605297921|0|1.4275159730000002|0.0|-0.203595168|-0.010620031|2|0.027447447|0.00683534|-0.132678208|1|-0.019057802|-0.010807075|2|0.74740095|0.7778380309999999|0.030722968|-0.067172264|0.8393686990000001|0|0.8659209659999999|-0.074361785|0.020418692|-37.59983870000001|-39.8807456|10.9506874|74.51397212|71.90752413|-21.388323|-20.16505667|54.34919851|-14.59051668|0.4713154089999999|2243.103668|464.3994751|832.7655896000001|-7.824996219|0.38606657|7.312498266|4639.260975|207.0502037|-320.82484500000004|23.76563316|0.02697793|-122.2065919|974.3909596|14.46845291|1.0|1.0|1.0|1.0|2.79|2.12|1.57|0.0|0.0|4.0|25.0|4.0|0.0|1.0|3.09|9.27e-05|0.0304|0.0|0.0|7.190000000000001e-09|2.36e-06|4.7822|2.61|4.1733|-1065.846194|-1065.818889|572.15|961.17|259.26|0.4386899999999999|-1065.675316|0.0504|0.02730461|-1065.727193|5.2707|115.0|6.9393
7_a3|0|0.0|0|6.823286122000001|0|0.60501656|0.0|0.198126776|-0.106234254|2|0.03757716|-0.007540435|0.054347129|1|-0.084462575|0.020589494|2|0.881253042|0.790667152|-0.224253635|0.0507482109999999|0.8632654590000001|1|0.782294598|-0.096448591|0.009708941|-51.18177092|-47.72824381|4.804535747|230.9407974|107.7330046|-23.61864737|-25.32764885|55.15105143|-18.2490344|0.3987206729999999|2196.07224|387.1238241|1952.029549|-9.030659289|0.2007853889999999|5.198046584|5055.700186|99.36002106|-307.0424158|22.83370969|0.0149999089999999|-296.13678660000005|776.3461295|7.422807617|1.0|1.0|1.0|1.0|3.02|2.61|2.11|1.0|0.0|2.0|23.0|3.0|0.0|0.0|3.63|3.67e-06|0.00124|0.0|0.0|3.28e-08|1.11e-05|5.8849|3.09|3.4435|-1731.7341420000002|-1731.703107|522.73|883.88|210.68|0.3456|-1731.602893|0.1262|0.03103579|-1731.651178|3.9813|1023.0|5.9901
1l_a5|1|0.0|0|6.605297921|0|1.270375394|0.0|-0.244609612|-0.0052651969999999|2|0.025672515|0.008244856|-0.019865028|1|-0.179824092|0.0271820189999999|2|0.7245669790000001|0.7656671279999999|-0.174469948|-0.091849662|0.818803517|0|0.890289002|-0.067755283|0.0078543119999999|-38.79937717|-38.27406105|4.43679678|167.86839980000002|61.974288|-21.62050954|-21.91725365|45.64819758|-14.9768065|0.47265823|2227.730859|502.9124512|903.1631908|-8.460199385|0.230593886|7.401206343999999|4665.793689|130.25942849999998|-389.1691717|19.46541135|0.013054186|-304.3678822|895.4089219|7.374136537999999|1.0|0.0|1.0|1.0|2.98|2.67|2.57|1.0|0.0|4.0|26.0|3.0|0.0|1.0|4.06|9.06e-06|0.00308|0.0|0.0|1.4800000000000003e-09|5.02e-07|4.6403|3.89|4.3664|-1069.261615|-1069.229786|609.85|1033.47|267.19|0.45892|-1069.047151|187.0|0.03182983|-1069.101032|3.3694|32.0|7.4949
12_a47|1|0.0|0|6.605297921|0|1.304330736|0.0|-0.155854903|-0.078935336|2|0.036632997|-0.0047488359999999|-0.018573056|1|0.003417588|-0.006318684|2|0.6505449670000001|0.8288334490000001|0.055943216|0.050943962|0.90246604|1|0.7840710409999999|-0.091853238|0.018014416|-44.18983348|-47.83891561|9.382250925|63.89392714|112.4599133|-24.91541818|-23.01490672|61.09751253|-17.76874008|0.4792593739999999|2266.78114|408.3591283|702.3796319|-9.25429818|0.319276179|7.042279354|4816.005822|166.28511369999998|-323.9004363|26.10271529|0.025457205|-188.2488142|913.5950352|13.25859692|1.0|0.0|1.0|1.0|2.73|1.67|2.6|0.0|0.0|3.0|24.0|4.0|0.0|1.0|3.37|3.11e-05|0.0106|0.0|0.0|7.69e-09|2.61e-06|4.2907|3.01|3.9538|-1488.101254|-1488.064043|537.79|886.46|288.96|0.66387|-1487.974738|0.2241|0.03721125|-1488.024564|3.5884|6.0|8.2
13f_a6|1|0.0|0|6.842683282|0|1.429020649|0.0|-0.088329567|-0.008507023|2|45.0|-0.003356527|-0.071478789|1|0.079490516|-0.126749697|2|0.841211811|0.77199166|-0.028317736|-0.088948538|0.834167942|1|0.863222493|-0.092939631|0.018554018|-49.2635105|-62.41821579999999|12.46087045|62.42897239999999|91.85971442|-41.92004677|-33.08535238|75.61173794|-22.02995852|0.401838426|2869.925064|579.7398537|3253.287533|-14.79531062|0.279288145|9.050440345|6128.208571|187.5697972|-754.5608419|30.56694343|0.0196449239999999|-296.4599736|1558.914115|13.19352214|1.0|1.0|1.0|1.0|3.56|2.21|0.92|1.0|0.0|5.0|32.0|5.0|0.0|0.0|3.19|7.74e-06|0.00323|0.0|0.0|6.59e-11|2.75e-08|4.8413|3.36|3139.0|-1347.301285|-1347.266914|711.29|1202.78|256.1|0.49643|-1347.018087|0.0048|0.03437105|-1347.0794119999998|13.9612|42.0|7.3768
14ac_a23|0|-9.994971573|2|7.423568444|0|1.1979507740000002|2.7104403130000003|0.0763230759999999|-0.4422550999999999|2|0.048351548|-0.0066006519999999|0.0518788009999999|2|0.068237909|-0.069765112|2|0.5562570379999999|0.7797862459999999|0.1374474|0.054652466|0.834426845|1|0.931143634|-0.097100967|0.016832361|-66.72452104|-73.32014595|12.70997824|57.45545019|51.99287907|-55.36344264|-50.3831402|87.75911516|-33.20157553|0.489147172|3695.344378|703.0989434999999|3417.45156|-25.07023818|0.192217908|8.122941134|9203.543798|145.1421706|-1328.722623|41.10214358|0.019122137|-464.8074813999999|2178.41361|14.43896921|1.0|1.0|1.0|1.0|3.69|3.34|4.6|2.0|0.0|7.0|38.0|10.0|1.0|0.0|5.43|4.92e-08|2.69e-05|0.0|2.0|9.25e-10|5.06e-07|4.0014|4.93|3.6325|-2304.001319|-2303.9786940000004|751.54|1285.58|309.85|0.6408|-2303.749331|0.2391|0.02262555|-2303.819891|8.6341|4.0|8.3851
