molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|GATS1are|BIC2|SIC2|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA3|GeomPetitjeanIndex|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
13_a15|0.0|0|0|0.0|0|0.0|1|1|-0.139434143|-0.006348913|0.0|-0.031457366|3|0.029206349|-0.006938727|-0.393632585|-0.031047852|10.95980212|0.005149745|0|0.003766915|-0.010882979|-0.173728081|0.843715005|0.729838386|0.7784213259999999|0.8854875790000001|-0.068526782|-0.098053528|0.016196467|-43.2365883|10.21906987|0.114512421|-39.03420883|6.447664726|0.0|0.755283433|-27.279882500000003|53.45565817|0.482317225|3581.589629|-13.46007201|0.244716567|5.21465994|10.07307988|7196.400881999999|154.4025434|-780.6841766|0.01672103|1638.227985|830.7967967000001|10.55004024|1.0|1.0|0.0|1.0|4.19|0.07|24.0|-8.9|4.33|6.69|59.51|0.0|6.0|4.0|448.52|0.0|0.0|-6.1|4.77e-07|0.000214|5.32|0.0|5.7e-07|-0.03946|3942.0|5.04|2.5721|-1450.727602|674.36|1231.11|208.0|0.63827|0.70626|0.0003|-0.15229|0.02844037|8.2218|8.2218
4c_a49|0.0|0|0|0.0|1|7.535296702|1|1|-0.048954892|-0.0057600559999999|5.4161004020000005|-0.044371138|2|0.03583878|-0.099764463|-0.339843311|-0.102999091|10.92777281|0.006194124|1|0.00202792|-0.163476035|-0.001005604|0.7745214140000001|0.7796063109999999|0.826523164|0.76159824|-0.087753156|-0.086290519|0.012079228|-56.5385923|7.782541015|0.23840176|-35.82016427|5.014223225|59.70585149|0.724053828|-36.42732137|64.32113331|0.473304159|1683.872161|-12.37423857|0.275946172|8.474369008|16.089682800000002|6046.668361|177.78970959999998|-680.5831211|0.0173567219999999|1458.908567|707.2397315000001|11.182784300000002|1.0|1.0|1.0|2.0|2.97|0.25|21.0|-7.97|3.55|3.19|98.72|0.0|7.0|5.0|412.49|0.0|1.0|-3.58|0.000314|0.13|1.81|0.0|4.4e-06|-0.0623299999999999|5.74|3.04|3.8067|-1332.607539|705.55|1199.04|0.2411|0.4164199999999999|0.67789|0.0821|-0.22158|0.03969431|6.5935|6.5935
47d_a18|0.0|0|0|0.0|0|7.03438793|1|1|-0.017398129|-0.006087337|4.844187086|-0.041876322|0|0.032916667|0.069914568|-0.480899596|-0.07722825|10.94702255|0.016324953|0|0.005144085|0.104380139|-0.272202025|0.7640994990000001|0.7430748709999999|0.773981237|0.836999127|-0.06394156|-0.087315963|0.015270278|-52.14267013|12.45251265|0.163000873|-58.06490563|10.15469843|58.93717545|0.69814381|-42.52098397|64.59518279|0.481311892|1947.023498|-19.1002979|0.30185619|9.940531282|19.16475647|7780.945962999999|246.1558296|-1451.622641|0.018506261|2549.757058|1255.618298|15.0913716|1.0|1.0|1.0|2.0|0.0|0.32|18.0|-8.83|2.81|3.21|88.97|1.0|12.0|4.0|527.66|0.0|0.0|-5.28|1.83e-06|0.000968|4.16|1.0|7.790000000000001e-07|-0.04561|3.1079|8.08|3.1079|-1704.0327519999998|875.6|1544.09|0.5820000000000001|0.69905|0.69905|0.5820000000000001|-0.17405|0.02826074|8.0969|8.0969
8_a15|0.0|0|0|0.0|0|0.0|0|0|-0.208657545|-0.009853404|0.0|-0.044406425|1|0.039181287|0.155304204|-0.5025236129999999|-0.010146469|10.95880707|-0.014489333|0|0.003160815|0.225620047|-0.203104439|0.85357243|0.7059441040000001|0.742680335|0.853896482|-0.071552706|-0.118293578|0.0336657729999999|-41.7821007|19.65860939|0.146103518|-40.33569847|11.47934212|55.99586988|0.519427411|-24.39801408|61.44071008|0.389723411|1919.535904|-9.878130237|0.480572589|6.093505548|9.984825987|5306.2234530000005|280.62296039999995|-484.0283816000001|0.035495625|1595.8121130000002|532.0914339999999|20.72712321|1.0|1.0|0.0|1.0|3.76|0.19|18.0|-7.57|3.9|4.95|61.84|0.0|7.0|5.0|366.41|1.0|1.0|-4.81|5.63e-06|0.00206|4.24|0.0|9.86e-06|-0.02723|4.4346|3.36|3.7426|-1223.687714|598.84|1050.15|251.0|0.5128|0.70524|0.0155|-0.18303|0.01719864|6.9666|6.9666
18c_a22|0.0|0|0|0.0|1|6.842683282|0|0|-0.191807441|-0.003749104|4.727387819|0.013131848|2|0.038137255|-0.044828537|-0.213698903|0.009519672|10.31286086|0.006275578|1|0.005597023|-0.081550274|-0.078828791|0.7290394929999999|0.7669483559999999|0.8287956870000001|0.931073539|-0.057956428|-0.076388478|0.019843706|-40.094865000000006|13.72808419|0.068926461|-36.55965924|9.49723261|15.22791009|0.682690024|-27.73804808|53.82294919|0.4777430589999999|2574.178324|-13.79609783|0.317309976|7.332936064|14.04085897|7101.057047|219.5183688|-731.1931848999999|0.0215181079999999|1548.179944|779.8043336000001|14.88645273|1.0|1.0|1.0|1.0|3.3|0.08|27.0|-9.46|5.36|4.98|124.4|0.0|6.0|5.0|461.54|0.0|1.0|-5.1|1.6e-06|0.000739|3.5|0.0|1.58e-07|-0.07207|5655.0|3.5|3.7222|-1783.5397829999995|707.08|1249.84|0.2996|0.4609|0.60449|0.0817|-0.22365|0.02279458|7585.0|7585.0
3q_a32|0.0|1|1|0.0|0|7.765993078999999|0|0|-0.017280695|-0.008072705|5.733341277|-0.04718311|0|0.03898374|0.02785755|-0.419780649|-0.022925245|10.31100266|-0.098400506|3|0.002487149|0.0492355779999999|-0.167040501|0.751733573|0.853737093|0.901790225|0.84993799|-0.067604132|-0.097961799|0.018527744|-41.72706804|11.43581616|0.15006201|-37.3203761|7.058489861|53.27315741|0.6349739010000001|-25.7550561|53.16288420000001|0.46136998|3335.898591|-10.6629646|0.365026099|6.428518903|11.93494358|6079.482066|225.3038157|-522.4852655000001|0.022526037|1333.133193|618.9134881|13.90366881|1.0|0.0|1.0|1.0|3.34|0.3|19.0|-7.31|6.43|4.72|131.25|0.0|7.0|4.0|411.54|0.0|1.0|-4.62|1.24e-06|0.000508|3.47|0.0|2.01e-05|-0.04968|3.6236|5.15|3.6236|-1920.042674|666.16|1136.46|0.2897|0.70216|0.70216|0.2897|-0.19969|0.02381444|7.5528|7.5528
4p_a46|0.0|0|0|0.122217892|1|7.825245291|1|1|-0.060700883|-0.004413243|5.587248657999999|-0.038295755|0|0.046533816|-0.164311513|-0.233901882|-0.205494852|10.93681929|-0.120823841|1|0.004453195|-0.251219946|0.066453878|0.7471162309999999|0.747019097|0.7911509609999999|0.905966489|-0.0997229069999999|-0.083274013|0.007398064|-56.55658053|4.195717966|0.094033511|-26.78464688|2.379548177|0.0|0.87420565|-32.07534663|60.7522985|0.423511708|2219.4587530000003|-9.642472876|0.12579435|5.828038618|10.10955243|5167.091582|71.34266847|-482.1236438|0.006740305|972.4260993|585.8536976|3.822678404|1.0|0.0|1.0|1.0|3.2|0.3|17.0|-7.05|4.85|5.25|61.84|0.0|2.0|3.0|357.45|1.0|1.0|-5.4|1.59e-06|0.000567|4.77|0.0|3.2e-05|-0.0393|5.4796|4.89|3.9958|-1129.618646|598.19|1058.54|0.2363|0.43709|0.70138|0.0763|-0.20749|0.03979459|6.4672|6.4672
12ah_a36|0.0|0|0|0.0|0|7.412764017000001|2|2|-0.050415481|-0.007648622|5.351858133|-0.043678703|2|0.043848238|0.078459408|-0.41302559|-0.083956827|10.95983779|-0.050147748|1|0.0010871589999999|0.133939811|-0.103922055|0.8941919290000001|0.835013502|0.8910146309999999|0.828405275|-0.0758457179999999|-0.1059368909999999|0.0184777819999999|-49.0084977|11.93961081|0.171594725|-44.23111357|7.714903458999999|0.0|0.768906425|-31.66734951|60.9481085|0.468162246|2334.380591|-15.92320089|0.231093575|8.26712637|15.54445187|6015.129321|149.3235124|-796.1600443|0.017909528|1602.457659|629.5017194000001|11.57242717|1.0|0.0|1.0|2.0|0.0|0.14|17.0|-7.18|3.35|2.54|69.2|0.0|5.0|4.0|415.88|1.0|1.0|-4.59|3.64e-05|0.0151|3.31|0.0|2.77e-05|-0.05637|5.2259|3.79|3.7792|-1692.512868|682.21|1148.39|0.6729|0.40051|0.6970000000000001|0.0485|-0.2107099999999999|0.03300341|7.9586|7.9586
16g_a32|0.0|1|1|0.0|0|7.765993078999999|0|0|0.1739995319999999|-0.013775701|5.733341277|-0.0429252429999999|0|0.03898374|-0.049658216|-0.771439265|-0.029193403|10.31100263|0.004735761|3|-0.00030659|-0.085591073|-0.117577419|0.79965447|0.83902731|0.8821580379999999|0.8206422409999999|-0.078387439|-0.105500574|0.023959586|-57.77542509|17.659402|0.1793577589999999|-57.31234426|13.01585399|43.37912747|0.6863323440000001|-42.58335004|75.43482709|0.3972359179999999|3497.469035|-18.38320476|0.313667656|9.3963701|15.58880229|6372.261243999999|231.1885989|-974.3098525|0.02276861|1926.042887|701.9321161|16.78159325|1.0|1.0|1.0|2.0|3.42|0.33|19.0|-8.16|6.81|5.38|149.27|1.0|10.0|5.0|441.57|0.0|1.0|-5.32|3.08e-08|1.36e-05|4.65|0.0|3.04e-06|-0.05|3.6161|5.38|3.6161|-2034.593036|752.29|1245.25|0.2879|0.70222|0.70222|0.2879|-0.19968|0.02895494|7.9586|7.9586
12x_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.044575215|-0.006008579|5.351858133|-0.0335688279999999|2|0.043383838|-0.0606216429999999|-0.3545061539999999|0.027312213|10.31162819|-0.1066694919999999|1|0.006346396|-0.104089964|-0.053700437|0.842068099|0.782514704|0.829606585|0.848844277|-0.071909912|-0.091725339|0.014757946|-47.48669555|9.745611551|0.151155723|-39.99960559|6.435648079|0.0|0.824674971|-31.35848986|57.2323071|0.4490846539999999|2374.777496|-15.27257668|0.175325029|7.794822643|14.14885734|6359.545311|115.7782842|-839.9917174000001|0.012044556|1542.442557|754.3941655|7.953787804|1.0|0.0|1.0|1.0|0.0|0.21|17.0|-7.38|4.87|3.23|81.65|0.0|5.0|4.0|426.54|0.0|0.0|-5.46|9.14e-07|0.00039|4.6|0.0|1.76e-05|-0.05093|3.4831|4.45|3.4831|-1654.3784|703.75|1211.79|0.1517|0.68589|0.68589|0.1517|-0.19876|0.03136007|7.6556|7.6556
