molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|DPSA5|DPSA3|TASA|WNSA4|FPSA1|GeomRadius|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C9 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
2_a4|0|0|0.0|0.0|0|1|1.189716144|0.0|-0.00708265|4.59511985|-0.103346554|0.037777778|0.0|-0.269140683|-0.001386521|0.090707854|10.95268469|0|0|-0.0016168089999999|0.127695325|0.228655117|-0.3881618|0.802438682|0.1355918559999999|0.847373823|0|0.742518847|-0.117395215|-0.105102755|0.442778552|0.006330673|2.667094277|166.102249|0.257481153|-0.0379537729999999|-18.65482233|1.123639184|48.93681624|52.12536246|312.82106489999995|-6.736463618999999|0.156892292|4.710383035|66.09827364|-242.5126903|18.96532986|0.011054731|-289.1005902|682.7518749|284.26458360000004|0.0|3.33|0.0|12.0|2.12|45.15|0.0|79.59|0.0|2.0|2.0|19.0|-6.69|253.3|1.0|0.0|1.24|1.67|0.00171|434.0|0.0|5.8961|2.46|3.2230000000000003|-819.8996124|764.77|210.28|333.36|0.4682|0.6885600000000001|1.7717|-0.16226|0.033037353|-819.8174190000001|31.0|7.5086|7.5086
LY364947_a10|1|0|2.949609552|0.0|0|0|1.390175303|0.0|-0.00235945|4.59511985|-0.00390904|0.0273958329999999|2.084955541|-0.084940213|0.007575|0.010202602|10.9303125|1|1|0.006909045|0.1625645369999999|0.072909639|-0.204644982|0.711607778|-0.012096774|0.7792035190000001|1|0.8431045490000001|-0.076999385|-0.075303751|0.449473391|0.009678082|4.275500834|144.7228349|0.156895451|-0.029665114|-14.69643595|1.88879448|41.53157099|38.29163558|372.4595738|-5.78950507|0.276515344|4.702575386|122.1566022|-191.05366730000003|18.1140017|0.018707677|-197.4583104|597.7620559999999|287.99188260000005|0.0|2.46|1.88|21.0|3.97|54.46|0.0|82.56|0.0|1.0|2.0|21.0|-6.02|272.3|1.0|1.0|2.8|0.0789|0.000137|0.0374|0.0||||||||||||||59.0|7.2291|7.2291
12d_a31|1|0|3.441384322|0.0|0|1|0.61013528|0.0|-0.012448252|5.733341277|-0.043220149|0.0359583329999999|0.0|-0.697102094|-0.002456634|-0.085780934|10.31169788|2|2|0.000127275|-0.067477864|-0.214049412|-0.550805937|0.8343242820000001|-0.057226679|0.873955169|0|0.7054497479999999|-0.0938723509999999|-0.11498416|0.3996192999999999|0.0296918329999999|21.06095035|157.30671669999998|0.294550252|-0.032542687|-57.85220856|14.93891054|99.79879739|87.64629597|500.3881827|-16.37326657|0.361635149|9.445278138|256.5143096|-867.7831284|36.15974873|0.02571268|-196.2893506|1916.466682|647.1500428999999|1.0|3.76|3.9|16.0|6.04|117.37|2.0|112.97|0.0|1.0|9.0|29.0|-6.36|412.51|0.0|1.0|3.76|0.0010199999999999|4.06e-05|0.0167|0.0|3.8477|5.0|3.8477|-1657.428467|1201.63|322.23|626.33|0.7006600000000001|0.7006600000000001|2.4186|-0.19096|0.04338158|-1657.245177|0.51|6.2924|6.2924
12aa_a30|0|0|0.0|0.0|0|2|0.604983643|0.0|-0.008848121|5.351858133|-0.028524865|0.043854875|0.0|-0.539735362|0.003529389|0.059360681|10.31162784|1|1|0.005111479|-0.023695642|-0.207153446|-0.394520145|0.809127478|-0.012535889|0.855880335|0|0.8126513129999999|-0.078042288|-0.101368383|0.418522684|0.030906491|21.58471858|55.0567406|0.1873486869999999|-0.033789461|-49.44198469|15.0745057|91.51563481|76.08850600000001|567.5458219999999|-16.48066156|0.369240427|8.65813938|257.8730361|-939.3977091|37.41227352|0.029670025|-182.6418006|2132.499591|792.3440337000001|1.0|4.86|0.0|17.0|3.94|100.11|2.0|140.26|0.0|1.0|7.0|33.0|-6.39|458.54|0.0|0.0|2.52|0.00113|9.94e-06|0.00456|0.0|5.1925|3.34|3.4642|-1804.784381|1275.73|238.78|605.07|0.30341|0.68642|5.8962|-0.19687|0.03443621|-1804.582558|8.0|8.1135|8.1135
12ak_a36|1|0|3.501132553|0.0|0|2|1.270373882|0.0|-0.006465433|5.351858133|-0.0407717229999999|0.041728395|0.0|-0.407322296|0.0042553209999999|-0.116440196|10.95268014|1|1|0.005035022|0.198260132|-0.163978382|-0.439326642|0.815627016|-0.0265703679999999|0.860939187|0|0.848705143|-0.069176342|-0.091761476|0.537460657|0.019931266|14.3700664|113.186508|0.151294857|-0.032660864|-47.69888026|10.36054668|79.17567486|64.24490364|611.9003905000001|-16.97756755|0.262560805|7.98672125|189.3013851|-1001.676485|31.93194362|0.018055095|-342.3783571000001|1883.984673|799.5563855|1.0|5.05|0.0|17.0|3.85|69.2|2.0|138.33|0.0|1.0|6.0|32.0|-6.19|423.51|1.0|1.0|2.66|0.0047799999999999|1.39e-05|0.00589|0.0|3.8734|4.21|3.6895|-1350.865407|1247.89|320.09|584.05|0.69463|0.7034699999999999|6.3682|-0.20204|0.03471045|-1350.637958|46.0|7.3372|7.3372
12h_a40|0|0|0.0|0.0|1|0|0.60499064|1.760542171|-0.008044548|5.4161004020000005|-0.107711573|0.041915709|0.803557099|-0.289603712|-0.000134504|0.189869851|10.31197256|2|2|-0.002126898|0.367928263|0.224167029|-0.556229094|0.7769829840000001|-0.335801908|0.845904643|1|0.839481749|-0.0954337969999999|-0.091448888|0.006997021|0.0117142839999999|6.193088525|208.6717565|0.160518251|-0.038796498|-25.56004046|3.274152035|54.9311782|56.64687411|443.8158546|-10.84365353|0.155991416|7.989299324|82.46928995|-357.8405665|24.30173133|0.012453938|-363.7398044|801.957134|350.9435025|1.0|3.19|3.0|20.0|4.59|84.45|2.0|96.16|0.0|1.0|2.0|23.0|-5.13|361.25|0.0|1.0|4.22|0.0002009999999999|2.61e-06|0.000942|0.0|4.1508|4.14|2.6436|-2153.186757|910.77|298.7|435.95|0.6503899999999999|0.7041|2.5573|-0.18432|0.02044063|-2153.123274|823.0|6.0846|6.0846
15b_a10|0|0|0.0|0.0|1|1|1.3438370730000002|2.145379897|-0.002413027|5.4161004020000005|0.024214591|0.033219955|2.0455289690000003|-0.149607679|0.011484257|-0.082365722|10.92966694|1|1|0.011928706|-0.175869992|-0.27395395|-0.195505087|0.791078367|-0.104250125|0.83320417|1|0.921918974|-0.046334564|-0.07358373|0.697099355|0.015973068|10.94939968|43.96642219|0.078081026|-0.024105015|-34.57687319|7.505718446|62.53159836|42.7113409|631.9674549|-11.32690674|0.329763626|6.6940006620000005|226.0501037|-656.9605906|24.65365821|0.017637846|-233.3911134|1429.912176|766.4127559|1.0|3.61|3.89|21.0|4.34|56.07|1.0|123.73|0.0|1.0|7.0|31.0|-6.34|413.51|1.0|0.0|3.66|0.0185|2.28e-05|0.00943|0.0|5.7620000000000005|2.74|3.7625|-1317.736865|1231.3|215.17|587.53|0.46711|0.68906|4.7752|-0.20313|0.02977516|-1317.4913390000002|85.0|7.0706|7.0706
40_a47|0|1|0.0|0.0|1|0|1.420389717|1.715145925|-0.004181351|4.727387819|-0.0934645509999999|0.041396825|1.566109469|-0.179798097|0.002212256|-0.038143308|10.98214138|1|1|0.003634698|-0.130213023|-0.338113214|-0.2636225|0.836942961|0.090270598|0.900790582|1|0.812233678|-0.060416547|-0.083237511|0.237173658|0.02047837|11.04737121|54.11003524|0.1877663219999999|-0.027052191|-24.22401965|5.959674083|60.97203959|43.64000551|438.171933|-7.872806386000001|0.426343267|7.042383142|229.9974239|-314.91225539999994|25.43981292|0.029785575|-79.47051169|1017.592517|388.178924|1.0|3.07|2.91|21.0|2.96|68.52|0.0|94.28|0.0|1.0|3.0|25.0|-6.78|334.35|1.0|1.0|2.72|183.0|0.000192|0.0643|0.0|4.0176|2.06|3.7236|-1123.144637|947.27|308.6|444.47|0.67615|0.68492|4.7542|-0.20317|0.02983032|-1123.049869|4.0|8.4|8.4
12b_a36 (EW-7197)|1|0|3.3685352889999995|0.0|0|2|1.2970445309999998|0.0|-0.008137593|5.351858133|-0.082283951|0.040899471|0.0|-0.439429998|-0.002526241|-0.098032695|10.96052467|1|1|-0.000673716|0.059005046|-0.217394466|-0.442656599|0.819222745|-0.097861598|0.8741648479999999|0|0.7635183720000001|-0.081357853|-0.10866747|0.458627252|0.021439664|13.41367899|81.63796416|0.236481628|-0.039120289|-42.53627024|8.392238798|80.95733534|64.31504105|477.6935927|-15.31305729|0.253252648|6.764872303|158.4469629|-765.6528642999999|32.77617664|0.020730147|-308.7538779|1638.808832|595.8790650000001||||||||||||||||||||||3.8475|3.41|3.7725|-1332.147999|1104.61|322.25|486.64|0.6824899999999999|0.69991|5432.0|-0.20546|0.03202977|-1332.005651|7.0|8.1549|8.1549
12k_a36|1|0|3.483171769|0.0|0|2|1.297043952|0.0|-0.0071232019999999|5.351858133|-0.063399056|0.039061728|0.0|-0.413145744|0.002782748|0.003690005|10.94908765|1|1|0.003724542|0.163804836|-0.1619981409999999|-0.4373676689999999|0.811903388|-0.102077284|0.8647233590000001|0|0.8427704640000001|-0.075717305|-0.101946803|0.367754573|0.018067063|11.90012613|46.79001927|0.157229536|-0.037758075|-44.22843899|7.838185977999999|78.24529096|61.7723974|555.1026569|-16.38090333|0.219318299|7.241602627000001|144.457092|-884.5687799000001|31.85663123|0.016847116|-369.7499256|1720.258086|698.847203|0.0|4.89|0.0|17.0|3.62|69.2|1.0|133.84|0.0|1.0|6.0|31.0|-6.34|407.47|1.0|0.0|2.37|0.0106|2.82e-05|0.0115|0.0|5053.0|3.83|3.6631|-1310.312649|1186.08|245.37|530.51|0.5249199999999999|0.70031|5.7818|-0.20023|0.03274587|-1310.134752|14.0|7.8539|7.8539
