molecula|SddssS|n9FaHRing|SaaNH|SRW09|nAHRing|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|n6aHRing|MATS8s|MATS8d|SIC2|GATS1pe|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
12a_a40|0.0|0|0.0|7.515889085|0|1.784989449|-0.00431394|5.4161004020000005|-0.012791297|0|0.036587302|0.17758258|0.8332127109999999|10.31197265|-0.226763788|2|0.007890601|0.298197213|0|0.023863832|-0.375724138|0.7867243829999999|0.525051106|0.940879765|-0.064340227|0.000279043|-32.81611621|-38.17175304|6.001293955|107.5277007|0.059120235|-0.033799|3.060902482|49.24750281|0.85136964|-16.73754566|43.65970865|-17.23885621|38.81741016|479.8867095|-534.4045424999999|600.1247016|0.14863036|14.43505064|0.908597808|4873.458436|75.8074911|-272.5679167|0.010759845|323.26151960000004|5.487955617999999|1.0|0.0|0.0|0.0|3.2|3.39|0.0|20.0|-7.21|5.33|0.0|91.76|1.0|22.0|2.0|-4.56|346.23|0.0|1.0|1.0|3.86e-07|0.0|6.15e-08|2.13e-05|-0.08015|3.0966|5.01|3.0966|-2097.826771|530.55|0.3701|400.39|429.21|0.6998800000000001|0.3701|-0.2091|0.0104658999999999|-2097.779499|5.7501|5.7501
4a_a49|0.0|0|0.0|7.535296702|1|2.085628989|-0.006602016|5.4161004020000005|-0.074495823|2|0.036555556|-0.080255074|1.713107022|10.92777282|0.018857363|1|0.000660956|-0.130491035|2|0.0063958109999999|0.032396301|0.856023531|0.731643066|0.7570436159999999|-0.094228246|0.433367368|-57.79201133|-53.88810275|10.51443916|313.22432680000003|0.242956384|-0.0292876779999999|6.448709504|60.11195021|0.650301539|-35.44496163|68.37721704|-17.96270092|68.30645049|464.3095353|-916.0977468|1647.61849|0.349698461|15.01791558|0.8926425020000001|5950.370212|214.47685|-561.8605190000001|0.023624093|620.5697596|14.48911428|0.0|1.0|1.0|1.0|3.35|2.89|0.22|21.0|-7.36|3.4|0.0|114.08|1.0|30.0|5.0|-7.52|399.45|0.0|0.0|1.0|0.000528|0.0|4.35e-08|1.74e-05|-0.06461|4.7259|3.34|3.7876|-1313.19945|660.19|0.1935|262.35|504.63|0.68042|0.0789|-0.2231199999999999|0.04133192|-1312.98289|7.4949|7.4949
5b_a50|0.0|1|0.0|7.927685046000001|1|4.190114953|-0.00141071|5.82008293|-0.003549558|1|0.034845679|-0.052494624|2.473508677|10.9325725|-0.113846154|2|0.012290091|-0.0873662269999999|1|0.019856551|-0.1866330389999999|0.855527513|0.6642694929999999|0.958606481|-0.041157676|0.271653991|-20.90908698|-31.07327358|6.200250541|6.656963127999999|0.041393519|-0.02140774|3.149876031|60.5565203|0.5887490470000001|-10.62231784|42.76068675|-10.87564575|27.10933752|486.9950914|-435.0258302|1452.442728|0.411250953|10.01036188|0.8058479690000001|4577.809819|208.925351|-221.0035589|0.023005632|409.0289917|11.68741316|1.0|1.0|1.0|1.0|3.37|2.91|0.1|20.0|-5.86|3.15|0.0|96.89|2.0|24.0|2.0|-6.03|312.37|0.0|1.0|1.0|0.000335|0.0|1.37e-06|0.0004269999999999|-0.0256899999999999|5.6332|2.81|4.0222|-990.6114185|547.35|0.2749|220.09|411.9|0.66968|0.1094|-0.19252|0.02651535|-990.487545|4.9126|4.9126
13i_a6|0.0|0|3.399318783|7.412764017000001|1|0.0|-0.0149593219999999|5.351858133|-0.154502515|1|0.042560386|0.035242754|0.0|10.95129557|-0.032549318|1|-0.007703306|0.057038772|1|0.145878803|-0.054229558|0.8287956870000001|0.830577798|0.624046118|-0.120457274|0.221116773|-80.75190740000001|-86.83156133|20.90143854|181.1128483|0.375953882|-0.046433945|14.01186473|116.5456632|0.783597763|-54.13430283|100.2320567|-31.12829557|101.6533459|418.3467934|-1649.799665|2880.134143|0.216402237|14.54375165|0.753497905|6306.951561999999|145.07130039999998|-1105.989413|0.019989461|673.8038326000001|13.40049533|1.0|1.0|1.0|1.0|3.59|2.7|0.12|23.0|-8.5|4.16|0.0|120.17|1.0|32.0|5.0|-6.81|427.46|0.0|0.0|1.0|9.32e-06|0.0|3.18e-09|1.36e-06|-0.0481399999999999|3.6668|4.94|3.5614|-1426.549926|703.43|0.2903|338.12|553.67|0.70517|19.0|-0.19454|0.03191957|-1426.332492|7.6778|7.6778
14_a1|0.0|0|3.3674017380000003|7.423568444|1|0.0|-0.015636898|5.351858133|-0.175408303|1|0.035620155|0.1008839219999999|0.0|10.94959842|-0.0492229479999999|1|-0.008385698|0.164429684|1|-0.08530265|-0.083341531|0.805877431|0.795744863|0.593170871|-0.12658238|0.206941175|-74.96297518|-72.59355177|19.5711254|161.1772893|0.406829129|-0.046308519|11.59015807|104.2594419|0.753357398|-44.39360096|87.02320758|-27.42423067|94.53410059|351.2799603|-1234.09038|1876.042189|0.246642602|14.21658628|0.905399978|5748.712211|146.0634832|-730.8369997000001|0.0243658979999999|513.4628663999999|14.42965582|1.0|1.0|1.0|1.0|3.25|2.35|0.05|23.0|-7.69|4.04|0.0|106.85|1.0|29.0|5.0|-6.73|384.39|0.0|0.0|1.0|3.03e-05|0.0|2.03e-08|7.81e-06|-0.05962|3.8344|4.57|3.3061|-1292.588129|621.08|0.4442|323.35|464.08|0.69894|0.3497|-0.19322|0.03490867|-1292.415211|7.0269|7.0269
11_a4|0.0|0|0.0|7.535296702|1|2.159635561|-0.001098364|5.4161004020000005|0.032861655|2|0.03617284|-0.017835936|2.216390726|10.33765061|-0.0043410079999999|1|0.010782511|-0.030003079|2|-0.163623353|-0.007574475|0.875868891|0.647727179|0.930113409|-0.054262142|0.4523305489999999|-31.35942689|-37.74083422|5.395547437|12.88007087|0.069886591|-0.023620625|3.118219598|59.55648883|0.7560913159999999|-18.12338426|44.63993001|-13.65094004|36.75497433|537.5354202000001|-641.5941818|1640.559148|0.243908684|13.18281017|0.924411925|5425.1341090000005|140.96082869999998|-370.7930613|0.011937709|575.2252237|6.89909579|1.0|1.0|1.0|1.0|3.31|3.49|0.23|21.0|-8.05|4.97|0.0|111.64|1.0|27.0|3.0|-5.74|372.49|0.0|0.0|1.0|7.27e-06|0.0|8.89e-09|3.31e-06|-0.05582|4907.0|3.2|3.78|-1467.463842|630.04|151.0|252.67|479.99|0.65942|0.0403|-0.2146699999999999|0.02336674|-1467.255521|6.9586|6.9586
3b_a49|0.0|0|0.0|7.535296702|1|2.104186262|-0.0057605869999999|5.4161004020000005|-0.055724324|2|0.034155556|-0.090939066|1.844602991|10.92976559|0.00361222|1|0.001356445|-0.151131362|2|0.021506499|0.006213385|0.845992028|0.749565191|0.749104358|-0.0883601469999999|0.482434361|-54.04959517|-51.77986692|8.304484449|325.6896751|0.250895642|-0.0276739079999999|5.07982433|81.60358988|0.656865946|-33.06194987|64.91785551|-16.92803342|62.35407961|458.224537|-880.2577376|1796.6760370000002|0.3431340539999999|13.85181805|0.914182753|5934.158315|209.89391040000004|-538.4506046|0.021477952|641.1445234|13.13798859|1.0|1.0|1.0|1.0|3.37|2.43|0.22|21.0|-7.58|3.16|0.0|116.94|1.0|30.0|5.0|-7.42|398.46|0.0|0.0|1.0|0.000293|0.0|2.64e-08|1.05e-05|-0.06115|4.6669|3.4|3.8418|-1293.3286859999998|664.15|0.1978|265.67|480.08|0.6632|0.0759|-0.21985|0.0368692|-1293.106236|7.6021|7.6021
14l_a23|0.0|1|0.0|7.423568444|0|3.402752757|-0.005344736|5.351858133|-0.026530366|2|0.046283951|0.042748013|0.758109562|10.313217800000002|-0.061788679|2|0.01180744|0.07815878|2|0.156652778|-0.1010279259999999|0.836852328|0.6906097959999999|0.921267667|-0.053549434|0.215920645|-35.3275485|-51.59307331|12.31633167|40.34135162|0.078732333|-0.0328459689999999|8.125310915|81.90812552|0.7896261940000001|-23.306234600000003|61.54673359|-21.66909079|47.64388017|607.777253|-1083.45454|2176.038061|0.210373806|15.78926563|0.972085426|6444.7098240000005|138.7874759|-714.7749208|0.01508774|666.0036144999999|9.953660282|0.0|0.0|1.0|1.0|3.51|3.52|0.09|26.0|-7.78|3.88|1.0|125.25|1.0|31.0|4.0|-6.1|425.51|0.0|0.0|0.0|1.43e-06|0.0|1.65e-08|7.03e-06|-0.07191|3.6274|3.79|3.6274|-1669.2363289999998|694.65|0.4239|341.8|560.51|0.67242|0.4239|-0.2183|0.01168219|-1669.04569|8.1798|8.1798
8d_a12|0.0|1|2.976279182|6.580639137|1|0.0|-0.0076893469999999|4.59511985|-0.048642535|2|0.038347953|0.0276482139999999|2.075171777|10.94458983|-0.046326855|1|0.001575111|0.0479437859999999|1|-0.091036025|-0.080872311|0.8078610759999999|0.8405406040000001|0.858710112|-0.077834742|0.266886187|-43.27410838|-57.57034769|6.309558958999999|90.34024296|0.141289888|-0.039118358|3.507952014|0.0|0.8338637040000001|-24.05928792|64.53435462|-21.74879802|49.58366734|477.4206699|-978.6959108|1288.818257|0.166136296|12.96695233|0.8695567329999999|5255.11762|92.36749461|-544.129679|0.012525773|503.2240425|6.964006932|1.0|1.0|1.0|1.0|4.06|2.23|0.1|21.0|-8.37|3.87|0.0|112.14|1.0|27.0|4.0|-5.96|352.39|0.0|1.0|1.0|2.64e-05|0.0|4.23e-09|1.49e-06|-0.05488|4.2383|3.53|3.7397|-1138.296407|600.2|0.2871|292.53|433.32|0.4997399999999999|0.0853|-0.20794|0.04004678|-1138.139635|7.6021|7.6021
13_a10|0.0|0|0.0|7.535296702|1|2.091672336|-0.0057715859999999|5.4161004020000005|-0.055497169|2|0.038726287|-0.093280469|1.794073077|10.9296146|-0.001592366|1|0.003791547|-0.154121136|2|0.00746881|-0.002671425|0.84680169|0.736686715|0.818027691|-0.094726989|0.4676169839999999|-47.88975806|-41.62089688|6.168030793|174.7319717|0.181972309|-0.030119651|3.118282386|0.0|0.7144943490000001|-24.21093442|51.21590298|-15.22715739|54.05778885|413.5584641|-624.3134531000001|1630.880014|0.285505651|9.209972585|0.816739845|4941.066161|144.338975|-315.62515|0.018979132|422.96706330000006|9.595006108|1.0|1.0|1.0|1.0|3.02|2.58|0.15|21.0|-6.6|3.52|0.0|97.14|1.0|25.0|4.0|-6.34|328.37|0.0|1.0|1.0|0.000176|0.0|2.49e-07|8.170000000000001e-05|-0.05022|5.8308|2.48|3.8419|-1065.874094|550.83|0.3905|212.63|376.77|0.68386|0.1514|-0.20959|0.0346535|-1065.732389|6.7959|6.7959
