molecula|SddssS|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|SRW07|n6HRing|JGI4|SaaaC|AATSC1are|AATSC8d|n5aHRing|AATSC7i|MATS1i|MATS1c|MATS8s|GATS1pe|PBF|FPSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (water)|IC50|pIC50|pIC50
8f_a8|0.0|1|0|0.0|1|7.05012252|0|0|1.241306689|4.844187086|0|0.043758865|0.0|-0.007796225|0.007079485|1|0.152294451|0.09830823|-0.5373378529999999|-0.016217844|0.56916135|0.308621017|0.013566221|7.91086576|317.0847898|0.403186031|235.1097364|-0.048375351|-36.18904175|-2.128515439|67.4402386|-28.20910228|79.13157981|0.456995667|2622.044457|348.0199311|1892.066521|-16.44956443|13.81994609|0.8416059290000001|54.94802877|31.14376424|0.009226445|5.380213594|0.0|0.0|0.0|0.0|0.0|3.14|2.85|23.0|-7.95|4.69|4.72|80.88|4.11|2.0|105.27|4.0|-5.21|29.0|4.0|-5.98|391.37|0.0|0.0|-5.0|6.11e-06|0.0023899999999999|1.01e-05|0.0|1.13e-08|4.43e-06|-0.0675299999999999|4.7027|-1361.658484|355.5|0.3188|477.92|0.55661|0.69925|-1361.455053|0.1659|-0.14532|7.8014|22.76|4.6428|4.6428
16f_a32|0.0|1|1|0.0|0|7.765993078999999|0|0|0.0|5.733341277|0|0.039958333|2.082564316|-0.003511776|-0.000291262|3|0.0151704889999999|-0.120440534|-0.697693907|0.085125293|0.761506727|0.522247991|0.024434011|16.90955989|89.03402347|0.192724521|133.3750236|-0.035568666|-53.23443736|-1.778433296|92.82839829|-24.61529877|73.4405859|0.384656622|2772.212354|558.6750754999999|3414.006186|-17.03501995|14.28728752|0.625108901|211.2572338|35.43109972|0.022983292|15.90558963|1.0|1.0|1.0|1.0|1.0|3.76|3.4|19.0|-7.77|6.42|4.99|149.27|1.34|3.0|116.75|9.0|-6.95|29.0|5.0|-5.99|427.54|1.0|1.0|-4.97|1.12e-07|4.79e-05|1.07e-05|0.0|1.7e-08|7.26e-06|-0.04997|3.6272|-1995.307736|341.82|0.2931|603.12|0.70204|0.70204|-1995.054457|0.2931|-0.15003|4.2764|9.0|8041.0|8041.0
34_a20|0.0|0|0|0.0|1|6.842683282|0|0|1.877209467|4.727387819|2|0.0396875|1.991704333|0.003085806|-0.054458882|1|0.327535029|0.0346782989999999|-0.4478820739999999|-0.101401966|0.690530489|0.408491116|0.0130295999999999|8.766605631000001|297.5548445|0.203342854|136.81360859999998|-0.032248904|-38.68669181|-1.709191893|67.53437417|-21.69778179|66.0848174|0.462785432|2825.042137|536.0086996|2319.742032|-14.59875162|14.7802149|0.8614536140000001|150.43359099999998|27.94614651|0.01491516|10.03525243|1.0|1.0|1.0|1.0|1.0|3.43|2.92|27.0|-9.18|4.5|4.62|86.69|2.47|2.0|125.0|5.0|-5.14|32.0|4.0|-6.28|419.48|0.0|1.0|-5.02|7.27e-06|0.00305|9.51e-06|0.0|6.64e-10|2.780000000000001e-07|-0.05181|5.4132|-1352.31921|320.38|0.4388|544.93|0.38519|0.68845|-1352.041015|0.0766|-0.16103|5.4994|61.0|7.2147|7.2147
14z_a23|0.0|0|1|0.0|2|7.423568444|0|0|3.305974434|5.351858133|2|0.04314059|0.729326158|0.009174505|-0.0229244|2|0.0708381429999999|-0.069023218|-0.46459002|0.10796308|0.64069202|0.228957475|0.018337664|12.77192721|40.18308023|0.074698898|52.02674091|-0.03393829|-38.68856944|-1.595099623|66.77741935|-23.63754572|53.33438253|0.474697407|3094.698027|644.4593172|2692.627452|-16.46322104|14.91419434|0.903664694|149.3235124|30.08835522|0.01612263|11.22918692|0.0|0.0|1.0|0.0|1.0|3.42|3.67|26.0|-8.57|4.64|5.32|105.02|3.99|2.0|130.3|5.0|-6.77|32.0|4.0|-5.8|480.37|0.0|0.0|-6.13|1.7e-07|8.18e-05|7.37e-07|0.0|2.6899999999999996e-09|1.29e-06|-0.08503|4032.0|-2549.107748|338.46|0.3201|586.28|0.66217|0.69913|-2548.895003|0.2917|-0.15195|7.9877|5.0|8.2941|8.2941
1_a15|0.0|0|0|0.0|0|0.0|0|0|0.0|0.0|2|0.0381893|0.0|0.001244652|-0.000905902|0|0.096086011|-0.1816819589999999|-0.34192045|0.101406325|0.795437721|0.7100707390000001|0.026214985|16.94887506|121.3844816|0.124276535|80.34898605|-0.031142386|-46.71058649|-1.899685524|90.40184737|-20.13460632|60.96303497|0.437969049|3000.975833|566.1848585|2855.495631|-13.01770443|11.7078005|0.77926144|254.7811976|33.22939752|0.0280791829999999|18.15414234|1.0|1.0|1.0|1.0|1.0|3.91|4.18|24.0|-10.02|5.46|6.32|74.73|2.2|3.0|132.94|8.0|-6.55|34.0|6.0|-5.38|457.52|1.0|0.0|-5.97|2.830000000000001e-07|0.00013|1.08e-06|0.0|9.53e-11|4.36e-08|-0.04142|4.3834|-1510.136281|385.18|0.2464|598.34|0.64662|0.70553|-1509.785098|0.0061|-0.1365|2.3261|44.0|7.3565|7.3565
12o_a36|0.0|1|0|0.0|0|7.412764017000001|2|2|0.0|5.351858133|2|0.040770975|0.0|-0.00233752|-0.010904454|1|0.065221584|-0.126068378|-0.5110239679999999|0.141570244|0.817582774|0.514457955|0.023402195|16.85373064|55.47133795|0.2407887189999999|173.4105814|-0.03541591|-55.10596064|-2.018706878|95.66406176|-25.50573629|75.94332024|0.469699889|3009.981519|546.7667677000001|2778.220342|-18.36865355|13.80895167|0.885724665|240.2059039|38.27030489|0.026586303|19.1468529|0.0|0.0|0.0|1.0|0.0|4.97|0.0|17.0|-6.93|2.38|1.65|98.3|1.49|1.0|138.06|7.0|-3.54|33.0|5.0|-7.66|438.48|0.0|0.0|-3.64|0.000292|128.0|0.000227|0.0|1.1800000000000001e-07|5.18e-05|-0.05456|5.1927|-1440.969954|320.16|0.4075|560.88|0.36719|0.67273|-1440.671057|0.2888|-0.15695|6.6471|0.04|7.3979|7.3979
12ay_a36|0.0|1|0|0.0|0|7.412764017000001|2|2|0.0|5.351858133|2|0.043383838|0.0|0.003676818|-0.06756661|1|0.1689021819999999|-0.101854847|-0.438622276|-0.109624825|0.857993338|0.419950383|0.018016934|11.67851857|126.7858133|0.170593592|110.578217|-0.035337546|-41.57269314|-1.978902589|74.29343346|-22.90568368|59.80790901|0.4530143439999999|2766.899844|537.618563|3238.138932|-14.84739041|11.82248632|0.828201506|143.79285900000002|29.43551742|0.015670425|10.15751916|1.0|0.0|0.0|1.0|0.0|4.96|0.0|17.0|-7.34|3.76|2.5|69.2|2.45|1.0|133.68|5.0|-4.54|31.0|4.0|-6.38|409.49|0.0|1.0|-4.6|2.8600000000000004e-05|0.0117|2.5e-05|0.0|4.55e-08|1.86e-05|-0.0526|3.9348|-1311.576473|339.12|0.2939|532.22|0.6727|0.6914|-1311.282556|0.1464|-0.15056|9.1844|18.0|7.7447|7.7447
4c_a46|0.0|0|0|0.139403726|1|7.825245291|1|1|2.137504882|5.587248657999999|1|0.0440307329999999|0.0|0.010177371|-0.068256579|1|-0.165951544|-0.056422062|-0.421467037|0.072412685|0.65145414|0.305199509|0.013924723|8.799732282999999|35.22734468|0.109222605|69.02325225|-0.029688832|-34.9456654|-1.662574604|60.67664538|-18.76186479|49.01980408|0.450883931|2455.604167|562.9269925|2487.942529|-11.85656505|13.06174141|0.8211086059999999|100.6356847|22.31552819|0.008510983|5.378517586|1.0|0.0|1.0|1.0|1.0|4.09|3.8|17.0|-7.62|5.11|5.24|57.01|3.4|2.0|115.03|5.0|-5.55|29.0|4.0|-5.39|389.49|0.0|0.0|-5.28|2.8e-06|0.00109|5.3e-06|0.0|2.39e-08|9.32e-06|-0.04381|5.4579|-1245.4159619999998|302.21|0.2296|617.56|0.42391|0.6986600000000001|-1245.114575|0.2083|-0.17085|5.4491|2008.0|5.6972|5.6972
14b_a3|0.0|0|0|0.0|0|6.823286122000001|0|0|0.0|4.727387819|3|0.039799383|1.7086790859999998|-0.00603969|-0.102362298|1|-0.288944272|-0.050943323|-0.575695827|-0.133815639|0.8255789570000001|0.379746504|0.012828558|6.273415527999999|252.49572540000003|0.2135234869999999|104.4171556|-0.036469822|-24.15156108|-1.312913604|57.87172082|-17.83445545|50.77131401|0.487615651|2160.565755|384.6023764|1289.104749|-8.721397057|9.738358819|0.951659927|113.9829058|23.25478753|0.017348996|8.483998032|0.0|1.0|1.0|1.0|1.0|3.18|2.5|21.0|-6.89|4.28|3.71|105.82|1.04|0.0|93.25|2.0|-4.45|23.0|4.0|-6.42|319.38|0.0|1.0|-3.99|3.54e-05|0.0113|0.000103|0.0|1.28e-07|4.08e-05|-0.06676|3.0724|-1327.514377|403.54|0.2276|368.39|0.70123|0.70123|-1327.349444|0.2276|-0.12942|3.8724|0.38|6.4202|6.4202
7g_a8|0.0|1|0|0.0|1|7.535296702|1|1|1.336155045|5.4161004020000005|0|0.0448526079999999|0.0|-0.00087806|-0.027717137|1|-0.065174707|0.021974492|-0.418049442|0.098510683|0.606087461|0.306360885|0.031841955|19.08352484|144.290464|0.300623857|180.1699331|-0.045912914|-40.31185423|-2.020168201|78.41805331|-27.51653399|83.63914665|0.470618047|2802.2242920000003|419.1502102|2079.55195|-16.4912131|14.3346384|0.8889952590000001|115.825531|34.10836993|0.018613449|11.15541466|1.0|0.0|1.0|1.0|0.0|3.29|3.32|23.0|-7.91|4.94|4.66|80.04|3.4|2.0|108.0|3.0|-5.78|30.0|5.0|-5.63|399.37|0.0|1.0|-5.44|1.67e-06|0.000667|3.59e-06|0.0|1.23e-08|4.92e-06|-0.06621|3.7874|-1374.493069|327.36|0.5165|507.78|0.62073|0.62073|-1374.291597|0.5165|-0.15508|12.9547|21.03|4.6772|4.6772
9i_a40|0.0|0|0|0.0|1|7.515889085|0|0|1.841293462|5.4161004020000005|0|0.045555556|0.891973262|0.004532692|-0.1788455119999999|2|0.333430103|0.105172175|-0.542471361|-0.154977678|0.7947633409999999|0.006324687|0.011010661|5.548036224|213.7117392|0.169019238|85.16517222|-0.036869006|-22.46593254|-1.327284222|49.81256531|-18.57750214|52.34891159|0.477626156|2056.370683|418.7133986|335.9672843|-9.360805225|14.74203307|0.91433781|71.03556427|21.62632891|0.010372658|5.226560183|1.0|1.0|1.0|1.0|1.0|3.25|2.9|20.0|-6.03|3.84|4.02|84.45|2.99|1.0|91.11|2.0|-5.32|22.0|2.0|-5.44|306.38|0.0|1.0|-4.71|4.79e-06|0.00147|1.97e-05|0.0|9.31e-07|0.000285|-0.05989|4.3611|-1273.334714|428.48|0.5012|417.75|0.56118|0.70339|-1273.167389|0.3362|-0.11967|2.7887|1.25|5.9031|5.9031
