molecula|SddssS|NaaNH|n9FaHRing|SaaNH|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
2_a1|0.0|0|0|0.0|1|7.535296702|1|1|2.233384354|-0.049975995|-0.004621682|5.4161004020000005|-0.014296455|0.0409444439999999|0.001576763|-0.0619710709999999|0.101798469|1|0.003205156|-0.237981258|-0.145015842|-0.422863867|0.079586368|0.5574897879999999|0|0.808210065|-0.0622285999999999|0.220315042|-35.17029414|5.135384136|6.281701359|87.29479691|-0.026492726|2.337413146|84.54541681|0.6944040029999999|-12.89184641|43.24570924|33.45925305|0.39830426|367.8635872|1378.496713|0.305595997|5.2823820260000005|8.779158091000001|17.36508791|0.017741989|-176.9692239|607.7780769999999|299.6692382|8.075415099999999|1.0|1.0|1.0|1.0|0.0|2.91|0.18|-6.18|30.71|2.49|0.0|79.77|0.0|1.0|2.0|21.0|279.31|3.21|-3.78|0.000871|0.0466|2.76|0.0|0.0|6.64e-07|3.31|-920.184721|807.98|303.31|0.2991|303.31|0.7007899999999999|-0.1686|3.5853|-0.19826|0.024658671|-920.123726|5.2754|5.8|5.2366
14w_a23|0.0|0|1|0.0|2|7.423568444|0|0|3.132012648|0.013971812|-0.006481882|5.351858133|-0.109136569|0.046678487|0.003379755|-0.042151195|-0.031435038|2|0.003906274|0.126238077|-0.073958723|-0.427696371|0.059273664|0.558482531|1|0.7880718659999999|-0.070714528|0.228641034|-58.53311596|14.84036772|43.30287556|140.15462380000002|-0.035779855|9.814393755|90.15900589|0.743451788|-30.92760432|72.23920014|61.60607046|0.4972095239999999|521.1762769999999|2283.383402|0.256548212|7.833745658|15.58053709|31.82765022|0.020725002|-322.004381|1495.89956|597.2903597999999|13.70608418|0.0|0.0|1.0|0.0|1.0|3.42|0.05|-7.93|105.02|3.78|1.0|120.2|0.0|1.0|5.0|32.0|447.46|4.05|-5.27|2.09e-06|0.00242|3.78|0.0|0.0|1.17e-08|3.97|-1828.363862|1150.31|338.46|0.3855|338.46|0.6219399999999999|-0.14844|7.0157|-0.22824|0.02204118|-1828.222578|9.8981|2.0|8.6737
3b_a12|0.0|0|0|0.0|0|0.0|1|1|0.0|0.156777705|-0.007916598|0.0|-0.043495794|0.0375|-0.004028952|-0.065558712|-0.003968827|0|-0.003019113|-0.19952566|-0.071149325|-0.547002361|-0.008328578|0.802482465|0|0.903204699|-0.064393592|0.073824142|-46.11064215|5.401901357000001|41.13468455|50.46508298|-0.034016616|2.816328871|0.0|0.7688221909999999|-17.50314491|54.77629766|38.97406803|0.390744506|470.8937285|1935.211747|0.2311778089999999|6.6333156660000006|10.88757628|23.06757345|0.0166212889999999|-280.3056362|899.6353646|406.0361621|8.665655511|1.0|1.0|0.0|1.0|1.0|3.82|0.05|-8.1|37.28|3.99|0.0|102.53|0.0|1.0|3.0|24.0|332.79|3.59|-4.64|5.539999999999999e-05|0.00759|3.78|0.0|0.0|7.91e-09|3.96|-1410.947421|915.37|328.51|0.5013|294.55|0.6654800000000001|-0.15229|5.9551|-0.2232|0.02444371|-1410.8759220000002|8.5678|49.0|7.3098
19f_a38|0.0|1|0|3.3320764830000003|0|7.412764017000001|2|2|0.0|-0.036714749|-0.007831113|5.351858133|-0.084341564|0.041808786|-0.002526241|0.035480177|-0.054832432|1|-0.000673716|-0.017421394|-0.101303149|-0.4288343429999999|-0.075025988|0.698414933|0|0.750875987|-0.085318318|0.488059925|-71.10679028|13.4639011|125.7493111|159.14822980000002|-0.037844587|8.601162122|12.14075726|0.734437553|-34.81887413|84.35196967|67.96791709|0.453960261|479.6831205|2846.860803|0.265562447|6.164440995|11.28936331|32.91812709|0.020733452|-299.5321167|1645.906354|595.8790650000001|13.24517938|1.0|1.0|1.0|1.0|3.0|4.82|0.14|-6.86|81.23|2.4|0.0|125.69|0.0|1.0|5.0|30.0|401.44|2.67|-4.17|7.209999999999999e-05|0.0272|2.78|0.0|0.0|1.4e-07|3.41|-1332.160846|1105.62|360.19|0.3205|233.07|0.7056100000000001|-0.14369|5.3152|-0.20104|0.02936908|-1332.004601|7.1655|73.0|7.1397
19a_a38|0.0|1|0|3.3685352889999995|0|7.412764017000001|2|2|0.0|-0.084389038|-0.007986407|5.351858133|-0.082283951|0.043848238|-0.002526241|-0.122385526|-0.077535135|1|-0.000673716|0.116434494|-0.101303149|-0.4342819429999999|0.031696119|0.698414933|0|0.747152898|-0.08593151|0.298938581|-64.73159672|13.23456869|137.2318698|151.1278869|-0.038988111|7.910363161|0.0|0.744796537|-30.69910427|77.20795279999999|64.59623135|0.465829126|446.57675660000007|2304.055966|0.255203463|6.923156054|12.96056449|31.28824271|0.020873781|-292.6320538|1564.412135|595.8790650000001|12.47635608|1.0|1.0|1.0|1.0|3.0|4.83|0.14|-6.86|81.23|2.4|0.0|125.69|0.0|1.0|5.0|30.0|401.44|2.68|-4.17|7.209999999999999e-05|0.0272|2.78|0.0|0.0|1.4e-07|3.41|-1332.1529369999998|1092.25|339.65|0.2668|316.19|0.68835|-0.15108|4.7986|-0.20379|0.03338983|-1332.002093|6.0223|0.01|8.0106
21_a34|0.0|0|0|0.0|1|8.002694162000001|2|2|1.88614418|0.026135784|-0.012535886|5.860786223|-0.091664226|0.036880342|-0.001643445|-0.004734657|-0.009996155|1|0.00130996|-0.201539853|-0.254686357|-0.514364527|0.116926272|0.660871869|0|0.676390843|-0.09533089|0.527371706|-79.03896823|22.9240533|168.9671187|217.1470086|-0.041572921|15.38241267|77.34839362|0.728260094|-42.9239565|95.12565978|86.89263143|0.4688149339999999|453.8692584|2429.6035|0.271739906|7.253455092999999|13.65523159|38.30514214|0.023973624|-306.332473|1953.562249|659.7484451|16.08669155|0.0|0.0|1.0|1.0|0.0|3.43|0.12|-7.68|86.55|1.72|1.0|122.59|0.0|1.0|4.0|33.0|438.43|3.03|-4.71|3.14e-05|0.0085|3.02|0.0|0.0|2.07e-08|7.78|-1483.305698|1182.6|401.11|0.2174|288.26|0.69292|-0.13338|5.3432|-0.20872|0.03023936|-1483.12009|7.9399|3.36|5.4737
14b_a50|0.0|0|1|0.0|2|7.934155233999999|2|2|4.240438135|-0.092558007|-0.003935732|5.82008293|0.0228205129999999|0.030219907|0.010215823|0.037777505|-0.041169251|2|0.011249462|-0.106938404|-0.1786649189999999|-0.306633966|0.030057537|0.71456262|1|0.904076348|-0.050362464|0.7031402240000001|-50.27694576|14.70317076|25.31245624|62.89861413|-0.025558317|9.64109526|192.8987555|0.637281054|-21.65397937|64.58491917|47.72661339|0.445384689|592.81677|2984.248708|0.362718946|6.3538844910000005|11.45638132|26.29763086|0.021820402|-180.03459850000002|1577.857852|825.4425942|14.30797341|1.0|1.0|1.0|1.0|0.0|4.64|0.35|-6.86|66.99|2.32|0.0|128.39|0.0|1.0|7.0|33.0|441.52|3.6|-4.78|2.51e-05|0.0074099999999999|3.51|0.0|0.0|1.3900000000000001e-07|3.05|-1431.037684|1253.87|304.07|0.1637|234.67|0.64303|-0.16874|5.3711|-0.1936|0.03081037|-1430.7933859999998|6.7927|6.58|5.1818
3j_a32|0.0|1|1|3.564417045|0|8.234564993|0|1|0.0|0.0053427669999999|-0.006580847|6.3044488020000005|-0.017889768|0.037373737|-0.000202965|-0.086191775|-0.052622352|3|0.001173363|-0.055211759|-0.052818794|-0.528541012|-0.020129489|0.7557114|1|0.865101945|-0.070289671|0.27811778|-50.46105839|7.315176208|47.55031019|71.64373163|-0.030815085|3.885056172|0.0|0.7487739999999999|-19.82606536|58.58770587|44.64569478|0.4482615029999999|459.4516326|1778.1826620000002|0.251226|5.900829539|10.69497519|21.85672669|0.015301673|-264.245436|808.6988876|398.2788055|8.126647477|1.0|1.0|1.0|1.0|1.0|3.27|0.24|-6.69|110.94|1.94|0.0|95.74|0.0|1.0|3.0|23.0|338.45|4.09|-4.8|1.21e-06|0.00533|3.89|0.0|0.0|2.03e-07|3.02|-1671.479105|934.19|354.42|0.3005|354.42|0.7028|-0.14498|3.6238|-0.19859|0.02833407|-1671.402462|5.9266|8.0|8.0969
12j_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.0|0.04148877|-0.006336585|5.351858133|-0.033312179|0.043848238|0.005613018|0.0074730759999999|-0.075816941|1|0.005965451|-0.0431311459999999|-0.053644471|-0.456342646|0.0060012969999999|0.7991060659999999|0|0.842199041|-0.073909106|0.328405591|-60.832977500000005|10.09017681|88.51817261|101.9784021|-0.036204884|6.520746879|0.0|0.8134611009999999|-30.8670468|69.55167701|57.85371764|0.476658597|544.2686362000001|2258.891981|0.1865388989999999|8.067697897|15.41574553|28.76265258|0.01349128|-405.1466163|1495.657934|686.039456|8.71869951|1.0|0.0|1.0|0.0|1.0|4.76|0.17|-7.01|81.65|3.04|0.0|132.24|0.0|1.0|5.0|30.0|412.51|2.91|-5.15|2.21e-06|0.00291|4.23|0.0|0.0|9.75e-08|4.14|-1615.064152|1175.75|356.4|0.2163|238.56|0.68625|-0.14772|4.6727|-0.1987799999999999|0.03201935|-1614.894278|5.1081|9.0|8058.0
14u_a23|0.0|0|1|0.0|2|7.423568444|0|0|3.357982471|-0.066969083|-0.007017844|5.351858133|-0.025360103|0.043321995|0.010561248|-0.026062012|-0.0569153009999999|2|0.010508236|0.091604179|-0.110069159|-0.4086345999999999|-0.001778422|0.71381683|1|0.909754912|-0.055259924|0.445665682|-57.75236052|16.97420126|43.06242147|60.27663131|-0.033908155|11.3374334|50.47632596|0.702868983|-24.65250654|73.50348823|53.88349042|0.47648509|607.6448353|2430.634114|0.297131017|7.392527755|14.12094979|32.2221994|0.023582305|-271.0010972|1643.332169|683.7405759|15.75112771|0.0|0.0|1.0|1.0|1.0|3.59|0.09|-7.51|114.25|2.72|1.0|126.78|0.0|1.0|6.0|32.0|441.51|3.48|-5.02|2.32e-06|0.0042299999999999|3.55|0.0|0.0|3.11e-08|3.23|-1744.422541|1214.4|389.66|0.2253|306.82|0.6703100000000001|-0.1543|5.9743|-0.21613|0.0237199999999999|-1744.2405670000005|8.1549|6.0|8.2449
