molecula|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|AATSC7i|MATS1i|AATSC1i|GATS1are|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
13k_a6|1|0|3.423411754|0.0|0|7.412764017000001|1|1|0.0|0.031525207|5.351858133|1|0.04162037|0.051404465|0.0|-0.009326562|0.0809333929999999|-0.072504783|0.08217847|-0.045794891|-0.073210645|0.8694295409999999|0.84018367|0.827754203|0|0.641032542|-0.11937574|-0.127178105|0.212093198|0.0296987679999999|-82.8774254|183.1261118|249.215618|-0.045420752|-61.29890279999999|14.31458589|0.7971316940000001|-2.543562101|-57.53822059|100.7779947|103.4959988|0.426031882|2966.890288|-1765.8854210000002|3332.974951|0.202868306|8.370126134|6492.211639|39.55891914|0.017981419|-412.5714301|741.5222707|12.48372364|1.0|3.68|23.0|4.55|3.8|115.15|0.0|124.98|0.0|7.0|33.0|0.0|1.0|3.18|-4.77|3.26e-06|1.7100000000000002e-05|0.0075599999999999|3.39|0.0|1.29e-09|-0.04851|3.5476|-1465.862962|-1465.83213|1246.69|349.49|242.53|0.70536|-1465.557346|0.0137|8.1639|0.0308324|46.0|7.3372|7.3372
1b_a5|1|0|2.881451247|0.0|0|6.605297921|0|0|0.0|-0.250420203|4.59511985|2|0.0248765429999999|-0.095857885|0.0|0.003886035|0.001241264|-0.028797464|-0.220946861|0.019611905|0.045204303|0.567806811|0.827319059|0.558485747|0|0.808828623|-0.07823203|-0.077221824|0.341795323|0.010803163|-39.38248661|168.30518769999998|96.23685048|-0.031306145|-19.56938257|2.737713392|0.7324812509999999|-1.158327367|-19.82538668|48.55415504|44.82086533|0.474445758|2171.716467|-583.1091414|919.9167129|0.267518749|6.11909445|4577.125071|21.51550842|0.019229427|-234.0649914|357.34245360000006|9.680212283|1.0|2.75|23.0|4.88|4.76|54.46|0.0|90.44|0.0|3.0|24.0|0.0|1.0|3.38|-4.3|0.000106|4.970000000000001e-05|0.0157|3.16|0.0|4.99e-09|-0.04135|4.6481|-1050.538976|-1050.506509|892.61|266.74|258.89|0.43728|-1050.413506|87.0|2891.0|0.03246637|59.0|7.2291|7.2291
12o_a30|0|0|0.0|0.0|0|7.412764017000001|2|2|0.0|0.036331447|5.351858133|2|0.040899471|-0.089996613|0.0|0.00372838|0.019094532|-0.087019298|-0.157974241|-0.051371057|-0.090173435|0.8264832879999999|0.870930234|0.7463962120000001|0|0.844344883|-0.076908942|-0.0975052409999999|0.402022325|0.015460222|-49.48891079|75.15128057|100.1600333|-0.037808155|-40.37291185|6.401442327000001|0.8131344979999999|-1.852599578|-31.84483128|71.87393121|59.43716284|0.46964626|2860.371518|-1192.099807|2476.50603|0.186865502|7.400912529|6542.77337|29.91948755|0.0141914589999999|-402.9878652|652.8825454|9.131836103|0.0|4.63|17.0|4.47|3.27|81.65|0.0|132.29|0.0|5.0|30.0|0.0|1.0|3.11|-5.44|1.19e-06|3.61e-06|0.00156|4.49|0.0|6.03e-08|-0.05085|3.4817|-2035.37262|-2035.338699|1162.63|356.1|238.73|0.6854399999999999|-2035.139147|149.0|5559.0|0.03392126|16.0|7.8097|7.8097
11d_a31|1|0|3.39688681|0.0|0|7.765993078999999|1|1|0.0|0.064475882|5.733341277|0|0.0388738739999999|0.016799834|0.0|-0.009496378|-0.092360393|-0.078235092|0.026806221|-0.096447723|-0.153894316|0.819298311|0.868115289|0.78396996|0|0.585212816|-0.134031221|-0.134048091|0.197166451|0.034417775|-82.05480081|296.2476128|253.9354598|-0.040797245|-50.24081482|12.89967697|0.6817705409999999|-1.87667327|-50.23449218|98.8237718|103.1255906|0.4816588089999999|2532.447962|-1148.911798|2039.207676|0.318229459|7.885647873|5420.356537|36.63453013|0.027374162|-222.5622569|505.4234462|16.75864338|1.0|3.6|16.0|5.43|4.03|125.57|0.0|102.13|0.0|7.0|27.0|0.0|1.0|3.34|-4.2|3.33e-06|6.26e-05|0.0241|3.17|0.0|5.83e-07|-0.03404|3.8009|-1598.7152199999998|-1598.671315|1077.69|326.2|326.2|703.0|-1598.4848980000002|0.2642|3.1919|0.04390452|0.03|7.5229|7.5229
17a_a25|0|0|0.0|0.0|1|6.842683282|0|0|1.826085128|0.0055894319999999|4.727387819|2|0.043274232|-0.017081614|2.008884939|0.0063846319999999|-0.0688716509999999|0.006360768|-0.02776212|-0.047099434|-0.07654898|0.6741827509999999|0.8005589320000001|0.659740852|1|0.874586929|-0.06234901|-0.079378741|0.348821736|0.012665055|-44.46905084|93.75234138|89.44809639|-0.0297670279999999|-40.379488|6.442637379|0.755980502|-1.666953566|-31.71656603|67.57985355|53.50212109|0.468791604|2907.309477|-1188.917727|2432.071525|0.244019498|8.996672966|6250.571217000001|28.08362601|0.015373381|-365.1448527|781.7487682|10.96472369|1.0|3.48|27.0|4.83|5.31|72.7|0.0|131.06|0.0|7.0|33.0|0.0|1.0|4.04|-5.13|7.5e-06|7.44e-06|0.00323|3.9|0.0|1.05e-10|-0.05255|3.9347|-1391.625102|-1391.588873|1271.9|315.11|235.34|0.6722|-1391.321455|0.1735|3.4677|0.0362293|25.0|7.6021|7.6021
8_a27|1|0|2.599100867|0.0|1|6.605297921|0|0|1.7626247169999998|0.188762686|4.59511985|2|0.039673203|-0.14212377|1.21499748|0.0040883959999999|0.093450172|0.067074515|-0.24946295|-0.106814855|-0.187486926|0.6812785379999999|0.8688656459999999|0.64927069|1|0.776384028|-0.078709803|-0.092265073|0.3608031339999999|0.021852066|-37.50265703|122.0597403|106.5457267|-0.035880862|-20.94612822|4.960882344|0.751701834|-1.291711016|-17.86879446|53.20197882|47.91445451|0.479730655|2132.9321670000004|-615.4582227000001|989.0070768|0.248298166|5.016799703|4522.989286999999|22.74314225|0.019394143|-239.8554499|326.3351007|9.240677197|0.0|2.79|21.0|2.98|2.48|76.46|0.0|87.68|0.0|2.0|23.0|0.0|1.0|2.38|-3.52|0.000586|0.000299|0.0907|2.0|0.0|5.2e-07|-0.05015|4.1276|-1004.515654|-1004.489001|848.58|300.38|300.38|0.64893|-1004.385302|0.2336|3.0415|0.02665292|6.0|8.2218|8.2218
19i_a38|1|0|3.169368622|0.0|0|7.412764017000001|2|2|0.0|-0.125335237|5.351858133|2|0.043197531|0.08414367|0.0|-0.006877664|-0.074033381|-0.053762162|0.215263198|-0.098027247|-0.250781298|0.653741315|0.892249657|0.632625562|0|0.747158407|-0.08347616|-0.113250303|0.4748744179999999|0.022576308|-51.15830416|137.7658863|154.953787|-0.040770109|-42.53502816|8.479305267|0.7419238420000001|-2.038505453|-31.35232957|82.98550237|64.99417804|0.444551315|2896.470706|-1249.2965869999998|2335.0953870000003|0.258076158|6.690507557999999|6744.7785650000005|33.67721904|0.022159015|-296.5257022|593.6088758|13.5801364|1.0|4.8|17.0|3.55|3.11|81.23|0.0|125.65|0.0|5.0|31.0|0.0|1.0|3.04|-4.33|5.68e-05|4.67e-05|0.0196|2.88|0.0|7.599999999999999e-08|-0.0564799999999999|3.6129|-1431.415351|-1431.384243|1101.03|343.17|217.36|0.69267|-1431.181148|0.1886|6.6636|0.03110827|13.0|7.9031|7.9031
8_a15|0|0|0.0|0.0|0|0.0|0|0|0.0|-0.208657545|0.0|1|0.039181287|0.155304204|0.0|1.7800000000000002e-05|-0.010146469|-0.014489333|0.225620047|-0.203104439|-0.295062413|0.85357243|0.742680335|0.8105478740000001|0|0.853896482|-0.071552706|-0.118293578|0.381651497|0.0336657729999999|-41.7821007|104.8781037|85.31489861|-0.028969856|-40.33569847|11.47934212|0.519427411|-1.419522941|-24.39801408|89.80283608|61.44071008|0.389723411|2393.276181|-828.9085544|1919.535904|0.480572589|6.093505548|5306.2234530000005|32.56759415|0.035495625|-22.68867482|532.0914339999999|20.72712321|1.0|3.14|18.0|3.9|4.95|61.84|0.0|104.74|0.0|7.0|27.0|0.0|1.0|3.76|-4.81|5.63e-06|1.53e-05|0.00562|4.24|0.0|2.69e-08|-0.02723|3.7426|-1223.704913|-1223.687714|1050.15|331.28|279.58|0.70524|-1223.463981|0.0155|1.1415|0.01719864|108.0|6.9666|6.9666
5_a47|0|0|0.0|0.0|0|0.0|0|0|0.0|0.019688132|0.0|2|0.037492877|0.003858593|1.284688504|-0.012670377|-0.002627182|0.045246333|0.0083528919999999|-0.019811664|-0.0428873159999999|0.7063295709999999|0.861595935|0.675164258|1|0.807957755|-0.087763105|-0.1001981959999999|0.526509524|0.009936558|-46.33853208|104.9032216|101.3974575|-0.038537768|-27.93318665|2.770107005|0.781571204|-1.502972943|-24.46654029|62.14504725|51.58499074|0.4736061789999999|2368.870941|-793.5630764|1349.003107|0.218428796|5.861037845|5501.708422|26.03444329|0.017501741|-297.3367046|416.1194472|9.240842159|1.0|2.67|22.0|4.73|5.96|58.04|0.0|101.51|0.0|3.0|26.0|1.0|1.0|4.29|-5.5|2.25e-06|3.18e-06|0.00116|4.7|0.0|2.07e-09|-0.05535|3.7083|-1569.369195|-1569.333281|951.68|334.35|334.35|0.69291|-1569.20723|0.2108|2.9121|0.03591467|0.02|7.7|7.7
13f_a6|1|0|3.440154557|0.0|0|6.842683282|0|0|0.0|-0.088329567|4.727387819|2|45.0|0.04505613|1.651047524|-0.003356527|-0.071478789|-0.049928822|0.079490516|-0.126749697|-0.223618825|0.841211811|0.834167942|0.790249345|1|0.863222493|-0.073352505|-0.092939631|0.176745407|0.018554018|-49.2635105|62.42897239999999|91.85971442|-0.032802223|-41.92004677|8.368715213|0.720711855|-1.672913351|-33.08535238|75.61173794|61.72438096|0.401838426|2869.925064|-1123.527884|3253.287533|0.279288145|9.050440345|6128.208571|30.56694343|0.0196449239999999|-296.4599736|676.2770877|13.19352214|1.0|3.56|27.0|5.01|4.53|103.17|0.0|123.82|0.0|5.0|32.0|0.0|1.0|3.19|-4.78|7.74e-06|1.65e-05|0.00688|3.27|0.0|6.59e-11|-0.07786|3139.0|-1347.301285|-1347.266914|1202.78|394.98|256.1|0.70541|-1347.018087|0.0048|10.8469|0.03437105|42.0|7.3768|7.3768
