molecula|SddssS|NaaNH|n9FaRing|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|GATS1pe|RASA|FNSA3|PBF|FPSA3|PNSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Log Po/w MLOGP|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
21c _a23|0.0|0|1|0|0|1.197962776|3.311482916|0.178300778|-0.009944003|2|0.043130342|0.731360766|-0.576752175|0.003456487|-0.092608459|10.3132171|-0.039311241|2|-0.036896213|2|0.7641222459999999|0.149511954|-0.060079444|0.7301130229999999|0.790596437|-0.08365474|0.2571258939999999|0.014036138|-59.46209153|323.3651097|0.209403563|148.8448086|-0.040210758|-49.86692499|7.09164338|94.32302529|0.834557275|-2.171380929|-42.26586935|0.468609427|3161.1237530000003|561.9588018|-1543.4254039999998|-20.31615463|16.83467928|0.881854988|7227.157398|117.597286|34.24804117|1849.394223|762.0576580000001|0.0|0.0|1.0|1.0|2.0|26.0|3.42|2.49|1.0|6.0|-5.63|5.0|-7.13|468.53|0.0|0.0|3.0|2.35e-06|0.0011|1.92e-05|9.0|0.0|0.0|2.2e-05|-0.07892|3.6649|4.47|3.6649|-1837.964768|-1837.932192|747.88|338.3|587.02|0.5885699999999999|0.5885699999999999|-1837.67081|-0.22981|-1837.736174|8.3979|67.0|7.1752
47f_a18|0.0|0|0|1|1|1.251175676|0.0|-0.005500039|-0.005817448|0|0.031179487|0.0|-0.477030713|0.0036509859999999|0.033759227|10.94702253|-0.008224928|0|-0.3927204379999999|0|0.765824398|-0.009917608|-0.014370598|0.745431271|0.838156881|-0.063824969|0.375218907|0.0138461289999999|-54.18475173|111.1889928|0.161843119|137.3980967|-0.0289997239999999|-61.15474298|9.979328976|58.84834254|0.726550657|-2.290978185|-46.00060733|0.483843526|3367.7324700000004|711.5604361000001|-1944.945479|-20.90098811|20.44855806|0.937396993|7870.103594|232.14715330000004|33.88554232|2676.957843|1347.416568|1.0|1.0|1.0|1.0|2.0|18.0|3.6|2.79|1.0|13.0|-6.11|4.0|-6.4|541.68|0.0|0.0|2.83|7.76e-07|0.000421|3.01e-06|0.00163|1.0|1.0|3.27e-07|-0.04439|3.0964|8.13|3.0964|-1743.375413|-1743.346389|908.66|400.42|874.24|0.6984600000000001|0.6984600000000001|-1741.724929|-0.1724099999999999|-1741.802171|4.4861|9.0|8.0458
8c_a31|0.0|1|0|1|1|0.610137334|0.0|-0.012583838|-0.01275867|0|0.03995098|0.0|-0.574140137|-0.0080009219999999|-0.1903992189999999|10.31169969|-0.1029580369999999|2|-0.09039853|0|0.922486359|0.006000201|-0.1759864119999999|0.87237334|0.626072761|-0.1170607269999999|0.280934088|0.029669107|-64.57121646|133.3100368|0.3739272389999999|206.2599245|-0.039640027|-38.96685783|9.027343766|477.2277896000001|0.72308253|-1.66488115|-35.61776956|0.47508938|2251.08563|345.3445134|-918.3558307|-12.06117028|12.99457133|0.90508624|4835.748065|152.7489054|30.23944586|1270.056726|423.1367008|1.0|1.0|1.0|1.0|2.0|16.0|3.13|0.85|1.0|5.0|-4.42|5.0|-6.7|342.42|0.0|1.0|2.83|3.79e-05|13.0|0.000237|0.0811|0.0|0.0|0.0002549999999999|-0.03222|3.8492|1.83|3.8492|-1426.166503|-1426.129055|595.67|322.11|475.72|0.7005|0.7005|-1425.968408|-0.19207|-1426.024361|5.1815|0.81|6.0915
12aq_a36|0.0|1|0|2|2|1.297043497|0.0|0.0332421529999999|-0.0116333169999999|2|0.041728395|0.0|-0.674732412|-0.006653538|-0.1031859869999999|10.95447882|-0.028591187|1|-0.090926893|1|0.892815402|-0.0606936879999999|-0.047695595|0.849217847|0.681470612|-0.1093001919999999|0.162384515|0.021389734|-73.0277723|86.6958382|0.318529388|212.8220574|-0.042953452|-54.49698711|9.548598682|112.415579|0.7619767479999999|-2.319486422|-48.79273723|0.426481765|2932.54604|455.31741460000006|-1549.740434|-19.17486584|14.98931431|0.743623723|6296.75201|159.03272990000002|37.66374367|2033.842158|689.2886595|0.0|0.0|1.0|0.0|3.0|17.0|0.98|1.28|1.0|6.0|-3.52|5.0|-7.79|424.46|0.0|0.0|1.15|0.000304|129.0|0.000359|152.0|0.0|0.0|0.000305|-0.06059|3.9049|3.88|3.3759|-1401.669694|-1401.637414|703.04|317.51|534.96|0.6933199999999999|0.7058300000000001|-1401.391057|-0.19967|-1401.452487|8671.0|55.0|7.2596
17a_a6|0.0|1|0|1|1|1.424257628|0.0|0.101940358|-0.012704951|1|0.041767677|0.0|-0.686067347|-0.00460563|0.078798543|10.94948984|-0.060774312|1|-0.180339002|1|0.850080948|0.08716369|-0.106323149|0.8013954109999999|0.753082653|-0.096082495|0.350977745|0.031147305|-63.02857512|157.13173490000003|0.2469173469999999|161.9738174|-0.041567592|-47.07146289|13.40315088|554.1936506|0.77193498|-2.078379577|-41.34573382|0.483320982|2816.084228|494.010135|-1363.383649|-17.887155899999996|16.13665395|0.935437602|5996.580489|149.60699319999998|35.323795000000004|1766.18975|627.4287311|1.0|1.0|1.0|1.0|2.0|23.0|4.32|1.7|1.0|5.0|-5.81|5.0|-5.89|409.44|0.0|1.0|3.59|1.56e-06|0.000637|6.69e-06|0.00274|0.0|0.0|4e-07|-0.05753|3.5421|4.04|2.9753|-1350.102634|-1350.078838|696.96|350.03|574.02|0.69627|0.7024|-1349.830672|-0.18178|-1349.892285|5604.0|24.0|7.6198
6g_a40|0.0|0|0|1|2|0.604893315|1.628664494|0.102683335|-0.022381557|0|0.039863946|0.607999575|-1.09669629|-0.019683422|0.07194868|10.30179936|-0.251161616|2|0.05728593|0|0.8316888240000001|0.075283207|-0.340429901|0.808096413|0.605346707|-0.164941808|0.400587529|0.017750905|-107.2113398|328.78166810000005|0.3946532929999999|256.5226419|-0.059045173|-66.03405036|7.499640603|47.36081569|0.824204189|-2.657032782|-69.68682788|0.425569146|3142.74733|393.4722933000001|-1727.0578510000005|-24.9461968|12.10032156|0.740853565|7822.892656|114.2663866|46.56499428|2095.424743|590.1686672000001|0.0|0.0|0.0|1.0|3.0|14.0|2.48|0.59|3.0|5.0|-7.22|7.0|-7.02|474.53|0.0|0.0|2.37|6.049999999999999e-08|2.87e-05|1.93e-05|0.00917|1.0|0.0|0.6459999999999999|-0.08622|3.3197|7.38|2.8135|-2522.023752|-2521.990118|669.8|373.48|514.77|0.58454|0.5794199999999999|-2521.8114530000003|-0.20479|-2521.87499|8.9454|47.0|7.3279
5d_a40|0.0|0|0|0|1|0.6049133329999999|1.601200869|-0.071479892|-0.005662681|0|0.044526749|0.716041667|-0.1868684619999999|0.007200253|0.2078052269999999|10.31198333|0.029272031|2|-0.009744685|0|0.496945486|0.145024458|0.0451110059999999|0.483934049|0.754010052|-0.086193996|0.049855551|0.022027556|-39.55506228|181.4728912|0.245989948|112.88660690000002|-0.0377110779999999|-19.85450535|4.638915105|53.85026982|0.8111805740000001|-1.131332331|-18.15211073|0.479931934|1974.583878|346.0207917|-519.1767771000001|-7.94180214|12.09256826|0.922825231|4051.712713|86.65063178|21.3342049|640.0261471|243.4287716|1.0|0.0|0.0|0.0|0.0|14.0|3.64|2.25|2.0|3.0|-4.23|4.0|-5.94|287.31|1.0|1.0|3.1|5.9e-05|17.0|0.000152|0.0436|0.0|0.0|0.0137|-0.06796|3.7374|4.61|3.7374|-1276.833831|-1276.817151|473.48|331.74|365.74|0.69613|0.69613|-1276.751174|-0.2164699999999999|-1276.797751|9.2439|19.0|7.7212
21_a4|0.0|0|0|1|1|1.399863887|2.026698554|-0.164057585|-0.003068098|1|0.042924837|0.0|-0.131928225|0.012362563|-0.2897937889999999|10.94593332|-0.104638158|1|-0.099702401|1|0.6952936|0.090847781|-0.174578783|0.674434042|0.932146735|-0.0571545999999999|0.239652988|0.020173071|-28.99048719|63.37635587|0.067853265|34.4171635|-0.028676424|-19.67444009|5.190159022|66.03320922|0.7231676229999999|-1.147056976|-14.70482428|0.401240904|2045.488184|472.812128|-581.8208971|-7.377915035|9.956436217|0.670120767|4277.396118|140.4174905|20.11362507|804.5450027|387.240586|1.0|1.0|1.0|1.0|0.0|17.0|3.85|2.32|2.0|3.0|-3.88|3.0|-5.76|303.36|1.0|1.0|3.23|0.000133|0.0403|6.51e-05|0.0197|0.0|0.0|0.000352|-0.02956|5.1623|3.31|4.0245|-973.5683008|-973.5481197|549.71|240.17|446.0|0.5260600000000001|0.66476|-973.400097|-0.19588|-973.449892|2.9409|121.0|6.9172
12h_a30|0.0|0|0|2|2|0.604984682|0.0|0.046965756|-0.00737961|2|0.043848238|0.0|-0.391119352|0.001139238|0.001698966|10.31162898|-0.072247675|1|-0.120380857|1|0.669561738|0.008644634|-0.1240820219999999|0.64876559|0.763568404|-0.083127678|0.353607682|0.017389133|-52.88851758|89.66095835|0.236431596|150.42542849999998|-0.038417127|-40.10503079|7.038974807000001|0.0|0.7979748729999999|-1.882439244|-33.64938551|0.468446216|2848.98238|485.8069155|-1197.668733|-15.55093031|15.1759206|0.881277172|6252.192213|128.5349203|30.63031164|1500.88527|618.6004214|1.0|0.0|1.0|0.0|1.0|17.0|3.18|3.2|1.0|5.0|-5.39|5.0|-6.02|416.47|0.0|0.0|2.92|4.12e-06|0.00171|9.71e-06|0.00405|0.0|0.0|5.260000000000001e-05|-0.05347|5.0289|4.07|3.5101|-1675.011389|-1674.977665|672.54|246.54|518.06|-0.26697|0.68543|-1674.777786|-0.2023599999999999|-1674.838376|3.4138|9.0|8065.0
47l_a18|0.0|0|0|1|1|1.251176792|0.0|0.0340353029999999|-0.006400878|0|0.035308642|0.0|-0.428858819|-0.00046896|-0.010426981|10.94702063|-0.056270425|0|-0.156998637|0|0.7452092359999999|0.00676294|-0.0973326269999999|0.733228144|0.803473313|-0.08034939|0.2820044969999999|0.009199889|-57.15119372|11.54768766|0.196526687|139.7861865|-0.031456589|-42.43906517|4.654446622|51.44279524|0.796109347|-2.0132216990000003|-40.65070014|0.4897655489999999|2852.093627|571.4972966|-1431.971342|-15.91464944|18.46922943|0.959883341|6572.90106|145.02405359999997|28.10487315|1798.711882|931.8364349|1.0|1.0|1.0|1.0|3.0|18.0|3.19|2.94|1.0|9.0|-5.26|3.0|-6.39|454.56|0.0|0.0|2.72|5.44e-06|0.00247|1.4499999999999998e-05|0.0066099999999999|0.0|0.0|1.93e-07|-0.0520399999999999|3.2026|7.71|3.2026|-1455.5758039999998|-1455.5497369999998|764.74|387.13|667.5|0.69291|0.69291|-1455.165122|-0.18344|-1455.233431|3.3864|32.0|7.4949
