molecula|SddssS|n9FaHRing|n9FaRing|nAHRing|BCUTs-1|SaasN|AATSC1c|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|BIC2|MATS8s|SIC2|GATS1pe|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|PPSA1|DPSA4|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
13g_a6|0.0|0|0|0|1.424099171|0.0|-0.006574579|0.004767264|0.043020833|1.648997541|-0.381325604|-0.002407131|-0.080022038|1|0.061423911|-0.12414699|-0.215607882|0.774238891|0.095969451|0.832753533|0.789769968|-0.074216821|-0.091949419|0.2141642839999999|0.017637229|-51.67543048|-64.02222283|12.28038897|68.57626488|0.128027951|-0.0323525729999999|-44.57717132|8.550546653|76.50577593|63.95581946|2929.039254|607.1336751|-1216.422234|3916.754765|-15.68456028|0.264266646|7.968172425|184.0026638|30.61752948|744.1359788|12.48355309|1.0|1.0|1.0|1.0|1.0|2.0|2.34|0.12|4.79|103.17|0.0|0.0|0.0|6.0|33.0|-6.31|431.49|0.0|1.0|3.47|2.77e-06|0.0|0.0|2.67e-11|1.15e-08|-0.07536|5.9869|3.83|-1386.611265|-1386.573241|739.55|1253.71|0.8442|207.09|0.7034100000000001|0.0105|-0.1327|10.1708|-0.20806|0.03802398|13.3225|119.0|6.9245|6.9245
12bg_a36|0.0|0|0|2|1.29692796|0.0|-0.0076819|-0.044573523|0.044197531|0.0|-0.414822602|-0.001012333|-0.0206090089999999|1|0.097928606|-0.101451485|-0.1716508239999999|0.836170906|-0.023460562|0.892249657|0.771220556|-0.075439837|-0.102664465|0.543472602|0.019606406|-51.74990566|-70.42534258|13.44952052|107.3347739|0.159389648|-0.036959207|-48.31008346|9.22604612|83.78068847|65.19942617|2925.402039|576.6383913|-1267.656166|2915.548359|-17.39163005|0.252132272|7.549463377|172.9566471|33.900544700000005|661.6709012|13.35534589|1.0|0.0|1.0|1.0|0.0|2.0|0.0|0.14|3.19|69.2|0.0|0.0|1.0|5.0|31.0|-6.26|450.32|1.0|1.0|2.82|8.27e-06|0.0|0.0|1.74e-08|7.83e-06|-0.0542299999999999|3.8944|4.42|-2152.13793|-2152.104584|703.94|1186.75|0.4409|318.36|0.69395|0.4409|-0.15743|6.6844|-0.21166|0.03334656|9.3601|15.0|7.8239|7.8239
19_a4|-3.21497177|0|0|1|0.29641517|1.943606348|-0.0023503029999999|-0.3929802189999999|0.040511696|0.0|-0.105763614|0.006243904|-0.136621315|1|-0.086166959|-0.0255403279999999|-0.042058265|0.774746438|0.152550043|0.834377354|0.514505012|-0.070677568|-0.0759826109999999|0.285282038|0.013022539|-38.9063534|-41.82665583|7.168604362000001|15.411502800000004|0.1792349369999999|-0.028945757|-23.02459887|3.946149569|49.73882261|46.07495776|2558.336814|451.8120313999999|-669.2264932|1697.595595|-8.771275759|0.235119747|5.9448291|129.4279389|20.83197214|450.6848883|7.912166787999999|1.0|0.0|1.0|0.0|1.0|0.0|2.52|0.16|4.32|73.23|0.0|0.0|1.0|3.0|25.0|-6.58|351.42|1.0|1.0|2.92|0.000156|0.0|0.0|8.070000000000001e-07|0.0002839999999999|-0.05294|4.1858|6.67|-1446.939719|-1446.909868|583.39|983.4|0.3806|296.2|0.67535|0.3806|-0.17004|5.8295|-0.22298|0.02985188|7.1079|19.5|4.71|4.71
A8301_a51|0.0|0|0|0|1.197963627|1.700610355|-0.00449765|-0.028789626|0.039058957|1.987294898|-0.242873103|0.00740124|-0.1227504419999999|1|0.135886548|-0.0357324579999999|-0.0618359079999999|0.6959300979999999|-0.013846396|0.750630149|0.7234449559999999|-0.055295165|-0.0780376929999999|0.339244706|0.008152073|-35.90764428|-50.67621589|5.293803823|36.55933899|0.065260105|-0.032775831|-32.90818536|3.437697042|56.90163721|41.20144811|2799.106729|607.0025787000001|-1064.200534|2461.663545|-13.82143785|0.145040365|6.890532887999999|94.18649643|24.89475504|690.8826121000001|6.225421319|1.0|1.0|1.0|1.0|1.0|1.0|3.5|0.04|5.52|87.72|1.0|0.0|1.0|5.0|31.0|-5.31|421.52|0.0|1.0|4.58|2.5e-07|0.0|0.0|4.12e-10|1.74e-07|||||||||||||||||12.0|7.9208|7.9208
5d_a40|0.0|0|0|0|0.6049133329999999|1.601200869|-0.005662681|0.0418378229999999|0.044526749|0.716041667|-0.1868684619999999|0.007200253|0.029272031|2|-0.259985037|-0.0038660009999999|-0.009744685|0.8092726020000001|0.145024458|0.877722972|0.483934049|-0.086193996|-0.094277694|0.049855551|0.022027556|-39.55506228|-43.26473143|10.10860823|181.4728912|0.245989948|-0.0377110779999999|-19.85450535|4.638915105|49.97858532|49.66367051|1974.583878|346.0207917|-519.1767771000001|511.3769101|-7.94180214|0.188819426|6.288958592999999|86.65063178|21.3342049|243.4287716|6.713853887999999|1.0|0.0|1.0|0.0|0.0|0.0|2.56|0.21|3.64|75.5|1.0|0.0|2.0|3.0|20.0|-5.94|287.31|1.0|1.0|3.1|5.9e-05|0.0|0.0|4.7600000000000005e-05|0.0137|-0.06796|3.7374|4.61|-1276.833831|-1276.817151|473.48|765.69|0.4493|331.74|0.69613|0.4493|-0.14851|7.0422|-0.2164699999999999|0.01667985|9.2439|19.0|7.7212|7.7212
19j_a38|0.0|0|0|2|1.29704352|0.0|-0.007976154|-0.04575843|0.04391253|0.0|-0.438688445|-0.004442319|-0.036248822|1|0.23209815|-0.09493054|-0.20848518|0.846765471|-0.001131945|0.908721232|0.6885713729999999|-0.0844479869999999|-0.108006563|0.625966089|0.0250587|-57.80349365|-73.92901683|17.15233756|131.29876370000002|0.192823617|-0.038119963|-50.60340201|11.74054073|90.05233553|74.95583121|2969.234865|552.5012068|-1330.722303|3109.238056|-17.86002424|0.285630155|7.506210369|195.5099392|36.5253298|640.025745|16.123318700000002|1.0|0.0|1.0|1.0|1.0|3.0|2.34|0.13|2.42|105.02|0.0|0.0|1.0|5.0|32.0|-7.13|426.45|0.0|0.0|2.44|4.46e-05|0.0|0.0|1.2099999999999998e-07|5.14e-05|-0.06447|6.0361|3.23|-1424.426858|-1424.390074|686.26|1163.3|354.0|205.41|0.69435|0.2625|-0.15182|10.8124|-0.21629|0.03678378|14.4895|8.0|8.1146|8.1146
8b_a8|0.0|0|0|1|1.395658149|1.42474537|-0.013834266|-0.182065125|0.040054466|0.0|-0.733216119|-0.0055544409999999|-0.03443232|1|0.031896755|0.049587543|0.079250224|0.778853499|0.097555876|0.8354024290000001|0.726912742|-0.130159955|-0.11627069|0.28604765|0.032440348|-79.74587194|-71.23625346|19.87542051|172.84152849999998|0.441645347|-0.047457424|-43.64473805|12.1771918|84.97574547|99.62129245|2863.095568|342.0904577|-1424.7250689999998|1821.324722|-17.8141788|0.218545278|7.507665421|133.8974321|37.20755791|589.263087|13.73949201|0.0|0.0|1.0|1.0|0.0|2.0|2.93|0.09|3.03|112.23|0.0|0.0|1.0|4.0|31.0|-6.87|414.41|0.0|0.0|2.9|1.6899999999999997e-05|0.0|0.0|7.33e-08|3.04e-05|-0.06114|4.5819|6.41|-1407.0843|-1407.052256|640.35|1098.17|0.2618|270.59|0.70195|0.1515|-0.13807|5.8389|-0.19921|0.03204403|7.4497|5.08|5.2941|5.2941
13f_a6|0.0|0|0|0|1.429020649|0.0|-0.006930367|-0.008507023|45.0|1.651047524|-0.381170169|-0.003356527|-0.049928822|1|0.079490516|-0.126749697|-0.223618825|0.77199166|-0.028317736|0.834167942|0.790249345|-0.073352505|-0.092939631|0.176745407|0.018554018|-49.2635105|-62.41821579999999|12.46087045|62.42897239999999|0.136777507|-0.032802223|-41.92004677|8.368715213|75.61173794|61.72438096|2869.925064|579.7398537|-1123.527884|3253.287533|-14.79531062|0.279288145|9.050440345|187.5697972|30.56694343|676.2770877|13.19352214|1.0|1.0|1.0|1.0|1.0|2.0|2.21|0.08|4.53|103.17|0.0|0.0|0.0|5.0|32.0|-6.52|417.47|0.0|1.0|3.19|7.74e-06|0.0|0.0|6.59e-11|2.75e-08|-0.07786|4.8413|3.36|-1347.301285|-1347.266914|711.29|1202.78|901.0|256.1|0.70541|0.0048|-0.12805|10.8469|-0.2059099999999999|0.03437105|13.9612|42.0|7.3768|7.3768
13l_a6|0.0|0|0|1|1.4242139390000002|0.0|-0.0143011819999999|-0.132667824|0.0408037829999999|0.0|-0.858070925|-0.009326562|-0.086595185|1|0.144180269|-0.045794891|-0.073210645|0.7908110340000001|-0.058931734|0.84018367|0.827754203|-0.118071236|-0.126521431|0.210844002|0.030012523|-82.24617981|-88.13242567|20.90615311|182.8275745|0.3569010139999999|-0.0451862259999999|-61.3913735|14.56282911|100.8610837|103.1523329|2967.923804|447.9705372|-1762.648513|3127.831037|-21.92549054|0.206328863|8.810095892|143.7247666|39.65857501|741.5222707|12.72865798|1.0|1.0|1.0|1.0|1.0|3.0|2.22|0.16|3.8|115.15|0.0|0.0|1.0|7.0|33.0|-6.59|441.48|0.0|1.0|3.07|3.26e-06|0.0|0.0|1.29e-09|5.7e-07|-0.04885|3.6675|5.41|-1465.865882|-1465.834958|735.52|1249.13|0.3115|338.07|0.70515|0.0165|-0.14562|7.2582|-0.19447|0.03092407|8.9893|385.0|6.4145|6.4145
9h_a24|0.0|0|0|0|1.428198245|1.726213624|-0.002864393|2.01e-05|0.023854167|0.0|-0.105982525|0.013595277|-0.002471577|2|0.144624936|-0.02551563|-0.047269812|0.78742035|0.183289617|0.859720539|0.656172477|-0.060337884|-0.0687348109999999|0.4016070679999999|0.018457687|-28.52000725|-32.48899638|8.724425117000001|167.2085719|0.1162247219999999|-0.026280957|-15.35662744|4.123788393|47.51520531|37.24443236|2062.34011|417.7355164|-422.3569529|768.1954692|-5.871651668999999|0.427628742|5.805547147|202.1279819|21.70315707|295.8603625|15.02620893|1.0|0.0|0.0|1.0|1.0|1.0|1.96|0.0|2.72|72.28|0.0|0.0|1.0|3.0|22.0|-6.85|288.31|1.0|1.0|1.97|0.00147|0.0|0.0|8.95e-07|0.000258|-0.0435399999999999|5.1739|1.16|-945.2642633|-945.2337612|506.68|831.92|0.3844|239.63|0.61928|0.0073|-0.18239|5.6654|-0.22593|0.0305020989999999|7.7741|77.0|7.1135|7.1135
