molecula|NaaNH|n9FaHRing|SssssC|SRW09|nAHRing|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|BCUTi-1|n5aHRing|AATSC7i|MATS1i|BIC2|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50
12b_a32|1|1|0.0|7.765993078999999|0|-0.055500132|0|0.0388738739999999|-0.044307211|2.153718992|-0.031446256|10.31100269|3|-0.079768013|-0.0852122769999999|0.838021287|-0.090027803|1|0.782593|-0.081450418|-0.097525366|0.2996018789999999|-50.88975159|10.17310723|90.57560878|0.217407|135.83463989999998|-38.07076621|6.356098747000001|65.29222164|-1.267829764|-31.79562339|61.06285882|0.430631506|2573.006963|-792.1327267000001|3148.185476|-10.75912958|7.076348793999999|12.42841652|5653.268811|247.2897528|-494.9199607|0.025166975|-130.2147289|557.1050635|1.0|1.0|1.0|1.0|2.0|3.47|2.9|0.26|19.0|6.49|4.19|140.04|1.1|1.0|0.0|110.47|7.0|-5.9|27.0|4.0|-6.4|397.52|1.0|0.0|3.59|-4.43|0.000505|3.72e-05|2.23e-08|-0.05173|3.5703|4.12|-1880.770588|-1880.732075|541.49|0.70258|0.70258|0.2865|-0.14803|-0.19976|0.0385132|26.0|7585.0
7_a15|0|0|0.0|0.0|0|-0.038088878|1|0.035075075|0.145944639|0.0|0.038636783|10.95880715|0|0.213947987|-0.211522056|0.70084115|0.00364345|0|0.841400327|-0.074406877|-0.110819329|0.403524276|-41.29775265|20.31436245|103.8062879|0.158599673|88.02694557|-34.13832456|11.27499976|56.30310755|-1.2190126140000002|-22.92132733|61.6121151|0.396557391|2330.667514|-676.5837204|1624.468817|-8.163512395|6.01738192|9.971755103|5097.868552|306.0056033|-375.5215702|0.042799094|56.98518567|474.9756287|1.0|1.0|0.0|1.0|1.0|3.16|3.14|0.15|18.0|3.38|4.64|61.84|1.74|2.0|0.0|99.77|7.0|-4.83|26.0|5.0|-5.72|352.38|0.0|1.0|3.35|-4.49|0.00516|3.2e-05|6.41e-08|-0.0284899999999999|4.4386|2.78|-1184.385377|-1184.367098|499.86|0.64652|0.70497|0.0169|-0.15605|-0.18454|0.01827873|227.0|6644.0
33_a47|0|1|0.0|6.823286122000001|0|-0.085712613|3|0.034691358|-0.11544858|1.688794654|-0.033554816|10.98214099|1|-0.26447859|-0.147591116|0.82821379|0.1186944519999999|1|0.8197001309999999|-0.060080724|-0.083739854|0.404334141|-32.1568697|11.96072985|30.94680001|0.1802998689999999|96.50148984|-23.98884914|6.401714296000001|0.0|-1.088618103|-17.2112484|44.11759955|0.4607629339999999|2311.28828|-582.6585971|787.797733|-7.79637597|6.979305126|12.94292541|4889.09585|226.5011607|-311.85503880000005|0.029580684|-82.22540944|388.178924|0.0|1.0|1.0|1.0|1.0|3.08|2.76|0.11|21.0|2.96|4.04|68.52|1.52|0.0|0.0|94.28|3.0|-3.26|25.0|5.0|-6.78|334.35|0.0|1.0|2.69|-3.72|183.0|0.000192|8.339999999999999e-08|-0.05462|4.1869|2.06|-1123.16428|-1123.135036|423.52|0.67508|0.67508|0.2566|-0.15985|-0.21447|0.02924367|4.0|8.4
8a_a32|1|1|0.0|7.773594467000001|0|-0.056633919|0|0.04008547|-0.0281981579999999|2.059960334|-0.020716518|10.31100269|3|-0.050766252|-0.0852122769999999|0.845443342|-0.2166242669999999|1|0.814553726|-0.083474428|-0.109412858|0.221908108|-52.34893512|11.48993376|73.64907732|0.185446274|116.298071|-43.03057598|7.205629442999999|66.81560596|-1.641192863|-32.82934751|63.83886888|0.480024324|2574.085885|-1029.23375|3312.822051|-14.03170956|7.420041446|14.26997798|5659.295213|157.3554684|-645.4586397|0.017733503|-312.4144752|557.1050635|1.0|1.0|1.0|1.0|2.0|3.48|3.67|0.26|19.0|6.49|4.65|140.04|1.37|2.0|0.0|110.69|7.0|-6.82|27.0|4.0|-5.76|397.52|1.0|0.0|4.07|-4.99|6.03e-05|1.02e-05|2.23e-08|-0.06166|3562.0|4.98|-1880.767206|-1880.732222|566.07|0.70316|0.70316|0.4315|-0.1445|-0.2061599999999999|0.03498398|45.0|7.3468
25c_a34|0|0|0.0|7.412764017000001|2|-0.047513652|2|0.037424242|-0.16034464|0.0|-0.056443595|10.95957635|1|-0.250299211|-0.3609280379999999|0.80135608|-0.072907053|0|0.683231623|-0.088513496|-0.113392997|0.478421157|-59.0359041|29.22363765|183.6812574|0.316768377|211.2752099|-50.44285726|19.49130854|93.28638171|-1.7008949569999998|-39.37521522|88.25954175|0.4356106729999999|2884.104654|-1134.447012|2439.174137|-14.01190479|7.484891117|13.26192888|6306.980593|308.52165519999994|-756.6428589|0.037538004|-49.9273377|648.0187526000001|0.0|1.0|1.0|1.0|1.0|3.64|3.17|0.32|17.0|2.18|1.98|90.74|1.0|1.0|0.0|116.0|6.0|-2.81|31.0|6.0|-7.95|421.45|0.0|0.0|1.93|-3.28|659.0|0.000523|1.97e-06|-0.03272|4.2095|4.32|-1426.704645|-1426.666471|561.29|0.69247|0.69247|0.2239999999999999|-0.17424|-0.2069599999999999|0.03817361|1.78|5.7496
14h_a23|0|1|0.0|7.423568444|0|0.006191846|2|0.04255787|0.0316908439999999|0.7290938920000001|-0.024318144|10.31321773|2|0.060820238|-0.0686282459999999|0.79263722|-0.05745554|1|0.923430574|-0.063825076|-0.081058742|0.223157991|-43.02851162|14.81983413|41.34207782|0.076569426|51.620282|-36.84086528|9.990985411|86.83095818|-1.621174834|-29.00823506|57.84834575|0.48032488|3010.418229|-1092.936262|2371.16134|-15.35036053|7.833334036|15.0735214|6722.809649|166.45047749999998|-736.8173055999999|0.018981866|-341.2621515|646.2584547|0.0|0.0|1.0|1.0|1.0|3.47|3.2|0.04|26.0|3.4|3.89|128.81|2.39|1.0|1.0|125.0|5.0|-5.68|32.0|5.0|-6.62|436.49|0.0|0.0|3.23|-4.9|0.0009109999999999|1.27e-05|3.39e-08|-0.08532|4.0506|3.29|-1722.1762399999998|-1722.148272|569.53|0.67365|0.69933|0.2727|-0.15209|-0.2374099999999999|0.02796857|5.0|8.3468
1j_a5|1|0|0.0|6.605297921|0|-0.010620031|2|0.025987654|-0.115553003|0.0|-0.07622096|10.9487794|1|-0.190920568|-0.010807075|0.7862755770000001|-0.0614852279999999|0|0.847163872|-0.073803258|-0.074505844|0.35883584|-39.64241895|10.57633738|73.73338699|0.152836128|82.09385267|-21.49609451|5.680936139|1.471030887|-1.117587665|-21.29338752|50.21875634|0.469085779|2242.805131|-600.2970524|847.5275797|-7.86442482|7.328149934|13.80288876|4618.562904|205.997426|-322.4414176|0.026739895|-125.1415813|422.96706330000006|1.0|1.0|1.0|1.0|1.0|2.76|2.66|0.05|23.0|4.5|4.21|63.69|1.57|0.0|0.0|96.98|4.0|-4.03|25.0|4.0|-6.15|328.37|0.0|1.0|3.19|-4.2|0.0304|6.29e-05|7.190000000000001e-09|-0.03832|4.4331|2.61|-1065.849941|-1065.817476|445.81|0.66182|0.6449|0.1644|-0.16813|-0.20645|0.03246499|24.0|7.6198
4h_a46|0|0|0.090767245|7.825245291|1|-0.346835467|2|0.040890805|-0.057256598|0.0|-0.021951549|10.31928028|1|-0.0932537609999999|-0.030014575|0.7543177040000001|-0.134568896|0|0.767244275|-0.083155747|-0.083997524|0.659584488|-65.24476749|7.900037181|105.2773797|0.232755725|182.6222935|-51.70985599|6.198442205|19.09455432|-2.015940586|-51.19164773|73.14480467|0.4866209529999999|3472.1185880000003|-1581.72562|3180.526173|-18.803584|8.138240742999999|15.85230406|7808.347937|152.6017078|-1241.036544|0.011589523|-479.405829|1021.999374|1.0|0.0|1.0|1.0|2.0|4.63|2.99|0.3|23.0|3.46|6.18|124.17|2.27|2.0|0.0|142.08|6.0|-6.53|36.0|6.0|-6.38|502.63|1.0|0.0|3.82|-5.69|0.000149|2.06e-06|6.38e-10|-0.0389199999999999|4.2444|8.5|-1923.926093|-1923.878801|682.14|0.55428|0.54445|291.0|-0.1711599999999999|-0.21008|0.04729184|229.0|6.6402
15_a31|1|0|0.0|7.765993078999999|1|-0.134784483|0|0.038809524|-0.0302581979999999|0.0|-0.070065105|10.31169996|2|-0.052339921|-0.157560864|0.8022000659999999|-0.116356616|0|0.567108776|-0.116196194|-0.131697567|0.287991212|-61.76522754|20.47825449|141.1489667|0.4328912239999999|230.1075793|-37.21191643|10.88541717|514.6215199|-1.58037081|-32.83191294|82.24348203|0.466164359|2351.566145|-840.0616157|1675.977147|-11.75113151|6.148947296|11.51842782|5087.628096|190.5463457|-446.5429972|0.03396368|-150.46712390000002|363.593507|0.0|1.0|1.0|1.0|2.0|3.31|1.64|0.19|16.0|4.12|3.0|117.37|0.41|0.0|0.0|90.47|4.0|-4.28|24.0|5.0|-6.84|342.37|0.0|0.0|2.27|-3.57|18.0|0.000272|2.19e-06|-0.04192|4569.0|3.9|-1460.900291|-1460.861851|452.98|0.5241899999999999|0.5241899999999999|348.0|-0.15202|-0.19394|0.03843988|1.1|5.9586
3e_a32|1|1|0.0|7.773594467000001|0|-0.058503168|0|0.044949495|-0.057366352|2.220794149|-0.114649277|10.31100276|3|-0.1046390059999999|-0.076494363|0.8046468659999999|-0.12378337|1|0.8681696109999999|-0.073411249|-0.100056595|0.290874543|-39.56206964|6.69516884|47.09895162|0.131830389|71.04473954|-29.05885545|3.608094688|0.0|-1.200679139|-21.32040233|46.25723848|0.4513338939999999|2212.661182|-647.0582188|1732.3689949999998|-8.941186293|5.863649531|10.68709999|4827.877259000001|121.1171726|-348.70626539999995|0.012891628|-296.6758413|421.3548777|1.0|1.0|1.0|1.0|1.0|3.33|3.04|0.24|19.0|6.8|5.24|110.94|1.94|1.0|0.0|97.86|3.0|-6.52|23.0|3.0|-5.2|340.47|0.0|0.0|4.3|-5.18|0.000103|6.6e-06|1.2099999999999998e-07|-0.0534399999999999|3.5589|3.52|-1672.748189|-1672.722302|456.76|0.7025399999999999|0.7025399999999999|0.2914|-0.14754|-0.20098|0.02588637|8.0|8.0862
10_a27|0|0|0.0|6.605297921|0|-0.044164147|2|0.040512821|-0.184068581|1.296293777|0.034318674|10.93783185|1|-0.309727442|-0.2030237389999999|0.804375252|-0.001453596|1|0.8526621529999999|-0.061299064|-0.087022238|0.346344305|-32.5969511|9.399794974|6.0140309720000005|0.147337847|78.34972221|-24.60801194|4.998521009|49.19800605|-1.305333567|-17.33405307|41.99674607|0.477162521|2270.538352|-694.1361252|943.2258247|-8.788575695|6.761146212000001|12.9316403|4894.8090170000005|135.40932969999997|-369.1201792|0.01651645|-260.9504933|424.8821143|1.0|0.0|0.0|1.0|0.0|3.01|3.15|0.16|21.0|2.81|2.97|65.6|2.25|0.0|0.0|97.39|3.0|-3.57|25.0|4.0|-6.51|331.37|0.0|1.0|2.74|-3.92|0.0882|0.0001189999999999|5.81e-07|-0.0498|4.1495|4.66|-1083.137871|-1083.1151289999998|450.26|0.63894|0.63894|0.4452|-0.16805|-0.21785|0.0227416|69.0|7.1612
