molecula|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PPSA3|FNSA4|WNSA5|RPCS|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|pIC50
8k_a46|0|1|7.727094485|1|1|0.300205953|2|0.038616352|-0.061030265|-0.397337564|-0.002099764|-0.114070359|10.31928125|-0.038125|1|1|0.002202734|-0.050069565|-0.510222233|2|0.786206898|0.095179795|-0.051289238|0|0.7381768390000001|-0.08638304|-0.0863473759999999|-61.98124174|6.774333772|-0.033099828|-44.45419269|19.34993627|-44.4725532|70.036452|-23.74966689|68.75557551|0.4938768979999999|529.6539372999999|-1424.980013|2328.360804|-17.04077386|15.94634031|0.975803904|7352.280688|-1022.446432|28.73282642|-468.6373459|865.6610153999999|0.0|1.0|1.0|1.0|2.0|2.82|23.0|-8.66|1.86|1.0|132.47|1.0|-5.74|34.0|474.58|0.0|0.0|3.29|-5.13|7.47e-06|0.00355|3.45|0.0|0.0|2.17e-09|1.03e-06|5.0379|7.63|-1845.304274|-1845.257085|742.04|1302.56|302.15|246.1|642.39|0.41618|0.5577300000000001|0.1166|3.4118|-1845.037411|3.8107|6.8327
1_a6 (SB-431542)|0|0|7.423568444|1|1|1.430935835|1|0.035620155|0.1008839219999999|-0.766207981|-0.011639964|-0.029658865|10.94959842|-0.0492229479999999|1|1|-0.008385698|-0.033765606|-0.567791164|1|0.7462411859999999|-0.08530265|-0.083341531|0|0.5940412860000001|-0.126408788|-0.122555709|-74.98172333|19.58668728|-0.0462988229999999|-43.12110169|105.3125675|-44.47680367|87.15852628|-27.46300805|94.56841061|0.472445176|352.3666367|-1235.8353619999998|1890.228713|-16.29019397|14.26172029|0.895537592|5748.417262|-733.0587287000001|36.46179023|-300.3801761|513.4628663999999|1.0|1.0|1.0|1.0|2.0|2.35|23.0|-7.69|1.54|1.0|106.85|1.0|-4.52|29.0|384.39|0.0|1.0|2.85|-4.25|5.660000000000001e-05|0.0218|2.7|0.0|0.0|2.03e-08|7.81e-06|3.8208|4.57|-1292.588032|-1292.553086|619.92|1049.69|376.28|324.5|464.07|0.55256|0.69868|0.3346|6.0113|-1292.41452|8.8611|5.8119
19h_a38|0|0|7.412764017000001|2|2|1.297044177|2|0.042622739|0.14165187|-0.420209249|-0.002526241|-0.043452674|10.96083376|-0.070688288|1|1|-0.000673716|-0.217394466|-0.420225236|1|0.819222745|-0.054149342|-0.121374121|0|0.7746288020000001|-0.082211319|-0.109986804|-48.43313101|12.51014765|-0.03959525|-38.17354026|0.0|-28.533396600000003|76.70128100000001|-23.32673803|60.94327866|0.47459722|456.3568442|-1166.336902|1839.424968|-13.74247449|12.98143834|0.903301693|6253.901215|-687.1237247|30.94580137|-299.0343596|595.8790650000001|1.0|1.0|1.0|1.0|3.0|2.43|17.0|-6.86|2.4|1.0|125.69|1.0|-4.14|30.0|401.44|0.0|1.0|2.66|-4.17|6.77e-05|0.0272|2.78|0.0|0.0|1.4e-07|5.610000000000001e-05|3.7384|3.41|-1332.187847|-1332.1538779999998|626.65|1092.17|350.65|331.65|452.01|0.68472|0.69012|88.0|6.9749|-1331.999352|9.0777|8.0348
3h_a32|1|0|7.765993078999999|0|0|0.609420752|0|0.037731481|0.014517903|-0.269379119|0.002101838|-0.003152613|10.31100268|-0.111111111|3|3|0.003284804|-0.122769653|-0.531669815|0|0.7926338540000001|-0.169197453|-0.2|1|0.87880263|-0.07183387|-0.0882883959999999|-44.97387528|6.98327435|-0.027590124|-34.60714056|0.0|-28.15732254|62.63332945|-17.27367301|51.95714963|0.4089962629999999|550.2022886|-829.1363044|2911.160989|-10.81473143|13.71739929|0.692036677|5187.525619|-519.1071084|22.33200639|-342.4592076|593.0848817000001|1.0|1.0|1.0|1.0|1.0|3.88|19.0|-8.47|2.64|2.0|112.28|1.0|-8.23|26.0|382.55|1.0|1.0|5.4|-6.15|7.140000000000001e-07|0.000273|6.12|0.0|0.0|3.37e-09|1.29e-06|3.5552|4.61|-1790.6908030000002|-1790.663897|676.22|1127.45|348.74|348.74|578.86|0.70257|0.70257|0.2926|3.5952|-1790.5004850000005|5.8749|8.1549
9_a10|0|1|7.535296702|1|1|1.377786667|2|0.03590535|-0.048732912|-0.285441469|0.007316125|-0.1189611519999999|10.92721632|-0.1048161059999999|1|1|0.007847998|-0.239634564|-0.362724972|2|0.791322552|-0.000865755|-0.169389445|1|0.8694452140000001|-0.057690053|-0.084348428|-40.90513782|9.815155744|-0.028592687|-42.40634438|59.95939417|-29.00379197|71.07688871|-20.27364785|50.72029356|0.45291714|616.4802143999999|-1196.145223|2284.568215|-14.37503199|16.02210901|0.827876677|6606.83687|-848.1268877|27.72306267|-327.9949188|816.3832816|1.0|1.0|1.0|1.0|1.0|3.2|21.0|-7.93|1.81|1.0|130.71|1.0|-4.23|33.0|438.52|0.0|0.0|3.07|-4.44|3.64e-05|16.0|2.97|0.0|0.0|1.17e-08|5.14e-06|5.5668|4.51|-1410.041793|-1410.005954|740.24|1278.57|332.32|222.72|631.5|0.2242|0.68962|0.0041|2.9927|-1409.764013|4942.0|6.7144
47g_a18|0|0|7.03438793|1|1|1.251175676|0|0.031179487|-0.048472184|-0.477030713|0.0036509859999999|0.033759227|10.94702253|-0.008224928|0|0|0.00531392|-0.3927204379999999|-0.4138670829999999|0|0.750610215|-0.009917608|-0.014370598|0|0.834424154|-0.065225536|-0.08547236|-55.35188184|11.37505183|-0.029212072|-61.55384106|47.07867403|-46.97287277|86.33162323|-24.79003275|66.72693367|0.4913566339999999|708.1114197|-1958.412588|2268.439188|-21.03738872|20.32265524|0.966014041|7870.887027|-1661.953709|33.87214455|-393.5416883|1347.416568|1.0|0.0|1.0|1.0|2.0|0.0|18.0|-9.22|2.79|3.0|164.47|1.0|-6.11|40.0|541.68|0.0|0.0|2.83|-5.52|3.01e-06|0.00163|4.52|1.0|1.0|6.04e-10|3.27e-07|3.0965|8.13|-1743.375845|-1743.346243|905.71|1604.37|400.4|400.4|874.26|0.69828|0.69828|0.5955|4966.0|-1742.847918|5.9864|8.0458
15_a4|0|1|7.535296702|1|1|1.399867493|1|0.044357639|0.0432718859999999|-0.077474847|0.009823083|-0.1979518539999999|10.94611612|0.022446689|1|1|0.00918585|-0.038707204|-0.226703465|1|0.772721853|0.095534883|0.036363636|0|0.867716376|-0.062151785|-0.073738544|-29.80513879|5.223809291|-0.030724393|-16.95780525|86.01453643|-14.29317436|40.03406565|-14.73400655|35.02894809|0.437696617|416.1168833|-530.4242358|1495.715718|-7.065752187|9.709704127|0.7783994009999999|4134.603400999999|-254.3670787|17.45960235|-329.8289177|324.5687005|0.0|0.0|1.0|0.0|0.0|3.01|17.0|-6.09|3.05|0.0|85.06|1.0|-3.82|22.0|291.32|0.0|1.0|3.61|-4.28|5.19e-05|0.0151|3.49|0.0|0.0|8.070000000000001e-07|0.000235|4.5048|3.8|-958.270023|-958.251931|512.65|848.47|294.16|275.22|396.58|0.4778699999999999|0.56413|0.0969999999999999|2.1603|-958.195344|3.0091|6757.0
9g_a24|0|1|7.273092596000001|0|0|1.427608366|2|0.0279797979999999|-0.162313932|-0.0425444|0.0144065739999999|0.070915465|10.96318169|-0.02471184|2|2|0.013119312|-0.049325609|-0.079421802|2|0.7931626959999999|0.13372961|-0.045107345|0|0.8671367529999999|-0.064835725|-0.065668047|-32.080056199999994|9.283063574|-0.021297745|-16.07665151|0.0|-15.87288497|49.25777584|-10.53790724|41.36311977|0.427531635|429.0504306|-389.9025677|1196.910121|-5.214049137|10.69818114|0.746821416|4355.725609|-192.9198181|21.8662148|17.88521849|341.3207334|1.0|0.0|1.0|1.0|1.0|1.78|22.0|-6.43|0.64|0.0|87.53|1.0|-2.49|23.0|302.33|0.0|0.0|1.93|-3.09|0.0008179999999999|247.0|1.37|0.0|0.0|3.720000000000001e-07|0.000113|5.2521|0.75|-984.5891383|-984.5565078|524.03|879.99|289.67|236.07|400.47|0.4227399999999999|0.64993|0.1023|2.9691|-984.497752|4.4131|7.1675
18_a20|0|0|6.842683282|0|0|1.400923654|2|0.0396875|0.163548857|-0.5039851160000001|-0.005614194|-0.011236836|10.93301779|-0.054458882|1|1|-0.004071701|0.003282792|-0.597167441|2|0.7602869659999999|-0.107446431|-0.090732503|1|0.76136176|-0.0927760219999999|-0.095227339|-61.73239771|7.195302872999999|-0.035934845|-42.1615378|82.70867776|-41.07622672|72.31812218|-23.91074854|68.92770059|0.483668611|506.6038164|-1267.269673|1822.210286|-15.91001426|15.51556677|0.936740671|6206.896662|-843.230756|29.4862782|-413.7552685|712.1606951|1.0|1.0|1.0|1.0|2.0|2.76|27.0|-10.0|2.06|2.0|125.07|0.0|-5.59|32.0|419.48|0.0|1.0|3.78|-5.16|6.91e-06|0.0029|3.85|0.0|0.0|9.93e-11|4.17e-08|5.9778|5.35|-1352.364724|-1352.32685|703.24|1204.88|350.69|207.41|531.11|0.31154|0.6953699999999999|0.2011|5.3978|-1352.135304|8.0505|7.4685
14r_a23|1|2|7.423568444|0|0|1.197963203|2|0.045277778|0.014148395|-0.322513347|0.007671236|-0.079935667|10.31321824|-0.064006338|2|2|0.0075222369999999|-0.17267308|-0.454010253|2|0.7837821840000001|0.03753491|-0.1050445769999999|1|0.8662226190000001|-0.062618931|-0.085881409|-40.32463891|12.35476415|-0.03654528|-35.61466281|55.62948521|-25.96781003|66.31173073|-23.53402098|52.67940305|0.4661909429999999|557.8203557999999|-1106.098986|2306.754114|-15.15517566|14.15357616|0.873329024|6744.848704999999|-712.2932561000001|29.85706563|-371.2130393|599.5697147999999|0.0|1.0|1.0|0.0|1.0|3.06|26.0|-7.67|3.4|2.0|120.24|1.0|-5.58|31.0|429.47|0.0|0.0|3.7|-5.11|7.73e-06|0.00332|3.68|0.0|0.0|2.14e-08|9.18e-06|5.9406|3.72|-1729.1556449999998|-1729.1326809999998|678.08|1145.51|389.92|208.71|513.71|0.30482|0.68115|0.0008|6.2620000000000005|-1728.98403|8.8722|8.2684
