molecula|SddssS|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|MATS1i|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|PBF|FPSA3|PNSA3|PPSA3|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomShapeIndex|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
12h_a36|0.0|0|0.0|0|7.412764017000001|2|1.297043828|0.0|-0.128701804|-0.0086750619999999|5.351858133|-0.041228471|2|0.039061728|0.059920602|0.0|-0.003014954|10.96020037|1|1|0.003077071|-0.1430106119999999|0.8913597320000001|0.820041835|-0.089459459|0.87043328|0.84179881|0|0.819614525|0.3726296|0.027905055|-48.17643878|18.27258858|118.1187282|-45.96672487|11.96512593|1.413982241|0.665254541|-31.5465515|87.85958486|-23.39942087|66.44902736|2845.467486|536.6941285|-1263.568727|2391.856014|-15.32224162|0.8675704009999999|219.1956304|-827.4010477|35.1736357|-216.42159590000003|1899.376328|679.7230552999999|1.0|0.0|1.0|0.0|2.0|4.8|0.0|17.0|1.89|1.72|1.0|0.0|1.0|6.0|31.0|411.46|-4.07|0.000113|0.0464|35.0|2.65|0.0|2.03e-07|8.340000000000001e-05|5.1998|3.4554|-1347.451759|697.29|358.81|238.44|535.67|0.34589|0.7014600000000001|-1347.199963|0.0056|6754.0|-0.1926|0.02925492|-1347.260478|8.7377|7.8539|7.8539
25c_a34|0.0|0|0.0|1|7.412764017000001|2|1.377881974|1.958290974|0.024837617|-0.014384932|5.351858133|-0.047513652|2|0.037424242|-0.16034464|0.0|-0.056443595|10.95957635|1|1|0.001433865|-0.3609280379999999|0.809687672|0.80135608|-0.072907053|0.844690266|0.760055383|0|0.683231623|0.478421157|0.043815478|-59.0359041|29.22363765|211.2752099|-50.44285726|19.49130854|93.28638171|0.537428437|-39.37521522|100.6665476|-21.008278|88.25954175|2884.104654|455.6954382|-1134.447012|2439.174137|-14.01190479|0.77182656|308.52165519999994|-756.6428589|39.09037289|-49.9273377|2110.880136|648.0187526000001|0.0|1.0|1.0|1.0|1.0|3.64|3.17|17.0|1.98|1.0|1.0|0.0|2.0|6.0|31.0|421.45|-3.28|0.00156|659.0|0.22|1.3|0.0|1.97e-06|0.0008289999999999|4.2095|4.2095|-1426.666471|704.43|294.54|294.54|561.29|0.69247|0.69247|-1426.421463|0.2239999999999999|7.12|-0.2069599999999999|0.03817361|-1426.48597|9.8087|5.7496|5.7496
47s_a18|0.0|0|0.0|0|7.03438793|1|1.251176205|0.0|0.026229332|-0.0054038509999999|4.844187086|-0.045792331|0|0.035632184|-0.026883417|0.0|0.0134295589999999|10.94702059|0|0|0.003686393|-0.168728915|0.724028067|0.712629555|-0.0540701129999999|0.745196689|0.716761234|0|0.84543779|0.306379663|0.008446541|-53.18668656|6.394119331000001|117.0051929|-46.45326408|4.840414512|51.05656345|0.820470855|-40.26287221|69.29837549|-22.79238258|59.58080589|2992.734821|640.0051571|-1595.466781|1529.863965|-17.25406952|0.901192009|135.90542109999998|-1207.784866|27.77963709|-485.1995077|1944.574596|1093.725912|1.0|1.0|1.0|1.0|2.0|4.41|0.0|18.0|3.93|3.33|3.0|0.0|1.0|10.0|36.0|482.62|-5.45|1.12e-06|0.000539|0.0017|4.62|0.0|3.8199999999999997e-10|1.84e-07|3218.0|3218.0|-1534.174077|809.4|385.29|385.29|736.36|0.6926800000000001|0.6926800000000001|-1533.737579|0.5203|2.3134|-0.18109|0.02195039|-1533.809351|2.9991|6.2104|6.2104
31_a47|0.0|1|0.0|1|6.842683282|0|1.304326813|1.441825189|-0.075563891|-0.00869363|4.727387819|-0.171198936|2|0.042906977|-0.086842911|1.198626524|0.074881792|10.9497221|1|1|-0.006265667|-0.035190699|0.677766155|0.856640117|0.001622323|0.917597019|0.6463892179999999|1|0.696020038|0.486720182|0.021401336|-66.4670426|13.27533898|188.5600536|-40.66927863|8.234748813|81.01707367|0.70664003|-41.22978713|80.58054906|-23.31144534|79.74238158|2689.159869|431.7441681|-1049.01504|1322.82831|-14.46018796|0.901520747|181.972428|-650.7084581|32.98913783|-256.3593656|1484.511202|513.2159236|1.0|1.0|1.0|1.0|2.0|3.18|2.38|21.0|4.24|2.0|1.0|0.0|1.0|5.0|29.0|410.83|-4.39|2.56e-05|0.0105|0.0166|2.86|0.0|2.42e-08|9.95e-06|3.9744|3.6369|-1735.400941|642.11|340.91|311.96|508.69|0.68276|0.69894|-1735.225703|83.0|6.4248|-0.20463|0.03449081|-1735.284957|8.6244|7.8|7.8
1j_a5|0.0|0|0.0|0|6.605297921|0|1.427567371|0.0|-0.2031633169999999|-0.003981454|4.59511985|-0.010620031|2|0.025987654|-0.115553003|0.0|-0.07622096|10.9487794|1|1|0.006957291|-0.010807075|0.74740095|0.7862755770000001|-0.0614852279999999|0.848473695|0.717355058|0|0.847163872|0.35883584|0.019690225|-39.64241895|10.57633738|82.09385267|-21.49609451|5.680936139|1.471030887|0.616489567|-21.29338752|54.3827755|-14.64139152|50.21875634|2242.805131|455.0425806|-600.2970524|847.5275797|-7.86442482|0.883543443|205.997426|-322.4414176|23.74961767|-125.1415813|973.7343247|422.96706330000006|1.0|1.0|1.0|1.0|1.0|2.76|2.66|23.0|4.21|1.57|0.0|0.0|1.0|4.0|25.0|328.37|-4.2|9.27e-05|0.0304|0.0206|3.03|0.0|7.190000000000001e-09|2.36e-06|4.4331|4.1205|-1065.817476|572.47|300.89|279.68|445.81|0.66182|0.6449|-1065.671975|0.1644|2.2503|-0.20645|0.03246499|-1065.723417|3.0364|7.6198|7.6198
8f_a8|0.0|0|0.0|1|7.05012252|0|1.394802091|1.241306689|0.024051247|-0.01032134|4.844187086|-0.249095464|0|0.043758865|0.0587545909999999|0.0|-0.08540947|10.94343488|1|1|-0.007036544|0.09830823|0.578166105|0.6971223040000001|0.010682683|0.751162751|0.56916135|0|0.5968139689999999|0.308621017|0.013566221|-71.22071405|7.91086576|235.1097364|-36.18904175|4.613060521|67.99102163|0.90577048|-41.53091131|67.4402386|-28.20910228|79.13157981|2622.044457|348.0199311|-1241.2005|1892.066521|-16.44956443|0.8416059290000001|54.94802877|-723.7808349999999|31.14376424|-473.23361|1370.325626|485.8626377000001|0.0|0.0|0.0|0.0|2.0|3.14|2.85|23.0|4.72|4.11|2.0|0.0|1.0|4.0|29.0|391.37|-5.0|6.11e-06|0.0023899999999999|0.00395|3.82|0.0|1.13e-08|4.43e-06|4.7027|3.4876|-1361.626748|602.63|355.5|263.65|477.92|0.55661|0.69925|-1361.455053|0.1659|5.8283|-0.21285|0.03173623|-1361.510739|7.8014|4.6428|4.6428
11a_a50|0.0|1|0.0|2|7.927685046000001|1|1.397733996|4.088412042|-0.156121881|-0.002914262|5.82008293|-0.014702942|1|0.038040936|-0.04339705|2.114272566|-0.108592708|10.94500606|2|2|0.012037198|-0.162848233|0.701976536|0.792574879|-0.200986578|0.8535780190000001|0.667956827|1|0.917127112|0.2931724189999999|0.01848869|-25.48858279|9.774322692|43.81199235|-19.89396594|5.167341939|67.28055926|0.6543614329999999|-13.47492066|48.67321197|-13.43949068|35.26290548|2286.226222|484.8529701000001|-564.4586084|1550.320581|-7.104987834|0.864799282|182.7270002|-298.409489|20.53832944|-163.21096210000002|862.6098364|439.9973344|0.0|0.0|1.0|1.0|0.0|3.44|2.8|20.0|3.73|2.25|0.0|0.0|2.0|2.0|25.0|327.38|-4.16|0.000263|0.0862|0.0228|2.9|0.0|1.35e-06|0.000441|4.0636|4.0636|-1045.954278|574.01|305.11|305.11|437.9|0.65485|0.65485|-1045.794689|0.1761|5.4342|-0.2005299999999999|0.02431947|-1045.84627|7.5619|7.2291|7.2291
30_a47|0.0|1|0.0|1|6.842683282|0|1.304327883|1.435022468|-0.069449687|-0.0092264759999999|4.727387819|-0.184735553|2|0.038387534|0.013114301|1.192095911|-0.008774855|10.95005723|1|1|-0.008325552|-0.035472095|0.6850994429999999|0.8485444809999999|0.074217097|0.913855507|0.651797437|1|0.67896733|0.384732322|0.022747897|-64.94243028|13.64937081|192.6285289|-38.63044093|8.190002019|76.90733636|0.679447569|-38.96726396|81.25550675|-22.9932445|78.59180109|2626.927627|407.3992771|-965.7162688|1558.731067|-13.79658605|0.879999675|192.3403721|-579.456614|33.84108731|-215.3470619|1421.325667|457.1122177|1.0|1.0|1.0|1.0|2.0|3.03|2.12|21.0|3.93|1.78|1.0|0.0|1.0|5.0|28.0|396.81|-4.1|6.05e-05|24.0|0.0315|2.5|0.0|5.74e-08|2.28e-05|3.7159|3.7159|-1696.078047|615.85|333.66|333.66|478.04|0.6944899999999999|0.6944899999999999|-1695.931037|0.3566|2.7493|-0.20813|0.0420327|-1695.9887|3.6487|7.9|7.9
8b_a32|0.0|1|0.0|0|7.765993078999999|0|0.609420757|0.0|0.113639567|-0.009362305|5.733341277|-0.057200812|0|0.03995614|-0.008128765|2.123714284|-0.024375676|10.31100269|3|3|-0.001662219|-0.0852122769999999|0.788133615|0.845443342|-0.1152380009999999|0.8966299409999999|0.7507116140000001|1|0.788218098|0.253018806|0.016711528|-53.36442734|10.49093175|132.9495116|-42.94454179|6.585851946|68.21751748|0.669149204|-33.50038167|81.73293254|-19.33283713|63.85535908|2573.703546|494.8166492|-889.3105078|2275.886421|-12.13650094|0.845546757|207.6969342|-558.2790432999999|28.89166873|-212.3722924|1329.016762|557.1050635|1.0|1.0|1.0|1.0|2.0|3.46|3.04|19.0|4.19|1.1|1.0|1.0|1.0|7.0|27.0|397.52|-4.39|1.47e-06|0.000583|0.0161|3.22|0.0|2.23e-08|8.86e-06|3.5442|3.5442|-1880.735397|671.54|349.82|349.82|558.16|0.70285|0.70285|-1880.539698|0.2943|846.0|-0.20121|0.03602276|-1880.602014|1.2797|7.9208|7.9208
4d_a49|0.0|0|0.0|1|7.535296702|1|1.343847746|2.097463308|-0.06085453|-0.006135653|5.4161004020000005|-0.058204482|2|0.036555556|-0.090862681|1.76904838|-0.053327669|10.92777282|1|1|0.001356445|0.000511959|0.7745859279999999|0.783870915|0.023137464|0.834151595|0.749565191|1|0.752634646|0.410804214|0.013625199|-55.40321178|8.392883773|152.3727245|-32.61868996|5.16986937|57.16412513|0.654728051|-34.12740785|66.51766234|-17.31186002|63.79609555|2658.242991|463.6097566000001|-900.2167208999999|1640.195062|-10.66380249|0.8868392740000001|212.6814716|-554.5177292999999|26.44129877|-190.6195379|1374.947536|641.1445234|0.0|1.0|1.0|1.0|2.0|3.38|2.68|21.0|2.8|1.25|1.0|0.0|1.0|6.0|30.0|398.46|-3.35|0.000743|296.0|0.18|1.45|0.0|2.64e-08|1.05e-05|5.7447|3.8047|-1293.29417|668.09|325.87|215.82|495.7|0.40593|0.6782100000000001|-1293.049085|0.0879|4.3005|-0.2219699999999999|0.0395418|-1293.107454|5.5765|7.7447|7.7447
