molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|SRW07|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|RPSA|WNSA5|FNSA1|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
14j_a23|0|1|1|0.0|0.0|7.423568444|0|0|1.197963927|3.278390512|5.351858133|0.037350515|0.722606603|-0.322724299|0.007671236|10.31321824|0.0075222369999999|0.087218599|-0.463194548|2|0.616699629|0.800643488|0.143567854|-0.091426449|0.5935522360000001|1|-0.062203032|-0.082226482|0.020485263|-40.35191855|-53.34139172|40.38957571|0.154547838|-34.60325668|0.7739671709999999|64.88069411|-22.69846456|0.497137467|2943.385528|2175.598042|-14.72479008|0.988615047|6597.039681|146.63044480000002|-692.0651337|-355.4521561|599.5697147999999|11.53930239|0.0|0.0|1.0|1.0|1.0|3.39|3.41|0.05|26.0|-7.67|3.4|1.0|120.24|0.0|1.0|5.0|-6.31|0.0|0.0|0.0|-5.11|2.66e-06|0.00114|7.73e-06|0.00332|3.68|2.14e-08|9.18e-06|-0.07581|3.6671|-1729.1379190000002|670.6|1142.37|338.1|338.1|528.18|0.65128|0.65128|0.3886|0.02207124|-1728.988797|4.0|8.3883|8.3883
11_a47|0|0|0|0.0|0.0|0.0|0|0|1.381898438|0.0|0.0|-0.0586047379999999|1.311097861|-0.427212659|-0.007419345|10.93671007|-0.00580273|-0.120383371|-0.451384505|3|0.702719047|0.715054643|-0.058523885|0.07716247|0.686454722|1|-0.08164597|-0.096486559|0.008462682|-50.01659041|-59.10798423|119.4035378|0.203136607|-36.20974614|0.816608795|66.9895812|-22.02062158|0.4686568239999999|2842.168734|2201.328597|-13.48990542|0.8820228529999999|6736.717611|112.34605729999998|-687.9851765999999|-387.9111844|670.2339441|7.881596968999999|1.0|1.0|0.0|1.0|2.0|3.28|3.15|0.04|28.0|-10.55|3.0|0.0|124.7|0.0|0.0|5.0|-5.28|1.0|0.0|1.0|-6.03|5.110000000000001e-07|0.000216|9.32e-07|0.000394|5.06|2.81e-11|1.19e-08|-0.05094|3.7253|-1396.145101|654.49|1146.42|332.82|332.82|549.52|0.6915399999999999|0.6915399999999999|0.2321|0.03959805|-1395.980918|0.04|7.4|7.4
14ad_a23|0|1|1|0.0|0.0|7.423568444|0|0|1.197962774|3.3437482860000003|5.351858133|0.118047355|0.735584095|-0.4663820279999999|0.008996289|10.31321689|0.009675528|0.2086248289999999|-0.376350719|2|0.7763406840000001|0.7830067820000001|0.165157698|-0.050707765|0.7317531540000001|1|-0.059168372|-0.085840335|0.033831691|-42.29008971|-61.35364811|52.63180108|0.112868365|-43.85199724|0.575880959|85.20135045|-21.19489662|0.46995189|3209.330728|2339.533586|-15.14887177|0.8866211979999999|7308.229822|303.1354708|-833.1879476|-108.4705382|770.8206617000001|23.84770234|0.0|0.0|1.0|1.0|1.0|3.73|3.49|0.12|26.0|-7.6|2.42|1.0|133.27|0.0|1.0|6.0|-6.68|0.0|0.0|0.0|-5.08|1.6e-06|0.000753|8.22e-06|0.0038799999999999|3.52|2.49e-08|1.17e-05|-0.06925|3.3867|-1858.942973|747.83|1287.26|366.09|366.09|618.01|0.6956600000000001|0.6956600000000001|0.4106|0.01481488|-1858.733603|4.0|8.3595|8.3595
17b_a6|1|0|0|3.375166525|0.0|7.412764017000001|1|1|1.425925343|0.0|5.351858133|0.139594234|0.0|-0.6869226490000001|-0.00460563|10.949638|-0.00194781|0.231025646|-0.563310199|1|0.850080948|0.7788169070000001|0.002947625|-0.138423611|0.8013954109999999|0|-0.095450984|-0.109195656|0.03122461|-62.63196368|-71.65078895|155.8689396|0.246050902|-47.0150166|0.7706671740000001|84.71888279|-27.2272998|0.4548818979999999|2816.0632920000003|2207.972178|-17.86570631|0.834464855|5985.963521|150.48105900000002|-893.2853154999999|-355.2067434|627.4287311|13.06809384|1.0|1.0|1.0|1.0|2.0|3.53|2.89|0.12|23.0|-9.01|1.7|0.0|116.79|0.0|1.0|5.0|-5.89|0.0|0.0|1.0|-5.17|1.56e-06|0.000637|6.69e-06|0.00274|4.09|9.77e-10|4e-07|-0.05736|2.9964|-1350.078181|690.98|1168.62|413.78|349.8|575.2|0.69615|0.7016100000000001|0.0033|0.02458322|-1349.892156|153.0|6.8153|6.8153
12l_a36|1|0|0|3.426092687|0.0|7.412764017000001|2|2|1.297044247|0.0|5.351858133|0.128666217|0.0|-0.4203659179999999|-0.000143196|10.95423322|0.001194592|0.228884463|-0.428857427|1|0.8707354620000001|0.8174432229999999|-0.041707369|-0.079106537|0.8212311840000001|0|-0.079972189|-0.107815735|0.0220227089999999|-52.05361632|-70.17688229|39.27257375|0.15618077|-45.67788557|0.7379583590000001|83.76912404|-24.7683114|0.4619814279999999|2843.514589|2385.788754|-16.12160667|0.8586718990000001|6121.6555530000005|170.5619816|-822.2019402000001|-309.7725155|642.3830552000001|13.59224175|1.0|0.0|1.0|1.0|2.0|4.78|0.0|0.13|17.0|-6.66|1.38|0.0|128.47|0.0|1.0|5.0|-6.68|0.0|0.0|0.0|-4.29|2.72e-05|0.0111|5.08e-05|0.0206|2.95|2.21e-07|8.97e-05|-0.0510399999999999|3.8619|-1325.15957|686.83|1155.07|321.05|321.05|530.75|0.6925|0.6925|0.4524|0.03508404|-1325.0137550000002|0.02|7699.0|7699.0
16g_a32|1|1|1|3.363965155|0.0|7.765993078999999|0|0|0.609420729|0.0|5.733341277|-0.049658216|2.084553994|-0.771439265|-0.002456725|10.31100263|-0.00030659|-0.085591073|-0.696926204|0|0.79965447|0.83902731|-0.026098259|0.008494733|0.762429418|1|-0.078387439|-0.105500574|0.023959586|-57.77542509|-77.75914881|90.88837862|0.1793577589999999|-57.31234426|0.6863323440000001|94.54074206|-24.94161377|0.3972359179999999|2833.521937|3497.469035|-18.38320476|0.65902387|6372.261243999999|231.1885989|-974.3098525|-274.67233460000006|701.9321161|16.78159325|1.0|1.0|1.0|1.0|2.0|3.87|3.42|0.33|19.0|-8.16|1.57|0.0|121.56|1.0|1.0|5.0|-5.69|1.0|0.0|1.0|-5.32|3.08e-08|1.36e-05|4.83e-06|0.00213|4.65|6.890000000000001e-09|3.04e-06|-0.05|3.6161|-2034.593036|752.29|1245.25|342.86|342.86|639.49|0.70222|0.70222|0.2879|0.02895494|-2034.408165|11.0|7.9586|7.9586
7_a47|0|0|0|0.0|0.0|0.0|0|0|1.304326965|0.0|0.0|-0.128433676|1.303301032|-0.3939082339999999|-0.0091074509999999|10.93671034|-0.00794321|-0.262805289|-0.46105149|2|0.6995252890000001|0.817389583|-0.04402021|-0.124285418|0.671549194|1|-0.081264417|-0.095957591|0.008915606|-45.82735481|-54.113260200000006|103.5602725|0.152677268|-30.51603217|0.816979353|61.47335819|-20.44278719|0.405265781|2491.885862|1968.695833|-11.52827882|0.681423344|5958.904826|103.2106353|-518.7725468|-357.5076454|526.6144628999999|7.36009799|1.0|1.0|0.0|1.0|2.0|2.96|3.14|0.09|22.0|-9.45|3.69|0.0|111.28|0.0|1.0|4.0|-4.8|1.0|0.0|1.0|-6.06|3.41e-07|0.000134|8.75e-07|0.000345|5.49|3.52e-10|1.3900000000000001e-07|-0.05297|3.7203|-1647.963177|604.84|1043.33|333.26|333.26|455.81|0.69314|0.69314|0.2144|0.03348545|-1647.841533|25.0|7.6|7.6
14aa_a23|0|1|1|0.0|0.0|7.423568444|0|0|1.19796312|3.4143268310000003|5.351858133|0.031136154|0.758549568|-0.287870566|0.013012022|10.313217300000002|0.012103325|0.055934795|-0.4506138879999999|2|0.725358161|0.75434493|0.055269665|-0.070471939|0.693959193|1|-0.052155763|-0.076107469|0.018016316|-35.51947393|-51.83122853|40.49537336|0.075891958|-35.2984572|0.796659447|61.21989213|-21.51484958|0.4930525229999999|2941.302235|2263.821505|-14.65218978|0.972590939|6651.23042|138.4803717|-776.5660584|-404.0660854|733.3886349999999|9.388663605|0.0|0.0|1.0|1.0|1.0|3.63|3.68|0.12|26.0|-8.16|3.45|1.0|130.22|0.0|1.0|4.0|-5.92|0.0|0.0|0.0|-5.55|5.9e-07|0.000259|2.81e-06|0.00123|4.31|6.9799999999999995e-09|3.07e-06|-0.0708299999999999|3.5934|-1708.5422620000002|715.57|1231.11|345.03|345.03|588.45|0.6805899999999999|0.6805899999999999|0.4157|0.02033777|-1708.338059|4.0|8451.0|8451.0
12g_a30|0|0|0|0.0|0.0|7.412764017000001|2|2|0.6049842529999999|0.0|5.351858133|-0.037395048|0.0|-0.574592016|0.001371944|10.31162838|0.0026474159999999|-0.067792064|-0.539112991|1|0.817497287|0.826316772|-0.0430471959999999|-0.0885760969999999|0.770326886|0|-0.086195758|-0.10344931|0.027436565|-58.41940906|-70.11305057|133.2169768|0.216337219|-47.51931027|0.7743107290000001|83.29752441|-27.49531395|0.459011202|3058.2873170000003|2482.668258|-18.63502363|0.8484671109999999|6688.137428|152.961516|-950.3862054|-371.8296813|683.7405759|13.18447384|1.0|0.0|1.0|1.0|1.0|4.67|0.0|0.13|17.0|-6.42|2.06|1.0|133.52|0.0|1.0|6.0|-6.22|0.0|0.0|0.0|-5.01|1.01e-06|0.000444|9.71e-06|0.00427|3.89|3.7600000000000003e-07|0.000165|-0.0576|3.5592|-1743.174676|717.55|1206.02|348.35|244.53|577.31|0.26238|0.68366|0.1613|0.04012224|-1743.029147|9.0|8.0334|8.0334
1f_a5|1|0|0|2.824395738|-4.398485453999999|6.605297921|0|0|1.218960329|0.0|4.59511985|-0.118028278|0.0|-0.277594656|-0.0012491689999999|10.94527671|-0.000700145|-0.389011185|-0.401165734|2|0.525406088|0.771487328|-0.060528915|-0.000969932|0.513260607|0|-0.091412569|-0.083857856|0.008403353|-50.98614411|-46.77243802|201.7057715|0.111926552|-26.08772825|0.757522389|57.83835135|-19.87828616|0.4670794829999999|2482.949545|979.2285994|-11.0872845|0.8764524309999999|5474.331675|135.2439659|-443.4913802|-287.2706403|403.396385|11.06591332|1.0|1.0|0.0|1.0|1.0|2.9|2.61|0.05|23.0|-8.88|2.73|0.0|95.49|0.0|1.0|6.0|-5.73|1.0|0.0|1.0|-4.97|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|0.00396|3.95|1.3300000000000002e-09|4.86e-07|-0.05346|4.5758|-1288.3196369999998|577.11|958.06|270.96|261.1|442.04|0.47267|0.42446|0.0228|0.03370206|-1288.263745|0.24|6.6198|6.6198
