molecula|SddssS|n9FaHRing|n9FaRing|NaasN|nAHRing|nARing|SaasN|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|GATS1pe|FNSA3|FPSA3|PNSA3|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|RPCS|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
22_a20|0.0|0|0|1|0|0|1.915285809|2|0.09301076|-0.079707783|0.009265667|-0.066832578|10.93106272|-0.038668966|1|0.008780074|0.155407313|-0.060582944|2|0.616352201|0.7478675859999999|-0.067650395|0.607038752|-0.059893667|0.0122876139999999|-39.00017609|8.001165067999999|0.053484974|-0.027118811|-28.7463017|5.21001405|54.71081293|-25.39523478|52.90592556|-17.65860151|0.477376285|616.3298149|-882.9300756000001|0.22936173|7.408914181|14.17638345|0.913422548|5924.626340999999|-574.9260339|22.91425458|0.01345209|-352.4559681|664.4562602999999|1.0|1.0|1.0|0.0|3.41|0.08|5.33|2.0|121.62|4.0|-5.6|4.0|-5.58|0.0|0.0|-5.53|2.48e-06|4.47|0.0|0.0|2.04e-10|-0.0568|5.5591|-1275.84854|-1275.816275|1181.95|312.05|223.03|0.38233|0.66063|0.0015|-0.16176|4.8308|0.03226475|-1275.657902|231.0|6.6364|6.6364
34_a20|0.0|0|0|1|0|0|1.877209467|2|0.199191385|-0.328567476|0.003085806|-0.046356705|10.93244905|-0.054458882|1|0.003149352|0.327535029|0.057022334|2|0.7071284179999999|0.74801464|-0.090732503|0.690530489|-0.0851907119999999|0.0130295999999999|-57.31821177|8.766605631000001|0.203342854|-0.032248904|-38.68669181|5.898367836|80.66541842|-38.56497154|67.53437417|-21.69778179|0.462785432|536.0086996|-1149.982435|0.223585914|7.940146766|14.7802149|0.8614536140000001|6211.26199|-773.7338361000001|27.94614651|0.01491516|-371.9551262|712.1606951|1.0|1.0|1.0|1.0|2.92|0.08|4.5|2.0|125.0|5.0|-5.14|4.0|-6.28|0.0|0.0|-5.02|7.27e-06|3.63|0.0|0.0|6.64e-10|-0.05181|5.4132|-1352.31921|-1352.2836220000002|1205.64|320.38|229.04|0.38519|0.68845|0.0766|-0.16103|3.8519|0.03558836|-1352.102407|61.0|7.2147|7.2147
12o_a30|0.0|0|0|0|2|2|0.0|2|-0.089996613|-0.364378536|0.00372838|0.019094532|10.31162888|-0.087019298|1|0.003603419|-0.157974241|-0.090173435|1|0.8264832879999999|0.815003426|-0.149451598|0.7463962120000001|-0.076908942|0.015460222|-49.48891079|9.948252054|0.1556551169999999|-0.037808155|-40.37291185|6.401442327000001|0.0|-31.84483128|71.87393121|-24.32856749|0.46964626|543.3140456|-1192.099807|0.186865502|7.400912529|13.95467208|0.885533983|6542.77337|-767.0853252|29.91948755|0.0141914589999999|-402.9878652|652.8825454|1.0|1.0|0.0|1.0|0.0|0.14|4.47|2.0|132.29|5.0|-5.93|4.0|-5.75|0.0|0.0|-5.44|1.19e-06|4.49|0.0|0.0|6.03e-08|-0.05085|5.1935|-2035.37262|-2035.338699|1162.63|356.1|238.73|0.3493699999999999|0.6854399999999999|149.0|-0.1478799999999999|5559.0|0.03392126|-2035.199757|16.0|7.8097|7.8097
41_a47|0.0|1|1|1|0|0|1.840145925|3|-0.080388467|-0.187859623|0.003530307|0.024881402|10.98214139|0.075316535|1|0.0047106|-0.178132441|-0.317014709|3|0.62974551|0.8417952740000001|0.123676975|0.609110565|-0.061101947|0.018348892|-34.50740631|10.36256127|0.1768315369999999|-0.02929561|-28.69838714|5.852270304|0.0|-19.48810377|63.84353454|-16.54473457|0.447046066|464.8854878|-711.4235867000001|0.346852185|7.168742909|12.96444871|0.8084689140000001|5042.636398|-401.77742|25.33076615|0.023067788|-172.98086630000003|439.9906467|1.0|1.0|1.0|1.0|3.18|0.16|3.34|0.0|99.09|4.0|-3.57|5.0|-6.66|0.0|1.0|-3.9|0.000267|2.49|0.0|0.0|3.36e-08|-0.05053|4.0167|-1162.492089|-1162.462261|995.43|333.8|308.67|0.6779|0.68638|0.2504|-0.15208|4.9162|0.02982752|-1162.342476|0.01|8.0|8.0
7h_a8|0.0|0|0|1|0|0|1.2793830309999998|0|-0.016074683|-0.23505152|0.00112124|-0.0873792009999999|10.94341365|0.0260356679999999|1|0.00084936|-0.043606497|0.141285105|0|0.515235986|0.7051689170000001|0.041366689|0.507325475|-0.093181899|0.011647275|-53.71230941|6.71377223|0.228988973|-0.041038456|-31.05895923|3.86998135|47.81104825|-30.96107949|58.94376531|-23.65556243|0.4346108389999999|444.4294792|-969.8780597|0.107169655|7.589672923999999|13.42380338|0.768693264|5657.402114|-559.0612661|26.49502512|0.00878112|-452.8739011|446.5544107|1.0|0.0|0.0|1.0|3.2|0.0|5.52|2.0|101.89|3.0|-5.68|4.0|-5.27|0.0|0.0|-5.5|2.09e-06|4.66|0.0|1.0|3.5e-09|-0.06799|3.9282|-1285.182226|-1285.151298|999.62|315.62|315.62|0.6963199999999999|0.6963199999999999|0.3885|-0.16076|7.0847|0.03092828|-1285.0707960000002|10.5|4.9788|4.9788
7a_a8|0.0|0|0|1|1|1|1.4494883790000002|1|-0.017706371|-0.482688615|0.000736369|0.004607684|10.94671402|-0.019054799|1|0.002028046|-0.02923588|-0.032195997|1|0.7168594159999999|0.764224152|-0.032562221|0.681200974|-0.102174163|0.035405618|-60.00793116|20.79408196|0.281589625|-0.042647654|-35.14198015|12.2125771|71.85980901|-35.24327197|75.4573633|-25.04740346|0.477611327|421.9297638000001|-1077.038349|0.266115601|7.699041907000001|14.73814865|0.914283468|5907.9340090000005|-632.5556427|34.12990316|0.0265990589999999|-274.7254012|488.0169522|1.0|1.0|1.0|1.0|3.06|0.05|3.96|1.0|105.83|3.0|-4.86|5.0|-6.33|0.0|0.0|-4.64|1.36e-05|3.24|0.0|0.0|5.3600000000000004e-08|-0.07616|4.5808|-1291.313963|-1291.287017|1031.61|403.8|270.66|0.61257|0.70367|0.1575|-0.12889|9.9646|0.0269461|-1291.156661|24.73|4.6068|4.6068
12ae_a36|-3.3501500230000003|0|0|0|2|2|0.0|2|0.087069205|-0.611759277|-0.006862238|-0.083959343|10.31810353|0.006615826|1|-0.001160331|0.151620635|-0.261631709|1|0.8183043390000001|0.831101086|0.010209009|0.750657639|-0.085851235|0.023873046|-63.96145017|17.78605328|0.2837586789999999|-0.036430555|-58.64180087|13.25108213|19.97715962|-47.65297933|97.76153993|-27.14173115|0.465246185|533.6188092|-1574.220407|0.315002436|8.676756505|16.22570287|0.870019385|7331.209763|-1172.836017|39.62310606|0.025570256|-275.6561988|805.2286932|0.0|1.0|0.0|3.0|0.0|0.17|1.28|1.0|142.02|7.0|-3.85|6.0|-8.03|0.0|0.0|-3.72|0.0001409999999999|1.64|0.0|0.0|1.36e-07|-0.0548899999999999|5235.0|-1876.203168|-1876.152311|1281.69|320.67|236.84|0.40141|0.68591|0.3366|-0.1566|6.7458|0.0508577|-1875.963244|15.0|7.8239|7.8239
3h_a32|0.0|1|1|0|0|0|0.0|0|0.014517903|-0.269379119|0.002101838|-0.003152613|10.31100268|-0.111111111|3|0.003284804|0.025035542|-0.122769653|0|0.84279263|0.7926338540000001|-0.2|0.8030743229999999|-0.07183387|0.0111539339999999|-44.97387528|6.98327435|0.12119737|-0.027590124|-34.60714056|4.372100625|0.0|-28.15732254|62.63332945|-17.27367301|0.4089962629999999|550.2022886|-829.1363044|0.226505997|8.107034244|13.71739929|0.692036677|5187.525619|-519.1071084|22.33200639|0.011751781|-342.4592076|593.0848817000001|1.0|1.0|1.0|1.0|3.88|0.35|8.11|2.0|112.28|7.0|-8.23|3.0|-4.29|1.0|0.0|-6.15|5.8700000000000014e-09|6.12|0.0|0.0|3.37e-09|-0.05318|3.5552|-1790.6908030000002|-1790.663897|1127.45|348.74|348.74|0.70257|0.70257|0.2926|-0.1474099999999999|3.5952|0.02690554|-1790.5004850000005|7.0|8.1549|8.1549
47k_a18|0.0|0|0|0|1|1|0.0|0|-0.017736343|-0.5135996820000001|0.003047962|-0.02822032|10.94702256|-0.008576013|0|0.00493127|-0.026672956|-0.421027889|0|0.762665453|0.721697829|-0.014398731|0.737517943|-0.065324278|0.015080484|-51.59195677|11.91029894|0.169064596|-0.030255779|-55.10689702|9.406543039|58.77865447|-40.74641317|84.23875372|-23.89547793|0.467246896|656.2580564|-1744.369889|0.284695579|9.777177947|18.35217454|0.877042091|7575.637462000001|-1377.672426|33.40602576|0.018313855|-340.0872332|1167.054827|1.0|1.0|1.0|2.0|0.0|0.3|2.39|3.0|154.86|11.0|-5.84|4.0|-6.41|0.0|0.0|-5.33|1.44e-06|4.26|1.0|1.0|3.6099999999999997e-09|-0.04359|3.0948|-1664.756029|-1664.728002|1492.36|400.63|400.63|0.69823|0.69823|0.5920000000000001|-0.1277599999999999|4.1818|0.02802749|-1664.341238|29.0|7.5376|7.5376
9g_a24|0.0|0|0|1|0|0|1.7647373919999998|2|-0.162313932|-0.0425444|0.0144065739999999|0.070915465|10.96318169|-0.02471184|2|0.013119312|-0.292600863|-0.049325609|2|0.683676657|0.7931626959999999|-0.045107345|0.657503038|-0.064835725|0.01876163|-32.080056199999994|9.283063574|0.132863247|-0.021297745|-16.07665151|4.593165278|0.0|-15.87288497|49.25777584|-10.53790724|0.427531635|429.0504306|-389.9025677|0.518073552|6.124370267000001|10.69818114|0.746821416|4355.725609|-192.9198181|21.8662148|0.033884884|17.88521849|341.3207334|0.0|1.0|1.0|1.0|1.78|0.06|2.91|0.0|87.53|3.0|-2.49|4.0|-7.17|0.0|1.0|-3.09|0.00323|1.37|0.0|0.0|3.720000000000001e-07|-0.03585|5.2521|-984.5891383|-984.5565078|879.99|289.67|236.07|0.4227399999999999|0.64993|0.1023|-0.17806|2.9691|0.032630457|-984.497752|68.0|7.1675|7.1675
15b_a50|0.0|1|1|2|1|1|4.112770601|1|-0.103807905|-0.22696498|0.004641091|-0.06083723|10.94501702|-0.124047802|2|0.005203263|-0.17223348|-0.2185722769999999|1|0.79846758|0.8259784720000001|-0.216393362|0.764606364|-0.082576068|0.020083792|-47.20879251|11.48191704|0.179086516|-0.028069672|-26.37622116|6.564219549|0.0|-26.98929785|60.03646705|-16.04745006|0.478989976|469.3167805|-738.1827030000001|0.3609826579999999|6.89125222|13.22671714|0.919348867|5205.2135960000005|-422.0195386|25.11269883|0.024313507|-158.95261259999998|510.3677388|1.0|1.0|1.0|1.0|2.11|0.19|2.71|1.0|105.46|5.0|-3.18|4.0|-6.98|0.0|1.0|-3.6|0.000654|2.11|0.0|0.0|1.92e-06|-0.0333399999999999|4.0561|-1160.4989460000002|-1160.463663|1035.3|305.67|305.67|0.65917|0.65917|0.1796|-0.16737|6.9054|0.03528279|-1160.330621|79.0|7.1024|7.1024
11d_a5|0.0|0|0|0|0|0|0.0|2|-0.125546291|-0.185566552|0.008307337|-0.138265707|10.94877952|0.01948342|1|0.008809179|-0.202307745|-0.200646773|2|0.786587307|0.783891527|0.036918829|0.755793189|-0.063028408|0.012828514|-40.04753555|8.151092424|0.12909714|-0.029333375|-34.21147402|5.179111638|0.0|-25.44574968|65.35645739|-18.63809379|0.49396568|553.3617954|-969.1808771|0.287694578|8.920296087|17.62784804|0.976150552|5283.02167|-615.8065323|26.16587381|0.018119737|-269.7929124|631.9206508|1.0|1.0|1.0|1.0|3.37|0.17|4.41|1.0|114.29|7.0|-4.14|5.0|-6.47|0.0|1.0|-4.29|7.2e-05|3.07|0.0|0.0|2.31e-09|-0.03767|4.4175|-1239.127458|-1239.093739|1154.67|301.89|280.66|0.66686|0.6533399999999999|0.2068|-0.16762|2.8731|0.03371838|-1238.914819|15.0|7.8239|7.8239
4f_a49|0.0|0|0|1|1|1|2.066693174|2|-0.087861524|-0.418450768|0.001532832|-0.064058097|10.92775957|0.0705130559999999|1|0.001714014|-0.14414265|-0.025995042|2|0.69044503|0.7927086309999999|0.114367229|0.670594896|-0.102926696|0.016591015|-55.88123394|9.007637695|0.262938196|-0.033471819|-26.51573683|4.89045046|59.72286429999999|-30.33918719|60.18871783|-18.1726086|0.437355335|400.1675422|-781.4221699|0.2816937089999999|6.302023735|11.20071713|0.7773206840000001|5422.650822|-424.2517893|25.29924744|0.020905063|-237.0468572|467.1194103|1.0|1.0|0.0|1.0|2.35|0.14|3.42|1.0|102.08|3.0|-3.99|5.0|-6.6|0.0|0.0|-4.09|0.000102|2.64|0.0|0.0|2.92e-07|-0.06954|4.6249|-1179.23587|-1179.201105|982.46|334.21|268.08|0.39584|0.68474|0.0579999999999999|-0.15517|1.7833|0.03476467|-1179.080799|0.04|7.3979|7.3979
14g_a23|0.0|1|1|2|0|0|3.0793867980000003|2|0.058422864|-0.803522236|-0.002390707|-0.031968899|10.3132174|-0.030586527|2|-0.0004039459999999|0.179219801|-0.2952674819999999|2|0.598213287|0.796412133|-0.044895912|0.575188253|-0.072819606|0.018341721|-51.82254036|13.05300369|0.092665527|-0.041536002|-48.76552945|9.289253982|1.5679977319999998|-36.87984398|83.15907597|-29.55936307|0.461846955|645.7104105000001|-1507.527516|0.219684185|8.788027188|16.32997765|0.8582074559999999|8005.353973|-1072.841648|37.88128151|0.020564836|-398.9771038|676.4530574|1.0|0.0|1.0|1.0|3.79|0.09|3.97|2.0|126.97|7.0|-6.89|8.0|-5.94|1.0|0.0|-6.0|1.29e-07|4.76|0.0|0.0|1.12e-08|-0.08011|3.7042|-2042.1835260000005|-2042.161409|1233.48|334.71|334.71|0.56658|0.56658|0.3478|-0.1519|7.2913|0.0221162|-2042.000034|0.01|8.0|8.0
