molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nARing|SaasN|AATSC1c|AATSC1s|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8d|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|FNSA2|WNSA3|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
8a_a12|0.0|0|0|0|0.0|0|0.0|1|0.0|-0.00771093|-0.052287869|0.0|-0.362413703|-0.001510006|-0.050603335|-0.084035283|0|0.000249868|-0.226106307|-0.5385001079999999|2|0.763500863|-0.146966854|0.862306783|0|-0.05926895|-0.093050281|0.010336879|-30.69873711|-48.195997|5.354053791|46.32568673|0.107343574|55.59930083|-0.033836466|2.773166902|-1.4888045019999998|-15.90061008|36.0527909|2212.38965|462.3571879|2093.2274030000003|-9.077610683|5.113243051|9.607296424|0.878904705|22.14447395|0.014012546|-301.89687089999995|974.3568539|464.1781753|7.257889351|1.0|1.0|1.0|0.0|1.0|3.06|0.15|50.17|0.0|0.0|105.24|1.0|4.0|-6.04|0.0|1.0|1.0|3.1|0.000125|6.19e-05|3.18|0.0|0.0|-0.06246|3.9091|3.41|3.9091|-1046.0210880000002|952.71|0.2486|0.6309100000000001|-1045.851982|-0.15696|3.6588|-0.2194199999999999|0.02180654|-1045.902509|5.4032|199.0|6.7011
16_a31|0.0|1|0|0|0.0|0|7.758333467000001|1|0.0|-0.020181753|-0.186617888|0.0|-0.726543099|-0.017017891|-0.00795845|0.06214876|2|-0.0125582419999999|-0.09530799|-0.60894688|0|0.8318419909999999|0.0980869569999999|0.8944757390000001|0|-0.142079397|-0.150315165|0.0374314139999999|-66.9420327|-70.82239128|17.63615984|130.369865|0.4535498739999999|213.694252|-0.050105055|8.309441139|-1.653466811|-31.54036284|84.57819254|2071.962924|257.4650715|1212.615438|-11.12287666|5.521618837|9.649327262|0.747554032|32.30339751|0.027684692|-217.4912527|1066.012118|280.39844320000003|13.04390063|0.0|1.0|0.0|1.0|1.0|1.93|0.14|114.29|0.0|0.0|80.57|2.0|4.0|-6.48|0.0|0.0|1.0|2.33|4.38e-05|0.000254|2.32|0.0|0.0|-0.0318899999999999|3.6596|1.7|3.6596|-1308.202828|818.1|0.2534|0.70108|-1308.113026|-0.15231|3.7419|-0.1842|0.03948619|-1308.161433|5.5943|0.09|7.0458
15d_a10|0.0|0|0|0|0.0|1|7.535296702|2|2.147544195|-0.002831383|0.0370874879999999|2.04092658|-0.184039927|0.010215823|-0.140487312|0.007032164|1|0.011249462|-0.280243276|-0.1945202089999999|2|0.745184875|0.0131101969999999|0.71456262|1|-0.057588609|-0.070612242|0.02281891|-38.80896881|-47.58559595|15.37766538|67.59624856|0.12390229|83.49776405|-0.018829931|10.36301002|-1.129795872|-26.15336742|54.18663419|2967.522813|590.402322|2036.192049|-8.551449923|8.429169102000001|16.02072769|0.900629528|26.89020509|0.028735133|37.87296065|1613.412305|825.4425942|19.36460841|0.0|1.0|1.0|1.0|1.0|4.01|0.35|65.3|1.0|0.0|131.43|1.0|6.0|-7.04|0.0|1.0|0.0|3.18|0.000167|4.1200000000000005e-05|2.75|0.0|0.0|-0.05002|5.6004|2.05|3.8591|-1431.051425|1266.87|312.0|0.3685|-1430.733658|-0.15916|3.3831|-0.20918|-0.23696253|-1430.795367|3.8163|69.0|7.1612
3_a3|0.0|0|0|0|0.0|0|7.285506549|0|0.0|-0.010040064|-0.114647585|2.063441043|-0.3413621639999999|-0.007818326|0.0483259979999999|0.069435247|2|-0.006362643|0.081380229|-0.599804962|1|0.8083172479999999|0.123113049|0.8495058259999999|1|-0.107269779|-0.098797066|0.012617742|-48.91675544|-45.05306124|5.753894372|228.5396864|0.246193521|112.2682304|-0.035057023|2.623868963|-1.086767728|-22.30683222|54.67064981|2092.406045|343.74795510000007|1349.6286710000002|-7.290134722999999|5.025797436|8.592908408|0.709760196|22.83783244|0.023287455|-182.4099648|707.9728057|302.8386149|10.6194566|1.0|1.0|1.0|1.0|1.0|2.39|0.0|121.17|0.0|0.0|88.36|1.0|3.0|-5.88|0.0|0.0|1.0|3.23|3.32e-06|4.06e-05|3.26|0.0|0.0|-0.0637|5.8458|1.92|3.3475|-1592.873593|817.21|0.2383|0.29441|-1592.792349|-0.14599|2.1507|-0.20969|0.03099295|-1592.839065|2.8045|1175.0|5.93
4h_a46|-3.74433321|0|0|0|0.090767245|1|7.825245291|1|2.134072222|-0.005778576|-0.346835467|0.0|-0.404500343|-0.0008161889999999|-0.021951549|-0.09922757|1|0.003087227|-0.0488847059999999|-0.516344924|2|0.7543177040000001|-0.134568896|0.6947264059999999|0|-0.083155747|-0.083997524|0.010068754|-65.24476749|-65.90523417|7.900037181|105.2773797|0.232755725|182.6222935|-0.0305445539999999|6.198442205|-2.015940586|-51.19164773|73.14480467|3472.1185880000003|601.9869510999999|3180.526173|-18.803584|8.138240742999999|15.85230406|0.947878486|29.75215152|0.011589523|-479.405829|1963642.0|1021.999374|9.093247153|1.0|0.0|0.0|1.0|1.0|2.99|0.3|124.17|2.0|0.0|142.08|1.0|6.0|-6.38|1.0|0.0|0.0|3.82|2.97e-07|2.06e-06|4.21|0.0|1.0|-0.0389199999999999|4.2444|8.5|4.18|-1923.878801|1397.46|0.5451|0.55428|-1923.543349|-0.1711599999999999|1.7601|-0.21008|0.04729184|-1923.611784|2.9086|229.0|6.6402
47d_a18|0.0|0|0|0|0.0|0|7.03438793|1|0.0|-0.006087337|-0.041876322|0.0|-0.480899596|0.003376831|-0.07722825|0.016324953|0|0.005144085|-0.406388629|-0.417659275|0|0.7430748709999999|0.027971797|0.741366815|0|-0.06394156|-0.087315963|0.015270278|-52.14267013|-71.20388424|12.45251265|64.92967228|0.163000873|132.9229494|-0.028722356|10.15469843|-2.182899066|-42.52098397|64.59518279|3304.705347|682.5509007|1947.023498|-19.1002979|9.940531282|19.16475647|0.927940864|33.54943497|0.018506261|-323.1621908|2549.757058|1255.618298|15.0913716|1.0|1.0|0.0|1.0|1.0|0.0|0.32|88.97|3.0|2.0|159.67|1.0|4.0|-6.57|0.0|0.0|0.0|2.56|1.83e-06|5.23e-06|4.16|1.0|1.0|-0.04561|3.1079|8.08|3.1079|-1704.0327519999998|1544.09|0.5820000000000001|0.69905|-1703.545539|-0.12844|3.7605|-0.17405|0.02826074|-1703.622959|4.2225|8.0|8.0969
1_a1 (SKF-104365)|0.0|0|0|0|0.0|1|7.535296702|1|2.196347317|-0.006055958|-0.01959813|0.0|-0.218014497|0.000663414|-0.10236005|0.11172918|1|0.002250781|-0.300426726|-0.505981356|1|0.7926983559999999|0.194988905|0.551667506|0|-0.067997692|-0.081192283|0.0133681239999999|-31.45099608|-37.55389489|6.18316314|6.658828587|0.186844249|86.42113499|-0.029524467|2.859900586|-0.9743074|-14.547040099999998|37.63415922|1997.193006|376.1092109|1551.362941|-6.316296726|5.2735884010000005|9.042613965|0.71469847|19.24066156|0.018973797|-194.0267797|634.9418316000001|297.2783688|8.775956802|1.0|1.0|1.0|1.0|1.0|2.68|0.12|56.01|0.0|0.0|81.72|1.0|3.0|-6.01|0.0|1.0|1.0|3.27|0.000159|9.65e-05|2.96|0.0|0.0|-0.03482|3.8901|3.45|3.8901|-1279.060907|809.96|0.2178|0.70081|-1278.971649|-0.16142|4.5773|-0.19624|0.02377006|-1279.017667|6.9338|1.6|5.7959
8_a15|0.0|0|0|0|0.0|0|0.0|0|0.0|-0.009853404|-0.044406425|0.0|-0.5025236129999999|1.7800000000000002e-05|-0.010146469|-0.014489333|0|0.003160815|-0.295062413|-0.342749125|1|0.7059441040000001|-0.025923166|0.8105478740000001|0|-0.071552706|-0.118293578|0.0336657729999999|-41.7821007|-69.07571287|19.65860939|104.8781037|0.146103518|85.31489861|-0.028969856|11.47934212|-1.419522941|-24.39801408|61.44071008|2393.276181|498.6196971|1919.535904|-9.878130237|6.093505548|9.984825987|0.638601279|32.56759415|0.035495625|-22.68867482|1595.8121130000002|532.0914339999999|20.72712321|1.0|1.0|1.0|0.0|1.0|3.76|0.19|61.84|2.0|0.0|104.74|1.0|5.0|-5.52|0.0|1.0|1.0|3.76|5.63e-06|1.53e-05|4.24|0.0|0.0|-0.02723|4.4346|3.36|3.7426|-1223.687714|1050.15|251.0|0.5128|-1223.463981|-0.1558|1.1415|-0.18303|0.01719864|-1223.523393|1.4589|108.0|6.9666
7b_a10|0.0|0|0|0|0.0|0|7.535296702|2|0.0|-0.001621737|0.037541178|2.079721225|-0.07459988|0.011041815|-0.01808249|0.039221939|0|0.010068964|-0.082499103|-0.1874708719999999|2|0.764865564|0.065705128|0.586354126|1|-0.0590666679999999|-0.0720417159999999|0.009734392|-30.71062112|-37.45675757|5.061217187|13.37827368|0.07558334|39.29815915|-0.027444463|2.6314862480000003|-1.152667458|-15.96741933|35.77183831|2290.380138|480.6333417|2150.375871|-7.419027879|4.854451707|8.771658176|0.8069307729999999|18.26940272|0.012428175|-292.2491701|767.3149142000001|459.0250226|6.46179973|1.0|0.0|1.0|1.0|0.0|0.0|0.25|41.38|1.0|1.0|105.44|1.0|3.0|-5.09|0.0|1.0|1.0|3.02|5.29e-06|5.25e-06|4.68|0.0|0.0|-0.05377|6.0231|3.44|3.6426|-1450.06366|951.55|0.1488|0.4195399999999999|-1450.075119|-0.1584799999999999|4.2068|-0.21225|0.02946054|-1450.124551|5.6147|19.8|4.7033
18c_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.0|-0.0109670669999999|-0.118776867|0.0|-0.625122815|-0.003436924|0.0119521719999999|-0.0351777|1|-0.002215642|0.006103754|-0.562807327|1|0.8303425640000001|-0.058608635|0.802578397|0|-0.105618255|-0.1115683|0.019360263|-71.31647561|-75.33411705|13.07260474|384.391404|0.282947974|191.0545887|-0.042101245|8.826997739|-2.2313660090000003|-48.15493021|84.38908035|3002.59061|484.1740985|3094.729399|-19.19537998|7.646050338999999|13.8741593|0.81455244|36.16826708|0.018410634|-386.2200097|1916.918155|713.7769663|12.43138832|1.0|0.0|0.0|1.0|0.0|0.0|0.13|124.74|1.0|0.0|135.37|1.0|5.0|-7.05|0.0|0.0|0.0|1.91|9.68e-06|5e-05|2.74|0.0|0.0|-0.05575|3.4848|4.54|3.4848|-1744.455795|1209.11|0.3879|0.69123|-1744.2261030000002|-0.14225|6.6462|-198.0|0.04503016|-1744.28923|8.64|12.0|7.9208
12a_a40|0.0|0|0|0|0.0|1|7.515889085|0|1.784989449|-0.00431394|-0.012791297|0.8332127109999999|-0.14667395|0.01039129|0.100414476|-0.226763788|2|0.007890601|0.031326603|-0.4764003679999999|0|0.718281767|-0.375724138|0.525051106|1|-0.064340227|-0.074840643|0.011766311|-32.81611621|-38.17175304|6.001293955|107.5277007|0.059120235|30.15370934|-0.033799|3.060902482|-1.047769006|-16.73754566|38.81741016|2185.594734|479.8867095|600.1247016|-8.792513441|7.563170499|14.43505064|0.908597808|20.24838026|0.010759845|-358.4254366|627.699788|323.26151960000004|5.487955617999999|1.0|0.0|1.0|0.0|0.0|3.39|0.0|58.43|1.0|0.0|91.76|1.0|2.0|-4.56|0.0|1.0|1.0|4.78|3.86e-07|1.13e-06|5.43|0.0|1.0|-0.08015|3.0966|5.01|3.0966|-2097.8163050000003|875.15|0.3701|0.6998800000000001|-2097.7296100000003|-0.12895|2491.0|-0.2091|0.0104658999999999|-2097.779499|3.8054|1778.0|5.7501
