molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|GATS1pe|RASA|FNSA5|FPSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
16d_a32|0.0|1|1|1|3.311658163|0.0|0|0|0.0|0.170838661|-0.017249763|5.733341277|0|0.0421759259999999|-0.7589895790000001|-0.00839148|-0.134892903|10.31100273|-0.0517549079999999|3|3|0.021406827|-0.128753933|-0.239509216|0|0.816581223|0.107238939|0.7689748270000001|0.7554930740000001|-0.11491796|0.032003415|-67.07571683|18.67986534|115.2070109|0.244506926|-0.036437402|-31.07481011|86.50964771|-21.26791022|0.4429631189999999|2588.214866|440.9688416|-871.9843187999999|-12.41372827|0.384250302|6.221435089|11.16880283|5768.495166|-508.962859|34.53986301|0.0332953229999999|-135.1223777|1416.134383|1.0|0.0|1.0|1.0|3.35|3.01|0.18|5.26|3.82|1.0|102.33|1.0|6.0|-5.65|26.0|-6.62|385.46|0.0|1.0|3.12|2.22e-06|0.000856|0.0257|2.86|0.0|9.84e-05|3.6271|-1877.332369|621.59|1023.44|0.2915|489.97|0.70217|-0.15009|3.2048|0.02818209|-1877.241687|3.8853|8.1135|8.1135
9r_a24|0.0|1|0|0|2.950959457|0.0|0|0|0.0|-0.134192489|-0.004640179|4.59511985|3|0.024179894|-0.264490176|0.007861194|0.064425793|10.96129392|-0.043274854|1|1|-0.29065818|-0.179075526|-0.2920573039999999|3|0.786430472|-0.120617935|0.7526889940000001|0.8417158379999999|-0.082022572|0.015557618|-54.99020696|10.4302588|71.31566881|0.158284162|-0.025821921|-27.82142546|70.79264457|-17.31173182|0.473403843|2644.462265|564.3096436000001|-934.8335183|-11.60626518|0.384785172|9.672636984|18.36822555|5501.824326|-626.7383196000001|28.13932796|0.02357068|-154.486433|1519.52371|1.0|1.0|1.0|1.0|3.53|3.04|0.22|4.23|3.93|2.0|116.9|0.0|8.0|-4.02|30.0|-6.83|400.48|0.0|0.0|2.98|9.58e-05|0.0383|0.0351|2.69|0.0|8.84e-07|4.2877|-1294.451958|713.25|1199.71|0.3398|616.11|0.3398|-0.1676099999999999|1.9698|0.03426339|-1294.263358|3.0322|7.9586|7.9586
12f_a36|0.0|1|0|0|3.50900085|0.0|2|2|0.0|-0.066269699|-0.006773586|5.351858133|2|0.039061728|-0.40641518|0.003676818|0.012286423|10.95389399|-0.06756661|1|1|0.182557897|-0.101854847|-0.169994208|1|0.902377067|-0.109793154|0.857993338|0.8435569079999999|-0.100276611|0.01784834|-66.16123807|11.77610852|43.53853176|0.156443092|-0.035813075|-30.92312428|76.51015325|-23.629013600000004|0.464240353|2770.818472|556.5681681|-1323.224761|-15.59012402|0.219698129|7.416874811|13.84366076|6000.985822|-873.0469447999999|30.28188764|0.015685228|-369.879252|1695.785708|1.0|0.0|0.0|0.0|4.94|0.0|0.21|3.62|2.45|1.0|133.52|0.0|6.0|-4.61|31.0|-6.33|409.49|1.0|0.0|2.4|2.48e-05|0.0102|0.0109|3.47|0.0|1.7899999999999998e-05|3.6545|-1311.550167|699.88|1195.77|0.4374|545.55|0.37095|-0.15011|5.9228|0.02879265|-1311.345557|7.8454|7.9586|7.9586
galu_a46|0.0|0|0|0|0.0|0.0|1|1|2.082220175|0.048375705|-0.00642454|5.4161004020000005|2|0.039550827|-0.327651527|0.002865697|-0.094815394|10.92740177|-0.1121767259999999|1|1|-0.150645957|0.028964355|0.0481706809999999|2|0.702976795|0.044184467|0.6848692759999999|0.7637964079999999|-0.089050651|0.01235603|-49.84028137|6.915480101|261.2602893|0.236203592|-0.03220981|-28.50774993|57.65745491|-18.02733582|0.468241745|2501.785113|427.4851161|-847.2847833999999|-10.08962292|0.2167824069999999|6.445819025|12.12170938|5641.451892|-474.2122773|23.01702105|0.013967104|-317.0250717|1081.799989|0.0|1.0|1.0|1.0|3.27|2.75|0.18|3.69|3.51|1.0|108.18|0.0|3.0|-3.85|28.0|-6.86|369.42|0.0|1.0|2.84|0.0001409999999999|52.0|0.0375|2.39|0.0|2.75e-05|||||||||||||7.2924|7.2924
17g_a50|0.0|0|1|1|0.0|0.0|2|2|4.377239517|-0.185924266|-0.002050512|5.82008293|2|0.029160757|-0.13328325|0.012079|-0.022378911|10.94501702|-0.1155555559999999|2|2|-0.090386911|-0.200725906|-0.323333765|1|0.754575205|-0.10642733|0.7276268779999999|0.920663175|-0.0706879109999999|0.014550016|-47.17463902|9.710172008|10.60268439|0.079336825|-0.025918901|-21.45417373|56.28102287|-17.29736764|0.467997084|2821.3922|614.4183967|-1037.842058|-11.54365807|0.250051612|8.130878433|15.28352231|6102.424958|-692.6194843|23.06474408|0.013645282|-333.6136209|1383.884645|0.0|1.0|1.0|1.0|4.04|3.66|0.35|3.71|4.37|2.0|133.03|0.0|6.0|-4.46|32.0|-6.28|424.54|1.0|0.0|3.63|3.4899999999999995e-05|0.0148|0.0059|3.68|0.0|4.6500000000000005e-05|4.0458|-1335.946919|725.92|1259.05|0.1795|559.45|0.6623600000000001|-0.16699|7.0584|0.02957267|-1335.693266|9.1706|6.6091|6.6091
6b_a40|0.0|0|0|0|0.0|0.0|1|2|1.710647518|0.135693438|-0.014861289|6.401917197|0|0.039863946|-0.698480566|-0.003851208|0.0986825569999999|10.30179924|-0.226457281|2|2|-0.248560671|-0.018582337|-0.033583055|0|0.691778838|0.003163118|0.6462648870000001|0.753431574|-0.118488624|0.014588568|-79.36130196|9.771129787|176.8246355|0.246568426|-0.049599889|-48.31476032|87.29061302|-33.22101012|0.442509019|3214.047452|504.6333458|-1428.503435|-22.2507658|0.1218592019999999|6.976123351|12.51342818|8482.600495|-956.7829293|37.83107469|0.011838681|-506.5422338|1626.736212|1.0|0.0|1.0|1.0|4.02|3.36|0.21|5.67|4.38|2.0|130.16|1.0|5.0|-8.41|31.0|-5.85|511.42|0.0|1.0|4.21|3.86e-09|1.98e-06|0.000335|5.03|1.0|0.00318|3.1026|-3290.745084|687.2|1183.07|0.4962|552.01|0.69429|-0.1237099999999999|8193.0|0.03026498|-3290.648012|11.3203|7.5229|7.5229
28_a34|0.0|0|0|0|0.0|0.0|1|1|1.767685185|0.000561166|-0.016942875|5.351858133|1|0.04515873|-0.6946578940000001|-0.012039484|-0.15803127|10.9595763|-0.0500053959999999|1|1|-0.33032879|-0.189821204|-0.311884247|1|0.8318609690000001|0.092890802|0.7829667309999999|0.545935562|-0.140864841|0.03768308|-72.11491331|19.29162755|144.3404619|0.4540644379999999|-0.048190604|-34.24669822|85.99382787|-24.6708914|0.454339954|2252.098123|279.4884473|-937.4938731|-12.63011537|0.270129894|5.613534285|10.28760365|4803.256974|-479.9443839|33.80175623|0.0271102189999999|-235.3612529|1284.466737|0.0|1.0|1.0|1.0|3.02|2.55|0.12|1.99|2.07|0.0|85.92|0.0|3.0|-3.27|24.0|-7.04|322.32|0.0|1.0|1.84|0.000533|172.0|182.0|1.72|0.0|0.00535|4.2857|-1100.760824|544.24|896.02|0.2043|417.28|0.69263|-0.17802|6.4596|0.03680411|-1100.704833|8.5886|5.4179|5.4179
8c_a31|0.0|1|0|0|3.435435563|0.0|1|1|0.0|-0.012583838|-0.01275867|5.733341277|0|0.03995098|-0.574140137|-0.0080009219999999|-0.1903992189999999|10.31169969|-0.1029580369999999|2|2|-0.178276512|-0.053983462|-0.09039853|0|0.922486359|0.006000201|0.87237334|0.626072761|-0.128067781|0.029669107|-70.64275621|16.3656112|133.3100368|0.3739272389999999|-0.039640027|-35.61776956|82.77037329|-21.86561502|0.47508938|2251.08563|345.3445134|-918.3558307|-12.06117028|0.27691747|6.820988495|12.99457133|4835.748065|-506.5691518|30.23944586|0.021986076|-246.1066271|1270.056726|1.0|1.0|1.0|1.0|3.51|2.9|0.29|4.89|3.13|0.0|93.45|0.0|5.0|-4.42|24.0|-6.7|342.42|0.0|1.0|2.83|3.79e-05|13.0|0.0811|2.38|0.0|0.0002549999999999|3.8492|-1426.129055|595.67|981.89|0.2597|475.72|0.7005|-0.15985|3.3453|0.03744829|-1426.024361|5.1815|6.0915|6.0915
1e_a5|0.0|1|0|0|2.953259375|0.0|0|0|0.0|-0.260066152|-0.001975193|4.59511985|2|0.027873016|-0.084933308|0.008031558|-0.1197834419999999|10.94440038|-0.040441176|1|1|-0.133677441|0.034752304|0.0578378779999999|2|0.71274658|0.045376705|0.6977404359999999|0.8805795|-0.069725333|0.008587563|-36.22202792|4.461204261000001|159.537038|0.1194205|-0.0278901329999999|-18.33860051|44.38364879|-14.48881117|0.482579989|2107.092939|457.4574833|-579.5524467|-7.526878708|0.2526063739999999|6.41473183|12.39753333|4342.827698|-301.0751483|19.38578369|0.0157106539999999|-257.0399733|775.4313476|1.0|1.0|0.0|1.0|2.83|2.17|0.05|4.99|4.51|0.0|95.45|0.0|3.0|-4.25|24.0|-5.77|312.37|1.0|1.0|3.44|5.5700000000000005e-05|0.0174|0.0111|3.43|0.0|1.21e-06|4.4292|-990.6006645|560.58|935.47|0.5156|427.87|0.56258|-0.18105|1916.0|0.0313740589999999|-990.522307|3.0386|6719.0|6719.0
17_a15|0.0|0|0|0|0.0|0.0|0|0|0.0|-0.046866421|-0.0071363569999999|0.0|2|0.036595745|-0.442454151|0.0016674189999999|-0.032903349|10.9544604|-0.0141953639999999|0|0|-0.052628162|-0.170008473|-0.263401148|2|0.769376831|0.001376853|0.740986227|0.880459235|-0.079844675|0.012890299|-61.17023228|9.875456386|34.35335309|0.119540765|-0.027065991|-31.03055741|77.82445248|-20.73567196|0.474165158|2852.085573|674.5333498|-1223.4046460000002|-15.88591693|0.346792631|7.967418828|15.15194163|6352.266784|-937.2690986|31.74439379|0.0217385279999999|-234.74904|1872.919233|1.0|1.0|1.0|1.0|3.63|3.99|0.15|4.89|6.0|2.0|131.36|0.0|7.0|-5.93|33.0|-5.58|438.52|0.0|1.0|4.44|1.19e-06|0.00052|0.00099|4.78|0.0|8.43e-08|3.8006|-1413.857182|752.08|1298.37|0.7247|663.81|0.68787|-0.15573|5.1268|0.04051306|-1413.624817|7.1743|7.9208|7.9208
