molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aHRing|MATS1i|MATS1c|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|FPSA5|DPSA1|DPSA2|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
9i_a40|0|0|0|0.0|7.515889085|0|0|1.841293462|0.074116257|-0.105556952|0|0.045555556|0.187127708|-0.279092262|0.004532692|-0.1788455119999999|2|0.105172175|-0.542471361|0.831946443|-0.154977678|-0.28972973|0.824009442|0.7947633409999999|1|-0.088485615|0.006324687|-46.80087537|5.548036224|213.7117392|0.169019238|85.16517222|-0.036869006|-22.46593254|2.795536563|62.68854553|0.8590224540000001|-1.327284222|-23.58195819|52.34891159|0.477626156|2056.370683|418.7133986|-668.7900768999999|335.9672843|-9.360805225|0.140977546|7.700852478|14.74203307|0.010372658|-361.8074422|778.5478408|1.0|1.0|3.25|20.0|3.84|4.02|84.45|2.99|1.0|1.0|91.11|1.0|22.0|2.0|0.0|1.0|3.52|-4.71|0.00147|0.00603|3.85|0.0|9.31e-07|0.000285|-0.05989|4.3611|2.8936|-1273.31399|534.44|883.84|0.5012|284.3|417.75|0.56118|0.70339|-1273.167389|-0.17956|0.02072395|-1273.217301|5.9031
14w_a23|0|1|1|0.0|7.423568444|0|0|3.132012648|0.013971812|-0.109136569|2|0.046678487|0.045196333|-0.330575965|0.003379755|-0.031435038|2|-0.073958723|-0.427696371|0.5788469970000001|0.059273664|-0.049318182|0.8668730109999999|0.558482531|1|-0.088508061|0.228641034|-46.76570273|14.84036772|43.30287556|0.211928134|140.15462380000002|-0.035779855|-38.70975831|9.814393755|90.15900589|0.743451788|-1.681653166|-30.92760432|61.60607046|0.4972095239999999|3071.908367|521.1762769999999|-1112.129203|2283.383402|-15.648625699999998|0.256548212|7.833745658|15.58053709|0.020725002|-322.004381|1495.89956|0.0|0.0|3.42|26.0|4.2|5.14|105.02|3.78|2.0|1.0|120.2|1.0|32.0|6.0|0.0|0.0|4.05|-5.27|0.0009369999999999|0.00242|3.78|0.0|1.17e-08|5.23e-06|-0.0798|3.6632|3.6632|-1828.363862|676.92|1150.31|0.3855|338.46|535.54|0.6219399999999999|0.6219399999999999|-1828.161957|-0.22824|0.02204118|-1828.222578|8.6737
1l_a5|1|0|0|0.0|6.605297921|0|0|0.0|-0.244609612|-0.0052651969999999|2|0.025672515|-0.111303801|-0.089997343|0.008244856|-0.05139414|1|0.0271820189999999|-0.21108114|0.7245669790000001|-0.174469948|-0.091849662|0.818803517|0.71872376|0|-0.067755283|0.357062421|-38.79937717|4.43679678|167.86839980000002|0.109710998|61.974288|-0.026512937|-21.62050954|2.506287665|0.0|0.769406114|-1.219595099|-21.91725365|43.23617395|0.47265823|2227.730859|502.9124512|-688.9330988|903.1631908|-8.460199385|0.230593886|7.401206343999999|14.03493287|0.013054186|-304.3678822|895.4089219|1.0|1.0|2.98|23.0|5.56|5.32|54.46|2.57|1.0|0.0|105.07|1.0|26.0|3.0|1.0|1.0|4.06|-4.98|0.00308|0.00356|4.19|0.0|1.4800000000000003e-09|5.02e-07|-0.04149|4.6403|4.3664|-1069.229786|609.85|1033.47|0.4921|267.19|486.81|0.45892|0.57392|-1069.047151|-0.21939|0.03182983|-1069.101032|7.4949
25c_a34|0|0|0|0.0|7.412764017000001|2|2|1.958290974|0.024837617|-0.047513652|2|0.037424242|-0.16034464|-0.834326082|-0.002827527|-0.041629027|1|-0.3609280379999999|-0.5404076879999999|0.809687672|0.118901861|-0.072907053|0.844690266|0.760055383|0|-0.113392997|0.478421157|-59.0359041|29.22363765|183.6812574|0.316768377|211.2752099|-0.031498055|-50.44285726|19.49130854|93.28638171|0.537428437|-1.7008949569999998|-39.37521522|88.25954175|0.4356106729999999|2884.104654|455.6954382|-1134.447012|2439.174137|-14.01190479|0.4625715629999999|7.484891117|13.26192888|0.037538004|-49.9273377|2110.880136|1.0|1.0|3.64|17.0|2.18|1.98|90.74|1.0|1.0|0.0|116.0|2.0|31.0|6.0|0.0|0.0|1.93|-3.28|659.0|0.22|1.3|0.0|1.97e-06|0.0008289999999999|-0.03272|4.2095|4.2095|-1426.666471|704.43|1180.85|0.2239999999999999|294.54|561.29|0.69247|0.69247|-1426.421463|-0.2069599999999999|0.03817361|-1426.48597|5.7496
46_a18|0|0|0|0.0|7.03438793|2|2|0.0|-0.001181461|-0.018808538|1|0.03531746|-0.046124025|-0.3872848129999999|0.002300582|-0.052591109|0|-0.1483628609999999|-0.448177615|0.7100921609999999|-0.015124585|-0.090469229|0.76616843|0.699483099|0|-0.076485888|0.30524999|-49.54738918|6.376289807000001|0.946462387|0.173455401|123.2289237|-0.029244604|-38.60388092|4.5299444310000005|58.66827342|0.782232748|-1.988633091|-35.20023815|55.92367899|0.4548138479999999|3052.94234|587.2068577|-1412.796104|1848.661552|-14.76030741|0.217767252|8.980343774|16.47206875|0.013181412|-401.0164861|1806.107079|1.0|1.0|4.27|18.0|3.68|3.3|76.5|3.33|2.0|1.0|151.14|1.0|36.0|3.0|1.0|0.0|2.93|-5.47|0.000999|0.00161|4.36|0.0|1.51e-09|7.27e-07|-0.04995|3225.0|3225.0|-1532.968527|765.33|1380.79|0.4249|384.45|635.89|0.69181|0.69181|-1532.493789|-0.18219|0.0239301|-1532.562476|6.7305
12_a15|0|0|0|0.0|0.0|0|0|0.0|-0.071096525|-0.0455566929999999|2|0.034285714|-0.035728911|-0.370766171|0.001740635|-0.01062828|0|-0.120626133|-0.380490701|0.8310685940000001|0.049877871|-0.019064393|0.769289315|0.7933685340000001|0|-0.094209248|0.738437971|-39.00359933|9.58943236|72.18361893|0.10362709|66.16793071|-0.031995594|-38.40979933|6.123040777999999|4.192089814|0.746489397|-1.695766456|-24.90456371|48.59303169|0.476419838|2613.57759|572.3516967|-1082.780166|2661.728915|-13.04483751|0.253510603|5.448223888999999|10.40571107|0.016453962|-314.7766363|1450.496376|1.0|1.0|3.56|24.0|5.32|6.3|56.27|2.87|2.0|0.0|119.95|1.0|30.0|4.0|0.0|1.0|4.7|-5.83|0.0002379999999999|0.000584|5.29|0.0|1.51e-10|5.99e-08|-0.03196|4.4819|3.8538|-1281.060163|688.91|1177.81|0.1374|276.63|585.26|0.50595|0.70444|-1280.810963|-0.19054|0.02694613|-1280.871722|8.3979
12e_a36|1|0|0|0.0|7.412764017000001|2|2|0.0|-0.064019914|-0.043085717|2|0.040899471|0.144415507|-0.404736007|0.002951176|-0.084051264|1|-0.104118159|-0.43688276|0.90414347|-0.010494913|-0.144846626|0.847602953|0.856274847|0|-0.100988761|0.4347714629999999|-44.83739063|12.12502373|65.27404529|0.161913613|102.9838531|-0.036203518|-40.85494129999999|7.71202397|5.735288795|0.7610764190000001|-1.918786459|-28.51846223|56.96241436|0.466721981|2709.877204|533.058116|-1220.428718|2309.239105|-14.64611103|0.238923581|6.767371321000001|12.69013737|0.017716522|-332.11111980000004|1603.556077|0.0|0.0|4.85|17.0|3.24|2.19|69.2|2.24|1.0|0.0|128.72|1.0|30.0|4.0|1.0|0.0|2.14|-4.3|0.0274|0.02|3.04|0.0|1.08e-07|4.270000000000001e-05|-0.04962|3.8364|3.6699|-1272.23645|673.57|1142.19|0.4537|323.18|507.03|0.6814600000000001|0.70007|-1271.999945|-0.20151|0.03037051|-1272.0579810000002|7.8539
10_a1|1|0|0|0.0|6.86171134|0|0|0.0|0.0883621719999999|-0.23385288|1|0.037578348|0.049971022|-0.621976404|-0.012672753|0.010430299|1|-0.019835038|-0.623957903|0.674381582|-0.0369911079999999|0.017498337|0.783467165|0.658433571|0|-0.10949971|0.126889306|-65.97424138|8.34295348|212.8090837|0.330036242|186.6625065|-0.045402319|-35.02707638|4.718623023|64.49041745|0.8340962559999999|-1.861495069|-37.31383317|74.31719486|0.459673515|2432.447088|378.9193385|-1052.827816|1768.2330920000002|-14.52342192|0.165903744|7.376231317999999|13.65143394|0.015427326|-377.9175542|1262.237791|1.0|0.0|3.0|23.0|4.86|5.06|78.87|2.78|2.0|0.0|99.61|1.0|27.0|5.0|0.0|1.0|3.7|-4.73|0.00372|0.00673|3.64|0.0|9.53e-09|3.42e-06|-0.06802|3.4067|3.4067|-1223.125689|585.51|979.35|0.6754|363.94|464.77|0.70345|0.70345|-1222.969096|-0.20378|0.03426532|-1223.022387|5.8239
12u_a36|1|0|0|0.0|7.412764017000001|2|2|0.0|-0.054501792|-0.0407717229999999|2|0.042560386|0.033763276|-0.407105926|0.0042553209999999|-0.010669561|1|-0.099596099|-0.438988314|0.901715152|0.080270195|-0.018047007|0.855176759|0.860667615|0|-0.0969881059999999|0.3765068079999999|-50.53295452|12.27663887|86.1184622|0.157772171|109.8080843|-0.03452119|-46.98143813|8.544435884|5.944854912|0.77938748|-2.036750221|-35.17050511|62.80959338|0.486156325|2831.106839|586.1833819|-1417.5607730000002|2455.7556010000003|-16.72220679|0.22061252|7.65672775|14.90088936|0.015171583|-388.9026034|1818.813889|0.0|1.0|5.05|17.0|3.85|3.01|69.2|2.66|2.0|0.0|138.33|1.0|32.0|4.0|1.0|1.0|2.66|-4.86|0.0047799999999999|0.00589|3.8|0.0|4.2e-08|1.7800000000000002e-05|-53.0|3.8847|3675.0|-1350.865506|739.12|1254.5|0.4267|319.16|590.18|0.69258|0.70272|-1350.575382|-0.20409|0.03260752|-1350.638138|7.7959
19h_a38|1|0|0|0.0|7.412764017000001|2|2|0.0|-0.088176988|-0.082283951|2|0.042622739|0.14165187|-0.420209249|-0.002526241|-0.070688288|1|-0.101303149|-0.420225236|0.724208473|-0.054149342|-0.121374121|0.8741648479999999|0.698414933|0|-0.109986804|0.3263113569999999|-48.43313101|12.51014765|136.81322659999998|0.225371198|132.7728693|-0.03959525|-38.17354026|7.370099699|0.0|0.75379331|-1.979762478|-28.533396600000003|60.94327866|0.47459722|2774.611523|456.3568442|-1166.336902|1839.424968|-13.74247449|0.24620669|6.820483788|12.98143834|0.020207411|-299.0343596|1547.290068|1.0|1.0|4.8|17.0|3.13|2.55|81.23|2.4|1.0|0.0|125.69|1.0|30.0|4.0|0.0|1.0|2.66|-4.17|29.0|0.0272|2.78|0.0|1.4e-07|5.610000000000001e-05|-0.05708|3.7384|3.5358|-1332.1538779999998|626.65|1092.17|0.2355|331.65|452.01|0.68472|0.69012|-1331.941646|-0.20379|0.03396934|-1331.999352|8.0348
