molecula|SddssS|n9FaHRing|n9FaRing|NaasN|nAHRing|SaasN|AATSC1c|MATS7i|SaaaC|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PNSA5|WNSA5|RPCS|DPSA5|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
AKLKII_a46|0.0|0|0|0|0|0.0|-0.003417504|-0.008897473|1.744747103|0.006821053|10.96959256|0.036226415|1|1|-0.015805561|-0.037291767|-0.066245471|3|0.758995484|0.687139108|1|0.837641394|-0.071827497|0.010384859|-42.37969553|-20.09682339|0.0|49.76981906|2000.353437|397.2168972|-550.9360419|792.7439217|-7.464534402999999|0.2278604669999999|5.83938898|4110.764451|108.05343229999998|20.38625028|0.015584114|-258.10190780000005|7.390123534|1.0|0.0|1.0|1.0|1.0|1.6|21.0|-7.21|3.9|3.39|1.18|0.0|1.0|-3.24|22.0|-6.5|287.32|0.0|1.0|1.0|-3.58|0.000578|0.000266|0.0764|0.0|6.18e-08|1.7800000000000002e-05|||||||||||||||||181.0|6.7423|6.7423
7b_a8|0.0|0|0|1|1|1.4628217119999998|-0.009659873|-0.024156447|0.0|0.002074537|10.9465091|-0.0254956129999999|1|1|-0.039357491|-0.021509048|-0.035044152|1|0.7812177770000001|0.677544268|0|0.7223476129999999|-0.101439013|0.033167971|-59.93853201|-35.90168309|75.93423425|73.70461365|2776.185773|432.6681725|-1138.832108|1780.952171|-14.82895606|0.246064343|7.698000901|6185.0105140000005|147.3863936|32.83731114|0.022982731|-304.2022276|13.76608164|0.0|1.0|1.0|1.0|1.0|3.37|23.0|-7.65|4.48|3.8|2.23|0.0|1.0|-5.25|30.0|-6.15|396.4|0.0|0.0|1.0|-4.94|5.64e-06|1.14e-05|0.00454|0.0|2.25e-08|8.94e-06|-0.06833|4.5945|5.51|3.26|621.4|1067.73|0.2517|269.85|506.21|0.44725|0.7025100000000001|-1330.392289|-0.13639|9.9463|-1330.448193|12.7344|13.53|4.8687|4.8687
8a_a32|0.0|1|1|0|0|0.0|-0.010151321|-0.0281981579999999|2.059960334|-0.003484915|10.31100269|-0.128684642|3|3|-0.050766252|-0.0852122769999999|-0.1534110109999999|0|0.845443342|0.7507116140000001|1|0.814553726|-0.083474428|0.018321589|-68.61558335|-43.03057598|66.81560596|79.73671389|2574.085885|510.8273411|-1029.23375|3312.822051|-14.03170956|0.250915471|7.420041446|5659.295213|157.3554684|29.86932167|0.017733503|-312.4144752|11.12113054|1.0|1.0|1.0|1.0|2.0|3.67|19.0|-7.65|6.49|4.65|1.37|0.0|1.0|-6.82|27.0|-5.76|397.52|1.0|0.0|1.0|-4.99|1.5199999999999998e-07|1.02e-05|0.00406|0.0|2.23e-08|8.86e-06|-0.06166|3562.0|4.98|3562.0|667.29|1110.23|0.4315|348.07|566.07|0.70316|0.70316|-1880.536478|-0.1445|4.8933|-1880.595748|7.6703|45.0|7.3468|7.3468
12as_a36|0.0|0|0|0|2|0.0|-0.007672841|0.096454203|0.0|0.000584134|10.95347588|-0.025398105|1|1|0.162571317|-0.098698552|-0.166354116|1|0.817372883|0.770400825|0|0.77043791|-0.082748367|0.019229943|-73.78005999|-49.71556877|0.0|85.53474971|2904.092809|519.1478419|-1401.82114|2365.632846|-17.17446921|0.231874606|8.768282531|6224.698969|156.2451686|33.18163581|0.017444469|-361.3444194|11.75468972|0.0|0.0|1.0|0.0|2.0|0.0|17.0|-6.89|3.16|2.09|1.59|0.0|1.0|-3.81|32.0|-7.21|423.47|0.0|0.0|0.0|-3.95|0.000154|0.000112|0.0476|0.0|1.29e-07|5.4600000000000006e-05|-0.05789|4.5202|4.84|3851.0|712.04|1207.35|0.5902|274.29|568.52|0.53815|0.68211|-1385.322633|-0.1563|4.8580000000000005|-1385.384524|6.8556|59.0|7.2291|7.2291
15d_a10|0.0|0|0|1|2|2.147544195|-0.002831383|-0.059217023|2.04092658|0.010215823|10.92970801|0.007032164|1|1|-0.092884337|-0.1786649189999999|-0.280243276|2|0.745184875|0.71456262|1|0.87609771|-0.057588609|0.02281891|-47.58559595|-32.06793721|141.0919598|66.95020436|2967.522813|590.402322|-761.3695352999999|2036.192049|-8.551449923|0.5280998339999999|8.429169102000001|6511.656447|355.8865234|26.89020509|0.028735133|37.87296065|19.36460841|1.0|1.0|1.0|1.0|0.0|4.01|21.0|-7.82|4.14|3.44|1.54|0.0|1.0|-3.78|33.0|-7.04|441.52|0.0|1.0|0.0|-4.38|0.000167|4.1200000000000005e-05|0.0182|0.0|1.5e-08|6.62e-06|-0.05002|5.6004|2.05|3.8591|737.09|1266.87|312.0|221.39|565.91|0.3685|0.6814100000000001|-1430.733658|-0.15916|3.3831|-1430.795367|3.8163|69.0|7.1612|7.1612
13b_a30|0.0|0|0|0|2|0.0|-0.011016128|-0.035340334|0.0|-0.003436924|10.31162842|-0.0463169629999999|1|1|-0.062905093|0.003429114|0.006103754|1|0.836520136|0.802578397|0|0.694101802|-0.109962789|0.018555474|-76.67161447|-51.76819834|105.341977|88.26741491|3002.926824|468.6532296|-1533.432289|2319.48655|-19.53516918|0.1997091339999999|8.804739699999999|6627.406474|134.8423681|36.15271139|0.017174033|-405.5090587|11.59580043|0.0|0.0|1.0|0.0|2.0|0.0|17.0|-6.19|3.04|1.72|2.06|0.0|1.0|-5.01|32.0|-7.05|441.51|0.0|0.0|0.0|-4.3|9.68e-06|5e-05|0.0221|0.0|6.520000000000001e-07|0.000288|-0.05434|5.0501|4.54|3.5056|721.48|1210.94|0.2783|245.51|544.04|0.32563|0.6862699999999999|-1744.2179010000002|-0.14879|3.8495|-1744.281763|5.3762|26.0|7.5901|7.5901
4i_a46|0.0|0|0|1|1|2.184105962|-0.002360192|-0.088884176|0.0|0.012211602|10.94638684|-0.125773054|1|1|-0.133434195|-0.060809732|-0.091288438|1|0.749522825|0.7172344890000001|0|0.940780437|-0.058565229|0.015663081|-42.48203383|-23.99628633|70.55661087|49.04951810000001|2200.19132|531.4066842|-722.1945751000001|2253.484644|-7.998762108999999|0.2361682219999999|6.218233741000001|4893.587424|133.40134070000002|18.53900079|0.011626803|-298.0546045|6.567484272000001|0.0|1.0|1.0|1.0|0.0|3.5|17.0|-7.3|4.79|5.07|3.06|0.0|1.0|-4.94|26.0|-5.31|347.45|0.0|1.0|1.0|-5.04|1.16e-05|9.13e-06|0.00317|0.0|5.04e-08|1.75e-05|-0.01646|5.3987|4.46|4.4232|611.74|1058.5|0.2805|229.66|546.24|0.41877|0.69035|-1092.473422|-0.18438|2.8538|-1092.528145|3.8696|612.0|6.2132|6.2132
19g_a38|0.0|0|0|0|2|0.0|-0.008497058|-0.037579797|0.0|-0.006877664|10.96052467|-0.046735135|1|1|-0.096139701|-0.098027247|-0.250781298|1|0.836170906|0.632625562|0|0.7200062690000001|-0.086314802|0.022953686|-72.29378538|-45.74791999|18.41027014|86.78105144|2897.384301|455.6240763999999|-1228.994351|2506.378649|-15.5542928|0.280058007|6.327835378|6631.17356|177.2223055|34.14148263|0.0228937029999999|-278.3610963|14.48726605|1.0|1.0|1.0|1.0|3.0|2.52|17.0|-7.12|3.55|3.11|2.78|0.0|1.0|-4.25|31.0|-6.81|419.43|0.0|0.0|1.0|-4.33|5.68e-05|4.67e-05|0.0196|0.0|7.599999999999999e-08|3.19e-05|-0.05479|5.2766|3.66|3.6887|638.82|1104.29|0.2285|234.97|475.84|0.3937|0.69982|-1431.186566|-0.15269|5.0677|-1431.244906|6.1765|42.0|7.3778|7.3778
14j_a23|0.0|1|1|2|0|3.278390512|-0.006327927|0.037350515|0.722606603|0.007671236|10.31321824|-0.055708465|2|2|0.087218599|-0.073945564|-0.17267308|2|0.800643488|0.5935522360000001|1|0.8454521620000001|-0.062203032|0.020485263|-53.34139172|-34.60325668|83.17168000000001|64.88069411|2943.385528|548.455847|-1066.827834|2175.598042|-14.72479008|0.226032829|7.83426417|6597.039681|146.63044480000002|29.32742551|0.017787992|-355.4521561|11.53930239|0.0|1.0|1.0|1.0|1.0|3.41|26.0|-7.67|3.78|4.58|3.4|1.0|1.0|-5.58|31.0|-6.31|429.47|0.0|0.0|0.0|-5.11|2.66e-06|7.73e-06|0.00332|0.0|2.14e-08|9.18e-06|-0.07581|3.6671|3.72|3.6671|670.6|1142.37|0.3886|338.1|528.18|0.65128|0.65128|-1728.9293280000002|-0.14816|5.8037|-1728.988797|8.3233|4.0|8.3883|8.3883
14q_a23|0.0|1|1|2|0|3.292130907|-0.0101981219999999|0.064903564|0.720966302|0.002243702|10.31321757|-0.056324491|2|2|0.121109106|-0.017918675|-0.033435987|2|0.808928963|0.7333675390000001|1|0.773194598|-0.08960718|0.02158178|-66.16349731|-45.42467289|97.13675614|79.42966327|3097.399651|530.8381985000001|-1389.433443|2213.1193780000003|-18.70427707|0.222659101|8.732265278|6982.066379000001|152.86702240000002|35.04742005|0.01932289|-380.8178266000001|13.26616596|0.0|1.0|1.0|0.0|2.0|2.66|26.0|-6.96|2.57|3.12|2.28|1.0|1.0|-5.21|33.0|-7.33|454.51|1.0|0.0|0.0|-4.39|6.11e-06|4.03e-05|0.0183|0.0|1.11e-07|5.03e-05|-0.08159|3.6431|4.19|3.6431|714.22|1222.17|0.4943|340.33|554.59|0.5949|0.5949|-1798.3704079999998|-0.14854|8375.0|-1798.433122|12.0503|16.0|7.8069|7.8069
