molecula|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|AATSC1s|n6HRing|BCUTi-1|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
9g_a24|2.931798469|0.0|7.273092596000001|0|0|1.427608366|-0.318471716|-0.00106361|0.001126633|2|10.96318169|2|-0.292600863|-0.0273623029999999|-0.049325609|-0.079421802|2|0.683676657|0.7931626959999999|0.859302479|0.657503038|0.8671367529999999|-0.064835725|-0.065668047|-32.49188065|9.283063574|174.88817269999998|65.73938109|-0.021297745|-16.07665151|0.0|0.4819264479999999|-0.788016565|-15.87288497|49.25777584|-10.53790724|41.36311977|0.427531635|2123.257348|429.0504306|-389.9025677|1196.910121|-5.214049137|0.746821416|4355.725609|256.3375151|0.033884884|17.88521849|809.0499476|341.3207334|0.0|1.0|0.0|1.0|1.0|2.8|1.78|0.06|2.91|72.28|0.0|0.0|87.53|0.0|3.0|-2.49|-7.17|302.33|0.0|1.0|-3.09|0.00323|977.0|247.0|1.37|0.0|3.720000000000001e-07|0.000113|5.2521|4.2802|-984.5891383|-984.5565078|524.03|879.99|0.2444|400.47|0.4227399999999999|0.64993|0.1023|-0.17806|-0.21391|0.032630457|-984.497752|7.1675
16b_a32|3.2902303|0.0|7.765993078999999|0|0|0.2980105389999999|0.0873104119999999|-0.008469352|-0.3723824429999999|0|10.31100078|3|-0.023602065|-0.1202046419999999|-0.222700615|-0.586122949|0|0.745820612|0.852956281|0.907055332|0.6762731040000001|0.7465375040000001|-0.088716278|-0.1083060409999999|-69.39772428|10.12961779|53.96132589|162.40756509999997|-0.0345657579999999|-44.4669946|9.827907321|0.7476362679999999|-1.624590613|-36.42406481|80.37824892|-22.14820988|66.97508778|0.414997448|3037.795494|478.3482386|-1040.965864|3264.235184|-14.19159402|0.709394251|6612.089615999999|161.7035261|0.017136832|-317.3487516|1392.342653|597.8890744|1.0|0.0|1.0|1.0|2.0|3.71|2.48|0.28|5.4|165.49|1.0|0.0|114.43|1.0|7.0|-6.28|-6.72|433.57|1.0|0.0|-4.55|5.19e-07|0.000225|0.0123|3.14|0.0|2.54e-08|1.1e-05|3.6211|3.6211|-2315.990437|-2315.951437|676.92|1137.73|0.2849|567.01|0.70233|0.70233|0.2849|-0.14995|-0.2094099999999999|0.03900066|-2315.819979|7.7696
17b_a25|0.0|0.0|6.842683282|0|0|1.3732004619999998|0.001256821|-0.004368141|-0.002108117|2|10.93106294|1|-0.044260194|-0.044156525|-0.073994564|-0.366585181|2|0.653180996|0.780221059|0.838260077|0.636746066|0.882170399|-0.068207754|-0.079392561|-60.19950116|12.04068508|99.61874923|89.34443096|-0.029249891|-45.64634114|87.61586206|0.724866184|-1.6672437880000002|-39.21569422|73.52844745|-22.17876359|63.75929319|0.476276266|3100.8813760000003|668.9067217|-1264.189524|2514.295488|-16.81707305|0.909403632|6674.061446|208.6205329|0.0175785369999999|-341.0100868|1744.031591|832.226697|1.0|1.0|1.0|1.0|1.0|3.56|3.25|0.11|4.88|96.49|2.0|0.0|135.78|0.0|7.0|-5.32|-6.53|458.51|0.0|0.0|-5.07|4.75e-06|0.00218|0.00394|3.61|0.0|9.08e-11|4.16e-08|5.4236|3961.0|-1483.873254|-1483.830524|781.08|1329.35|0.4635|654.18|0.31395|0.6594800000000001|0.1741|-0.16408|-0.21939|0.04272963|-1483.630939|6.9957
4_a47|0.0|0.0|0.0|0|0|1.304464196|0.004633887|-0.008204735|-0.121159855|2|10.93671044|0|-0.247195952|-0.017555555|-0.027355932|-0.462831711|2|0.893350891|0.783871003|0.84420422|0.8124901999999999|0.874200878|-0.07804769|-0.092556319|-50.35610033|4.22896799|96.20929041|68.44214684|-0.03525955|-27.39669054|0.0|0.806604393|-1.48090111|-23.10213311|57.78603076|-19.18327632|46.69151766|0.402148382|2306.463316|475.6168721|-805.6976052|1528.797085|-10.43683449|0.67265584|5254.939281|105.2186243|0.013656479|-333.62177030000004|998.8757964|471.7712484|1.0|1.0|0.0|1.0|2.0|2.75|3.01|0.05|4.83|58.04|2.0|0.0|106.52|0.0|3.0|-5.92|-4.99|361.82|0.0|0.0|-5.64|1.21e-06|0.0004379999999999|0.0008359999999999|4.96|0.0|1.61e-09|5.81e-07|5.7708|3.73|-1509.453558|-1509.4201369999998|576.9|988.42|0.2304|432.89|0.45947|0.69157|0.2221|-0.1547|-0.21076|0.03342033|-1509.3147789999998|7.5
10_a15|0.0|0.0|0.0|0|0|1.4356889780000002|-0.137104477|-0.006872984|-0.0435725659999999|2|10.95972828|0|-0.132759909|-0.120626133|-0.184255041|-0.391156537|2|0.8310685940000001|0.713794823|0.7585998270000001|0.7933685340000001|0.933136945|-0.052826735|-0.101494566|-59.05618983|6.101312009|6.497096666|38.90530741|-0.036384844|-34.36276159|0.0|0.8301726490000001|-1.928396745|-17.88541558|65.80736417|-21.17108692|36.83936823|0.449323734|2605.82709|542.9602292000001|-1122.067607|2305.991259|-12.31872585|0.815948972|6204.37804|98.81668286|0.0116026369999999|-384.2321709|1351.607534|673.7288405|1.0|1.0|1.0|1.0|1.0|3.58|3.64|0.12|5.32|56.27|2.0|0.0|119.95|0.0|6.0|-6.22|-4.97|397.47|1.0|0.0|-5.83|5.99e-07|0.0002379999999999|0.000584|5.29|0.0|1.51e-10|5.99e-08|4.4682|3.6448|-1281.088565|-1281.061184|631.2|1136.48|0.1412|487.16|0.66799|0.70313|0.0042|-0.15377|-0.18958|0.02738146|-1280.862627|8.1549
9_a4|0.0|0.0|7.535296702|1|1|1.300485838|-0.211556011|-0.00136737|0.016639331|2|10.92992723|1|-0.030976753|-0.0475186259999999|-0.076824065|-0.172904817|2|0.625717993|0.801082857|0.861113198|0.58669472|0.937102792|-0.052625548|-0.069566741|-37.85762102|4.918284148|13.6577411|34.22811902|-0.025885299|-20.60179129|45.21212204|0.792890434|-1.113067849|-15.58475436|43.71760622|-14.08655666|33.55665428|0.43745176|2359.945586|509.9632679|-605.7219363|2012.840082|-7.665782805|0.777625327|5387.230364999999|112.7072422|0.010768243|-318.7769026|763.9415367|489.7528555|1.0|0.0|1.0|1.0|0.0|3.18|3.37|0.19|5.14|43.6|2.0|0.0|105.09|0.0|2.0|-4.76|-5.56|360.84|0.0|1.0|-5.15|1.73e-05|0.0062299999999999|0.00255|4.14|0.0|6.9e-09|2.49e-06|4.7284|4.0137|-1489.554198|-1489.533032|586.24|999.93|0.1217|430.12|0.5182100000000001|0.6464|0.0584|-0.16948|-0.22204|0.02116575|-1489.41872|7.3188
1a_a18 (SB-431542)|3.3674017380000003|0.0|7.423568444|1|1|1.430935835|0.043282217|-0.015636898|-0.175408303|1|10.94959842|1|0.164429684|-0.020716495|-0.033765606|-0.567791164|1|0.838928085|0.7462411859999999|0.805877431|0.795744863|0.5940412860000001|-0.126408788|-0.122555709|-72.69619778|19.58668728|160.410387|240.8019609|-0.0462988229999999|-43.12110169|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|87.15852628|-27.46300805|94.56841061|0.472443977|2678.82389|352.3666367|-1235.8353619999998|1890.195809|-16.29019397|0.895533283|5748.422847|146.3942108|0.02438148|-300.3801761|1640.78056|513.4628663999999|1.0|1.0|1.0|1.0|2.0|3.25|2.35|0.05|4.04|103.12|1.0|0.0|106.85|0.0|4.0|-4.52|-6.73|384.39|0.0|0.0|-4.25|3.03e-05|0.0116|0.0218|2.7|0.0|2.03e-08|7.81e-06|3.8208|3295.0|-1292.588031|-1292.553086|620.23|1048.7|0.5767|464.08|0.55409|0.69868|0.3347|-0.13329|-193.0|0.03494548|-1292.414518|6.9031
34_a20|0.0|0.0|6.842683282|0|0|1.416932073|0.0305860929999999|-0.0057643419999999|-0.104520106|2|10.93244905|1|0.327535029|0.0346782989999999|0.057022334|-0.4478820739999999|2|0.7071284179999999|0.74801464|0.80310139|0.690530489|0.7966571459999999|-0.0851907119999999|-0.085459595|-57.49912174|8.766605631000001|297.5548445|136.81360859999998|-0.032248904|-38.68669181|80.66541842|0.776414086|-1.709191893|-38.56497154|67.53437417|-21.69778179|66.0848174|0.462785432|2825.042137|536.0086996|-1149.982435|2319.742032|-14.59875162|0.8614536140000001|6211.26199|150.43359099999998|0.01491516|-371.9551262|1481.145765|712.1606951|1.0|1.0|1.0|1.0|1.0|3.43|2.92|0.08|4.5|86.69|2.0|0.0|125.0|0.0|5.0|-5.14|-6.28|419.48|0.0|0.0|-5.02|7.27e-06|0.00305|0.00399|3.63|0.0|6.64e-10|2.780000000000001e-07|5.4132|3.8699|-1352.31921|-1352.2836220000002|711.19|1205.64|0.4388|544.93|0.38519|0.68845|0.0766|-0.16103|-0.21284|0.03558836|-1352.102407|7.2147
21_a34|0.0|0.0|8.002694162000001|2|2|1.425532331|0.026135784|-0.012535886|-0.091664226|1|10.94874873|1|-0.201539853|-0.254686357|-0.407759867|-0.514364527|1|0.702772307|0.740092842|0.796991578|0.660871869|0.676390843|-0.09533089|-0.117789944|-79.03896823|22.9240533|168.9671187|217.1470086|-0.041572921|-53.03643341|77.34839362|0.728260094|-2.120218984|-42.9239565|95.12565978|-27.89610644|86.89263143|0.4688149339999999|3115.110331|453.8692584|-1422.701428|2429.6035|-18.7187412|0.882583047|7048.305909000001|182.341897|0.023973624|-306.332473|1953.562249|659.7484451|0.0|0.0|1.0|1.0|0.0|3.43|3.52|0.12|3.64|86.55|1.0|1.0|122.59|0.0|4.0|-4.5|-6.83|438.43|0.0|0.0|-4.71|3.14e-05|0.0138|0.0085|3.02|0.0|2.07e-08|9.06e-06|4.3011|3091.0|-1483.3359380000002|-1483.305698|698.17|1182.6|0.2174|530.93|0.6893199999999999|0.69292|0.0002|-0.13338|-0.20872|0.03023936|-1483.12009|5.4737
17a_a50|0.0|0.0|7.934155233999999|1|1|1.349854788|-0.186084687|-0.002225436|0.009691515|1|10.94500663|2|-0.178162528|-0.239713023|-0.3891730779999999|-0.220088198|1|0.762224122|0.784570118|0.828062407|0.732114362|0.92300665|-0.045404408|-0.078525868|-51.14229199|8.977762705|10.03717565|50.14419437|-0.0280449529999999|-33.3079288|84.34722313|0.7899109000000001|-1.570517366|-19.25896309|58.69900789|-18.26510428|38.54872522|0.486855438|2644.4486420000003|601.1353533|-1022.84584|1799.721631|-11.89568886|0.948768582|5718.782531|136.82673369999998|0.011602876|-377.6260803|1294.887612|719.3470265|1.0|1.0|1.0|1.0|0.0|3.95|3.29|0.29|3.39|51.77|1.0|0.0|121.78|0.0|6.0|-3.99|-6.44|398.5|0.0|1.0|-4.44|0.000102|0.0408|0.0144|3.23|0.0|1.75e-07|6.97e-05|4.2478|4.0477|-1258.566007|-1258.540058|705.96|1204.79|0.1817|616.93|0.6244|0.66046|0.1754|-0.16724|-0.1992|0.02594911|-1258.322582|7.0706
