molecula|n9FaHRing|n9FaRing|SssssC|NaasN|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|MATS8i|AATSC8d|n5aHRing|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
33_a20|0|0|0.0|1|1.915285809|-0.188733405|-0.00145476|0.023539095|0.0388043479999999|2.0219022580000003|-0.061975089|-0.062750442|1|0.248715569|-0.060582944|2|0.616352201|0.74131936|-0.0854333469999999|0.802353442|0.607038752|1|-0.058927252|0.012738882|-45.72654913|8.340767701|8.680600701|33.13709773|5.46110745|64.93395624|0.759356182|-25.26187502|54.60811436|-17.37608867|46.92331405|0.465855239|621.611679|-868.8044333999999|-11.3769728|0.240643818|8.062843544|15.094865900000002|0.8721516570000001|5916.443448|157.56124519999997|-568.84864|22.88265911|0.013564844|-339.6262863|1144.132956|664.4562602999999|8.881565237|0.0|1.0|1.0|0.0|0.08|27.0|5.39|67.39|2.0|0.0|121.62|0.0|-5.6|4.0|401.46|0.0|1.0|4.28|-5.53|2.98e-06|4.47|0.0|0.0|8.199999999999999e-08|-0.0582899999999999|5443.0|3.8867|689.51|318.99|0.6157|563.98|0.27375|-1275.602977|0.0463|-0.15959|3.5714|0.02957286|-1275.662457|5.0369|34.0|7.4685
22_a10|0|0|0.0|1|2.113627059|-0.067641834|-0.005035102|-0.017163935|0.036101695|1.880539113|0.01204992|-0.020475007|1|-0.042831367|-0.208132084|2|0.670763832|0.747363443|-0.02603707|0.79665945|0.646474494|1|-0.053881447|0.016720696|-50.61577509|13.023146|75.58376652|101.3847763|10.14325785|60.10354816|0.564323334|-32.68604442|71.13124588|-17.4251029|54.98945848|0.422182297|677.4790907|-1062.931277|-13.57178303|0.435676666|8.84228648|15.30289992|0.730649641|7414.102179|339.3328129|-827.8787647|30.87787063|0.026340252|-100.1982412|1883.550109|916.8601445|20.51547079|1.0|1.0|1.0|0.0|0.17|27.0|5.6|73.14|2.0|0.0|139.53|0.0|-5.34|5.0|475.54|0.0|0.0|4.26|-5.53|2.95e-06|4.1|0.0|0.0|2.03e-07|-0.05712|4.8251|3.8517|770.92|321.89|0.2624|602.93|0.4483899999999999|-1543.893507|0.1922|-0.16095|4.8409|0.03366599|-1543.959333|6.5841|1.1|5.9586
14z_a23|1|1|0.0|2|3.305974434|0.08752343|-0.005892861|-0.024897956|0.04314059|0.729326158|-0.0438568409999999|-0.0229244|2|0.0708381429999999|-0.125978901|2|0.719722236|0.802520527|0.10796308|0.8668730109999999|0.64069202|1|-0.0582387179999999|0.018337664|-55.54823244|12.77192721|40.18308023|52.02674091|8.895469235|79.960755|0.785604449|-28.25118461|66.77741935|-23.63754572|53.33438253|0.474697407|644.4593172|-1110.964649|-16.46322104|0.214395551|7.834464959|14.91419434|0.903664694|7285.13008|149.3235124|-773.7713888999999|30.08835522|0.01612263|-397.8390333|1414.152695|665.6233736|11.22918692|0.0|1.0|0.0|1.0|0.05|26.0|5.32|105.02|2.0|1.0|130.3|0.0|-6.77|4.0|480.37|0.0|0.0|4.49|-6.13|7.37e-07|4.83|0.0|0.0|1.29e-06|-0.08503|4032.0|3.6632|715.41|338.46|0.3201|586.28|0.66217|-2548.895003|0.2917|-0.15195|5.9301|0.01238131|-2548.957384|7.9877|5.0|8.2941
2_a33|1|1|0.0|0|0.0|0.047294725|-0.009168933|-0.064926835|0.039958333|2.112255684|0.070526947|-0.05997501|3|-0.0881938509999999|-0.148024156|0|0.787714775|0.833090592|-0.0212158239999999|0.8799816220000001|0.753434785|1|-0.0804186|0.018451635|-63.57699532|11.27469555|103.5201191|110.28338390000002|6.889294995|44.34034244|0.702597735|-30.02592687|75.44970552|-19.46234551|60.41371259|0.4699986339999999|500.7570617|-953.6549298|-11.89228027|0.297402265|6.152818143999999|11.60906093|0.8867875909999999|6067.635829|181.7248125|-582.7217333|27.70055258|0.019430318|-247.5908207|1357.327077|618.9134881|11.8727102|0.0|1.0|1.0|2.0|0.3|19.0|4.63|140.04|2.0|0.0|115.28|1.0|-6.35|4.0|411.54|0.0|1.0|3.98|-4.78|1.6800000000000002e-05|3.72|0.0|0.0|8.78e-06|-0.04967|3.6281|3.6281|655.74|341.74|0.2911|525.38|0.70205|-1919.830424|0.2911|-0.15012|4.2519|0.02972182|-1919.890628|5539.0|6.0|8.2596
A8301_a51|0|0|0.0|1|1.700610355|0.0245770529999999|-0.00449765|-0.028789626|0.039058957|1.987294898|-0.012770742|-0.1227504419999999|1|0.135886548|-0.0618359079999999|2|0.7595189840000001|0.6959300979999999|-0.013846396|0.750630149|0.7234449559999999|1|-0.055295165|0.008152073|-50.67621589|5.293803823|36.55933899|42.37868986|3.437697042|78.46116212|0.854959635|-23.3177516|56.90163721|-21.28401067|41.20144811|0.4799553379999999|607.0025787000001|-1064.200534|-13.82143785|0.145040365|6.890532887999999|13.24988678|0.922911768|6401.6494600000005|94.18649643|-691.0718926|24.89475504|0.009586697|-461.0082758|1244.737752|690.8826121000001|6.225421319|1.0|1.0|1.0|1.0|0.04|27.0|5.52|87.72|2.0|1.0|129.04|0.0|-6.6|3.0|421.52|0.0|1.0|4.58|-5.93|1.17e-06|5.02|0.0|0.0|1.74e-07||||||||||||||||12.0|7.9208
10_a4|0|0|0.0|1|2.146166934|-0.180140166|-0.002959121|0.005483539|0.038699764|2.149387791|-0.122141977|-0.090413559|1|0.014917047|-0.132895939|2|0.6990620390000001|0.810105167|-0.120059574|0.861225169|0.6799081490000001|1|-0.051015897|0.014582852|-45.97324097|8.440134933|39.48408698|45.34497624|4.884907049|64.26218096|0.744529685|-17.08910641|54.09964719|-15.63090193|37.96666686|0.4858700179999999|533.4262268|-781.5450965|-9.046715915|0.255470315|5.759414166|11.20225306|0.945033425|5598.949417|147.85886159999998|-452.3357957|20.99433004|0.014040792|-283.0534799|1049.716502|594.7358385|8.126406226|1.0|1.0|1.0|0.0|0.26|21.0|4.81|52.83|2.0|0.0|111.38|0.0|-4.66|4.0|370.45|1.0|1.0|3.9|-4.85|1.4e-05|3.85|0.0|0.0|3.15e-06|-0.04689|4.9674|3.6465|619.99|340.01|0.1792|470.02|0.4662|-1183.54701|0.0176|-0.15561|1.4517|0.02232068|-1183.602045|2.2386|88.0|7.0555
12l_a36|0|0|0.0|0|0.0|-0.0944961519999999|-0.0076430169999999|-0.008712073|0.039061728|0.0|-0.05158636|-0.0452558729999999|1|0.228884463|-0.175397741|1|0.8707354620000001|0.8174432229999999|-0.041707369|0.8772535459999999|0.8212311840000001|0|-0.079972189|0.0220227089999999|-70.17688229|14.33450402|39.27257375|101.6575135|9.330278191|1.281955437|0.7379583590000001|-33.88151556|83.76912404|-24.7683114|66.38812034|0.4619814279999999|549.2389652|-1263.1838810000002|-16.12160667|0.262041641|7.471134223|13.88638723|0.8586718990000001|6121.6555530000005|170.5619816|-822.2019402000001|33.56329135|0.02088234|-309.7725155|1711.727859|642.3830552000001|13.59224175|0.0|1.0|1.0|2.0|0.13|17.0|1.76|92.99|1.0|0.0|128.47|0.0|-4.57|5.0|406.44|0.0|0.0|1.77|-4.29|5.08e-05|2.95|0.0|0.0|8.97e-05|-0.0510399999999999|3.8619|3.8619|686.83|321.05|0.4524|530.75|0.6925|-1324.954011|0.4524|-0.15869|5392.0|0.03508404|-1325.0137550000002|7.2021|0.02|7699.0
1b_a5|0|0|0.0|0|0.0|-0.250420203|-0.00279809|-0.061874543|0.0248765429999999|0.0|0.001241264|-0.028797464|1|-0.220946861|0.045204303|2|0.567806811|0.759794937|0.122747292|0.827319059|0.558485747|0|-0.07823203|0.010803163|-38.87394276|5.438378717999999|168.30518769999998|96.23685048|2.737713392|0.769931305|0.7324812509999999|-19.82538668|48.55415504|-15.75970652|44.82086533|0.474445758|407.1693177|-583.1091414|-7.933533473|0.267518749|6.11909445|11.64312636|0.90275317|4577.125071|134.6705884|-293.5407385|21.51550842|0.019229427|-234.0649914|796.0738116|357.34245360000006|9.680212283|1.0|0.0|1.0|1.0|0.0|23.0|4.76|54.46|0.0|0.0|90.44|0.0|-3.97|4.0|316.33|1.0|1.0|3.38|-4.3|4.970000000000001e-05|3.16|0.0|0.0|1.58e-06|-0.04135|4789.0|4.6481|536.59|266.74|0.3101|388.58|0.5153800000000001|-1050.413506|87.0|-0.1892|2891.0|0.03246637|-1050.462425|4.3687|59.0|7.2291
6_a47|0|0|0.0|0|0.0|0.011739916|-0.008723045|-0.1738997619999999|0.042276423|1.291219116|0.051455447|0.0402365489999999|0|-0.302730533|-0.04324355|2|0.701994505|0.786041178|-0.149904224|0.84654143|0.672308592|1|-0.080118846|0.009820713|-52.41283988|5.323543706000001|101.7290544|85.6917678|2.885749555|0.0|0.7943908059999999|-23.54237714|60.76103606|-19.96679614|48.75381069|0.4059072379999999|456.3812788|-838.6054381|-10.82346202|0.205609194|6.480620646|10.90843226|0.6832388209999999|5766.962611999999|111.4552019|-454.5854048000001|25.13472712|0.0154005|-319.1626428|1055.658539|469.7495559|8.348196185|1.0|0.0|1.0|2.0|0.05|22.0|6.27|58.04|2.0|0.0|106.47|0.0|-6.02|4.0|379.81|0.0|1.0|4.59|-5.79|1.63e-06|5.06|0.0|0.0|3.310000000000001e-07|-0.05354|5.5188|3.7196|576.56|333.32|0.2536|422.9|0.30468|-1608.50108|0.2119|-0.1544|3.2606|0.03288085|-1608.554019|4.2153|13.0|7.9
9b_a36|0|0|0.0|0|0.0|-0.053019801|-0.0058276019999999|-0.023369916|0.040166667|0.0|-0.077361324|-0.06502499|1|0.146828453|-0.094526372|1|0.8421237309999999|0.7885597609999999|-0.034830997|0.842671963|0.7961424690000001|0|-0.074181597|0.017007854|-61.73294817|10.68084402|67.12293326|97.10089515|6.707514535|0.0|0.78242217|-29.25555061|71.70079424|-22.67740953|57.26650122|0.453252346|530.8939077|-1111.193067|-14.24129533|0.21757783|7.549264797|13.80758516|0.828997331|5838.085413000001|136.63774650000002|-697.8234711|28.98359786|0.015872498|-354.7193098|1420.196295|620.9195447000001|9.967846072|0.0|1.0|1.0|1.0|0.14|17.0|2.76|82.47|1.0|0.0|126.17|0.0|-4.6|4.0|398.48|0.0|0.0|2.48|-4.43|3.71e-05|3.2|0.0|0.0|9.21e-05|-0.05146|3.8535|3.8535|666.01|321.74|0.5392|514.45|0.69763|-1575.557248|0.5392|-0.15833|6.2846|0.02803905|-1575.616432|8.4288|21.0|7.6778
