molecula|NaaNH|SaaNH|SssssC|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|ATSC1c|MATS8i|BCUTi-1|n5aRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|FPSA1|GeomRadius|PPSA1|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|E solv. Water  (Hartree)|pIC50
18_a47|1|2.969619451|0.0|6.605297921|0|1.414391819|0.0|-0.141396999|-0.004337918|4.59511985|-0.06345679|-0.2342475789999999|0.018164141|10.93838451|1|0.0015586929999999|-0.02470455|-0.053119347|-0.322800033|0.646771311|0.792196273|-0.059779939|-0.027351545|0.851462739|0.630969651|1|0.777824025|-0.078937385|-0.084415066|0.454324931|0.014741763|-49.44908758|-52.88049505|70.55642796|0.222175975|139.1786571|-0.0303894239999999|-33.12615721|3.684585007|-1.5194711930000002|-30.97660579|-19.03697822|58.68383399|0.432077184|-951.8489108|0.267251553|7.018342267|167.41554630000002|0.017318402|-291.6032324|1299.011844|628.5247532999999|10.84884165|1.0|2.0|3.47|27.0|-10.36|79.38|2.63|2.0|0.0|0.0|0.0|4.0|-5.5|410.45|1.0|0.0|1.0|4.16|-5.37|3.13e-06|0.00129|4.29e-06|4.13|0.0|0.0|4.34e-11|1.78e-08|-0.04964|4.2668|4.2222|-1354.180815|652.12|1130.76|293.65|0.4335|290.58|0.63359|0.04031146|8.6
3l_a32|1|3.672194822|0.0|7.773594467000001|0|0.609420748|0.0|-0.003342759|-0.0054004|5.733341277|0.0043645509999999|-0.270019992|-0.09393062|10.31100268|3|0.002942329|-0.04980249|-0.087213805|-0.524711546|0.820540279|0.751853889|-0.136589369|-0.184582641|0.7973741999999999|0.776480242|1|0.8855584879999999|-0.069304303|-0.088417589|0.270668623|0.012244965|-40.30321333|-51.41835077|61.72183119|0.114441512|66.55229892|-0.028831823|-29.90181954|0.0|-1.326263838|-23.43792428|-16.76685351|47.42414825|0.453630671|-771.2752615|0.211763281|6.414825717|123.148785|0.011493763|-335.2422712|978.4817724|565.7000781|6.6840809960000005|1.0|1.0|3.58|19.0|-7.5|110.94|2.64|2.0|0.0|0.0|1.0|3.0|-7.6|380.53|1.0|0.0|1.0|5.04|-6.01|2.52e-08|9.59e-06|9.7e-07|5.51|0.0|0.0|3.16e-08|1.2e-05|-0.0529799999999999|3.5319|3.5319|-1789.4501510000002|629.26|1062.47|351.04|0.2876|351.04|0.70282|0.02547484|7.9208
43_a18|0|0.0|0.0|7.03438793|2|1.251175234|0.0|0.032999679|-0.005099385|4.844187086|-0.01369899|-0.397752066|0.031746165|10.94702053|0|0.003801459|-0.140532044|-0.2093696189999999|-0.460675034|0.718255592|0.713379703|-0.023109314|-0.0579590709999999|0.7458234990000001|0.712848727|0|0.852344887|-0.070166168|-0.0822489459999999|0.3439906129999999|0.006890688|-54.49271386|-63.87648583|0.66443384|0.147655113|114.6724699|-0.0311212229999999|-49.60799696|21.60709738|-2.302970476|-42.32033664|-24.16948112|59.84418608|0.481954273|-1788.541603|0.125626651|10.01438533|97.56464265|0.007193089|-581.4944803999999|2045.512486|1228.492038|5.5863235410000005|1.0|2.0|4.54|18.0|-9.6|76.5|3.7|3.0|1.0|0.0|1.0|9.0|-6.45|508.65|0.0|0.0|0.0|3.48|-5.96|3.55e-07|0.00018|1.09e-06|5.1|0.0|1.0|2.52e-10|1.28e-07|-0.04949|3.2233|3.2233|-1611.598032|843.1|1493.25|384.65|0.5429|384.65|0.6926800000000001|0.02315412|6.2041
4f_a49|0|0.0|0.0|7.535296702|1|1.343848013|2.066693174|0.010266272|-0.008903208|5.4161004020000005|-0.087045007|-0.418450768|-0.064058097|10.92775957|1|0.001714014|-0.015845165|-0.025995042|-0.46436755|0.69044503|0.7927086309999999|-0.00953448|0.114367229|0.8557769120000001|0.670594896|1|0.7370618040000001|-0.102926696|-0.089955514|0.480786546|0.016591015|-55.88123394|-48.83888562|193.615884|0.262938196|142.7551002|-0.033471819|-26.51573683|59.72286429999999|-1.439288231|-30.33918719|-18.1726086|64.88887164|0.437355335|-781.4221699|0.2816937089999999|6.302023735|152.9378926|0.020905063|-237.0468572|1087.86764|467.1194103|11.34983222|0.0|1.0|3.07|21.0|-6.54|80.9|2.03|1.0|0.0|0.0|1.0|3.0|-3.99|356.38|0.0|0.0|1.0|2.85|-4.09|0.000102|0.0365|8.120000000000001e-05|2.64|0.0|0.0|2.92e-07|0.000104|-0.06954|4.6249|3.7098|-1179.201105|575.01|982.46|334.21|0.2368|268.08|0.68474|0.03476467|7.3979
14o_a23|0|0.0|-4.758526534|7.423568444|0|1.197958066|3.133942289|0.18835477|-0.014680137|5.351858133|-0.301504331|-0.807407518|-0.029012777|10.3132174|2|-0.0004039459999999|-0.0962526|-0.2952674819999999|-0.653629157|0.598213287|0.802854174|0.000891427|-0.072078004|0.861597051|0.575188253|1|0.904077943|-0.072435569|-0.094138958|0.328340215|0.018054548|-51.49843925|-66.92857564|110.3941788|0.0959220569999999|68.19627862|-0.042454824|-47.58321438|0.8929505459999999|-2.165196042|-36.61307972|-30.18347529|64.33441296|0.48945652|-1539.35724|0.199698446|9.016411722|141.97663490000002|0.019295686|-427.001863|1923.471511|676.4530574|13.71836682|1.0|1.0|3.55|26.0|-7.95|114.25|3.04|2.0|1.0|0.0|1.0|7.0|-6.89|495.48|1.0|0.0|0.0|4.31|-6.0|1.29e-07|6.38e-05|1e-06|4.76|0.0|0.0|1.12e-08|5.57e-06|-0.08059|3.6989|3.6989|-2042.161288|729.11|1236.72|335.19|385.0|335.19|0.58581|0.02299729|8.4815
12z_a30|0|0.0|0.0|7.412764017000001|2|0.604983642|0.0|-0.1155022219999999|-0.008819424|5.351858133|-0.026703371|-0.537984876|0.018796341|10.31162784|1|0.005111479|-0.12254489|-0.207153446|-0.39205163|0.8397577820000001|0.809127478|-0.02232319|-0.077335468|0.855880335|0.794193541|0|0.832920077|-0.071429418|-0.107776943|0.315493739|0.030875938|-49.68145417|-74.96232552|54.40462246|0.167079923|116.2094523|-0.034034824|-52.13870496|0.0|-1.939984979|-34.55504699|-23.67231332|71.1566605|0.48740649|-1349.321859|0.3691601439999999|8.071510779|256.7627363|0.029109145|-182.00664430000003|2138.929312|792.3440337000001|20.24634493|1.0|1.0|4.86|17.0|-6.83|100.11|2.2|2.0|0.0|0.0|1.0|7.0|-5.61|458.54|0.0|0.0|0.0|2.52|-5.0|2.47e-06|0.00113|9.94e-06|3.81|0.0|0.0|1.47e-07|6.720000000000001e-05|-0.04679|4.8063|3.4438|-1804.785911|739.33|1266.9|360.02|0.1855|257.96|0.6853199999999999|0.02895763|7.3615
19f_a38|1|3.3320764830000003|0.0|7.412764017000001|2|1.297044434|0.0|-0.036714749|-0.007831113|5.351858133|-0.084341564|-0.4228801179999999|0.035480177|10.96083376|1|-0.000673716|-0.101303149|-0.217394466|-0.4288343429999999|0.724208473|0.819222745|-0.075025988|-0.094149094|0.8741648479999999|0.698414933|0|0.750875987|-0.085318318|-0.111307609|0.488059925|0.02107583|-54.50401599|-71.10679028|125.7493111|0.249124013|159.14822980000002|-0.037844587|-45.42524686|12.14075726|-1.892229356|-34.81887413|-24.1763087|67.96791709|0.453960261|-1208.815435|0.265562447|6.164440995|169.6496169|0.020733452|-299.5321167|1645.906354|595.8790650000001|13.24517938|1.0|3.0|4.82|17.0|-6.86|81.23|2.4|1.0|0.0|0.0|1.0|5.0|-4.14|401.44|0.0|0.0|1.0|2.67|-4.17|7.209999999999999e-05|29.0|6.77e-05|2.78|0.0|0.0|1.4e-07|5.610000000000001e-05|-0.05735|5.3197|3.4422|-1332.160846|653.22|1105.62|360.19|0.3205|233.07|0.7056100000000001|0.02936908|7.1397
19h_a38|1|3.2723542610000003|0.0|7.412764017000001|2|1.297044177|0.0|-0.088176988|-0.007781653|5.351858133|-0.082283951|-0.420209249|-0.043452674|10.96083376|1|-0.000673716|-0.101303149|-0.217394466|-0.420225236|0.724208473|0.819222745|-0.054149342|-0.121374121|0.8741648479999999|0.698414933|0|0.7746288020000001|-0.082211319|-0.109986804|0.3263113569999999|0.021234963|-48.43313101|-64.79649453|136.81322659999998|0.225371198|132.7728693|-0.03959525|-38.17354026|0.0|-1.979762478|-28.533396600000003|-23.32673803|60.94327866|0.47459722|-1166.336902|0.24620669|6.820483788|145.047677|0.020207411|-299.0343596|1547.290068|595.8790650000001|11.90478646|1.0|3.0|4.8|17.0|-6.86|81.23|2.4|1.0|0.0|0.0|1.0|5.0|-4.14|401.44|0.0|0.0|1.0|2.66|-4.17|7.209999999999999e-05|29.0|6.77e-05|2.78|0.0|0.0|1.4e-07|5.610000000000001e-05|-0.05708|3.7384|3.5358|-1332.1538779999998|626.65|1092.17|350.65|0.2355|331.65|0.69012|0.03396934|8.0348
8c_a31|1|3.435435563|0.0|7.765993078999999|1|0.610137334|0.0|-0.012583838|-0.01275867|5.733341277|-0.104377029|-0.574140137|-0.1903992189999999|10.31169969|2|-0.004832959|-0.053983462|-0.09039853|-0.513257014|0.922486359|0.847752299|0.006000201|-0.1759864119999999|0.896193695|0.87237334|0|0.626072761|-0.1170607269999999|-0.128067781|0.280934088|0.029669107|-64.57121646|-70.64275621|133.3100368|0.3739272389999999|206.2599245|-0.039640027|-38.96685783|477.2277896000001|-1.66488115|-35.61776956|-21.86561502|80.93682766|0.47508938|-918.3558307|0.27691747|6.820988495|152.7489054|0.021986076|-246.1066271|1270.056726|423.1367008|12.12761708|1.0|2.0|3.51|16.0|-6.13|114.29|0.85|0.0|0.0|0.0|1.0|5.0|-4.42|342.42|0.0|0.0|1.0|2.83|-3.63|3.79e-05|13.0|0.000237|2.38|0.0|0.0|7.45e-07|0.0002549999999999|-0.03222|3.8492|3.8492|-1426.129055|595.67|981.89|322.11|0.2597|322.11|0.7005|0.03744829|6.0915
4_a27|0|0.0|0.0|6.823286122000001|0|1.4008954130000002|3.294369174|0.082486268|-0.006181204|4.727387819|-0.058641975|-0.278154179|0.13397347|10.93736915|1|0.010329671|-0.2030237389999999|-0.341622797|-0.480852615|0.639413469|0.7853766809999999|-0.07759915|-0.024800302|0.842039655|0.614205449|1|0.852604338|-0.057748369|-0.078787867|0.3485918529999999|0.0201467639999999|-29.89961815|-40.79296366|8.590238252999999|0.1473956619999999|76.31512503|-0.0281385239999999|-21.12083948|58.27512057|-1.181818|-15.48073439|-14.56891559|40.33074472|0.444169714|-611.8944548999999|0.317514326|6.01592535|164.3952417|0.020363697|-188.9664429|896.5674718|424.8821143|10.54344507|1.0|0.0|3.11|21.0|-6.22|65.6|2.66|0.0|0.0|0.0|1.0|2.0|-3.57|331.37|0.0|1.0|1.0|2.8|-3.99|0.000266|0.0882|0.000102|2.55|0.0|0.0|6.04e-07|0.0002|-0.0449899999999999|5.5485|4.1288|-1083.119531|555.75|946.77|300.29|0.2002|223.46|0.6089899999999999|0.01877181|8.3979
