molecula|NaaNH|n9FaHRing|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|AATSC1s|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|FNSA3|PBF|FPSA3|PNSA5|PPSA3|RNCS|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Fraction Csp3|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50
EW7203_a60|0|0|0|7.412764017000001|2|0.604984431|0.025672274|-0.00698487|0.0075638519999999|-0.092774356|-0.377182982|0.03824498|10.31162855|-0.051413084|1|1|0.0036417359999999|-0.1696249719999999|-0.049287858|-0.090115975|-0.458129101|0.80330079|0.822401103|0.002441966|0.8839272779999999|0|-0.076068195|0.345488097|0.020156795|-62.23028092|13.03554647|80.48638339|8.430183|0.0|0.766837077|-1.828300603|73.82739839|0.497298165|573.0312689|-1182.375337|1660.077477|0.233162923|8.310125852|16.53092404|0.989250745|6403.777228|-764.6507562999999|-345.1309687|1541.885979|666.0036144999999|11.59711747|1.0|0.0|1.0|0.13|2.6|117.47|2.17|0.0|133.97|0.0|5.0|-5.74|31.0|425.51|0.0|0.0|3.09|-4.82|1.81e-06|0.000768|0.0|0.0|2e-07|3.64|3.5192|-1667.993536|678.83|1166.44|352.3|0.2385|247.15|546.85|0.69857|-0.1446599999999999|1.7676|0.03203878|9.0|8.0334
3j_a32|1|1|0|8.234564993|0|0.609420782|0.0053427669999999|-0.006580847|-0.017889768|-0.029763115|-0.269814716|-0.086191775|10.31100276|-0.052622352|3|3|0.001173363|-0.055211759|-0.052818794|-0.097980957|-0.528541012|0.812195122|0.824282683|-0.020129489|0.8884057059999999|1|-0.070289671|0.27811778|0.013773753|-50.46105839|7.315176208|47.55031019|3.885056172|0.0|0.7487739999999999|-1.140158136|58.58770587|0.4482615029999999|459.4516326|-605.5327007000001|1778.1826620000002|0.251226|5.900829539|10.69497519|0.812452828|4866.613493|-321.5956102|-264.245436|808.6988876|398.2788055|8.126647477|1.0|1.0|1.0|0.24|4.93|110.94|1.94|0.0|95.74|0.0|3.0|-5.92|23.0|338.45|0.0|1.0|4.09|-4.8|1.21e-06|0.0004089999999999|0.0|0.0|2.03e-07|3.02|3.4982|-1671.479105|564.55|934.19|354.42|0.3005|354.42|405.19|0.7028|-0.14498|3.6238|0.02833407|8.0|8.0969
19_a20|1|0|0|6.842683282|0|1.4009239059999998|0.071176085|-0.0096278259999999|-0.130949446|0.103271147|-0.539158264|0.077469518|10.94899558|-0.063133522|1|1|-0.004654742|0.175308615|-0.049177437|-0.083481481|-0.5838248970000001|0.811128636|0.7619768840000001|-0.143992458|0.8193003000000001|1|-0.091725453|0.25624423|0.013643765|-65.49811346|8.964643162|339.8339889|5.890223441|88.19441661|0.796070588|-1.993700989|75.98477124|0.483310517|495.7134289|-1309.962269|1818.518838|0.203929412|7.950138729|15.38668579|0.935398401|6325.747732|-860.7113887|-389.0666676|1645.535318|684.5377542|10.48665779|1.0|1.0|1.0|0.08|4.08|110.44|1.33|0.0|122.86|0.0|5.0|-4.89|32.0|420.47|0.0|1.0|3.16|-4.57|1.29e-05|0.00541|0.0|0.0|2.34e-10|5.01|3.3616|-1368.378274|687.79|1190.68|368.83|0.2998|368.83|519.34|0.6987399999999999|-0.13903|4.2507|0.03487615|2.6|5585.0
3t_a32|1|1|0|7.765993078999999|0|0.609420752|0.028840888|-0.006089333|-0.0338714389999999|0.028527045|-0.304466646|0.012069208|10.31100267|-0.086478322|3|3|0.00139283|0.049606573|-0.070331512|-0.122301673|-0.496165036|0.710773544|0.822076702|0.0466380209999999|0.870628579|1|-0.080203824|0.217914628|0.014242899|-61.58101978|8.995863948|97.01046154|5.681818647999999|0.0|0.684474482|-1.267493496|72.43498782|0.481726305|523.3947687|-800.5532571|2241.507646|0.315525518|8.107111779|15.64252992|0.929482453|5525.861115|-505.632194|-233.0294362|1169.58817|582.0730423|10.85396804|1.0|1.0|1.0|0.3|5.42|128.01|1.74|0.0|112.48|0.0|7.0|-6.48|27.0|396.53|0.0|1.0|4.46|-4.93|3.28e-07|0.00013|0.0|0.0|9.86e-09|5.5|3.5487|-1864.678788|677.16|1129.24|349.38|0.2906|349.38|575.45|0.70286|-0.14739|1.2641|0.03020622|9.0|8.0458
19c_a38|1|0|0|7.412764017000001|2|1.297043851|-0.085545751|-0.008177185|-0.04575843|0.02192428|-0.449745181|-0.0725602509999999|10.95429182|-0.0431896509999999|1|1|-0.002443797|0.04814981|-0.09493054|-0.20848518|-0.434836855|0.7163622890000001|0.846765471|0.073931688|0.908721232|0|-0.0918007669999999|0.396635872|0.024315945|-68.18641054|15.30924906|139.1570837|9.638658988|4.848162625|0.7187071909999999|-1.949429829|82.74311399|0.477803802|477.9848537|-1227.35539|2660.812979|0.281292809|6.97753104|13.36189552|0.914989047|6618.350708|-772.7394084|-275.39483110000003|1707.726604|640.025745|14.55670345|1.0|0.0|1.0|0.13|2.42|105.02|1.76|0.0|130.41|0.0|5.0|-4.35|32.0|426.45|0.0|0.0|2.57|-4.12|4.46e-05|19.0|0.0|0.0|1.2099999999999998e-07|3.23|3.8322|-1424.3899310000002|652.09|1138.6|323.53|0.2961|210.74|517.28|0.6279899999999999|-0.15612|2495.0|0.03740877|9.0|8.0348
9n_a24|1|0|0|6.605297921|0|1.388847168|-0.2452954769999999|-0.003323852|0.001099755|-0.141205159|-0.182811885|-0.036651001|10.94875265|-0.03088354|1|1|0.008809179|-0.22754075|-0.12451554|-0.200646773|-0.225226606|0.786587307|0.7584388259999999|0.048359202|0.804201677|0|-0.052106597|0.331008994|0.017608478|-52.53031811|11.90027964|48.691073|8.042526681|24.72120326|0.652126509|-1.399094961|67.36550766|0.4331595789999999|611.3234977000001|-945.545726|1361.307012|0.347873491|8.232847909|14.52410167|0.764164944|5356.5828|-639.0250449|-205.6223122|1449.942171|631.9206508|14.83518955|1.0|1.0|1.0|0.17|4.14|66.93|1.42|0.0|114.29|0.0|7.0|-4.14|29.0|385.46|1.0|0.0|3.13|-4.29|7.2e-05|0.0278|0.0|0.0|2.31e-09|2.59|4.1028|-1239.095611|686.19|1155.03|302.2|0.2522|252.31|587.05|0.63085|-0.1658099999999999|2.8552|0.03188309|19.0|7.7212
19e_a38|1|0|0|7.412764017000001|2|1.297043576|-0.082311936|-0.007550899|-0.10490608|0.021678225|-0.4379521229999999|-0.104569193|10.94917392|-0.038386106|1|1|0.000347207|0.045449529|-0.091460175|-0.191751024|-0.436305701|0.723755855|0.839953955|0.04818471|0.89459881|0|-0.083623427|0.552393659|0.02118651|-68.82539051|14.27562164|118.734325|9.619015829|16.39385667|0.749190974|-2.042881001|82.37885703|0.4655978389999999|523.2534216|-1376.50781|3426.997928|0.250809026|6.596408983|12.34352977|0.871249918|6531.762734|-927.5007945|-335.8133169|1837.325672|696.3887025|13.55346651|1.0|0.0|1.0|0.12|3.09|81.23|2.75|0.0|135.78|0.0|6.0|-4.94|32.0|427.48|0.0|1.0|3.3|-4.72|1.15e-05|0.0049|0.0|0.0|5.27e-08|4.08|3.8587|-1409.547647|685.34|1183.12|321.31|0.3948|236.96|532.67|0.58509|-0.15584|5.8426|0.03483011|0.01|8.0083
7s_a46|0|0|1|7.727094485|1|1.160371307|-0.0778653109999999|-0.005351046|-0.076841616|-0.210750635|-0.240797051|-0.005405515|10.94651358|-0.020953253|1|1|0.005577925|-0.327656845|0.012197837|0.018964141|-0.3638523629999999|0.778692012|0.770312275|-0.036284605|0.8182543959999999|0|-0.096723151|0.249893305|0.008871171|-41.72189594|4.458665639|166.3052939|2.240932895|0.0|0.8198874559999999|-1.3281895890000002|47.36217237|0.433822088|431.6285339|-667.5503351|1619.4591|0.1801125439999999|5.565371272|9.829721631|0.7662292690000001|4245.390306|-335.5119279|-321.55195330000004|814.1975221|409.9543818|5.640276426000001|0.0|1.0|0.0|0.26|3.9|50.94|2.39|0.0|91.19|0.0|2.0|-4.07|23.0|305.37|1.0|1.0|3.12|-4.24|8.590000000000001e-05|0.0262|0.0|0.0|8.39e-07|3.54|4293.0|-974.7707066|539.99|916.7|288.81|0.4164|234.06|446.63|0.69976|-0.17923|2.4286|0.036050328|1985.0|5.7022
14j_a23|0|1|2|7.423568444|0|1.197963927|0.074424082|-0.006327927|-0.071396109|0.037350515|-0.322724299|-0.026319216|10.31321824|-0.055708465|2|2|0.0075222369999999|0.087218599|-0.073945564|-0.17267308|-0.463194548|0.616699629|0.800643488|0.143567854|0.864845456|1|-0.062203032|0.226990358|0.020485263|-53.34139172|13.28905737|40.38957571|8.620784882999999|83.17168000000001|0.7739671709999999|-1.644529644|64.88069411|0.497137467|548.455847|-1066.827834|2175.598042|0.226032829|7.83426417|15.57933561|0.988615047|6597.039681|-692.0651337|-355.4521561|1378.388999|599.5697147999999|11.53930239|0.0|0.0|1.0|0.05|4.58|105.02|3.4|1.0|120.24|0.0|5.0|-5.58|31.0|429.47|0.0|0.0|3.77|-5.11|2.66e-06|0.00114|0.0|0.0|2.14e-08|3.72|3.6671|-1729.1379190000002|670.6|1142.37|338.1|0.3886|338.1|528.18|0.65128|-0.14816|5.8037|0.02207124|4.0|8.3883
12bd_a36|1|0|0|7.412764017000001|2|1.297043358|-0.051990612|-0.006695407|-0.045630197|0.025649557|-0.4017244129999999|-0.030990165|10.94639828|-0.0288761339999999|1|1|0.0045625|0.042808724|-0.101854847|-0.169994208|-0.436345273|0.902377067|0.78699829|-0.011529973|0.833398429|0|-0.071083327|0.279020022|0.0177487689999999|-65.65179884|11.7156452|83.92365468|7.733288012999999|0.0|0.78244124|-1.989200921|75.7932235|0.475272043|549.5039111000001|-1313.035977|2403.371086|0.21755876|8.050812711|15.34283166|0.905749421|5957.939097|-866.7115819|-372.868829|1678.127264|729.1873176|10.14142465|1.0|0.0|0.0|0.21|2.5|69.2|2.45|0.0|133.68|0.0|5.0|-4.54|31.0|409.49|1.0|1.0|2.42|-4.6|2.8600000000000004e-05|0.0117|0.0|0.0|4.55e-08|3.79|3544.0|-1311.560669|706.26|1200.23|349.84|0.4467|319.66|568.94|0.7044100000000001|-0.1459|5.7533|0.03110617|17.0|7.7696
5a_a40|0|0|1|8.149890544|0|0.604913477|-0.116583806|-0.004609716|0.059258947|-0.108428634|-0.152120625|0.180125135|10.31198338|-0.02394636|2|2|0.010425818|-0.191663433|0.004130836|0.007301856|-0.363338726|0.538671739|0.756882266|-0.442215721|0.820901326|1|-0.078132307|0.04987082|0.020641204|-40.27003217|9.135164355|174.99981530000002|4.042943749|52.43850484|0.8224652720000001|-1.091897544|46.06507254|0.4889874279999999|377.5905776|-483.24038600000006|508.8362301|0.177534728|5.507689573|10.7779923|0.956899016|3736.248815|-213.8673835|-285.426492|587.5511127|244.8873477|5.795040371|1.0|0.0|1.0|0.21|3.08|75.5|1.85|1.0|74.15|0.0|3.0|-4.13|19.0|269.32|1.0|1.0|2.8|-3.67|7.49e-05|0.0202|0.0|0.0|8.950000000000001e-05|4.36|3.7921|-1177.5835470000002|466.79|757.45|326.96|0.4461|326.96|353.51|0.69499|-0.15066|5.7163|0.01514427|81.0|7.0915
