molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|AATSC1are|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|MATS8d|GATS1pe|nFaHRing|PBF|FPSA3|PPSA3|RNCS|TPSA_x|FNSA4|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
8c_a12|0.0|0|0|0.0|0.0|0|1.283851303|0.1948786139999999|-0.0104125509999999|0.0|3|-0.106633503|0.0|-0.004211843|10.95472932|-0.07003012|0|-0.00160589|-0.210669119|-0.370782022|-0.606245231|2|-0.10899871|-0.130288596|0.845077891|0|0.239216075|0.019604202|10.00357546|83.24714315|81.4415307|-0.038245644|-1.529825767|-17.44675795|-19.51587692|44.19432689|0.472503372|2190.852814|1245.6132289999998|-9.958505349|0.235550168|0.8957467170000001|4610.945152|120.19586|-398.3402139|25.52931025|9.621493319|0.0|1.0|0.0|1.0|2.24|0.11|-7.14|2.81|63.06|2.02|0.0|0.0|98.07|1.0|24.0|5.0|-6.44|1.0|2.23|107.0|0.0001899999999999|0.0598|0.0|0.0|7.24e-08|-0.06706|2.76|3.8341|-1022.77302|551.66|909.19|466.0|284.38|402.43|0.53657|0.67318|-1022.613451|0.1355|-0.15571|-0.2227699999999999|0.02263772|-1022.663298|7.3979
12bi_a36|0.0|1|0|3.466222049|0.0|0|1.297042566|-0.088734077|-0.00902707|5.351858133|2|0.03474497|0.0|0.000482522|10.95958518|0.041834838|1|0.002872872|-0.176729938|-0.289604649|-0.37220074|1|0.0997949019999999|0.071329141|0.8350231859999999|0|0.382000949|0.034602166|24.16125901|129.685076|150.12481100000002|-0.027831043|-1.614200516|-40.42611289999999|-19.43326441|82.05687954|0.461975362|3044.149713|2660.0547690000003|-13.56944331|0.500339677|0.85865094|6572.410403|349.3664649|-787.0277122|38.89295091|26.24794923|1.0|0.0|1.0|1.0|0.0|0.21|-6.79|2.83|87.66|1.42|1.0|0.0|136.74|1.0|33.0|6.0|-7.13|0.0|1.75|0.0342|7.13e-05|0.0315|0.0|0.0|1.6100000000000005e-07|-0.0510199999999999|2.68|3.6851|-1461.997992|742.94|1256.37|0.4214|319.1|603.92|0.68181|0.69207|-1461.69263|0.0252|-0.15078|-0.2018|0.0318395999999999|-1461.75632|7.8539
14a_a23|0.0|0|1|0.0|0.0|2|1.197964042|0.050806184|-0.0056795759999999|5.351858133|2|0.0446402609999999|0.757767133|0.012219066|10.31321831|-0.071842463|2|0.011363191|-0.073893976|-0.137733142|-0.446724057|2|0.114693804|-0.123790952|0.6888154959999999|1|0.225448915|0.019504497|12.33442989|38.57988954|51.42774883|-0.0341809229999999|-1.606503401|-22.26638099|-21.61564087|47.54437201|0.462434482|2816.527785|2173.7139190000003|-13.66949407|0.219241211|0.8602383659999999|6269.28943|138.6457355|-642.4662212000001|27.68542751|10.56592489|1.0|0.0|1.0|1.0|2.86|0.05|-7.41|3.36|105.02|3.03|2.0|1.0|120.28|1.0|30.0|4.0|-6.27|0.0|3.37|0.00139|1.1e-05|0.0045299999999999|0.0|0.0|3.92e-08|-0.07379|3.47|3.7119|-1629.928331|665.5|1134.02|0.3764|334.02|516.58|0.6289100000000001|0.6289100000000001|-1629.690316|0.3764|-0.15002|-0.2238099999999999|0.0216412|-1629.748476|8.5498
47o_a18|0.0|0|0|0.0|0.0|0|1.251177005|0.052875948|-0.006476544|4.844187086|0|-0.006238734|0.0|-0.00046896|10.94702017|-0.038296569|0|0.000787517|-0.103458566|-0.156998637|-0.490807196|0|0.001673737|-0.066242713|0.733228144|0|0.261785105|0.008692675|6.313168526|77.37089184|140.2610102|-0.034545459|-2.210909375|-40.76618466|-25.08909125|62.44459815|0.493146875|2857.120021|1393.529823|-18.22128055|0.127246923|0.972958142|6462.6049570000005|92.41474142|-1166.161955|28.74706708|6.002832126|1.0|1.0|1.0|1.0|0.0|0.25|-9.37|3.69|85.29|2.94|3.0|1.0|139.63|1.0|34.0|3.0|-6.12|0.0|2.76|0.000996|8.38e-06|0.00381|0.0|0.0|4.26e-10|-0.0502|7.62|3.22|-1455.574672|783.22|1352.29|0.5065|385.04|706.49|0.69248|0.69248|-1455.162559|0.5065|-0.13203|-0.18223|0.02736851|-1455.231246|7.3279
12y_a30|0.0|0|0|0.0|0.0|0|0.604984019|0.048343649|-0.005996863|5.351858133|2|-0.089502772|0.0|0.00604028|10.31162818|-0.058184644|1|0.006346396|-0.053700437|-0.0922059569999999|-0.4579359229999999|1|-0.05346283|-0.095969764|0.803183654|0|0.374181804|0.0149823289999999|10.05775555|85.17057711|101.4221952|-0.034840345|-1.91621895|-31.95309886|-23.38859815|57.65603256|0.445723724|2847.362782|2411.415644|-15.70095045|0.179891855|0.804154433|6301.067405|120.7628216|-863.552275|28.51891948|8.299049218|1.0|0.0|1.0|0.0|0.0|0.21|-7.38|4.87|81.65|3.25|2.0|0.0|137.21|1.0|31.0|4.0|-5.64|0.0|3.19|0.00039|3.48e-06|0.00148|0.0|0.0|4.12e-08|-0.05065|4.45|3.4718|-1654.41361|728.75|1227.82|0.2173|238.56|585.59|0.30617|0.6864399999999999|-1654.125015|0.1489|-0.1475|-0.19815|0.0311422|-1654.190369|7.6576
9n_a24|0.0|1|0|2.961528903|0.0|0|1.388847168|-0.2452954769999999|-0.003323852|4.59511985|2|-0.141205159|0.0|0.008307337|10.94875265|-0.03088354|1|0.008809179|-0.12451554|-0.200646773|-0.225226606|2|0.048359202|-0.058520736|0.755793189|0|0.331008994|0.017608478|11.90027964|48.691073|64.50319929|-0.026905672|-1.399094961|-23.79925701|-18.18357165|47.11530904|0.4331595789999999|2542.730334|1361.307012|-12.28894317|0.347873491|0.764164944|5356.5828|235.1021924|-639.0250449|27.88350328|14.83518955|1.0|1.0|1.0|1.0|2.6|0.17|-8.64|4.41|66.93|1.42|1.0|0.0|114.29|1.0|29.0|5.0|-6.47|1.0|3.13|0.0278|5.14e-05|0.0198|0.0|0.0|2.31e-09|-0.03818|2.59|4.1028|-1239.1274939999998|686.19|1155.03|0.2522|252.31|587.05|0.44042|0.63085|-1238.856882|0.0334|-0.1658099999999999|-0.20399|0.03188309|-1238.917278|7.7212
12au_a36|-3.3109381210000004|1|0|3.422314661|0.0|0|0.2992539489999999|0.074839187|-0.009897048|5.351858133|2|0.075815782|0.0|-0.006862238|10.31810353|-0.03802163|1|-0.001160331|-0.15024383|-0.261631709|-0.515924985|1|-0.021932444|-0.058671909|0.750657639|0|0.284342092|0.021569487|15.51748637|102.3999102|216.5471227|-0.038036474|-2.206115469|-46.66686194|-27.36414058|80.38496714|0.492871181|3484.987058|2384.109036|-19.68626738|0.283941389|0.97188557|7239.100414|204.2726719|-1141.803508|38.21494522|16.56175445|0.0|0.0|1.0|0.0|0.0|0.17|-6.87|1.28|123.75|0.84|1.0|0.0|142.02|1.0|34.0|6.0|-8.03|0.0|1.18|0.0668|0.0001889999999999|0.0897|0.0|0.0|1.36e-07|-0.0570899999999999|6.24|3.7105|-1876.207937|752.27|1283.4|809.0|241.65|618.65|0.58518|0.70395|-1875.89525|0.0158|-0.15162|-0.2087099999999999|0.05174058|-1875.960827|7.3279
11d_a31|0.0|1|0|3.39688681|0.0|0|0.610136352|0.064475882|-0.017317263|5.733341277|0|0.016799834|0.0|-0.009496378|10.31169874|-0.078235092|2|-0.006496772|-0.096447723|-0.153894316|-0.574318121|0|-0.057505249|-0.13169885|0.78396996|0|0.197166451|0.034417775|21.07078977|296.2476128|253.9354598|-0.040797245|-1.87667327|-50.23449218|-24.97634343|103.1255906|0.4816588089999999|2532.447962|2039.207676|-15.29068277|0.318229459|0.929231204|5420.356537|194.8221811|-703.3714074|36.63453013|16.75864338|1.0|1.0|1.0|1.0|2.83|0.32|-6.23|5.43|125.57|1.26|1.0|0.0|102.13|1.0|27.0|6.0|-6.4|0.0|3.34|0.00128|6.26e-05|0.0241|0.0|0.0|5.83e-07|-0.03404|4.87|3.8009|-1598.7152199999998|650.64|1077.69|0.2642|326.2|551.86|703.0|703.0|-1598.4848980000002|0.2642|-0.15822|-0.19226|0.04390452|-1598.546288|7.5229
13j_a6|0.0|1|0|3.409065702|0.0|0|1.430640326|0.0353600779999999|-0.015004989|5.351858133|1|0.07522656|0.0|-0.011017781|10.95129557|-0.047513534|1|-0.007703306|-0.045418125|-0.073507141|-0.562698347|1|-0.063948098|-0.079161042|0.830577798|0|0.205764388|0.03111288|20.78979124|180.6709018|251.937353|-0.046428683|-2.460720196|-53.67779048|-31.02389141|101.1210779|0.433600896|2907.3053210000003|2634.320708|-20.73032827|0.215833159|0.765539515|6276.316063|144.22085800000002|-1098.707398|39.56287079|13.31076198|1.0|1.0|1.0|1.0|2.26|0.12|-8.5|4.16|115.15|1.18|1.0|0.0|120.17|1.0|32.0|5.0|-6.81|0.0|2.82|0.00398|3.28e-05|14.0|0.0|0.0|3.18e-09|-0.0488899999999999|4.94|3.5599|-1426.5532050000002|712.52|1196.6|0.2857|339.64|555.0|0.69993|0.7045100000000001|-1426.272674|0.0259|-0.14602|-0.19491|0.03242949|-1426.335207|6.5817
8_a10|0.0|0|0|0.0|0.0|1|1.3430438530000002|-0.075368755|-0.00560152|5.4161004020000005|2|-0.000315856|1.546251312|0.0087730469999999|10.92578782|-0.106100115|1|0.009056935|-0.082893697|-0.132343104|-0.368590322|2|-0.015871527|-0.167376069|0.616731847|1|0.597912185|0.015758182|8.619652859|32.98071169999999|68.45976606|-0.029917593|-1.465962037|-17.849103399999997|-16.36478554|41.25082928|0.431797417|2612.274447|1899.542278|-8.951462413|0.277350551|0.7599356820000001|6289.86818|151.7094758|-438.6216583|22.64553798|9.617402178|0.0|0.0|1.0|1.0|3.27|0.22|-7.6|4.46|69.9|2.46|1.0|0.0|111.36|1.0|29.0|5.0|-6.25|1.0|3.55|0.0117|2.4100000000000003e-05|0.00926|0.0|0.0|2.49e-08|-0.0623299999999999|4.58|3684.0|-1257.84172|594.63|1047.58|0.1596|264.0|416.69|0.41583|0.68815|-1257.59269|0.0916|-0.15556|-0.21789|0.02243902|-1257.648047|6279.0
