molecula|NaaNH|n9FaHRing|SaaNH|NaasN|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
21_a4|0|0|0.0|1|1|1.399863887|2.026698554|-0.164057585|-0.003068098|1|0.0|-0.131928225|10.94593332|-0.104638158|1|0.030586117|-0.063064908|-0.099702401|-0.228430899|1|0.777866961|0.090847781|-0.174578783|0.674434042|0|0.932146735|-0.076470465|0.239652988|-28.99048719|-38.7880598|63.37635587|0.067853265|-0.028676424|-19.67444009|0.7231676229999999|-14.70482428|47.69702403|39.22285963|0.401240904|2045.488184|472.812128|-581.8208971|-7.377915035|5.961506745|9.956436217|0.670120767|4277.396118|140.4174905|20.11362507|0.017563978|804.5450027|387.240586|8.908964226|1.0|1.0|1.0|3.37|17.0|3.85|0.0|3.0|3.0|-5.76|303.36|1.0|3.23|-4.19|0.000133|0.0403|6.51e-05|0.0197|3.36|0.0|0.0|0.000352|5.1623|3.31|-973.5683008|-973.5481197|549.71|916.76|308.08|0.2016|240.17|446.0|0.5260600000000001|0.66476|-0.16632|2.0282|-0.19588|121.0|6.9172|6.9172
14g_a23|0|1|0.0|2|0|1.197957711|3.0793867980000003|0.180361525|-0.014609495|2|0.653317181|-0.803522236|10.3132174|-0.030586527|2|0.179219801|-0.0962526|-0.2952674819999999|-0.648987099|2|0.796412133|0.010202051|-0.044895912|0.575188253|1|0.907334473|-0.096288005|0.297855753|-51.82254036|-68.52397802|95.64648102|0.092665527|-0.041536002|-48.76552945|0.780315815|-36.87984398|83.15907597|64.87554405|0.461846955|3400.464046|645.7104105000001|-1507.527516|-21.03611074|8.788027188|16.32997765|0.8582074559999999|8005.353973|156.3396622|37.88128151|0.020564836|1931.945357|676.4530574|14.63509796|0.0|0.0|1.0|3.61|26.0|6.18|0.0|7.0|8.0|-5.94|495.48|0.0|4.35|-6.0|1.29e-07|6.38e-05|1e-06|0.0004969999999999|4.76|0.0|0.0|5.57e-06|3.7042|5.17|-2042.1835260000005|-2042.161409|730.13|1233.48|334.71|0.3478|334.71|583.38|0.56658|0.56658|-0.1519|7.2913|-0.23201|0.01|8.0|8.0
12ap_a36|1|0|3.4417292610000003|0|2|1.2970441659999998|0.0|-0.06398791|-0.007719624|2|0.0|-0.424579308|10.95430638|-0.042675894|1|0.117738331|-0.098598933|-0.175397741|-0.436880644|1|0.832758813|-0.025198947|-0.074596774|0.8212311840000001|0|0.830587483|-0.106173763|0.27547717|-54.21070432|-69.6632787|82.56761031|0.1694125169999999|-0.037473093|-45.7078307|0.737851886|-35.56900768|83.16347311|68.48007054|0.464588|2843.18721|544.9693552|-1253.939017|-16.13217554|8.766216204|16.37284224|0.86772056|6003.481614|172.00197649999998|33.32245946|0.020575639|1699.445432|642.3830552000001|13.50019441|1.0|1.0|0.0|4.78|17.0|1.76|0.0|5.0|5.0|-7.08|406.44|0.0|1.66|-3.95|0.000101|0.0412|0.000113|0.0458|2.4|0.0|0.0|8.97e-05|4.9124|2.98|-1325.199863|-1325.159466|691.41|1160.79|319.54|0.8819|252.39|553.28|0.59563|0.6929|-0.15704|7.0249|-0.21788|32.0|7.4949|7.4949
14ac_a23|0|1|0.0|2|0|1.1979507740000002|2.7104403130000003|0.0763230759999999|-0.011656739|2|0.544211741|-0.66443411|10.3132169|0.043387326|2|0.068237909|-0.069765112|-0.287952039|-0.562985112|2|0.7797862459999999|0.1374474|0.054652466|0.537271445|1|0.931143634|-0.097100967|0.300389872|-66.72452104|-73.32014595|57.45545019|0.068856366|-0.043970249|-55.36344264|0.8077820920000001|-50.3831402|87.75911516|79.43449928|0.489147172|3695.344378|703.0989434999999|-1759.6835030000002|-25.07023818|8.122941134|15.90074614|0.95751094|9203.543798|145.1421706|41.10214358|0.019122137|2178.41361|718.3324686000001|14.43896921|1.0|1.0|1.0|3.69|26.0|8.36|0.0|7.0|10.0|-5.84|547.48|0.0|5.43|-6.65|4.92e-08|2.69e-05|2.24e-07|0.000123|5.35|0.0|2.0|5.06e-07|4.0014|4.93|-2304.001319|-2303.9786940000004|751.54|1285.58|341.32|0.3209|309.85|627.76|0.6408|0.69962|-0.15055|6.3004|-0.23868|4.0|8.3851|8.3851
12ax_a36|1|0|3.429529478|0|2|1.280791885|0.0|-0.0943348109999999|-0.007681676|2|0.0|-0.414810497|10.958822|-0.034663063|1|0.128253871|-0.101451485|-0.1716508239999999|-0.440372791|1|0.836170906|-0.0394369539999999|-0.056676035|0.771220556|0|0.846837721|-0.107815607|0.375647684|-49.32384393|-72.11700812|36.17982162|0.153162279|-0.038813619|-48.23849712|0.7648530440000001|-32.99232962|84.58859134|62.11847297|0.488501696|2926.929456|566.4430628|-1298.106146|-17.36585896|7.563197245|14.78635841|0.955040697|6741.969187999999|157.28794140000002|33.94393618|0.018645135|1697.196809|661.6709012|12.47158322|1.0|1.0|0.0|4.74|17.0|3.19|0.0|5.0|4.0|-6.26|450.32|1.0|2.82|-5.18|8.27e-06|0.00372|6.55e-06|0.00295|3.93|0.0|0.0|7.83e-06|5.2372|4.42|-2152.130959|-2152.100515|699.67|1182.31|318.82|0.5236|236.74|552.0|0.39564|0.69348|-0.15728|4.5001|-0.21324|12.0|7.9208|7.9208
13c_a5|1|0|2.944180713|0|1|1.377702625|0.0|-0.2071929139999999|-0.005082338|3|0.0|-0.284610951|10.94530327|-0.018055556|1|-0.017427549|-0.092592608|-0.150963534|-0.324868153|2|0.770478689|0.003545487|-0.033833834|0.6775573359999999|0|0.80019672|-0.076591149|0.4148662979999999|-50.97293525|-50.50012762|158.67712230000004|0.19980328|-0.025039414|-33.29709668|0.551328235|-33.60884086|70.46156718|66.23254483|0.46617977|2793.480751|527.6071331999999|-858.5021696|-10.8855893|8.492261628|15.90846721|0.873289814|5989.714507|295.8302846|29.94524142|0.0302745689999999|1557.152554|656.208474|19.96143955|0.0|1.0|1.0|3.13|23.0|3.29|0.0|5.0|5.0|-7.28|411.46|1.0|2.68|-3.96|0.0002839999999999|0.1169999999999999|0.000109|0.0446|2.15|0.0|0.0|3.36e-06|4706.0|3.99|-1351.274441|-1351.2369640000002|676.53|1153.36|294.18|509.0|263.46|513.33|0.41594|0.51479|-0.17324|2.3276|-0.22939|123.0|6.9101|6.9101
14ab_a23|0|1|0.0|2|0|1.197962873|3.4171257980000003|0.065530542|-0.0050415|2|0.7586471459999999|-0.287365522|10.313217300000002|-0.03821899|2|0.038241896|-0.074579388|-0.13397874|-0.449699921|2|0.75434493|-0.085303124|-0.05990912|0.693959193|1|0.92422233|-0.076243539|0.20155691|-35.59605095|-52.21744789|40.23721489|0.07577767|-0.031648261|-35.76253038|0.797837067|-24.37891748|61.60741239|47.90644969|0.4695727329999999|2941.47118|632.9786397|-1148.783854|-14.84482393|7.83369055|14.76864227|0.885272615|6654.62616|138.4567483|27.16741043|0.013710439|1439.872753|733.3886349999999|9.389964491|0.0|1.0|1.0|3.63|26.0|4.63|0.0|5.0|4.0|-5.92|439.54|0.0|4.12|-5.55|5.9e-07|0.000259|2.81e-06|0.00123|4.31|0.0|0.0|3.07e-06|3.6587|4.1|-1708.563399|-1708.543268|719.66|1238.27|338.88|0.3893|338.88|595.23|0.66532|0.66532|-0.14778|5.9624|-0.21924|4.0|8.4012|8.4012
21_a12|0|0|0.0|0|1|0.609915045|0.0|0.04375233|-0.008833375|3|0.0|-0.362168355|10.31140747|-0.0546514309999999|1|-0.388196876|-0.116098308|-0.211367878|-0.522951134|2|0.835359152|-0.061915124|-0.099516604|0.859899236|0|0.84827776|-0.100098765|0.192026642|-34.60932333|-50.37198585|75.46830038|0.15172224|-0.036878492|-25.34833425|0.770818357|-17.416202300000002|59.10840872|40.76379649|0.473492395|2185.835701|426.8727514|-705.2078018999999|-9.338859985|5.891343219|11.18947411|0.8993077970000001|4652.242111|115.3294396|24.07584081|0.017360942|914.8819508|380.2468615|8.736422872|1.0|0.0|1.0|4.05|17.0|2.25|0.0|3.0|4.0|-6.45|319.38|1.0|2.68|-3.76|0.00015|48.0|0.000173|0.0551|2.53|0.0|0.0|5.3200000000000006e-05|4.6851|2.56|-1327.479547|-1327.451966|539.67|893.17|310.18|0.3665|264.64|397.31|0.59386|0.57644|-0.16784|2327.0|-0.22253|22.0|7.6576|7.6576
14e_a23|0|1|0.0|2|0|1.197957573|3.052208981|0.059967018|-0.008865361|2|0.650989437|-0.4787294729999999|10.3132176|-0.009871698|2|0.072830644|-0.07256543|-0.226146643|-0.5232404310000001|2|0.791790895|0.133270225|-0.014216155|0.5415996160000001|1|0.925392058|-0.089453046|0.267882223|-51.07141556|-62.2612068|48.244071000000005|0.074607942|-0.03935934|-43.33511299|0.796525872|-35.54678231|74.75779594|63.61519626|0.49543439|3255.313968|644.0923882999999|-1369.74655|-19.06744972|8.020794334|15.89643482|0.981902808|7663.17288|141.6222839|34.39302091|0.017954325|1719.6510460000002|658.8108151|12.49658915|0.0|1.0|1.0|3.54|26.0|6.19|0.0|6.0|7.0|-6.06|479.48|0.0|4.5|-5.79|4.1200000000000004e-07|0.000198|1.61e-06|0.000773|4.46|0.0|0.0|2.85e-06|3.7033|4.2|-1966.96594|-1966.943431|706.39|1209.58|334.8|0.3178|334.8|571.39|0.63922|0.63922|-153.0|3.7696|-0.2342199999999999|3.0|8.5214|8.5214
14a_a3|0|0|0.0|0|0|0.6050202020000001|0.0|0.111575338|-0.009312773|3|1.772745969|-0.363198151|10.3116301|-0.172643335|1|-0.267665193|-0.050943323|-0.094863591|-0.582572884|3|0.7574238740000001|0.164994144|-0.287221775|0.8255789570000001|1|0.790894937|-0.094609848|0.21389849|-45.12132248|-46.53709886|256.5548327|0.209105063|-0.036792719|-22.89086827|0.7608768779999999|-22.1944701|55.84414456|52.02624107|0.481997259|2160.698862|389.0288018|-651.519384|-8.902004327|5.308770254|10.24853699|0.930491715|4716.423352000001|117.6209094|23.78539971|0.0189212089999999|856.2743893999999|358.3503513|9.307045698|0.0|1.0|1.0|3.27|21.0|3.71|0.0|2.0|4.0|-6.42|319.38|1.0|2.76|-3.99|3.54e-05|0.0113|0.000103|0.0327|2.58|0.0|0.0|4.08e-05|3.2363|2.44|-1327.513792|-1327.485188|528.91|822.33|383.1|0.4524|383.1|373.85|0.69708|0.69708|-0.1321|3.5358|-0.19946|0.03|7.5229|7.5229
