molecula|SddssS|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|FNSA3|PBF|PNSA3|PPSA3|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
14a_a25|0.0|0|0|0.0|1|6.842683282|0|1.420015394|1.667057351|-0.004483962|4.727387819|-0.05112778|0.038167849|0.051906412|1.975771616|0.006085806|-0.046802062|-0.019985937|1|0.006158124|0.085350921|-0.077269115|-0.365062041|0.6716839040000001|0.7385460309999999|-0.085643386|0.653818362|1|-0.069657015|0.326595394|-45.72658614|8.449104086|0.149573695|98.18816423|-0.033365179|5.546443318|58.18995584|-1.76835447|-30.017374100000005|-21.90268583|54.17569023|2844.993903|558.2652611000001|-1160.842349|2142.5112510000004|0.969421506|6315.975408|-762.0389362000001|27.14918443|-402.7381076|1438.906775|712.1606951|8.689513304|1.0|1.0|1.0|1.0|1.0|0.08|27.0|-9.59|4.92|72.7|2.47|0.0|126.26|1.0|-5.39|32.0|419.48|0.0|0.0|1.0|3.81|-5.29|4.03e-06|0.0016899999999999|5.13e-06|0.00215|4.16|0.0|0.0|1.08e-07|5.3631|3.9479|-1352.298438|689.55|314.05|231.18|0.6714|-1352.024616|-0.16347|3.0824|-0.2143|0.03250632|-1352.086073|6684.0
14u_a23|0.0|0|1|0.0|2|7.423568444|0|1.197962732|3.357982471|-0.007017844|5.351858133|-0.025360103|0.043321995|0.050530143|0.743634137|0.010561248|-0.026062012|-0.0569153009999999|2|0.010508236|0.091604179|-0.199540201|-0.4086345999999999|0.756252127|0.787538583|-0.001778422|0.71381683|1|-0.055259924|0.445665682|-36.90928915|16.97420126|0.090245088|60.27663131|-0.033908155|11.3374334|50.47632596|-1.729315897|-24.65250654|-22.64798452|53.88349042|3015.478095|607.6448353|-1155.04721|2430.634114|0.910165272|6913.009783|-771.4808267999999|32.2221994|-271.0010972|1643.332169|683.7405759|15.75112771|0.0|0.0|1.0|1.0|1.0|0.09|26.0|-7.51|4.03|114.25|2.72|1.0|126.78|1.0|-5.63|32.0|441.51|0.0|0.0|0.0|3.48|-5.02|2.32e-06|0.0010199999999999|9.57e-06|0.0042299999999999|3.55|0.0|0.0|1.3699999999999998e-05|4.0409|3.1819|-1744.446261|712.54|389.66|306.82|0.6703100000000001|-1744.1781010000002|-0.1543|5.9743|-0.21613|0.0237199999999999|-1744.2405670000005|8.2449
12e_a36|0.0|1|0|0.0|0|7.412764017000001|2|1.29704412|0.0|-0.007100632|5.351858133|-0.043085717|0.040899471|0.144415507|0.0|0.002951176|-0.0586405829999999|-0.084051264|1|0.003962098|0.244642918|-0.1763783589999999|-0.43688276|0.90414347|0.7975411790000001|-0.010494913|0.856274847|0|-0.07049439|0.4347714629999999|-44.83739063|12.12502373|0.161913613|102.9838531|-0.036203518|7.71202397|5.735288795|-1.918786459|-28.51846223|-23.02695694|56.96241436|2709.877204|533.058116|-1220.428718|2309.239105|0.875194483|5929.071389|-776.2438847|30.25577504|-332.11111980000004|1603.556077|662.0530478999999|11.26845175|1.0|0.0|0.0|0.0|2.0|0.17|17.0|-6.97|2.19|69.2|2.24|0.0|128.72|1.0|-4.16|30.0|395.46|0.0|1.0|0.0|2.14|-4.3|6.929999999999999e-05|0.0274|5.05e-05|0.02|3.04|0.0|0.0|4.270000000000001e-05|3.8364|3.6699|-1272.2668210000002|673.57|337.84|323.18|0.70007|-1271.999945|-0.15189|6.5974|-0.20151|0.03037051|-1272.0579810000002|7.8539
3n_a32|0.0|1|1|0.0|0|7.773594467000001|1|0.609420754|0.0|-0.00615216|5.733341277|-0.01504795|0.035643275|-0.056907012|2.22272854|0.000609539|-0.1006122119999999|-0.0711168609999999|3|0.002379137|-0.100681119|-0.153506065|-0.435658951|0.810658423|0.816774665|-0.018016496|0.762657782|1|-0.074507943|0.287402381|-42.83673428|10.86481886|0.159958218|91.96452611|-0.027401986|6.246493173999999|0.0|-1.205687365|-24.62805609|-15.75418035|53.70155314|2526.071154|482.963897|-693.1839353999999|2426.73803|0.840580248|5553.014016|-398.5311469|24.27704797|-171.25176130000003|1068.190111|522.1674161999999|12.0969734|1.0|0.0|1.0|1.0|1.0|0.32|19.0|-6.96|5.01|120.17|1.58|0.0|106.44|1.0|-5.96|26.0|382.5|0.0|0.0|1.0|4.07|-4.91|1.11e-06|0.000424|1.23e-05|0.0047|3.74|0.0|0.0|4.19e-05|3.5459|3.5459|-1825.378576|614.67|349.65|349.65|0.7028399999999999|-1825.163542|-0.1472099999999999|3.5849|-0.20256|0.02901944|-1825.218291|7.6778
15c_a22|0.0|0|0|0.0|1|6.842683282|0|1.42291727|1.596256692|-0.005236206|4.727387819|-0.018518519|0.038137255|-0.026986769|1.568396937|0.003784292|-0.023927419|0.006275578|1|0.004362505|-0.047249795|-0.160566657|-0.364626967|0.667111824|0.773044788|-0.096749121|0.639264982|1|-0.067475429|0.615901609|-48.58045253|17.68362419|0.133414786|96.05497587|-0.0302219629999999|12.731723|78.22334636|-1.60176404|-34.97658951|-21.75898206|66.26407672|3079.491787|623.9175171|-1153.226049|2092.620825|0.859281634|6882.442370999999|-830.2910335|32.87972244|-232.9472639|1742.625289|731.8178649|17.86058304|0.0|1.0|1.0|1.0|1.0|0.08|27.0|-9.28|4.18|109.38|1.08|0.0|128.77|1.0|-4.86|34.0|445.48|0.0|0.0|0.0|2.98|-4.62|1.39e-05|0.00618|2.4e-05|0.0107|2.9|0.0|0.0|2.35e-07|5.7361|3674.0|-1460.602657|715.42|337.46|216.15|0.69113|-1460.324493|-0.15408|7.382000000000001|-0.22807|0.03150096|-1460.387718|6.1325
8h_a8|0.0|1|0|0.0|1|7.05012252|0|1.3918396709999998|1.241306689|-0.010324979|4.844187086|-0.249095464|0.046205674|0.008138299|0.0|-0.007796225|-0.085125857|0.007079485|1|-0.007036544|0.021094825|0.254819201|-0.53822084|0.578166105|0.6971223040000001|0.111824921|0.56916135|0|-0.122706004|0.273425421|-72.14530885|6.58499063|0.397594866|233.7669182|-0.048805507|3.871662077|53.78973456|-2.147442322|-42.41801879|-28.69532281|78.73029948|2623.688756|354.18563860000006|-1262.594204|2019.780061|0.822939833|5956.417906000001|-742.3454901|31.2477685|-491.8998117|1374.901814|485.8626377000001|4.492304417|0.0|0.0|0.0|0.0|2.0|0.0|23.0|-7.95|4.72|80.88|4.11|0.0|105.27|1.0|-5.21|29.0|391.37|0.0|0.0|0.0|4.01|-5.0|6.11e-06|0.0023899999999999|1.01e-05|0.00395|3.82|0.0|0.0|4.43e-06|4801.0|3.7327|-1361.651799|608.39|332.16|258.25|0.69844|-1361.455676|-0.15475|3.4779|-0.21819|0.03330037|-1361.5113789999998|4.9359
12x_a36|0.0|1|0|0.0|0|7.412764017000001|2|0.629399587|0.0|-0.007008724|5.351858133|-0.046532211|0.041767677|0.021670322|0.0|0.00285431|-0.054184069|-0.023932402|1|0.003710345|0.038200407|-0.133106642|-0.4331246039999999|0.906423012|0.828393514|0.056034339|0.855081905|0|-0.0737521679999999|0.3403819629999999|-49.60929169|11.85578416|0.163597165|110.0434027|-0.036722107|7.974776509|0.8295471390000001|-1.982993755|-33.36962015|-24.70107324|61.46507585|2884.428214|562.6051882|-1333.8579550000002|2391.802689|0.847720832|6193.10485|-897.2176739|31.79630645|-372.4502879|1717.000548|725.9470896|10.94693123|1.0|0.0|1.0|1.0|2.0|0.17|17.0|-7.05|2.61|94.5|2.51|0.0|135.47|1.0|-4.85|31.0|427.52|0.0|0.0|0.0|2.33|-4.51|1.4300000000000002e-05|0.0061|3.09e-05|0.0132|3.19|0.0|0.0|3.83e-05|3.8776|3.7364|-1670.452834|719.63|331.83|319.74|0.68112|-1670.182026|-0.1517099999999999|5.6653|-0.2048199999999999|0.03331471|-1670.244307|8.1549
47g_a18|0.0|0|0|0.0|0|7.03438793|1|1.251175676|0.0|-0.005817448|4.844187086|-0.034211867|0.031179487|-0.048472184|0.0|0.0036509859999999|0.033759227|-0.008224928|0|0.00531392|-0.071877686|-0.3927204379999999|-0.4138670829999999|0.765824398|0.750610215|-0.009917608|0.745431271|0|-0.065225536|0.413435809|-55.35188184|11.37505183|0.165575846|140.5114492|-0.029212072|9.653129118|47.07867403|-2.307753726|-46.97287277|-24.79003275|66.72693367|3367.0578530000003|708.1114197|-1958.412588|2268.439188|0.966014041|7870.887027|-1661.953709|33.87214455|-393.5416883|2675.8994190000003|1347.416568|13.79782369|1.0|1.0|0.0|1.0|2.0|0.34|18.0|-9.22|3.6|88.97|2.79|2.0|164.47|1.0|-6.11|40.0|541.68|0.0|0.0|0.0|2.83|-5.52|7.76e-07|0.000421|3.01e-06|0.00163|4.52|1.0|1.0|3.27e-07|3.0965|3.0965|-1743.375845|905.71|400.4|400.4|0.69828|-1742.7686640000002|-0.12789|4966.0|-0.17202|0.02960182|-1742.847918|8.0458
1c_a5|0.0|1|0|0.0|0|6.605297921|0|1.424607938|0.0|-0.001983746|4.59511985|-0.006491037|0.0248765429999999|-0.080321049|0.0|0.008031558|-0.228971551|-0.058823529|1|0.007357977|-0.133677441|0.0578378779999999|-0.20172074|0.71274658|0.7595197290000001|0.128385959|0.6977404359999999|0|-0.068062282|0.436308619|-34.82350689|4.27195187|0.11368581|58.16640976|-0.0281385329999999|2.185709046|0.0|-1.12554131|-17.81716094|-14.3968489|39.09545876|2105.8969850000003|453.4753671|-575.8739559999999|873.709445|0.909902834|4387.398857|-294.64117410000006|19.11862892|-258.918642|764.7451566000001|409.0289917|7.869633359|1.0|1.0|0.0|1.0|1.0|0.05|23.0|-8.41|4.51|54.46|2.13|0.0|95.45|1.0|-4.25|24.0|312.37|0.0|1.0|1.0|3.43|-4.45|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0111|3.43|0.0|0.0|1.21e-06|4.8783|4.5088|-990.6223073|556.84|274.99|254.15|0.53838|-990.467026|-0.18719|1.7105|-0.22684|0.029157178|-990.516371|5.4
25_a47|0.0|0|1|0.0|1|6.86171134|0|1.30432753|1.234859637|-0.010144825|4.727387819|-0.1084905069999999|0.043695652|-0.055724653|1.087932079|-0.003963349|-0.035030495|0.002716049|1|-0.00269275|-0.120903298|-0.235822787|-0.545763902|0.6553889970000001|0.8462332770000001|-0.077710529|0.622598899|1|-0.073339312|0.574771479|-44.52300552|12.27779881|0.213041681|129.3338553|-0.031278972|7.453635586|51.5831002|-1.407553754|-27.0291331|-18.98891362|56.80080434|2704.5905190000003|477.748546|-854.5011131000001|1514.111398|0.908616158|6236.813862|-518.7525876|30.43708613|-150.4037281|1369.668876|513.2159236|17.76440561|0.0|1.0|1.0|1.0|2.0|0.1|21.0|-8.01|4.95|84.73|3.08|0.0|109.7|1.0|-4.99|29.0|410.83|0.0|0.0|1.0|3.62|-4.82|1.01e-05|0.00417|1.52e-05|0.00626|3.53|0.0|0.0|4.02e-06|4.8002|3.9878|-1735.414386|626.55|310.91|258.29|0.68761|-1735.2218059999998|-0.16588|3.8832|-0.22919|0.0285712999999999|-1735.279715|7.8
