molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
1a_a18 (SB-431542)|1|0|0|3.3674017380000003|0|7.423568444|1|1.430935835|0.0|0.043282217|-0.011639964|-0.029658865|10.94959842|-0.0492229479999999|1|-0.008385698|0.164429684|-0.033765606|-0.567791164|1|0.838928085|-0.08530265|0.805877431|0.795744863|0|0.5940412860000001|-0.126408788|-72.69619778|0.405958714|240.8019609|-0.0462988229999999|-43.12110169|11.61820782|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|-27.46300805|94.56841061|0.472443977|2678.82389|-1235.8353619999998|1890.195809|-16.29019397|0.2468003389999999|7.52384981|14.26170773|0.895533283|5748.422847|-733.0587287000001|36.46179023|-300.3801761|14.4623285|1.0|1.0|1.0|1.0|2.0|3.25|0.05|23.0|-7.69|3.63|103.12|106.85|0.0|4.0|-4.52|-6.73|384.39|0.0|0.0|2.85|-4.25|3.03e-05|0.0116|0.0|-0.05971|4.57|3295.0|-1292.588031|620.23|0.5767|464.08|0.69868|-1292.358966|5.9926|-193.0|0.03494548|-1292.414518|8.8609|6.9031
14b_a50|0|1|1|0.0|2|7.934155233999999|2|1.267593742|4.240438135|-0.092558007|0.010215823|0.037777505|10.94501788|-0.041169251|2|0.011249462|-0.106938404|-0.280243276|-0.306633966|1|0.74726683|0.030057537|0.831689551|0.71456262|1|0.904076348|-0.050362464|-50.27694576|0.095923652|62.89861413|-0.025558317|-32.9673668|9.64109526|192.8987555|0.637281054|-1.533499045|-21.65397937|-16.75898192|47.72661339|0.445384689|2967.872393|-1005.538915|2984.248708|-10.98912227|0.362718946|6.3538844910000005|11.45638132|0.8030515570000001|6737.145102|-659.347336|26.29763086|-180.03459850000002|14.30797341|1.0|1.0|1.0|1.0|0.0|4.64|0.35|20.0|-6.86|4.81|66.99|128.39|0.0|7.0|-4.6|-6.5|441.52|0.0|1.0|3.6|-4.78|2.51e-05|0.0111|0.0|-0.02486|3.05|4.0775|-1431.068494|718.64|0.1637|533.25|0.64303|-1430.72987|5.3711|-0.1936|0.03081037|-1430.7933859999998|6.7927|5.1818
9_a4|0|0|0|0.0|1|7.535296702|1|1.300485838|2.130445484|-0.211556011|0.010709527|-0.091393763|10.92992723|-0.0454860859999999|1|0.009731833|-0.030976753|-0.076824065|-0.172904817|2|0.625717993|-0.151437311|0.861113198|0.58669472|1|0.937102792|-0.052625548|-37.85762102|0.062897208|34.22811902|-0.025885299|-20.60179129|2.676487872|45.21212204|0.792890434|-1.113067849|-15.58475436|-14.08655666|33.55665428|0.43745176|2359.945586|-605.7219363|2012.840082|-7.665782805|0.207109566|5.744374392999999|10.21134541|0.777625327|5387.230364999999|-329.6286606|17.76608225|-318.7769026|5.859985199|1.0|0.0|1.0|1.0|0.0|3.18|0.19|21.0|-8.16|5.07|43.6|105.09|0.0|2.0|-4.76|-5.56|360.84|0.0|1.0|4.17|-5.15|1.73e-05|0.0062299999999999|0.0|-0.05256|3.87|4.0137|-1489.554198|586.24|0.1217|430.12|0.6464|-1489.36688|4.4343|-0.22204|0.02116575|-1489.41872|5.4739|7.3188
17f_a50|0|1|1|0.0|2|7.934155233999999|1|1.349854916|4.305828452|-0.2208117919999999|0.012475826|-0.028989535|10.94501702|-0.132773563|2|0.0129274519999999|-0.275290802|-0.407467272|-0.204651539|1|0.758335704|-0.132153434|0.8314734309999999|0.7241275009999999|1|0.911458734|-0.047333916|-46.03121141|0.088541266|54.44410182|-0.026836447|-28.30463221|6.206439227000001|82.90209608|0.721122105|-1.422331714|-17.89709978|-16.50175503|39.19906437|0.472769049|2582.272632|-874.5930167000001|1929.981543|-10.14694362|0.278877895|7.200480876|13.65716648|0.896702|5579.97966|-537.7880119|22.88344084|-271.9363523|9.947921993|1.0|1.0|1.0|1.0|0.0|3.81|0.26|20.0|-6.38|3.83|51.77|116.81|0.0|6.0|-3.58|-6.64|384.48|0.0|1.0|2.92|-4.12|0.000266|102.0|0.0|-0.0336399999999999|2.5|4.0664|-1219.2481369999998|653.63|0.1708|564.52|0.6573899999999999|-1218.966516|6.1931|-0.20148|0.0276719|-1219.02507|8.312999999999999|6.4001
8a_a8|1|0|0|3.150966553|1|7.535296702|1|1.400027874|1.4114120369999998|-0.021925912|-0.0075336219999999|0.010118884|10.94671414|-0.0298924089999999|1|-0.005306541|0.044579097|0.089375589|-0.5028388229999999|1|0.76592324|0.089031731|0.8220300859999999|0.7318727540000001|0|0.550829475|-0.131795179|-71.12928513|0.449170525|269.0155755|-0.049054408|-42.60049244|12.33026525|84.91322996|0.76420633|-2.256502762|-47.27503672|-29.37948733|99.52191337|0.481294455|2802.374154|-1351.456417|1746.6927010000002|-17.59585557|0.23579367|7.533378788999999|14.52342059|0.927876056|6193.891189|-809.4093564|38.44444383|-316.4749864|15.44399996|0.0|0.0|1.0|0.0|2.0|3.37|0.05|23.0|-6.76|2.72|112.23|109.21|0.0|4.0|-4.4|-7.04|400.39|0.0|0.0|2.56|-4.14|3.99e-05|16.0|0.0|-0.06922|6.1|3.1039|-1367.776863|620.68|0.2035|476.69|0.7036899999999999|-1367.539526|5.4201|-0.19937|0.03213899|-1367.595683|6.8427|4.9454
1h_a5|1|0|0|2.9516097130000003|0|6.605297921|0|1.427564094|0.0|-0.259241577|0.008031558|-0.1197834419999999|10.94466758|-0.044117647|1|0.007357977|-0.043247682|0.0578378779999999|-0.20140246|2|0.71274658|0.070628165|0.8436458929999999|0.6977404359999999|0|0.8806402259999999|-0.067599619|-36.2462047|0.119359774|62.25239147|-0.027798699|-18.90429957|2.393400474|0.484419999|0.7450549759999999|-1.111947978|-18.38824808|-14.49848188|39.84574434|0.489507204|2107.271793|-579.9392753|819.6979313999999|-7.561719827|0.2549450239999999|6.711386288|13.14687756|0.958891501|4334.547353|-302.4687931|19.45961351|-255.618083|8.268552715|1.0|1.0|1.0|1.0|1.0|2.8|0.05|23.0|-8.41|4.51|54.46|95.45|0.0|3.0|-4.25|-5.77|312.37|0.0|1.0|3.43|-4.45|5.5700000000000005e-05|0.0174|0.0|-0.04124|3.17|4.3651|-990.6346565|556.57|0.3333|430.83|0.57155|-990.472129|2.2396|-0.21921|0.031392033|-990.523098|3.3752|7.5528
12d_a30|0|0|0|0.0|0|7.412764017000001|2|0.604984421|0.0|0.041181359|0.005613018|0.036688757|10.31162861|-0.075816941|1|0.005965451|-0.162129948|-0.09353607|-0.4562256979999999|1|0.8414737059999999|-0.0430927579999999|0.8532172109999999|0.7991060659999999|0|0.843009925|-0.073829724|-60.88281322|0.156990075|101.4221952|-0.036246039|-39.33285959|6.497247279|0.0|0.8143892140000001|-1.884794029|-30.81433963|-23.41646662|57.75411196|0.4572733479999999|2784.836855|-1217.656264|2323.480646|-15.12802292|0.185610786|7.557073995|13.92427286|0.84254817|6120.329513000001|-786.6571918999999|28.75340957|-406.2173266|8.672532296|1.0|0.0|1.0|0.0|1.0|4.75|0.17|17.0|-7.01|2.93|81.65|132.24|0.0|5.0|-5.66|-5.81|412.51|0.0|0.0|2.91|-5.15|2.21e-06|0.0009119999999999|0.0|-0.05119|4.14|3.4821|-1615.095823|695.57|149.0|545.94|0.68608|-1614.831682|4434.0|-0.1991|0.03187624|-1614.894406|4.8843|7.9508
2_a4|0|0|0|0.0|0|6.605297921|1|1.189716144|0.0|-0.072708147|-0.001386521|0.090707854|10.95268469|0.076479666|0|-0.0016168089999999|0.127695325|0.228655117|-0.3881618|1|0.930871261|0.11821091|0.847373823|0.912872667|0|0.742518847|-0.117395215|-44.27948986|0.257481153|108.4760726|-0.0379537729999999|-18.65482233|1.123639184|0.0|0.843107708|-1.366335816|-20.83662681|-15.98981578|52.12536246|0.3961813179999999|1623.668791|-575.6333682|910.3327882|-6.736463618999999|0.156892292|4.710383035|7.800989232999999|0.656126301|3396.86527|-242.5126903|18.96532986|-289.1005902|4.657326379|0.0|1.0|1.0|0.0|2.0|3.33|0.27|12.0|-4.83|0.83|45.15|79.59|0.0|2.0|-2.18|-6.69|253.3|0.0|1.0|1.24|-2.77|0.0066|1.67|0.0|-0.01612|2.46|3.2230000000000003|-819.9326497000001|458.73|0.1315|333.36|0.6885600000000001|-819.771754|1.7717|-0.16226|0.033037353|-819.8174190000001|3.0946|7.5086
7c_a10|0|0|0|0.0|1|7.535296702|1|1.343178184|2.1219657030000003|-0.152261681|0.01006918|-0.033792245|10.92926158|-0.066271289|1|0.0107756969999999|-0.176560297|-0.191576261|-0.215874011|2|0.725146704|-0.087063341|0.84177174|0.6952665379999999|1|0.906276489|-0.05074318|-51.2378943|0.093723511|54.79389751|-0.0223398779999999|-29.95538587|9.377842892|58.07647902|0.52630639|-1.139333798|-17.34382833|-13.06063972|45.70671102|0.4675549639999999|2616.8970870000003|-666.0926258|1881.379304|-7.635686595|0.47369361|6.703148323|12.58937144|0.8781281320000001|6034.895823|-389.4200163|24.81565867|-30.75918962|15.7764728|1.0|1.0|1.0|1.0|0.0|3.48|0.26|21.0|-7.78|4.43|62.06|113.07|0.0|4.0|-4.44|-6.2|386.45|0.0|1.0|3.59|-4.69|3.59e-05|0.0139|0.0|-0.04004|2.76|3.8357|-1259.011598|635.47|0.4049|488.89|0.68708|-1258.744382|3.9465|-0.20059|0.02659395|-1258.801509|5.0714|5.4191
5f_a40|0|0|0|0.0|1|8.149890544|0|0.60491326|1.656591081|-0.004886759|0.000663516|0.166865076|10.31198329|0.062183277|2|0.000706205|-0.155235986|0.18254908|-0.4644854879999999|0|0.7039183109999999|-0.465573352|875.0|0.680674762|1|0.7414714309999999|-0.113521559|-50.68028366|0.258528569|119.4441339|-0.041135239|-23.41506245|4.319700326|63.48466425|0.814393685|-1.316327637|-24.23209217|-19.00510637|61.79838068|0.484099946|1932.388838|-608.163404|599.1117195|-8.780648419|0.185606315|5.780627322000001|11.20493646|0.938359946|3963.475837|-280.9807494|23.33651|-290.5093357|6.930245797|1.0|0.0|1.0|1.0|1.0|3.08|0.21|14.0|-3.69|2.68|101.52|78.56|0.0|3.0|-3.97|-6.47|284.34|0.0|0.0|2.23|-3.31|0.000108|0.0307|0.0|-0.06227|3.5|3.0611|-1232.983157|487.57|0.2747|361.03|0.69727|-1232.851443|5.5961|-0.19284|0.02389588|-1232.898044|7.6183|6.9508
