molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|TPSA_x|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
22_a47|0.0|0|1|1|0.0|0.0|1|6.86171134|0|1.202720059|-0.010579222|-0.150248628|2|0.043695652|-0.029311184|1.016903613|-0.075111395|0.002716049|1|1|-0.004332497|-0.1049885469999999|-0.277479519|2|0.612295986|0.831122912|0.004104478|1|0.698649132|-0.080744803|-0.089280419|0.573087958|-47.64347429|177.81209280000002|-31.08378631|54.21581266|0.6096864479999999|-1.42848671|71.28682035|-18.73063655|60.71546178|0.4614909829999999|2692.510471|-842.8786448999999|1494.441201|-11.05201291|6.9553262170000005|12.91589555|0.8569791179999999|6107.923371|-497.3405809|0.031534452|-129.440987|1382.478891|18.60690504|0.0|1.0|1.0|1.0|3.31|3.16|21.0|-7.69|3.07|4.85|84.73|2.97|104.64|1.0|5.0|29.0|6.0|-6.58|394.38|0.0|1.0|3.41|-4.38|3.6e-05|3.0|0.0|2.06e-08|-0.0612399999999999|-1375.021925|1027.32|308.65|0.3367|466.95|-1374.857521|0.0799|-0.22828|-1374.914437|5.7009|1.0|9.0|9.0
12g_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.0|-0.010447128|0.024086432|2|0.039951691|-0.037395048|0.0|0.007330206|-0.049719762|1|1|0.0026474159999999|-0.084317059|-0.152855196|1|0.817497287|0.826316772|-0.0885760969999999|0|0.783662781|-0.086195758|-0.10344931|0.487608738|-58.41940906|146.623137|-47.51931027|237.7754135|0.7743107290000001|-2.068986201|83.29752441|-27.49531395|77.01461557|0.459011202|3058.2873170000003|-1402.261011|2482.668258|-18.63502363|8.694447089|16.07139949|0.8484671109999999|6688.137428|-950.3862054|0.019453222|-371.8296813|1810.9797|13.18447384|1.0|1.0|1.0|0.0|4.67|0.0|17.0|-6.42|3.4|2.48|114.67|2.06|133.52|1.0|6.0|32.0|6.0|-6.22|439.49|0.0|0.0|2.36|-5.01|1.01e-06|3.89|0.0|3.7600000000000003e-07|-0.0576|-1743.174676|1206.02|348.35|0.2449|577.31|-1742.965961|0.1613|-0.2083699999999999|-1743.029147|5.3027|9.0|8.0334|8.0334
12o_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.0|-0.0068750669999999|-0.028326022|2|0.040899471|-0.089996613|0.0|0.019094532|-0.087019298|1|1|0.003603419|-0.051371057|-0.090173435|1|0.8264832879999999|0.815003426|-0.149451598|0|0.844344883|-0.076908942|-0.0975052409999999|0.402022325|-49.48891079|100.1600333|-40.37291185|0.0|0.8131344979999999|-1.852599578|71.87393121|-24.32856749|59.43716284|0.46964626|2860.371518|-1192.099807|2476.50603|-15.65480256|7.400912529|13.95467208|0.885533983|6542.77337|-767.0853252|0.0141914589999999|-402.9878652|1466.05489|9.131836103|1.0|1.0|1.0|0.0|4.63|0.0|17.0|-7.22|4.47|3.27|81.65|3.31|132.29|1.0|5.0|30.0|4.0|-5.75|432.93|0.0|1.0|3.11|-5.44|1.19e-06|4.49|0.0|6.03e-08|-0.05085|-2035.338699|1162.63|356.1|0.1967|528.25|-2035.139147|149.0|-0.19873|-2035.199757|6.8632|16.0|7.8097|7.8097
19c_a38|0.0|1|0|0|3.332128134|0.0|0|7.412764017000001|2|0.0|-0.008177185|-0.04575843|2|0.04508642|0.02192428|0.0|-0.0725602509999999|-0.0431896509999999|1|1|-0.002443797|-0.09493054|-0.20848518|1|0.7163622890000001|0.846765471|-0.071918235|0|0.7591916240000001|-0.0918007669999999|-0.108301657|0.396635872|-57.79749770000001|151.612258|-42.92996714|4.848162625|0.7187071909999999|-1.949429829|82.74311399|-24.06579196|73.10674676|0.477803802|2967.98627|-1227.35539|2660.812979|-15.15175311|6.97753104|13.36189552|0.914989047|6618.350708|-772.7394084|0.023120664|-275.39483110000003|1707.726604|14.55670345|1.0|1.0|1.0|1.0|4.84|3.0|17.0|-6.92|3.17|2.42|105.02|1.76|130.41|1.0|5.0|32.0|5.0|-7.13|426.45|0.0|0.0|2.57|-4.12|4.46e-05|2.5|0.0|1.2099999999999998e-07|-0.05691|-1424.3899310000002|1138.6|323.53|0.2961|517.28|-1424.1880119999998|0.1417|-0.21303|-1424.247603|3.2846|9.0|8.0348|8.0348
20a_a10|0.0|0|0|0|0.0|0.0|1|7.535296702|1|2.113798134|-0.0034618129999999|0.049376168|2|0.036415094|-0.035536682|1.896409603|-0.010695558|0.011011878|1|1|0.008297595|-0.049146504|-0.081587712|2|0.661219642|0.755429696|0.019448804|1|0.913681336|-0.066386563|-0.072821454|0.591835899|-43.19189039|56.1599532|-30.82502228|47.01787447|0.733451892|-1.456429076|58.1398225|-18.22250274|52.05222074|0.452402751|2998.608651|-947.5701424|2021.669282|-11.8557778|8.419180593|15.37476788|0.826159649|6729.996773999999|-616.5004457|0.016540298|-303.7731758|1291.932235|10.76131538|1.0|1.0|1.0|1.0|3.48|3.63|27.0|-9.44|5.06|5.77|76.62|2.53|126.35|1.0|4.0|33.0|5.0|-5.82|429.47|0.0|1.0|4.27|-5.59|2.07e-06|4.36|0.0|3.61e-10|-0.06611|-1389.1321289999998|1200.92|323.62|0.2738|524.02|-1388.897416|107.0|-0.2274199999999999|-1388.957848|3.2116|1.2|5.9208|5.9208
17b_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|1|4.35392516|-0.002181823|0.013050204|1|0.032052154|0.035558152|2.206759705|-0.152660972|-0.15040528|2|2|0.012686493|-0.2252068689999999|-0.357011777|1|0.7715057479999999|0.7621727979999999|-0.257646121|1|0.931849183|-0.047785496|-0.07555585|0.4220781729999999|-33.25475672|47.42733742|-36.59177249|86.9549829|0.803386523|-1.662228695|59.65808461|-18.65764227|42.23167946|0.4835366239999999|2765.537065|-1156.773821|1948.148592|-12.98417734|8.324966952|16.11918162|0.936245718|6059.076348|-805.0189948|0.010169967|-422.2639022|1439.872076|7.077456382|1.0|1.0|1.0|1.0|4.17|3.57|20.0|-7.54|4.18|4.92|51.77|2.71|131.39|1.0|8.0|32.0|4.0|-6.09|426.56|0.0|0.0|3.87|-4.91|1.7899999999999998e-05|3.96|0.0|2.87e-08|-0.0318|-1337.164673|1300.3|306.75|0.1817|647.75|-1336.833957|0.1758|-0.19879|-1336.899093|8.4096|122.0|6.9136|6.9136
13n_a6|0.0|1|0|0|3.425442623|0.0|0|6.842683282|0|0.0|-0.010884884|-0.135152403|2|0.04393617|0.058267173|1.628408574|-0.06507689|-0.033224059|1|1|-0.00687003|-0.068956229|-0.118693789|2|0.870730542|0.7767360059999999|-0.056293641|1|0.70890216|-0.100363599|-0.109392959|0.307384948|-68.88015714|199.7822434|-51.52585133|103.012404|0.748967057|-2.078466222|88.73738138|-26.41600355|81.06784641|0.47066442|2952.259627|-1426.464192|2535.307313|-18.12946621|8.872063579|16.76075427|0.889160748|6386.381394|-978.9911754|0.019904118|-341.7352549|1904.575345|13.66031867|1.0|1.0|1.0|1.0|3.55|1.9|27.0|-9.67|4.19|3.76|122.47|0.81|127.2|1.0|6.0|33.0|5.0|-7.23|435.48|0.0|1.0|2.62|-4.28|2.27e-05|2.43|0.0|2.1499999999999998e-10|-0.07131|-1423.714738|1232.6|369.99|0.9117|548.09|-1423.451366|0.1945|-0.20994|-1423.514154|10.1967|75.0|7.1249|7.1249
3p_a32|0.0|1|1|1|3.456037415|0.0|0|8.02059915|1|0.0|-0.008735261|-0.028895521|0|0.036666667|-0.050639647|2.1365141480000003|-0.111150118|-0.074544773|3|3|0.000920756|-0.146606489|-0.26891009|0|0.737842269|0.8599558070000001|-0.120768771|1|0.8195708759999999|-0.070907174|-0.098773656|0.366898545|-41.73212799|106.1908248|-34.21384146|57.82331968|0.6199678829999999|-1.28405753|73.07639870000001|-17.1756096|54.24719019|0.416240891|2650.4178850000003|-755.7268222|3037.061498|-10.10863498|6.243062200000001|10.69458635|0.713035367|5960.446219|-444.779939|0.025390655|-141.21321609999998|1218.977375|14.94356622|1.0|1.0|1.0|1.0|3.38|2.6|19.0|-6.79|6.06|3.71|131.25|1.1|112.37|1.0|4.0|27.0|4.0|-6.8|395.5|0.0|1.0|3.23|-4.25|7.78e-06|2.7|0.0|1.62e-07|-0.04963|-1879.527843|1057.58|340.28|0.3083|471.04|-1879.350471|0.3083|-0.20018|-1879.406962|5.4496|26.0|7585.0|7585.0
9a_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|0|1.865740741|-0.003680068|-0.020455825|0|0.0397333329999999|0.168990628|0.921628874|0.157704751|-0.1720337089999999|2|2|0.011966382|0.009844552|0.016958188|0|0.624889926|0.690568477|-0.2990540869999999|1|0.937600185|-0.060029933|-0.072887601|0.002467659|-29.02567082|30.17155594|-17.0405052|51.49564873|0.868476591|-1.093314022|39.45618424|-15.54821024|34.36063715|0.493941591|1971.148912|-528.6391483|336.39741360000005|-7.51786994|6.749223592000001|13.33684703|0.976056482|3991.317015|-255.607578|0.008714375|-356.33157|608.6970611|4.213574358|1.0|1.0|0.0|1.0|3.26|3.28|20.0|-6.4|4.58|4.43|58.43|3.57|86.7|1.0|2.0|21.0|2.0|-4.85|291.37|0.0|1.0|4.08|-5.08|3.24e-06|4.54|0.0|4.02e-07|-0.06495|-1217.9449|847.69|373.53|0.4746|411.01|-1217.825264|0.3483|-0.20303|-1217.873686|5.09|214.0|6.6696|6.6696
47i_a18|0.0|0|0|0|0.0|0.0|0|7.03438793|1|0.0|-0.006882626|-0.066917145|0|0.037484277|-0.037689885|0.0|0.073977454|-0.040514277|0|0|0.000427479|-0.106018078|-0.162274487|0|0.742536498|0.744472118|-0.068524374|0|0.8030751740000001|-0.0780255879999999|-0.089609068|0.279553995|-54.34379065|137.1555392|-43.46880696|82.81385171|0.8608685909999999|-2.150617629|68.954317|-24.55535669|61.13143233|0.487446923|2795.907966|-1497.876758|1333.332089|-17.10248143|9.573882864|18.67881257|0.951017454|6353.6617320000005|-1043.251367|0.009393984|-502.6804099|1739.959818|6.542785417999999|1.0|0.0|1.0|1.0|4.05|0.0|18.0|-8.98|3.28|2.8|85.29|2.74|134.83|1.0|8.0|33.0|3.0|-6.36|440.54|0.0|1.0|2.5|-4.78|6.58e-06|3.7|0.0|1.04e-09|-0.05062|-1416.233978|1297.7|383.61|0.5085|664.78|-1415.875678|0.5085|-0.18299|-1415.944522|3.5235|19.0|7.7212|7.7212
