molecula|SddssS|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w MLOGP|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
14b_a50|0.0|0.0|0.0|2|2|2|1.267593742|4.240438135|-0.003935732|0.030219907|2.115127752|-0.255822608|0.010215823|0.037777505|10.94501788|2|0.011249462|-0.106938404|-0.1786649189999999|-0.280243276|-0.306633966|1|0.74726683|0.7887047979999999|0.030057537|-0.076752616|0.831689551|0.71456262|1|0.904076348|-0.050362464|-0.076674952|0.022423099|-33.02344264|-50.27694576|14.70317076|25.31245624|0.095923652|62.89861413|-0.025558317|9.64109526|192.8987555|0.637281054|-1.533499045|64.58491917|-16.75898192|47.72661339|2967.872393|-1005.538915|-10.98912227|0.362718946|11.45638132|237.8403928|-659.347336|26.29763086|-180.03459850000002|1577.857852|825.4425942|1.0|1.0|1.0|1.0|0.0|4.64|3.64|0.35|2.32|7.0|5.0|-6.5|441.52|1.0|0.0|-4.78|2.51e-05|0.0111|0.0074099999999999|0.0|0.0|1.3900000000000001e-07|6.12e-05|-0.02486|3.05|4.0775|-1431.068494|-1431.037684|718.64|1253.87|533.25|-1430.72987|-0.16874|-0.1936|0.03081037|6.58|5.1818|5.1818
14k_a23|0.0|0.0|0.0|2|0|0|1.1979621459999998|3.358995671|-0.005866159|0.046283951|0.74561778|-0.299174093|0.010682694|-0.055500851|10.31321813|2|0.009263715|0.082632648|-0.071484865|-0.13187015|-0.463402169|2|0.722187957|0.800643488|0.140087361|-0.091426449|0.864845456|0.659570836|1|0.922397728|-0.0562483359999999|-0.079899943|0.018829201|-37.43135588|-53.17069631|12.53019305|38.76597615|0.077602272|51.64167457|-0.033999976|8.338417622|80.31548917|0.783562394|-1.597998852|64.04991522|-22.62582822|49.96154892|2955.4566170000003|-1063.413926|-15.05671972|0.216437606|15.99703938|144.0318708|-707.6658267999999|28.87559227|-377.4022725|1357.152837|633.3278634|0.0|0.0|0.0|1.0|1.0|3.39|3.56|0.05|3.51|5.0|4.0|-6.03|445.93|0.0|0.0|-5.55|7.49e-07|0.000334|0.00126|0.0|0.0|1.02e-08|4.55e-06|-0.07933|4.1|3.6421|-2089.524497|-2089.501786|691.9|1179.17|552.65|-2089.293765|-0.14784|-0.2271699999999999|0.02271117|4.0|8.4123|8.4123
17b_a6|0.0|3.375166525|0.0|0|1|1|1.425925343|0.0|-0.01272079|0.042739018|0.0|-0.6869226490000001|-0.00460563|-0.0385646|10.949638|1|-0.00194781|0.231025646|-0.10896749|-0.180339002|-0.563310199|1|0.850080948|0.7788169070000001|0.002947625|-0.138423611|0.8370824240000001|0.8013954109999999|0|0.753949098|-0.095450984|-0.109195656|0.03122461|-62.63196368|-71.65078895|20.48861696|155.8689396|0.246050902|161.4509401|-0.041494349|13.44399246|557.7093661|0.7706671740000001|-2.074717455|84.71888279|-27.2272998|83.12058064|2816.0632920000003|-1361.36499|-17.86570631|0.229332826|16.46390151|150.48105900000002|-893.2853154999999|35.32951798|-355.2067434|1766.4758989999998|627.4287311|1.0|1.0|1.0|1.0|2.0|3.53|2.89|0.12|1.7|5.0|5.0|-5.89|409.44|0.0|1.0|-5.17|1.56e-06|0.000637|0.00274|0.0|0.0|9.77e-10|4e-07|-0.05736|4.04|2.9964|-1350.102764|-1350.078181|690.98|1168.62|575.2|-1349.830814|-0.12545|-0.18281|0.02458322|153.0|6.8153|6.8153
12ak_a36|0.0|3.501132553|0.0|0|2|2|1.270373882|0.0|-0.006465433|0.041728395|0.0|-0.407322296|0.0042553209999999|-0.116440196|10.95268014|1|0.005035022|0.198260132|-0.099596099|-0.163978382|-0.439326642|1|0.901715152|0.815627016|0.051506104|-0.0265703679999999|0.860939187|0.860667615|0|0.848705143|-0.069176342|-0.091761476|0.019931266|-49.87483724|-66.15829243|14.3700664|113.186508|0.151294857|109.0807368|-0.032660864|10.36054668|25.9007405|0.737439195|-1.926990997|79.17567486|-23.5478668|64.24490364|2830.816014|-1389.324141|-16.97756755|0.262560805|13.86156772|189.3013851|-1001.676485|31.93194362|-342.3783571000001|1883.984673|799.5563855|1.0|0.0|1.0|1.0|2.0|5.05|0.0|0.24|2.66|6.0|4.0|-6.19|423.51|1.0|1.0|-4.86|1.13e-05|0.0047799999999999|0.00589|0.0|0.0|4.2e-08|1.7800000000000002e-05|-0.04929|4.21|3.6895|-1350.900117|-1350.865407|730.3|1247.89|584.05|-1350.57563|-0.15275|-0.20204|0.03471045|46.0|7.3372|7.3372
9a_a31|0.0|3.348289714|0.0|0|1|1|0.6101356720000001|0.0|-0.01391798|0.036891534|0.0|-0.723734943|-0.006189303|0.03406986|10.31169772|2|-0.0033853629999999|-0.084652799|-0.093527289|-0.15653721|-0.542342338|0|0.8058046320000001|0.782715368|0.045292529|-0.001313433|0.837697452|0.76226755|0|0.691768132|-0.100906991|-0.122626525|0.033245595|-64.75697831|-78.6954713|21.33533299|163.6011874|0.308231868|197.8075471|-0.043430228|13.69193237|95.14995868|0.737758755|-2.0846509230000003|94.03540892|-27.87131275|86.0923113|2855.751316|-1337.8230119999998|-17.886392|0.262241245|15.15483138|168.29310269999996|-858.5468158|37.77835579999999|-305.16297060000005|1813.361078|597.3075924999999|1.0|1.0|1.0|1.0|2.0|3.6|2.78|0.14|1.58|6.0|5.0|-6.39|418.47|0.0|1.0|-4.77|2.42e-06|0.00101|0.00715|0.0|0.0|7.35e-09|3.07e-06|-0.04275|5.27|3.7892|-1691.9526239999998|-1691.9137670000002|680.72|1145.99|540.01|-1691.716118|-0.15757|-0.20032|0.03885662|0.15|6.8239|6.8239
24_a20|0.0|0.0|0.0|1|0|0|1.40648755|1.959359883|-0.001547029|0.03625|2.041494094|-0.083539572|0.009265667|-0.060940703|10.93106245|1|0.008780074|0.1468474119999999|-0.036258691|-0.060582944|-0.188335708|2|0.616352201|0.74131936|0.070857143|-0.07179846|0.802353442|0.607038752|1|0.952027295|-0.061437722|-0.067869875|0.012814211|-38.76683848|-42.82548904|8.085691548|12.83518119|0.047972705|30.27049276|-0.02714795|5.102023479|406.1522673|0.771032243|-1.357397496|51.30386873|-17.13019562|46.85253003|2736.601949|-856.5097809|-10.80905198|0.228967757|12.63879297|144.47729840000002|-540.4525990000001|22.21722343|-342.0394805|1110.861171|664.4562602999999|1.0|1.0|1.0|1.0|0.0|3.4|3.21|0.08|1.86|4.0|5.0|-6.26|402.45|0.0|1.0|-4.93|1.29e-05|0.00519|0.00469|0.0|0.0|4.82e-10|1.94e-07|-0.06748|3.74|3.5876|-1291.896802|-1291.867578|685.66|1169.35|551.25|-1291.647083|-0.15687|-0.22435|0.02922392|318.0|6.4976|6.4976
12k_a36|0.0|3.483171769|0.0|0|2|2|1.297043952|0.0|-0.0071232019999999|0.039061728|0.0|-0.413145744|0.002782748|0.003690005|10.94908765|1|0.003724542|0.163804836|-0.095253274|-0.1619981409999999|-0.4373676689999999|1|0.90500247|0.811903388|-0.09344781|-0.102077284|0.8647233590000001|0.856135378|0|0.8427704640000001|-0.075717305|-0.101946803|0.018067063|-49.87227128|-67.14870046|11.90012613|46.79001927|0.157229536|103.5614526|-0.037758075|7.838185977999999|0.0|0.7806817009999999|-2.038936068|78.24529096|-24.86988906|61.7723974|2792.202559|-1342.974009|-16.38090333|0.219318299|13.89698356|144.457092|-884.5687799000001|31.85663123|-369.7499256|1720.258086|698.847203|1.0|0.0|1.0|0.0|2.0|4.89|0.0|0.12|2.38|6.0|4.0|-6.34|407.47|1.0|0.0|-4.55|2.6e-05|0.0106|0.0115|0.0|0.0|9.66e-08|3.94e-05|-0.0497|3.83|3.6631|-1310.3453949999998|-1310.312649|697.92|1186.08|530.51|-1310.072976|-0.15053|-0.20023|0.03274587|14.0|7.8539|7.8539
12ax_a36|0.0|3.429529478|0.0|0|2|2|1.280791885|0.0|-0.007681676|0.043383838|0.0|-0.414810497|-0.001012333|-0.057017299|10.958822|1|-0.00097037|0.128253871|-0.101451485|-0.1716508239999999|-0.440372791|1|0.884841888|0.836170906|-0.0394369539999999|-0.056676035|0.892249657|0.771220556|0|0.846837721|-0.073739612|-0.107815607|0.019128091|-49.32384393|-72.11700812|12.79462904|36.17982162|0.153162279|102.4490387|-0.038813619|8.558226304|1.236876307|0.7648530440000001|-1.940680931|84.58859134|-25.96212292|62.11847297|2926.929456|-1298.106146|-17.36585896|0.235146956|14.78635841|157.28794140000002|-868.2929481000001|33.94393618|-354.3162187|1697.196809|661.6709012|1.0|0.0|1.0|0.0|2.0|4.74|0.0|0.14|2.99|5.0|4.0|-6.26|450.32|1.0|1.0|-5.18|8.27e-06|0.00372|0.00295|0.0|0.0|1.74e-08|7.83e-06|-0.05596|4.42|3.8889|-2152.130959|-2152.100515|699.67|1182.31|552.0|-2151.910753|-0.15728|-0.21324|0.03044421|12.0|7.9208|7.9208
11g_a5|0.0|2.9590700880000003|0.0|1|0|0|1.388236041|1.984996534|-0.004593347|0.020943152|0.0|-0.252634073|0.00599982|-0.137618073|10.94877951|2|0.006964153|-0.14133011|-0.137739838|-0.233590516|-0.267507083|2|0.777565622|0.814159231|-0.075382189|-0.01453517|0.8737292720000001|0.73551511|0|0.837943738|-0.067247149|-0.076326887|0.023215707|-44.19305139|-50.16001519|15.25675|68.77977167|0.1620562619999999|106.4990972|-0.025442296|10.02633335|0.0|0.543581314|-1.297557078|71.21847290000001|-16.72000506|59.4498014|2823.738452|-852.7202582999998|-10.98794595|0.456418686|18.16867625|299.94631180000005|-560.3852433999999|30.75897687|-57.28097817|1568.70782|648.1198739|1.0|1.0|1.0|1.0|1.0|3.17|2.34|0.08|1.06|7.0|5.0|-6.84|408.46|0.0|0.0|-4.31|7.65e-05|0.0312|0.0199|0.0|0.0|9.229999999999999e-10|3.770000000000001e-07|-0.04322|2.3|4.2083|-1330.189793|-1330.144218|693.48|1180.25|542.13|-1329.927772|-0.1714|-0.2146199999999999|0.04557484|0.03|7.5229|7.5229
14f_a23|0.0|0.0|0.0|2|0|0|1.197963246|3.366063739|-0.006791105|0.04255787|0.745818086|-0.373510774|0.010561248|-0.0555907109999999|10.3132176|2|0.010508236|0.101910723|-0.110069159|-0.199540201|-0.399688849|2|0.756252127|0.796412133|0.070514687|-0.06885759|0.854683662|0.71381683|1|0.894162392|-0.059927056|-0.084419703|0.027134452|-40.51498423|-57.07376861|18.34483401|96.47955427|0.105837608|71.55380685|-0.031450478|12.40242234|96.60179161|0.665778294|-1.603974359|74.08536976|-21.26277654|58.85981824|3014.916135|-1084.401604|-14.37516058|0.334221706|15.58565565|225.9578225|-733.1331894|31.93672236|-224.1560124|1628.77284|683.7405759|0.0|0.0|1.0|1.0|1.0|3.57|3.61|0.09|2.72|6.0|5.0|-6.47|441.51|0.0|0.0|-5.02|2.32e-06|0.0010199999999999|0.0042299999999999|0.0|0.0|3.11e-08|1.3699999999999998e-05|-0.07163|3.23|3.5753|-1744.452086|-1744.429532|711.98|1210.19|572.35|-1744.182678|-0.1458|-0.21743|0.02255331|2.0|8.6459|8.6459
