molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|MATS1i|n6aHRing|MATS8s|nFaHRing|FNSA5|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|TPSA_y|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
4p_a46|0.0|0|0|0|0.0|7.825245291|1|1|1.134636977|2.102855253|-0.004413243|5.587248657999999|0|0.046533816|-0.164311513|0.0|-0.233901882|10.93681929|1|0.004453195|-0.251219946|0.066453878|0|-0.078703563|0|-0.083274013|-56.55658053|-47.22779946|0.094033511|53.32991189|-0.029978645|2.379548177|0.0|0.87420565|-32.07534663|60.7522985|0.423511708|513.8073925|-850.1003902999998|-9.642472876|0.12579435|10.10955243|0.734640605|5167.091582|-482.1236438|0.006740305|-424.4519674|3.822678404|1.0|1.0|1.0|0.0|1.0|3.2|0.3|4.85|61.84|0.0|107.89|0.0|1.0|27.0|3.0|-5.09|357.45|0.0|4.25|-5.4|1.59e-06|4.03e-06|4.77|0.0|8.95e-08|3.2e-05|-0.0393|4.89|3.9958|-1129.65844|598.19|226.26|537.47|0.43709|0.70138|0.0763|0.03979459|341.0|6.4672|6.4672
35_a18|0.0|0|0|0|0.0|7.03438793|2|2|1.251175948|0.0|-0.00622005|4.844187086|1|0.03531746|-0.069149293|0.0|-0.44784362|10.94702087|0|0.00113101|-0.104482176|-0.078001173|0|-0.032017257|0|-0.084219749|-60.302584200000005|-62.06945887|0.199234055|146.8343246|-0.033440195|4.809030636|74.92670772|0.874573807|-44.44264921|66.82777970000001|0.465531336|590.1597827|-1675.875389|-18.16338657|0.125426193|17.18442554|0.87101708|6995.248058|-1235.110287|0.007954001|-552.1173777|5.862051629|1.0|0.0|1.0|1.0|3.0|0.0|0.3|4.13|85.29|1.0|151.05|0.0|1.0|36.0|3.0|-6.0|480.6|0.0|3.07|-5.53|8.629999999999999e-07|2.96e-06|4.55|0.0|2.81e-10|1.35e-07|-0.04879|8.09|3.2146|-1533.002975|796.47|385.69|657.07|0.69279|0.69279|0.4981|0.02600607|24.0|7.6198|7.6198
14a_a22|0.0|0|0|0|0.0|6.842683282|0|0|1.4229176680000002|1.646649187|-0.0050042229999999|4.727387819|2|0.038167849|0.021482585|1.614660505|-0.280236463|10.9464374|1|0.005757758|0.036467904|-0.097476465|2|-0.09744639|1|-0.081479363|-42.39063895|-55.51601021|0.135922381|92.61079081|-0.031338217|9.873779458|60.38977977|0.7007904070000001|-28.88288575|56.88212098|0.446584227|588.739773|-1110.320204|-14.54840956|0.299209593|14.55117701|0.8069597009999999|6348.976909|-756.5172972|0.021742777|-273.61731430000003|14.81445329|1.0|1.0|1.0|1.0|1.0|2.86|0.08|3.87|85.59|0.0|124.05|0.0|1.0|32.0|5.0|-6.61|420.47|0.0|3.19|-4.68|2.25e-05|2.1e-05|3.18|0.0|6.1e-10|2.56e-07|-0.06145|4.98|3.5707|-1368.35698|695.62|244.77|534.87|0.45928|0.63156|0.0578|0.03539365|38.0|7.4202|7.4202
36_a18|0.0|0|0|0|0.0|7.03438793|2|2|1.25117638|0.0|-0.006407141|4.844187086|1|0.036625514|-0.05224259|0.0|-0.442092758|10.94702093|0|0.000825855|-0.079553246|-0.079721028|0|-0.010091893|0|-0.079805761|-55.38202488|-56.82615305|0.195706133|139.3536816|-0.031922305|4.786442152|83.34177364|0.812056067|-39.43509046|62.10402945|0.4751830729999999|572.70209|-1477.479979|-16.1853561|0.187943933|18.21710397|0.905426346|6799.65027|-1052.048147|0.0123136069999999|-444.4026478999999|8.767974776|1.0|0.0|1.0|1.0|3.0|0.0|0.28|3.73|85.29|1.0|146.24|0.0|1.0|35.0|3.0|-6.18|466.57|0.0|2.8|-5.28|2.09e-06|5.19e-06|4.18|0.0|6.87e-10|3.210000000000001e-07|-0.04991|7.75|3.1908|-1493.686737|769.73|388.57|636.33|0.69372|0.69372|0.4674|0.02564498|32.0|7.4949|7.4949
4_a18 (SD-208)|0.0|0|0|0|0.0|0.0|2|2|1.304335262|0.0|-0.012457606|0.0|3|0.040864198|-0.020226647|0.0|-0.498304229|10.95382003|0|-0.015153358|-0.047745689|-0.15379315|1|-0.058455902|0|-0.099573708|-40.10670787|-51.27494074|0.22090326|113.7529353|-0.034985357|5.615248385|0.0|0.602029021|-20.652731600000003|51.01127638|0.454067432|401.1916387|-666.5742296|-9.276994128|0.397970979|11.42979655|0.831728055|5348.394288|-343.2487827|0.035654206|-105.0785813|18.35993987|0.0|1.0|1.0|1.0|1.0|2.54|0.0|3.54|76.48|0.0|92.87|0.0|1.0|25.0|6.0|-6.31|352.75|0.0|3.11|-4.38|5.12e-05|4.14e-05|3.02|0.0|7.06e-09|2.49e-06|-0.09992|2.58|3.2777|-1542.296276|537.47|239.56|396.17|0.4646|0.69028|0.2316|0.0199445|0.08|7.0969|7.0969
17a_a50|0.0|0|1|1|0.0|7.934155233999999|1|1|1.349854788|4.319202937|-0.002225436|5.82008293|1|0.034142512|-0.109740063|2.189373662|-0.133526134|10.94500663|2|0.012893333|-0.178162528|-0.239713023|1|-0.204032723|1|-0.078525868|-29.57096251|-51.14229199|0.07699335|50.14419437|-0.0280449529999999|5.847033234|84.34722313|0.7899109000000001|-19.25896309|38.54872522|0.486855438|601.1353533|-1022.84584|-11.89568886|0.2100891|15.76161018|0.948768582|5718.782531|-666.1585759999999|0.011602876|-377.6260803|7.556715901|1.0|1.0|1.0|1.0|0.0|3.29|0.29|3.39|51.77|0.0|121.78|0.0|1.0|30.0|4.0|-6.44|398.5|0.0|3.27|-4.44|0.000102|3.61e-05|3.23|0.0|1.75e-07|6.97e-05|-0.03196|3.08|4.0477|-1258.566007|705.96|291.88|616.93|0.6244|0.66046|0.1754|0.02594911|85.0|7.0706|7.0706
12_a47|0.0|1|1|1|2.903215905|6.605297921|0|0|1.304330736|0.0|-0.005522244|4.59511985|2|0.036632997|0.001435849|1.555521837|-0.209845277|10.95005729|1|-0.004332024|0.003417588|-0.006318684|2|0.055943216|1|-0.091853238|-44.18983348|-47.83891561|0.2159289589999999|112.4599133|-0.034116917|4.886454935|0.0|0.680723821|-23.01490672|53.5720844|0.4792593739999999|408.3591283|-621.9059029|-9.25429818|0.319276179|13.52358352|0.920341815|4816.005822|-323.9004363|0.025457205|-188.2488142|13.25859692|1.0|0.0|1.0|1.0|2.0|1.67|0.0|4.19|66.49|0.0|91.63|0.0|1.0|24.0|4.0|-5.94|339.75|0.0|3.37|-4.56|3.11e-05|2.77e-05|3.43|0.0|7.69e-09|2.61e-06|-0.0623|3.01|3.9538|-1488.101254|537.79|288.96|400.09|0.66387|0.68557|0.2241|0.03721125|6.0|8.2|8.2
13_a1|0.0|1|0|0|3.409865599|7.423568444|1|1|1.430073963|0.0|-0.012199718|5.351858133|1|0.036382114|0.1129747169999999|0.0|-0.597786194|10.94989555|1|-0.005924486|0.1769162319999999|-0.07665159|1|-0.051729721|0|-0.10668313|-64.94184903|-62.04288975|0.320539533|186.4137189|-0.040302516|11.41059871|528.3795274|0.7082629840000001|-37.76773325|84.56244352|0.477212829|395.1486144|-1054.729126|-13.63090514|0.291737016|14.33466671|0.912824292|5456.353212|-613.3907313999999|0.026679865|-242.2358135|15.51600461|1.0|1.0|1.0|1.0|2.0|2.83|0.09|4.75|80.26|0.0|104.88|0.0|1.0|28.0|5.0|-6.48|371.39|0.0|3.23|-4.34|5.16e-05|4.58e-05|2.94|0.0|1.14e-08|4.24e-06|-0.04962|3.17|3.4483|-1238.395767|613.52|304.01|472.52|0.65363|0.69782|0.3535|0.0284695999999999|0.26|6585.0|6585.0
galu_a46|0.0|0|0|0|0.0|7.535296702|1|1|1.343828866|2.082220175|-0.00642454|5.4161004020000005|2|0.039550827|-0.090581301|1.721297609|-0.327651527|10.92740177|1|0.003107816|-0.150645957|0.028964355|2|0.044184467|1|-0.089050651|-50.93538037|-49.84028137|0.236203592|132.199522|-0.03220981|3.870487977|68.43088526|0.7832175929999999|-28.50774993|57.85086047|0.468241745|427.4851161|-847.2847833999999|-10.08962292|0.2167824069999999|12.12170938|0.880553787|5641.451892|-474.2122773|0.013967104|-317.0250717|7.817173532999999|0.0|1.0|1.0|1.0|1.0|2.75|0.18|3.69|86.69|0.0|108.18|0.0|1.0|28.0|4.0|-6.86|369.42|0.0|2.84|-3.99|0.0001409999999999|0.000102|2.39|0.0|7.45e-08|2.75e-05||||||||||||51.0|7.2924|7.2924
17c_a50|0.0|0|1|1|0.0|7.934155233999999|2|2|1.347835869|4.349159921|-0.002676029|5.82008293|2|0.031870748|0.021572081|2.193763306|-0.1766179239999999|10.94500663|2|0.012222674|0.034485992|-0.233451925|1|-0.139943634|1|-0.073693343|-35.70979598|-50.69922125|0.10280106|70.72462009999998|-0.021745577|10.25908547|94.15397246|0.569750429|-24.567468100000003|50.6217864|0.49503436|617.2509739|-912.5859825|-10.29240792|0.430249571|16.45688922|0.98033276|6438.380804|-627.8368834|0.0232952879999999|-95.97318605|16.02658985|0.0|1.0|1.0|1.0|0.0|3.61|0.35|3.59|61.0|0.0|134.28|0.0|1.0|33.0|5.0|-6.96|440.54|0.0|3.1|-4.43|0.000158|3.75e-05|2.86|0.0|1.6100000000000005e-07|7.08e-05|-0.03121|2.74|4.0432|-1411.187392|746.5|292.44|596.23|0.63122|0.66213|0.1801|0.02957871|69.0|7.1612|7.1612
