molecula|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|PBF|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12x_a36|0|0.0|7.412764017000001|2|2|0.629399587|0.0|-0.007008724|-0.046532211|0.041767677|0.021670322|-0.40650598|0.00285431|10.33556641|1|0.003710345|0.038200407|-0.07550872|-0.4331246039999999|1|0.906423012|0.828393514|0.056034339|-0.041914045|0.8792981679999999|0.855081905|0|0.3403819629999999|-49.60929169|11.85578416|81.81168174|0.163597165|-0.036722107|-47.22198284|7.974776509|0.8295471390000001|0.7768535409999999|-1.982993755|81.1499815|2884.428214|562.6051882|-1333.8579550000002|-16.61514211|0.223146459|16.20591229|6193.10485|150.09915149999998|-897.2176739|31.79630645|0.016274369|1717.000548|725.9470896|10.94693123|1.0|0.0|1.0|1.0|1.0|4.87|0.0|-7.05|3.33|2.61|94.5|2.51|1.0|0.0|135.47|0.0|1.0|6.0|-4.85|31.0|4.0|0.0|2.33|1.4300000000000002e-05|0.0061|3.09e-05|3.19|0.0|-0.05311|3.37|-1670.419519|719.63|1209.23|0.3901|319.74|569.01|0.6853600000000001|-1670.182026|-0.1517099999999999|5.6653|0.03331471|-1670.244307|7.0|8.1549|8.1549
8d_a32|1|0.0|7.765993078999999|0|0|0.609420756|0.0|-0.010604502|-0.089662873|0.0388738739999999|0.062782795|-0.519620595|-0.006974711|10.31100269|3|-0.005162219|0.113030335|0.001558357|-0.629535754|0|0.825020753|0.825978584|-0.054095278|-0.11492754|0.875986707|0.789198712|1|0.261692269|-68.88621406|10.01177286|321.2496412|0.2892958439999999|-0.03346862|-43.43251025|6.291941176|89.20994250000001|0.708567136|-1.539556512|81.54594837|2556.198518|446.6450457|-967.5408291|-13.21859008|0.2914328639999999|15.29958432|5523.492436|183.1522214|-608.0551435|29.684549600000004|0.019788058|1365.489282|557.1050635|12.43588915|1.0|0.0|1.0|1.0|1.0|3.5|2.84|-7.26|6.42|4.32|154.03|1.1|1.0|0.0|110.38|1.0|1.0|7.0|-6.08|27.0|4.0|1.0|3.57|8.41e-07|0.000334|4.36e-05|3.17|0.0|-0.0535|4.26|-1880.733071|671.71|111.16|0.3018|348.39|540.98|0.7026100000000001|-1880.540067|-0.14765|1.0269|0.04065536|-1880.602038|8.0|8.0809|8.0809
13_a47|1|0.0|6.605297921|0|0|1.417757826|0.0|-0.0049262279999999|-0.0777650159999999|0.036632997|-0.047120094|-0.20197533|-0.00105415|10.9452934|1|-0.000211465|-0.108780879|-0.0101047869999999|-0.316563793|2|0.6427334020000001|0.794037882|0.030290722|0.065869272|0.8582665429999999|0.626280497|1|0.244975411|-41.79730418|9.13564442|63.12660940000001|0.2183244369999999|-0.032468557|-23.38063458|4.705524762|0.0|0.688261242|-1.23380515|57.38622954|2190.316257|402.6200617|-635.4998528|-8.613918003|0.311738758|13.33103985|4542.479565|160.5682509|-327.3288841|24.29844849|0.023284817|923.3410426|359.12161539999994|11.99338291|1.0|1.0|0.0|1.0|1.0|2.9|1.75|-7.9|4.06|4.63|66.49|2.34|0.0|0.0|91.59|0.0|1.0|3.0|-4.24|24.0|4.0|0.0|3.19|5.79e-05|0.0185|5.41e-05|3.17|0.0|-0.05465|2.7|-1067.78457|542.62|895.21|0.3382|307.63|404.73|0.67466|-1067.665127|-166.0|3.5455|0.03639189|-1067.71601|16.0|7.8|7.8
9c_a31|0|0.0|7.765993078999999|1|1|0.610135804|0.0|-0.013082561|-0.055520387|0.03482906|-0.0384827639999999|-0.6933757159999999|-0.003618466|10.311698300000002|2|-0.000813398|-0.062065125|-0.138799714|-0.546598398|0|0.8083148840000001|0.842823186|-0.000533581|-0.108617754|0.8856644770000001|0.770283733|0|0.287455956|-65.84728287|19.30758668|153.5739377|0.325309894|-0.035867334|-52.02424796|12.30439782|552.8237349999999|0.670716706|-1.7933667130000002|97.22026028|2592.448925|429.9685721|-1142.882218|-14.56678943|0.329283294|15.04941978|5658.985169|209.8466636|-728.3394714|34.07943198|0.024456662|1703.9715989999995|583.9691392000001|15.58581614|1.0|1.0|1.0|1.0|1.0|3.66|3.09|-7.24|5.64|3.7|117.37|1.08|2.0|0.0|108.16|0.0|1.0|8.0|-5.23|28.0|5.0|0.0|3.32|5.85e-06|0.00233|6.94e-05|3.1|0.0|-0.03249|4.94|-1618.115927|691.3|1147.93|0.2554|322.12|588.58|0.7007399999999999|-1617.892493|-0.15975|1.3617|0.04177078|-1617.9568470000002|0.42|6.3768|6.3768
21b_a23|1|0.0|7.525639975|0|0|1.197963051|3.351726269|-0.005936474|-0.008526338|0.042455556|0.057405955|-0.326506055|0.01055698|10.31321725|2|0.009872313|0.107996329|-0.069382957|-0.481470603|2|0.7038407329999999|0.7717839409999999|0.131951284|-0.078097375|0.8339434929999999|0.668547062|1|0.224930782|-41.81114831|10.15224639|41.6766724|0.0692712809999999|-0.034219814|-40.84133198|7.117014296|86.65837165|0.812334718|-1.745210489|67.68046598|3074.083057|652.4673795|-1223.442332|-16.81701905|0.187665282|16.20152864|6919.229053|131.5587155|-857.6679716|29.53101081|0.013439264|1506.081551|712.6737861|9.421307298|0.0|0.0|1.0|1.0|1.0|3.59|3.42|-7.84|3.92|4.2|128.81|2.6|2.0|1.0|129.97|0.0|1.0|5.0|-6.1|33.0|5.0|0.0|3.57|8.02e-07|0.000361|6.06e-06|3.7|0.0|-0.08401|3.57|-1761.4722969999998|735.65|1247.38|0.2607|309.79|611.6|0.57848|-1761.230923|-0.15033|9.5312|0.02657688|-1761.294175|85.0|7.0691|7.0691
8a_a31|0|0.0|7.765993078999999|1|1|0.610138387|0.0|-0.015034136|-0.158899731|0.043817204|-0.1480271209999999|-0.586331322|-0.013230176|10.31170053|2|-0.009293513|-0.258538098|-0.054025775|-0.520051508|0|0.938325481|0.837862749|0.0502030679999999|-0.030149254|0.895174844|0.883113019|0|0.272259026|-60.46233433|18.56711239|131.2406629|0.405860136|-0.0416959379999999|-33.35560699|9.179668678|465.4559302|0.666437359|-1.501053781|82.32407724|2128.209198|293.7455749|-742.1281291|-10.19199103|0.333562641|10.63792161|4538.505909|164.9149565|-366.9116769|30.93264504|0.030052065|1113.575221|324.7430642|14.85788369|0.0|1.0|0.0|1.0|1.0|3.34|2.05|-5.33|4.16|2.54|114.29|0.36|0.0|0.0|83.83|0.0|2.0|3.0|-3.57|22.0|5.0|0.0|2.13|0.000269|0.0846|0.000773|1.56|0.0|-0.02993|1.53|-1347.507102|538.75|872.11|0.2604|325.45|396.15|0.7027100000000001|-1347.3959220000002|-0.1587599999999999|3.7141|0.03432763|-1347.446223|0.79|6.1024|6.1024
2_a3|0|0.0|6.823286122000001|0|0|0.605017347|0.0|-0.008422099|-0.09743592|0.034166667|-0.103423993|-0.311617665|-0.006049098|10.31162302|1|-0.0045709459999999|-0.18746945|0.017902469|-0.568019422|2|0.899733837|0.769486995|-0.192034735|0.065162907|0.8401405609999999|0.841871246|1|0.4551292289999999|-49.07072207|5.601853871|228.178656|0.249793422|-0.033150466|-20.68016573|2.628543258|74.89956423|0.727984269|-1.127115845|53.05538527|2056.399995|352.0174726|-528.8736235|-7.298882022000001|0.272015731|9.016533738|4446.904467|127.637231|-248.1619888|21.36736636|0.019143348|726.4904564|330.4083896|8.982583312000001|1.0|1.0|1.0|1.0|1.0|2.97|2.22|-6.89|4.34|4.01|92.93|1.6|0.0|0.0|90.49|0.0|1.0|2.0|-4.75|22.0|3.0|0.0|3.06|1.7800000000000002e-05|0.0054|5.33e-05|3.13|0.0|-0.06423|1.97|-1272.114086|503.34|841.85|0.1824|227.92|340.69|0.37284|-1272.001389|-0.14605|4.0121|0.02925101|-1272.04778|3981.0|5.4|5.4
12x_a30|0|0.0|7.412764017000001|2|2|0.604984021|0.0|-0.006008579|-0.0335688279999999|0.043383838|-0.0606216429999999|-0.3545061539999999|0.00604028|10.31162819|1|0.006346396|-0.104089964|-0.053700437|-0.458718546|1|0.842068099|0.782514704|-0.062251445|-0.1759406839999999|0.829606585|0.803183654|0|0.398925866|-47.48669555|9.745611551|74.51844582|0.151155723|-0.035022402|-39.99960559|6.435648079|0.0|0.824674971|-1.926232129|68.52587215|2845.417984|560.5459455|-1272.013771|-15.27257668|0.175325029|14.14885734|6359.545311|115.7782842|-839.9917174000001|28.04441012|0.012044556|1542.442557|754.3941655|7.953787804|1.0|0.0|1.0|1.0|0.0|4.86|0.0|-7.38|4.87|3.23|81.65|3.25|2.0|0.0|137.21|0.0|1.0|5.0|-6.04|31.0|4.0|0.0|3.19|9.14e-07|0.00039|3.48e-06|4.6|0.0|-0.05093|4.45|-1654.3784|703.75|1211.79|0.1517|355.95|558.65|0.68589|-1654.1207|-0.14783|4.3702|0.03136007|-1654.183467|22.0|7.6556|7.6556
12o_a30|0|0.0|7.412764017000001|2|2|0.604984133|0.0|-0.0068750669999999|-0.028326022|0.040899471|-0.089996613|-0.364378536|0.00372838|10.31162888|1|0.003603419|-0.157974241|-0.051371057|-0.465857798|1|0.8264832879999999|0.815003426|-0.054392357|-0.149451598|0.870930234|0.7463962120000001|0|0.402022325|-49.48891079|9.948252054|75.15128057|0.1556551169999999|-0.037808155|-40.37291185|6.401442327000001|0.0|0.8131344979999999|-1.852599578|71.87393121|2860.371518|543.3140456|-1192.099807|-15.65480256|0.186865502|13.95467208|6542.77337|120.2431068|-767.0853252|29.91948755|0.0141914589999999|1466.05489|652.8825454|9.131836103|1.0|0.0|1.0|1.0|0.0|4.63|0.0|-7.22|4.47|3.27|81.65|3.31|2.0|0.0|132.29|0.0|1.0|5.0|-5.93|30.0|4.0|0.0|3.11|1.19e-06|0.0005139999999999|3.61e-06|4.49|0.0|-0.05085|4.45|-2035.338699|687.92|1162.63|0.1967|238.73|528.25|0.3493699999999999|-2035.139147|-0.1478799999999999|5559.0|0.03392126|-2035.199757|16.0|7.8097|7.8097
15a_a10|0|0.0|7.535296702|1|1|1.34383719|2.141907675|-0.00244937|0.022297552|0.033912037|-0.125297206|-0.144512841|0.011418154|10.92966696|1|0.01192767|-0.19937094|-0.179723568|-0.188634555|2|0.7408341359999999|0.77630271|-0.0232534929999999|-0.1074837719999999|0.820233357|0.713078124|1|0.754451037|-29.50952422|10.10411407|42.41151044|0.084862776|-0.025155581|-31.83957238|6.503087289|122.7715002|0.676473201|-1.3835569680000002|60.98047923|2656.305166|588.9895149|-890.4681466|-10.42022369|0.323526799|11.33516398|5929.563906|208.2243923|-573.1123029|23.93343877|0.017883602|1316.339132|697.5493042|11.51002664|0.0|1.0|1.0|1.0|1.0|3.5|3.58|-7.79|3.95|4.05|56.07|1.93|1.0|0.0|118.92|0.0|1.0|6.0|-3.97|30.0|5.0|0.0|3.33|0.000108|0.0432|3.94e-05|3.12|0.0|-0.04742|2.4|-1278.4225210000002|687.57|1179.28|0.3558|215.08|563.27|0.47484|-1278.141052|-0.1559299999999999|4.7512|0.02976259|-1278.200428|24.0|7.6198|7.6198
