molecula|SddssS|NaaNH|NaasN|nAHRing|SaasN|SRW07|JGI4|MATS7i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8s|MATS8d|nFaHRing|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|FNSA2|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
16b_a23|0.0|0|2|1|3.418247774|5.351858133|0.037664609|0.054655144|10.31321583|-0.05237763|2|0.011266252|0.099244509|-0.123524943|-0.224300431|-0.401493392|0.75524548|0.14319927|-0.09063701|1|-0.050637391|0.2256448969999999|0.018614978|-37.52431601|-58.69232154|13.79443768|7.971529518|52.92522904|-43.49333918|10.22222569|-1.821661419|-23.2745413|0.4870072789999999|688.1144512|-1349.923395|0.261023|9.472884487|18.46592377|0.949345397|193.4284005|-1000.346801|0.018384316|-354.1828792|1826.746158|896.9989312000001|13.6235075|1.0|0.0|1.0|1.0|0.07|26.0|-7.33|3.02|108.26|2.0|1.0|0.0|1.0|6.0|36.0|-6.3|489.57|0.0|0.0|2.9|-5.67|6.41e-07|0.000314|0.0|4.6200000000000003e-08|-0.07352|1.6041|-1877.655481|-1877.615701|772.84|1340.35|772.92|772.92|607.92|-1877.270284|0.3456|-0.13741|9.2317|-0.21093|0.03978022|-1877.335869|14.8849|96.0|7.0191|7.0191
19e_a38|0.0|1|0|2|0.0|5.351858133|0.04508642|0.021678225|10.94917392|-0.038386106|1|0.000347207|0.045449529|-0.091460175|-0.191751024|-0.436305701|0.723755855|0.04818471|-0.064035403|0|-0.083623427|0.552393659|0.02118651|-56.34606212|-68.82539051|14.27562164|118.734325|150.553721|-46.37503972|9.619015829|-2.042881001|-25.49088538|0.4655978389999999|523.2534216|-1376.50781|0.250809026|6.596408983|12.34352977|0.871249918|168.99691289999998|-927.5007945|0.020114756|-335.8133169|1837.325672|696.3887025|13.55346651|1.0|0.0|1.0|3.0|0.12|17.0|-7.28|4.03|81.23|2.0|0.0|0.0|1.0|6.0|32.0|-6.39|427.48|0.0|1.0|3.3|-4.72|1.15e-05|0.0049|0.0|5.27e-08|-0.05139|5.2322|-1409.582478|-1409.547647|685.34|1183.12|321.31|236.96|532.67|-1409.315831|0.3738|-0.15584|5.8426|-0.20723|0.03483011|-1409.37733|8.0952|0.01|8.0083|8.0083
11_a4|0.0|0|1|1|2.159635561|5.4161004020000005|0.03617284|-0.017835936|10.33765061|-0.0043410079999999|1|0.010782511|-0.030003079|-0.0278843589999999|-0.046906237|-0.145254541|0.6575743310000001|-0.163623353|-0.007574475|1|-0.054262142|0.4523305489999999|0.009336075|-31.35942689|-37.74083422|5.395547437|12.88007087|40.38918044|-21.81135655|3.118219598|-1.110169356|-13.65094004|0.480360734|537.5354202000001|-641.5941818|0.243908684|6.850305797000001|13.18281017|0.924411925|140.96082869999998|-370.7930613|0.011937709|-296.0029432|848.5670554999999|575.2252237|6.89909579|1.0|1.0|1.0|0.0|0.23|21.0|-8.05|4.97|68.9|2.0|0.0|0.0|1.0|4.0|27.0|-5.74|372.49|0.0|1.0|4.16|-4.97|7.27e-06|0.00271|0.0|8.89e-09|-0.05582|4907.0|-1467.463842|-1467.440475|630.04|1071.03|328.0|252.67|479.99|-1467.20045|0.0403|-0.15885|4187.0|-0.2146699999999999|0.02336674|-1467.255521|5.3012|0.11|6.9586|6.9586
14s_a23|0.0|0|2|0|3.336763335|5.351858133|0.045277778|0.049317519|10.31321812|-0.064006338|2|0.009263715|0.0909774219999999|-0.071484865|-0.13187015|-0.457212212|0.722187957|0.096014944|-0.1050445769999999|1|-0.055037441|0.2387634619999999|0.019970955|-35.30692476|-51.64162341|12.81151517|30.34480575|46.42188642|-33.12848261|8.218681552|-1.610008704|-21.9751589|0.470919749|595.0854952000001|-1032.832468|0.2251838339999999|7.548546899|14.26730044|0.890072438|144.457092|-662.5696522999999|0.017330177|-352.5931977|1333.003252|633.3278634|11.11743642|0.0|0.0|1.0|1.0|0.05|26.0|-7.99|4.0|105.02|2.0|1.0|0.0|1.0|5.0|31.0|-6.03|445.93|0.0|0.0|4.01|-5.55|7.49e-07|0.000334|0.0|1.02e-08|-0.07783|3.6828|-2089.521231|-2089.500101|668.66|1164.32|336.66|336.66|528.82|-2089.2914530000003|0.3669|-0.1515|4.7032|-0.22933|0.02112956|-2089.352478|6.4428|3.0|8.5482|8.5482
17a_a10|0.0|0|1|2|2.118111229|5.4161004020000005|0.036545455|-0.082914437|10.92970797|0.031632653|1|0.01029375|-0.132166258|-0.225935253|-0.360142554|-0.275154041|0.7019075779999999|0.029106767|0.054069767|1|-0.055423599|0.463842217|0.020088947|-39.18491085|-58.46202420000001|14.20303963|51.96456548|103.34686|-41.33310046|10.04165819|-1.488408763|-16.70343549|0.4918223679999999|603.6608262999999|-1052.3164359999998|0.4352739579999999|8.621193279|16.96492079|0.967815851|307.7420338|-743.9958084|0.0254938|-91.52361858|1863.410498|911.2106544|18.02431251|0.0|1.0|1.0|0.0|0.33|21.0|-7.32|3.31|76.38|1.0|0.0|0.0|1.0|6.0|35.0|-7.43|468.55|0.0|0.0|2.64|-4.32|0.00021|0.0986|0.0|4.74e-08|-0.04641|5.5285|-1524.557372|-1524.52012|767.6|1326.24|310.84|224.26|603.73|-1524.187115|0.0867|-0.16562|4.1012|-0.21203|0.03725238|-1524.252023|5.3803|49.0|7.3098|7.3098
6_a3|0.0|0|0|0|0.0|4.727387819|0.038650794|-0.025021661|10.3116226|0.032782484|1|-0.006696449|-0.0445675709999999|0.020589494|0.036673175|-0.594308852|0.881253042|-0.155862559|0.055002252|1|-0.1042506469999999|0.556539611|0.010921391|-52.01903278|-49.23401228|5.449560482000001|236.2008316|108.118071|-24.56680878|2.7192240510000003|-1.282699916|-18.8247694|0.387883362|390.8623623|-640.0421597|0.19718501|5.498222293|8.982311462|0.633675574|98.39146166|-319.3685142|0.0150025189999999|-302.19751|797.2473951000001|353.7528308|7.485963593999999|1.0|1.0|1.0|1.0|0.0|21.0|-7.48|4.96|92.93|1.0|0.0|0.0|1.0|2.0|23.0|-5.68|338.81|0.0|1.0|3.63|-4.87|3.67e-06|0.00124|0.0|3.28e-08|-0.06529|5.8279|-1731.735113|-1731.7043199999998|524.88|884.88|365.05|212.74|366.93|-1731.602363|129.0|-0.1465|2.8131|-0.21179|0.03079258|-1731.6508010000002|3.7185|1778.0|5.7501|5.7501
9g_a40|0.0|0|1|0|1.849105962|5.4161004020000005|0.043730159|0.07954859|10.31197177|-0.145879501|2|0.0115573539999999|0.133954053|-0.037217966|-0.062672355|-0.383703998|0.694156166|-0.384131901|-0.242405063|1|-0.063539055|0.002717414|0.021367335|-33.47455057|-41.63731423|11.25704374|65.74631496|50.29077056|-21.93596333|5.930596229|-1.185495647|-16.43578193|0.476386801|476.5434822|-624.5597134|0.259759794|8.180261533|15.62271835|0.909806709|136.8503571|-329.0394499|0.018087202|-253.1335385|843.7257374|384.6422631|9.528957565|0.0|1.0|0.0|1.0|0.06|22.0|-6.43|2.91|72.28|0.0|0.0|0.0|1.0|3.0|23.0|-7.17|302.33|0.0|0.0|1.93|-3.09|0.00323|977.0|0.0|3.720000000000001e-07|-0.0624|3.0778|-1332.487689|-1332.476347|559.04|923.42|402.84|402.84|469.6|-1332.31775|0.3563|-0.12765|3.4787|-0.19005|0.01134289|-1332.369643|5063.0|3548.0|5.45|5.45
9s_a24|0.0|1|0|1|0.0|4.59511985|0.023585859|-0.050919714|10.96129902|0.013901071|1|0.007695726|-0.0897306019999999|-0.204128966|-0.359715589|-0.248704391|0.799076569|0.030228027|0.0256742079999999|0|-0.049825449|0.483170382|0.016792118|-30.93968263|-39.48555839|10.42725806|33.24649431|72.43525688|-24.51900941|6.474925237000001|-0.953816666|-12.08741583|0.47085169|548.5261887|-592.2833757999999|0.554839231|9.124394347|17.24354813|0.889829339|344.5337711|-367.7851412|0.03496522|68.10609672|1330.4932|604.8829955|21.71205366|0.0|1.0|1.0|1.0|0.04|29.0|-8.11|3.15|77.21|1.0|0.0|0.0|1.0|4.0|30.0|-7.2|393.44|0.0|0.0|2.63|-4.06|0.000434|171.0|0.0|7.73e-09|-0.03597|3.0726|-1271.031372|-1270.994965|654.28|1121.42|464.24|403.51|521.4|-1270.738032|0.0839|-0.10865|4.6141|-0.14462|0.03640642|-1270.796154|7.0312|32.0|7.4949|7.4949
3o_a32|0.0|1|0|1|0.0|5.733341277|0.035643275|-0.064818511|10.3110027|-0.090297882|3|0.000243592|-0.117744493|-0.061774721|-0.11221537|-0.483580522|0.90022001|-0.074509084|-0.154436834|1|-0.073742105|0.252703854|0.012519666|-42.51640563|-55.03672286|7.218280399|62.67187821|93.52833522|-31.73171751|4.161738248|-1.4318674340000002|-18.34557429|0.455089918|483.0270239|-825.5508427999999|0.214905181|6.392329273|11.73098001|0.835165165|123.9047338|-475.9757626|0.0130649069999999|-328.7458915|1051.530112|541.0877621000001|7.532642302|1.0|1.0|1.0|2.0|0.32|19.0|-7.27|6.39|122.97|1.0|0.0|0.0|1.0|3.0|26.0|-6.17|381.52|0.0|1.0|3.74|-4.73|1.89e-06|0.00072|0.0|5.35e-08|-0.05413|3.5333|-1805.504508|-1805.473626|620.56|1049.14|350.9|350.9|464.85|-1805.277864|0.2851|-0.14652|3.2729|-0.20065|0.03088166|-1805.333039|5.8476|0.24|6.6198|6.6198
3t_a32|0.0|1|0|0|0.0|5.733341277|0.03995614|0.028527045|10.31100267|-0.086478322|3|0.00139283|0.049606573|-0.070331512|-0.122301673|-0.496165036|0.710773544|0.0466380209999999|-0.146047869|1|-0.080203824|0.217914628|0.014242899|-50.65701113|-61.58101978|8.995863948|97.01046154|108.2086749|-38.89478416|5.681818647999999|-1.267493496|-17.03304802|0.481726305|523.3947687|-800.5532571|0.315525518|8.107111779|15.64252992|0.929482453|199.2870037|-505.632194|0.017184783|-233.0294362|1169.58817|582.0730423|10.85396804|1.0|1.0|1.0|1.0|0.3|19.0|-8.01|7.65|128.01|2.0|0.0|0.0|1.0|7.0|27.0|-5.81|396.53|0.0|1.0|4.46|-4.93|3.28e-07|0.00013|0.0|9.86e-09|-0.05507|3.5487|-1864.708995|-1864.678788|677.16|1129.24|349.38|349.38|575.45|-1864.472646|0.2906|-0.14739|1.2641|-0.20246|0.03020622|-1864.534478|2.7003|9.0|8.0458|8.0458
