molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|SRW07|AATSC1s|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|nFaHRing|RASA|FNSA5|PBF|PNSA5|PPSA3|RPSA|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GRAVp|TASA|WNSA4|GeomDiameter|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|IC50|pIC50|pIC50
12d_a30|0.0|0|0|0.0|0.0|7.412764017000001|2|2|0.604984421|0.0|5.351858133|-0.033312179|0.0|-0.354778373|0.005613018|0.036688757|0.005965451|-0.053644471|-0.09353607|-0.4562256979999999|1|0.8017873000000001|0|0.843009925|-0.094239701|0.366319099|-60.88281322|10.05700314|0.156990075|6.497247279|0.0|0.8143892140000001|-1.884794029|69.55534551|-23.41646662|2784.836855|544.6198897999999|-15.12802292|13.92427286|119.91237920000002|-786.6571918999999|28.75340957|0.013424098|-406.2173266|686.039456|8.672532296|0.0|1.0|0.0|1.0|0.0|0.17|17.0|-7.01|2.93|81.65|0.0|132.24|0.0|1.0|5.0|30.0|4.0|-5.81|0.0|1.0|2.91|-5.15|2.21e-06|0.00291|4.23|0.0|0.0|9.75e-08|3.4821|4.14|-1615.095823|695.57|149.0|356.06|0.68608|149.0|4434.0|-1614.894406|11.0|7.9508|7.9508
6b_a40|0.0|0|0|0.0|0.0|8.421342866|1|2|0.604892326|1.710647518|6.401917197|-0.069975812|0.6899826|-0.698480566|-0.003851208|0.0986825569999999|-0.004728928|-0.018582337|-0.033583055|-0.630957955|0|0.842573207|1|0.753431574|-0.118488624|0.417254814|-79.36130196|9.771129787|0.246568426|6.544506614|34.43877986|0.878140798|-2.132795227|87.29061302|-33.22101012|3214.047452|504.6333458|-22.2507658|12.51342818|81.61884754|-956.7829293|37.83107469|0.011838681|-506.5422338|618.8882797|7.929311055|0.0|1.0|1.0|1.0|3.36|0.21|14.0|-5.21|4.38|173.43|2.0|130.16|1.0|2.0|5.0|31.0|5.0|-5.85|0.0|1.0|4.21|-6.18|3.86e-09|0.000335|5.03|1.0|1.0|6.21e-06|3.1026|8.98|-3290.775349|687.2|0.4962|399.62|0.69429|0.4962|8193.0|-3290.648012|0.03|7.5229|7.5229
14i_a23|0.0|0|1|0.0|0.0|7.423568444|0|0|1.197963212|3.2692375460000003|5.351858133|-0.130330047|0.7151570629999999|-0.558153376|0.002243702|-0.018541856|0.002496501|-0.017918675|-0.033435987|-0.569707595|2|0.8025091329999999|1|0.777952733|-0.096562208|0.266320368|-66.02703063|14.65077903|0.222047267|10.01786784|93.48624142|0.7780956840000001|-2.027806362|79.20815775|-27.18760085|3097.406945|531.9462982|-18.59026006|15.53342127|151.7330992|-948.103263|34.94120504|0.019276934|-380.3109456|693.3423458|13.18112713|0.0|1.0|0.0|2.0|2.64|0.04|26.0|-6.96|3.12|148.11|1.0|128.38|1.0|1.0|6.0|33.0|5.0|-7.33|0.0|0.0|2.61|-4.39|6.11e-06|0.0183|2.46|0.0|0.0|1.11e-07|3.6931|4.64|-1798.64228|715.68|0.3639|335.72|0.55606|0.3639|5.9563|-1798.434186|3.0|8.4622|8.4622
16a_a32|0.0|1|1|3.357452523|0.0|7.765993078999999|0|0|0.6094207620000001|0.0|5.733341277|-0.0848387459999999|2.095743605|-0.6911813920000001|-0.008098765|-0.062610718|-0.005552127|-0.107321286|-0.199563743|-0.707456102|0|0.8567078770000001|1|0.756542831|-0.119471489|0.283324612|-74.35152328|12.86051026|0.2434571689999999|8.003570876|66.13699638|0.6968200370000001|-1.6726008419999998|88.96104768|-23.13158502|2615.514164|470.82456669999993|-14.39564033|13.08168264|188.6800971|-647.803815|33.19592405|0.023475264|-244.9767673|532.685565|14.6095244|0.0|1.0|1.0|3.0|2.66|0.22|19.0|-7.3|3.79|152.07|0.0|108.86|1.0|1.0|7.0|27.0|4.0|-6.85|0.0|1.0|3.06|-4.04|3.2e-06|0.0364|2.65|0.0|0.0|5.04e-08|3.6314|3.9|-1896.81177|664.67|0.2859|341.42|0.70245|0.2859|1.3736|-1896.649286|11.0|7.9586|7.9586
20a_a10|0.0|0|0|0.0|0.0|7.535296702|1|1|1.343837243|2.113798134|5.4161004020000005|0.049376168|1.896409603|-0.197323337|0.008214031|-0.010695558|0.008297595|-0.049146504|-0.081587712|-0.281099208|2|0.755429696|1|0.913681336|-0.072821454|0.591835899|-47.37850712|8.860330345|0.086318664|5.764636687|47.01787447|0.733451892|-1.456429076|58.1398225|-18.22250274|2998.608651|594.4519837|-11.8557778|15.37476788|173.41938059999998|-616.5004457|24.84485067|0.016540298|-303.7731758|719.5272609|10.76131538|0.0|1.0|1.0|0.0|3.63|0.11|27.0|-9.44|5.77|76.62|0.0|126.35|0.0|1.0|4.0|33.0|5.0|-5.82|0.0|1.0|4.27|-5.59|2.07e-06|0.0011|4.36|0.0|0.0|3.61e-10|4.7841|3.98|-1389.164302|696.63|0.2738|259.16|0.6864600000000001|107.0|2.9429|-1388.957848|1.2|5.9208|5.9208
1g_a5|0.0|1|0|2.942391606|0.0|6.605297921|0|0|1.4275159730000002|0.0|4.59511985|-0.010620031|0.0|-0.172437603|0.00683534|-0.132678208|0.006957291|-0.010807075|-0.0178558139999999|-0.242737126|2|0.7778380309999999|0|0.8659209659999999|-0.074361785|0.39389953|-39.8807456|10.9506874|0.134079034|5.8729303|0.589719781|0.61393343|-1.11542677|54.34919851|-14.59051668|2243.103668|464.3994751|-7.824996219|13.83149499|207.0502037|-320.82484500000004|23.76563316|0.02697793|-122.2065919|422.96706330000006|14.46845291|1.0|1.0|1.0|1.0|2.12|0.05|23.0|-8.14|4.21|63.69|0.0|96.98|0.0|1.0|4.0|25.0|4.0|-6.15|1.0|1.0|3.09|-4.2|9.27e-05|0.0206|3.03|0.0|0.0|7.190000000000001e-09|4.7822|2.61|-1065.846194|572.15|0.1769|259.26|0.66164|0.0504|3.4883|-1065.727193|115.0|6.9393|6.9393
10_a32|0.0|1|1|3.294952523|0.0|7.765993078999999|0|0|0.6094207629999999|0.0|5.733341277|-0.087497559|2.067772926|-0.771023817|-0.0064007569999999|-0.028431775|-0.00369116|-0.1260956869999999|-0.229450999|-0.690879647|0|0.8607827790000001|1|0.7622839570000001|-0.1223816869999999|0.266552538|-75.59866726|15.91131724|0.237716043|9.828875607|52.24660367|0.6946347429999999|-1.7133436169999998|91.10767604|-24.0541214|2649.882742|470.8845962|-14.85891856|12.86809583|188.6328503|-653.7924168|34.62844557|0.025106509|-240.4628923|513.9156315|15.50900878|0.0|1.0|1.0|2.0|3.12|0.22|19.0|-6.99|4.21|149.27|0.0|107.14|1.0|1.0|7.0|27.0|5.0|-6.44|0.0|1.0|3.42|-4.41|9.17e-07|0.0155|3.23|0.0|0.0|1.0300000000000001e-07|3.6441|4.12|-1916.668776|654.7|0.2983|340.24|0.70228|0.2983|2.4919|-1916.519894|7.0|8.1427|8.1427
6g_a40|0.0|0|0|0.0|0.0|8.421342866|1|2|0.604893315|1.628664494|6.401917197|-0.261952754|0.607999575|-1.09669629|-0.019683422|0.07194868|-0.018182514|0.0312035079999999|0.05728593|-0.588058458|0|0.832499949|1|0.605346707|-0.156296046|0.400587529|-101.5916383|11.53799852|0.3946532929999999|7.499640603|47.36081569|0.824204189|-2.657032782|114.7475987|-38.37906336|3142.74733|393.4722933000001|-24.9461968|12.10032156|114.2663866|-1122.578856|46.56499428|0.020240097|-421.4621621|590.1686672000001|13.1559604|0.0|1.0|1.0|3.0|2.28|0.21|14.0|-2.87|2.48|213.89|2.0|124.18|1.0|3.0|5.0|31.0|7.0|-7.02|0.0|0.0|2.37|-4.71|6.049999999999999e-08|0.00917|3.06|1.0|0.0|0.0013599999999999|3.3197|7.38|-2522.023752|669.8|0.4971|373.48|0.5794199999999999|0.1307|6.7231|-2521.87499|47.0|7.3279|7.3279
12bh_a36|0.0|1|0|3.50075137|0.0|7.412764017000001|2|2|1.297043258|0.0|5.351858133|-0.047482048|0.0|-0.401249012|0.003676818|0.075747971|0.0045625|-0.101854847|-0.169994208|-0.43574839|1|0.78699829|0|0.833491953|-0.09959401|0.317612728|-66.28126709|11.73109101|0.166508047|7.807212275|0.0|0.783294222|-1.991880197|76.46867897|-23.6718811|2773.193279|554.7010591|-15.75398235|14.56834609|144.22085800000002|-882.2230117|30.2209316|0.015307571|-377.0728785|729.1873176|10.18741188|0.0|0.0|0.0|2.0|0.0|0.21|17.0|-7.34|2.5|69.2|0.0|133.68|0.0|1.0|5.0|31.0|4.0|-6.38|1.0|1.0|2.42|-4.6|2.8600000000000004e-05|0.0102|3.41|0.0|0.0|4.55e-08|3.8811|3.79|-1311.589612|715.94|0.4386|319.46|0.7039|11.0|5.8338|-1311.356102|14.0|7.8539|7.8539
7f_a10|0.0|0|0|0.0|-4.8022906380000006|7.535296702|1|1|1.240141822|1.924772416|5.4161004020000005|-0.2347037789999999|0.740070757|-0.5663456689999999|0.00189949|-0.000498274|0.0030999659999999|-0.058093287|-0.172751862|-0.5846516820000001|2|0.796084921|1|0.931773786|-0.095196098|0.7359022890000001|-53.02456669|4.441786155|0.068226214|2.474090768|0.3440879|0.8217865520000001|-1.713529756|60.16185231|-20.30728086|2803.359424|519.0013298|-11.31122804|10.23679556|99.26552746|-531.6277179|24.71113795|0.012813716|-358.4725202|527.8079877|7.137285626000001|0.0|1.0|1.0|0.0|2.97|0.23|21.0|-8.13|6.57|52.83|0.0|106.77|0.0|1.0|4.0|30.0|7.0|-5.47|0.0|0.0|4.39|-5.6|2.9e-06|0.00103|4.7|0.0|0.0|7.38e-09|5.7757|4.93|-1442.216293|597.28|348.0|214.67|0.6833600000000001|0.0191|2.2631|-1442.058773|141.0|6.8508|6.8508
