molecula|NaaNH|n9FaRing|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|n6HRing|MATS7i|SaaaC|MATS8i|AATSC1pe|n6aHRing|BIC2|MATS8d|nFaHRing|PBF|FPSA3|PNSA3|PNSA5|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50|pIC50
14b_a50|0|1|0.0|2|7.934155233999999|2|1.267593742|-0.092558007|-0.003935732|2|-0.068176984|2.115127752|0.037777505|0.011249462|1|0.7887047979999999|-0.076752616|1|0.7031402240000001|0.022423099|-33.02344264|-50.27694576|0.095923652|-0.025558317|-32.9673668|9.64109526|192.8987555|0.637281054|-1.533499045|-21.65397937|64.58491917|-16.75898192|0.445384689|2967.872393|592.81677|2984.248708|-10.98912227|0.362718946|6.3538844910000005|0.8030515570000001|-659.347336|26.29763086|0.021820402|-180.03459850000002|1577.857852|14.30797341|1.0|1.0|1.0|1.0|1.0|0.0|4.64|-6.86|2.0|128.39|1.0|7.0|-4.6|33.0|-6.5|441.52|1.0|3.6|-4.78|0.0111|0.0074099999999999|3.51|0.0|0.0|1.3900000000000001e-07|-0.02486|3.05|4.0775|-1431.068494|-1431.037684|718.64|1253.87|304.07|0.1637|234.67|533.25|0.55594|0.64303|-1430.72987|0.1373|5.3711|-0.1936|6.7927|5.1818|5.1818
14i_a23|0|1|0.0|2|7.423568444|0|1.197963212|0.142566578|-0.010148243|2|0.040408197|0.7151570629999999|-0.018541856|0.002496501|2|0.8025091329999999|-0.04255066|1|0.266320368|0.0214262489999999|-60.8283953|-66.02703063|0.222047267|-0.039760909|-45.14777443|10.01786784|93.48624142|0.7780956840000001|-2.027806362|-41.59306642|79.20815775|-27.18760085|0.478050606|3097.406945|531.9462982|2447.1741030000003|-18.59026006|0.221904316|8.107659819|0.915894552|-948.103263|34.94120504|0.019276934|-380.3109456|1782.001457|13.18112713|0.0|0.0|1.0|1.0|0.0|2.0|3.56|-6.96|1.0|128.38|1.0|6.0|-5.21|33.0|-7.33|454.51|0.0|2.61|-4.39|0.00278|0.0183|2.46|0.0|0.0|1.11e-07|-0.08025|4.64|3.6931|-1798.64228|-1798.608335|715.68|1224.02|335.72|0.3639|335.72|580.74|0.55606|0.55606|-1798.371346|0.3639|5.9563|-0.23121|8.3755|8.4622|8.4622
14e_a25|0|0|0.0|1|6.842683282|0|1.4200152069999998|0.039261746|-0.008591251|2|0.0065927719999999|1.906869097|0.002856489|-0.0005394919999999|2|0.776960216|0.018432983|1|0.448918026|0.015024526|-73.99302943|-73.51338088|0.275949567|-0.038772226|-53.79722636|8.046143033|97.78313402|0.806446896|-2.2100168680000003|-54.14823405|84.60373462|-28.3735856|0.491527882|3126.080106|529.8614286999999|2620.6698690000003|-20.76384175|0.1935531039999999|8.459867391|0.966676175|-1183.53898|35.18345194|0.015154859|-448.516796|2005.4567600000005|11.09035375|1.0|1.0|1.0|1.0|1.0|2.0|3.62|-9.14|1.0|134.35|1.0|7.0|-5.14|35.0|-6.96|462.5|0.0|3.02|-4.73|0.00337|0.0085799999999999|3.04|0.0|0.0|7.31e-10|-0.0538|6.51|3.9613|-1521.012915|-1520.964156|760.96|1300.08|312.99|0.2409|212.19|596.96|0.31019|0.69958|-1520.701142|0.0007|5.3651|-0.2116699999999999|7.2625|7.1249|7.1249
4j_a46|0|0|0.19521727|1|7.825245291|1|1.134637093|-0.175292207|-0.002284836|1|-0.0529855709999999|0.0|-0.1051618459999999|0.011684396|1|0.7298040140000001|-0.258222236|0|0.295221643|0.01492164|-34.99059698|-43.95227197|0.0501066629999999|-0.024805825|-25.95898597|5.205103062|71.98911503|0.776932317|-1.339514565|-20.66606288|50.26191521|-14.65075732|0.402450715|2260.870095|561.0237355|2563.282153|-8.652995323999999|0.223067683|6.274010655|0.673502127|-467.2617475|18.85718615|0.0106831269999999|-327.122208|1018.288052|6.30964324|0.0|1.0|1.0|1.0|1.0|0.0|4.0|-7.69|2.0|110.24|1.0|4.0|-5.38|27.0|-5.09|361.48|1.0|4.5|-5.31|0.0015|0.00176|4.81|0.0|0.0|2.03e-08|-0.01684|4.93|4.4093|-1132.043677|-1132.018764|646.67|1112.13|281.19|0.2783|229.82|572.31|0.37853|0.69413|-1131.761156|0.1418|2.9043|-0.20071|3.8105|6.0942|6.0942
14ad_a23|0|1|0.0|2|7.423568444|0|1.197962774|-0.1101542319999999|-0.00790478|2|0.118047355|0.735584095|-0.05348283|0.009675528|2|0.7830067820000001|-0.050707765|1|0.224009311|0.033831691|-42.29008971|-61.35364811|0.112868365|-0.029653934|-43.85199724|17.28310144|114.237062|0.575880959|-1.630966366|-30.226481300000003|85.20135045|-21.19489662|0.46995189|3209.330728|634.0697778|2339.533586|-15.14887177|0.424119041|8.661363236|0.8866211979999999|-833.1879476|36.80430179|0.033365494|-108.4705382|2024.236598|23.84770234|0.0|0.0|1.0|1.0|1.0|1.0|3.73|-7.6|2.0|133.27|1.0|7.0|-5.8|34.0|-6.68|471.53|0.0|3.39|-5.08|0.000753|0.0038799999999999|3.52|0.0|0.0|2.49e-08|-0.06925|2.99|3.3867|-1858.957788|-1858.942973|747.83|1287.26|366.09|0.4106|366.09|618.01|0.6956600000000001|0.6956600000000001|-1858.668058|0.4106|5.2331|-0.20659|6.7584|8.3595|8.3595
4o_a46|0|0|0.160026534|1|7.825245291|1|1.13463699|-0.24479566|-0.000627744|1|-0.2363624889999999|0.0|-0.203025042|0.010144781|1|0.7699448320000001|-0.09492635|0|0.372146122|0.00972341|-35.54402423|-36.03345669|0.049267382|-0.021901697|-19.76117845|2.9243708|31.19780621|0.7510206490000001|-1.051281434|-19.49276784|42.00638612|-12.01115223|0.460981009|2195.436986|521.3931342|1705.3950960000002|-6.587059484|0.248979351|5.527567399|0.855222204|-316.1788552|15.99310518|0.0108913189999999|-275.3254498|767.6690487000001|5.972929428|1.0|0.0|1.0|1.0|1.0|0.0|3.73|-7.26|1.0|103.66|1.0|2.0|-4.91|26.0|-5.51|342.44|1.0|3.92|-4.87|0.00422|0.0045899999999999|4.06|0.0|0.0|5.5e-08|-0.04627|3.76|4.3255|-1070.456878|-1070.428722|581.59|1022.29|286.64|0.1598|286.64|501.08|0.6843|0.6843|-1070.223416|0.1598|3.4494|-0.22909|4.8244|6.7905|6.7905
15_a3|0|0|0.0|0|6.823286122000001|1|0.619596467|0.079167398|-0.006742751|3|-0.182934001|1.809035179|0.126641951|-0.004459728|3|0.813015336|0.036380489|1|0.451058529|0.007901554|-47.26593592|-55.08588323|0.221091166|-0.037667|-28.19600959|2.070175472|0.0|0.850327497|-1.50667999|-24.19332693|60.30684851|-19.28005913|0.461565365|2116.88728|398.6887321|1433.713715|-9.868603355|0.149672503|5.371119692000001|0.85723565|-394.7441342|22.67368656|0.010200078|-358.6340772|906.9474625|5.220965278|1.0|1.0|0.0|1.0|1.0|1.0|4.12|-5.78|0.0|94.29|2.0|2.0|-2.77|23.0|-7.35|321.4|0.0|1.2|-3.02|547.0|306.0|1.28|0.0|0.0|1.66e-06|-0.06319|2.33|3.7072|-1328.688126|-1328.665275|553.81|916.07|334.44|0.4107|206.37|398.12|0.2843199999999999|0.67902|-1328.531138|0.0173|1.9539|-0.22079|2.3271|7.6021|7.6021
14ae_a23|0|1|0.0|2|7.423568444|0|1.1979624290000002|-0.033049777|-0.007539122|2|0.026913008|0.7338690390000001|-0.0174992419999999|0.009675528|2|0.7830067820000001|0.0469453379999999|1|0.202342743|0.03467374|-46.69131269|-62.38566188|0.127637949|-0.0269140239999999|-44.69687612|17.79858399|110.5716332|0.53040766|-1.480271319|-33.45249142|87.09501229|-19.28284095|0.479058976|3212.850883|625.0131414|2575.36078|-13.81539807|0.46959234|8.123993885|0.919603093|-759.846894|36.35475577|0.034488074|-43.57178809|1999.511567|24.70935041|0.0|0.0|1.0|1.0|1.0|1.0|3.74|-7.6|2.0|133.27|1.0|7.0|-5.8|34.0|-6.68|471.53|0.0|3.44|-5.08|0.000753|0.0038799999999999|3.52|0.0|0.0|2.49e-08|-0.07122|2.99|3.6036|-1858.967022|-1858.952529|751.57|1285.52|344.06|0.3205|344.06|627.57|0.58144|0.58144|-1858.675325|0.3205|7.0211|-0.21659|9.5944|8.6038|8.6038
9d_a31|1|0|0.0|0|7.765993078999999|1|0.61013528|0.036844743|-0.012442213|0|-0.057650507|0.0|-0.0938310919999999|0.000127275|0|0.8343242820000001|-0.0375445629999999|0|0.3655337879999999|0.029032453|-66.96024848|-81.53295088|0.305664196|-0.033844766|-55.58917047|13.49577391|560.5224416|0.6636195229999999|-1.793772606|-45.65350116|97.84665015|-23.07536346|0.457506946|2654.377004|473.3981899|1932.363213|-15.732784099999998|0.336380477|9.436176796|0.8433415740000001|-833.8375571|34.77197803|0.023927395|-223.1115993|1842.914835|16.31369927|1.0|1.0|1.0|1.0|1.0|2.0|3.8|-7.63|2.0|112.97|1.0|9.0|-5.61|29.0|-6.36|412.51|0.0|3.65|-4.39|0.0010199999999999|0.0167|3.46|0.0|0.0|2.3500000000000002e-08|-0.03457|5.0|3.8478|-1657.471475|-1657.428165|727.27|1202.79|322.22|0.2611|322.22|630.49|0.7006899999999999|0.7006899999999999|-1657.1791449999998|0.2611|2.6311|-0.19426|3.5077|6.2218|6.2218
12b_a50|0|1|0.0|2|7.927685046000001|1|1.397986833|-0.19841119|-0.002929899|1|-0.08032584|2.112397566|-0.101728189|0.011790103|1|0.804535572|-0.189976035|1|0.24516882|0.0214891|-22.92589265|-33.25880166|0.074083915|-0.0237482779999999|-16.72031641|5.43117764|86.49656508|0.5731907470000001|-0.926182858|-11.52561607|47.12729492|-11.93905701|0.430791247|2224.116359|465.4891075000001|1446.231761|-6.002164865|0.4268092529999999|5.7232816060000005|0.756824707|-234.0844297|20.82911679|0.027586169|-73.59089223|812.3355548|13.86849326|1.0|1.0|0.0|1.0|1.0|0.0|3.31|-5.49|0.0|94.69|2.0|2.0|-3.16|24.0|-6.44|313.36|1.0|2.59|-3.84|215.0|45.0|2.5|0.0|0.0|3.22e-06|-0.02974|2.47|3.9305|-1006.664619|-1006.641541|539.15|909.8|315.44|0.2425|263.3|401.64|0.6016199999999999|0.6581|-1006.501585|0.0777|4.0567|-0.19425|5.6617|5.3242|5.3242
