molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|SRW07|n6HRing|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|BIC2|GATS1pe|nFaHRing|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|FNSA4|WNSA5|WPSA3|RPCS|DPSA5|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
14b_a25|0.0|0|0|0|1|6.842683282|0|0|1.420015222|1.616664856|4.727387819|2|1.929508048|-0.273813082|-0.012989126|10.93106299|0.0009956189999999|1|1|0.004892038|0.0028569959999999|-0.043923908|-0.074541111|0.7723870909999999|0.632638761|1|-0.084160084|0.016003559|-52.75064158|-58.29440389|112.49583529999998|-0.032728922|-40.37825712|7.678174472999999|57.85340824|69.2012501|-1224.182482|2118.281186|-15.70265555|8.690235527|17.06102567|6760.594953|-847.9433995999999|0.015746299|-377.9013888|1584.108407|760.3735147000001|10.90684621|1.0|1.0|1.0|1.0|1.0|1.0|0.07|27.0|-9.65|4.48|4.79|96.49|1.8|0.0|130.97|-5.6|34.0|5.0|444.49|0.0|0.0|1.0|2.49e-06|0.0011099999999999|3.88|0.0|9.93e-08|-0.0584|5.61|-1444.544749|-1444.505985|0.3614|228.59|603.27|0.34735|0.64983|-1444.266358|0.0006|-0.16309|2.7037|-0.22149|3.2784|22.0|7.6576
15c_a10|0.0|0|0|0|1|7.535296702|2|2|1.343850105|2.154210861|5.4161004020000005|3|2.063253638|-0.153072705|-0.1036030219999999|10.92970798|0.0123939039999999|1|1|0.012271987|-0.101214571|-0.226679901|-0.35845963|0.7351096359999999|0.733973277|1|-0.072537853|0.014703076|-32.5870313|-50.32840842|65.41494073|-0.019267867|-34.91899195|7.077912953999999|136.2098503|66.5866765|-855.5829431|1817.047455|-9.275357237|8.639636218|15.6886947|6673.826433|-593.6228632|0.023432886|-39.17102961|1619.721543|924.9341455|16.25826809|0.0|1.0|1.0|1.0|1.0|0.0|0.37|21.0|-7.79|3.77|2.97|59.31|1.74|0.0|141.96|-3.85|34.0|6.0|454.57|0.0|1.0|0.0|0.0001419999999999|0.0646|2.94|0.0|7.3e-06|-0.04724|2.2|-1450.241475|-1450.500669|0.3939999999999999|221.75|595.63|-0.26999|0.70511|-1450.139335|0.0|-0.14739|2.4256|-0.19463|4.8283|0.1|7.0
17g_a50|0.0|0|1|1|2|7.934155233999999|2|2|1.320916184|4.377239517|5.82008293|2|2.236579664|-0.13328325|-0.022378911|10.94501702|-0.1155555559999999|2|2|0.01245647|-0.090386911|-0.200725906|-0.323333765|0.738521694|0.7276268779999999|1|-0.0706879109999999|0.014550016|-32.14758511|-47.17463902|10.60268439|-0.025918901|-31.48270383|6.48022912|85.51402581|56.28102287|-1037.842058|1975.996014|-11.54365807|8.130878433|15.28352231|6102.424958|-692.6194843|0.013645282|-333.6136209|1383.884645|829.3813984|9.106383854|0.0|1.0|1.0|1.0|1.0|0.0|0.35|20.0|-6.96|3.71|4.37|51.77|2.71|0.0|133.03|-4.46|32.0|4.0|424.54|0.0|1.0|0.0|3.4899999999999995e-05|0.0148|3.68|0.0|4.6500000000000005e-05|-0.0323|3.22|-1335.976491|-1335.946919|0.1795|306.45|559.45|0.6623600000000001|0.6623600000000001|-1335.631756|0.1795|-0.16699|7.0584|-0.19929|9.1706|246.0|6.6091
14a_a22|0.0|0|0|0|1|6.842683282|0|0|1.4229176680000002|1.646649187|4.727387819|2|1.614660505|-0.280236463|-0.057308195|10.9464374|-0.015194063|1|1|0.005757758|0.036467904|-0.097476465|-0.165471815|0.7392451729999999|0.655865336|1|-0.081479363|0.021268761|-42.39063895|-55.51601021|93.21042936|-0.031338217|-37.82586486|9.873779458|60.38977977|70.33046351|-1110.320204|2169.870866|-14.54840956|8.052850876|14.55117701|6348.976909|-756.5172972|0.021742777|-273.61731430000003|1584.38271|684.5377542|14.81445329|1.0|1.0|1.0|1.0|1.0|1.0|0.08|27.0|-9.21|3.87|4.31|85.59|1.73|0.0|124.05|-4.65|32.0|5.0|420.47|0.0|0.0|1.0|2.25e-05|0.00945|3.18|0.0|2.56e-07|-0.06145|4.98|-1368.35698|-1368.321586|0.3051|244.77|534.87|0.45928|0.63156|-1368.075682|0.0578|-0.15029|4.9775|-0.21174|6603.0|38.0|7.4202
14v_a23|0.0|0|1|1|2|7.423568444|0|0|1.1979575059999998|3.004639728|5.351858133|2|0.636416435|-0.8122700340000001|0.017156562|10.3132174|-0.015149431|2|2|-0.0004039459999999|0.170475376|-0.0962526|-0.2952674819999999|0.787538583|0.575188253|1|-0.09479984|0.019811827|-44.4776373|-62.61276875|78.86310829|-0.042752869|-41.35406587|8.64241561|0.912757854|76.42257099|-1440.093681|2679.111279|-18.64987284|7.743452839|14.26610767|8458.789829000001|-951.143515|0.020908947|-380.8667976|1826.768144|676.4530574|13.80980223|0.0|0.0|1.0|0.0|1.0|1.0|0.09|26.0|-7.95|3.97|6.18|114.25|3.04|1.0|126.97|-6.89|35.0|8.0|495.48|1.0|0.0|0.0|1.29e-07|6.38e-05|4.76|0.0|5.57e-06|-0.07843|5.17|-2042.182282|-2042.161744|348.0|335.64|533.44|0.6017100000000001|0.6017100000000001|-2041.93452|348.0|-0.1524299999999999|4.5506|-0.2308599999999999|6.3758|4.0|8.4001
12e_a31|0.0|1|0|0|0|7.765993078999999|1|1|0.610134116|0.0|5.733341277|0|0.0|-0.70267073|-0.107630327|10.3116965|-0.015755876|2|2|-0.000231353|0.01824365|-0.08867626|-0.142921555|0.7761616020000001|0.76012894|0|-0.1099563869999999|0.02665413|-68.32948993|-79.96257188|166.1479229|-0.036652129|-58.15044546|14.09603901|595.9853231000001|95.1187282|-1519.288866|1899.851187|-19.38348182|10.24381236|19.50674899|6557.418968999999|-1104.858464|0.020841203|-327.4245209|2095.222806|798.7285626|15.15615632|1.0|1.0|1.0|1.0|1.0|2.0|0.24|22.0|-9.31|6.69|5.4|117.37|2.21|0.0|129.38|-6.66|33.0|5.0|460.55|0.0|0.0|1.0|2.16e-07|9.96e-05|4.48|0.0|2.27e-07|-0.03445|6.33|-1809.899887|-1809.85374|0.3831|232.77|640.03|0.55114|0.7006600000000001|-1809.581226|0.2627|-0.15934|2.6024|-0.19379|3.4818|0.17|6.7696
12as_a36|0.0|1|0|0|0|7.412764017000001|2|2|1.297043209|0.0|5.351858133|2|0.0|-0.452697599|-0.114290948|10.95347588|-0.025398105|1|1|0.0018565629999999|0.162571317|-0.098698552|-0.166354116|0.817372883|0.770400825|0|-0.109492809|0.019229943|-55.75872553|-73.78005999|88.17694537|-0.037824788|-49.71556877|8.731418812000001|0.0|85.53474971|-1401.82114|2365.632846|-17.17446921|8.768282531|16.08155469|6224.698969|-944.5958066|0.017444469|-361.3444194|1824.98997|716.9974499|11.75468972|1.0|0.0|0.0|1.0|0.0|2.0|0.17|17.0|-6.89|3.16|2.09|86.27|1.59|0.0|133.95|-3.81|32.0|5.0|423.47|0.0|0.0|0.0|0.000154|0.0653|2.36|0.0|5.4600000000000006e-05|-0.05789|4.84|-1385.601917|-1385.5651710000002|0.5902|274.29|568.52|0.53815|0.68211|-1385.322633|0.2402|-0.1563|4.8580000000000005|-0.21419|6.8556|59.0|7.2291
1o_a5|0.0|1|0|0|0|6.605297921|0|0|1.427566509|0.0|4.59511985|2|0.0|-0.1079910069999999|-0.102739602|10.94518594|-0.008511304|1|1|0.0051989459999999|-0.05876042|0.038275248|0.06759341|0.78144982|0.650008224|0|-0.072886362|0.01325562|-42.63505279|-39.1638643|167.3051756|-0.028770932|-21.04383087|3.827177229|1.01402588|50.11479279|-587.4579645|833.537568|-8.306775343|7.522366517000001|14.20898333|4572.818263|-315.657463|0.020380352|-214.8381946|839.3293197999999|393.5487205|10.95092849|1.0|1.0|1.0|1.0|1.0|1.0|0.0|23.0|-8.11|4.48|4.07|78.25|1.23|0.0|95.2|-4.08|25.0|4.0|323.35|0.0|0.0|1.0|8.329999999999999e-05|0.0269|2.78|0.0|2.54e-06|-0.07037|2.66|-1043.577386|-1043.536121|0.3966|275.45|443.88|0.4988899999999999|0.5492100000000001|-1043.422345|0.0071|-0.1693599999999999|4.7435|-0.23973|5.4919|35.0|7.4559
4m_a46|0.0|0|0|0|1|7.825245291|1|1|1.134637002|2.12888511|5.587248657999999|1|0.0|-0.0329557579999999|-0.142061192|10.94319657|0.007901235|1|1|0.010359417|-0.487230027|-0.017992096|-0.029022201|0.747676221|0.626578283|0|-0.0672468|0.010905551|-35.4774406|-35.43866734|6.161736337000001|-0.0224155999999999|-18.67596877|3.028720082|35.77391986|41.88525631|-531.5800101|1639.260563|-6.225322922999999|5.329061873000001|9.923886653|4750.325312|-280.1395315|0.012232753|-245.828396|724.9776792|486.9589609|6.446588969|1.0|0.0|1.0|1.0|1.0|0.0|0.29|17.0|-6.88|4.25|4.63|54.5|2.5|0.0|98.69|-4.52|25.0|3.0|328.41|0.0|1.0|1.0|2.99e-05|0.00981|3.69|0.0|4.31e-05|-0.04808|3.45|-1031.138426|-1031.109224|0.2465|205.21|468.63|0.38389|0.68505|-1030.929791|0.1557|-0.18308|3.9226|-0.23116|5.2326|1288.0|5.8901
14aa_a23|0.0|0|1|1|2|7.423568444|0|0|1.19796312|3.4143268310000003|5.351858133|2|0.758549568|-0.287870566|-0.029037128|10.313217300000002|-0.044957534|2|2|0.012103325|0.055934795|-0.074579388|-0.13397874|0.75434493|0.693959193|1|-0.076107469|0.018016316|-35.51947393|-51.83122853|40.49537336|-0.03159178|-35.2984572|8.355923226|83.27171526|61.21989213|-1140.287028|2263.821505|-14.65218978|8.000512184|15.78173785|6651.23042|-776.5660584|0.013786041|-404.0660854|1431.335599|733.3886349999999|9.388663605|0.0|0.0|1.0|1.0|1.0|1.0|0.12|26.0|-8.16|4.4|4.63|105.02|3.45|1.0|130.22|-6.23|32.0|4.0|439.54|0.0|0.0|0.0|5.9e-07|0.000259|4.31|0.0|3.07e-06|-0.0708299999999999|4.1|-1708.5626|-1708.5422620000002|0.4157|345.03|588.45|0.6805899999999999|0.6805899999999999|-1708.276011|0.4157|-0.1449|5.8286|-0.21573|8.3532|4.0|8451.0
