molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nARing|BCUTs-1|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|AATSC8d|AATSC1pe|MATS1i|MATS1c|n6aHRing|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
4_a3|0.0|0|0|0.0|0.0|0|0|0.60501714|4.727387819|-0.161259999|1|-0.08769805|-0.325334256|-0.008407895|0.0248526079999999|-0.007022144|0.053425134|-0.607238634|1|-0.028924747|0.041477445|0.785381728|0.628171026|1|-0.110345083|-0.098695428|0.008006786|-46.9200748|3.806447632|235.6982345|0.25946603|123.350856|1.809595554|-1.381735991|51.71950126|-18.76802992|0.415852758|2142.972568|352.05186289999995|-8.922372453|0.133023729|5.05182773|8.648209506|0.711897153|4885.093366|-312.2830359|21.6476858|1.0|2.94|2.6|0.0|-7.53|5.3|5.17|80.04|3.07|1.0|0.0|0.0|1.0|3.0|-5.21|0.0|-5.09|2.02e-06|0.00065|0.00264|4.3|0.0|0.0|2.950000000000001e-08|9.48e-06|-0.0584299999999999|3.4771|-1355.332318|-1355.303098|504.29|858.45|356.58|0.1776|0.3809|0.6896|-1355.192416|119.0|-0.14983|2.3542|-0.20826|0.02921941|3.1409|1259.0|5.9
13j_a6|0.0|1|0|3.409065702|0.0|0|1|1.430640326|5.351858133|-0.154502515|1|0.07522656|-0.855284356|-0.011017781|-0.047513534|-0.007703306|-0.045418125|-0.562698347|1|-0.063948098|-0.079161042|0.8353837409999999|0.830577798|0|-0.120219472|-0.129511589|0.03111288|-86.54032868|20.78979124|180.6709018|0.377035857|251.937353|13.89184843|-2.460720196|99.85109065|-31.02389141|0.433600896|2907.3053210000003|416.2679342|-20.73032827|0.215833159|8.741405506|15.43329684|0.765539515|6276.316063|-1098.707398|39.56287079|3.0|3.56|2.26|0.12|-8.5|4.16|3.54|115.15|1.18|1.0|0.0|0.0|1.0|5.0|-6.81|0.0|-4.48|9.32e-06|0.00398|14.0|2.95|0.0|0.0|3.18e-09|1.36e-06|-0.0488899999999999|3.5599|-1426.5532050000002|-1426.520775|712.52|1196.6|348.28|0.2857|0.69993|0.7045100000000001|-1426.272674|0.0259|-0.14602|8.3187|-0.19491|0.03242949|10.9731|262.0|6.5817
13c_a6|0.0|1|0|3.441255118|0.0|0|1|1.424213869|5.351858133|-0.0122495089999999|1|0.049627353|-0.605286688|-0.003346018|-0.0942387559999999|-0.000899678|-0.106686991|-0.490486317|1|0.085414885|-0.167542194|0.8353837409999999|0.7995080809999999|0|-0.093635525|-0.111231609|0.030547186|-75.71763296|20.79409503|157.60887419999997|0.213190168|145.12291069999998|14.15496611|-2.11340057|88.21184769|-27.1440571|0.466844407|2880.850692|535.5975578|-18.47751526|0.2279674589999999|8.038175951|15.07660437|0.875625075|6204.855629|-979.308309|35.15921372|2.0|3.61|2.53|0.16|-9.4|5.38|4.57|95.85|1.5|2.0|0.0|0.0|1.0|5.0|-5.88|0.0|-5.27|1.11e-06|0.000471|0.00229|4.23|0.0|0.0|3.96e-10|1.68e-07|-0.05015|3.6519|-1389.39897|-1389.371325|719.8|1217.77|339.5|0.5471|0.48478|0.7008800000000001|-1389.122252|0.28|-0.14975|7.7129|-0.1999|0.0276450999999999|9.2467|73.0|7.1367
9r_a24|0.0|1|0|2.950959457|0.0|0|0|1.353642494|4.59511985|0.013567512|3|-0.17821765|-0.264490176|0.007861194|-0.043274854|0.008722018|-0.179075526|-0.3018627239999999|3|-0.120617935|-0.083458647|0.841805128|0.7526889940000001|0|-0.0618978309999999|-0.082022572|0.015557618|-54.99020696|10.4302588|71.31566881|0.158284162|106.1180928|6.992734796000001|-1.394383716|70.79264457|-17.31173182|0.473403843|2644.462265|564.3096436000001|-11.60626518|0.384785172|9.672636984|18.36822555|0.898988412|5501.824326|-626.7383196000001|28.13932796|1.0|3.53|3.04|0.22|-8.66|4.23|3.93|79.82|1.02|2.0|0.0|0.0|1.0|6.0|-6.83|0.0|-4.06|9.58e-05|0.0383|0.0351|2.69|0.0|0.0|2.21e-09|8.84e-07|-0.04313|4.2877|-1294.486221|-1294.451958|713.25|1199.71|289.16|0.3398|0.3398|0.6204|-1294.201456|0.0029|-0.1676099999999999|1.9698|-0.21074|0.03426339|3.0322|11.0|7.9586
8e_a46|0.0|0|0|0.0|0.252655541|1|1|1.160371308|5.533389489|0.000950213|2|-0.126773923|-0.046696417|0.012911107|-0.016857659|0.0123581919999999|-0.08488645|-0.132524216|2|-0.241393458|-0.024620704|0.837678812|0.668786636|0|-0.053352779|-0.065982313|0.009576086|-33.59778824|4.876083942|7.389496216|0.078647648|40.04689925|2.482871976|-0.989734694|39.62167507|-11.72015869|0.444693313|1982.950764|469.146955|-5.967832774|0.2507580889999999|5.504080656|9.911785304|0.8008066970000001|4239.252176|-256.61680930000006|15.64268965|0.0|3.21|2.93|0.32|-6.67|4.09|3.9|43.6|2.13|0.0|0.0|0.0|1.0|3.0|-6.02|1.0|-4.04|0.0002569999999999|0.0782|0.0279|3.01|0.0|0.0|2.16e-07|6.57e-05|-0.03175|4.5092|-954.9296396|-954.9056294|552.99|933.3|274.96|0.2162|0.6967|0.6967|-954.743261|0.2162|-0.18835|3.2194|-0.2201|0.024010215|3.7755|406.0|6.3915
12y_a36|0.0|1|0|3.479963309|0.0|0|2|1.29704385|5.351858133|-0.065314765|2|0.036174187|-0.410155116|0.002782748|-0.028440975|0.003724542|-0.095253274|-0.434990282|1|0.046673879|-0.0498101409999999|0.873588247|0.856135378|0|-0.076585128|-0.098532865|0.019404665|-66.24017399|13.04507243|114.430624|0.16295867|109.55137340000002|8.769742642|-1.970657299|78.8341402|-24.53339777|0.487285656|2793.629988|562.7133986|-16.49293906|0.244264266|7.589386902|14.80236899|0.950403792|6082.16777|-890.6187094000001|32.46293206|2.0|4.88|0.0|0.12|-7.01|3.62|2.42|69.2|2.38|1.0|0.0|0.0|1.0|4.0|-6.34|1.0|-4.55|2.6e-05|0.0106|0.0115|3.45|0.0|0.0|9.66e-08|3.94e-05|-0.05002|3.8794|-1310.350902|-1310.315063|702.38|1183.75|319.6|0.4358|0.66796|0.66796|-1310.077567|0.4358|-0.15671|6.1376|-0.20673|0.03583863|8249.0|12.0|7.9208
14r_a23|0.0|0|1|0.0|0.0|2|0|1.197963203|5.351858133|-0.06921746|2|0.014148395|-0.322513347|0.007671236|-0.064006338|0.0075222369999999|-0.073945564|-0.454010253|2|0.03753491|-0.1050445769999999|0.846632079|0.5935522360000001|1|-0.062618931|-0.085881409|0.019185345|-55.30494931|12.35476415|47.26552456|0.133777381|86.14846171|7.956082857|-1.717628177|66.31173073|-23.53402098|0.4661909429999999|2945.137191|557.8203557999999|-15.15517566|0.211777163|7.555307147000001|14.15357616|0.873329024|6744.848704999999|-712.2932561000001|29.85706563|1.0|3.47|3.06|0.05|-7.67|3.78|4.58|105.02|3.4|2.0|1.0|0.0|1.0|5.0|-6.31|0.0|-5.11|2.66e-06|0.00114|0.00332|3.68|0.0|0.0|2.14e-08|9.18e-06|-0.06842|3.1797|-1729.1556449999998|-1729.1326809999998|678.08|1145.51|389.92|0.2346|0.30482|0.68115|-1728.924789|0.0008|-0.15536|6.2620000000000005|-0.22378|0.02296354|8.8722|5.0|8.2684
26_a20|0.0|0|0|0.0|0.0|1|0|1.4165417530000002|4.727387819|-0.104520106|2|0.1516835819999999|-0.3297182369999999|0.003085806|-0.033102079|0.003149352|0.0346782989999999|-0.446730587|2|-0.070815554|-0.055150498|0.8096894440000001|0.690530489|1|-0.0862808009999999|-0.082729415|0.012753218|-55.81998701|8.604974082|299.8332395|0.20662747|139.417676|5.806030949|-1.737317706|65.85953426|-22.11735334|0.472355054|2825.254798|535.3119506|-14.92323356|0.215111274|7.598632688999999|14.40103379|0.8952138340000001|6221.067002000001|-790.9313788|28.17896678|1.0|3.42|3.07|0.08|-9.18|4.5|4.62|86.69|2.47|2.0|0.0|0.0|1.0|4.0|-6.28|0.0|-5.02|7.27e-06|0.00305|0.00399|3.63|0.0|0.0|6.64e-10|2.780000000000001e-07|-0.05097|3.8894|-1352.315376|-1352.277633|715.27|1211.34|318.77|0.2081|0.50878|0.68167|-1352.036122|0.0814|-0.16129|3.8173|-0.21226|0.03774288|4.8742|131.0|6.8827
10_a3|0.0|0|0|0.0|0.0|0|0|0.605017375|4.727387819|-0.1152010919999999|3|0.017396832|-0.381954986|-0.008037672|0.043342516|-0.005959152|-0.0495219879999999|-0.616256033|3|-0.140523767|0.078405316|0.8136572320000001|0.834020779|1|-0.1007256719999999|-0.0989320009999999|0.014615264|-45.8148076|6.768239856|248.0820067|0.252593682|116.9745968|3.134330682|-1.187184014|56.68388955|-16.65993003|0.41220272|2098.79955|346.1193167|-7.715112198|0.293370676|5.031169383|8.559361451000001|0.701266803|4600.496436|-254.5987025|23.57661855|1.0|3.02|1.78|0.0|-6.51|3.79|3.41|105.82|1.2|0.0|0.0|0.0|1.0|4.0|-6.44|0.0|-3.84|5.07e-05|0.0155|0.0443|2.43|0.0|0.0|3.06e-07|9.35e-05|-0.06238|3.4217|-1288.190838|-1288.150029|498.67|830.63|362.35|0.2124|0.41894|0.68995|-1288.050987|0.0463|-0.15011|6.7458|-0.21249|0.04080931|9.3381|7943.0|5.1
14w_a23|0.0|0|1|0.0|0.0|2|0|1.197963556|5.351858133|-0.109136569|2|0.045196333|-0.330575965|0.003379755|-0.031435038|0.003906274|-0.073958723|-0.427696371|2|0.059273664|-0.049318182|0.8668730109999999|0.558482531|1|-0.070714528|-0.088508061|0.022440155|-58.53311596|14.84036772|43.30287556|0.211928134|140.15462380000002|9.814393755|-1.681653166|72.23920014|-23.66232347|0.4972095239999999|3071.908367|521.1762769999999|-15.648625699999998|0.256548212|7.833745658|15.58053709|0.988900044|6998.078982999999|-735.4854078|31.82765022|1.0|3.42|3.35|0.05|-7.93|4.2|5.14|105.02|3.78|2.0|1.0|0.0|1.0|6.0|-6.35|0.0|-5.27|2.09e-06|0.0009369999999999|0.00242|3.78|0.0|0.0|1.17e-08|5.23e-06|-0.0798|3.6632|-1828.385903|-1828.363862|676.92|1150.31|338.46|0.3855|0.6219399999999999|0.6219399999999999|-1828.161957|0.3855|-0.14844|7.0157|-0.22824|0.02204118|9.8981|2.0|8.6737
