molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|JGI4|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|nFaHRing|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|DPSA5|PNSA4|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA2|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
1g_a5|1|0|2.942391606|0.0|0|0|0.0|-0.203595168|-0.003919036|0.027447447|-0.011534568|-0.172437603|-0.132678208|10.94875199|-0.0353243789999999|1|0.006957291|-0.019057802|-0.010807075|-0.0178558139999999|-0.242737126|2|0.74740095|0.030722968|-0.067172264|0.8393686990000001|0|-37.59983870000001|-39.8807456|0.134079034|71.90752413|-0.027205531|-21.388323|5.8729303|0.61393343|54.34919851|-14.59051668|464.3994751|832.7655896000001|-7.824996219|0.38606657|7.312498266|13.83149499|0.891486942|4639.260975|207.0502037|-320.82484500000004|974.3909596|14.46845291|1.0|1.0|1.0|2.79|23.0|-8.14|4.5|4.21|1.57|96.98|1.0|4.0|-4.03|25.0|4.0|-6.15|0.0|1.0|3.09|-4.2|0.0304|0.0206|3.03|0.0|2.36e-06|-0.0393|-1065.818889|572.15|961.17|297.09|259.26|448.93|0.66164|0.0504|-0.17042|3.4883|-0.20972|0.02730461|115.0|6.9393|6.9393
12i _a30|0|0|0.0|0.0|0|2|0.0|0.04580336|-0.00691453|0.043848238|-0.0982344169999999|-0.366470081|0.0109710489999999|10.31162888|-0.072247675|1|0.003603419|-0.172434349|-0.051371057|-0.090173435|-0.469854551|1|0.8264832879999999|-0.029080032|-0.1240820219999999|0.888213143|0|-50.00086637|-63.00408424|0.156570866|102.235113|-0.037414255|-41.13938837|6.740110893|0.806299097|72.59006433|-24.43015511|550.7287204|2280.31966|-15.95200773|0.193700903|8.097008872|15.56818082|0.92270764|6362.153853|126.4796844|-781.648379|1484.657003|9.585980094|1.0|1.0|0.0|4.62|17.0|-7.22|4.47|3.27|3.31|132.29|1.0|5.0|-5.93|30.0|4.0|-5.75|0.0|0.0|3.11|-5.44|0.0005139999999999|0.00156|4.49|0.0|2.61e-05|-0.05465|-2035.339603|691.59|1167.27|351.81|246.2|542.74|0.68497|0.1577|-0.14945|2.5397|-0.2041|0.03436093|16.0|7.8013|7.8013
1_a3|0|0|0.0|0.0|0|1|0.0|0.079857077|-0.006053652|0.034166667|-0.004409693|-0.248199745|0.038572075|10.33805862|0.032569462|0|-0.005006707|-0.007705076|0.05038525|0.08803837|-0.486774367|2|1.005427002|-0.126299711|0.057919092|0.8457792829999999|1|-45.44133321|-42.54530997|0.2237487219999999|102.8341051|-0.034105115|-19.55367089|1.697600903|0.7920857179999999|49.05980305|-15.67458788|356.76228530000003|1162.737831|-7.203984013|0.207914282|4.984064981|9.046658216|0.8151164259999999|4510.611026|95.55665364|-273.7513925|751.9821735|6.514493077999999|1.0|1.0|1.0|3.83|16.0|-5.77|2.28|1.85|1.52|91.52|2.0|2.0|-3.07|22.0|4.0|-6.87|0.0|0.0|1.5|-3.3|261.0|154.0|1.83|0.0|0.000518|-53.0|-1273.290432|496.09|845.2|320.83|210.84|316.61|0.68912|0.0096|-0.1658599999999999|2.2332|-0.21886|0.02599563|724.0|6.1403|6.1403
7b_a8|1|0|3.213855584|0.0|1|1|1.4628217119999998|-0.119760914|-0.009659873|0.040873016|-0.024156447|-0.4829936279999999|-0.052309137|10.9465091|-0.0254956129999999|1|0.003191529|-0.039357491|-0.021509048|-0.035044152|-0.415894017|1|0.710658316|0.048462902|-0.040994467|0.8453887859999999|0|-60.75943432|-59.93853201|0.277652387|166.30684230000003|-0.041332642|-35.90168309|11.89970852|0.753935657|73.70461365|-24.75721974|432.6681725|1780.952171|-14.82895606|0.246064343|7.698000901|14.76972982|0.918644854|6185.0105140000005|147.3863936|-682.1319788|1510.516312|13.76608164|0.0|1.0|1.0|3.49|23.0|-7.65|4.48|3.8|2.23|110.8|1.0|3.0|-5.25|30.0|5.0|-6.15|0.0|0.0|3.5|-4.94|0.00224|0.00454|3.61|0.0|8.94e-06|-0.06833|-1330.595067|621.4|1067.73|380.32|269.85|506.21|0.7025100000000001|139.0|-0.13639|9.9463|-0.20472|0.0273745|13.53|4.8687|4.8687
19d_a38|1|0|3.314284769|0.0|0|2|0.0|0.013465335|-0.0120676969999999|0.04572104|0.019858574|-0.6999264340000001|-0.0555594909999999|10.95446448|-0.024688524|1|-0.00835812|0.041924146|-0.060668296|-0.128079012|-0.529632789|1|0.7581164340000001|0.111104525|-0.039361255|0.908591797|0|-74.84120843|-80.2776536|0.36832051|236.7675313|-0.04393982|-51.60489663|9.98319831|0.7494816990000001|94.84426896|-28.24584108|406.0626253|2995.494247|-18.15727844|0.250518301|7.056031803|13.52121974|0.916264002|6934.7619620000005|161.0407189|-980.493036|2035.106956|14.56661536|0.0|1.0|0.0|4.91|17.0|-6.41|2.34|1.65|1.65|133.79|1.0|6.0|-3.87|33.0|5.0|-7.84|0.0|0.0|1.94|-3.62|0.0594|107.0|1.65|0.0|0.000175|-0.05091|-1500.850957|679.08|1171.77|338.89|230.58|517.77|0.6957800000000001|0.0699|-0.15054|7.9959|-0.20145|0.04735828|11.0|7.9586|7.9586
2_a49|0|0|0.0|0.0|1|1|2.12788659|-0.084499704|-0.004112807|0.038726287|-0.100166139|-0.189189114|-0.041202373|10.92973199|0.005918367|1|0.004580676|-0.170631119|0.032521855|0.055400364|-0.320124905|2|0.802447754|0.084099874|0.00991453|0.851413454|1|-44.066695|-40.34672657|0.18651986|95.04720801|-0.028277173|-20.55997527|2.871166625|0.7154059890000001|49.26352575|-14.409545199999998|414.5350312|1550.010086|-7.34284831|0.284594011|5.667936413|10.38394173|0.8320497920000001|4874.364109|145.02405359999997|-308.399629|845.9544764000001|8.91679918|0.0|1.0|1.0|3.09|21.0|-6.82|3.28|3.7|1.88|99.52|1.0|2.0|-3.53|25.0|3.0|-6.57|0.0|1.0|2.76|-3.89|0.0955|0.0421|2.43|0.0|4.94e-05|-0.04372|-1045.981819|553.52|941.6|331.24|227.02|371.96|0.68172|0.0572|-0.1555099999999999|4.8986|-0.19923|0.0366366999999999|59.0|7.2291|7.2291
9a_a40|0|0|0.0|0.0|1|0|1.865740741|-0.028285975|-0.003680068|0.0397333329999999|0.168990628|-0.136162501|0.157704751|10.31197235|-0.1720337089999999|2|0.011966382|0.291102625|0.009844552|0.016958188|-0.449508498|0|0.624889926|-0.394662853|-0.2990540869999999|0.749764251|1|-29.02567082|-35.24260989|0.062399815|30.17155594|-0.032156295|-17.0405052|2.579562688|0.868476591|39.45618424|-15.54821024|453.3484005|336.39741360000005|-7.51786994|0.131523409|6.749223592000001|13.33684703|0.976056482|3991.317015|63.59419322|-255.607578|608.6970611|4.213574358|1.0|0.0|1.0|3.26|20.0|-6.4|4.58|4.43|3.57|86.7|1.0|2.0|-5.49|21.0|2.0|-4.85|0.0|1.0|4.08|-5.08|0.000944|0.00243|4.54|0.0|0.000117|-0.06495|-1217.9449|515.96|847.69|373.53|263.42|411.01|0.69958|0.3483|-0.13808|3.8656|-0.20303|0.01109672|214.0|6.6696|6.6696
14a_a10|0|0|0.0|0.0|1|2|2.156210368|-0.2090476269999999|-0.002047597|0.035660377|0.027446544|-0.147427016|-0.045759336|10.92970798|-0.00421565|1|0.012272222|0.042968756|-0.220250238|-0.344811314|-0.168193178|2|0.76857495|-0.011977878|-0.007680215|0.770129205|1|-32.23041637|-51.23835032|0.088450549|64.18371923|-0.018970051|-37.18086445|7.140714112|0.542015878|67.14248252|-13.76552695|661.4615097|1774.8853399999998|-9.988888957|0.457984122|10.0292632|18.88856367|0.8833450959999999|6754.660977|332.3339934|-669.2555601|1701.592784|15.9041322|0.0|1.0|1.0|3.98|21.0|-8.18|4.16|3.36|1.94|146.76|1.0|7.0|-4.21|35.0|6.0|-6.82|0.0|1.0|3.43|-4.8|0.0288|0.00743|3.29|0.0|3.07e-06|-46.0|-1489.803158|800.01|1380.89|326.1|222.16|645.26|0.7047100000000001|0.0005|0.2422099999999999|3.1205|0.19621|-0.14757681|74.0|7.1308|7.1308
12a_a30|0|0|0.0|0.0|0|2|0.0|0.033691224|-0.006711725|0.040166667|-0.096804291|-0.3557214489999999|0.009586623|10.31162903|-0.094932667|1|0.005458948|-0.171649606|-0.053309522|-0.094526372|-0.454270252|1|0.8421237309999999|-0.031179517|-0.171895425|0.842671963|0|-47.73588073|-60.22802588|0.163785284|101.5505506|-0.037665934|-37.34272719|6.263330101|0.805190202|69.45678454|-23.35372432|518.4718832|2256.680391|-14.47983299|0.194809798|7.362386058999999|13.88603128|0.88607758|5936.682602000001|120.786445|-709.5118166|1421.195251|9.228758655|1.0|1.0|0.0|4.65|17.0|-6.64|3.84|2.62|2.82|127.28|1.0|5.0|-5.28|29.0|4.0|-5.98|0.0|0.0|2.63|-4.85|0.00208|0.0056|3.87|0.0|9.21e-05|-0.05184|-1575.745502|668.81|1122.01|355.41|245.76|507.17|0.68599|0.1511|-0.1481|4.1875|-0.19994|0.03289568|11.0|7.9469|7.9469
13_a47|1|1|2.920663104|0.0|0|0|0.0|-0.174238791|-0.0049262279999999|0.036632997|-0.047120094|-0.20197533|0.003874205|10.9452934|0.038682232|1|-0.000211465|-0.108780879|-0.0101047869999999|-0.0233277889999999|-0.316563793|2|0.6427334020000001|0.030290722|0.065869272|0.8582665429999999|1|-41.79730418|-45.39284663|0.2183244369999999|112.453046|-0.032468557|-23.38063458|4.705524762|0.688261242|57.38622954|-16.72368034|402.6200617|669.2729199|-8.613918003|0.311738758|7.038683428|13.33103985|0.8939678120000001|4542.479565|160.5682509|-327.3288841|923.3410426|11.99338291|1.0|1.0|1.0|2.9|21.0|-7.9|4.06|4.63|2.34|91.59|1.0|3.0|-4.24|24.0|4.0|-6.0|0.0|1.0|3.19|-4.27|0.0185|0.0173|3.17|0.0|4.04e-06|-0.05465|-1067.78457|542.62|895.21|307.63|307.63|404.73|0.67466|0.3382|-166.0|3.5455|-0.22065|0.03639189|16.0|7.8|7.8
3k_a32|1|1|3.644417045|0.0|0|1|0.0|-0.001009768|-0.005745086|0.0381981979999999|-0.047167919|-0.270019022|-0.0902541999999999|10.31100271|-0.077097565|3|0.002509816|-0.084055305|-0.050938823|-0.090775221|-0.5265375529999999|0|0.816196288|-0.127713677|-0.129124455|0.8306695270000001|1|-40.10830541|-51.21653025|0.122251759|68.92687468|-0.029575784|-28.87643819|3.930238317|0.78057227|58.16707081|-16.67514938|494.8840288|1970.06814|-9.40163104|0.21942773|6.153598893|11.6688363|0.89626209|5259.698672|123.7157466|-404.2701347|918.5970998|6.9505405620000005|1.0|1.0|1.0|3.47|19.0|-7.23|7.12|5.78|2.41|105.36|1.0|3.0|-7.04|25.0|3.0|-5.01|0.0|0.0|4.75|-5.61|3.3600000000000004e-05|0.000904|4.97|0.0|2.15e-05|-0.05321|-1750.1383649999998|611.65|1022.89|350.6|350.6|452.36|0.70268|0.3082|-0.14667|3.2233|-0.19988|0.02654958|9.0|8.0605|8.0605
15a_a50|0|1|0.0|0.0|2|1|4.126145086|-0.113976703|-0.004429392|0.035694444|-0.0446629609999999|-0.234757789|-0.15010386|10.94500663|-0.125205943|2|0.005828749|-0.072976638|-0.128070491|-0.209259615|-0.325638639|1|0.797917311|-0.051676609|-0.207610131|0.8749408470000001|1|-46.91098865|-50.56454577|0.162210104|97.06405493|-0.029316925|-30.25705388|6.450390922|0.705410595|61.78266878|-17.54280159|501.3207109|1754.903963|-10.49734522|0.294589405|8.095541483|14.65582885|0.8103580690000001|5401.219537|176.277812|-514.369916|1218.577214|11.21812301|0.0|1.0|1.0|3.7|20.0|-6.09|3.23|3.57|1.87|110.43|1.0|5.0|-3.6|28.0|4.0|-6.78|0.0|1.0|2.76|-3.92|0.0933|0.0444|2.51|0.0|0.0003|-0.03255|-1199.784983|644.4|1091.64|306.83|306.83|519.38|0.66132|0.1767|-0.16693|6.6307|-0.19948|0.03314629|41.0|7.3872|7.3872
14ac_a23|0|1|0.0|-9.994971573|2|0|2.7104403130000003|0.0763230759999999|-0.011656739|0.048351548|0.016532702|-0.66443411|0.0518788009999999|10.3132169|0.043387326|2|-0.004445662|0.068237909|-0.069765112|-0.287952039|-0.562985112|2|0.5562570379999999|0.1374474|0.054652466|0.834426845|1|-66.72452104|-73.32014595|0.068856366|51.99287907|-0.043970249|-55.36344264|9.597200637|0.8077820920000001|87.75911516|-33.20157553|703.0989434999999|3417.45156|-25.07023818|0.192217908|8.122941134|15.90074614|0.95751094|9203.543798|145.1421706|-1328.722623|2178.41361|14.43896921|1.0|1.0|1.0|3.69|26.0|-9.03|5.52|8.36|4.6|130.29|1.0|7.0|-7.31|38.0|10.0|-5.84|1.0|0.0|5.43|-6.65|2.69e-05|0.000123|5.35|2.0|5.06e-07|-0.08813|-2303.9786940000004|751.54|1285.58|341.32|309.85|627.76|0.69962|0.2391|-0.15055|6.3004|-0.23868|0.02262555|4.0|8.3851|8.3851
8b_a31|1|0|3.37710223|0.0|0|1|0.0|-0.01883655|-0.013629145|0.041161616|-0.130371116|-0.57242407|-0.211457443|10.31170011|-0.069423138|2|-0.006785954|-0.222667869|-0.05421947|-0.092604362|-0.510259793|0|0.928940547|-0.058494079|-0.1155280009999999|0.8956498159999999|0|-63.04219151|-69.24221375|0.392380774|204.9365822|-0.040792077|-36.1645207|8.823644775|0.703469355|82.21438954|-21.30529654|317.3534883|1587.743824|-11.12754483|0.296530645|6.142377144|11.79588561|0.920410507|4696.728592|154.8750114|-433.9742484|1181.155311|12.97217579|0.0|1.0|1.0|3.4|16.0|-5.73|4.52|2.74|0.61|88.64|2.0|4.0|-4.05|23.0|5.0|-6.87|0.0|0.0|2.52|-3.4|0.0294|131.0|2.02|0.0|0.00061|-0.0325|-1386.815519|566.18|927.61|321.36|321.36|439.96|0.70036|0.2643|-0.16015|3.6945|-0.19265|0.03659821|2.2|5.6576|5.6576
18_a3|1|0|2.897754472|0.0|0|0|0.0|-0.256375952|-0.003487792|0.034712644|0.08269134|-0.122072724|0.042606196|10.96965878|-0.025890816|1|0.005799063|0.150826737|-0.035611069|-0.064953613|-0.2495754869999999|3|0.7226687409999999|0.0355413979999999|-0.051083228|0.784960175|1|-31.07331853|-37.67445366|0.158042379|70.31739201|-0.031753312|-16.76239841|2.73114076|0.682492203|48.19055867|-14.12792012|374.610053|703.8534116000001|-6.285899403999999|0.317507797|5.293627315|10.24658906|0.935646099|3928.183499|141.2679329|-201.1487809|662.4155441|10.51610501|0.0|1.0|1.0|2.62|21.0|-6.83|3.42|3.08|0.93|80.35|1.0|2.0|-2.82|21.0|4.0|-6.7|0.0|1.0|2.21|-3.27|411.0|147.0|1.79|0.0|4.07e-05|-0.05769|-889.9402005000001|482.41|784.04|311.79|311.79|330.54|0.6671699999999999|0.3326|-0.1641099999999999|2.6366|-0.2218|0.02173162|0.03|7.5229|7.5229
