molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|SRW09|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|BIC2|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA5|RPSA|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|WNSA2|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
12d_a30|0.0|0|0|0.0|0.0|7.412764017000001|0.604984421|0.041181359|-0.006335328|5.351858133|2|-0.092984185|0.0|-0.354778373|0.005613018|0.036688757|10.31162861|-0.075816941|1|0.005965451|-0.162129948|-0.053644471|-0.4562256979999999|1|0.8017873000000001|-0.130412856|0.7991060659999999|0|0.843009925|-0.073829724|0.366319099|-60.88281322|0.156990075|101.4221952|-0.036246039|0.0|0.8143892140000001|-1.884794029|-30.81433963|0.4572733479999999|2784.836855|544.6198897999999|2323.480646|-15.12802292|0.185610786|7.557073995|0.84254817|-786.6571918999999|0.013424098|1495.177298|8.672532296|1.0|1.0|0.0|1.0|4.75|0.0|4.35|2.93|81.65|3.04|0.0|132.24|0.0|5.0|-5.66|-5.81|412.51|1.0|-5.15|0.00291|4.23|0.0|9.75e-08|3.4821|3.4821|-1615.095823|-1615.063947|1176.22|356.06|545.94|0.68608|0.68608|-1614.831682|149.0|-0.1479099999999999|4434.0|-0.1991|-1614.894406|11.0|7.9508|7.9508
17b_a50|0.0|0|1|0.0|0.0|7.934155233999999|1.348984601|-0.145258626|-0.002181823|5.82008293|1|0.035558152|2.206759705|-0.144000296|0.012409091|-0.152660972|10.94500663|-0.15040528|2|0.012686493|0.05636897|-0.2252068689999999|-0.237489143|1|0.7621727979999999|-0.257646121|0.748900413|1|0.931849183|-0.047785496|0.4220781729999999|-52.58062823|0.068150817|47.42733742|-0.02681014|86.9549829|0.803386523|-1.662228695|-23.14256283|0.4835366239999999|2765.537065|648.4900322000001|1948.148592|-12.98417734|0.1966134769999999|8.324966952|0.936245718|-805.0189948|0.010169967|1439.872076|7.077456382|1.0|1.0|1.0|0.0|4.17|3.57|4.18|4.92|51.77|2.71|0.0|131.39|0.0|8.0|-4.75|-6.09|426.56|0.0|-4.91|0.0052|3.96|0.0|2.87e-08|4.2447|4.0418|-1337.1910779999998|-1337.164673|1300.3|306.75|647.75|0.6269899999999999|0.66195|-1336.833957|0.1758|-0.16699|6.3333|-0.19879|-1336.899093|122.0|6.9136|6.9136
12a_a40|0.0|0|0|0.0|0.0|7.515889085|0.604990853|0.021610099|-0.00431394|5.4161004020000005|0|0.17758258|0.8332127109999999|-0.14667395|0.01039129|0.100414476|10.31197265|-0.226763788|2|0.007890601|0.298197213|0.018655637|-0.4764003679999999|0|0.718281767|-0.375724138|0.525051106|1|0.940879765|-0.064340227|0.000279043|-38.17175304|0.059120235|30.15370934|-0.033799|49.24750281|0.85136964|-1.047769006|-16.73754566|0.476055146|2185.594734|479.8867095|600.1247016|-8.792513441|0.14863036|7.563170499|0.908597808|-272.5679167|0.010759845|627.699788|5.487955617999999|1.0|1.0|0.0|0.0|3.2|3.39|5.33|5.43|58.43|4.34|0.0|91.76|0.0|2.0|-6.41|-4.56|346.23|1.0|-5.95|0.00039|5.43|0.0|6.15e-08|3.0966|3.0966|-2097.826771|-2097.8163050000003|875.15|400.39|429.21|0.6998800000000001|0.6998800000000001|-2097.7296100000003|0.3701|-0.12895|2491.0|-0.2091|-2097.779499|1778.0|5.7501|5.7501
47p_a18|0.0|0|0|0.0|0.0|7.03438793|1.25117677|-0.001819106|-0.005394244|4.844187086|0|0.025217016|0.0|-0.3775970529999999|0.00235332|-0.015960677|10.94701988|-0.049428094|0|0.003537135|0.037961877|-0.1736074389999999|-0.441700685|0|0.726294118|-0.082977829|0.710266593|0|0.832954548|-0.06909945|0.278332428|-61.12351185|0.1670454519999999|123.6411353|-0.030813794|48.48855261|0.818459442|-2.0645242|-37.85569728|0.488811071|2933.069245|616.5234972999999|1367.4309119999998|-16.88114242|0.181540558|9.923659881|0.956223901|-1131.036542|0.01090303|1867.029344|8.070036862|1.0|0.0|1.0|2.0|4.29|0.0|3.65|3.34|76.5|3.13|1.0|144.53|0.0|9.0|-5.67|-6.07|468.59|0.0|-5.27|0.0025|4.35|0.0|9.35e-10|3.2036|3.2036|-1493.759811|-1493.731375|1391.71|387.01|732.84|0.6937800000000001|0.6937800000000001|-1493.338659|595.0|-0.13118|3.6452|-0.18746|-1493.407248|64.0|7.1938|7.1938
16e_a32|0.0|1|1|3.343660084|0.0|7.765993078999999|0.609420752|0.180914799|-0.0154404319999999|5.733341277|0|-0.04474426|2.080236877|-0.772021601|-0.0048042729999999|-0.070351839|10.31100268|-0.01320745|3|-0.002310082|-0.079817994|-0.123297852|-0.698621582|0|0.86370575|-0.022651598|0.7619492790000001|1|0.7903051590000001|-0.087117996|0.504569498|-75.36830928|0.209694841|134.6906051|-0.037448344|39.27920316|0.702226562|-1.760072163|-35.94239328|0.458956284|2710.157931|507.6266039|3376.1299740000004|-15.45011555|0.297773438|6.573687662|0.848279482|-726.1554308999999|0.023323257|1609.914378|14.98092934|1.0|1.0|1.0|2.0|3.64|3.36|6.03|4.6|149.27|1.12|0.0|111.95|1.0|8.0|-6.59|-6.15|413.52|1.0|-4.75|0.0074099999999999|3.76|0.0|4.18e-08|3.6214|3.6214|-1955.993572|-1955.965644|1130.95|342.37|552.79|0.7022|0.7022|-1955.766505|0.2858|-0.14991|3.2372|-0.2005|-1955.827194|7.0|8.1367|8.1367
12ax_a36|0.0|1|0|3.429529478|0.0|7.412764017000001|1.280791885|-0.0943348109999999|-0.007681676|5.351858133|2|0.075802407|0.0|-0.414810497|-0.001012333|-0.057017299|10.958822|-0.034663063|1|-0.00097037|0.128253871|-0.101451485|-0.440372791|1|0.836170906|-0.056676035|0.771220556|0|0.846837721|-0.073739612|0.375647684|-72.11700812|0.153162279|102.4490387|-0.038813619|1.236876307|0.7648530440000001|-1.940680931|-32.99232962|0.488501696|2926.929456|566.4430628|2471.295987|-17.36585896|0.235146956|7.563197245|0.955040697|-868.2929481000001|0.018645135|1697.196809|12.47158322|1.0|1.0|0.0|2.0|4.74|0.0|3.99|3.19|69.2|2.99|0.0|133.77|0.0|5.0|-5.08|-6.26|450.32|1.0|-5.18|0.00295|3.93|0.0|1.74e-08|5.2372|3.8889|-2152.130959|-2152.100515|1182.31|318.82|552.0|0.39564|0.69348|-2151.910753|0.4167|-0.15728|4.5001|-0.21324|-2151.971761|12.0|7.9208|7.9208
12s_a30|0.0|0|0|0.0|0.0|7.412764017000001|0.604984545|-0.00019297|-0.007621736|5.351858133|2|-0.0601024909999999|0.0|-0.403952011|-0.002544958|-0.035768573|10.31162892|-0.04950715|1|-0.001131023|-0.1597740919999999|-0.0546637159999999|-0.446807335|1|0.83236194|-0.080971844|0.591758164|0|0.706713791|-0.090733404|0.404041243|-67.11451776|0.2932862089999999|189.9114627|-0.040189672|0.0|0.790481833|-1.969293912|-38.04400919|0.467381416|2977.11642|457.6180044|2368.4646620000003|-16.8513047|0.209518167|8.066744794|0.877516163|-825.7139305|0.017398791|1613.162737|11.26623|1.0|1.0|0.0|1.0|4.63|0.0|4.67|3.74|81.65|3.58|0.0|127.19|0.0|5.0|-5.49|-6.06|434.46|0.0|-5.17|0.00291|4.07|0.0|6.900000000000002e-08|5.0438|3.5348|-1774.236634|-1774.202623|1140.1|350.75|526.07|0.43338|0.68458|-1774.01033|0.1576|-0.14985|3.0335|-0.20495|-1774.072418|7.0|8129.0|8129.0
18_a15|0.0|0|0|0.0|0.0|0.0|1.435689019|-0.020185809|-0.006149666|0.0|2|-0.094812415|0.0|-0.319782642|-0.001044324|-0.066226471|10.95986315|0.002685285|0|0.000539978|-0.190640601|-0.072506962|-0.431836192|2|0.7162974740000001|0.004699248|0.645117465|0|0.8362289070000001|-0.067562078|0.819442071|-55.48918283|0.163771093|100.159876|-0.035181092|1.833724661|0.867430881|-1.723873519|-25.27062952|0.415796832|2541.440611|511.4247108|2510.854462|-13.15898469|0.132569119|5.990767063|0.711733271|-644.79025|0.008781964|1215.421882|5.370913621000001|1.0|0.0|1.0|1.0|3.37|3.75|5.68|6.86|47.04|3.6|0.0|113.42|0.0|5.0|-6.16|-4.8|385.43|1.0|-5.93|0.0004559999999999|5.42|0.0|1.0399999999999999e-10|4543.0|3.8232|-1265.810138|-1265.770242|1110.18|324.29|535.02|0.6074|0.70427|-1265.556558|0.0066|-0.1579|4.2476|-0.19371|-1265.614679|129.0|6.8894|6.8894
4h_a46|-3.74433321|0|0|0.0|0.090767245|7.825245291|0.3002050539999999|0.128214845|-0.005778576|5.587248657999999|2|-0.057256598|0.0|-0.404500343|-0.0008161889999999|-0.021951549|10.31928028|-0.09922757|1|0.003087227|-0.0932537609999999|-0.030014575|-0.516344924|2|0.7543177040000001|-0.134568896|0.6947264059999999|0|0.767244275|-0.083155747|0.659584488|-65.90523417|0.232755725|182.6222935|-0.0305445539999999|19.09455432|0.805506105|-2.015940586|-51.19164773|0.4866209529999999|3472.1185880000003|601.9869510999999|3180.526173|-18.803584|0.194493895|8.138240742999999|0.947878486|-1241.036544|0.011589523|1963642.0|9.093247153|1.0|0.0|1.0|2.0|4.63|2.99|3.46|6.18|124.17|2.27|0.0|142.08|0.0|6.0|-6.53|-6.38|502.63|0.0|-5.69|0.00104|4.21|0.0|6.38e-10|4.2444|4.18|-1923.926093|-1923.878801|1397.46|296.62|682.14|0.55428|0.54445|-1923.543349|291.0|-0.1711599999999999|1.7601|-0.21008|-1923.611784|229.0|6.6402|6.6402
4l_a46|0.0|0|0|0.0|0.171853072|7.825245291|1.134637095|-0.058870177|-0.004736212|5.587248657999999|1|-0.067419714|0.0|-0.255755434|0.0066560469999999|-0.060895366|10.94631401|-0.161358058|1|0.006162668|-0.1012114369999999|0.0071939419999999|-0.3888343979999999|1|0.726535412|-0.229089688|0.7936534740000001|0|0.892158627|-0.09094885|0.291762764|-48.19533497|0.107841373|61.00681586|-0.030068681|0.0|0.883450801|-1.533502748|-29.10603933|0.409308207|2165.620022|504.7020036|2087.583804|-9.6227739|0.116549199|5.80829255|0.692930243|-490.7614689|0.006130523|981.9630347|3.468091068|1.0|1.0|1.0|1.0|3.92|3.19|4.64|5.02|50.94|3.06|0.0|105.77|0.0|3.0|-5.28|-5.23|347.45|1.0|-5.11|0.0027|4.49|0.0|9.980000000000001e-08|5.4011|4.4542|-1092.745692|-1092.71063|1057.06|278.36|526.77|0.3756|0.68584|-1092.484863|0.1523|-0.18567|2.6588|-0.20351|-1092.53932|98.0|7.0088|7.0088
