molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SRW07|AATSC1s|JGI4|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|PNSA4|DPSA3|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
GW6604_a52|0.0|1|0|0|2.944144148|0.0|0|6.605297921|0|0|4.59511985|-0.005328809|0.021346801|-0.085995143|0.007746755|-0.118272803|10.94914378|-0.028376521|1|1|0.0070554269999999|-0.131886693|0.039867344|-0.057466653|0.689009112|0|0.87346455|-0.071850787|0.38374044|-35.51891876|-35.62691523|4.459510077|157.2481263|0.12653545|62.55188751|-0.029217264|-17.61190876|2.204526664|-14.44334401|39.97842884|-534.4037285|799.8313017999999|6.2973559020000005|11.6571716|0.851121611|4168.525878|130.8549791|-264.17863140000003|0.01768964|-232.6328342|726.7881391|359.1060668|1.0|1.0|1.76|0.0|23.0|-8.03|54.46|1.91|0.0|90.49|0.0|1.0|3.0|-3.87|23.0|3.0|-5.95|298.34|0.0|1.0|6.929999999999999e-05|3.06|9.31e-09|2.78e-06||||||||||||||||||107.0|6.9706
3o_a32|0.0|1|1|1|3.644417045|0.0|0|7.773594467000001|1|1|5.733341277|-0.014299905|0.035643275|-0.306416317|-0.001411347|-0.117781901|10.3110027|-0.090297882|3|3|0.000243592|-0.117744493|-0.061774721|-0.154436834|0.840991936|1|0.8377808240000001|-0.073742105|0.252703854|-42.51640563|-55.03672286|7.218280399|62.67187821|0.162219176|93.52833522|-0.031819276|-31.73171751|4.161738248|-18.34557429|49.73468603|-825.5508427999999|2469.87467|6.392329273|11.73098001|0.835165165|5488.777096|123.9047338|-475.9757626|0.0130649069999999|-328.7458915|1051.530112|541.0877621000001|1.0|1.0|3.06|0.32|19.0|-7.27|122.97|1.58|0.0|112.07|0.0|1.0|3.0|-5.72|26.0|4.0|-6.17|381.52|0.0|1.0|1.87e-05|3.46|5.35e-08|2.04e-05|-0.05413|3.5333|2.35|620.56|1049.14|350.9|0.2851|350.9|464.85|0.70216|-1805.277864|-0.14652|3.2729|-0.20065|0.03088166|-1805.333039|5.8476|0.24|6.6198
LY364947_a10|0.0|1|0|0|2.949609552|0.0|0|6.605297921|0|0|4.59511985|-0.00390904|0.0273958329999999|-0.084940213|0.007575|0.010202602|10.9303125|-0.006198347|1|1|0.006909045|0.1625645369999999|0.04209715|-0.012096774|0.681525895|1|0.8431045490000001|-0.076999385|0.449473391|-34.01613475|-33.26705198|4.275500834|144.7228349|0.156895451|69.31194102|-0.029665114|-14.69643595|1.88879448|-13.10520229|38.29163558|-432.4716757000001|839.5356408|4.702575386|9.161732895|0.948237326|3903.496845|122.1566022|-191.05366730000003|0.018707677|-197.4583104|597.7620559999999|287.99188260000005|1.0|1.0|1.88|0.0|21.0|-7.2|54.46|1.74|0.0|82.56|0.0|1.0|2.0|-3.54|21.0|3.0|-6.02|272.3|0.0|1.0|0.000137|2.74|6.31e-08|1.7199999999999998e-05||||||||||||||||||59.0|7.2291
18_a34|0.0|0|0|0|0.0|0.0|1|7.423568444|1|1|5.351858133|-0.101546926|0.040527066|-0.677741618|-0.001615187|-0.141332289|10.9595763|-0.136990511|1|1|0.002183342|-0.155197864|-0.3102088839999999|-0.224951558|0.713979177|0|0.68981472|-0.090328365|0.295523326|-49.86847383|-71.65163761|22.55015528|66.6880793|0.31018528|171.24705480000003|-0.0422555509999999|-39.55742812|12.44948722|-23.32844015|72.41862911|-1003.122927|1774.550004|6.282442545|11.23989749|0.789096743|5296.289007|167.9151283|-553.8039936|0.027385869|-216.2496321|1441.579371|428.6241319|1.0|0.0|3.61|0.21|17.0|-5.65|75.47|1.49|0.0|93.91|0.0|2.0|5.0|-4.32|26.0|6.0|-6.26|351.36|0.0|1.0|7.829999999999999e-05|3.07|2.22e-06|0.000781|-0.03925|4.4335|5.07|592.04|991.93|300.68|0.3525|279.66|483.87|0.56101|-1199.101028|-0.17549|5.0935|-0.21474|0.02902032|-1199.158044|6.7806|2.43|5.6144
12z_a36|0.0|1|0|0|3.435113772|0.0|0|7.412764017000001|2|2|5.351858133|-0.010732275|0.041767677|-0.421948174|-0.000143196|-0.010881947|10.95429182|-0.030529442|1|1|0.001194592|0.066366917|-0.098598933|-0.0533649729999999|0.8212311840000001|0|0.834790405|-0.081592361|0.492335362|-54.11489962|-68.09761735|15.50078625|114.3931487|0.165209595|109.572766|-0.036238222|-45.16471514|10.28066212|-24.03445318|69.61568586|-1225.757112|2451.657399|8.016303367999999|14.78435842|0.844286292|6146.834385|190.5590792|-812.9648725|0.0225782039999999|-282.1167226|1719.920651|642.3830552000001|0.0|1.0|0.0|0.13|17.0|-6.66|92.99|1.38|0.0|128.47|0.0|1.0|5.0|-3.99|31.0|5.0|-7.08|406.44|0.0|0.0|0.000113|2.4|2.21e-07|8.97e-05|-0.05642|3.8969|2.98|686.33|1153.7|318.16|0.4423|318.16|539.36|0.69397|-1324.951498|-0.1575|4814.0|-0.2139199999999999|0.03845474|-1325.010808|6.5892|5.0|8301.0
19b_a38|0.0|1|0|0|3.26554965|0.0|0|7.412764017000001|2|2|5.351858133|-0.115864198|0.044392765|-0.467227005|-0.006877664|-0.1381849369999999|10.96052467|-0.0697981979999999|1|1|-0.004358975|0.035216067|-0.098027247|-0.114123934|0.632625562|0|0.7293105670000001|-0.086013549|0.336505882|-53.38447032|-71.73053105|13.92699891|120.3048789|0.270689433|168.00390359999997|-0.041606241|-44.51968852|8.643817972|-25.82299118|67.31146923|-1291.149559|2436.66785|7.159317935|13.74014387|0.91919733|6518.872269|149.181772|-801.3543933999999|0.020570275|-322.28833010000005|1699.692918|593.6088758|0.0|1.0|2.37|0.14|17.0|-7.12|81.23|2.78|0.0|125.65|0.0|1.0|5.0|-4.25|31.0|5.0|-6.81|419.43|0.0|1.0|4.67e-05|2.88|7.599999999999999e-08|3.19e-05|-0.05031|5363.0|3.66|646.81|1111.29|330.55|0.4634|231.18|485.64|0.38952|-1431.18309|-0.15414|5.5253|-0.20445|0.03336932|-1431.2418630000002|6.3396|12.0|7.9172
4_a18 (SD-208)|0.0|0|0|0|0.0|0.0|0|0.0|2|2|0.0|-0.113324634|0.040864198|-0.498304229|-0.018723101|-0.009648044|10.95382003|-0.056245435|0|0|-0.015153358|-0.047745689|-0.15379315|-0.098971722|0.721664823|0|0.77909674|-0.077885485|0.115284206|-40.10670787|-51.27494074|10.90456851|103.6318511|0.22090326|113.7529353|-0.034985357|-26.40375252|5.615248385|-18.01551972|51.01127638|-666.5742296|1822.914738|6.239898178|11.42979655|0.831728055|5348.394288|204.9329964|-343.2487827|0.035654206|-105.0785813|1107.212786|363.2306414|1.0|1.0|2.54|0.0|22.0|-8.15|76.48|2.02|0.0|92.87|0.0|1.0|3.0|-4.29|25.0|6.0|-6.31|352.75|0.0|1.0|4.14e-05|3.02|7.06e-09|2.49e-06|-0.09992|5.1755|2.58|537.47|895.83|378.26|0.2761|239.56|396.17|0.4646|-1542.15786|-0.13588|3.4629|-0.2358|0.0199445|-1542.207472|5.2085|0.08|7.0969
12j_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|2|5.351858133|-0.033312179|0.043848238|-0.354848778|0.005613018|0.0074730759999999|10.31162861|-0.075816941|1|1|0.005965451|-0.0431311459999999|-0.053644471|-0.130412856|0.7991060659999999|0|0.842199041|-0.073909106|0.328405591|-47.76354083|-60.832977500000005|10.09017681|88.51817261|0.157800959|101.9784021|-0.036204884|-39.31313154|6.520746879|-23.39729904|57.85371764|-1216.65955|2258.891981|8.067697897|15.41574553|0.91079856|6105.3402670000005|120.550211|-786.2626307999999|0.01349128|-405.1466163|1495.657934|686.039456|0.0|1.0|0.0|0.17|17.0|-7.01|81.65|3.04|0.0|132.24|0.0|1.0|5.0|-5.66|30.0|4.0|-5.81|412.51|0.0|1.0|7.05e-06|4.23|9.75e-08|4.02e-05|-0.05106|5.1971|4.14|695.8|1175.75|356.4|0.2163|238.56|549.64|0.3087|-1614.831741|-0.14772|4.6727|-0.1987799999999999|0.03201935|-1614.894278|5.1081|9.0|8058.0
4a_a49|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1|5.4161004020000005|-0.074495823|0.036555556|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|10.92777282|0.018857363|1|1|0.000660956|-0.130491035|-0.037142108|0.032396301|0.731643066|1|0.7570436159999999|-0.094228246|0.433367368|-57.79201133|-53.88810275|10.51443916|313.22432680000003|0.242956384|149.0098632|-0.0292876779999999|-33.05061877|6.448709504|-17.96270092|68.30645049|-916.0977468|1647.61849|7.934892916|15.01791558|0.8926425020000001|5950.370212|214.47685|-561.8605190000001|0.023624093|-184.3656985|1408.727632|620.5697596|1.0|1.0|2.89|0.22|21.0|-7.36|92.93|1.25|0.0|114.08|0.0|1.0|6.0|-3.28|30.0|5.0|-7.52|399.45|0.0|1.0|0.000305|1.71|4.35e-08|1.74e-05|-0.06461|4.7259|3.34|660.19|1128.22|327.34|0.1935|262.35|504.63|0.35731|-1312.924353|-0.1585099999999999|3.9716|-0.2231199999999999|0.04133192|-1312.98289|4.8706|32.0|7.4949
4d_a46|0.0|0|0|0|0.0|0.173086735|1|7.825245291|1|1|5.587248657999999|-0.017469934|0.047736111|-0.085744171|0.0116902869999999|-0.111025108|10.96333164|-0.076521434|1|1|0.010756749|-0.206000242|-0.0814707009999999|-0.103199079|0.623144956|0|0.936057958|-0.056384895|0.290035518|-30.95621863|-38.85529917|4.750218646|8.241078584|0.063942042|35.10521457|-0.024616555|-21.33218735|2.607946825|-13.51488667|35.70643728|-621.6847867|2233.65548|5.757075209|10.30138878|0.7893441379999999|4993.774007|102.4310631|-341.3149976|0.0086574759999999|-344.15403910000003|764.2776167999999|509.0572545|0.0|1.0|3.5|0.35|17.0|-7.41|43.6|2.84|1.0|101.75|0.0|1.0|2.0|-4.93|25.0|3.0|-5.4|352.86|0.0|1.0|7.8e-06|4.3|3.88e-08|1.3699999999999998e-05|-0.0396399999999999|4.4265|4.18|588.18|1009.78|280.09|0.1313|280.09|503.76|0.69884|-1453.635434|-0.18639|3.5318|-0.22603|0.02292966|-1453.688943|3.7104|517.0|6.2865
